ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESSD04,SENSD04,HOUSD04,SEX,RACE,AGE9,PARTYID,PHIL3,FTVOTER,INCOME,FINSIT,RELIGN8,EDUC,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,HNDLECON,IRAQGO,STECSD,DROUGHT,FAIRSHRE,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,COLLEDUC,BUSH,TIME3D,TIMEWK,IRAQ2,IRAQGO2,BUSHECON,KERRECON,BUSHTERR,KERRTERR,FAIRDASC,FAIRTHUN,QRACEAI,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1532761.0,South Dakota,49.0,State,1.0,Call 3,Complete,1.01349937915802,Bush,Daschle,Herseth,Male,White,50-59,Democrat,Moderate,No,"$15,000-$29,999",Better today,None,High school graduate,In the last three days,Against his opponent,Taxes,Cares about people like me,Somewhat approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Not so good,Hurt your state,Only Tom Daschle would,White male,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",None,White None,All others,No degree,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,Only Tom Daschle would/Both candidates would,Tom Daschle would/Neither candidate would,White,West,Rural,Small cities and Rural,1.0,57785.0
1486100.0,South Dakota,46.0,State,1.0,Call 1,Complete,0.723233044147491,Bush,Daschle,Herseth,Female,White,30-39,Democrat,Moderate,No,"$100,000-$149,999",About the same,Catholic,High school graduate,Before that,For your candidate,Economy/Jobs,Is a strong leader,Strongly approve,Strongly approve,Safer from terrorism,Both of them,Both of them,Somewhat well,Good,Helped your state,Both candidates would,White female,30-44,30-39,18-64,Democrat,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,Only Tom Daschle would/Both candidates would,Only John Thune would/Both candidates would,White,Southeast,Rural,Small cities and Rural,1.0,57012.0
1511762.0,South Dakota,57.0,State,1.0,Call 2,Complete,1.21491348743439,Bush,Thune,Diedrich,Female,White,18-24,Republican,Moderate,Yes,"$30,000-$49,999",About the same,Catholic,College graduate,Sometime last week,For your candidate,Terrorism,Cares about people like me,Strongly approve,Strongly approve,Safer from terrorism,Both of them,Only George W. Bush,Somewhat well,Good,Helped your state,Both candidates would,White female,18-29,18-24,18-64,Republican,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,College graduate,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Kerry/Both,Only Tom Daschle would/Both candidates would,Only John Thune would/Both candidates would,White,Southeast,"City: 50,000 to 500,000","City over 50,000",1.0,57104.0
1508288.0,South Dakota,82.0,State,1.0,Call 2,Complete,4.43390703201294,Bush,Daschle,Diedrich,Male,Other,75 or over,Republican,Conservative,No,,About the same,Protestant,Some college/associate degree,Before that,For your candidate,Moral values,Has strong religious faith,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Very well,Good,Omit,Only Tom Daschle would,Non-white male,60 or over,65 or over,65 or over,Republican,,,Protestant/Other Christian,All others,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,Only Tom Daschle would/Both candidates would,Tom Daschle would/Neither candidate would,American Indian,West,Rural,Small cities and Rural,1.0,57555.0
1514091.0,South Dakota,65.0,State,1.0,Call 2,Complete,0.753338873386383,Kerry,Daschle,Herseth,Female,White,18-24,Democrat,Liberal,No,"$15,000-$29,999",Worse today,Other Christian,Postgraduate study,Before that,For your candidate,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Safer from terrorism,Both of them,Only John Kerry,Somewhat well,Good,Hurt your state,Both candidates would,White female,18-29,18-24,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Very/Somewhat well,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,Only Tom Daschle would/Both candidates would,Only John Thune would/Both candidates would,White,Southeast,Suburbs,Suburbs,1.0,57005.0
1486094.0,South Dakota,74.0,State,1.0,Call 1,Complete,1.84596455097198,Kerry,Daschle,Herseth,Male,White,60-64,Democrat,Moderate,No,"$100,000-$149,999",Worse today,Protestant,Postgraduate study,During the last month,Against his opponent,Iraq,Is intelligent,Strongly disapprove,Strongly disapprove,Safer from terrorism,Both of them,Neither of them,Somewhat badly,Not so good,Hurt your state,Only Tom Daschle would,White male,60 or over,50-64,18-64,Democrat,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Kerry/Both,Only Tom Daschle would/Both candidates would,Tom Daschle would/Neither candidate would,White,West,"City: 50,000 to 500,000","City over 50,000",1.0,57701.0
1517957.0,South Dakota,46.0,State,1.0,Call 2,Complete,0.835338413715363,Kerry,Daschle,Herseth,Female,White,40-44,Democrat,Moderate,No,"$50,000-$74,999",About the same,Protestant,Some college/associate degree,Before that,For your candidate,Education,Is a strong leader,Somewhat disapprove,Strongly approve,Safer from terrorism,Both of them,Both of them,Somewhat badly,Not so good,Not affected your state,Both candidates would,White female,30-44,40-49,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Somewhat/Very badly,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,Only Tom Daschle would/Both candidates would,Only John Thune would/Both candidates would,White,Southeast,Rural,Small cities and Rural,1.0,57012.0
1532752.0,South Dakota,36.0,State,1.0,Call 3,Complete,0.758975625038147,Bush,Daschle,Diedrich,Female,White,30-39,Independent,Liberal,No,"$30,000-$49,999",Better today,Other Christian,High school graduate,Before that,For your candidate,Terrorism,Is a strong leader,Strongly approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Good,Not affected your state,Only Tom Daschle would,White female,30-44,30-39,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,Only Tom Daschle would/Both candidates would,Tom Daschle would/Neither candidate would,White,Southeast,Rural,Small cities and Rural,1.0,57042.0
1493090.0,South Dakota,28.0,State,1.0,Call 1,Complete,0.759073257446289,Kerry,Daschle,Herseth,Male,White,50-59,Independent,Moderate,No,"$75,000-$99,999",Worse today,Protestant,Postgraduate study,Before that,For your candidate,Health care,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Not so good,Not affected your state,Only Tom Daschle would,White male,45-59,50-64,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Only Tom Daschle would/Both candidates would,Tom Daschle would/Neither candidate would,White,Northeast,Rural,Small cities and Rural,1.0,57234.0
1488543.0,South Dakota,55.0,State,1.0,Call 1,Complete,0.688400626182556,Kerry,Daschle,Herseth,Male,White,45-49,Independent,Moderate,No,"$100,000-$149,999",About the same,Catholic,College graduate,Just today,Against his opponent,Iraq,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Both of them,Both of them,Somewhat badly,Not so good,Hurt your state,Both candidates would,White male,45-59,40-49,18-64,Independent,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,College graduate,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,Somewhat/Very badly,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,Only Tom Daschle would/Both candidates would,Only John Thune would/Both candidates would,White,Southeast,"City: 50,000 to 500,000","City over 50,000",1.0,57110.0
1539744.0,South Dakota,11.0,State,1.0,Call 3,Complete,1.38501560688019,Kerry,Daschle,Herseth,Female,White,60-64,Democrat,Conservative,No,"$50,000-$74,999",Better today,Protestant,College graduate,Before that,For your candidate,Health care,Will bring about needed change,Somewhat disapprove,Somewhat approve,Safer from terrorism,Both of them,Both of them,Somewhat well,Good,Hurt your state,Only Tom Daschle would,White female,60 or over,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,Only Tom Daschle would/Both candidates would,Tom Daschle would/Neither candidate would,White,Southeast,Rural,Small cities and Rural,1.0,57325.0
1515686.0,South Dakota,65.0,State,1.0,Call 2,Complete,0.718391060829163,Kerry,Daschle,Herseth,Female,White,30-39,Independent,Moderate,No,"$30,000-$49,999",About the same,Protestant,College graduate,During the last month,Against his opponent,Economy/Jobs,Is intelligent,Somewhat disapprove,Somewhat disapprove,Less safe from terrorism,Both of them,Both of them,Somewhat badly,Good,Hurt your state,Only Tom Daschle would,White female,30-44,30-39,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,Only Tom Daschle would/Both candidates would,Tom Daschle would/Neither candidate would,White,Southeast,Suburbs,Suburbs,1.0,57005.0
1537409.0,South Dakota,18.0,State,1.0,Call 3,Complete,0.715308845043182,Bush,Thune,Diedrich,Male,White,45-49,Republican,Conservative,No,"$30,000-$49,999",Better today,None,High school graduate,Before that,For your candidate,Taxes,Is a strong leader,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Excellent,Helped your state,Only John Thune would,White male,45-59,40-49,18-64,Republican,"Under $50,000","Under $100,000",None,White None,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,Only John Thune would/Neither candidate would,Only John Thune would/Both candidates would,White,Southeast,"City: 10,000 to 49,999",Small cities and Rural,1.0,57301.0
1514077.0,South Dakota,38.0,State,1.0,Call 2,Complete,1.85297822952271,Kerry,Daschle,Herseth,Female,White,60-64,Democrat,Liberal,No,"Under $15,000",Worse today,Protestant,Postgraduate study,During the last month,Against his opponent,Health care,Is honest and trustworthy,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Good,Hurt your state,Only Tom Daschle would,White female,60 or over,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Only Tom Daschle would/Both candidates would,Tom Daschle would/Neither candidate would,White,West,"City: 10,000 to 49,999",Small cities and Rural,1.0,57783.0
1490746.0,South Dakota,55.0,State,1.0,Call 1,Complete,0.677727401256561,Kerry,Daschle,Herseth,Female,White,40-44,Democrat,Moderate,No,"$50,000-$74,999",About the same,Other Christian,High school graduate,Before that,For your candidate,Omit,Omit,Somewhat approve,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Somewhat badly,Good,Hurt your state,Only Tom Daschle would,White female,30-44,40-49,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Only Tom Daschle would/Both candidates would,Tom Daschle would/Neither candidate would,White,Southeast,"City: 50,000 to 500,000","City over 50,000",1.0,57110.0
1490745.0,South Dakota,61.0,State,1.0,Call 1,Complete,0.991113603115082,Bush,Thune,Diedrich,Female,White,18-24,Independent,Conservative,No,"$15,000-$29,999",Better today,Other Christian,Some college/associate degree,Before that,For your candidate,Moral values,Has clear stands on the issues,Strongly approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Both of them,Somewhat well,Good,Helped your state,Both candidates would,White female,18-29,18-24,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Bush/Both,Only Bush/Neither,Only Tom Daschle would/Both candidates would,Only John Thune would/Both candidates would,White,Southeast,"City: 50,000 to 500,000","City over 50,000",1.0,57105.0
1490743.0,South Dakota,54.0,State,1.0,Call 1,Complete,0.793059825897217,Bush,Thune,Diedrich,Male,White,30-39,Republican,Moderate,No,"$75,000-$99,999",Better today,Catholic,College graduate,Before that,For your candidate,Economy/Jobs,Cares about people like me,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Very well,Excellent,Helped your state,Only John Thune would,White male,30-44,30-39,18-64,Republican,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,College graduate,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,Only John Thune would/Neither candidate would,Only John Thune would/Both candidates would,White,Southeast,"City: 50,000 to 500,000","City over 50,000",1.0,57106.0
1535068.0,South Dakota,46.0,State,1.0,Call 3,Complete,0.848493814468384,Kerry,Daschle,Herseth,Male,White,30-39,Democrat,Moderate,No,"$50,000-$74,999",About the same,Catholic,Some college/associate degree,Before that,For your candidate,Economy/Jobs,Will bring about needed change,Strongly disapprove,Somewhat approve,Safer from terrorism,Only George W. Bush,Neither of them,Somewhat badly,Excellent,Helped your state,Only Tom Daschle would,White male,30-44,30-39,18-64,Democrat,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Somewhat/Very badly,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,Only Tom Daschle would/Both candidates would,Tom Daschle would/Neither candidate would,White,Southeast,Rural,Small cities and Rural,1.0,57012.0
1539944.0,South Dakota,11.0,State,1.0,Call 3,Complete,0.896174907684326,Bush,Thune,Herseth,Female,White,18-24,Democrat,Moderate,Yes,"$15,000-$29,999",About the same,Something else,Some college/associate degree,During the last month,Against his opponent,Terrorism,Is a strong leader,Somewhat approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Not so good,Not affected your state,Only John Thune would,White female,18-29,18-24,18-64,Democrat,"Under $50,000","Under $100,000",Something else,White Something else,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,Only John Thune would/Neither candidate would,Only John Thune would/Both candidates would,White,Southeast,Rural,Small cities and Rural,1.0,57325.0
1514992.0,South Dakota,18.0,State,1.0,Call 2,Complete,0.738567531108856,Kerry,Daschle,Herseth,Female,White,18-24,Democrat,Liberal,Yes,"Under $15,000",Worse today,Protestant,Some college/associate degree,Before that,For your candidate,Iraq,Will bring about needed change,Somewhat approve,Somewhat disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Somewhat well,Not so good,Helped your state,Only Tom Daschle would,White female,18-29,18-24,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Very/Somewhat well,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Only Tom Daschle would/Both candidates would,Tom Daschle would/Neither candidate would,White,Southeast,"City: 10,000 to 49,999",Small cities and Rural,1.0,57301.0
