ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,PRESCO04,SENCO04,AMND36CO,SEX,RACE,AGE9,PARTYID,PHIL3,FTVOTER,INCOME,FINSIT,RELIGN8,BRNAGAIN,EDUC,MARRIED,MEXICAN,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,HNDLECON,IRAQGO,JOBSIT,STECCO,QUAL04CO,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,WHTEVANG,COLLEDUC,BUSH,TIME3D,TIMEWK,IRAQ2,IRAQGO2,BUSHECON,KERRECON,BUSHTERR,KERRTERR,WOMENWED,QRACE,SPANISHQ,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1466539.0,Colorado,,National,1.0,,Complete,Phone survey,2.58427405357361,Bush,Coors,No,Female,White,50-59,Republican,Conservative,No,"$50,000-$74,999",About the same,Catholic,No,Some college/associate degree,Yes,No,,,Moral values,Is a strong leader,Strongly approve,Somewhat approve,Safer from terrorism,,,Somewhat well,,,,White female,45-59,50-64,18-64,Republican,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,All others,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,Married women,White,English,West,Suburbs,Suburbs,,81503.0
1466540.0,Colorado,,National,1.0,,Complete,Phone survey,2.58427405357361,Bush,Coors,No,Male,White,25-29,Republican,Conservative,No,"$15,000-$29,999",Better today,Protestant,Yes,College graduate,Yes,No,,,Moral values,Is honest and trustworthy,Somewhat approve,Strongly approve,Safer from terrorism,,,Very well,,,,White male,18-29,25-29,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,All others,White,English,West,Suburbs,Suburbs,,81521.0
1466541.0,Colorado,,National,1.0,,Complete,Phone survey,2.80541038513184,Kerry,Other,Yes,Female,White,40-44,Democrat,Conservative,No,,About the same,Something else,,High school graduate,No,No,,,Omit,Will bring about needed change,Strongly disapprove,Somewhat disapprove,Less safe from terrorism,,,Very badly,,,,White female,30-44,40-49,18-64,Democrat,,,Something else,White Something else,All others,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,All others,White,English,Arapahoe/Jefferson,Rural,Small cities and Rural,,80421.0
1466542.0,Colorado,,National,1.0,,Complete,Phone survey,2.6215980052948,Kerry,Salazar,No,Female,White,30-39,Democrat,Moderate,No,"$75,000-$99,999",Better today,Catholic,No,College graduate,No,No,,,Moral values,Is intelligent,Strongly disapprove,Somewhat disapprove,Omit,,,Very badly,,,,White female,30-44,30-39,18-64,Democrat,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,All others,White,English,Arapahoe/Jefferson,Suburbs,Suburbs,,80127.0
1466543.0,Colorado,,National,1.0,,Complete,Phone survey,2.5440399646759,Kerry,Salazar,Yes,Female,White,75 or over,Democrat,Conservative,No,"Under $15,000",About the same,Other Christian,No,Did not complete high school,No,No,,,Health care,Is a strong leader,Strongly disapprove,Strongly disapprove,Omit,,,Very badly,,,,White female,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,All others,White,English,Denver/Adams/Boulder,Suburbs,Suburbs,,80221.0
1466544.0,Colorado,,National,1.0,,Complete,Phone survey,2.5440399646759,Kerry,Salazar,Yes,Male,White,40-44,Democrat,Moderate,No,"$150,000-$199,999",Worse today,None,No,College graduate,Yes,No,,,Iraq,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Very badly,,,,White male,30-44,40-49,18-64,Democrat,"$50,000 or more","$100,000 or more",None,White None,All others,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,All others,White,English,Denver/Adams/Boulder,"City over 500,000","City over 50,000",,80220.0
1466545.0,Colorado,,National,1.0,,Complete,Phone survey,2.58427405357361,Bush,Coors,No,Male,White,40-44,Independent,Moderate,No,,Better today,None,Yes,College graduate,No,No,,,Moral values,Is honest and trustworthy,Somewhat approve,Somewhat approve,Safer from terrorism,,,Somewhat well,,,,White male,30-44,40-49,18-64,Independent,,,None,White None,All others,White evangelicals,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,All others,White,English,Arapahoe/Jefferson,Suburbs,Suburbs,,80128.0
1466546.0,Colorado,,National,1.0,,Complete,Phone survey,2.58427405357361,Bush,Coors,No,Male,White,45-49,Independent,Moderate,No,"$75,000-$99,999",Better today,None,Yes,College graduate,Yes,No,,,Moral values,Is honest and trustworthy,Strongly approve,Strongly approve,Safer from terrorism,,,Somewhat well,,,,White male,45-59,40-49,18-64,Independent,"$50,000 or more","Under $100,000",None,White None,All others,White evangelicals,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,All others,White,English,Denver/Adams/Boulder,Suburbs,Suburbs,,80233.0
1466547.0,Colorado,,National,1.0,,Complete,Phone survey,2.5440399646759,Kerry,Salazar,Yes,Female,White,45-49,Independent,Liberal,No,"$15,000-$29,999",Worse today,Protestant,No,College graduate,No,No,,,Iraq,Is a strong leader,Strongly disapprove,Strongly disapprove,Omit,,,Very well,,,,White female,45-59,40-49,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Very/Somewhat well,,,,,All others,White,English,East,Suburbs,Suburbs,,80132.0
1466548.0,Colorado,,National,1.0,,Complete,Phone survey,2.58427405357361,Bush,Coors,No,Male,White,75 or over,Independent,Moderate,No,"Under $15,000",Worse today,Protestant,Yes,High school graduate,No,No,,,Moral values,Is intelligent,Strongly approve,Somewhat approve,Safer from terrorism,,,Somewhat well,,,,White male,60 or over,65 or over,65 or over,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,All others,White,English,East,Suburbs,Suburbs,,80831.0
1466549.0,Colorado,,National,1.0,,Complete,Phone survey,2.5440399646759,Kerry,Salazar,Yes,Female,White,45-49,Democrat,Moderate,No,"Under $15,000",About the same,Other Christian,Yes,High school graduate,No,No,,,Health care,Cares about people like me,Strongly disapprove,Strongly disapprove,Safer from terrorism,,,Somewhat well,,,,White female,45-59,40-49,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Very/Somewhat well,,,,,All others,White,English,Arapahoe/Jefferson,Suburbs,Suburbs,,80214.0
1466550.0,Colorado,,National,1.0,,Complete,Phone survey,2.58427405357361,Bush,Coors,No,Female,White,50-59,Republican,Conservative,No,"$30,000-$49,999",About the same,Protestant,Yes,Some college/associate degree,Yes,No,,,Moral values,Is a strong leader,Somewhat approve,Strongly approve,Omit,,,Very well,,,,White female,45-59,50-64,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,Married women,White,English,West,"City: 50,000 to 500,000","City over 50,000",,80538.0
1466551.0,Colorado,,National,1.0,,Complete,Phone survey,2.58427405357361,Bush,Coors,No,Female,White,50-59,Republican,Moderate,No,"$200,000 or more",Worse today,Protestant,No,College graduate,Yes,No,,,Iraq,Has clear stands on the issues,Somewhat approve,Somewhat approve,Safer from terrorism,,,Somewhat badly,,,,White female,45-59,50-64,18-64,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Somewhat/Very badly,,,,,Married women,White,English,Arapahoe/Jefferson,Suburbs,Suburbs,,80439.0
1466552.0,Colorado,,National,1.0,,Complete,Phone survey,2.58427405357361,Bush,Coors,No,Female,White,65-74,Republican,Conservative,No,"Under $15,000",About the same,Protestant,No,High school graduate,No,No,,,Moral values,Is a strong leader,Strongly approve,Somewhat approve,Safer from terrorism,,,Somewhat well,,,,White female,60 or over,65 or over,65 or over,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,All others,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,All others,White,English,West,"City: 50,000 to 500,000","City over 50,000",,80538.0
1466553.0,Colorado,,National,1.0,,Complete,Phone survey,2.58427405357361,Bush,Coors,No,Female,White,60-64,Republican,Conservative,No,"$30,000-$49,999",About the same,Protestant,,College graduate,Yes,No,,,Terrorism,Is a strong leader,Strongly approve,Strongly approve,Safer from terrorism,,,Somewhat well,,,,White female,60 or over,50-64,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,All others,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,Married women,White,English,Arapahoe/Jefferson,Suburbs,Suburbs,,80127.0
1467029.0,Colorado,,National,2.0,,Complete,Phone survey,2.6215980052948,Kerry,Salazar,No,Male,Black,60-64,Democrat,Liberal,No,"$30,000-$49,999",Worse today,Protestant,No,Some college/associate degree,No,No,,,Economy/Jobs,Has clear stands on the issues,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Very badly,,,,Non-white male,60 or over,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,All others,Black,English,Arapahoe/Jefferson,"City: 50,000 to 500,000","City over 50,000",,80011.0
1467030.0,Colorado,,National,2.0,,Complete,Phone survey,2.6215980052948,Kerry,Salazar,No,Male,White,65-74,Independent,Moderate,Yes,"$50,000-$74,999",Worse today,Protestant,No,College graduate,Yes,No,,,Iraq,Is intelligent,Strongly disapprove,Strongly disapprove,Omit,,,Very badly,,,,White male,60 or over,65 or over,65 or over,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,All others,White,English,Arapahoe/Jefferson,Suburbs,Suburbs,,80111.0
1467031.0,Colorado,,National,2.0,,Complete,Phone survey,2.5440399646759,Kerry,Salazar,Yes,Male,White,45-49,Democrat,Liberal,No,"$50,000-$74,999",Better today,Protestant,No,Some college/associate degree,No,No,,,Economy/Jobs,Cares about people like me,Strongly disapprove,Strongly disapprove,Safer from terrorism,,,Somewhat badly,,,,White male,45-59,40-49,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,All others,White,English,West,"City: 50,000 to 500,000","City over 50,000",,80524.0
1467032.0,Colorado,,National,2.0,,Complete,Phone survey,2.5440399646759,Kerry,Salazar,Yes,Male,White,30-39,Independent,Moderate,No,"$75,000-$99,999",About the same,None,No,Some college/associate degree,Yes,No,,,Economy/Jobs,Will bring about needed change,Somewhat disapprove,Somewhat disapprove,Less safe from terrorism,,,Somewhat badly,,,,White male,30-44,30-39,18-64,Independent,"$50,000 or more","Under $100,000",None,White None,All others,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,All others,White,English,Arapahoe/Jefferson,Suburbs,Suburbs,,80004.0
1467033.0,Colorado,,National,2.0,,Complete,Phone survey,2.6215980052948,Kerry,Salazar,No,Male,White,30-39,Democrat,Moderate,No,"$15,000-$29,999",Better today,Other Christian,No,Some college/associate degree,No,No,,,Economy/Jobs,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Very badly,,,,White male,30-44,30-39,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,All others,White,English,Arapahoe/Jefferson,Suburbs,Suburbs,,80004.0
1467034.0,Colorado,,National,2.0,,Complete,Phone survey,2.55760765075684,Bush,Coors,Did not vote,Male,White,65-74,Independent,Conservative,No,"$75,000-$99,999",About the same,Catholic,No,Some college/associate degree,Yes,No,,,Economy/Jobs,Is a strong leader,Somewhat disapprove,Strongly approve,Safer from terrorism,,,Somewhat badly,,,,White male,60 or over,65 or over,65 or over,Independent,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,All others,No degree,Somewhat/Strongly disapprove,,,Strongly/Somewhat approve,Somewhat/Very badly,,,,,All others,White,English,West,"City: 10,000 to 49,999",Small cities and Rural,,81301.0
1467035.0,Colorado,,National,2.0,,Complete,Phone survey,2.5440399646759,Kerry,Salazar,Yes,Female,White,40-44,Something Else,Liberal,No,"$50,000-$74,999",About the same,None,No,Postgraduate study,No,No,,,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Omit,,,Very badly,,,,White female,30-44,40-49,18-64,Independent,"$50,000 or more","Under $100,000",None,White None,All others,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,All others,White,English,Denver/Adams/Boulder,"City over 500,000","City over 50,000",,80222.0
1467036.0,Colorado,,National,2.0,,Complete,Phone survey,2.6215980052948,Kerry,Salazar,No,Female,,60-64,Democrat,Liberal,No,,About the same,None,No,Postgraduate study,Yes,,,,Iraq,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Very badly,,,,,60 or over,50-64,18-64,Democrat,,,None,All others,All others,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,Married women,,,Denver/Adams/Boulder,Suburbs,Suburbs,,80501.0
1467037.0,Colorado,,National,2.0,,Complete,Phone survey,2.58427405357361,Bush,Coors,No,Female,White,30-39,Republican,Conservative,No,"$100,000-$149,999",Better today,Protestant,Yes,College graduate,Yes,No,,,Moral values,Is a strong leader,Strongly approve,Somewhat approve,Safer from terrorism,,,Somewhat well,,,,White female,30-44,30-39,18-64,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,Married women,White,English,Arapahoe/Jefferson,"City: 50,000 to 500,000","City over 50,000",,80015.0
1467038.0,Colorado,,National,2.0,,Complete,Phone survey,2.6215980052948,Kerry,Salazar,No,Female,White,50-59,Democrat,Liberal,No,"$50,000-$74,999",Worse today,Something else,No,College graduate,No,No,,,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Very badly,,,,White female,45-59,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",Something else,White Something else,All others,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,All others,White,English,Arapahoe/Jefferson,Suburbs,Suburbs,,80215.0
1467039.0,Colorado,,National,2.0,,Complete,Phone survey,2.58427405357361,Bush,Coors,No,Female,White,50-59,Republican,Conservative,No,"$50,000-$74,999",About the same,Catholic,No,Some college/associate degree,Yes,No,,,Moral values,Is a strong leader,Strongly approve,Somewhat approve,Safer from terrorism,,,Somewhat well,,,,White female,45-59,50-64,18-64,Republican,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,All others,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,Married women,White,English,West,Suburbs,Suburbs,,81503.0
1467040.0,Colorado,,National,2.0,,Complete,Phone survey,2.58427405357361,Bush,Coors,No,Male,White,25-29,Republican,Conservative,No,"$15,000-$29,999",Better today,Protestant,Yes,College graduate,Yes,No,,,Moral values,Is honest and trustworthy,Somewhat approve,Strongly approve,Safer from terrorism,,,Very well,,,,White male,18-29,25-29,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,All others,White,English,West,Suburbs,Suburbs,,81521.0
1467041.0,Colorado,,National,2.0,,Complete,Phone survey,2.80541038513184,Kerry,Other,Yes,Female,White,40-44,Democrat,Conservative,No,,About the same,Something else,,High school graduate,No,No,,,Omit,Will bring about needed change,Strongly disapprove,Somewhat disapprove,Less safe from terrorism,,,Very badly,,,,White female,30-44,40-49,18-64,Democrat,,,Something else,White Something else,All others,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,All others,White,English,Arapahoe/Jefferson,Rural,Small cities and Rural,,80421.0
1467042.0,Colorado,,National,2.0,,Complete,Phone survey,2.6215980052948,Kerry,Salazar,No,Female,White,30-39,Democrat,Moderate,No,"$75,000-$99,999",Better today,Catholic,No,College graduate,No,No,,,Moral values,Is intelligent,Strongly disapprove,Somewhat disapprove,Omit,,,Very badly,,,,White female,30-44,30-39,18-64,Democrat,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,All others,White,English,Arapahoe/Jefferson,Suburbs,Suburbs,,80127.0
1467043.0,Colorado,,National,2.0,,Complete,Phone survey,2.5440399646759,Kerry,Salazar,Yes,Female,White,75 or over,Democrat,Conservative,No,"Under $15,000",About the same,Other Christian,No,Did not complete high school,No,No,,,Health care,Is a strong leader,Strongly disapprove,Strongly disapprove,Omit,,,Very badly,,,,White female,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,All others,White,English,Denver/Adams/Boulder,Suburbs,Suburbs,,80221.0
1467044.0,Colorado,,National,2.0,,Complete,Phone survey,2.5440399646759,Kerry,Salazar,Yes,Male,White,40-44,Democrat,Moderate,No,"$150,000-$199,999",Worse today,None,No,College graduate,Yes,No,,,Iraq,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Very badly,,,,White male,30-44,40-49,18-64,Democrat,"$50,000 or more","$100,000 or more",None,White None,All others,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,All others,White,English,Denver/Adams/Boulder,"City over 500,000","City over 50,000",,80220.0
1467045.0,Colorado,,National,2.0,,Complete,Phone survey,2.58427405357361,Bush,Coors,No,Male,White,40-44,Independent,Moderate,No,,Better today,None,Yes,College graduate,No,No,,,Moral values,Is honest and trustworthy,Somewhat approve,Somewhat approve,Safer from terrorism,,,Somewhat well,,,,White male,30-44,40-49,18-64,Independent,,,None,White None,All others,White evangelicals,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,All others,White,English,Arapahoe/Jefferson,Suburbs,Suburbs,,80128.0
1467046.0,Colorado,,National,2.0,,Complete,Phone survey,2.58427405357361,Bush,Coors,No,Male,White,45-49,Independent,Moderate,No,"$75,000-$99,999",Better today,None,Yes,College graduate,Yes,No,,,Moral values,Is honest and trustworthy,Strongly approve,Strongly approve,Safer from terrorism,,,Somewhat well,,,,White male,45-59,40-49,18-64,Independent,"$50,000 or more","Under $100,000",None,White None,All others,White evangelicals,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,All others,White,English,Denver/Adams/Boulder,Suburbs,Suburbs,,80233.0
1467047.0,Colorado,,National,2.0,,Complete,Phone survey,2.5440399646759,Kerry,Salazar,Yes,Female,White,45-49,Independent,Liberal,No,"$15,000-$29,999",Worse today,Protestant,No,College graduate,No,No,,,Iraq,Is a strong leader,Strongly disapprove,Strongly disapprove,Omit,,,Very well,,,,White female,45-59,40-49,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Very/Somewhat well,,,,,All others,White,English,East,Suburbs,Suburbs,,80132.0
