ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,wgt,PRESMA04,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME,FINSIT,RELIGN8,VETVOTER,LATINO,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,FAVKERY,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,BUSH,TIME3D,TIMEWK,IRAQ2,BUSHTERR,KERRTERR,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1474429.0,Massachusetts,32.0,State,1.0,Call 1,Complete,0.45266193151474,Kerry,Female,White,60-64,Republican,Conservative,"$30,000-$49,999",Worse today,Protestant,No,No,Just today,Against his opponent,Health care,Will bring about needed change,Strongly disapprove,Strongly disapprove,Safer from terrorism,Only John Kerry,Favorable,White female,60 or over,50-64,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,White,East,Suburbs,Suburbs,3.0,1510.0
1527004.0,Massachusetts,79.0,National,1.0,Call 3,Complete,1.62650489807129,Kerry,Female,White,50-59,Democrat,Liberal,"$30,000-$49,999",Worse today,Something else,No,No,Before that,,Education,Will bring about needed change,Strongly disapprove,Somewhat disapprove,Safer from terrorism,,,White female,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Something else,White Something else,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,,,White,North/South Shores,Suburbs,Suburbs,6.0,1845.0
1474424.0,Massachusetts,15.0,National,3.0,Call 1,Complete,1.17926824092865,Kerry,Female,White,65-74,Democrat,Liberal,,,None,,No,,For your candidate,,,,,,,,White female,60 or over,65 or over,65 or over,Democrat,,,None,White None,All others,,,,,,,White,Boston area,"City over 500,000","City over 50,000",8.0,2116.0
1483755.0,Massachusetts,82.0,National,1.0,Call 1,Complete,2.44441938400269,Kerry,Female,Black,25-29,Democrat,Conservative,"Under $15,000",Worse today,Other Christian,No,No,Before that,,Omit,Has strong religious faith,Strongly disapprove,Strongly disapprove,Omit,,,Non-white female,18-29,25-29,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,,,Black,North/South Shores,Rural,Small cities and Rural,10.0,2557.0
1502418.0,Massachusetts,27.0,National,2.0,Call 2,Complete,0.446138501167297,Bush,Female,White,30-39,Independent,Moderate,"$150,000-$199,999",Better today,Catholic,No,No,Before that,,Omit,Is a strong leader,Somewhat approve,Somewhat approve,Safer from terrorism,,,White female,30-44,30-39,18-64,Independent,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,,,White,Other large industrial cities,Suburbs,Suburbs,2.0,1507.0
1500081.0,Massachusetts,27.0,National,4.0,Call 2,Complete,0.446138501167297,Bush,Female,White,40-44,Something Else,Moderate,"$150,000-$199,999",,,,No,Before that,,,,,,,Only George W. Bush,Unfavorable,White female,30-44,40-49,18-64,Independent,"$50,000 or more","$100,000 or more",,,,,Sometime last week/During the last month/Before that,During the last month/Before that,,Only Bush/Both,Only Bush/Neither,White,Other large industrial cities,Suburbs,Suburbs,2.0,1507.0
1525742.0,Massachusetts,86.0,National,3.0,Call 3,Complete,1.58952045440674,Kerry,Male,White,30-39,Democrat,,"$50,000-$74,999",,None,,No,,For your candidate,,,,,,,,White male,30-44,30-39,18-64,Democrat,"$50,000 or more","Under $100,000",None,White None,All others,,,,,,,White,North/South Shores,Suburbs,Suburbs,10.0,2358.0
1526994.0,Massachusetts,32.0,State,1.0,Call 3,Complete,0.44317489862442,Kerry,Female,White,18-24,Democrat,Moderate,"$50,000-$74,999",About the same,None,No,No,Before that,For your candidate,Iraq,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Favorable,White female,18-29,18-24,18-64,Democrat,"$50,000 or more","Under $100,000",None,White None,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,White,East,Suburbs,Suburbs,3.0,1510.0
1502409.0,Massachusetts,2.0,State,1.0,Call 2,Complete,0.618294358253479,Kerry,Female,White,30-39,Independent,Liberal,"$150,000-$199,999",About the same,Protestant,No,No,Before that,For your candidate,Terrorism,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Favorable,White female,30-44,30-39,18-64,Independent,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,White,Boston area,Suburbs,Suburbs,7.0,2476.0
1474412.0,Massachusetts,86.0,National,2.0,Call 1,Complete,2.78981161117554,Bush,Female,White,75 or over,Republican,Conservative,"$15,000-$29,999",Better today,Catholic,No,No,Before that,,Taxes,Has clear stands on the issues,Somewhat approve,Somewhat approve,Safer from terrorism,,,White female,60 or over,65 or over,65 or over,Republican,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,,,White,North/South Shores,Suburbs,Suburbs,10.0,2358.0
1500073.0,Massachusetts,98.0,State,1.0,Call 2,Complete,0.907180786132813,Kerry,Female,White,75 or over,Democrat,Conservative,"$15,000-$29,999",About the same,Catholic,No,No,Before that,Against his opponent,Health care,Will bring about needed change,Somewhat disapprove,Somewhat disapprove,Safer from terrorism,Both of them,Favorable,White female,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Bush/Both,Only Kerry/Both,White,Other large industrial cities,"City: 50,000 to 500,000","City over 50,000",2.0,1104.0
1502405.0,Massachusetts,93.0,State,1.0,Call 2,Complete,0.667562067508698,Kerry,Female,White,50-59,Independent,Moderate,"$15,000-$29,999",Worse today,Protestant,No,No,Before that,Against his opponent,Terrorism,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Both of them,Favorable,White female,45-59,50-64,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Bush/Both,Only Kerry/Both,White,West,Suburbs,Suburbs,1.0,1254.0
1528064.0,Massachusetts,27.0,National,3.0,Call 3,Complete,0.446138501167297,Bush,Female,White,45-49,Democrat,Moderate,"$50,000-$74,999",,Catholic,,No,,For your candidate,,,,,,,,White female,45-59,40-49,18-64,Democrat,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,,,,,,,White,Other large industrial cities,Suburbs,Suburbs,2.0,1507.0
1500064.0,Massachusetts,15.0,National,1.0,Call 2,Complete,1.16695940494537,Bush,Female,White,40-44,Independent,,"$100,000-$149,999",Better today,Catholic,No,No,Before that,,Taxes,Is a strong leader,Strongly approve,Strongly approve,Omit,,,White female,30-44,40-49,18-64,Independent,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,,,White,Boston area,"City over 500,000","City over 50,000",8.0,2116.0
1528059.0,Massachusetts,82.0,National,3.0,Call 3,Complete,2.21033239364624,Kerry,Female,White,65-74,Independent,Moderate,"$15,000-$29,999",,Protestant,,No,,For your candidate,,,,,,,,White female,60 or over,65 or over,65 or over,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,,,,,,,White,North/South Shores,Rural,Small cities and Rural,10.0,2557.0
1474399.0,Massachusetts,98.0,State,1.0,Call 1,Complete,0.667562067508698,Kerry,Female,Hispanic/Latino,30-39,Democrat,Moderate,"$50,000-$74,999",Worse today,Catholic,No,Yes,Before that,Against his opponent,Education,Cares about people like me,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Favorable,Non-white female,30-44,30-39,18-64,Democrat,"$50,000 or more","Under $100,000",Catholic,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,Hispanic/Latino,Other large industrial cities,"City: 50,000 to 500,000","City over 50,000",2.0,1104.0
1528057.0,Massachusetts,32.0,State,1.0,Call 3,Complete,0.333097815513611,Kerry,Female,White,30-39,Independent,Liberal,"$50,000-$74,999",About the same,None,No,No,Before that,For your candidate,Education,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Favorable,White female,30-44,30-39,18-64,Independent,"$50,000 or more","Under $100,000",None,White None,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,White,East,Suburbs,Suburbs,3.0,1510.0
1474397.0,Massachusetts,105.0,State,1.0,Call 1,Complete,0.595732629299164,Kerry,Female,White,50-59,Democrat,Moderate,"$30,000-$49,999",Worse today,Protestant,No,No,Before that,For your candidate,Economy/Jobs,Is honest and trustworthy,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Both of them,Favorable,White female,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Bush/Both,Only Kerry/Both,White,East,Suburbs,Suburbs,9.0,2081.0
1474396.0,Massachusetts,103.0,State,1.0,Call 1,Complete,0.584492385387421,Kerry,Female,White,50-59,Independent,Conservative,,About the same,Catholic,No,No,During the last month,Omit,Economy/Jobs,Will bring about needed change,Omit,Somewhat disapprove,Omit,Only George W. Bush,Favorable,White female,45-59,50-64,18-64,Independent,,,Catholic,White Catholic,All others,Omit,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Bush/Both,Only Bush/Neither,White,East,Suburbs,Suburbs,5.0,1876.0
1501805.0,Massachusetts,82.0,National,2.0,Call 2,Complete,2.68109536170959,Bush,Male,White,30-39,Independent,,"$30,000-$49,999",Omit,,Yes,No,Before that,,Omit,Omit,Omit,Somewhat approve,Safer from terrorism,,,White male,30-44,30-39,18-64,Independent,"Under $50,000","Under $100,000",,,All others,Omit,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,,,White,North/South Shores,Rural,Small cities and Rural,10.0,2557.0
1525720.0,Massachusetts,90.0,National,1.0,Call 3,Complete,0.607413649559021,Kerry,Female,White,50-59,Independent,Liberal,"$150,000-$199,999",About the same,Protestant,No,No,Before that,,Iraq,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,White female,45-59,50-64,18-64,Independent,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,,,White,East,Suburbs,Suburbs,3.0,2769.0
1500054.0,Massachusetts,86.0,National,2.0,Call 2,Complete,1.35422277450562,Other,Female,White,18-24,,Moderate,,About the same,None,No,No,Just today,,Education,Will bring about needed change,Somewhat approve,Somewhat disapprove,Less safe from terrorism,,,White female,18-29,18-24,18-64,,,,None,White None,All others,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,,,White,North/South Shores,Suburbs,Suburbs,10.0,2358.0
1500052.0,Massachusetts,32.0,State,1.0,Call 2,Complete,0.483070522546768,Kerry,Male,White,25-29,Democrat,Liberal,"$15,000-$29,999",Worse today,Catholic,No,No,Before that,For your candidate,Economy/Jobs,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Favorable,White male,18-29,25-29,18-64,Democrat,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,White,East,Suburbs,Suburbs,3.0,1510.0
1476718.0,Massachusetts,2.0,State,1.0,Call 1,Complete,0.618294358253479,Kerry,Female,White,50-59,Democrat,Liberal,"$100,000-$149,999",Worse today,Catholic,No,No,Before that,For your candidate,Iraq,Is a strong leader,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Favorable,White female,45-59,50-64,18-64,Democrat,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,White,Boston area,Suburbs,Suburbs,7.0,2476.0
1525708.0,Massachusetts,98.0,State,1.0,Call 3,Not complete,0.364642739295959,Other,Male,White,50-59,,,,,,,No,Before that,For your candidate,Economy/Jobs,Has clear stands on the issues,Strongly disapprove,,,,,White male,45-59,50-64,18-64,,,,,,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,,,,White,Other large industrial cities,"City: 50,000 to 500,000","City over 50,000",2.0,1104.0
1474381.0,Massachusetts,93.0,State,1.0,Call 1,Complete,0.727657556533813,Kerry,Male,White,50-59,Democrat,Liberal,"$200,000 or more",Better today,None,No,No,Before that,Against his opponent,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Favorable,White male,45-59,50-64,18-64,Democrat,"$50,000 or more","$100,000 or more",None,White None,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,White,West,Suburbs,Suburbs,1.0,1254.0
1530372.0,Massachusetts,79.0,National,4.0,Call 3,Complete,1.62650489807129,Kerry,Female,White,50-59,Independent,Moderate,"$50,000-$74,999",,,,No,During the last month,,,,,,,Neither of them,Favorable,White female,45-59,50-64,18-64,Independent,"$50,000 or more","Under $100,000",,,,,Sometime last week/During the last month/Before that,During the last month/Before that,,Only Kerry/Neither,Only Bush/Neither,White,North/South Shores,Suburbs,Suburbs,6.0,1845.0
1528037.0,Massachusetts,2.0,State,1.0,Call 3,Complete,0.673954665660858,Kerry,Male,White,30-39,Democrat,Moderate,"$100,000-$149,999",About the same,Catholic,No,No,Before that,For your candidate,Economy/Jobs,Is a strong leader,Strongly disapprove,Somewhat disapprove,Less safe from terrorism,Both of them,Favorable,White male,30-44,30-39,18-64,Democrat,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Bush/Both,Only Kerry/Both,White,Boston area,Suburbs,Suburbs,7.0,2476.0
1525703.0,Massachusetts,8.0,State,1.0,Call 3,Complete,1.76996207237244,Bush,Female,White,25-29,Democrat,Liberal,"$15,000-$29,999",About the same,Catholic,No,No,During the last month,For your candidate,Iraq,Is a strong leader,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Unfavorable,White female,18-29,25-29,18-64,Democrat,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,Boston area,"City over 500,000","City over 50,000",8.0,2128.0
1528032.0,Massachusetts,79.0,National,2.0,Call 3,Complete,2.16400742530823,Kerry,Female,White,18-24,Independent,Moderate,"$50,000-$74,999",About the same,Protestant,No,No,Before that,,Economy/Jobs,Cares about people like me,Somewhat disapprove,Somewhat disapprove,Less safe from terrorism,,,White female,18-29,18-24,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,,,White,North/South Shores,Suburbs,Suburbs,6.0,1845.0
1474367.0,Massachusetts,15.0,National,2.0,Call 1,Not complete,1.5858348608017,Bush,Female,White,75 or over,,,,,,,No,Before that,,Moral values,Has clear stands on the issues,Strongly approve,,,,,White female,60 or over,65 or over,65 or over,,,,,,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,,,,White,Boston area,"City over 500,000","City over 50,000",8.0,2116.0
1500029.0,Massachusetts,90.0,National,4.0,Call 2,Not complete,0.686122298240662,Kerry,Female,Black,40-44,,,,,,,No,Before that,,,,,,,Only John Kerry,,Non-white female,30-44,40-49,18-64,,,,,,,,Sometime last week/During the last month/Before that,During the last month/Before that,,Only Kerry/Neither,Only Kerry/Both,Black,East,Suburbs,Suburbs,3.0,2769.0
1525687.0,Massachusetts,32.0,State,1.0,Call 3,Complete,0.597671210765839,Bush,Male,Black,18-24,Republican,Conservative,"$50,000-$74,999",Better today,Protestant,No,No,Before that,For your candidate,Iraq,Has strong religious faith,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Unfavorable,Non-white male,18-29,18-24,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,Black,East,Suburbs,Suburbs,3.0,1510.0
1528019.0,Massachusetts,93.0,State,1.0,Call 3,Complete,0.907180786132813,Kerry,Female,White,60-64,Independent,Liberal,"$50,000-$74,999",Worse today,Something else,No,No,Before that,Against his opponent,Moral values,Is intelligent,Strongly disapprove,Somewhat disapprove,Less safe from terrorism,Only John Kerry,Favorable,White female,60 or over,50-64,18-64,Independent,"$50,000 or more","Under $100,000",Something else,White Something else,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,White,West,Suburbs,Suburbs,1.0,1254.0
1476692.0,Massachusetts,27.0,National,2.0,Call 1,Complete,0.547980606555939,Bush,Female,,65-74,Independent,Moderate,"$15,000-$29,999",Omit,Catholic,No,,Before that,,Moral values,Has strong religious faith,Somewhat disapprove,Somewhat disapprove,Omit,,,,60 or over,65 or over,65 or over,Independent,"Under $50,000","Under $100,000",Catholic,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,,,,Other large industrial cities,Suburbs,Suburbs,2.0,1507.0
1500020.0,Massachusetts,98.0,State,1.0,Call 2,Complete,0.968122720718384,Kerry,Male,Hispanic/Latino,18-24,Independent,Moderate,"$15,000-$29,999",About the same,Other Christian,No,Yes,During the last month,Against his opponent,Economy/Jobs,Cares about people like me,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Neither of them,Favorable,Non-white male,18-29,18-24,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Bush/Neither,Hispanic/Latino,Other large industrial cities,"City: 50,000 to 500,000","City over 50,000",2.0,1104.0
1474355.0,Massachusetts,90.0,National,2.0,Call 1,Complete,0.665302872657776,Bush,Female,White,50-59,Republican,Conservative,"$200,000 or more",About the same,Protestant,No,No,Before that,,Moral values,Is a strong leader,Strongly approve,Somewhat approve,Safer from terrorism,,,White female,45-59,50-64,18-64,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,,,White,East,Suburbs,Suburbs,3.0,2769.0
1474354.0,Massachusetts,98.0,State,1.0,Call 1,Not complete,0.727657556533813,Kerry,Male,Hispanic/Latino,30-39,,,,,,,Yes,Just today,For your candidate,Economy/Jobs,Cares about people like me,Strongly disapprove,,,,,Non-white male,30-44,30-39,18-64,,,,,All others,All others,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,,,,Hispanic/Latino,Other large industrial cities,"City: 50,000 to 500,000","City over 50,000",2.0,1104.0
1474353.0,Massachusetts,103.0,State,1.0,Call 1,Complete,0.794293582439423,Kerry,Female,White,60-64,Democrat,Moderate,"$50,000-$74,999",About the same,Catholic,No,No,Just today,Omit,Iraq,Omit,Somewhat disapprove,Strongly disapprove,Less safe from terrorism,Neither of them,Omit,White female,60 or over,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Bush/Neither,White,East,Suburbs,Suburbs,5.0,1876.0
1476685.0,Massachusetts,90.0,National,4.0,Call 1,Complete,0.662094473838806,Kerry,Male,White,45-49,Democrat,Liberal,,,,,No,Before that,,,,,,,Only John Kerry,Favorable,White male,45-59,40-49,18-64,Democrat,,,,,,,Sometime last week/During the last month/Before that,During the last month/Before that,,Only Kerry/Neither,Only Kerry/Both,White,East,Suburbs,Suburbs,3.0,2769.0
