ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESVT04,SENVT04,HOUVT04,GOVVT04,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME,FINSIT,RELIGN8,MARRIED,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,TRSTTERR,GAYMRRGE,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,BUSH,TIME3D,TIMEWK,IRAQ2,BUSHTERR,KERRTERR,WOMENWED,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1481621.0,Vermont,41.0,State,1.0,Call 1,Complete,0.404301702976227,Kerry,Leahy,Sanders,Clavelle,Female,White,40-44,Democrat,Liberal,"$50,000-$74,999",Better today,Catholic,No,Before that,Against his opponent,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Only John Kerry,Legally marry,White female,30-44,40-49,18-64,Democrat,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,All others,White,Burlington/Winooski River Valley,Rural,Small cities and Rural,1.0,05602
1481695.0,Vermont,11.0,National,2.0,Call 1,Complete,0.746710598468781,Kerry,Leahy,Sanders,Clavelle,Female,White,60-64,Democrat,Moderate,,About the same,Protestant,Yes,Before that,,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,,,White female,60 or over,50-64,18-64,Democrat,,,Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,,,Married women,White,Burlington/Winooski River Valley,"City: 10,000 to 49,999",Small cities and Rural,1.0,05401
1481711.0,Vermont,41.0,State,1.0,Call 1,Complete,0.511334419250488,Kerry,Leahy,Sanders,Clavelle,Female,White,75 or over,Independent,Liberal,"$15,000-$29,999",Worse today,None,Yes,Before that,Against his opponent,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Neither of them,Legally marry,White female,60 or over,65 or over,65 or over,Independent,"Under $50,000","Under $100,000",None,White None,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Bush/Neither,Married women,White,Burlington/Winooski River Valley,Rural,Small cities and Rural,1.0,05602
1481784.0,Vermont,41.0,State,1.0,Call 1,Complete,0.703908145427704,Kerry,Leahy,Sanders,Douglas,Male,White,25-29,Democrat,Conservative,"$30,000-$49,999",Better today,Catholic,Yes,Before that,For your candidate,Iraq,Cares about people like me,Strongly disapprove,Strongly disapprove,Only John Kerry,Legally marry,White male,18-29,25-29,18-64,Democrat,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,All others,White,Burlington/Winooski River Valley,Rural,Small cities and Rural,1.0,05602
1481856.0,Vermont,69.0,State,1.0,Call 1,Complete,1.04868972301483,Kerry,Leahy,Sanders,Clavelle,Female,White,25-29,Independent,Liberal,"$30,000-$49,999",About the same,None,Yes,Just today,Against his opponent,Moral values,Will bring about needed change,Strongly disapprove,Strongly disapprove,Neither of them,Legally marry,White female,18-29,25-29,18-64,Independent,"Under $50,000","Under $100,000",None,White None,All others,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Bush/Neither,Married women,White,Green Mountains,Rural,Small cities and Rural,1.0,05674
1481873.0,Vermont,11.0,National,2.0,Call 1,Complete,0.746710598468781,Kerry,Leahy,Sanders,Clavelle,Female,White,65-74,Democrat,Liberal,"$75,000-$99,999",About the same,Protestant,Yes,Before that,,Iraq,Is intelligent,Strongly disapprove,Strongly disapprove,,,White female,60 or over,65 or over,65 or over,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,,,Married women,White,Burlington/Winooski River Valley,"City: 10,000 to 49,999",Small cities and Rural,1.0,05401
1481904.0,Vermont,41.0,State,1.0,Call 1,Complete,0.495440036058426,Kerry,Leahy,Sanders,Douglas,Female,White,50-59,Independent,Moderate,"$100,000-$149,999",Better today,Something else,Yes,Before that,For your candidate,Iraq,Is honest and trustworthy,Strongly disapprove,Strongly disapprove,Only John Kerry,Civil unions,White female,45-59,50-64,18-64,Independent,"$50,000 or more","$100,000 or more",Something else,White Something else,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,Married women,White,Burlington/Winooski River Valley,Rural,Small cities and Rural,1.0,05602
1481982.0,Vermont,69.0,State,1.0,Call 1,Complete,0.794573307037354,Kerry,Leahy,Drown,Clavelle,Female,White,50-59,Democrat,Liberal,"$100,000-$149,999",Worse today,Catholic,Yes,Just today,Against his opponent,Economy/Jobs,Will bring about needed change,Strongly disapprove,Strongly disapprove,Neither of them,Legally marry,White female,45-59,50-64,18-64,Democrat,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Bush/Neither,Married women,White,Green Mountains,Rural,Small cities and Rural,1.0,05674
1482021.0,Vermont,41.0,State,1.0,Call 1,Complete,0.404301702976227,Kerry,Leahy,Sanders,Clavelle,Female,White,40-44,Democrat,Liberal,"$100,000-$149,999",Better today,None,Yes,Before that,For your candidate,Iraq,Is intelligent,Strongly disapprove,Strongly disapprove,Both of them,Legally marry,White female,30-44,40-49,18-64,Democrat,"$50,000 or more","$100,000 or more",None,White None,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Bush/Both,Only Kerry/Both,Married women,White,Burlington/Winooski River Valley,Rural,Small cities and Rural,1.0,05602
1482054.0,Vermont,69.0,State,1.0,Call 1,Complete,2.14420700073242,Kerry,Leahy,Sanders,Clavelle,Male,Black,18-24,Democrat,Liberal,"$100,000-$149,999",About the same,None,No,Before that,For your candidate,Terrorism,Has clear stands on the issues,Strongly disapprove,Somewhat disapprove,Only John Kerry,Civil unions,Non-white male,18-29,18-24,18-64,Democrat,"$50,000 or more","$100,000 or more",None,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,All others,Black,Green Mountains,Rural,Small cities and Rural,1.0,05674
1482095.0,Vermont,41.0,State,1.0,Call 1,Complete,0.404801994562149,Kerry,Leahy,Sanders,Clavelle,Male,White,30-39,Independent,Moderate,"$50,000-$74,999",Better today,None,Yes,Before that,Against his opponent,Iraq,Is intelligent,Strongly disapprove,Strongly disapprove,Only John Kerry,Legally marry,White male,30-44,30-39,18-64,Independent,"$50,000 or more","Under $100,000",None,White None,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,All others,White,Burlington/Winooski River Valley,Rural,Small cities and Rural,1.0,05602
1482125.0,Vermont,69.0,State,1.0,Call 1,Complete,0.576903760433197,Kerry,Leahy,Sanders,,Male,White,40-44,,Moderate,"$30,000-$49,999",Better today,Protestant,No,Before that,Against his opponent,Moral values,Will bring about needed change,Somewhat disapprove,Somewhat disapprove,Omit,Civil unions,White male,30-44,40-49,18-64,,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Omit,Omit,All others,White,Green Mountains,Rural,Small cities and Rural,1.0,05674
1482131.0,Vermont,11.0,National,2.0,Call 1,Complete,0.724394977092743,Kerry,Leahy,Sanders,Douglas,Male,White,30-39,Democrat,Liberal,"$50,000-$74,999",Better today,Protestant,Yes,Before that,,Economy/Jobs,Has clear stands on the issues,Strongly disapprove,Strongly disapprove,,,White male,30-44,30-39,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,,,All others,White,Burlington/Winooski River Valley,"City: 10,000 to 49,999",Small cities and Rural,1.0,05401
1482170.0,Vermont,41.0,State,1.0,Call 1,Complete,0.627375543117523,Kerry,Leahy,Sanders,Douglas,Male,White,60-64,Independent,Moderate,"$50,000-$74,999",About the same,Catholic,Yes,Before that,Against his opponent,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Only John Kerry,Civil unions,White male,60 or over,50-64,18-64,Independent,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,All others,White,Burlington/Winooski River Valley,Rural,Small cities and Rural,1.0,05602
1482214.0,Vermont,69.0,State,1.0,Call 1,Complete,1.13730883598328,Bush,McMullen,Parke,Douglas,Female,White,50-59,Republican,Conservative,,About the same,Jewish,Yes,Before that,For your candidate,Taxes,Is a strong leader,Strongly approve,Somewhat approve,Only George W. Bush,Civil unions,White female,45-59,50-64,18-64,Republican,,,Jewish,White Jewish,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,Married women,White,Green Mountains,Rural,Small cities and Rural,1.0,05674
1482288.0,Vermont,69.0,State,1.0,Call 1,Complete,0.739939510822296,Kerry,Leahy,Sanders,Clavelle,Male,White,50-59,Democrat,Liberal,"$15,000-$29,999",About the same,None,No,Before that,For your candidate,Iraq,Will bring about needed change,Strongly disapprove,Somewhat disapprove,Only John Kerry,Legally marry,White male,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",None,White None,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,All others,White,Green Mountains,Rural,Small cities and Rural,1.0,05674
1482309.0,Vermont,41.0,State,1.0,Call 1,Complete,0.574421226978302,Kerry,Leahy,Sanders,Clavelle,Male,White,25-29,Democrat,Liberal,"$30,000-$49,999",About the same,Jewish,No,Before that,For your candidate,Terrorism,Will bring about needed change,Strongly disapprove,Strongly disapprove,Both of them,Legally marry,White male,18-29,25-29,18-64,Democrat,"Under $50,000","Under $100,000",Jewish,White Jewish,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Bush/Both,Only Kerry/Both,All others,White,Burlington/Winooski River Valley,Rural,Small cities and Rural,1.0,05602
1482339.0,Vermont,11.0,National,2.0,Call 1,Complete,0.781080305576324,Bush,McMullen,Parke,Douglas,Female,White,30-39,Republican,Moderate,"$50,000-$74,999",Better today,Catholic,Yes,Before that,,Economy/Jobs,Has clear stands on the issues,Somewhat approve,Somewhat approve,,,White female,30-44,30-39,18-64,Republican,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,,,Married women,White,Burlington/Winooski River Valley,"City: 10,000 to 49,999",Small cities and Rural,1.0,05401
1482372.0,Vermont,69.0,State,1.0,Call 1,Not complete,3.14644193649292,Bush,Leahy,Sanders,Douglas,Male,White,65-74,,,,,,,In the last three days,For your candidate,Terrorism,Is a strong leader,Strongly approve,,,,White male,60 or over,65 or over,65 or over,,,,,,All others,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,,,,All others,White,Green Mountains,Rural,Small cities and Rural,1.0,05674
