ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESKY04,SENKY04,AMEND1KY,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME,FINSIT,RELIGN8,ATTEND,BRNAGAIN,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,TRSTTERR,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,WHTEVANG,ATTEND2,ATTREL,RELGCONS,BUSH,TIME3D,TIMEWK,IRAQ2,BUSHTERR,KERRTERR,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1518754.0,Kentucky,49.0,State,1.0,Call 3,Complete,0.689485430717468,Kerry,Mongiardo,Yes,Female,White,45-49,Democrat,Moderate,"$75,000-$99,999",Worse today,Protestant,More than once a week,Yes,During the last month,Against his opponent,Economy/Jobs,Will bring about needed change,Somewhat disapprove,Somewhat disapprove,Neither of them,White female,45-59,40-49,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Weekly,Protestants/Weekly,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Bush/Neither,White,Jefferson county,Suburbs,Suburbs,3.0,40222.0
1521086.0,Kentucky,58.0,State,1.0,Call 3,Complete,0.496071934700012,Kerry,Mongiardo,Yes,Female,Black,18-24,Democrat,Moderate,"Under $15,000",Worse today,Other Christian,A few times a month,Yes,Before that,Against his opponent,Terrorism,Cares about people like me,Strongly disapprove,Strongly disapprove,Only John Kerry,Non-white female,18-29,18-24,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,All others,Occasionally,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,Black,Jefferson county,"City: 50,000 to 500,000","City over 50,000",3.0,40210.0
1521083.0,Kentucky,46.0,State,1.0,Call 3,Complete,0.703435301780701,Kerry,Mongiardo,Yes,Female,Black,60-64,Democrat,Moderate,"Under $15,000",Worse today,Protestant,Once a week,Yes,Before that,For your candidate,Moral values,Cares about people like me,Strongly disapprove,Strongly disapprove,Neither of them,Non-white female,60 or over,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,All others,Weekly,Protestants/Weekly,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Bush/Neither,Black,Jefferson county,"City: 50,000 to 500,000","City over 50,000",3.0,40220.0
1472086.0,Kentucky,8.0,State,1.0,Call 1,Complete,0.90356707572937,Bush,Bunning,No,Male,White,75 or over,Independent,Moderate,,About the same,Protestant,More than once a week,Yes,Before that,For your candidate,Moral values,Cares about people like me,Somewhat approve,Somewhat approve,Only George W. Bush,White male,60 or over,65 or over,65 or over,Independent,,,Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Weekly,Protestants/Weekly,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,South-central,"City: 10,000 to 49,999",Small cities and Rural,6.0,40422.0
1495414.0,Kentucky,66.0,State,1.0,Call 2,Complete,1.92194545269012,Bush,Mongiardo,Yes,Male,White,30-39,Republican,Moderate,"$50,000-$74,999",Better today,Protestant,A few times a month,Yes,Just today,Against his opponent,Terrorism,Is honest and trustworthy,Somewhat disapprove,Somewhat approve,Only George W. Bush,White male,30-44,30-39,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Occasionally,Protestants/Non-weekly,All others,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,North,Suburbs,Suburbs,4.0,41017.0
1495406.0,Kentucky,8.0,State,1.0,Call 2,Complete,0.877964496612549,Kerry,Mongiardo,No,Female,White,60-64,Democrat,Moderate,"$100,000-$149,999",Worse today,Catholic,More than once a week,No,During the last month,For your candidate,Terrorism,Cares about people like me,Strongly disapprove,Somewhat disapprove,Neither of them,White female,60 or over,50-64,18-64,Democrat,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,All others,Weekly,Catholics/Weekly,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Bush/Neither,White,South-central,"City: 10,000 to 49,999",Small cities and Rural,6.0,40422.0
1495399.0,Kentucky,68.0,State,1.0,Call 2,Complete,0.995297431945801,Bush,Bunning,No,Female,White,25-29,Republican,Conservative,"$30,000-$49,999",About the same,Catholic,A few times a year,No,Before that,For your candidate,Iraq,Is a strong leader,Strongly approve,Somewhat approve,Only George W. Bush,White female,18-29,25-29,18-64,Republican,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,All others,Occasionally,Catholics/Non-weekly,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,North,Suburbs,Suburbs,4.0,41018.0
1520193.0,Kentucky,81.0,State,1.0,Call 3,Complete,1.01002144813538,Bush,Bunning,Yes,Female,White,45-49,Republican,Conservative,"$30,000-$49,999",Better today,Protestant,A few times a month,Yes,Before that,For your candidate,Omit,Is a strong leader,Strongly approve,Strongly approve,Only George W. Bush,White female,45-59,40-49,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Occasionally,Protestants/Non-weekly,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,East/Frankfort/Lexington,Rural,Small cities and Rural,5.0,41203.0
1497730.0,Kentucky,50.0,National,4.0,Call 2,Complete,0.748147547245026,Bush,Did not vote,Yes,Female,White,45-49,Something Else,Moderate,"$100,000-$149,999",,,,,Before that,,,,,,Only George W. Bush,White female,45-59,40-49,18-64,Independent,"$50,000 or more","$100,000 or more",,,,,,,,,Sometime last week/During the last month/Before that,During the last month/Before that,,Only Bush/Both,Only Bush/Neither,White,Jefferson county,Suburbs,Suburbs,3.0,40241.0
1495396.0,Kentucky,46.0,State,1.0,Call 2,Complete,0.35526317358017,Kerry,Mongiardo,No,Female,White,25-29,Democrat,Liberal,"$50,000-$74,999",About the same,Catholic,A few times a year,No,Before that,For your candidate,Moral values,Is intelligent,Strongly disapprove,Strongly disapprove,Both of them,White female,18-29,25-29,18-64,Democrat,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,All others,Occasionally,Catholics/Non-weekly,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Bush/Both,Only Kerry/Both,White,Jefferson county,"City: 50,000 to 500,000","City over 50,000",3.0,40220.0
1520188.0,Kentucky,47.0,State,1.0,Call 3,Complete,1.25674664974213,Bush,Bunning,Yes,Male,White,65-74,Republican,Moderate,"$30,000-$49,999",Better today,Catholic,Once a week,Yes,Before that,For your candidate,Taxes,Is honest and trustworthy,Somewhat approve,Strongly disapprove,Both of them,White male,60 or over,65 or over,65 or over,Republican,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,White evangelicals,Weekly,Catholics/Weekly,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Bush/Both,Only Kerry/Both,White,Jefferson county,"City: 50,000 to 500,000","City over 50,000",3.0,40218.0
1472057.0,Kentucky,76.0,State,1.0,Call 1,Complete,1.2420642375946,Bush,Bunning,Yes,Male,White,75 or over,Republican,Moderate,"Under $15,000",About the same,Other Christian,Omit,Yes,Before that,Omit,Education,Cares about people like me,Strongly approve,Strongly approve,Only George W. Bush,White male,60 or over,65 or over,65 or over,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Omit,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,South-central,Rural,Small cities and Rural,5.0,42635.0
1474389.0,Kentucky,68.0,State,1.0,Call 1,Complete,1.4161422252655,Bush,Bunning,Yes,Male,White,45-49,Republican,Moderate,"$30,000-$49,999",About the same,Protestant,Once a week,Yes,Before that,For your candidate,Terrorism,Has strong religious faith,Strongly approve,Somewhat approve,Only George W. Bush,White male,45-59,40-49,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Weekly,Protestants/Weekly,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,North,Suburbs,Suburbs,4.0,41018.0
1472055.0,Kentucky,44.0,State,1.0,Call 1,Complete,0.338762491941452,,,Yes,Female,,50-59,Democrat,Conservative,"$75,000-$99,999",Better today,Other Christian,More than once a week,Yes,In the last three days,For your candidate,Iraq,Omit,Strongly disapprove,Somewhat disapprove,Omit,,45-59,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,All others,All others,All others,Weekly,All others,All others,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,Omit,Omit,,West,Suburbs,Suburbs,1.0,42420.0
1521560.0,Kentucky,40.0,State,1.0,Call 3,Complete,0.915423691272736,Bush,Bunning,Yes,Male,White,30-39,Something Else,Conservative,"$15,000-$29,999",Better today,Something else,More than once a week,Yes,Before that,For your candidate,Moral values,Has strong religious faith,Strongly approve,Strongly approve,Only George W. Bush,White male,30-44,30-39,18-64,Independent,"Under $50,000","Under $100,000",Something else,White Something else,All others,White evangelicals,Weekly,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,South-central,Rural,Small cities and Rural,2.0,42726.0
1474386.0,Kentucky,44.0,State,1.0,Call 1,Complete,1.00823879241943,Kerry,Mongiardo,Yes,Female,Black,40-44,Democrat,Moderate,"$50,000-$74,999",About the same,Other Christian,More than once a week,,During the last month,For your candidate,Terrorism,Is honest and trustworthy,Strongly disapprove,Somewhat disapprove,Only John Kerry,Non-white female,30-44,40-49,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,All others,All others,All others,Weekly,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,Black,West,Suburbs,Suburbs,1.0,42420.0
1474384.0,Kentucky,43.0,State,1.0,Call 2,Complete,3.04067063331604,Kerry,Mongiardo,No,Male,Hispanic/Latino,30-39,Democrat,Conservative,"$15,000-$29,999",Better today,Catholic,A few times a month,No,Before that,For your candidate,Omit,Is honest and trustworthy,Somewhat disapprove,Somewhat disapprove,Both of them,Non-white male,30-44,30-39,18-64,Democrat,"Under $50,000","Under $100,000",Catholic,All others,All others,All others,Occasionally,Catholics/Non-weekly,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Bush/Both,Only Kerry/Both,Hispanic/Latino,East/Frankfort/Lexington,Rural,Small cities and Rural,4.0,41003.0
1472050.0,Kentucky,88.0,State,1.0,Call 1,Complete,1.60051000118256,Kerry,Mongiardo,Yes,Male,White,50-59,Democrat,,"$75,000-$99,999",Worse today,Catholic,A few times a year,No,In the last three days,For your candidate,Economy/Jobs,Is honest and trustworthy,Strongly disapprove,Somewhat approve,Only John Kerry,White male,45-59,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,All others,Occasionally,Catholics/Non-weekly,All others,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,Only Kerry/Neither,Only Kerry/Both,White,East/Frankfort/Lexington,Rural,Small cities and Rural,5.0,41722.0
1521042.0,Kentucky,26.0,State,1.0,Call 3,Complete,0.439741909503937,Nader,Mongiardo,Yes,Female,White,60-64,Something Else,Conservative,"Under $15,000",About the same,Protestant,More than once a week,,During the last month,Omit,Moral values,Is intelligent,Omit,Somewhat disapprove,Only George W. Bush,White female,60 or over,50-64,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,All others,Weekly,Protestants/Weekly,All others,Omit,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Bush/Both,Only Bush/Neither,White,West,"City: 50,000 to 500,000","City over 50,000",2.0,42301.0
1495289.0,Kentucky,8.0,State,1.0,Call 2,Complete,0.898959934711456,Bush,Bunning,Yes,Female,White,30-39,Republican,Moderate,"$30,000-$49,999",Better today,Something else,More than once a week,Yes,Just today,Against his opponent,Terrorism,Is a strong leader,Somewhat disapprove,Strongly disapprove,Only George W. Bush,White female,30-44,30-39,18-64,Republican,"Under $50,000","Under $100,000",Something else,White Something else,All others,White evangelicals,Weekly,All others,All others,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,Only Bush/Both,Only Bush/Neither,White,South-central,"City: 10,000 to 49,999",Small cities and Rural,6.0,40422.0
1523373.0,Kentucky,44.0,State,1.0,Call 3,Complete,0.529132425785065,Bush,Bunning,Yes,Male,White,40-44,Republican,Moderate,"$15,000-$29,999",About the same,Protestant,A few times a year,No,Before that,For your candidate,Moral values,Is honest and trustworthy,Strongly approve,Strongly approve,Only George W. Bush,White male,30-44,40-49,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Occasionally,Protestants/Non-weekly,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,West,Suburbs,Suburbs,1.0,42420.0
1472046.0,Kentucky,71.0,State,1.0,Call 1,Not complete,1.2186291217804,Bush,Bunning,Yes,Male,White,65-74,,,,,,,,Before that,For your candidate,Terrorism,Is a strong leader,Strongly approve,,,White male,60 or over,65 or over,65 or over,,,,,,All others,All others,,,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,,,,White,South-central,Rural,Small cities and Rural,2.0,40051.0
1474376.0,Kentucky,58.0,State,1.0,Call 1,Complete,0.496071934700012,Kerry,Mongiardo,Yes,Female,Black,18-24,Democrat,,,Worse today,Other Christian,Once a week,Yes,During the last month,Against his opponent,Terrorism,Will bring about needed change,Strongly disapprove,Strongly disapprove,Only John Kerry,Non-white female,18-29,18-24,18-64,Democrat,,,Protestant/Other Christian,All others,All others,All others,Weekly,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,Black,Jefferson county,"City: 50,000 to 500,000","City over 50,000",3.0,40210.0
1523367.0,Kentucky,25.0,National,4.0,Call 3,Complete,2.84975814819336,Kerry,Mongiardo,Yes,Male,White,18-24,Independent,Moderate,"Under $15,000",,,,,Before that,,,,,,Only George W. Bush,White male,18-29,18-24,18-64,Independent,"Under $50,000","Under $100,000",,,,,,,,,Sometime last week/During the last month/Before that,During the last month/Before that,,Only Bush/Both,Only Bush/Neither,White,West,"City: 50,000 to 500,000","City over 50,000",2.0,42301.0
