ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESNY04,SENNY04,SEX,RACE,AGE9,PARTYID,PHIL3,FTVOTER,INCOME,FINSIT,RELIGN8,EDUC,UNION4,LATINO,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,HNDLECON,IRAQGO,TERRWORR,STECNY,HRCPRES,RUDYPRES,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,COLLEDUC,BUSH,TIME3D,TIMEWK,IRAQ2,IRAQGO2,TERWORR2,BUSHECON,KERRECON,BUSHTERR,KERRTERR,UNIONHH,UNIONVOT,QRACE,SPANISHQ,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1504397.0,New York,106.0,National,1.0,Call 1,Complete,1.54822075366974,Bush,Schumer,Female,White,65-74,Republican,Moderate,No,"$15,000-$29,999",About the same,Catholic,High school graduate,No one does,,Before that,,Terrorism,Has strong religious faith,Somewhat disapprove,Somewhat disapprove,Safer from terrorism,,,Somewhat badly,,,,,White female,60 or over,65 or over,65 or over,Republican,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,,No one in household is union member,Voter is not union member,White,,Rural Upstate,Suburbs,Suburbs,20.0,12804.0
1532765.0,New York,58.0,National,1.0,Call 3,Complete,0.97448343038559,Kerry,Schumer,Female,White,25-29,Democrat,Liberal,No,,About the same,Jewish,College graduate,No one does,No,Before that,,Moral values,Will bring about needed change,Somewhat disapprove,Somewhat disapprove,Safer from terrorism,,,Somewhat badly,,,,,White female,18-29,25-29,18-64,Democrat,,,Jewish,White Jewish,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,,No one in household is union member,Voter is not union member,White,English,New York City,"City over 500,000","City over 50,000",8.0,10024.0
1537428.0,New York,8.0,State,1.0,Call 3,Complete,0.972673952579498,Kerry,Schumer,Male,Black,50-59,Democrat,Moderate,No,"$200,000 or more",Better today,Other Christian,Postgraduate study,No one does,No,Before that,Against his opponent,Economy/Jobs,Cares about people like me,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Somewhat worried,Good,Yes,No,Non-white male,45-59,50-64,18-64,Democrat,"$50,000 or more","$100,000 or more",Protestant/Other Christian,All others,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/Somewhat worried,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,Black,English,New York City,"City over 500,000","City over 50,000",17.0,10471.0
1472103.0,New York,78.0,State,1.0,Call 1,Complete,0.534432947635651,Kerry,Schumer,Female,Black,25-29,Democrat,Liberal,No,"$100,000-$149,999",Worse today,Other Christian,Postgraduate study,"Yes, someone else does",No,During the last month,Against his opponent,Omit,Omit,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Not too worried,Not so good,Yes,No,Non-white female,18-29,25-29,18-64,Democrat,"$50,000 or more","$100,000 or more",Protestant/Other Christian,All others,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Not too/Not at all worried,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Someone in household is union member,Voter is not union member,Black,English,New York City,"City over 500,000","City over 50,000",6.0,11434.0
1504764.0,New York,89.0,State,1.0,Call 2,Complete,0.747380018234253,Kerry,Schumer,Female,Black,30-39,Democrat,Conservative,No,"$50,000-$74,999",Better today,Catholic,Some college/associate degree,No one does,No,Sometime last week,For your candidate,Taxes,Cares about people like me,Strongly approve,Somewhat approve,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Very worried,Good,Yes,Yes,Non-white female,30-44,30-39,18-64,Democrat,"$50,000 or more","Under $100,000",Catholic,All others,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,Somewhat/Very badly,Very/Somewhat worried,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,Black,English,Lower Hudson Valley,Suburbs,Suburbs,18.0,10956.0
1536061.0,New York,15.0,State,1.0,Call 3,Complete,0.574439167976379,Kerry,Did not vote,Male,White,40-44,Republican,Conservative,No,"$50,000-$74,999",Worse today,Other Christian,Some college/associate degree,No one does,No,Before that,For your candidate,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Somewhat worried,Poor,No,Yes,White male,30-44,40-49,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/Somewhat worried,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,White,English,Rural Upstate,Suburbs,Suburbs,27.0,14136.0
1472099.0,New York,84.0,National,4.0,Call 1,Complete,0.699898183345795,Kerry,Schumer,Female,Black,30-39,Democrat,Moderate,,"$150,000-$199,999",,,Postgraduate study,"Yes, someone else does",No,During the last month,,,,,,,Both of them,Only John Kerry,,Somewhat worried,,,,Non-white female,30-44,30-39,18-64,Democrat,"$50,000 or more","$100,000 or more",,,,College graduate,,Sometime last week/During the last month/Before that,During the last month/Before that,,,Very/Somewhat worried,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,Someone in household is union member,Voter is not union member,Black,English,New York City,"City over 500,000","City over 50,000",13.0,10303.0
1504760.0,New York,51.0,State,1.0,Call 2,Complete,1.25173819065094,Bush,Mills,Female,White,50-59,Democrat,Moderate,No,"$75,000-$99,999",About the same,Catholic,Some college/associate degree,No one does,No,Before that,For your candidate,Omit,Is a strong leader,Somewhat approve,Strongly disapprove,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Very worried,Not so good,No,Yes,White female,45-59,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Very/Somewhat well,Very/Somewhat worried,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,White,English,Long Island,Suburbs,Suburbs,3.0,11801.0
1532755.0,New York,15.0,State,1.0,Call 3,Complete,0.847662925720215,Bush,Schumer,Female,Other,30-39,Something Else,Moderate,No,"$30,000-$49,999",About the same,Protestant,High school graduate,No one does,,Before that,Against his opponent,Moral values,Has strong religious faith,Somewhat approve,Somewhat approve,Safer from terrorism,Neither of them,Neither of them,Somewhat badly,Somewhat worried,Not so good,No,No,Non-white female,30-44,30-39,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Somewhat/Very badly,Very/Somewhat worried,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Bush/Neither,No one in household is union member,Voter is not union member,Other,,Rural Upstate,Suburbs,Suburbs,27.0,14136.0
1472287.0,New York,18.0,State,1.0,Call 1,Complete,0.904104471206665,Bush,Schumer,Female,White,50-59,Democrat,Moderate,No,"$30,000-$49,999",About the same,Catholic,College graduate,"Yes, I do",No,During the last month,For your candidate,Moral values,Has strong religious faith,Somewhat approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Not too worried,Good,No,Yes,White female,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,College graduate,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Not too/Not at all worried,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,Someone in household is union member,Voter is union member,White,English,Lower Hudson Valley,Suburbs,Suburbs,19.0,12508.0
1481426.0,New York,69.0,State,1.0,Call 1,Complete,1.48446345329285,Kerry,Schumer,Female,White,60-64,Independent,Moderate,No,"$100,000-$149,999",Worse today,Protestant,Postgraduate study,No one does,No,Before that,Against his opponent,Economy/Jobs,Is a strong leader,Strongly disapprove,Somewhat disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Somewhat badly,Somewhat worried,Poor,Yes,Yes,White female,60 or over,50-64,18-64,Independent,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/Somewhat worried,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,White,English,Upstate Urban,Suburbs,Suburbs,25.0,13104.0
1504754.0,New York,33.0,State,1.0,Call 2,Complete,0.407357424497604,Kerry,Schumer,Male,Hispanic/Latino,40-44,Democrat,Moderate,No,"$50,000-$74,999",Worse today,Catholic,High school graduate,"Yes, I do",Yes,Before that,For your candidate,Omit,Will bring about needed change,Strongly disapprove,Somewhat disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Somewhat worried,Not so good,Yes,Yes,Non-white male,30-44,40-49,18-64,Democrat,"$50,000 or more","Under $100,000",Catholic,All others,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/Somewhat worried,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Someone in household is union member,Voter is union member,Hispanic/Latino,Spanish,New York City,"City over 500,000","City over 50,000",11.0,11212.0
1530415.0,New York,58.0,National,4.0,Call 3,Complete,0.973320007324219,Kerry,Schumer,Female,White,40-44,Independent,Moderate,,"$100,000-$149,999",,,Postgraduate study,No one does,No,Before that,,,,,,,Only George W. Bush,Only John Kerry,,Somewhat worried,,,,White female,30-44,40-49,18-64,Independent,"$50,000 or more","$100,000 or more",,,,College graduate,,Sometime last week/During the last month/Before that,During the last month/Before that,,,Very/Somewhat worried,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,White,English,New York City,"City over 500,000","City over 50,000",8.0,10024.0
1472089.0,New York,51.0,State,1.0,Call 1,Complete,0.791940987110138,Kerry,Schumer,Male,White,50-59,Independent,Liberal,Yes,"$75,000-$99,999",Worse today,None,College graduate,"Yes, I do",No,Before that,For your candidate,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Safer from terrorism,Only John Kerry,Only John Kerry,Somewhat badly,Somewhat worried,Not so good,Yes,No,White male,45-59,50-64,18-64,Independent,"$50,000 or more","Under $100,000",None,White None,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/Somewhat worried,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Someone in household is union member,Voter is union member,White,English,Long Island,Suburbs,Suburbs,3.0,11801.0
1532746.0,New York,44.0,State,1.0,Call 3,Complete,1.19295001029968,Kerry,Schumer,Female,White,18-24,Independent,Liberal,No,"$50,000-$74,999",Better today,Catholic,College graduate,"Yes, someone else does",No,During the last month,Against his opponent,Moral values,Has clear stands on the issues,Somewhat approve,Somewhat approve,Safer from terrorism,Both of them,Both of them,Somewhat well,Somewhat worried,Good,Yes,Yes,White female,18-29,18-24,18-64,Independent,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,College graduate,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Very/Somewhat worried,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,Someone in household is union member,Voter is not union member,White,English,Upstate Urban,Suburbs,Suburbs,28.0,14445.0
1474420.0,New York,85.0,National,4.0,Call 1,Complete,1.06052339076996,Bush,Mills,Female,White,45-49,Republican,Moderate,,"$200,000 or more",,,College graduate,No one does,No,Before that,,,,,,,Only George W. Bush,Only George W. Bush,,Very worried,,,,White female,45-59,40-49,18-64,Republican,"$50,000 or more","$100,000 or more",,,,College graduate,,Sometime last week/During the last month/Before that,During the last month/Before that,,,Very/Somewhat worried,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,White,English,New York City,"City over 500,000","City over 50,000",13.0,10304.0
1533348.0,New York,58.0,National,1.0,Call 3,Complete,0.967495024204254,Bush,Mills,Female,Asian,30-39,Independent,Moderate,No,"$75,000-$99,999",Better today,Other Christian,Postgraduate study,No one does,No,Just today,,Taxes,Has clear stands on the issues,Somewhat disapprove,Somewhat disapprove,Less safe from terrorism,,,Very badly,,,,,Non-white female,30-44,30-39,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,All others,All others,College graduate,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,,No one in household is union member,Voter is not union member,Asian,English,New York City,"City over 500,000","City over 50,000",8.0,10024.0
1504747.0,New York,96.0,State,1.0,Call 2,Complete,1.46593332290649,Bush,Mills,Male,White,25-29,Something Else,Conservative,No,"$75,000-$99,999",Better today,Catholic,College graduate,No one does,No,Before that,For your candidate,Moral values,Has clear stands on the issues,Somewhat disapprove,Somewhat approve,Safer from terrorism,Only George W. Bush,Neither of them,Somewhat well,Somewhat worried,Good,No,Yes,White male,18-29,25-29,18-64,Independent,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Very/Somewhat worried,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,White,English,Long Island,Suburbs,Suburbs,2.0,11722.0
1472083.0,New York,1.0,State,1.0,Call 1,Not complete,1.89000642299652,Kerry,Schumer,Female,White,50-59,,,,,,,,,No,Before that,Against his opponent,Iraq,Is intelligent,Strongly disapprove,,,,,,Very worried,Not so good,,,White female,45-59,50-64,18-64,,,,,,All others,,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,,,Very/Somewhat worried,,,,,,,White,English,Upstate Urban,"City: 50,000 to 500,000","City over 50,000",21.0,12208.0
1532740.0,New York,85.0,National,1.0,Call 3,Not complete,1.12693786621094,Kerry,Schumer,Female,White,75 or over,,,,,,,,,No,Before that,,Omit,Will bring about needed change,Strongly disapprove,,,,,,,,,,White female,60 or over,65 or over,65 or over,,,,,,All others,,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,,,,,,,,,,White,English,New York City,"City over 500,000","City over 50,000",13.0,10304.0
1504743.0,New York,106.0,National,1.0,Call 1,Complete,1.87869822978973,Bush,Mills,Female,White,50-59,Independent,Moderate,No,"$50,000-$74,999",Better today,Protestant,College graduate,No one does,No,Before that,,Omit,Is a strong leader,Strongly approve,Somewhat approve,Safer from terrorism,,,Somewhat badly,,,,,White female,45-59,50-64,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,College graduate,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Somewhat/Very badly,,,,,,No one in household is union member,Voter is not union member,White,English,Rural Upstate,Suburbs,Suburbs,20.0,12804.0
1537404.0,New York,32.0,National,1.0,Call 3,Complete,2.32256412506104,Kerry,Schumer,Male,Hispanic/Latino,30-39,Democrat,Moderate,No,,Worse today,Catholic,Some college/associate degree,No one does,Yes,In the last three days,,Education,Cares about people like me,Strongly disapprove,Strongly disapprove,Safer from terrorism,,,Very badly,,,,,Non-white male,30-44,30-39,18-64,Democrat,,,Catholic,All others,All others,No degree,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,,No one in household is union member,Voter is not union member,Hispanic/Latino,English,New York City,"City over 500,000","City over 50,000",12.0,11208.0
1504739.0,New York,75.0,National,1.0,Call 2,Complete,1.34487128257751,Bush,Schumer,Male,Hispanic/Latino,50-59,Republican,Conservative,No,"$30,000-$49,999",About the same,Catholic,Some college/associate degree,"Yes, I do",No,Just today,,Health care,Has clear stands on the issues,Somewhat approve,Somewhat approve,Safer from terrorism,,,Somewhat well,,,,,Non-white male,45-59,50-64,18-64,Republican,"Under $50,000","Under $100,000",Catholic,All others,All others,No degree,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,Very/Somewhat well,,,,,,Someone in household is union member,Voter is union member,Hispanic/Latino,English,New York City,"City over 500,000","City over 50,000",7.0,11377.0
1535067.0,New York,15.0,State,1.0,Call 3,Complete,0.887156844139099,Bush,Schumer,Male,White,30-39,Independent,Moderate,No,"$15,000-$29,999",About the same,Protestant,High school graduate,No one does,No,Before that,Against his opponent,Moral values,Has clear stands on the issues,Somewhat approve,Strongly disapprove,Safer from terrorism,Neither of them,Neither of them,Very badly,Somewhat worried,Poor,No,No,White male,30-44,30-39,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/Somewhat worried,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Bush/Neither,No one in household is union member,Voter is not union member,White,English,Rural Upstate,Suburbs,Suburbs,27.0,14136.0
1472075.0,New York,98.0,State,1.0,Call 1,Not complete,0.757590293884277,Kerry,Schumer,Female,White,25-29,,,,,,,,,No,Before that,Against his opponent,Economy/Jobs,Is a strong leader,Somewhat disapprove,,,,,,Somewhat worried,Not so good,,,White female,18-29,25-29,18-64,,,,,,All others,,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,,,Very/Somewhat worried,,,,,,,White,English,Long Island,Suburbs,Suburbs,3.0,11704.0
1472692.0,New York,68.0,State,1.0,Call 1,Complete,0.608380794525146,Bush,Schumer,Female,White,30-39,Independent,,No,,About the same,Catholic,College graduate,No one does,No,Before that,Omit,Omit,Omit,Somewhat approve,Strongly disapprove,Less safe from terrorism,Neither of them,Neither of them,Somewhat badly,Somewhat worried,Good,No,No,White female,30-44,30-39,18-64,Independent,,,Catholic,White Catholic,All others,College graduate,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/Somewhat worried,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Bush/Neither,No one in household is union member,Voter is not union member,White,English,Upstate Urban,Suburbs,Suburbs,24.0,13413.0
