ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,PRESNM04,SEX,RACE,AGE9,PARTYID,PHIL3,FTVOTER,INCOME,FINSIT,RELIGN8,ATTEND,EDUC,MARRIED,SPANISH,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,HNDLECON,IRAQGO,JOBSIT,STECNM,LANDBUSH,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,ATTEND2,ATTREL,COLLEDUC,BUSH,TIME3D,TIMEWK,IRAQ2,IRAQGO2,BUSHECON,KERRECON,BUSHTERR,KERRTERR,WOMENWED,QRACEAI,SPANISHQ,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1466658.0,New Mexico,,National,1.0,,Complete,Phone survey,2.29466128349304,Kerry,Female,Other,50-59,Democrat,Moderate,No,"$100,000-$149,999",Worse today,Other Christian,A few times a year,Postgraduate study,Yes,,,,Moral values,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Very badly,,,,Non-white female,45-59,50-64,18-64,Democrat,"$50,000 or more","$100,000 or more",Protestant/Other Christian,All others,All others,Occasionally,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,Married women,Other,,Northwest,Rural,Small cities and Rural,,87801.0
1467148.0,New Mexico,,National,2.0,,Complete,Phone survey,0.747418284416199,Nader,Male,White,30-39,Republican,Conservative,No,"$100,000-$149,999",Better today,Other Christian,More than once a week,College graduate,Yes,,,,Moral values,Is a strong leader,Strongly approve,Strongly approve,Safer from terrorism,,,Somewhat well,,,,White male,30-44,30-39,18-64,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Weekly,All others,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,All others,White,,South/East,"City: 50,000 to 500,000","City over 50,000",,88011.0
1467149.0,New Mexico,,National,2.0,,Complete,Phone survey,2.81067037582397,Kerry,Female,White,,Independent,Liberal,No,,About the same,Something else,A few times a year,High school graduate,,,,,Terrorism,Is intelligent,Omit,Somewhat disapprove,Safer from terrorism,,,Somewhat well,,,,White female,,,,Independent,,,Something else,White Something else,All others,Occasionally,All others,No degree,Omit,,,Somewhat/Strongly disapprove,Very/Somewhat well,,,,,All others,White,,Albuquerque area,Suburbs,Suburbs,,87124.0
1467150.0,New Mexico,,National,2.0,,Complete,Phone survey,2.07138466835022,Bush,Male,Black,50-59,Independent,Liberal,No,"Under $15,000",Worse today,Protestant,A few times a month,High school graduate,No,,,,Moral values,Is honest and trustworthy,Somewhat approve,Somewhat disapprove,Safer from terrorism,,,Somewhat badly,,,,Non-white male,45-59,50-64,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,Occasionally,Protestants/Non-weekly,No degree,Strongly/Somewhat approve,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,All others,Black,,South/East,"City: 10,000 to 49,999",Small cities and Rural,,88201.0
1467151.0,New Mexico,,National,2.0,,Complete,Phone survey,2.83522725105286,Kerry,Female,White,50-59,Democrat,Liberal,No,"$50,000-$74,999",Worse today,,Never,Some college/associate degree,Yes,,,,Health care,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Very badly,,,,White female,45-59,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",,,All others,Never,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,Married women,White,,Northwest,"City: 10,000 to 49,999",Small cities and Rural,,87532.0
1467152.0,New Mexico,,National,2.0,,Complete,Phone survey,3.11620879173279,Bush,Female,White,50-59,Independent,Conservative,No,,About the same,Protestant,Once a week,College graduate,No,,,,Omit,Omit,Strongly approve,Strongly approve,Less safe from terrorism,,,Somewhat well,,,,White female,45-59,50-64,18-64,Independent,,,Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Weekly,Protestants/Weekly,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,All others,White,,Albuquerque area,"City: 50,000 to 500,000","City over 50,000",,87112.0
1467153.0,New Mexico,,National,2.0,,Complete,Phone survey,1.6813805103302,Bush,Female,White,45-49,Independent,Conservative,No,"$50,000-$74,999",About the same,None,A few times a year,College graduate,Yes,,,,Moral values,Is honest and trustworthy,Strongly approve,Strongly approve,Safer from terrorism,,,Somewhat well,,,,White female,45-59,40-49,18-64,Independent,"$50,000 or more","Under $100,000",None,White None,All others,Occasionally,All others,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,Married women,White,,South/East,"City: 50,000 to 500,000","City over 50,000",,88005.0
1467154.0,New Mexico,,National,2.0,,Complete,Phone survey,0.742740333080292,Nader,Male,Hispanic/Latino,30-39,Independent,Conservative,No,"$100,000-$149,999",About the same,Something else,More than once a week,College graduate,Yes,,,,Economy/Jobs,Cares about people like me,Somewhat disapprove,Somewhat disapprove,Safer from terrorism,,,Somewhat well,,,,Non-white male,30-44,30-39,18-64,Independent,"$50,000 or more","$100,000 or more",Something else,All others,All others,Weekly,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Very/Somewhat well,,,,,All others,American Indian,,Northwest,"City: 10,000 to 49,999",Small cities and Rural,,87701.0
1467155.0,New Mexico,,National,2.0,,Complete,Phone survey,0.712127685546875,Nader,Female,White,30-39,Democrat,Liberal,No,,About the same,Something else,Never,College graduate,Yes,,,,Moral values,Will bring about needed change,Strongly disapprove,Somewhat approve,Omit,,,Very well,,,,White female,30-44,30-39,18-64,Democrat,,,Something else,White Something else,All others,Never,All others,College graduate,Somewhat/Strongly disapprove,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,Married women,White,,Northwest,Rural,Small cities and Rural,,87514.0
1467156.0,New Mexico,,National,2.0,,Complete,Phone survey,3.11620879173279,Bush,Female,White,30-39,Independent,Conservative,No,"$30,000-$49,999",Better today,Protestant,More than once a week,Some college/associate degree,Yes,,,,Moral values,Is a strong leader,Strongly approve,Somewhat approve,Safer from terrorism,,,Somewhat well,,,,White female,30-44,30-39,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Weekly,Protestants/Weekly,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,,,,,Married women,White,,Northwest,"City: 10,000 to 49,999",Small cities and Rural,,87020.0
1467157.0,New Mexico,,National,2.0,,Complete,Phone survey,2.14447951316834,Kerry,Female,White,75 or over,Democrat,Liberal,No,"Under $15,000",Worse today,None,Never,High school graduate,Yes,,,,Iraq,Is honest and trustworthy,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Very well,,,,White female,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",None,White None,All others,Never,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Very/Somewhat well,,,,,Married women,White,,Albuquerque area,"City: 50,000 to 500,000","City over 50,000",,87112.0
1467158.0,New Mexico,,National,2.0,,Complete,Phone survey,2.29466128349304,Kerry,Female,Other,50-59,Democrat,Moderate,No,"$100,000-$149,999",Worse today,Other Christian,A few times a year,Postgraduate study,Yes,,,,Moral values,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Very badly,,,,Non-white female,45-59,50-64,18-64,Democrat,"$50,000 or more","$100,000 or more",Protestant/Other Christian,All others,All others,Occasionally,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,Married women,Other,,Northwest,Rural,Small cities and Rural,,87801.0
1467648.0,New Mexico,,National,3.0,,Complete,Phone survey,0.747418284416199,Nader,Male,White,30-39,Republican,Conservative,,"$100,000-$149,999",,Other Christian,More than once a week,,Yes,,,Omit,,,,,,,,,,,,White male,30-44,30-39,18-64,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Weekly,All others,,,,,,,,,,,All others,White,,South/East,"City: 50,000 to 500,000","City over 50,000",,88011.0
1467649.0,New Mexico,,National,3.0,,Complete,Phone survey,2.81067037582397,Kerry,Female,White,,Independent,Liberal,,,,Something else,A few times a year,,,,,For your candidate,,,,,,,,,,,,White female,,,,Independent,,,Something else,White Something else,All others,Occasionally,All others,,,,,,,,,,,All others,White,,Albuquerque area,Suburbs,Suburbs,,87124.0
1467650.0,New Mexico,,National,3.0,,Complete,Phone survey,2.07138466835022,Bush,Male,Black,50-59,Independent,Liberal,,"Under $15,000",,Protestant,A few times a month,,No,,,For your candidate,,,,,,,,,,,,Non-white male,45-59,50-64,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,Occasionally,Protestants/Non-weekly,,,,,,,,,,,All others,Black,,South/East,"City: 10,000 to 49,999",Small cities and Rural,,88201.0
1467651.0,New Mexico,,National,3.0,,Complete,Phone survey,2.83522725105286,Kerry,Female,White,50-59,Democrat,Liberal,,"$50,000-$74,999",,,Never,,Yes,,,Against his opponent,,,,,,,,,,,,White female,45-59,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",,,All others,Never,All others,,,,,,,,,,,Married women,White,,Northwest,"City: 10,000 to 49,999",Small cities and Rural,,87532.0
1467652.0,New Mexico,,National,3.0,,Complete,Phone survey,3.11620879173279,Bush,Female,White,50-59,Independent,Conservative,,,,Protestant,Once a week,,No,,,For your candidate,,,,,,,,,,,,White female,45-59,50-64,18-64,Independent,,,Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Weekly,Protestants/Weekly,,,,,,,,,,,All others,White,,Albuquerque area,"City: 50,000 to 500,000","City over 50,000",,87112.0
1467653.0,New Mexico,,National,3.0,,Complete,Phone survey,1.6813805103302,Bush,Female,White,45-49,Independent,Conservative,,"$50,000-$74,999",,None,A few times a year,,Yes,,,For your candidate,,,,,,,,,,,,White female,45-59,40-49,18-64,Independent,"$50,000 or more","Under $100,000",None,White None,All others,Occasionally,All others,,,,,,,,,,,Married women,White,,South/East,"City: 50,000 to 500,000","City over 50,000",,88005.0
1467654.0,New Mexico,,National,3.0,,Complete,Phone survey,0.742740333080292,Nader,Male,Hispanic/Latino,30-39,Independent,Conservative,,"$100,000-$149,999",,Something else,More than once a week,,Yes,,,Omit,,,,,,,,,,,,Non-white male,30-44,30-39,18-64,Independent,"$50,000 or more","$100,000 or more",Something else,All others,All others,Weekly,All others,,,,,,,,,,,All others,American Indian,,Northwest,"City: 10,000 to 49,999",Small cities and Rural,,87701.0
1467655.0,New Mexico,,National,3.0,,Complete,Phone survey,0.712127685546875,Nader,Female,White,30-39,Democrat,Liberal,,,,Something else,Never,,Yes,,,Omit,,,,,,,,,,,,White female,30-44,30-39,18-64,Democrat,,,Something else,White Something else,All others,Never,All others,,,,,,,,,,,Married women,White,,Northwest,Rural,Small cities and Rural,,87514.0
1467656.0,New Mexico,,National,3.0,,Complete,Phone survey,3.11620879173279,Bush,Female,White,30-39,Independent,Conservative,,"$30,000-$49,999",,Protestant,More than once a week,,Yes,,,For your candidate,,,,,,,,,,,,White female,30-44,30-39,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Weekly,Protestants/Weekly,,,,,,,,,,,Married women,White,,Northwest,"City: 10,000 to 49,999",Small cities and Rural,,87020.0
1467657.0,New Mexico,,National,3.0,,Complete,Phone survey,2.14447951316834,Kerry,Female,White,75 or over,Democrat,Liberal,,"Under $15,000",,None,Never,,Yes,,,Against his opponent,,,,,,,,,,,,White female,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",None,White None,All others,Never,All others,,,,,,,,,,,Married women,White,,Albuquerque area,"City: 50,000 to 500,000","City over 50,000",,87112.0
1467658.0,New Mexico,,National,3.0,,Complete,Phone survey,2.29466128349304,Kerry,Female,Other,50-59,Democrat,Moderate,,"$100,000-$149,999",,Other Christian,A few times a year,,Yes,,,For your candidate,,,,,,,,,,,,Non-white female,45-59,50-64,18-64,Democrat,"$50,000 or more","$100,000 or more",Protestant/Other Christian,All others,All others,Occasionally,All others,,,,,,,,,,,Married women,Other,,Northwest,Rural,Small cities and Rural,,87801.0
1468148.0,New Mexico,,National,4.0,,Complete,Phone survey,0.747418284416199,Nader,Male,White,30-39,Republican,Conservative,,"$100,000-$149,999",,,,College graduate,Yes,,,,,,,,,Only George W. Bush,Only George W. Bush,,Better today,,,White male,30-44,30-39,18-64,Republican,"$50,000 or more","$100,000 or more",,,,,,College graduate,,,,,,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,All others,White,,South/East,"City: 50,000 to 500,000","City over 50,000",,88011.0
1468149.0,New Mexico,,National,4.0,,Complete,Phone survey,2.81067037582397,Kerry,Female,White,,Independent,Liberal,,,,,,High school graduate,,,,,,,,,,Only John Kerry,Only John Kerry,,About the same,,,White female,,,,Independent,,,,,,,,No degree,,,,,,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,All others,White,,Albuquerque area,Suburbs,Suburbs,,87124.0
1468150.0,New Mexico,,National,4.0,,Complete,Phone survey,2.07138466835022,Bush,Male,Black,50-59,Independent,Liberal,,"Under $15,000",,,,High school graduate,No,,,,,,,,,Only George W. Bush,Only George W. Bush,,Worse today,,,Non-white male,45-59,50-64,18-64,Independent,"Under $50,000","Under $100,000",,,,,,No degree,,,,,,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,All others,Black,,South/East,"City: 10,000 to 49,999",Small cities and Rural,,88201.0
1468151.0,New Mexico,,National,4.0,,Complete,Phone survey,2.83522725105286,Kerry,Female,White,50-59,Democrat,Liberal,,"$50,000-$74,999",,,,Some college/associate degree,Yes,,,,,,,,,Only John Kerry,Neither of them,,About the same,,,White female,45-59,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",,,,,,No degree,,,,,,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Kerry/Both,Married women,White,,Northwest,"City: 10,000 to 49,999",Small cities and Rural,,87532.0
1468152.0,New Mexico,,National,4.0,,Complete,Phone survey,3.11620879173279,Bush,Female,White,50-59,Independent,Conservative,,,,,,College graduate,No,,,,,,,,,Only George W. Bush,Only George W. Bush,,About the same,,,White female,45-59,50-64,18-64,Independent,,,,,,,,College graduate,,,,,,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,All others,White,,Albuquerque area,"City: 50,000 to 500,000","City over 50,000",,87112.0
1468153.0,New Mexico,,National,4.0,,Complete,Phone survey,1.6813805103302,Bush,Female,White,45-49,Independent,Conservative,,"$50,000-$74,999",,,,College graduate,Yes,,,,,,,,,Only George W. Bush,Only George W. Bush,,About the same,,,White female,45-59,40-49,18-64,Independent,"$50,000 or more","Under $100,000",,,,,,College graduate,,,,,,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,Married women,White,,South/East,"City: 50,000 to 500,000","City over 50,000",,88005.0
1468154.0,New Mexico,,National,4.0,,Complete,Phone survey,0.742740333080292,Nader,Male,Hispanic/Latino,30-39,Independent,Conservative,,"$100,000-$149,999",,,,College graduate,Yes,,,,,,,,,Only George W. Bush,Only John Kerry,,Worse today,,,Non-white male,30-44,30-39,18-64,Independent,"$50,000 or more","$100,000 or more",,,,,,College graduate,,,,,,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Bush/Both,Only Bush/Neither,All others,American Indian,,Northwest,"City: 10,000 to 49,999",Small cities and Rural,,87701.0
1468155.0,New Mexico,,National,4.0,,Complete,Phone survey,0.712127685546875,Nader,Female,White,30-39,Democrat,Liberal,,,,,,College graduate,Yes,,,,,,,,,Only John Kerry,Neither of them,,About the same,,,White female,30-44,30-39,18-64,Democrat,,,,,,,,College graduate,,,,,,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Kerry/Both,Married women,White,,Northwest,Rural,Small cities and Rural,,87514.0
1468156.0,New Mexico,,National,4.0,,Complete,Phone survey,3.11620879173279,Bush,Female,White,30-39,Independent,Conservative,,"$30,000-$49,999",,,,Some college/associate degree,Yes,,,,,,,,,Only George W. Bush,Both of them,,About the same,,,White female,30-44,30-39,18-64,Independent,"Under $50,000","Under $100,000",,,,,,No degree,,,,,,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Bush/Both,Only Bush/Neither,Married women,White,,Northwest,"City: 10,000 to 49,999",Small cities and Rural,,87020.0
1468157.0,New Mexico,,National,4.0,,Complete,Phone survey,2.14447951316834,Kerry,Female,White,75 or over,Democrat,Liberal,,"Under $15,000",,,,High school graduate,Yes,,,,,,,,,Only John Kerry,Only John Kerry,,Worse today,,,White female,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",,,,,,No degree,,,,,,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Married women,White,,Albuquerque area,"City: 50,000 to 500,000","City over 50,000",,87112.0
1468158.0,New Mexico,,National,4.0,,Complete,Phone survey,2.29466128349304,Kerry,Female,Other,50-59,Democrat,Moderate,,"$100,000-$149,999",,,,Postgraduate study,Yes,,,,,,,,,Only John Kerry,Only John Kerry,,Worse today,,,Non-white female,45-59,50-64,18-64,Democrat,"$50,000 or more","$100,000 or more",,,,,,College graduate,,,,,,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Married women,Other,,Northwest,Rural,Small cities and Rural,,87801.0
1470757.0,New Mexico,,State,1.0,,Complete,Phone survey,2.91199898719788,Bush,Female,White,65-74,Republican,Moderate,No,"$30,000-$49,999",Worse today,Protestant,A few times a month,High school graduate,Yes,No,,For your candidate,Omit,Cares about people like me,Strongly approve,Somewhat approve,Omit,Only George W. Bush,Omit,Omit,About the same,Omit,Omit,White female,60 or over,65 or over,65 or over,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Occasionally,Protestants/Non-weekly,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Omit,Omit,Omit,Only Bush/Both,Only Bush/Neither,Married women,White,English,Northwest,"City: 10,000 to 49,999",Small cities and Rural,,87701.0
1470758.0,New Mexico,,State,1.0,,Complete,Phone survey,2.83522725105286,Kerry,Female,White,50-59,Independent,Moderate,No,"$100,000-$149,999",About the same,Protestant,A few times a year,Some college/associate degree,Yes,No,,Against his opponent,Iraq,Is honest and trustworthy,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Worse today,Poor,Hurt your state,White female,45-59,50-64,18-64,Independent,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,Occasionally,Protestants/Non-weekly,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Married women,White,English,Albuquerque area,"City: 50,000 to 500,000","City over 50,000",,87108.0
1470759.0,New Mexico,,State,1.0,,Complete,Phone survey,2.64943051338196,Kerry,Female,White,60-64,Independent,Liberal,No,"Under $15,000",Worse today,Catholic,Once a week,Some college/associate degree,Yes,No,,Against his opponent,Education,Will bring about needed change,Strongly disapprove,Strongly disapprove,Safer from terrorism,Only George W. Bush,Neither of them,Somewhat badly,About the same,Poor,Hurt your state,White female,60 or over,50-64,18-64,Independent,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,Weekly,Catholics/Weekly,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,Married women,White,English,South/East,,,,88028.0
1470760.0,New Mexico,,State,1.0,,Complete,Phone survey,1.76985859870911,Kerry,Female,White,40-44,Democrat,Moderate,No,"Under $15,000",About the same,Protestant,Never,High school graduate,No,No,,Against his opponent,Education,Cares about people like me,Somewhat disapprove,Somewhat approve,Safer from terrorism,Only George W. Bush,Neither of them,Somewhat badly,About the same,Not so good,Not affected your state,White female,30-44,40-49,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Never,Protestants/Non-weekly,No degree,Somewhat/Strongly disapprove,,,Strongly/Somewhat approve,Somewhat/Very badly,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,All others,White,English,South/East,"City: 10,000 to 49,999",Small cities and Rural,,88220.0
