ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESNJ04,SEX,RACE,AGE9,PARTYID,PHIL3,FTVOTER,INCOME,FINSIT,RELIGN8,EDUC,UNION4,MARRIED,LATINO,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,HNDLECON,IRAQGO,TERRWORR,STECNJ,MCGREEVY,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,COLLEDUC,BUSH,TIME3D,TIMEWK,IRAQ2,IRAQGO2,TERWORR2,BUSHECON,KERRECON,BUSHTERR,KERRTERR,UNIONHH,UNIONVOT,WOMENWED,QRACE,SPANISHQ,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1528094.0,New Jersey,43.0,National,4.0,Call 3,Complete,0.345233649015427,Kerry,Female,White,50-59,Democrat,Liberal,,"$100,000-$149,999",,,Postgraduate study,"Yes, I do",Yes,No,Before that,,,,,,,Only John Kerry,Only John Kerry,,Very worried,,,White female,45-59,50-64,18-64,Democrat,"$50,000 or more","$100,000 or more",,,,College graduate,,Sometime last week/During the last month/Before that,During the last month/Before that,,,Very/Somewhat worried,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Someone in household is union member,Voter is union member,Married women,White,English,Central,Suburbs,Suburbs,12.0,8852.0
1472101.0,New Jersey,64.0,State,1.0,Call 1,Complete,0.914405167102814,Kerry,Female,White,30-39,Democrat,Liberal,No,"$75,000-$99,999",Worse today,Catholic,College graduate,No one does,No,No,Before that,Against his opponent,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Safer from terrorism,Both of them,Only John Kerry,Very badly,Very worried,Not so good,Served out his full term in office,White female,30-44,30-39,18-64,Democrat,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/Somewhat worried,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,English,South,Suburbs,Suburbs,4.0,8742.0
1525759.0,New Jersey,64.0,State,1.0,Call 3,Complete,0.914405167102814,Kerry,Female,White,30-39,Something Else,Liberal,No,"$30,000-$49,999",Better today,Catholic,College graduate,"Yes, I do",No,No,Before that,Against his opponent,Terrorism,Will bring about needed change,Somewhat disapprove,Somewhat disapprove,Less safe from terrorism,Neither of them,Neither of them,Somewhat badly,Somewhat worried,Not so good,Served out his full term in office,White female,30-44,30-39,18-64,Independent,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/Somewhat worried,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Bush/Neither,Someone in household is union member,Voter is union member,All others,White,English,South,Suburbs,Suburbs,4.0,8742.0
1472096.0,New Jersey,42.0,State,1.0,Call 1,Complete,0.807716429233551,Kerry,Female,White,50-59,Democrat,Liberal,No,"$75,000-$99,999",About the same,Catholic,College graduate,"Yes, I do",No,No,During the last month,For your candidate,Economy/Jobs,Is intelligent,Strongly disapprove,Somewhat disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Somewhat badly,Somewhat worried,Good,Served out his full term in office,White female,45-59,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/Somewhat worried,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Someone in household is union member,Voter is union member,All others,White,English,Central,Suburbs,Suburbs,12.0,8852.0
1497757.0,New Jersey,49.0,State,1.0,Call 2,Complete,1.52845323085785,Bush,Male,Black,30-39,,Conservative,No,"$50,000-$74,999",Omit,,Some college/associate degree,,Yes,No,During the last month,Against his opponent,Economy/Jobs,Omit,Somewhat approve,Omit,Safer from terrorism,Omit,Omit,Somewhat badly,Somewhat worried,Good,Omit,Non-white male,30-44,30-39,18-64,,"$50,000 or more","Under $100,000",,All others,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Omit,Somewhat/Very badly,Very/Somewhat worried,Omit,Omit,Omit,Omit,,,All others,Black,English,Central,Suburbs,Suburbs,6.0,7753.0
1472093.0,New Jersey,40.0,State,1.0,Call 1,Complete,1.12185978889465,Bush,Female,White,50-59,Independent,Moderate,No,"$100,000-$149,999",Better today,Catholic,Postgraduate study,No one does,Yes,No,During the last month,For your candidate,Terrorism,Is a strong leader,Strongly approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Very well,Very worried,Good,Resigned,White female,45-59,50-64,18-64,Independent,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,College graduate,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Very/Somewhat worried,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,Married women,White,English,Central,Suburbs,Suburbs,6.0,8854.0
1528084.0,New Jersey,21.0,State,1.0,Call 3,Complete,0.901597797870636,Kerry,Male,Black,45-49,Something Else,Moderate,No,"$30,000-$49,999",Worse today,None,Some college/associate degree,"Yes, someone else does",No,No,In the last three days,For your candidate,Economy/Jobs,Will bring about needed change,Somewhat disapprove,Somewhat approve,Safer from terrorism,Both of them,Only John Kerry,Very badly,Somewhat worried,Good,Served out his full term in office,Non-white male,45-59,40-49,18-64,Independent,"Under $50,000","Under $100,000",None,All others,All others,No degree,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,Somewhat/Very badly,Very/Somewhat worried,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,Someone in household is union member,Voter is not union member,All others,Black,English,Northern cities,"City: 50,000 to 500,000","City over 50,000",10.0,7103.0
1528083.0,New Jersey,51.0,State,1.0,Call 3,Complete,0.994984745979309,Kerry,Female,White,60-64,Democrat,Conservative,No,"$15,000-$29,999",Worse today,Protestant,High school graduate,No one does,No,No,Before that,For your candidate,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Somewhat badly,Somewhat worried,Not so good,Served out his full term in office,White female,60 or over,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/Somewhat worried,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,English,Northwest,Suburbs,Suburbs,11.0,7438.0
1499853.0,New Jersey,28.0,State,1.0,Call 2,Complete,1.97681903839111,Bush,Female,White,60-64,Democrat,Liberal,No,"$30,000-$49,999",About the same,Catholic,High school graduate,No one does,No,No,Before that,For your candidate,Terrorism,Is a strong leader,Somewhat approve,Somewhat approve,Less safe from terrorism,Only George W. Bush,Only George W. Bush,Somewhat badly,Very worried,Not so good,Served out his full term in office,White female,60 or over,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Somewhat/Very badly,Very/Somewhat worried,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,English,Northern cities,Suburbs,Suburbs,13.0,7030.0
1472088.0,New Jersey,21.0,State,1.0,Call 1,Complete,1.40663957595825,Bush,Female,Hispanic/Latino,40-44,Republican,Moderate,Yes,"$15,000-$29,999",About the same,Other Christian,High school graduate,No one does,Yes,Yes,Before that,Against his opponent,Education,Will bring about needed change,Somewhat approve,Somewhat approve,Less safe from terrorism,Only George W. Bush,Only George W. Bush,Somewhat badly,Somewhat worried,Not so good,Served out his full term in office,Non-white female,30-44,40-49,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Somewhat/Very badly,Very/Somewhat worried,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,Married women,Hispanic/Latino,English,Northern cities,"City: 50,000 to 500,000","City over 50,000",10.0,7103.0
1528078.0,New Jersey,70.0,National,1.0,Call 3,Complete,1.46149635314941,Bush,Male,White,45-49,Republican,Conservative,No,"$75,000-$99,999",About the same,Catholic,High school graduate,"Yes, I do",Yes,No,Before that,,Iraq,Has clear stands on the issues,Strongly approve,Somewhat approve,Safer from terrorism,,,Somewhat well,,,,White male,45-59,40-49,18-64,Republican,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,,,,,,Someone in household is union member,Voter is union member,All others,White,English,Bergen/Passaic,Suburbs,Suburbs,8.0,7424.0
1472085.0,New Jersey,63.0,State,1.0,Call 1,Complete,2.90242004394531,Kerry,Female,White,65-74,Democrat,Moderate,No,"$30,000-$49,999",About the same,Catholic,Some college/associate degree,No one does,Yes,No,Before that,Against his opponent,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Both of them,Only John Kerry,Very badly,Somewhat worried,Good,Served out his full term in office,White female,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/Somewhat worried,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,No one in household is union member,Voter is not union member,Married women,White,English,South,Suburbs,Suburbs,4.0,8759.0
1528074.0,New Jersey,68.0,State,1.0,Call 3,Complete,0.997433185577393,Kerry,Female,White,40-44,Independent,Moderate,No,"$100,000-$149,999",Better today,Protestant,College graduate,No one does,Yes,No,Before that,Against his opponent,Iraq,Will bring about needed change,Somewhat disapprove,Strongly disapprove,Less safe from terrorism,Omit,Omit,Very badly,Somewhat worried,Good,Served out his full term in office,White female,30-44,40-49,18-64,Independent,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/Somewhat worried,Omit,Omit,Omit,Omit,No one in household is union member,Voter is not union member,Married women,White,English,Bergen/Passaic,Suburbs,Suburbs,5.0,7456.0
1472079.0,New Jersey,28.0,State,1.0,Call 1,Complete,1.42108762264252,Bush,Female,White,18-24,Independent,Moderate,No,"$50,000-$74,999",Better today,Catholic,College graduate,No one does,No,No,Before that,For your candidate,Terrorism,Is a strong leader,Somewhat approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat badly,Very worried,Not so good,Served out his full term in office,White female,18-29,18-24,18-64,Independent,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,College graduate,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Somewhat/Very badly,Very/Somewhat worried,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,English,Northern cities,Suburbs,Suburbs,13.0,7030.0
1530403.0,New Jersey,59.0,National,2.0,Call 3,Complete,0.976001620292664,Bush,Female,White,30-39,Republican,Liberal,No,"$100,000-$149,999",Better today,Other Christian,Some college/associate degree,No one does,Yes,No,Before that,,Terrorism,Has clear stands on the issues,Strongly approve,Strongly disapprove,Safer from terrorism,,,Somewhat well,,,,White female,30-44,30-39,18-64,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Very/Somewhat well,,,,,,No one in household is union member,Voter is not union member,Married women,White,English,South,Suburbs,Suburbs,3.0,8753.0
1474410.0,New Jersey,49.0,State,1.0,Call 1,Complete,0.314730823040009,Nader,Female,White,40-44,Independent,Moderate,Yes,"$100,000-$149,999",Worse today,Jewish,College graduate,No one does,Yes,No,Before that,Against his opponent,Moral values,Is honest and trustworthy,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Neither of them,Neither of them,Very badly,Very worried,Not so good,Resigned,White female,30-44,40-49,18-64,Independent,"$50,000 or more","$100,000 or more",Jewish,White Jewish,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/Somewhat worried,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Bush/Neither,No one in household is union member,Voter is not union member,Married women,White,English,Central,Suburbs,Suburbs,6.0,7753.0
1472076.0,New Jersey,55.0,National,1.0,Call 1,Complete,0.718890786170959,Kerry,Female,White,50-59,Independent,Liberal,No,"$30,000-$49,999",About the same,Other Christian,Some college/associate degree,No one does,Yes,No,Before that,,Iraq,Is honest and trustworthy,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,,Very badly,,,,White female,45-59,50-64,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,,No one in household is union member,Voter is not union member,Married women,White,English,Northwest,Suburbs,Suburbs,11.0,7054.0
1497738.0,New Jersey,50.0,State,1.0,Call 2,Complete,0.807716429233551,Kerry,Female,White,50-59,Independent,Moderate,No,,Better today,Protestant,College graduate,No one does,No,No,Sometime last week,Against his opponent,Health care,Has clear stands on the issues,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Neither of them,Neither of them,Very badly,Very worried,Not so good,Resigned,White female,45-59,50-64,18-64,Independent,,,Protestant/Other Christian,White Protestant/Other Christian,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/Somewhat worried,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,English,Central,Suburbs,Suburbs,4.0,7719.0
1525733.0,New Jersey,71.0,National,1.0,Call 3,Complete,0.674397528171539,Kerry,Female,White,18-24,Republican,Moderate,Yes,"$50,000-$74,999",Worse today,Something else,College graduate,No one does,Yes,No,Before that,,Iraq,Will bring about needed change,Somewhat disapprove,Somewhat disapprove,Less safe from terrorism,,,Very badly,,,,White female,18-29,18-24,18-64,Republican,"$50,000 or more","Under $100,000",Something else,White Something else,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,,,,,,No one in household is union member,Voter is not union member,Married women,White,English,South,Suburbs,Suburbs,2.0,8069.0
1535064.0,New Jersey,33.0,National,4.0,Call 3,Complete,0.56220531463623,Bush,Female,White,25-29,Republican,Conservative,,"$150,000-$199,999",,,Postgraduate study,No one does,Yes,No,Before that,,,,,,,Only George W. Bush,Only George W. Bush,,Somewhat worried,,,White female,18-29,25-29,18-64,Republican,"$50,000 or more","$100,000 or more",,,,College graduate,,Sometime last week/During the last month/Before that,During the last month/Before that,,,Very/Somewhat worried,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,Married women,White,English,Northwest,Suburbs,Suburbs,7.0,8848.0
1497735.0,New Jersey,68.0,State,1.0,Call 2,Complete,0.997433185577393,Kerry,Female,White,40-44,Independent,Moderate,No,"$100,000-$149,999",About the same,Jewish,College graduate,"Yes, someone else does",Yes,No,During the last month,Against his opponent,Health care,Will bring about needed change,Somewhat disapprove,Somewhat approve,Safer from terrorism,Both of them,Only John Kerry,Very badly,Very worried,Not so good,Served out his full term in office,White female,30-44,40-49,18-64,Independent,"$50,000 or more","$100,000 or more",Jewish,White Jewish,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Somewhat/Very badly,Very/Somewhat worried,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,Someone in household is union member,Voter is not union member,Married women,White,English,Bergen/Passaic,Suburbs,Suburbs,5.0,7456.0
1500067.0,New Jersey,74.0,State,1.0,Call 2,Complete,1.02079343795776,Bush,Female,Black,18-24,Something Else,Moderate,Yes,"$15,000-$29,999",Worse today,Protestant,College graduate,"Yes, someone else does",Yes,No,In the last three days,Against his opponent,Iraq,Will bring about needed change,Somewhat disapprove,Strongly approve,Less safe from terrorism,Only John Kerry,Both of them,Somewhat badly,Not too worried,Good,Served out his full term in office,Non-white female,18-29,18-24,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,College graduate,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,Somewhat/Very badly,Not too/Not at all worried,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Someone in household is union member,Voter is not union member,Married women,Black,English,Northwest,Suburbs,Suburbs,7.0,7063.0
1472070.0,New Jersey,23.0,State,1.0,Call 1,Complete,1.15143024921417,Bush,Male,White,45-49,Republican,Moderate,No,"$50,000-$74,999",Better today,Catholic,Some college/associate degree,No one does,Yes,No,Before that,For your candidate,Iraq,Is a strong leader,Strongly approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat well,Somewhat worried,Good,Served out his full term in office,White male,45-59,40-49,18-64,Republican,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/Somewhat well,Very/Somewhat worried,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,All others,White,English,South,Suburbs,Suburbs,1.0,8085.0
1502398.0,New Jersey,27.0,State,1.0,Call 2,Complete,0.712644457817078,Kerry,Female,White,30-39,Democrat,Moderate,No,"$15,000-$29,999",Worse today,Catholic,College graduate,No one does,No,No,Before that,For your candidate,Economy/Jobs,Will bring about needed change,Somewhat disapprove,Somewhat approve,Less safe from terrorism,Only John Kerry,Only John Kerry,Somewhat badly,Somewhat worried,Poor,Served out his full term in office,White female,30-44,30-39,18-64,Democrat,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Somewhat/Very badly,Very/Somewhat worried,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,All others,White,English,Northern cities,Suburbs,Suburbs,13.0,7029.0
