ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,TELEPOLL,WGT,PRESWA04,SENWA04,GOVWA04,SEX,RACE,AGE9,PARTYID,PHIL3,FTVOTER,INCOME,FINSIT,RELIGN8,ATTEND,EDUC,UNION4,LATINO,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,HNDLECON,IRAQGO,STECWA,COUNTACC,ENVIRON,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,ATTEND2,ATTREL,COLLEDUC,BUSH,TIME3D,TIMEWK,IRAQ2,IRAQGO2,COUNT2,BUSHECON,KERRECON,BUSHTERR,KERRTERR,UNIONHH,UNIONVOT,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1464193.0,Washington,,State,1.0,,Complete,Phone survey,2.53681492805481,Bush,Nethercutt,Rossi,Male,White,50-59,Something Else,Conservative,No,,About the same,Protestant,A few times a year,Postgraduate study,No one does,No,,Against his opponent,Terrorism,Is honest and trustworthy,Somewhat approve,Somewhat approve,Safer from terrorism,Only George W. Bush,Both of them,Somewhat well,Good,Somewhat confident,Keeping jobs in your state,White male,45-59,50-64,18-64,Independent,,,Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Occasionally,Protestants/Non-weekly,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,Very/somewhat confident,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,White,King County,"City over 500,000","City over 50,000",,98103.0
1464194.0,Washington,,State,1.0,,Complete,Phone survey,2.52627635002136,Kerry,Murray,Gregoire,Male,White,50-59,Democrat,Liberal,No,"$200,000 or more",Better today,Other Christian,Once a week,College graduate,No one does,No,,Omit,Moral values,Is honest and trustworthy,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Good,Somewhat confident,Protecting the environment,White male,45-59,50-64,18-64,Democrat,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,Weekly,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,White,King County,"City over 500,000","City over 50,000",,98122.0
1464195.0,Washington,,State,1.0,,Complete,Phone survey,2.52627635002136,Kerry,Murray,Gregoire,Female,White,45-49,Democrat,Liberal,No,"$100,000-$149,999",About the same,Jewish,A few times a year,College graduate,No one does,No,,Against his opponent,Iraq,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Good,Very confident,Protecting the environment,White female,45-59,40-49,18-64,Democrat,"$50,000 or more","$100,000 or more",Jewish,White Jewish,All others,Occasionally,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,White,King County,"City over 500,000","City over 50,000",,98122.0
1464196.0,Washington,,State,1.0,,Complete,Phone survey,2.52627635002136,Kerry,Murray,Gregoire,Male,White,30-39,Independent,Liberal,No,"$30,000-$49,999",Worse today,None,Never,College graduate,No one does,No,,Against his opponent,Omit,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Somewhat badly,Poor,Somewhat confident,Protecting the environment,White male,30-44,30-39,18-64,Independent,"Under $50,000","Under $100,000",None,White None,All others,Never,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,White,King County,"City over 500,000","City over 50,000",,98109.0
1464197.0,Washington,,State,1.0,,Complete,Phone survey,2.36588788032532,,Murray,Gregoire,Male,White,30-39,Democrat,Moderate,No,,Worse today,Something else,Never,Some college/associate degree,No one does,No,,Omit,Iraq,Cares about people like me,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Omit,Somewhat badly,Not so good,Somewhat confident,Omit,White male,30-44,30-39,18-64,Democrat,,,Something else,White Something else,All others,Never,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Omit,Omit,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,White,King County,"City over 500,000","City over 50,000",,98125.0
1464198.0,Washington,,State,1.0,,Complete,Phone survey,1.56722795963287,Bush,Did not vote,Rossi,Female,White,30-39,Independent,Moderate,No,"$30,000-$49,999",Better today,Protestant,More than once a week,College graduate,No one does,No,,For your candidate,Moral values,Has clear stands on the issues,Somewhat approve,Somewhat approve,Omit,Only George W. Bush,Both of them,Somewhat badly,Good,Very confident,Omit,White female,30-44,30-39,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Weekly,Protestants/Weekly,College graduate,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Somewhat/Very badly,Very/somewhat confident,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,White,King County,"City over 500,000","City over 50,000",,98117.0
1464199.0,Washington,,State,1.0,,Complete,Phone survey,2.53681492805481,Bush,Nethercutt,Rossi,Female,Other,65-74,Republican,Moderate,No,"$100,000-$149,999",About the same,Protestant,A few times a year,Some college/associate degree,No one does,No,,For your candidate,Terrorism,Is honest and trustworthy,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Somewhat badly,Not so good,Not very confident,Keeping jobs in your state,Non-white female,60 or over,65 or over,65 or over,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,All others,All others,Occasionally,Protestants/Non-weekly,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Somewhat/Very badly,Not very/Not at all confident,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,Other,King County,"City over 500,000","City over 50,000",,98122.0
1464200.0,Washington,,State,1.0,,Complete,Phone survey,2.52627635002136,Kerry,Murray,Gregoire,Female,White,45-49,Democrat,Liberal,No,,Worse today,None,Never,Postgraduate study,"Yes, I do",No,,For your candidate,Moral values,Will bring about needed change,Strongly disapprove,Strongly disapprove,Safer from terrorism,Only John Kerry,Only John Kerry,Very badly,Not so good,Somewhat confident,Protecting the environment,White female,45-59,40-49,18-64,Democrat,,,None,White None,All others,Never,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Someone in household is union member,Voter is union member,White,King County,"City over 500,000","City over 50,000",,98122.0
1464201.0,Washington,,State,1.0,,Complete,Phone survey,1.64630854129791,Kerry,Did not vote,Did not vote,Male,White,25-29,Independent,Liberal,No,"$100,000-$149,999",About the same,Catholic,A few times a year,College graduate,"Yes, someone else does",No,,Against his opponent,Moral values,Will bring about needed change,Somewhat disapprove,Strongly disapprove,Omit,Neither of them,Only John Kerry,Somewhat well,Good,Very confident,Protecting the environment,White male,18-29,25-29,18-64,Independent,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,Occasionally,Catholics/Non-weekly,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Very/Somewhat well,Very/somewhat confident,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Bush/Neither,Someone in household is union member,Voter is not union member,White,King County,"City over 500,000","City over 50,000",,98109.0
1464202.0,Washington,,State,1.0,,Complete,Phone survey,2.66481995582581,Kerry,Nethercutt,Did not vote,Male,White,30-39,Independent,Moderate,No,"$100,000-$149,999",Better today,Protestant,A few times a month,Postgraduate study,No one does,No,,Against his opponent,Economy/Jobs,Is intelligent,Somewhat disapprove,Somewhat disapprove,Less safe from terrorism,Neither of them,Neither of them,Somewhat badly,Not so good,Very confident,Protecting the environment,White male,30-44,30-39,18-64,Independent,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,Occasionally,Protestants/Non-weekly,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Bush/Neither,No one in household is union member,Voter is not union member,White,King County,"City over 500,000","City over 50,000",,98115.0
1464203.0,Washington,,State,1.0,,Complete,Phone survey,2.52627635002136,Kerry,Murray,Gregoire,Male,White,18-24,Democrat,Liberal,Yes,,Worse today,Catholic,A few times a year,High school graduate,"Yes, someone else does",No,,For your candidate,Economy/Jobs,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Somewhat badly,Not so good,Somewhat confident,Keeping jobs in your state,White male,18-29,18-24,18-64,Democrat,,,Catholic,White Catholic,All others,Occasionally,Catholics/Non-weekly,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Someone in household is union member,Voter is not union member,White,King County,"City over 500,000","City over 50,000",,98133.0
1464204.0,Washington,,State,1.0,,Complete,Phone survey,2.52603316307068,Kerry,Murray,Did not vote,Male,White,45-49,Democrat,Liberal,No,,About the same,None,Never,Postgraduate study,No one does,No,,Omit,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Omit,Both of them,Both of them,Very badly,Good,Not very confident,Protecting the environment,White male,45-59,40-49,18-64,Democrat,,,None,White None,All others,Never,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Not very/Not at all confident,Only George W. Bush/Both of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,No one in household is union member,Voter is not union member,White,King County,"City over 500,000","City over 50,000",,98117.0
1464205.0,Washington,,State,1.0,,Complete,Phone survey,2.53681492805481,Bush,Nethercutt,Rossi,Female,White,,Independent,Moderate,No,,Better today,Protestant,Never,High school graduate,No one does,No,,For your candidate,Omit,Omit,Strongly approve,Strongly approve,Omit,Only George W. Bush,Only George W. Bush,Somewhat well,Good,Somewhat confident,Omit,White female,,,,Independent,,,Protestant/Other Christian,White Protestant/Other Christian,All others,Never,Protestants/Non-weekly,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,Very/somewhat confident,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,White,King County,"City over 500,000","City over 50,000",,98117.0
1464206.0,Washington,,State,1.0,,Complete,Phone survey,2.40819478034973,Bush,Murray,Gregoire,Male,Other,75 or over,Independent,Conservative,No,"$30,000-$49,999",About the same,Protestant,Never,Some college/associate degree,No one does,No,,For your candidate,Economy/Jobs,Is a strong leader,Somewhat disapprove,Somewhat disapprove,Omit,Only George W. Bush,Only George W. Bush,Somewhat badly,Not so good,Very confident,Keeping jobs in your state,Non-white male,60 or over,65 or over,65 or over,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,Never,Protestants/Non-weekly,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,No one in household is union member,Voter is not union member,Other,King County,"City over 500,000","City over 50,000",,98133.0
1464207.0,Washington,,State,1.0,,Complete,Phone survey,2.52627635002136,Kerry,Murray,Gregoire,Male,White,50-59,Republican,Conservative,No,"Under $15,000",Better today,Protestant,A few times a year,College graduate,No one does,No,,For your candidate,Iraq,Has clear stands on the issues,Somewhat disapprove,Strongly disapprove,Safer from terrorism,Both of them,Only George W. Bush,Somewhat badly,Good,Very confident,Protecting the environment,White male,45-59,50-64,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Occasionally,Protestants/Non-weekly,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Kerry/Both,No one in household is union member,Voter is not union member,White,King County,"City over 500,000","City over 50,000",,98133.0
1464208.0,Washington,,State,1.0,,Complete,Phone survey,2.24595046043396,Kerry,Murray,Gregoire,Female,White,60-64,Independent,Moderate,No,,About the same,Protestant,A few times a month,Postgraduate study,No one does,No,,For your candidate,Iraq,Is a strong leader,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Not so good,Somewhat confident,Keeping jobs in your state,White female,60 or over,50-64,18-64,Independent,,,Protestant/Other Christian,White Protestant/Other Christian,All others,Occasionally,Protestants/Non-weekly,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,White,King County,"City over 500,000","City over 50,000",,98104.0
1464209.0,Washington,,State,1.0,,Complete,Phone survey,2.52627635002136,Kerry,Murray,Gregoire,Male,White,50-59,Democrat,Liberal,No,"$100,000-$149,999",About the same,Something else,Never,Postgraduate study,No one does,No,,For your candidate,Iraq,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Not so good,Very confident,Protecting the environment,White male,45-59,50-64,18-64,Democrat,"$50,000 or more","$100,000 or more",Something else,White Something else,All others,Never,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,White,King County,"City over 500,000","City over 50,000",,98118.0
1464210.0,Washington,,State,1.0,,Complete,Phone survey,2.52627635002136,Kerry,Murray,Gregoire,Female,White,40-44,Independent,Liberal,No,"$100,000-$149,999",Better today,Other Christian,More than once a week,College graduate,No one does,No,,For your candidate,Iraq,Is honest and trustworthy,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Somewhat badly,Good,Very confident,Protecting the environment,White female,30-44,40-49,18-64,Independent,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,Weekly,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,White,King County,"City over 500,000","City over 50,000",,98116.0
1464211.0,Washington,,State,1.0,,Complete,Phone survey,2.53681492805481,Bush,Nethercutt,Rossi,Male,Asian,60-64,Republican,Conservative,No,"$50,000-$74,999",About the same,Catholic,Once a week,Did not complete high school,"Yes, I do",No,,For your candidate,Terrorism,Is a strong leader,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,Only George W. Bush,Very well,Good,Very confident,Keeping jobs in your state,Non-white male,60 or over,50-64,18-64,Republican,"$50,000 or more","Under $100,000",Catholic,All others,All others,Weekly,Catholics/Weekly,No degree,Strongly/Somewhat approve,,,Strongly/Somewhat approve,Very/Somewhat well,Very/somewhat confident,Only George W. Bush/Both of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Bush/Neither,Someone in household is union member,Voter is union member,Asian,King County,"City over 500,000","City over 50,000",,98122.0
1464212.0,Washington,,State,1.0,,Complete,Phone survey,2.36588788032532,,Murray,Gregoire,Female,White,30-39,Independent,Conservative,No,"$150,000-$199,999",About the same,Something else,Never,Postgraduate study,"Yes, I do",No,,Omit,Moral values,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Not so good,Somewhat confident,Protecting the environment,White female,30-44,30-39,18-64,Independent,"$50,000 or more","$100,000 or more",Something else,White Something else,All others,Never,All others,College graduate,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Someone in household is union member,Voter is union member,White,King County,"City over 500,000","City over 50,000",,98122.0
1464213.0,Washington,,State,1.0,,Complete,Phone survey,2.52627635002136,Kerry,Murray,Gregoire,Female,White,40-44,Independent,Liberal,No,"$30,000-$49,999",Worse today,Something else,Never,Some college/associate degree,No one does,No,,Against his opponent,Iraq,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Not so good,Somewhat confident,Protecting the environment,White female,30-44,40-49,18-64,Independent,"Under $50,000","Under $100,000",Something else,White Something else,All others,Never,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Very/somewhat confident,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,No one in household is union member,Voter is not union member,White,King County,"City over 500,000","City over 50,000",,98122.0
1464214.0,Washington,,State,1.0,,Complete,Phone survey,1.76143908500671,Kerry,Murray,Gregoire,Female,White,65-74,Democrat,Liberal,No,,About the same,Something else,Never,Some college/associate degree,"Yes, I do",No,,For your candidate,Economy/Jobs,Is honest and trustworthy,Strongly disapprove,Strongly disapprove,Omit,Only John Kerry,Only John Kerry,Very badly,Not so good,Not very confident,Keeping jobs in your state,White female,60 or over,65 or over,65 or over,Democrat,,,Something else,White Something else,All others,Never,All others,No degree,Somewhat/Strongly disapprove,,,Somewhat/Strongly disapprove,Somewhat/Very badly,Not very/Not at all confident,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Someone in household is union member,Voter is union member,White,King County,"City over 500,000","City over 50,000",,98122.0
