ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESGA04,SENGA04,AMEND1GA,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME,FINSIT,RELIGN8,ATTEND,BRNAGAIN,LATINO,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,TRSTTERR,COUNTACC,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,WHTEVANG,ATTEND2,ATTREL,RELGCONS,BUSH,TIME3D,TIMEWK,IRAQ2,COUNT2,BUSHTERR,KERRTERR,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1523432.0,Georgia,48.0,State,1.0,Call 3,Complete,0.831866800785065,Kerry,Majette,Did not vote,Female,Black,30-39,Democrat,Moderate,"$15,000-$29,999",About the same,Other Christian,Never,Yes,No,Before that,Against his opponent,Omit,Has clear stands on the issues,Strongly disapprove,Somewhat disapprove,Only John Kerry,Not very confident,Non-white female,30-44,30-39,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,All others,Never,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Not very/Not at all confident,Only Kerry/Neither,Only Kerry/Both,Black,Atlanta,"City: 50,000 to 500,000","City over 50,000",4.0,30316.0
1481437.0,Georgia,76.0,State,1.0,Call 1,Complete,0.623001396656036,Kerry,Majette,No,Female,Hispanic/Latino,30-39,Democrat,Liberal,"$50,000-$74,999",About the same,Catholic,Once a week,No,Yes,Before that,For your candidate,Economy/Jobs,Will bring about needed change,Strongly disapprove,Strongly disapprove,Only John Kerry,Very confident,Non-white female,30-44,30-39,18-64,Democrat,"$50,000 or more","Under $100,000",Catholic,All others,All others,All others,Weekly,Catholics/Weekly,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Very/somewhat confident,Only Kerry/Neither,Only Kerry/Both,Hispanic/Latino,Atlanta,Suburbs,Suburbs,6.0,30075.0
1525762.0,Georgia,116.0,National,3.0,Call 3,Complete,0.908111155033112,Bush,Isakson,Yes,Male,White,45-49,Something Else,Moderate,"$75,000-$99,999",,Protestant,A few times a year,Yes,No,,For your candidate,,,,,,Somewhat confident,White male,45-59,40-49,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Occasionally,Protestants/Non-weekly,All others,,,,,Very/somewhat confident,,,White,North,Rural,Small cities and Rural,10.0,30705.0
1523428.0,Georgia,34.0,State,1.0,Call 3,Complete,0.842440664768219,Bush,Isakson,Yes,Male,White,18-24,Republican,Conservative,"$100,000-$149,999",About the same,Protestant,More than once a week,Yes,No,Before that,Against his opponent,Economy/Jobs,Is a strong leader,Strongly approve,Strongly approve,Only George W. Bush,Very confident,White male,18-29,18-24,18-64,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Weekly,Protestants/Weekly,Religious conservatives,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/somewhat confident,Only Bush/Both,Only Bush/Neither,White,Central,Suburbs,Suburbs,9.0,30813.0
1481432.0,Georgia,26.0,State,1.0,Call 1,Complete,0.766427099704742,Bush,Isakson,,Female,White,40-44,Republican,Moderate,"$75,000-$99,999",Better today,Protestant,A few times a year,Yes,No,During the last month,Against his opponent,Terrorism,Is a strong leader,Somewhat approve,Somewhat approve,Only George W. Bush,Very confident,White female,30-44,40-49,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Occasionally,Protestants/Non-weekly,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/somewhat confident,Only Bush/Both,Only Bush/Neither,White,Atlanta suburbs,"City: 50,000 to 500,000","City over 50,000",6.0,30062.0
1481430.0,Georgia,27.0,State,1.0,Call 1,Complete,0.646942973136902,Bush,Isakson,No,Female,White,30-39,Something Else,Moderate,"$100,000-$149,999",Better today,Something else,A few times a month,No,No,Before that,For your candidate,Terrorism,Is a strong leader,Strongly approve,Strongly approve,Only George W. Bush,Very confident,White female,30-44,30-39,18-64,Independent,"$50,000 or more","$100,000 or more",Something else,White Something else,All others,All others,Occasionally,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/somewhat confident,Only Bush/Both,Only Bush/Neither,White,Atlanta suburbs,Suburbs,Suburbs,6.0,30066.0
1486095.0,Georgia,14.0,National,3.0,Call 1,Complete,0.919861614704132,Kerry,Majette,No,Female,White,30-39,Democrat,Moderate,"$30,000-$49,999",,Something else,A few times a year,No,No,,For your candidate,,,,,,Not very confident,White female,30-44,30-39,18-64,Democrat,"Under $50,000","Under $100,000",Something else,White Something else,All others,All others,Occasionally,All others,All others,,,,,Not very/Not at all confident,,,White,South,"City: 50,000 to 500,000","City over 50,000",12.0,31404.0
1523422.0,Georgia,61.0,State,1.0,Call 3,Complete,1.03925323486328,Kerry,Majette,Yes,Female,Black,40-44,Democrat,Moderate,"$100,000-$149,999",Better today,Other Christian,More than once a week,Yes,No,Before that,For your candidate,Health care,Will bring about needed change,Somewhat disapprove,Somewhat disapprove,Both of them,Somewhat confident,Non-white female,30-44,40-49,18-64,Democrat,"$50,000 or more","$100,000 or more",Protestant/Other Christian,All others,All others,All others,Weekly,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Very/somewhat confident,Only Bush/Both,Only Kerry/Both,Black,North,"City: 10,000 to 49,999",Small cities and Rural,11.0,30161.0
1481206.0,Georgia,117.0,State,1.0,Call 1,Complete,0.732659995555878,Bush,Isakson,Yes,Female,Hispanic/Latino,50-59,Independent,Moderate,"$75,000-$99,999",Better today,None,A few times a month,No,Yes,Before that,For your candidate,Terrorism,Is a strong leader,Strongly approve,Strongly approve,Only John Kerry,Very confident,Non-white female,45-59,50-64,18-64,Independent,"$50,000 or more","Under $100,000",None,All others,All others,All others,Occasionally,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/somewhat confident,Only Kerry/Neither,Only Kerry/Both,Hispanic/Latino,North,Suburbs,Suburbs,9.0,30677.0
1523420.0,Georgia,104.0,State,1.0,Call 3,Complete,1.02047777175903,Bush,Isakson,Yes,Female,White,45-49,Republican,Conservative,"$75,000-$99,999",Better today,Protestant,Once a week,Yes,No,Before that,For your candidate,Moral values,Omit,Somewhat approve,Somewhat approve,Only George W. Bush,Very confident,White female,45-59,40-49,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Weekly,Protestants/Weekly,Religious conservatives,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/somewhat confident,Only Bush/Both,Only Bush/Neither,White,Atlanta suburbs,Suburbs,Suburbs,13.0,30253.0
1502422.0,Georgia,55.0,State,1.0,Call 2,Complete,1.15095472335815,Bush,Isakson,Yes,Female,White,60-64,Republican,Conservative,"$15,000-$29,999",Worse today,Protestant,More than once a week,Yes,No,Before that,For your candidate,Moral values,Has strong religious faith,Somewhat approve,Strongly approve,Only George W. Bush,Somewhat confident,White female,60 or over,50-64,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Weekly,Protestants/Weekly,Religious conservatives,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/somewhat confident,Only Bush/Both,Only Bush/Neither,White,Central,Rural,Small cities and Rural,3.0,31012.0
1523418.0,Georgia,122.0,National,4.0,Call 3,Complete,1.22927212715149,Bush,,,Male,White,18-24,Republican,Moderate,"Under $15,000",,,,,No,Before that,,,,,,Only George W. Bush,,White male,18-29,18-24,18-64,Republican,"Under $50,000","Under $100,000",,,,,,,,,Sometime last week/During the last month/Before that,During the last month/Before that,,,Only Bush/Both,Only Bush/Neither,White,Central,Rural,Small cities and Rural,1.0,31036.0
1479089.0,Georgia,9.0,State,1.0,Call 1,Complete,1.27326154708862,Bush,Isakson,Yes,Female,Hispanic/Latino,25-29,Republican,Conservative,"$100,000-$149,999",Better today,Catholic,Once a week,No,Yes,Before that,For your candidate,Terrorism,Has clear stands on the issues,Strongly approve,Strongly approve,Only George W. Bush,Very confident,Non-white female,18-29,25-29,18-64,Republican,"$50,000 or more","$100,000 or more",Catholic,All others,All others,All others,Weekly,Catholics/Weekly,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/somewhat confident,Only Bush/Both,Only Bush/Neither,White,Atlanta suburbs,Suburbs,Suburbs,8.0,30180.0
1523788.0,Georgia,34.0,State,1.0,Call 3,Complete,1.87994122505188,Kerry,Other,No,Male,Black,25-29,Something Else,Liberal,"$30,000-$49,999",About the same,Other Christian,A few times a year,No,No,Before that,For your candidate,Education,Is intelligent,Strongly disapprove,Strongly disapprove,Both of them,Very confident,Non-white male,18-29,25-29,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,All others,Occasionally,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Very/somewhat confident,Only Bush/Both,Only Kerry/Both,Black,Central,Suburbs,Suburbs,9.0,30813.0
1523414.0,Georgia,142.0,State,1.0,Call 3,Complete,0.943640828132629,Kerry,Majette,Yes,Female,Black,18-24,Democrat,Conservative,"$15,000-$29,999",Worse today,Other Christian,More than once a week,Yes,No,During the last month,For your candidate,Education,Has clear stands on the issues,Strongly disapprove,Strongly disapprove,Only John Kerry,Somewhat confident,Non-white female,18-29,18-24,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,All others,All others,All others,Weekly,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Very/somewhat confident,Only Kerry/Neither,Only Kerry/Both,Black,South,"City: 10,000 to 49,999",Small cities and Rural,1.0,31545.0
1501308.0,Georgia,34.0,State,1.0,Call 2,Complete,0.69776850938797,Bush,Isakson,No,Female,White,25-29,Republican,Moderate,"$15,000-$29,999",Better today,None,Never,No,No,Before that,For your candidate,Omit,Omit,Strongly approve,Somewhat approve,Only George W. Bush,Very confident,White female,18-29,25-29,18-64,Republican,"Under $50,000","Under $100,000",None,White None,All others,All others,Never,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/somewhat confident,Only Bush/Both,Only Bush/Neither,White,Central,Suburbs,Suburbs,9.0,30813.0
1481417.0,Georgia,50.0,National,1.0,Call 1,Complete,0.891357362270355,Kerry,Majette,Yes,Female,Black,30-39,Democrat,Moderate,"$15,000-$29,999",Worse today,Something else,A few times a month,No,No,Before that,,Economy/Jobs,Will bring about needed change,Strongly disapprove,Strongly disapprove,,,Non-white female,30-44,30-39,18-64,Democrat,"Under $50,000","Under $100,000",Something else,All others,All others,All others,Occasionally,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,,,,Black,Atlanta,"City: 50,000 to 500,000","City over 50,000",4.0,30088.0
1479871.0,Georgia,131.0,State,1.0,Call 1,Complete,0.979618608951569,Kerry,Majette,Yes,Female,White,50-59,Democrat,Conservative,"Under $15,000",Worse today,Other Christian,Once a week,Yes,No,Before that,For your candidate,Economy/Jobs,Cares about people like me,Somewhat disapprove,Somewhat disapprove,Only John Kerry,Somewhat confident,White female,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Weekly,All others,Religious conservatives,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Very/somewhat confident,Only Kerry/Neither,Only Kerry/Both,White,Central,"City: 10,000 to 49,999",Small cities and Rural,2.0,31780.0
1523782.0,Georgia,76.0,State,1.0,Call 3,Complete,0.49444591999054,Kerry,Did not vote,No,Male,White,40-44,Democrat,Liberal,"$200,000 or more",Better today,Jewish,Never,No,No,Before that,Against his opponent,Omit,Will bring about needed change,Strongly disapprove,Strongly disapprove,Only John Kerry,Somewhat confident,White male,30-44,40-49,18-64,Democrat,"$50,000 or more","$100,000 or more",Jewish,White Jewish,All others,All others,Never,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Very/somewhat confident,Only Kerry/Neither,Only Kerry/Both,White,Atlanta,Suburbs,Suburbs,6.0,30075.0
1481414.0,Georgia,32.0,State,1.0,Call 1,Complete,1.00122344493866,Bush,Isakson,Yes,Female,White,50-59,Republican,Conservative,"$150,000-$199,999",Better today,Protestant,More than once a week,Yes,No,Before that,For your candidate,Moral values,Is honest and trustworthy,Strongly approve,Strongly approve,Only George W. Bush,Very confident,White female,45-59,50-64,18-64,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Weekly,Protestants/Weekly,Religious conservatives,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/somewhat confident,Only Bush/Both,Only Bush/Neither,White,Atlanta suburbs,"City: 50,000 to 500,000","City over 50,000",6.0,30068.0
1523407.0,Georgia,9.0,State,1.0,Call 3,Complete,1.17921876907349,Bush,Isakson,Yes,Female,White,50-59,Independent,Moderate,"$30,000-$49,999",About the same,Protestant,A few times a year,No,No,Just today,Against his opponent,Omit,Omit,Somewhat disapprove,Somewhat approve,Omit,Very confident,White female,45-59,50-64,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Occasionally,Protestants/Non-weekly,All others,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,Very/somewhat confident,Omit,Omit,White,Atlanta suburbs,Suburbs,Suburbs,8.0,30180.0
1481412.0,Georgia,129.0,National,3.0,Call 1,Complete,0.810173451900482,Bush,Majette,No,Male,White,30-39,Republican,Moderate,"$50,000-$74,999",,Other Christian,A few times a year,No,No,,For your candidate,,,,,,Very confident,White male,30-44,30-39,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Occasionally,All others,All others,,,,,Very/somewhat confident,,,White,North,Suburbs,Suburbs,13.0,30223.0
1483744.0,Georgia,4.0,State,1.0,Call 1,Complete,0.751738846302032,Bush,Isakson,Yes,Male,White,30-39,Republican,Conservative,"$30,000-$49,999",Better today,Other Christian,Once a week,Yes,No,Before that,For your candidate,Education,Has clear stands on the issues,Strongly approve,Somewhat approve,Only George W. Bush,Very confident,White male,30-44,30-39,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Weekly,All others,Religious conservatives,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/somewhat confident,Only Bush/Both,Only Bush/Neither,White,South,Rural,Small cities and Rural,1.0,31639.0
1481409.0,Georgia,134.0,State,1.0,Call 1,Complete,0.985623717308044,Bush,Isakson,Yes,Male,White,25-29,Republican,Conservative,"$50,000-$74,999",Better today,Protestant,More than once a week,Yes,No,Before that,For your candidate,Terrorism,Is a strong leader,Strongly approve,Strongly approve,Only George W. Bush,Very confident,White male,18-29,25-29,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Weekly,Protestants/Weekly,Religious conservatives,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/somewhat confident,Only Bush/Both,Only Bush/Neither,White,South,"City: 10,000 to 49,999",Small cities and Rural,2.0,31792.0
1525972.0,Georgia,11.0,State,1.0,Call 3,Complete,1.75095200538635,Bush,Isakson,Yes,Male,White,25-29,Independent,Moderate,"$50,000-$74,999",Better today,Other Christian,Never,Yes,No,During the last month,Against his opponent,Moral values,Has clear stands on the issues,Somewhat approve,Somewhat approve,Both of them,Somewhat confident,White male,18-29,25-29,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Never,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/somewhat confident,Only Bush/Both,Only Kerry/Both,White,North,Rural,Small cities and Rural,10.0,30755.0
1523400.0,Georgia,43.0,State,1.0,Call 3,Complete,0.783205449581146,Bush,Isakson,No,Female,White,45-49,Democrat,Moderate,"$100,000-$149,999",About the same,Protestant,A few times a year,No,No,Before that,For your candidate,Economy/Jobs,Is a strong leader,Somewhat approve,Somewhat disapprove,Both of them,Very confident,White female,45-59,40-49,18-64,Democrat,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,All others,Occasionally,Protestants/Non-weekly,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Very/somewhat confident,Only Bush/Both,Only Kerry/Both,White,Atlanta,Suburbs,Suburbs,4.0,30030.0
1502100.0,Georgia,134.0,State,1.0,Call 2,Complete,0.837019801139832,Bush,Majette,Yes,Female,White,25-29,Republican,Conservative,"$30,000-$49,999",Better today,Something else,More than once a week,Yes,No,Just today,For your candidate,Education,Has strong religious faith,Strongly approve,Strongly approve,Only George W. Bush,Somewhat confident,White female,18-29,25-29,18-64,Republican,"Under $50,000","Under $100,000",Something else,White Something else,All others,White evangelicals,Weekly,All others,All others,Strongly/Somewhat approve,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,Very/somewhat confident,Only Bush/Both,Only Bush/Neither,White,South,"City: 10,000 to 49,999",Small cities and Rural,2.0,31792.0
1483737.0,Georgia,108.0,State,1.0,Call 1,Complete,0.812036216259003,Bush,Isakson,Yes,Female,White,25-29,Something Else,Moderate,"$30,000-$49,999",About the same,Protestant,A few times a year,Yes,No,Before that,For your candidate,Education,Is a strong leader,Strongly approve,Strongly approve,Only George W. Bush,Very confident,White female,18-29,25-29,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,White evangelicals,Occasionally,Protestants/Non-weekly,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/somewhat confident,Only Bush/Both,Only Bush/Neither,White,South,Rural,Small cities and Rural,1.0,31635.0
1523771.0,Georgia,39.0,State,1.0,Call 3,Complete,0.775290966033936,Kerry,Majette,No,Male,White,18-24,Democrat,Liberal,"$15,000-$29,999",Worse today,None,Never,No,No,Before that,Against his opponent,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Neither of them,Very confident,White male,18-29,18-24,18-64,Democrat,"Under $50,000","Under $100,000",None,White None,All others,All others,Never,All others,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Very/somewhat confident,Only Kerry/Neither,Only Bush/Neither,White,Atlanta suburbs,Suburbs,Suburbs,8.0,30277.0
1484248.0,Georgia,108.0,State,1.0,Call 1,Complete,0.944925427436829,Bush,Isakson,Yes,Male,White,65-74,Republican,Conservative,"$30,000-$49,999",About the same,Other Christian,A few times a month,Yes,No,Before that,For your candidate,Terrorism,Is a strong leader,Somewhat approve,Somewhat approve,Only George W. Bush,Very confident,White male,60 or over,65 or over,65 or over,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,White evangelicals,Occasionally,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Very/somewhat confident,Only Bush/Both,Only Bush/Neither,White,South,Rural,Small cities and Rural,1.0,31635.0
