ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESNH04,SENNH04,GOVNH04,SEX,RACE,AGE9,PARTYID,PHIL3,FTVOTER,INCOME,FINSIT,RELIGN8,ATTEND,EDUC,MARRIED,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,HNDLECON,IRAQGO,STECNH,MATONH,GOVTDO,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,ATTEND2,ATTREL,COLLEDUC,BUSH,TIME3D,TIMEWK,IRAQ2,IRAQGO2,BUSHECON,KERRECON,BUSHTERR,KERRTERR,WOMENWED,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1510550.0,New Hampshire,13.0,State,1.0,Call 2,Complete,0.398189604282379,Kerry,Haddock,Lynch,Female,White,50-59,Democrat,Liberal,No,"$50,000-$74,999",About the same,Other Christian,A few times a year,Postgraduate study,Yes,Before that,Against his opponent,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Good,I moved to NH from MA,Government should do more to solve problems,White female,45-59,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Occasionally,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Married women,White,Concord/CT Valley,"City: 10,000 to 49,999",Small cities and Rural,2.0,3301.0
1524997.0,New Hampshire,13.0,State,1.0,Call 3,Complete,0.398189604282379,Kerry,Haddock,Lynch,Female,White,50-59,Democrat,Moderate,No,"$30,000-$49,999",Worse today,None,Never,College graduate,No,Before that,For your candidate,Moral values,Has clear stands on the issues,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Not so good,I was born in NH,Government should do more to solve problems,White female,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",None,White None,All others,Never,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,All others,White,Concord/CT Valley,"City: 10,000 to 49,999",Small cities and Rural,2.0,3301.0
1524501.0,New Hampshire,13.0,State,1.0,Call 3,Complete,0.398189604282379,Kerry,Haddock,Lynch,Female,White,45-49,Democrat,Liberal,No,"$50,000-$74,999",Better today,Catholic,A few times a month,,Yes,During the last month,For your candidate,Omit,Omit,Somewhat disapprove,Somewhat approve,Safer from terrorism,Only John Kerry,Only John Kerry,Somewhat badly,Good,I moved to NH from MA,Government should do more to solve problems,White female,45-59,40-49,18-64,Democrat,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,Occasionally,Catholics/Non-weekly,,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Married women,White,Concord/CT Valley,"City: 10,000 to 49,999",Small cities and Rural,2.0,3301.0
1482406.0,New Hampshire,13.0,State,1.0,Call 1,Complete,0.398189604282379,Kerry,Haddock,Lynch,Female,White,40-44,Democrat,Liberal,No,"$150,000-$199,999",About the same,Something else,A few times a year,Postgraduate study,Yes,Before that,Against his opponent,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Not so good,I moved to NH from another state,Government should do more to solve problems,White female,30-44,40-49,18-64,Democrat,"$50,000 or more","$100,000 or more",Something else,White Something else,All others,Occasionally,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Married women,White,Concord/CT Valley,"City: 10,000 to 49,999",Small cities and Rural,2.0,3301.0
1523807.0,New Hampshire,13.0,State,1.0,Call 3,Complete,0.398189604282379,Kerry,Haddock,Lynch,Female,White,50-59,Independent,Liberal,No,"$50,000-$74,999",Worse today,Catholic,A few times a year,Postgraduate study,Yes,Before that,For your candidate,Economy/Jobs,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Not so good,I moved to NH from MA,Government is doing too many things...,White female,45-59,50-64,18-64,Independent,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,Occasionally,Catholics/Non-weekly,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Married women,White,Concord/CT Valley,"City: 10,000 to 49,999",Small cities and Rural,2.0,3301.0
1508844.0,New Hampshire,13.0,State,1.0,Call 2,Complete,0.398189604282379,Kerry,Haddock,Lynch,Female,White,40-44,Independent,Moderate,No,"$100,000-$149,999",Better today,Catholic,A few times a year,College graduate,Yes,Before that,For your candidate,Iraq,Is a strong leader,Somewhat disapprove,Strongly disapprove,Safer from terrorism,Only John Kerry,Only John Kerry,Very badly,Not so good,I moved to NH from another state,Government should do more to solve problems,White female,30-44,40-49,18-64,Independent,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,Occasionally,Catholics/Non-weekly,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Married women,White,Concord/CT Valley,"City: 10,000 to 49,999",Small cities and Rural,2.0,3301.0
1509667.0,New Hampshire,13.0,State,1.0,Call 2,Complete,0.399607747793198,Kerry,Did not vote,Lynch,Female,White,40-44,Democrat,Liberal,No,"$50,000-$74,999",Worse today,Something else,Never,Postgraduate study,Yes,Before that,For your candidate,Economy/Jobs,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Not so good,I was born in NH,Government should do more to solve problems,White female,30-44,40-49,18-64,Democrat,"$50,000 or more","Under $100,000",Something else,White Something else,All others,Never,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Married women,White,Concord/CT Valley,"City: 10,000 to 49,999",Small cities and Rural,2.0,3301.0
1484373.0,New Hampshire,13.0,State,1.0,Call 1,Complete,0.399607747793198,Kerry,,Lynch,Female,White,45-49,Democrat,Moderate,Yes,,About the same,Other Christian,More than once a week,High school graduate,No,During the last month,For your candidate,Omit,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Not so good,I was born in NH,Omit,White female,45-59,40-49,18-64,Democrat,,,Protestant/Other Christian,White Protestant/Other Christian,All others,Weekly,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,All others,White,Concord/CT Valley,"City: 10,000 to 49,999",Small cities and Rural,2.0,3301.0
1481930.0,New Hampshire,13.0,State,1.0,Call 1,Complete,0.422126352787018,Kerry,Haddock,Lynch,Male,White,50-59,Democrat,Liberal,No,"$100,000-$149,999",Better today,Other Christian,Never,Postgraduate study,No,Before that,Against his opponent,Economy/Jobs,Is intelligent,Strongly disapprove,Strongly disapprove,Safer from terrorism,Both of them,Only John Kerry,Very badly,Good,I moved to NH from another state,Government should do more to solve problems,White male,45-59,50-64,18-64,Democrat,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,Never,All others,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,All others,White,Concord/CT Valley,"City: 10,000 to 49,999",Small cities and Rural,2.0,3301.0
1510153.0,New Hampshire,13.0,State,1.0,Call 2,Complete,0.422126352787018,Kerry,Haddock,Lynch,Male,White,50-59,Independent,Moderate,No,"$75,000-$99,999",Worse today,Protestant,A few times a year,Some college/associate degree,Yes,Before that,Against his opponent,Taxes,Will bring about needed change,Strongly disapprove,Somewhat approve,Less safe from terrorism,Both of them,Only John Kerry,Very badly,Not so good,I was born in NH,Government should do more to solve problems,White male,45-59,50-64,18-64,Independent,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Occasionally,Protestants/Non-weekly,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,All others,White,Concord/CT Valley,"City: 10,000 to 49,999",Small cities and Rural,2.0,3301.0
1524346.0,New Hampshire,13.0,State,1.0,Call 3,Complete,0.422126352787018,Kerry,Haddock,Lynch,Male,White,30-39,Independent,Conservative,No,"$100,000-$149,999",About the same,Catholic,Once a week,Postgraduate study,Yes,Just today,Against his opponent,Iraq,Will bring about needed change,Somewhat disapprove,Strongly approve,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Good,I moved to NH from another state,Government is doing too many things...,White male,30-44,30-39,18-64,Independent,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,Weekly,Catholics/Weekly,College graduate,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,All others,White,Concord/CT Valley,"City: 10,000 to 49,999",Small cities and Rural,2.0,3301.0
1485265.0,New Hampshire,13.0,State,1.0,Call 1,Not complete,0.422126352787018,Kerry,Haddock,Lynch,Male,White,45-49,,,,,,,,,,Before that,For your candidate,Economy/Jobs,Is intelligent,Strongly disapprove,,,,,,Good,,,White male,45-59,40-49,18-64,,,,,,All others,,,,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,,,,,,,All others,White,Concord/CT Valley,"City: 10,000 to 49,999",Small cities and Rural,2.0,3301.0
1524604.0,New Hampshire,13.0,State,1.0,Call 3,Complete,0.422126352787018,Kerry,Haddock,Lynch,Male,White,30-39,Independent,Liberal,No,"$100,000-$149,999",About the same,Catholic,A few times a year,College graduate,No,Before that,Against his opponent,Moral values,Is intelligent,Somewhat disapprove,Somewhat disapprove,Safer from terrorism,Only John Kerry,Only John Kerry,Somewhat badly,Good,I was born in NH,Government is doing too many things...,White male,30-44,30-39,18-64,Independent,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,Occasionally,Catholics/Non-weekly,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,All others,White,Concord/CT Valley,"City: 10,000 to 49,999",Small cities and Rural,2.0,3301.0
1508722.0,New Hampshire,13.0,State,1.0,Call 2,Not complete,0.422126352787018,Kerry,Haddock,Lynch,Male,White,30-39,,,,,,,,,,Before that,Omit,Education,Omit,Strongly disapprove,,,,,,Not so good,,,White male,30-44,30-39,18-64,,,,,,All others,,,,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,,,,,,,All others,White,Concord/CT Valley,"City: 10,000 to 49,999",Small cities and Rural,2.0,3301.0
1484018.0,New Hampshire,13.0,State,1.0,Call 1,Complete,0.422126352787018,Kerry,Haddock,Lynch,Male,White,50-59,Independent,Moderate,No,"$15,000-$29,999",Worse today,None,Never,Some college/associate degree,No,Before that,Against his opponent,Economy/Jobs,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Good,I was born in NH,Government should do more to solve problems,White male,45-59,50-64,18-64,Independent,"Under $50,000","Under $100,000",None,White None,All others,Never,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,All others,White,Concord/CT Valley,"City: 10,000 to 49,999",Small cities and Rural,2.0,3301.0
1523552.0,New Hampshire,13.0,State,1.0,Call 3,Complete,0.422126352787018,Kerry,Haddock,Lynch,Male,White,30-39,Democrat,Liberal,No,"$50,000-$74,999",Worse today,Catholic,A few times a year,Postgraduate study,Yes,Before that,For your candidate,Iraq,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Both of them,Only John Kerry,Very badly,Not so good,I was born in NH,Government should do more to solve problems,White male,30-44,30-39,18-64,Democrat,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,Occasionally,Catholics/Non-weekly,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,All others,White,Concord/CT Valley,"City: 10,000 to 49,999",Small cities and Rural,2.0,3301.0
1524219.0,New Hampshire,13.0,State,1.0,Call 3,Complete,0.422126352787018,Kerry,Haddock,Lynch,Male,White,40-44,Democrat,Liberal,No,"$100,000-$149,999",Worse today,Protestant,A few times a year,Postgraduate study,Yes,Before that,Against his opponent,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Not so good,I moved to NH from another state,Government should do more to solve problems,White male,30-44,40-49,18-64,Democrat,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,Occasionally,Protestants/Non-weekly,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,All others,White,Concord/CT Valley,"City: 10,000 to 49,999",Small cities and Rural,2.0,3301.0
1482938.0,New Hampshire,13.0,State,1.0,Call 1,Complete,0.422126352787018,Kerry,Haddock,Lynch,Male,White,50-59,Democrat,Liberal,No,"$100,000-$149,999",Better today,Catholic,Never,College graduate,Yes,Before that,Against his opponent,Economy/Jobs,Will bring about needed change,Somewhat disapprove,Somewhat approve,Safer from terrorism,Both of them,Only John Kerry,Somewhat badly,Not so good,I was born in NH,Government should do more to solve problems,White male,45-59,50-64,18-64,Democrat,"$50,000 or more","$100,000 or more",Catholic,White Catholic,All others,Never,Catholics/Non-weekly,College graduate,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Bush/Both,Only Kerry/Both,All others,White,Concord/CT Valley,"City: 10,000 to 49,999",Small cities and Rural,2.0,3301.0
1485929.0,New Hampshire,13.0,State,1.0,Call 1,Complete,0.434296786785126,Kerry,Haddock,Benson,Female,White,30-39,Independent,Liberal,Yes,"$30,000-$49,999",About the same,Catholic,A few times a year,Some college/associate degree,No,Before that,Against his opponent,Terrorism,Will bring about needed change,Strongly disapprove,Somewhat approve,Less safe from terrorism,Neither of them,Neither of them,Very badly,Not so good,I moved to NH from MA,Government should do more to solve problems,White female,30-44,30-39,18-64,Independent,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,Occasionally,Catholics/Non-weekly,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Somewhat/Very badly,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Kerry/Neither,Only Bush/Neither,All others,White,Concord/CT Valley,"City: 10,000 to 49,999",Small cities and Rural,2.0,3301.0
1483480.0,New Hampshire,13.0,State,1.0,Call 1,Complete,0.434296786785126,Kerry,Haddock,Benson,Female,White,30-39,Democrat,Liberal,No,"$15,000-$29,999",Better today,Catholic,A few times a year,Did not complete high school,No,Before that,For your candidate,Terrorism,Will bring about needed change,Strongly approve,Strongly approve,Less safe from terrorism,Both of them,Neither of them,Very badly,Excellent,I was born in NH,Government should do more to solve problems,White female,30-44,30-39,18-64,Democrat,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,Occasionally,Catholics/Non-weekly,No degree,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Somewhat/Very badly,Only John Kerry/Neither of them,Only George W. Bush/Neither of them,Only Bush/Both,Only Kerry/Both,All others,White,Concord/CT Valley,"City: 10,000 to 49,999",Small cities and Rural,2.0,3301.0
1485682.0,New Hampshire,13.0,State,1.0,Call 1,Complete,0.447258055210114,Kerry,Haddock,Lynch,Female,White,25-29,Democrat,Conservative,Yes,"$30,000-$49,999",About the same,None,Never,High school graduate,Yes,Before that,Omit,Iraq,Is a strong leader,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,Only John Kerry,Very badly,Good,I was born in NH,Government should do more to solve problems,White female,18-29,25-29,18-64,Democrat,"Under $50,000","Under $100,000",None,White None,All others,Never,All others,No degree,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Somewhat/Very badly,Only John Kerry/Neither of them,Only John Kerry/Both of them,Only Kerry/Neither,Only Kerry/Both,Married women,White,Concord/CT Valley,"City: 10,000 to 49,999",Small cities and Rural,2.0,3301.0
