ID,STANUM,PRECINCT,QTYPE,VERSION,CALL,BACKSIDE,WGT,PRESME04,SEX,RACE,AGE9,PARTYID,PHIL3,INCOME,FINSIT,RELIGN8,VETVOTER,GUNOWNER,TIMEPRES,FORCAND,ISSUE04G,QUAL04G,BUSH4,IRAQAPP,SAFERNOW,TRSTTERR,SEXRACE,AGE60,AGE65,OVER65,PARTY,INC50K,INC100K,REL5,WHITEREL,WPROTCON,BUSH,TIME3D,TIMEWK,IRAQ2,BUSHTERR,KERRTERR,QRACE,GEOCODE,SIZEPLAC,SIZEPLC3,CDNUM,ZIPCODE
1506860.0,Maine,35.0,State,1.0,Call 2,Complete,1.08796310424805,Bush,Male,White,45-49,Independent,Conservative,,Better today,Other Christian,No,Yes,Before that,For your candidate,Moral values,Is a strong leader,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,White male,45-59,40-49,18-64,Independent,,,Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,CD 1,Rural,Small cities and Rural,1.0,4027.0
1506857.0,Maine,58.0,National,1.0,Call 2,Complete,1.47218918800354,Kerry,Female,White,50-59,Independent,Moderate,"$50,000-$74,999",Worse today,Something else,No,,Before that,,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,,White female,45-59,50-64,18-64,Independent,"$50,000 or more","Under $100,000",Something else,White Something else,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,,,White,CD 1,"City: 10,000 to 49,999",Small cities and Rural,1.0,4116.0
1526296.0,Maine,39.0,State,1.0,Call 3,Complete,2.05961155891418,Bush,Male,White,50-59,Republican,Liberal,"$200,000 or more",Worse today,Protestant,No,No,Before that,Against his opponent,Iraq,Will bring about needed change,Somewhat approve,Somewhat approve,Less safe from terrorism,Both of them,White male,45-59,50-64,18-64,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,White Protestant/Other Christian,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Kerry/Both,White,CD 2,Suburbs,Suburbs,2.0,4254.0
1477685.0,Maine,50.0,State,1.0,Call 1,Complete,1.3708690404892,Kerry,Female,White,65-74,Democrat,Moderate,"$30,000-$49,999",Worse today,Protestant,No,Yes,Before that,Against his opponent,Economy/Jobs,Is intelligent,Strongly disapprove,Somewhat disapprove,Less safe from terrorism,Both of them,White female,60 or over,65 or over,65 or over,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Bush/Both,Only Kerry/Both,White,CD 2,Rural,Small cities and Rural,2.0,4472.0
1516571.0,Maine,5.0,State,1.0,Call 2,Complete,1.1605578660965,Kerry,Female,White,50-59,Democrat,Liberal,"$30,000-$49,999",Worse today,Protestant,No,No,Before that,For your candidate,Iraq,Will bring about needed change,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,White female,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,White,CD 2,"City: 10,000 to 49,999",Small cities and Rural,2.0,4401.0
1503595.0,Maine,44.0,State,1.0,Call 2,Complete,1.2041609287262,Kerry,Male,White,45-49,Independent,,"$30,000-$49,999",About the same,Protestant,Yes,Yes,Before that,For your candidate,Omit,Will bring about needed change,Strongly approve,Somewhat disapprove,Omit,Both of them,White male,45-59,40-49,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Bush/Both,Only Kerry/Both,White,CD 2,Rural,Small cities and Rural,2.0,4464.0
1477676.0,Maine,70.0,State,1.0,Call 1,Not complete,1.08292233943939,Bush,Female,White,40-44,,,,,,,,Before that,For your candidate,Moral values,Has clear stands on the issues,Somewhat approve,,,,White female,30-44,40-49,18-64,,,,,,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,,,,White,CD 1,"City: 10,000 to 49,999",Small cities and Rural,1.0,4330.0
1482536.0,Maine,83.0,State,1.0,Call 1,Complete,0.955590128898621,Bush,Female,White,75 or over,Republican,,"$15,000-$29,999",About the same,Protestant,No,Yes,Before that,For your candidate,Moral values,Is intelligent,Somewhat disapprove,Somewhat approve,Safer from terrorism,Only George W. Bush,White female,60 or over,65 or over,65 or over,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,CD 1,Rural,Small cities and Rural,1.0,4363.0
1482532.0,Maine,57.0,National,2.0,Call 1,Complete,1.63617563247681,Nader,Male,White,60-64,Independent,Moderate,"$30,000-$49,999",Worse today,Protestant,Yes,,Just today,,Moral values,Has clear stands on the issues,Somewhat disapprove,Somewhat approve,Safer from terrorism,,White male,60 or over,50-64,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Just today/In the last three days,Just today/In the last three days/Sometime last week,Strongly/Somewhat approve,,,White,CD 2,Rural,Small cities and Rural,2.0,4068.0
1477670.0,Maine,61.0,State,1.0,Call 1,Complete,1.01032590866089,Kerry,Female,White,50-59,Democrat,Moderate,"$75,000-$99,999",Better today,Protestant,No,No,Before that,For your candidate,Education,Will bring about needed change,Somewhat approve,Somewhat approve,Safer from terrorism,Both of them,White female,45-59,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Kerry/Both,White,CD 1,"City: 50,000 to 500,000","City over 50,000",1.0,4101.0
1526275.0,Maine,78.0,State,1.0,Call 3,Complete,0.431036382913589,Bush,Female,White,18-24,Independent,Moderate,"$15,000-$29,999",Worse today,Catholic,No,Yes,Before that,Against his opponent,Economy/Jobs,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,White female,18-29,18-24,18-64,Independent,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,White,CD 1,"City: 10,000 to 49,999",Small cities and Rural,1.0,4901.0
1477664.0,Maine,22.0,State,1.0,Call 1,Complete,1.19823443889618,Bush,Male,White,25-29,Independent,Moderate,"$30,000-$49,999",Better today,Catholic,Yes,Yes,Before that,For your candidate,Iraq,Has clear stands on the issues,Somewhat approve,Strongly approve,Safer from terrorism,Neither of them,White male,18-29,25-29,18-64,Independent,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Kerry/Neither,Only Bush/Neither,White,CD 1,Rural,Small cities and Rural,1.0,4005.0
1477663.0,Maine,1.0,State,1.0,Call 1,Not complete,1.01032590866089,Kerry,Female,White,50-59,,,,,,,,Before that,For your candidate,Omit,Will bring about needed change,Strongly approve,,,,White female,45-59,50-64,18-64,,,,,,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,,,,White,CD 1,Rural,Small cities and Rural,1.0,4046.0
1477661.0,Maine,81.0,State,1.0,Call 1,Complete,1.005091547966,Kerry,Female,Black,30-39,Republican,Moderate,"$100,000-$149,999",Worse today,Other Christian,No,Yes,Sometime last week,Against his opponent,Education,Will bring about needed change,Somewhat approve,Somewhat disapprove,Less safe from terrorism,Only John Kerry,Non-white female,30-44,30-39,18-64,Republican,"$50,000 or more","$100,000 or more",Protestant/Other Christian,All others,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,Just today/In the last three days/Sometime last week,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,Black,CD 1,Suburbs,Suburbs,1.0,4062.0
1477659.0,Maine,66.0,State,1.0,Call 1,Complete,1.10415613651276,Bush,Female,White,45-49,Independent,Moderate,"$15,000-$29,999",About the same,Catholic,No,Yes,Before that,For your candidate,Taxes,Has clear stands on the issues,Somewhat approve,Somewhat approve,Safer from terrorism,Only George W. Bush,White female,45-59,40-49,18-64,Independent,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,CD 1,Rural,Small cities and Rural,1.0,4073.0
1531128.0,Maine,17.0,State,1.0,Call 3,Complete,1.09486591815948,Kerry,Female,White,45-49,Republican,Moderate,"$15,000-$29,999",Worse today,Protestant,No,No,Before that,For your candidate,Moral values,Will bring about needed change,Strongly disapprove,Somewhat disapprove,Less safe from terrorism,Both of them,White female,45-59,40-49,18-64,Republican,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Bush/Both,Only Kerry/Both,White,CD 2,Rural,Small cities and Rural,2.0,4736.0
1477655.0,Maine,17.0,State,1.0,Call 1,Complete,1.23760199546814,Bush,Male,White,40-44,Republican,Conservative,"$50,000-$74,999",About the same,Other Christian,No,Yes,Before that,Against his opponent,Moral values,Is a strong leader,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,White male,30-44,40-49,18-64,Republican,"$50,000 or more","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,CD 2,Rural,Small cities and Rural,2.0,4736.0
1477652.0,Maine,27.0,State,1.0,Call 1,Complete,1.08398079872131,Bush,Female,White,50-59,Independent,Conservative,"$30,000-$49,999",Better today,Other Christian,No,Yes,Before that,For your candidate,Moral values,Is a strong leader,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,White female,45-59,50-64,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,CD 2,"City: 10,000 to 49,999",Small cities and Rural,2.0,4401.0
1503569.0,Maine,76.0,State,1.0,Call 2,Complete,1.29555654525757,Bush,Male,White,60-64,Democrat,Conservative,,About the same,Protestant,Yes,Yes,Before that,For your candidate,Omit,Omit,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,White male,60 or over,50-64,18-64,Democrat,,,Protestant/Other Christian,White Protestant/Other Christian,White Protestant conservatives,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,CD 2,Rural,Small cities and Rural,2.0,4685.0
1477649.0,Maine,62.0,State,1.0,Call 1,Complete,1.27499389648438,Kerry,Male,White,50-59,Democrat,Moderate,"Under $15,000",Worse today,Catholic,Yes,No,Before that,For your candidate,Economy/Jobs,Will bring about needed change,Strongly disapprove,Strongly disapprove,Safer from terrorism,Only John Kerry,White male,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,White,CD 2,Rural,Small cities and Rural,2.0,4276.0
1527132.0,Maine,78.0,State,1.0,Call 3,Complete,0.4891617000103,Bush,Male,White,45-49,Republican,Moderate,"$50,000-$74,999",About the same,Catholic,No,No,Before that,For your candidate,Terrorism,Is a strong leader,Strongly approve,Somewhat approve,Safer from terrorism,Only George W. Bush,White male,45-59,40-49,18-64,Republican,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,CD 1,"City: 10,000 to 49,999",Small cities and Rural,1.0,4901.0
1527131.0,Maine,43.0,State,1.0,Call 3,Complete,1.13780176639557,Kerry,Female,White,50-59,Democrat,Moderate,"$15,000-$29,999",Worse today,Catholic,No,Yes,Before that,Against his opponent,Economy/Jobs,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,White female,45-59,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,White,CD 2,Rural,Small cities and Rural,2.0,4259.0
1506809.0,Maine,78.0,State,1.0,Call 2,Complete,0.525944948196411,Bush,Female,White,75 or over,Democrat,Moderate,"$50,000-$74,999",About the same,Catholic,No,No,Before that,For your candidate,Moral values,Has strong religious faith,Somewhat approve,Somewhat approve,Safer from terrorism,Only George W. Bush,White female,60 or over,65 or over,65 or over,Democrat,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,CD 1,"City: 10,000 to 49,999",Small cities and Rural,1.0,4901.0
1477642.0,Maine,84.0,State,1.0,Call 1,Complete,1.11592102050781,Kerry,Female,White,50-59,Democrat,Liberal,"$50,000-$74,999",Worse today,None,No,Yes,Before that,Against his opponent,Economy/Jobs,Is intelligent,Strongly disapprove,Somewhat disapprove,Less safe from terrorism,Only John Kerry,White female,45-59,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",None,White None,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,White,CD 2,Rural,Small cities and Rural,2.0,4219.0
1477641.0,Maine,54.0,State,1.0,Call 1,Complete,1.34450614452362,Kerry,Female,White,60-64,Democrat,Moderate,"$15,000-$29,999",Worse today,Catholic,No,No,Before that,For your candidate,Terrorism,Will bring about needed change,Strongly disapprove,Somewhat disapprove,Less safe from terrorism,Both of them,White female,60 or over,50-64,18-64,Democrat,"Under $50,000","Under $100,000",Catholic,White Catholic,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Bush/Both,Only Kerry/Both,White,CD 2,Rural,Small cities and Rural,2.0,4967.0
1527950.0,Maine,53.0,State,1.0,Call 3,Complete,0.687208294868469,Bush,Male,White,60-64,Independent,Moderate,"$30,000-$49,999",About the same,Protestant,No,Yes,Before that,Against his opponent,Taxes,Cares about people like me,Somewhat approve,Somewhat approve,Safer from terrorism,Only George W. Bush,White male,60 or over,50-64,18-64,Independent,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,CD 2,Rural,Small cities and Rural,2.0,4281.0
1487359.0,Maine,46.0,State,1.0,Call 1,Complete,0.20610648393631,Kerry,Female,White,50-59,Democrat,Liberal,"$50,000-$74,999",About the same,None,No,Yes,Before that,For your candidate,Moral values,Is intelligent,Strongly disapprove,Strongly disapprove,Less safe from terrorism,Only John Kerry,White female,45-59,50-64,18-64,Democrat,"$50,000 or more","Under $100,000",None,White None,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Kerry/Neither,Only Kerry/Both,White,CD 1,Suburbs,Suburbs,1.0,4097.0
1516522.0,Maine,5.0,State,1.0,Call 2,Complete,1.1605578660965,Kerry,Female,White,40-44,Democrat,Moderate,"$15,000-$29,999",About the same,Other Christian,No,No,Before that,Against his opponent,Economy/Jobs,Will bring about needed change,Somewhat disapprove,Somewhat disapprove,Less safe from terrorism,Both of them,White female,30-44,40-49,18-64,Democrat,"Under $50,000","Under $100,000",Protestant/Other Christian,White Protestant/Other Christian,All others,Somewhat/Strongly disapprove,Sometime last week/During the last month/Before that,During the last month/Before that,Somewhat/Strongly disapprove,Only Bush/Both,Only Kerry/Both,White,CD 2,"City: 10,000 to 49,999",Small cities and Rural,2.0,4401.0
1526240.0,Maine,54.0,State,1.0,Call 3,Complete,1.12567245960236,Bush,Female,White,30-39,Independent,Liberal,"$50,000-$74,999",Better today,None,No,No,Before that,For your candidate,Moral values,Will bring about needed change,Strongly approve,Strongly approve,Safer from terrorism,Only George W. Bush,White female,30-44,30-39,18-64,Independent,"$50,000 or more","Under $100,000",None,White None,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Bush/Neither,White,CD 2,Rural,Small cities and Rural,2.0,4967.0
1531099.0,Maine,46.0,State,1.0,Call 3,Complete,0.252407431602478,Bush,Male,White,40-44,Republican,Moderate,"$50,000-$74,999",Better today,Catholic,No,Yes,Before that,For your candidate,Terrorism,Cares about people like me,Somewhat approve,Somewhat approve,Safer from terrorism,Both of them,White male,30-44,40-49,18-64,Republican,"$50,000 or more","Under $100,000",Catholic,White Catholic,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,Strongly/Somewhat approve,Only Bush/Both,Only Kerry/Both,White,CD 1,Suburbs,Suburbs,1.0,4097.0
1477624.0,Maine,70.0,State,1.0,Call 1,Not complete,1.30474805831909,Bush,Female,White,65-74,,,,,,,,Before that,Omit,Terrorism,Is a strong leader,Strongly approve,,,,White female,60 or over,65 or over,65 or over,,,,,,All others,Strongly/Somewhat approve,Sometime last week/During the last month/Before that,During the last month/Before that,,,,White,CD 1,"City: 10,000 to 49,999",Small cities and Rural,1.0,4330.0
