ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSVA16,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME16GEN,EDUC12R,LATINO,BRNAGAIN,MARRIED,@2WAYPRES16,ATTEND16,CHIEF16,CLINTONEMAIL,DESCRIBP12,ECONFAIR,FAIRJUSTICE,FAVHCLIN16,FAVTRUMP,FAVKAINE,FINSIT,GOVTANGR16,GUN16,GUNOWNER12,HANDLEECON16,HANDLEFP16,HEALTHCARE16,CLINHONEST,TRUMPHONEST,IMMBETTER,IMMDEPORT,ISSUE16,LIFE,MOVETOVA14,NEC,OBAMA4,OBAMAPLCY16,QLT16,QUALCLINTON,QUALTRUMP,RACEFACTOR,TEMPCLINTON,TEMPTRUMP,TIME16,TRADE16,TRUMPWOMEN,VETVOTER,SEXBYRACE,SEXWED,AGE,AGE3,AGE45,AGE49,AGE60,AGE65,OVER45,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,INC100K,INC50K,INCOME3,INCWHITE,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYWHITE,QRACEAI,QRACE3,RACE2B,RACEAI,SUBURBWHITE,WHNCLINC,ATTEND16B,CLINTONEMAILB,FAVPRES16,GOVTANGR16B,HONEST16,BORNINVA14,MOVETOVA10YR,NEC2,OBAMA2,PTYIDEO,PTYIDEO7,QUALIFIED16,TEMPERAMENT16,TIME16MONTH,TIME16WEEK,TRUMPWOMENB,WHTEVANG,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,REGION,VERSION,GEOCODE,ZIPCODE
139190.0, Virginia,,,Complete,Telephone survey,0.0,Donald Trump,Female,White,65 or over,Republican,Conservative,,High school or less,,,,,,,,Omit,,,,,,,"Dissatisfied, but not angry",,,,,,No,Yes,,,The economy,,,Not so good,,,Has good judgment,,,,No,Yes,,,,,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,White Republican,White,White,White,,Other,,,,,"Dissatisfied, but not angry or Angry",Only Donald Trump,,,Not so good or poor,,Independent/Something else,Conservative Republicans,,Only Donald Trump,,,,,National questionnaire,Rural,Small Cities/Rural,5.0,South,Version 2,Richmond/East,23970.0
139191.0, Virginia,,,Complete,Telephone survey,0.0,Hillary Clinton,Female,Black,50-59,Democrat,Moderate,"$30,000-$49,999",Some college/assoc. degree,,,,,,,,I strongly favor my candidate,,,,,,,"Satisfied, but not enthusiastic",,,,,,Yes,No,,,Terrorism,,,Not so good,,,Cares about people like me,,,,Yes,No,,,,,Black women,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Black 45-59,Black 45-59,Black 45-64,No college degree,More than High school graduate,Non white no college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Democrat,Black Democrat,Black Democrat,Democratic women,Non-White Democrats,Black,Black,Non-white,,Other,No,,,,"Enthusiastic or satisfied, but not enthusiastic",Only Hillary Clinton,,,Not so good or poor,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Only Hillary Clinton,,,,,National questionnaire,Suburbs,Suburbs,4.0,South,Version 2,Richmond/East,23803.0
139192.0, Virginia,,,Complete,Telephone survey,0.0,Donald Trump,Male,,45-49,Independent,Conservative,"$50,000-$99,999",College graduate,,,,,,,,I strongly favor my candidate,,,,,,,Angry,,,,,,No,Yes,,,The economy,,,Not so good,,,Can bring needed change,,,,No,Yes,,,,,,,45-65,30-59,45+,18-49,45-59,40-49,45+,18-64,,,,College graduate,More than High school graduate,,,Less than 100k,50k or more,50 to 100 thousand,,Independent/Something else,,,Independent men,,,,,,,No,,,,"Dissatisfied, but not angry or Angry",Only Donald Trump,,,Not so good or poor,,Moderate/Liberal Republicans,Conservative Independents,,Only Donald Trump,,,,,National questionnaire,Suburbs,Suburbs,1.0,South,Version 2,Richmond/East,22546.0
139193.0, Virginia,,,Complete,Telephone survey,0.0,Hillary Clinton,Male,Black,60-64,Democrat,Moderate,"$30,000-$49,999",College graduate,,,,,,,,I strongly favor my candidate,,,,,,,"Satisfied, but not enthusiastic",,,,,,Yes,No,,,The economy,,,Good,,,Has good judgment,,,,Yes,No,,,,,Black men,,45-65,60+,45+,50+,60+,50-64,45+,18-64,Black 60+,Black 60+,Black 45-64,College graduate,More than High school graduate,Non white college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Democrat,Black Democrat,Black Democrat,Democratic men,Non-White Democrats,Black,Black,Non-white,,Other,No,,,,"Enthusiastic or satisfied, but not enthusiastic",Only Hillary Clinton,,,Excellent or good,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,Only Hillary Clinton,,,,,National questionnaire,"Cities 10,000-50,000",Small Cities/Rural,3.0,South,Version 2,D.C. Suburbs,22234.0
139194.0, Virginia,,,Complete,Telephone survey,0.0,Hillary Clinton,Male,,45-49,,Conservative,"$50,000-$99,999",Some college/assoc. degree,,,,,,,,Omit,,,,,,,"Satisfied, but not enthusiastic",,,,,,No,No,,,Foreign policy,,,Omit,,,Has good judgment,,,,Omit,Omit,,,,,,,45-65,30-59,45+,18-49,45-59,40-49,45+,18-64,,,,No college degree,More than High school graduate,,,Less than 100k,50k or more,50 to 100 thousand,,,,,,,,,,,,No,,,,"Enthusiastic or satisfied, but not enthusiastic",Neither,,,Omit,,,,,Omit,,,,,National questionnaire,Suburbs,Suburbs,4.0,South,Version 2,Tidewater,23321.0
139370.0, Virginia,,,Complete,Telephone survey,0.0,Gary Johnson,Male,Black,65 or over,Democrat,Conservative,,Some college/assoc. degree,,,,Hillary Clinton,,,,,,Treats blacks unfairly,,,,,,,,,,Did not go far enough,,,,Deported to the country they came from,,About the same,,,,Change to more conservative policies,,No,No,,,,,Takes away U.S. jobs,,,Black men,,65+,60+,45+,50+,60+,65+,45+,65+,Black 60+,Black 60+,Black 65+,No college degree,More than High school graduate,Non white no college degree,Non-whites,,,,,Democrat,Black Democrat,Black Democrat,Democratic men,Non-White Democrats,Black,Black,Non-white,,Other,,,,,,,,,,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Neither,,,,,,National questionnaire,Suburbs,Suburbs,1.0,South,Version 3,North VA Exurbs,22407.0
139371.0, Virginia,,,Complete,Telephone survey,0.0,Hillary Clinton,Male,Black,50-59,Independent,Liberal,,College graduate,,,,Hillary Clinton,,,,,,Treats blacks unfairly,,,,,,,,,,Was about right,,,,Offered a chance to apply for legal status,,About the same,,,,Continue Barack Obama's policies,,Yes,No,,,,,Omit,,,Black men,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Black 45-59,Black 45-59,Black 45-64,College graduate,More than High school graduate,Non white college degree,Non-whites,,,,,Independent/Something else,Black non-Democrat,Black Independent,Independent men,All others,Black,Black,Non-white,,Other,,,,,,,,,,,Moderate/Liberal Republicans,Liberal Independents,Only Hillary Clinton,,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,South,Version 3,Tidewater,23608.0
139372.0, Virginia,,,Complete,Telephone survey,0.0,Gary Johnson,Female,Black,65 or over,,Moderate,,High school or less,,,,Hillary Clinton,,,,,,Treats blacks unfairly,,,,,,,,,,Did not go far enough,,,,Offered a chance to apply for legal status,,Omit,,,,Change to more conservative policies,,Omit,No,,,,,Omit,,,Black women,,65+,60+,45+,50+,60+,65+,45+,65+,Black 60+,Black 60+,Black 65+,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,,,,,,Black,Black,Non-white,,Other,,,,,,,,,,,,,Omit,,,,,,National questionnaire,Suburbs,Suburbs,1.0,South,Version 3,Richmond/East,23188.0
139373.0, Virginia,,,Complete,Telephone survey,0.0,Donald Trump,Male,White,65 or over,Republican,Moderate,,High school or less,,,,Donald Trump,,,,,,Omit,,,,,,,,,,Omit,,,,Deported to the country they came from,,Omit,,,,Omit,,No,Yes,,,,,Omit,,,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,,Other,,,,,,,,,,,Conservative Republicans,Mod./Liberal Republicans,Only Donald Trump,,,,,,National questionnaire,Rural,Small Cities/Rural,9.0,South,Version 3,Central/West,24279.0
139374.0, Virginia,,,Complete,Telephone survey,0.0,Hillary Clinton,Male,Other,60-64,Democrat,Liberal,,Some college/assoc. degree,,,,Hillary Clinton,,,,,,Treats blacks unfairly,,,,,,,,,,Did not go far enough,,,,Deported to the country they came from,,Better than life today,,,,Change to more liberal policies,,Yes,No,,,,,Omit,,,All other races,,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,All others,All others,No college degree,More than High school graduate,Non white no college degree,Non-whites,,,,,Democrat,Non-black Democrat,All Other,Democratic men,Non-White Democrats,Other,Other,Non-white,,Other,,,,,,,,,,,Liberal Democrats,Liberal Democrats,Only Hillary Clinton,,,,,,National questionnaire,Suburbs,Suburbs,3.0,South,Version 3,Richmond/East,23222.0
139375.0, Virginia,,,Complete,Telephone survey,0.0,Donald Trump,Male,Other,50-59,Republican,Liberal,,High school or less,,,,Donald Trump,,,,,,Treats all people fairly,,,,,,,,,,Went too far,,,,Deported to the country they came from,,About the same,,,,Change to more conservative policies,,No,Yes,,,,,Takes away U.S. jobs,,,All other races,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,All others,All others,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,All others,American Indian,Other,Non-white,,Other,,,,,,,,,,,Conservative Republicans,Mod./Liberal Republicans,Only Donald Trump,,,,,,National questionnaire,Rural,Small Cities/Rural,9.0,South,Version 3,Central/West,24370.0
139376.0, Virginia,,,Complete,Telephone survey,0.0,Hillary Clinton,Male,Black,60-64,Democrat,Moderate,,High school or less,,,,Hillary Clinton,,,,,,Treats all people fairly,,,,,,,,,,Was about right,,,,Offered a chance to apply for legal status,,About the same,,,,Continue Barack Obama's policies,,Yes,No,,,,,Takes away U.S. jobs,,,Black men,,45-65,60+,45+,50+,60+,50-64,45+,18-64,Black 60+,Black 60+,Black 45-64,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,Democrat,Black Democrat,Black Democrat,Democratic men,Non-White Democrats,Black,Black,Non-white,,Other,,,,,,,,,,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Only Hillary Clinton,,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,South,Version 3,Richmond/East,23223.0
139377.0, Virginia,,,Complete,Telephone survey,0.0,Donald Trump,Male,White,50-59,Republican,Conservative,,Some college/assoc. degree,,,,Donald Trump,,,,,,Treats all people fairly,,,,,,,,,,Went too far,,,,Deported to the country they came from,,Worse than life today,,,,Change to more conservative policies,,No,Yes,,,,,Takes away U.S. jobs,,,White men,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,More than High school graduate,White no college degree,White men non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,,Other,,,,,,,,,,,Independent/Something else,Conservative Republicans,Only Donald Trump,,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",3.0,South,Version 3,Richmond/East,23218.0
139552.0, Virginia,,,Complete,Telephone survey,0.0,Hillary Clinton,Female,Black,50-59,Democrat,Liberal,,High school or less,,,,,,Hillary Clinton,,,,,,,,About the same,,,,Hillary Clinton,Hillary Clinton,,,,,,,,,,,,,,,,,,,,,No,Black women,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Black 45-59,Black 45-59,Black 45-64,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,Democrat,Black Democrat,Black Democrat,Democratic women,Non-White Democrats,Black,Black,Non-white,,Other,,,,,,,,,,,Liberal Democrats,Liberal Democrats,,,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",2.0,South,Version 4,Tidewater,23464.0
139553.0, Virginia,,,Complete,Telephone survey,0.0,Donald Trump,Male,White,65 or over,Independent,Conservative,,High school or less,,,,,,Donald Trump,,,,,,,,Worse today,,,,Donald Trump,Donald Trump,,,,,,,,,,,,,,,,,,,,,No,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,,White suburban men,,,,,,,,,,,Moderate/Liberal Republicans,Conservative Independents,,,,,,,National questionnaire,Suburbs,Suburbs,6.0,South,Version 4,Central/West,24572.0
139554.0, Virginia,,,Complete,Telephone survey,0.0,Hillary Clinton,Female,White,,Democrat,,,,,,,,,Hillary Clinton,,,,,,,,Better today,,,,Hillary Clinton,Hillary Clinton,,,,,,,,,,,,,,,,,,,,,No,White women,,,,,,,,,,,,,,,,,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,,Other,,,,,,,,,,,,,,,,,,,National questionnaire,"Cities 10,000-50,000",Small Cities/Rural,8.0,South,Version 4,D.C. Suburbs,22207.0
139555.0, Virginia,,,Complete,Telephone survey,0.0,Hillary Clinton,Female,White,65 or over,Democrat,Conservative,,High school or less,,,,,,Hillary Clinton,,,,,,,,Better today,,,,Hillary Clinton,Hillary Clinton,,,,,,,,,,,,,,,,,,,,,No,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,,Other,,,,,,,,,,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,,,National questionnaire,Rural,Small Cities/Rural,6.0,South,Version 4,Central/West,22664.0
139556.0, Virginia,,,Complete,Telephone survey,0.0,Hillary Clinton,Male,White,65 or over,Something else,Moderate,,Some college/assoc. degree,,,,,,Hillary Clinton,,,,,,,,Worse today,,,,Omit,Hillary Clinton,,,,,,,,,,,,,,,,,,,,,Yes,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,White men non college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,,Other,,,,,,,,,,,Moderate/Liberal Republicans,Moderate Independents,,,,,,,National questionnaire,Rural,Small Cities/Rural,1.0,South,Version 4,Richmond/East,22443.0
139557.0, Virginia,,,Complete,Telephone survey,0.0,Hillary Clinton,Female,White,65 or over,Democrat,Liberal,,College graduate,,,,,,Hillary Clinton,,,,,,,,About the same,,,,Hillary Clinton,Hillary Clinton,,,,,,,,,,,,,,,,,,,,,No,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,,White suburban women,,,,,,,,,,,Liberal Democrats,Liberal Democrats,,,,,,,National questionnaire,Suburbs,Suburbs,11.0,South,Version 4,D.C. Suburbs,22032.0
139558.0, Virginia,,,Complete,Telephone survey,0.0,Donald Trump,Female,White,65 or over,Republican,Conservative,,Some college/assoc. degree,,,,,,Donald Trump,,,,,,,,About the same,,,,Donald Trump,Donald Trump,,,,,,,,,,,,,,,,,,,,,No,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,White women non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,White Republican,White,White,White,,White suburban women,,,,,,,,,,,Independent/Something else,Conservative Republicans,,,,,,,National questionnaire,Suburbs,Suburbs,6.0,South,Version 4,Central/West,22812.0
139559.0, Virginia,,,Complete,Telephone survey,0.0,Hillary Clinton,Female,Black,65 or over,Democrat,Moderate,,Some college/assoc. degree,,,,,,Hillary Clinton,,,,,,,,About the same,,,,Hillary Clinton,Hillary Clinton,,,,,,,,,,,,,,,,,,,,,No,Black women,,65+,60+,45+,50+,60+,65+,45+,65+,Black 60+,Black 60+,Black 65+,No college degree,More than High school graduate,Non white no college degree,Non-whites,,,,,Democrat,Black Democrat,Black Democrat,Democratic women,Non-White Democrats,Black,Black,Non-white,,Other,,,,,,,,,,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",4.0,South,Version 4,Richmond/East,23236.0
139560.0, Virginia,,,Complete,Telephone survey,0.0,Donald Trump,Male,White,65 or over,Republican,Conservative,,Postgraduate study,,,,,,Donald Trump,,,,,,,,About the same,,,,Donald Trump,Donald Trump,,,,,,,,,,,,,,,,,,,,,Yes,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White men college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,,Other,,,,,,,,,,,Independent/Something else,Conservative Republicans,,,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,South,Version 4,Tidewater,23662.0
139561.0, Virginia,,,Complete,Telephone survey,0.0,Hillary Clinton,Male,White,30-39,Democrat,Liberal,,College graduate,,,,,,Hillary Clinton,,,,,,,,Better today,,,,Hillary Clinton,Hillary Clinton,,,,,,,,,,,,,,,,,,,,,No,White men,,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White men college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic men,White Democrat,White,White,White,,Other,,,,,,,,,,,Liberal Democrats,Liberal Democrats,,,,,,,National questionnaire,"Cities 10,000-50,000",Small Cities/Rural,8.0,South,Version 4,D.C. Suburbs,22201.0
