ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSNY16,SENNY16,HOUNY16,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME16GEN,EDUC12R,LATINO,BRNAGAIN,MARRIED,@2WAYPRES16,ATTEND16,BORNCITIZEN,BREAK12,CHIEF16,CLINTONEMAIL,COUNTACC,DESCRIBP12,FAIRJUSTICE,FAVDEM2,FAVREP2,FAVHCLIN16,FAVTRUMP,FINSIT,FTVOTER,GOVTANGR16,GOVTDO10,HANDLEECON16,HANDLEFP16,HEALTHCARE16,CLINHONEST,TRUMPHONEST,IMMDEPORT,IMMWALL,ISIS16,ISSUE16,LGBT,LIFE,NEC,OBAMA4,OBAMAPLCY16,QLT16,QUALCLINTON,QUALTRUMP,RELIGN10,SUPREME16,TEMPCLINTON,TEMPTRUMP,TIME16,TRACK,TRADE16,TRUMPWOMEN,UNIONHH12,VETVOTER,CLINTONWINGEN,TRUMPWINGEN,SEXBYRACE,SEXWED,AGE,AGE3,AGE45,OVER45,OVER65,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,INC100K,INC50K,INCOME3,INCWHITE,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYWHITE,QRACEAI,QRACE3,RACE2B,RACEAI,SUBURBWHITE,WHNCLINC,ATTEND16B,ATTREL,BREAK12A,BREAK12B,CLINTONEMAILB,COUNT2,FAVPRES16,GOVTANGR16B,HONEST16,ISIS16B,NEC2,OBAMA2,PTYIDEO,PTYIDEO7,QUALIFIED16,REL4,REL5,RELWHITE,MORMON,WPROTBRN,WPROTBRN3,WHTEVANG,SPLITTICKET,SUPREME16B,TEMPERAMENT16,TIME16MONTH,TIME16WEEK,TRUMPWOMENB,CLINTONWINGENB,TRUMPWINGENB,QTYPE,SPANISHQ,SIZEPLAC,SIZEPLC3,CDNUM,REGION,VERSION,GEOCODE,ZIPCODE
138946.0, New York,,,Complete,Telephone survey,0.0,Hillary Clinton,,The Democratic candidate,Male,Black,50-59,,Conservative,"$50,000-$99,999",College graduate,No,,Yes,,,,,,,,,,,,Omit,Unfavorable,,,,,,,,,,,,,Terrorism,,,,Strongly approve,,Has the right experience,,,,,,,In October,,,,,,,,Black men,Married men,45-65,30-59,45+,45+,18-64,50+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,College graduate,More than High school graduate,Non white college degree,Non-whites,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and non white",,,,,,Black,Black,Non-white,Black,Other,No,,,,,,,Omit,,,,,Approve,,,,,,,,,,,,,,In the last month,Before that,,,,National questionnaire,English,"Cities over 500,000","Cities over 50,000",5.0,East,Version 1,1.0,11412.0
138947.0, New York,,,Complete,Telephone survey,0.0,Donald Trump,,The Republican candidate,Female,White,30-39,Independent,Moderate,"$50,000-$99,999",Postgraduate study,No,,Yes,,,,,,,,,,,,Unfavorable,Favorable,,,,,,,,,,,,,The economy,,,,Strongly disapprove,,Can bring needed change,,,,,,,In October,,,,,,,,White women,Married women,30-44,30-59,18-44,18-44,18-64,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White women college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,White,White suburban women,No,,,,,,,Only Donald Trump,,,,,Disapprove,Moderate/Liberal Republicans,Moderate Independents,,,,,,,,,,,,In the last month,Before that,,,,National questionnaire,English,Suburbs,Suburbs,18.0,East,Version 1,3.0,10512.0
139113.0, New York,,,Complete,Telephone survey,0.0,Hillary Clinton,,The Democratic candidate,Female,White,50-59,Democrat,Liberal,"$100,000-$199,999",College graduate,No,,,,,,,,,,I strongly favor my candidate,,,,,,,No,"Satisfied, but not enthusiastic",,,,,Yes,No,,,,The economy,,,Not so good,,,Has the right experience,,,,,Yes,No,,,,,,,,,White women,,45-65,30-59,45+,45+,18-64,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White women college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,White suburban women,No,,,,,,,,"Enthusiastic or satisfied, but not enthusiastic",Only Hillary Clinton,,Not so good or poor,,Liberal Democrats,Liberal Democrats,,,,,,,,,,,Only Hillary Clinton,,,,,,National questionnaire,English,Suburbs,Suburbs,16.0,East,Version 2,3.0,10710.0
139114.0, New York,,,Complete,Telephone survey,0.0,Hillary Clinton,,The Democratic candidate,Female,White,65 or over,Democrat,Liberal,"$50,000-$99,999",Postgraduate study,No,,,,,,,,,,I dislike the other candidates,,,,,,,No,"Dissatisfied, but not angry",,,,,Yes,No,,,,Foreign policy,,,Good,,,Has good judgment,,,,,Yes,No,,,,,,,,,White women,,65+,60+,45+,45+,65+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White women college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,Other,No,,,,,,,,"Dissatisfied, but not angry or Angry",Only Hillary Clinton,,Excellent or good,,Liberal Democrats,Liberal Democrats,,,,,,,,,,,Only Hillary Clinton,,,,,,National questionnaire,English,"Cities over 500,000","Cities over 50,000",10.0,East,Version 2,1.0,10011.0
139115.0, New York,,,Complete,Telephone survey,0.0,Hillary Clinton,,The Democratic candidate,Female,White,45-49,Something else,Moderate,"$100,000-$199,999",Some college/assoc. degree,No,,,,,,,,,,I like my candidate but with reservations,,,,,,,No,"Dissatisfied, but not angry",,,,,Yes,No,,,,The economy,,,Good,,,Has good judgment,,,,,Yes,No,,,,,,,,,White women,,45-65,30-59,45+,45+,18-64,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,No college degree,More than High school graduate,White no college degree,White women non college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,White,Other,No,,,,,,,,"Dissatisfied, but not angry or Angry",Only Hillary Clinton,,Excellent or good,,Moderate/Liberal Republicans,Moderate Independents,,,,,,,,,,,Only Hillary Clinton,,,,,,National questionnaire,English,Rural,Small Cities/Rural,24.0,East,Version 2,4.0,13166.0
139116.0, New York,,,Complete,Telephone survey,0.0,Hillary Clinton,,The Democratic candidate,Female,White,65 or over,Democrat,Liberal,"$100,000-$199,999",Some college/assoc. degree,No,,,,,,,,,,I strongly favor my candidate,,,,,,,No,"Dissatisfied, but not angry",,,,,Yes,No,,,,The economy,,,Good,,,Has the right experience,,,,,Yes,No,,,,,,,,,White women,,65+,60+,45+,45+,65+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,White women non college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,White suburban women,No,,,,,,,,"Dissatisfied, but not angry or Angry",Only Hillary Clinton,,Excellent or good,,Liberal Democrats,Liberal Democrats,,,,,,,,,,,Only Hillary Clinton,,,,,,National questionnaire,English,Suburbs,Suburbs,4.0,East,Version 2,2.0,11561.0
139117.0, New York,,,Complete,Telephone survey,0.0,Hillary Clinton,,The Democratic candidate,Female,White,65 or over,Democrat,,"$30,000-$49,999",High school or less,No,,,,,,,,,,I strongly favor my candidate,,,,,,,No,"Dissatisfied, but not angry",,,,,Yes,No,,,,Terrorism,,,Not so good,,,Has good judgment,,,,,Yes,No,,,,,,,,,White women,,65+,60+,45+,45+,65+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White women non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,White suburban women,Yes,,,,,,,,"Dissatisfied, but not angry or Angry",Only Hillary Clinton,,Not so good or poor,,,,,,,,,,,,,,Only Hillary Clinton,,,,,,National questionnaire,English,Suburbs,Suburbs,27.0,East,Version 2,4.0,14108.0
139118.0, New York,,,Complete,Telephone survey,0.0,Hillary Clinton,,The Democratic candidate,Female,White,65 or over,Independent,Moderate,"$30,000-$49,999",College graduate,No,,,,,,,,,,I strongly favor my candidate,,,,,,,No,"Dissatisfied, but not angry",,,,,Yes,No,,,,Terrorism,,,Good,,,Has the right experience,,,,,Yes,No,,,,,,,,,White women,,65+,60+,45+,45+,65+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White women college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,White,White suburban women,No,,,,,,,,"Dissatisfied, but not angry or Angry",Only Hillary Clinton,,Excellent or good,,Moderate/Liberal Republicans,Moderate Independents,,,,,,,,,,,Only Hillary Clinton,,,,,,National questionnaire,English,Suburbs,Suburbs,24.0,East,Version 2,5.0,13069.0
139119.0, New York,,,Complete,Telephone survey,0.0,Hillary Clinton,,The Democratic candidate,Female,Black,40-44,Democrat,Liberal,"$100,000-$199,999",High school or less,No,,,,,,,,,,I like my candidate but with reservations,,,,,,,No,"Dissatisfied, but not angry",,,,,No,No,,,,The economy,,,Not so good,,,Has good judgment,,,,,Yes,No,,,,,,,,,Black women,,30-44,30-59,18-44,18-44,18-64,18-49,30-44,40-49,Black 30-44,Black 30-44,Black 30-44,No college degree,High school graduate or less,Non white no college degree,Non-whites,100k or more,50k or more,100 thousand or more,"Over $50,000 and non white",Democrat,Black Democrat,Black Democrat,Democratic women,Non-White Democrats,Black,Black,Non-white,Black,Other,No,,,,,,,,"Dissatisfied, but not angry or Angry",Neither,,Not so good or poor,,Liberal Democrats,Liberal Democrats,,,,,,,,,,,Only Hillary Clinton,,,,,,National questionnaire,English,"Cities over 500,000","Cities over 50,000",8.0,East,Version 2,1.0,11205.0
139120.0, New York,,,Complete,Telephone survey,0.0,Hillary Clinton,,The Democratic candidate,Female,Hispanic/Latino,45-49,Democrat,Moderate,"$30,000-$49,999",High school or less,Yes,,,,,,,,,,I like my candidate but with reservations,,,,,,,No,Enthusiastic,,,,,Omit,No,,,,Immigration,,,Good,,,Cares about people like me,,,,,Yes,No,,,,,,,,,Latino women,,45-65,30-59,45+,45+,18-64,18-49,45-59,40-49,Non-Black 45-59,Latino 45-59,Latino 45-64,No college degree,High school graduate or less,Non white no college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Democrat,Non-black Democrat,Latino Democrat,Democratic women,Non-White Democrats,Hispanic/Latino,Other,Non-white,Hispanic/Latino,Other,No,,,,,,,,"Enthusiastic or satisfied, but not enthusiastic",Omit,,Excellent or good,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,,,,,,,Only Hillary Clinton,,,,,,National questionnaire,English,Suburbs,Suburbs,16.0,East,Version 2,3.0,10530.0
139121.0, New York,,,Complete,Telephone survey,0.0,Hillary Clinton,,The Democratic candidate,Female,Black,50-59,Democrat,Moderate,"$30,000-$49,999",High school or less,No,,,,,,,,,,I strongly favor my candidate,,,,,,,No,"Dissatisfied, but not angry",,,,,Yes,No,,,,Omit,,,Not so good,,,Cares about people like me,,,,,Yes,No,,,,,,,,,Black women,,45-65,30-59,45+,45+,18-64,50+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,No college degree,High school graduate or less,Non white no college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Democrat,Black Democrat,Black Democrat,Democratic women,Non-White Democrats,Black,Black,Non-white,Black,Other,No,,,,,,,,"Dissatisfied, but not angry or Angry",Only Hillary Clinton,,Not so good or poor,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,,,,,,,Only Hillary Clinton,,,,,,National questionnaire,English,"Cities over 500,000","Cities over 50,000",8.0,East,Version 2,3.0,28213.0
139122.0, New York,,,Complete,Telephone survey,0.0,Hillary Clinton,,The Democratic candidate,Female,Asian,30-39,Democrat,Liberal,"$100,000-$199,999",Postgraduate study,No,,,,,,,,,,I like my candidate but with reservations,,,,,,,No,"Satisfied, but not enthusiastic",,,,,No,No,,,,The economy,,,Not so good,,,Has the right experience,,,,,Yes,No,,,,,,,,,All other races,,30-44,30-59,18-44,18-44,18-64,18-49,30-44,30-39,Non-Black 30-44,All others,All others,College graduate,More than High school graduate,Non white college degree,Non-whites,100k or more,50k or more,100 thousand or more,"Over $50,000 and non white",Democrat,Non-black Democrat,All Other,Democratic women,Non-White Democrats,Asian,Other,Non-white,Asian,Other,No,,,,,,,,"Enthusiastic or satisfied, but not enthusiastic",Neither,,Not so good or poor,,Liberal Democrats,Liberal Democrats,,,,,,,,,,,Only Hillary Clinton,,,,,,National questionnaire,English,"Cities over 500,000","Cities over 50,000",7.0,East,Version 2,1.0,11217.0
139123.0, New York,,,Complete,Telephone survey,0.0,Donald Trump,,The Republican candidate,Female,White,65 or over,Something else,Conservative,"$100,000-$199,999",College graduate,No,,,,,,,,,,I dislike the other candidates,,,,,,,No,Angry,,,,,No,Yes,,,,The economy,,,Not so good,,,Has good judgment,,,,,No,Yes,,,,,,,,,White women,,65+,60+,45+,45+,65+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White women college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,White,White suburban women,No,,,,,,,,"Dissatisfied, but not angry or Angry",Only Donald Trump,,Not so good or poor,,Moderate/Liberal Republicans,Conservative Independents,,,,,,,,,,,Only Donald Trump,,,,,,National questionnaire,English,Suburbs,Suburbs,23.0,East,Version 2,5.0,14836.0
139124.0, New York,,,Complete,Telephone survey,0.0,Hillary Clinton,,The Democratic candidate,Male,Hispanic/Latino,18-24,Democrat,Conservative,"Under $30,000",Some college/assoc. degree,Yes,,,,,,,,,,I dislike the other candidates,,,,,,,Yes,"Satisfied, but not enthusiastic",,,,,No,No,,,,Immigration,,,Excellent,,,Has the right experience,,,,,Yes,No,,,,,,,,,Latino men,,18-29,18-29,18-44,18-44,18-64,18-49,18-29,18-24,Non-Black 18-29,Latino 18-29,Latino 18-29,No college degree,More than High school graduate,Non white no college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Democrat,Non-black Democrat,Latino Democrat,Democratic men,Non-White Democrats,,Other,Non-white,Hispanic/Latino,Other,No,,,,,,,,"Enthusiastic or satisfied, but not enthusiastic",Neither,,Excellent or good,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,,,,,,,Only Hillary Clinton,,,,,,National questionnaire,English,"Cities over 500,000","Cities over 50,000",5.0,East,Version 2,1.0,11366.0
139125.0, New York,,,Complete,Telephone survey,0.0,Hillary Clinton,,The Democratic candidate,Male,White,18-24,Democrat,Moderate,"$30,000-$49,999",College graduate,No,,,,,,,,,,I strongly favor my candidate,,,,,,,Yes,"Dissatisfied, but not angry",,,,,Yes,No,,,,Foreign policy,,,Good,,,Has good judgment,,,,,Yes,No,,,,,,,,,White men,,18-29,18-29,18-44,18-44,18-64,18-49,18-29,18-24,Non-Black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,White men college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic men,White Democrat,White,White,White,White,White suburban men,No,,,,,,,,"Dissatisfied, but not angry or Angry",Only Hillary Clinton,,Excellent or good,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,,,,,,,Only Hillary Clinton,,,,,,National questionnaire,English,Suburbs,Suburbs,24.0,East,Version 2,4.0,13029.0
139126.0, New York,,,Complete,Telephone survey,0.0,Hillary Clinton,,The Democratic candidate,Female,White,30-39,Independent,Liberal,"$100,000-$199,999",Postgraduate study,No,,,,,,,,,,I like my candidate but with reservations,,,,,,,No,Omit,,,,,Yes,No,,,,Omit,,,Good,,,Can bring needed change,,,,,Yes,No,,,,,,,,,White women,,30-44,30-59,18-44,18-44,18-64,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White women college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,White,Other,No,,,,,,,,Omit,Only Hillary Clinton,,Excellent or good,,Moderate/Liberal Republicans,Liberal Independents,,,,,,,,,,,Only Hillary Clinton,,,,,,National questionnaire,English,"Cities 50,000-500,000","Cities over 50,000",25.0,East,Version 2,4.0,14624.0
