ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSNM16,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME16GEN,EDUC12R,LATINO,MARRIED,@2WAYPRES16,CLINTONEMAIL,DESCRIBP12,FAVHCLIN16,FAVTRUMP,FAVJOHNSON,GOVTANGR16,HANDLEECON16,HANDLEFP16,CLINHONEST,TRUMPHONEST,IMMBETTER,IMMDEPORT,IMMWALL,ISSUE16,LIFE,NEC,OBAMA4,QLT16,QUALCLINTON,QUALTRUMP,RACEFACTOR,TEMPCLINTON,TEMPTRUMP,TIME16,TRUMPWOMEN,SEXBYRACE,SEXWED,AGE,AGE3,AGE45,AGE49,AGE60,AGE65,OVER45,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,INC100K,INC50K,INCOME3,INCWHITE,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYWHITE,QRACEAI,QRACE3,RACE2B,RACEAI,SUBURBWHITE,WHNCLINC,CLINTONEMAILB,FAVPRES16,GOVTANGR16B,HONEST16,NEC2,OBAMA2,PTYIDEO,PTYIDEO7,QUALIFIED16,TEMPERAMENT16,TIME16MONTH,TIME16WEEK,TRUMPWOMENB,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,REGION,VERSION,GEOCODE,SPANISHQ,ZIPCODE
206774.0, New Mexico,9.0,Call 2,Complete,Election day exit poll,0.647742331027985,Did not vote,Male,Hispanic/Latino,25-29,,,,Some college/assoc. degree,Yes,,,,,Unfavorable,Unfavorable,Omit,,Omit,Omit,,,,,Oppose,Omit,Better than life today,,Omit,Omit,No,No,,,,Omit,,Latino men,,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,Latino 18-29,Latino 18-29,No college degree,More than High school graduate,Non white no college degree,Non-whites,,,,,,,,,,Hispanic/Latino,Other,Non-white,Hispanic/Latino,Other,No,,Neither,,,,Omit,,,Neither,,Omit,Omit,,State questionnaire,"Cities over 500,000","Cities over 50,000",1.0,West,Version 1,3.0,English,87106.0
206771.0, New Mexico,9.0,Call 2,Complete,Election day exit poll,0.647742331027985,Did not vote,Male,Hispanic/Latino,25-29,,,,Some college/assoc. degree,Yes,,,,,Unfavorable,Unfavorable,Omit,,Omit,Omit,,,,,Oppose,Omit,Better than life today,,Omit,Omit,No,No,,,,Omit,,Latino men,,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,Latino 18-29,Latino 18-29,No college degree,More than High school graduate,Non white no college degree,Non-whites,,,,,,,,,,Hispanic/Latino,Other,Non-white,Hispanic/Latino,Other,No,,Neither,,,,Omit,,,Neither,,Omit,Omit,,State questionnaire,"Cities over 500,000","Cities over 50,000",1.0,West,Version 1,3.0,English,87106.0
221975.0, New Mexico,39.0,Call 3,Complete,Election day exit poll,0.467775046825409,Did not vote,Female,Hispanic/Latino,40-44,Republican,Liberal,,High school or less,Yes,Yes,Donald Trump,Not at all,Omit,,,,Enthusiastic,,,Yes,Yes,Omit,Offered a chance to apply for legal status,,,,Omit,,,,,Whites are favored over minorities,No,Yes,,Not at all,Latino women,Married women,30-44,30-59,18-44,18-49,30-44,40-49,18-44,18-64,Non-Black 30-44,Latino 30-44,Latino 30-44,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,All others,Hispanic/Latino,Other,Non-white,Hispanic/Latino,Other,,Not much or not at all,,"Enthusiastic or satisfied, but not enthusiastic",Both,Omit,,Conservative Republicans,Mod./Liberal Republicans,,Only Donald Trump,,,Not much or not at all,State questionnaire,Rural,Small Cities/Rural,2.0,West,Version 2,4.0,English,88061.0
137789.0, New Mexico,,,Complete,Telephone survey,0.291563659906387,Did not vote,Male,White,65 or over,Democrat,Moderate,,Some college/assoc. degree,No,,,,,,,,,Omit,Donald Trump,,,,,Oppose,,,,,,,,,,,,,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,White men non college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic men,White Democrat,White,White,White,White,Other,,,,,,,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,,National questionnaire,"Cities over 500,000","Cities over 50,000",1.0,West,Version 4,3.0,English,87111.0
222694.0, New Mexico,76.0,Call 3,Complete,Election day exit poll,0.808599531650543,Hillary Clinton,Female,White,60-64,Democrat,Liberal,,Some college/assoc. degree,No,Yes,Hillary Clinton,Some,I like my candidate but with reservations,,,,"Dissatisfied, but not angry",,,No,No,Help the country,Offered a chance to apply for legal status,,,,Good,,,,,No group is favored,Yes,No,,Some,White women,Married women,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,White 60+,White 45-64,No college degree,More than High school graduate,White no college degree,White women non college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,Other,,A lot or some,,"Dissatisfied, but not angry or Angry",Neither,Excellent or good,,Liberal Democrats,Liberal Democrats,,Only Hillary Clinton,,,A lot or some,State questionnaire,Rural,Small Cities/Rural,3.0,West,Version 2,2.0,English,87532.0
222685.0, New Mexico,49.0,Call 3,Complete,Election day exit poll,0.520656526088715,Hillary Clinton,Male,White,30-39,Democrat,Liberal,"$100,000-$199,999",Postgraduate study,No,,,,,Favorable,Unfavorable,Favorable,,Hillary Clinton,Hillary Clinton,,,,,Oppose,The economy,Better than life today,,Strongly approve,Has the right experience,Yes,No,,,,Before that,,White men,,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White men college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic men,White Democrat,White,White,White,White,Other,No,,Only Hillary Clinton,,,,Approve,Liberal Democrats,Liberal Democrats,Only Hillary Clinton,,Before that,Before that,,State questionnaire,Rural,Small Cities/Rural,3.0,West,Version 1,2.0,English,87544.0
186237.0, New Mexico,14.0,Call 1,Complete,Election day exit poll,0.719157814979553,Hillary Clinton,Female,Hispanic/Latino,40-44,Democrat,Moderate,"$100,000-$199,999",College graduate,Yes,,,,,Favorable,Unfavorable,Favorable,,Hillary Clinton,Hillary Clinton,,,,,Oppose,Terrorism,Better than life today,,Strongly approve,Has the right experience,Yes,No,,,,In the last few days,,Latino women,,30-44,30-59,18-44,18-49,30-44,40-49,18-44,18-64,Non-Black 30-44,Latino 30-44,Latino 30-44,College graduate,More than High school graduate,Non white college degree,Non-whites,100k or more,50k or more,100 thousand or more,"Over $50,000 and non white",Democrat,Non-black Democrat,Latino Democrat,Democratic women,Non-White Democrats,Hispanic/Latino,Other,Non-white,Hispanic/Latino,Other,No,,Only Hillary Clinton,,,,Approve,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Only Hillary Clinton,,In the last month,In the last week,,State questionnaire,"Cities over 500,000","Cities over 50,000",1.0,West,Version 1,3.0,English,87109.0
222670.0, New Mexico,35.0,Call 3,Complete,Election day exit poll,0.530308604240417,Hillary Clinton,Female,Hispanic/Latino,25-29,Democrat,Liberal,,Some college/assoc. degree,Yes,Yes,Hillary Clinton,Not at all,I strongly favor my candidate,,,,"Satisfied, but not enthusiastic",,,Yes,No,Help the country,Offered a chance to apply for legal status,,,,Not so good,,,,,Whites are favored over minorities,No,Yes,,A lot,Latino women,Married women,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,Latino 18-29,Latino 18-29,No college degree,More than High school graduate,Non white no college degree,Non-whites,,,,,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Non-White Democrats,Hispanic/Latino,Other,Non-white,Hispanic/Latino,Other,,Not much or not at all,,"Enthusiastic or satisfied, but not enthusiastic",Only Hillary Clinton,Not so good or poor,,Liberal Democrats,Liberal Democrats,,Only Donald Trump,,,A lot or some,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",2.0,West,Version 2,4.0,English,88007.0
186227.0, New Mexico,2.0,Call 1,Complete,Election day exit poll,0.70774257183075,Hillary Clinton,Female,White,40-44,Democrat,Liberal,,Postgraduate study,No,Yes,Hillary Clinton,Not at all,I strongly favor my candidate,,,,"Satisfied, but not enthusiastic",,,Yes,No,Help the country,Offered a chance to apply for legal status,,,,Excellent,,,,,Whites are favored over minorities,Yes,No,,A lot,White women,Married women,30-44,30-59,18-44,18-49,30-44,40-49,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,Other,,Not much or not at all,,"Enthusiastic or satisfied, but not enthusiastic",Only Hillary Clinton,Excellent or good,,Liberal Democrats,Liberal Democrats,,Only Hillary Clinton,,,A lot or some,State questionnaire,"Cities over 500,000","Cities over 50,000",1.0,West,Version 2,3.0,English,87120.0
186222.0, New Mexico,17.0,Call 1,Complete,Election day exit poll,0.884866178035736,Hillary Clinton,Female,Black,30-39,Independent,Moderate,"$30,000-$49,999",Some college/assoc. degree,No,,,,,Favorable,Unfavorable,Favorable,,Hillary Clinton,Hillary Clinton,,,,,Oppose,The economy,Better than life today,,Somewhat approve,Has the right experience,Yes,No,,,,In September,,Black women,,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Black 30-44,Black 30-44,Black 30-44,No college degree,More than High school graduate,Non white no college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Independent/Something else,Black non-Democrat,Black Independent,Independent women,All others,Black,Black,Non-white,Black,Other,No,,Only Hillary Clinton,,,,Approve,Moderate/Liberal Republicans,Moderate Independents,Only Hillary Clinton,,Before that,Before that,,State questionnaire,"Cities over 500,000","Cities over 50,000",1.0,West,Version 1,3.0,English,87112.0
206456.0, New Mexico,9.0,Call 2,Complete,Election day exit poll,0.857982158660889,Hillary Clinton,Male,White,50-59,Republican,Conservative,"$50,000-$99,999",High school or less,No,,,,,Unfavorable,Favorable,Unfavorable,,Donald Trump,Donald Trump,,,,,Support,Immigration,Worse than life today,,Strongly disapprove,Can bring needed change,No,Yes,,,,Before that,,White men,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,High school graduate or less,White no college degree,White men non college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,White,Other,No,,Only Donald Trump,,,,Disapprove,Independent/Something else,Conservative Republicans,Only Donald Trump,,Before that,Before that,,State questionnaire,"Cities over 500,000","Cities over 50,000",1.0,West,Version 1,3.0,English,87106.0
206329.0, New Mexico,9.0,Call 2,Complete,Election day exit poll,0.743129730224609,Hillary Clinton,Female,White,30-39,Independent,Moderate,"Under $30,000",Postgraduate study,No,,,,,Unfavorable,Unfavorable,Favorable,,Hillary Clinton,Hillary Clinton,,,,,Oppose,Immigration,About the same,,Somewhat approve,Has the right experience,No,No,,,,In the last few days,,White women,,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White women college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,White,Other,No,,Neither,,,,Approve,Moderate/Liberal Republicans,Moderate Independents,Neither,,In the last month,In the last week,,State questionnaire,"Cities over 500,000","Cities over 50,000",1.0,West,Version 1,3.0,English,87106.0
226569.0, New Mexico,57.0,Call 3,Complete,Election day exit poll,0.638935685157776,Hillary Clinton,Male,White,25-29,Independent,Liberal,"Under $30,000",College graduate,No,,,,,Favorable,Unfavorable,Unfavorable,,Hillary Clinton,Hillary Clinton,,,,,Oppose,The economy,Better than life today,,Somewhat approve,Has the right experience,Yes,No,,,,Before that,,White men,,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,White men college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,White,Other,No,,Only Hillary Clinton,,,,Approve,Moderate/Liberal Republicans,Liberal Independents,Only Hillary Clinton,,Before that,Before that,,State questionnaire,Rural,Small Cities/Rural,2.0,West,Version 1,1.0,English,88130.0
206445.0, New Mexico,21.0,Call 2,Complete,Election day exit poll,1.01335871219635,Hillary Clinton,Female,Other,30-39,Democrat,Liberal,,Some college/assoc. degree,No,,Hillary Clinton,,,,,,,,,,,,Offered a chance to apply for legal status,,,Better than life today,,,,Yes,No,,,,,,All other races,,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,All others,All others,No college degree,More than High school graduate,Non white no college degree,Non-whites,,,,,Democrat,Non-black Democrat,All Other,Democratic women,Non-White Democrats,American Indian,Other,Non-white,American Indian,Other,,,,,,,,Liberal Democrats,Liberal Democrats,Only Hillary Clinton,,,,,National questionnaire,"Cities over 500,000","Cities over 50,000",1.0,West,Version 3,3.0,English,87105.0
185057.0, New Mexico,32.0,Call 1,Complete,Election day exit poll,0.696305990219116,Hillary Clinton,Male,Hispanic/Latino,18-24,Democrat,Liberal,,College graduate,Yes,No,Hillary Clinton,Not much,I dislike the other candidates,,,,"Dissatisfied, but not angry",,,No,No,Help the country,Offered a chance to apply for legal status,,,,Not so good,,,,,Whites are favored over minorities,Yes,No,,Some,Latino men,Non married men,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Non-Black 18-29,Latino 18-29,Latino 18-29,College graduate,More than High school graduate,Non white college degree,Non-whites,,,,,Democrat,Non-black Democrat,Latino Democrat,Democratic men,Non-White Democrats,Hispanic/Latino,Other,Non-white,Hispanic/Latino,Other,,Not much or not at all,,"Dissatisfied, but not angry or Angry",Neither,Not so good or poor,,Liberal Democrats,Liberal Democrats,,Only Hillary Clinton,,,A lot or some,State questionnaire,Suburbs,Suburbs,2.0,West,Version 2,4.0,English,88021.0
185176.0, New Mexico,9.0,Call 1,Complete,Election day exit poll,0.743129730224609,Hillary Clinton,Female,Hispanic/Latino,50-59,Democrat,Liberal,"$100,000-$199,999",Postgraduate study,Yes,,,,,Favorable,Unfavorable,Favorable,,Hillary Clinton,Hillary Clinton,,,,,Oppose,Foreign policy,Better than life today,,Strongly approve,Has the right experience,Yes,No,,,,Before that,,Latino women,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,Latino 45-59,Latino 45-64,College graduate,More than High school graduate,Non white college degree,Non-whites,100k or more,50k or more,100 thousand or more,"Over $50,000 and non white",Democrat,Non-black Democrat,Latino Democrat,Democratic women,Non-White Democrats,Hispanic/Latino,Other,Non-white,Hispanic/Latino,Other,No,,Only Hillary Clinton,,,,Approve,Liberal Democrats,Liberal Democrats,Only Hillary Clinton,,Before that,Before that,,State questionnaire,"Cities over 500,000","Cities over 50,000",1.0,West,Version 1,3.0,English,87106.0
206431.0, New Mexico,35.0,Call 2,Complete,Election day exit poll,0.530308604240417,Hillary Clinton,Female,Hispanic/Latino,18-24,Independent,Liberal,"Under $30,000",Some college/assoc. degree,Yes,,,,,Favorable,Unfavorable,Unfavorable,,Hillary Clinton,Hillary Clinton,,,,,Oppose,The economy,About the same,,Strongly approve,Has good judgment,Yes,No,,,,In the last few days,,Latino women,,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Non-Black 18-29,Latino 18-29,Latino 18-29,No college degree,More than High school graduate,Non white no college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Independent/Something else,Non-black non-Democrat,Latino Independent,Independent women,All others,Hispanic/Latino,Other,Non-white,Hispanic/Latino,Other,No,,Only Hillary Clinton,,,,Approve,Moderate/Liberal Republicans,Liberal Independents,Only Hillary Clinton,,In the last month,In the last week,,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",2.0,West,Version 1,4.0,English,88007.0
206430.0, New Mexico,32.0,Call 2,Complete,Election day exit poll,0.603096067905426,Hillary Clinton,Female,Hispanic/Latino,25-29,Democrat,Liberal,,Some college/assoc. degree,Yes,No,Hillary Clinton,A lot,I like my candidate but with reservations,,,,Enthusiastic,,,No,No,Help the country,Offered a chance to apply for legal status,,,,Good,,,,,No group is favored,Yes,No,,A lot,Latino women,Non married women,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,Latino 18-29,Latino 18-29,No college degree,More than High school graduate,Non white no college degree,Non-whites,,,,,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Non-White Democrats,Hispanic/Latino,Other,Non-white,Hispanic/Latino,Other,,A lot or some,,"Enthusiastic or satisfied, but not enthusiastic",Neither,Excellent or good,,Liberal Democrats,Liberal Democrats,,Only Hillary Clinton,,,A lot or some,State questionnaire,Suburbs,Suburbs,2.0,West,Version 2,4.0,English,88021.0
