ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSOR16,SENOR16,GOVOR16,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME16GEN,EDUC12R,LATINO,DESCRIBP12,FAVHCLIN16,FAVTRUMP,CLINHONEST,TRUMPHONEST,IMMDEPORT,ISSUE16,LIFE,NEC,OBAMA4,QLT16,TEMPCLINTON,TEMPTRUMP,TIME16,SEXBYRACE,SEXWED,AGE,AGE3,AGE45,AGE49,AGE60,AGE65,OVER45,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,INC100K,INC50K,INCOME3,INCWHITE,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYWHITE,QRACEAI,QRACE3,RACE2B,RACEAI,SUBURBWHITE,WHNCLINC,FAVPRES16,HONEST16,NEC2,OBAMA2,PTYIDEO,PTYIDEO7,SPLITTICKET,TEMPERAMENT16,TIME16MONTH,TIME16WEEK,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,REGION,VERSION,GEOCODE,ZIPCODE
110358.0,Oregon,,,Complete,Telephone survey,0.347721636295319,Hillary Clinton,Ron Wyden,Kate Brown,Female,White,65 or over,Independent,Liberal,"Under $30,000",Postgraduate study,No,I strongly favor my candidate,Favorable,Unfavorable,Yes,No,Offered a chance to apply for legal status,Foreign policy,About the same,Good,Strongly approve,Has good judgment,Yes,No,Before that,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White women college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,White,Other,No,Only Hillary Clinton,Only Hillary Clinton,Excellent or good,Approve,Moderate/Liberal Republicans,Liberal Independents,Democratic Senate - voted Clinton,Only Hillary Clinton,Before that,Before that,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",2.0,West,,4.0,97504.0
110359.0,Oregon,,,Complete,Telephone survey,0.372012495994568,,Ron Wyden,Bud Pierce,Female,White,65 or over,Independent,Conservative,"Under $30,000",High school or less,No,I strongly favor my candidate,Unfavorable,Unfavorable,No,No,Offered a chance to apply for legal status,The economy,About the same,Poor,Strongly approve,Cares about people like me,Yes,No,In September,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White women non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,White,White suburban women,Yes,Neither,Neither,Not so good or poor,Approve,Moderate/Liberal Republicans,Conservative Independents,Democratic Senate - did not vote Clinton,Only Hillary Clinton,Before that,Before that,State questionnaire,Suburbs,Suburbs,2.0,West,,4.0,97520.0
110360.0,Oregon,,,Complete,Telephone survey,0.358390748500824,Hillary Clinton,Ron Wyden,Kate Brown,Female,White,65 or over,Democrat,Liberal,"Under $30,000",College graduate,No,I strongly favor my candidate,Favorable,Unfavorable,Yes,Omit,Offered a chance to apply for legal status,Immigration,About the same,Not so good,Strongly approve,Has good judgment,Yes,No,Before that,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White women college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,Other,No,Only Hillary Clinton,Only Hillary Clinton,Not so good or poor,Approve,Liberal Democrats,Liberal Democrats,Democratic Senate - voted Clinton,Only Hillary Clinton,Before that,Before that,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",5.0,West,,3.0,97303.0
110361.0,Oregon,,,Complete,Telephone survey,1.50859141349792,Donald Trump,Mark Callahan,Bud Pierce,Male,White,50-59,Independent,Moderate,"$100,000-$199,999",College graduate,No,I dislike the other candidates,Favorable,Unfavorable,No,No,Omit,The economy,Worse than life today,Not so good,Somewhat disapprove,Can bring needed change,No,No,In October,White men,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White men college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,White,Other,No,Only Hillary Clinton,Neither,Not so good or poor,Disapprove,Moderate/Liberal Republicans,Moderate Independents,Republican Senate - Voted Trump,Neither,In the last month,Before that,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,2.0,West,,4.0,97527.0
110362.0,Oregon,,,Complete,Telephone survey,0.331523895263672,Did not vote,Mark Callahan,Bud Pierce,Male,White,65 or over,Republican,Moderate,"$30,000-$49,999",Some college/assoc. degree,No,I strongly favor my candidate,Unfavorable,Unfavorable,No,No,Offered a chance to apply for legal status,Omit,Better than life today,Poor,Strongly disapprove,Has good judgment,No,No,In September,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,White men non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,White,Other,Yes,Neither,Neither,Not so good or poor,Disapprove,Conservative Republicans,Mod./Liberal Republicans,Republican Senate - did not vote Trump,Neither,Before that,Before that,State questionnaire,Rural,Small Cities/Rural,2.0,West,,4.0,97063.0
110363.0,Oregon,,,Complete,Telephone survey,0.305838763713837,Hillary Clinton,Ron Wyden,Kate Brown,Male,White,65 or over,Democrat,Moderate,"Under $30,000",High school or less,No,I like my candidate but with reservations,Favorable,Unfavorable,Yes,No,Offered a chance to apply for legal status,Foreign policy,Better than life today,Good,Somewhat approve,Has the right experience,Yes,No,Before that,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White men non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic men,White Democrat,White,White,White,White,White suburban men,Yes,Only Hillary Clinton,Only Hillary Clinton,Excellent or good,Approve,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Democratic Senate - voted Clinton,Only Hillary Clinton,Before that,Before that,State questionnaire,Suburbs,Suburbs,5.0,West,,3.0,97132.0
110364.0,Oregon,,,Complete,Telephone survey,1.11765837669373,Hillary Clinton,Ron Wyden,Kate Brown,Male,White,65 or over,Independent,Moderate,"$50,000-$99,999",Some college/assoc. degree,No,I strongly favor my candidate,Favorable,Unfavorable,Yes,No,Offered a chance to apply for legal status,The economy,About the same,Good,Somewhat approve,Has the right experience,Yes,No,Before that,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,White men non college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,White,White suburban men,No,Only Hillary Clinton,Only Hillary Clinton,Excellent or good,Approve,Moderate/Liberal Republicans,Moderate Independents,Democratic Senate - voted Clinton,Only Hillary Clinton,Before that,Before that,State questionnaire,Suburbs,Suburbs,1.0,West,,2.0,97064.0
110365.0,Oregon,,,Complete,Telephone survey,0.611677527427673,Hillary Clinton,Ron Wyden,Kate Brown,Male,White,65 or over,Independent,Moderate,"$100,000-$199,999",Some college/assoc. degree,No,I strongly favor my candidate,Favorable,Unfavorable,Yes,No,Offered a chance to apply for legal status,Omit,About the same,Good,Strongly approve,Cares about people like me,Yes,No,Before that,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,White men non college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,White,Other,No,Only Hillary Clinton,Only Hillary Clinton,Excellent or good,Approve,Moderate/Liberal Republicans,Moderate Independents,Democratic Senate - voted Clinton,Only Hillary Clinton,Before that,Before that,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",4.0,West,,3.0,97322.0
110366.0,Oregon,,,Complete,Telephone survey,0.814321219921112,Jill Stein,Other,Kate Brown,Male,Other,45-49,Something else,Liberal,"$50,000-$99,999",Some college/assoc. degree,No,I strongly favor my candidate,Unfavorable,Unfavorable,No,No,Offered a chance to apply for legal status,Foreign policy,Better than life today,Good,Somewhat approve,Can bring needed change,Yes,No,Before that,All other races,,45-65,30-59,45+,18-49,45-59,40-49,45+,18-64,Non-Black 45-59,All others,All others,No college degree,More than High school graduate,Non white no college degree,Non-whites,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and non white",Independent/Something else,Non-black non-Democrat,All Other,Independent men,All others,American Indian,Other,Non-white,American Indian,Other,No,Neither,Neither,Excellent or good,Approve,Moderate/Liberal Republicans,Liberal Independents,Other Senate vote,Only Hillary Clinton,Before that,Before that,State questionnaire,Suburbs,Suburbs,4.0,West,,3.0,97374.0
110367.0,Oregon,,,Complete,Telephone survey,0.342996507883072,Donald Trump,Ron Wyden,Bud Pierce,Female,White,65 or over,Something else,Conservative,"$100,000-$199,999",Postgraduate study,No,I dislike the other candidates,Unfavorable,Favorable,No,Yes,Deported to the country they came from,The economy,About the same,Poor,Strongly disapprove,Can bring needed change,No,Yes,Before that,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White women college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,White,White suburban women,No,Only Donald Trump,Only Donald Trump,Not so good or poor,Disapprove,Moderate/Liberal Republicans,Conservative Independents,Democratic Senate - did not vote Clinton,Only Donald Trump,Before that,Before that,State questionnaire,Suburbs,Suburbs,3.0,West,,1.0,97030.0
110368.0,Oregon,,,Complete,Telephone survey,0.358390748500824,Hillary Clinton,Ron Wyden,Kate Brown,Female,White,65 or over,Democrat,Moderate,"$50,000-$99,999",Postgraduate study,No,I strongly favor my candidate,Favorable,Unfavorable,Yes,No,Offered a chance to apply for legal status,The economy,Better than life today,Good,Strongly approve,Has good judgment,Yes,No,In September,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White women college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,White suburban women,No,Only Hillary Clinton,Only Hillary Clinton,Excellent or good,Approve,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Democratic Senate - voted Clinton,Only Hillary Clinton,Before that,Before that,State questionnaire,Suburbs,Suburbs,4.0,West,,3.0,97478.0
110369.0,Oregon,,,Complete,Telephone survey,0.327426135540009,Hillary Clinton,Ron Wyden,Kate Brown,Female,White,65 or over,Republican,Conservative,"$100,000-$199,999",High school or less,No,I like my candidate but with reservations,Favorable,Favorable,Yes,No,Deported to the country they came from,The economy,About the same,Good,Somewhat approve,Can bring needed change,Yes,No,In October,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White women non college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican women,White Republican,White,White,White,White,White suburban women,No,Both,Only Hillary Clinton,Excellent or good,Approve,Independent/Something else,Conservative Republicans,Democratic Senate - voted Clinton,Only Hillary Clinton,In the last month,Before that,State questionnaire,Suburbs,Suburbs,1.0,West,,2.0,97140.0
110370.0,Oregon,,,Complete,Telephone survey,0.643277943134308,Donald Trump,Ron Wyden,Bud Pierce,Male,White,65 or over,Independent,Conservative,"Under $30,000",High school or less,No,I like my candidate but with reservations,Unfavorable,Favorable,No,Yes,Offered a chance to apply for legal status,Immigration,Worse than life today,Poor,Strongly disapprove,Cares about people like me,Yes,No,Before that,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White men non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,White,Other,Yes,Only Donald Trump,Only Donald Trump,Not so good or poor,Disapprove,Moderate/Liberal Republicans,Conservative Independents,Democratic Senate - did not vote Clinton,Only Hillary Clinton,Before that,Before that,State questionnaire,"Cities 10,000-50,000",Small Cities/Rural,4.0,West,,4.0,97526.0
110371.0,Oregon,,,Complete,Telephone survey,0.495694756507874,Hillary Clinton,Ron Wyden,Kate Brown,Female,White,50-59,Democrat,Moderate,"$50,000-$99,999",College graduate,No,I dislike the other candidates,Favorable,Unfavorable,Yes,No,Offered a chance to apply for legal status,Omit,Worse than life today,Good,Somewhat approve,Has the right experience,Yes,No,Before that,White women,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White women college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,Other,No,Only Hillary Clinton,Only Hillary Clinton,Excellent or good,Approve,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Democratic Senate - voted Clinton,Only Hillary Clinton,Before that,Before that,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",4.0,West,,3.0,97330.0
110372.0,Oregon,,,Complete,Telephone survey,0.74257093667984,Donald Trump,Mark Callahan,Bud Pierce,Female,White,65 or over,Republican,Conservative,"Under $30,000",High school or less,No,I dislike the other candidates,Unfavorable,Favorable,No,Yes,Deported to the country they came from,The economy,Worse than life today,Poor,Strongly disapprove,Can bring needed change,No,Yes,Before that,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White women non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican women,White Republican,White,White,White,White,White suburban women,Yes,Only Donald Trump,Only Donald Trump,Not so good or poor,Disapprove,Independent/Something else,Conservative Republicans,Republican Senate - Voted Trump,Only Donald Trump,Before that,Before that,State questionnaire,Suburbs,Suburbs,5.0,West,,2.0,97038.0
110373.0,Oregon,,,Complete,Telephone survey,0.322207927703857,Donald Trump,Ron Wyden,Bud Pierce,Male,White,65 or over,Democrat,Conservative,"$30,000-$49,999",High school or less,No,I like my candidate but with reservations,Favorable,Favorable,Yes,Yes,Deported to the country they came from,The economy,About the same,Not so good,Somewhat approve,Omit,Yes,No,In October,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White men non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic men,White Democrat,White,White,White,White,Other,Yes,Both,Both,Not so good or poor,Approve,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Democratic Senate - did not vote Clinton,Only Hillary Clinton,In the last month,Before that,State questionnaire,Rural,Small Cities/Rural,4.0,West,,4.0,97471.0
110374.0,Oregon,,,Complete,Telephone survey,0.985734760761261,Hillary Clinton,Ron Wyden,Kate Brown,Male,Hispanic/Latino,60-64,Democrat,Moderate,"$100,000-$199,999",Postgraduate study,Yes,I like my candidate but with reservations,Favorable,Unfavorable,Yes,No,Offered a chance to apply for legal status,The economy,Better than life today,Good,Strongly approve,Has good judgment,Yes,No,Before that,Latino men,,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,Latino 60+,Latino 45-64,College graduate,More than High school graduate,Non white college degree,Non-whites,100k or more,50k or more,100 thousand or more,"Over $50,000 and non white",Democrat,Non-black Democrat,Latino Democrat,Democratic men,Non-White Democrats,Hispanic/Latino,Other,Non-white,Hispanic/Latino,Other,No,Only Hillary Clinton,Only Hillary Clinton,Excellent or good,Approve,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Democratic Senate - voted Clinton,Only Hillary Clinton,Before that,Before that,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",4.0,West,,3.0,97322.0
110375.0,Oregon,,,Complete,Telephone survey,0.512622833251953,Donald Trump,Mark Callahan,Bud Pierce,Female,White,50-59,Republican,Conservative,"$30,000-$49,999",Some college/assoc. degree,No,I strongly favor my candidate,Unfavorable,Favorable,No,Yes,Deported to the country they came from,The economy,Worse than life today,Poor,Strongly disapprove,Can bring needed change,Omit,Omit,Before that,White women,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,More than High school graduate,White no college degree,White women non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican women,White Republican,White,White,White,White,White suburban women,Yes,Only Donald Trump,Only Donald Trump,Not so good or poor,Disapprove,Independent/Something else,Conservative Republicans,Republican Senate - Voted Trump,Omit,Before that,Before that,State questionnaire,Suburbs,Suburbs,3.0,West,,2.0,97225.0
