ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSIL16,SENIL16,HOUIL16,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME16GEN,EDUC12R,LATINO,BRNAGAIN,MARRIED,@2WAYPRES16,ATTEND16,BORNCITIZEN,BREAK12,CHIEF16,CLINTONEMAIL,COUNTACC,DESCRIBP12,FAIRJUSTICE,FAVDEM2,FAVREP2,FAVHCLIN16,FAVTRUMP,FINSIT,FTVOTER,GOVTANGR16,GOVTDO10,HANDLEECON16,HANDLEFP16,HEALTHCARE16,CLINHONEST,TRUMPHONEST,IMMDEPORT,IMMWALL,ISIS16,ISSUE16,LGBT,LIFE,NEC,OBAMA4,OBAMAPLCY16,QLT16,QUALCLINTON,QUALTRUMP,RELIGN10,SUPREME16,TEMPCLINTON,TEMPTRUMP,TIME16,TRACK,TRADE16,TRUMPWOMEN,UNIONHH12,VETVOTER,CLINTONWINGEN,TRUMPWINGEN,SEXBYRACE,SEXWED,AGE,AGE3,AGE45,AGE49,AGE60,AGE65,OVER45,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,INC100K,INC50K,INCOME3,INCWHITE,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYWHITE,QRACEAI,QRACE3,RACE2B,RACEAI,SUBURBWHITE,WHNCLINC,ATTEND16B,ATTREL,BREAK12A,BREAK12B,CLINTONEMAILB,COUNT2,FAVPRES16,GOVTANGR16B,HONEST16,ISIS16B,NEC2,OBAMA2,PTYIDEO,PTYIDEO7,QUALIFIED16,REL4,REL5,RELWHITE,MORMON,WPROTBRN,WPROTBRN3,WHTEVANG,SPLITTICKET,SUPREME16B,TEMPERAMENT16,TIME16MONTH,TIME16WEEK,TRUMPWOMENB,CLINTONWINGENB,TRUMPWINGENB,QTYPE,SPANISHQ,SIZEPLAC,SIZEPLC3,CDNUM,REGION,VERSION,GEOCODE,ZIPCODE
138855.0, Illinois,,,Complete,Telephone survey,0.0,Donald Trump,,The Republican candidate,Male,White,65 or over,Republican,Conservative,"$30,000-$49,999",High school or less,No,,Yes,,,,,,,,,,,,Unfavorable,Favorable,,,,,,,,,,,,,The economy,,,,Strongly disapprove,,Cares about people like me,,,,,,,Before that,,,,,,,,White men,Married men,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White men non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,White,Other,Yes,,,,,,,Only Donald Trump,,,,,Disapprove,Independent/Something else,Conservative Republicans,,,,,,,,,,,,Before that,Before that,,,,National questionnaire,English,"Cities 10,000-50,000",Small Cities/Rural,15.0,Midwest,Version 1,5.0,61832.0
138856.0, Illinois,,,Complete,Telephone survey,0.0,Hillary Clinton,,The Democratic candidate,Female,White,45-49,Democrat,Liberal,"$30,000-$49,999",High school or less,No,,Yes,,,,,,,,,,,,Favorable,Unfavorable,,,,,,,,,,,,,Omit,,,,Strongly approve,,Omit,,,,,,,Before that,,,,,,,,White women,Married women,45-65,30-59,45+,18-49,45-59,40-49,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,High school graduate or less,White no college degree,White women non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,White suburban women,Yes,,,,,,,Only Hillary Clinton,,,,,Approve,Liberal Democrats,Liberal Democrats,,,,,,,,,,,,Before that,Before that,,,,National questionnaire,English,Suburbs,Suburbs,10.0,Midwest,Version 1,3.0,60073.0
138857.0, Illinois,,,Complete,Telephone survey,0.0,Donald Trump,,Did not vote,Male,White,50-59,Something else,Moderate,"$250,000 or more",Postgraduate study,No,,No,,,,,,,,,,,,Unfavorable,Favorable,,,,,,,,,,,,,Immigration,,,,Somewhat disapprove,,Can bring needed change,,,,,,,Before that,,,,,,,,White men,Non married men,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White men college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,White,White suburban men,No,,,,,,,Only Donald Trump,,,,,Disapprove,Moderate/Liberal Republicans,Moderate Independents,,,,,,,,,,,,Before that,Before that,,,,National questionnaire,English,Suburbs,Suburbs,10.0,Midwest,Version 1,1.0,60062.0
138858.0, Illinois,,,Complete,Telephone survey,0.0,Hillary Clinton,,The Democratic candidate,Female,White,50-59,Democrat,Liberal,"$50,000-$99,999",Postgraduate study,No,,No,,,,,,,,,,,,Favorable,Unfavorable,,,,,,,,,,,,,The economy,,,,Strongly approve,,Has the right experience,,,,,,,Before that,,,,,,,,White women,Non married women,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White women college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,Other,No,,,,,,,Only Hillary Clinton,,,,,Approve,Liberal Democrats,Liberal Democrats,,,,,,,,,,,,Before that,Before that,,,,National questionnaire,English,"Cities over 500,000","Cities over 50,000",5.0,Midwest,Version 1,1.0,60618.0
138859.0, Illinois,,,Complete,Telephone survey,0.0,Hillary Clinton,,The Democratic candidate,Female,White,50-59,Democrat,Liberal,"$100,000-$199,999",Postgraduate study,No,,Yes,,,,,,,,,,,,Favorable,Unfavorable,,,,,,,,,,,,,The economy,,,,Strongly approve,,Has good judgment,,,,,,,Before that,,,,,,,,White women,Married women,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White women college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,White suburban women,No,,,,,,,Only Hillary Clinton,,,,,Approve,Liberal Democrats,Liberal Democrats,,,,,,,,,,,,Before that,Before that,,,,National questionnaire,English,Suburbs,Suburbs,7.0,Midwest,Version 1,1.0,60526.0
138860.0, Illinois,,,Complete,Telephone survey,0.0,Hillary Clinton,,The Democratic candidate,Female,Black,65 or over,Democrat,Conservative,"$50,000-$99,999",College graduate,No,,Yes,,,,,,,,,,,,Favorable,Unfavorable,,,,,,,,,,,,,The economy,,,,Strongly approve,,Has the right experience,,,,,,,Before that,,,,,,,,Black women,Married women,65+,60+,45+,50+,60+,65+,45+,65+,Black 60+,Black 60+,Black 65+,College graduate,More than High school graduate,Non white college degree,Non-whites,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and non white",Democrat,Black Democrat,Black Democrat,Democratic women,Non-White Democrats,Black,Black,Non-white,Black,Other,No,,,,,,,Only Hillary Clinton,,,,,Approve,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,,,,,,,,Before that,Before that,,,,National questionnaire,English,"Cities over 500,000","Cities over 50,000",1.0,Midwest,Version 1,1.0,60617.0
138861.0, Illinois,,,Complete,Telephone survey,0.0,Hillary Clinton,,The Democratic candidate,Female,Black,18-24,Democrat,Liberal,,Some college/assoc. degree,No,,No,,,,,,,,,,,,Favorable,Unfavorable,,,,,,,,,,,,,The economy,,,,Strongly approve,,Can bring needed change,,,,,,,In September,,,,,,,,Black women,Non married women,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Black 18-29,Black 18-29,Black 18-29,No college degree,More than High school graduate,Non white no college degree,Non-whites,,,,,Democrat,Black Democrat,Black Democrat,Democratic women,Non-White Democrats,Black,Black,Non-white,Black,Other,No,,,,,,,Only Hillary Clinton,,,,,Approve,Liberal Democrats,Liberal Democrats,,,,,,,,,,,,Before that,Before that,,,,National questionnaire,English,Rural,Small Cities/Rural,18.0,Midwest,Version 1,4.0,61455.0
138862.0, Illinois,,,Complete,Telephone survey,0.0,Other,,,Female,Asian,50-59,Democrat,Conservative,"$50,000-$99,999",College graduate,No,,Yes,,,,,,,,,,,,Unfavorable,Unfavorable,,,,,,,,,,,,,The economy,,,,Strongly approve,,Has the right experience,,,,,,,In October,,,,,,,,All other races,Married women,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,All others,All others,College graduate,More than High school graduate,Non white college degree,Non-whites,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and non white",Democrat,Non-black Democrat,All Other,Democratic women,Non-White Democrats,Asian,Other,Non-white,Asian,Other,No,,,,,,,Neither,,,,,Approve,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,,,,,,,,In the last month,Before that,,,,National questionnaire,English,Suburbs,Suburbs,10.0,Midwest,Version 1,1.0,60090.0
138863.0, Illinois,,,Complete,Telephone survey,0.0,Donald Trump,,The Republican candidate,Female,White,50-59,Republican,Conservative,"Under $30,000",Some college/assoc. degree,No,,Yes,,,,,,,,,,,,Unfavorable,Favorable,,,,,,,,,,,,,Terrorism,,,,Somewhat disapprove,,Can bring needed change,,,,,,,Before that,,,,,,,,White women,Married women,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,More than High school graduate,White no college degree,White women non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican women,White Republican,White,White,White,White,Other,Yes,,,,,,,Only Donald Trump,,,,,Disapprove,Independent/Something else,Conservative Republicans,,,,,,,,,,,,Before that,Before that,,,,National questionnaire,English,Rural,Small Cities/Rural,12.0,Midwest,Version 1,5.0,62865.0
139008.0, Illinois,,,Complete,Telephone survey,0.0,Hillary Clinton,,The Democratic candidate,Female,White,65 or over,Democrat,Liberal,"$50,000-$99,999",High school or less,No,,,,,,,,,,I strongly favor my candidate,,,,,,,No,"Satisfied, but not enthusiastic",,,,,Yes,No,,,,The economy,,,Good,,,Has good judgment,,,,,Yes,No,,,,,,,,,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White women non college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,White suburban women,No,,,,,,,,"Enthusiastic or satisfied, but not enthusiastic",Only Hillary Clinton,,Excellent or good,,Liberal Democrats,Liberal Democrats,,,,,,,,,,,Only Hillary Clinton,,,,,,National questionnaire,English,Suburbs,Suburbs,11.0,Midwest,Version 2,3.0,60586.0
139009.0, Illinois,,,Complete,Telephone survey,0.0,Hillary Clinton,,Did not vote,Female,Black,65 or over,Democrat,Conservative,"Under $30,000",High school or less,No,,,,,,,,,,I dislike the other candidates,,,,,,,No,"Dissatisfied, but not angry",,,,,Yes,No,,,,Immigration,,,Not so good,,,Can bring needed change,,,,,Yes,Yes,,,,,,,,,Black women,,65+,60+,45+,50+,60+,65+,45+,65+,Black 60+,Black 60+,Black 65+,No college degree,High school graduate or less,Non white no college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Democrat,Black Democrat,Black Democrat,Democratic women,Non-White Democrats,Black,Black,Non-white,Black,Other,No,,,,,,,,"Dissatisfied, but not angry or Angry",Only Hillary Clinton,,Not so good or poor,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,,,,,,,Both,,,,,,National questionnaire,English,"Cities over 500,000","Cities over 50,000",3.0,Midwest,Version 2,1.0,60643.0
139010.0, Illinois,,,Complete,Telephone survey,0.0,Hillary Clinton,,The Republican candidate,Male,Black,18-24,Independent,Conservative,,High school or less,No,,,,,,,,,,I strongly favor my candidate,,,,,,,Yes,"Satisfied, but not enthusiastic",,,,,Yes,No,,,,Omit,,,Poor,,,Cares about people like me,,,,,Yes,No,,,,,,,,,Black men,,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Black 18-29,Black 18-29,Black 18-29,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,Independent/Something else,Black non-Democrat,Black Independent,Independent men,All others,Black,Black,Non-white,Black,Other,No,,,,,,,,"Enthusiastic or satisfied, but not enthusiastic",Only Hillary Clinton,,Not so good or poor,,Moderate/Liberal Republicans,Conservative Independents,,,,,,,,,,,Only Hillary Clinton,,,,,,National questionnaire,English,"Cities over 500,000","Cities over 50,000",7.0,Midwest,Version 2,1.0,60637.0
139011.0, Illinois,,,Complete,Telephone survey,0.0,Hillary Clinton,,The Democratic candidate,Female,Hispanic/Latino,65 or over,Democrat,Moderate,"$30,000-$49,999",Some college/assoc. degree,Yes,,,,,,,,,,I dislike the other candidates,,,,,,,No,"Dissatisfied, but not angry",,,,,Yes,No,,,,The economy,,,Not so good,,,Has the right experience,,,,,Yes,No,,,,,,,,,Latino women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,Latino 60+,Latino 65+,No college degree,More than High school graduate,Non white no college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Democrat,Non-black Democrat,Latino Democrat,Democratic women,Non-White Democrats,Hispanic/Latino,Other,Non-white,Hispanic/Latino,Other,No,,,,,,,,"Dissatisfied, but not angry or Angry",Only Hillary Clinton,,Not so good or poor,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,,,,,,,Only Hillary Clinton,,,,,,National questionnaire,English,"Cities over 500,000","Cities over 50,000",3.0,Midwest,Version 2,1.0,60638.0
139012.0, Illinois,,,Complete,Telephone survey,0.0,Hillary Clinton,,The Democratic candidate,Male,White,65 or over,Democrat,Liberal,"Under $30,000",College graduate,No,,,,,,,,,,I strongly favor my candidate,,,,,,,No,Enthusiastic,,,,,Yes,No,,,,The economy,,,Good,,,Has the right experience,,,,,Yes,No,,,,,,,,,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White men college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic men,White Democrat,White,White,White,White,White suburban men,No,,,,,,,,"Enthusiastic or satisfied, but not enthusiastic",Only Hillary Clinton,,Excellent or good,,Liberal Democrats,Liberal Democrats,,,,,,,,,,,Only Hillary Clinton,,,,,,National questionnaire,English,Suburbs,Suburbs,9.0,Midwest,Version 2,3.0,60089.0
139013.0, Illinois,,,Complete,Telephone survey,0.0,Donald Trump,,The Republican candidate,Male,White,60-64,Republican,Conservative,,Some college/assoc. degree,No,,,,,,,,,,I dislike the other candidates,,,,,,,No,Angry,,,,,No,No,,,,Terrorism,,,Poor,,,Omit,,,,,No,No,,,,,,,,,White men,,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,White 60+,White 45-64,No college degree,More than High school graduate,White no college degree,White men non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,White,White suburban men,,,,,,,,,"Dissatisfied, but not angry or Angry",Neither,,Not so good or poor,,Independent/Something else,Conservative Republicans,,,,,,,,,,,Neither,,,,,,National questionnaire,English,Suburbs,Suburbs,14.0,Midwest,Version 2,4.0,60543.0
139014.0, Illinois,,,Complete,Telephone survey,0.0,Hillary Clinton,,The Democratic candidate,Female,White,25-29,Independent,Liberal,"$50,000-$99,999",Some college/assoc. degree,No,,,,,,,,,,I dislike the other candidates,,,,,,,No,"Dissatisfied, but not angry",,,,,No,No,,,,The economy,,,Not so good,,,Has the right experience,,,,,Yes,No,,,,,,,,,White women,,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,White women non college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,White,White suburban women,No,,,,,,,,"Dissatisfied, but not angry or Angry",Neither,,Not so good or poor,,Moderate/Liberal Republicans,Liberal Independents,,,,,,,,,,,Only Hillary Clinton,,,,,,National questionnaire,English,Suburbs,Suburbs,11.0,Midwest,Version 2,3.0,60504.0
139015.0, Illinois,,,Complete,Telephone survey,0.0,Hillary Clinton,,The Democratic candidate,Female,Black,65 or over,Democrat,Conservative,"Under $30,000",High school or less,No,,,,,,,,,,I strongly favor my candidate,,,,,,,No,"Satisfied, but not enthusiastic",,,,,Yes,No,,,,Terrorism,,,Good,,,Has the right experience,,,,,Yes,No,,,,,,,,,Black women,,65+,60+,45+,50+,60+,65+,45+,65+,Black 60+,Black 60+,Black 65+,No college degree,High school graduate or less,Non white no college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Democrat,Black Democrat,Black Democrat,Democratic women,Non-White Democrats,Black,Black,Non-white,Black,Other,No,,,,,,,,"Enthusiastic or satisfied, but not enthusiastic",Only Hillary Clinton,,Excellent or good,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,,,,,,,Only Hillary Clinton,,,,,,National questionnaire,English,"Cities 50,000-500,000","Cities over 50,000",17.0,Midwest,Version 2,4.0,61604.0
