ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSKY16,SENKY16,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME16GEN,EDUC12R,LATINO,BRNAGAIN,COALHH,DESCRIBP12,FAVHCLIN16,FAVTRUMP,CLINHONEST,TRUMPHONEST,ISSUE16,LIFE,MARRIED,QLT16,TIME16,SEXBYRACE,SEXWED,AGE,AGE3,AGE45,AGE49,AGE60,AGE65,OVER45,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,INC100K,INC50K,INCOME3,INCWHITE,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYWHITE,QRACEAI,QRACE3,RACE2B,RACEAI,SUBURBWHITE,WHNCLINC,FAVPRES16,HONEST16,PTYIDEO,PTYIDEO7,SPLITTICKET,TIME16MONTH,TIME16WEEK,WHTEVANG,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,REGION,VERSION,GEOCODE,ZIPCODE
139605.0,Kentucky,,,Complete,Telephone survey,0.0,Hillary Clinton,,Male,Black,60-64,Democrat,Liberal,,High school or less,,Yes,,,,,,,,,Yes,,,Black men,Married men,45-65,60+,45+,50+,60+,50-64,45+,18-64,Black 60+,Black 60+,Black 45-64,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,Democrat,Black Democrat,Black Democrat,Democratic men,Non-White Democrats,Black,Black,Non-white,,Other,,,,Liberal Democrats,Liberal Democrats,,,,All others,National questionnaire,Rural,Small Cities/Rural,4.0,South,Version 5,2.0,40601.0
139606.0,Kentucky,,,Complete,Telephone survey,0.0,Donald Trump,,Female,White,65 or over,Republican,Moderate,,High school or less,,Yes,,,,,,,,,Yes,,,White women,Married women,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,White Republican,White,White,White,,Other,,,,Conservative Republicans,Mod./Liberal Republicans,,,,White Born-again/Evangelical Christians,National questionnaire,"Cities over 500,000","Cities over 50,000",4.0,South,Version 5,4.0,40291.0
139607.0,Kentucky,,,Complete,Telephone survey,0.0,Donald Trump,,Female,White,65 or over,Republican,Conservative,,College graduate,,Yes,,,,,,,,,Yes,,,White women,Married women,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,White Republican,White,White,White,,White suburban women,,,,Independent/Something else,Conservative Republicans,,,,White Born-again/Evangelical Christians,National questionnaire,Suburbs,Suburbs,2.0,South,Version 5,3.0,40165.0
172181.0,Kentucky,106.0,Call 1,Complete,Election day exit poll,1.38086831569672,Donald Trump,Jim Gray,Male,White,25-29,Republican,Conservative,"$100,000-$199,999",College graduate,No,,,,Unfavorable,Favorable,,,The economy,,No,Cares about people like me,In October,White men,Non married men,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,White men college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,White,Other,No,Only Donald Trump,,Independent/Something else,Conservative Republicans,Democratic Senate - did not vote Clinton,In the last month,Before that,,National questionnaire,Rural,Small Cities/Rural,5.0,South,Version 1,1.0,42503.0
172228.0,Kentucky,106.0,Call 1,Complete,Election day exit poll,0.708294868469238,Donald Trump,Rand Paul,Male,White,65 or over,Republican,Conservative,,College graduate,No,,,,,,,,,,,,,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White men college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,White,Other,,,,Independent/Something else,Conservative Republicans,Republican Senate - Voted Trump,,,,National questionnaire,Rural,Small Cities/Rural,5.0,South,Version 4,1.0,42503.0
172277.0,Kentucky,106.0,Call 1,Complete,Election day exit poll,0.685789167881012,Donald Trump,Rand Paul,Male,White,25-29,Republican,Conservative,"$50,000-$99,999",College graduate,No,,,,Unfavorable,Favorable,,,The economy,,No,Cares about people like me,In October,White men,Non married men,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,White men college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,White,Other,No,Only Donald Trump,,Independent/Something else,Conservative Republicans,Republican Senate - Voted Trump,In the last month,Before that,,National questionnaire,Rural,Small Cities/Rural,5.0,South,Version 1,1.0,42503.0
172327.0,Kentucky,106.0,Call 1,Complete,Election day exit poll,1.14841890335083,Hillary Clinton,Jim Gray,Female,White,25-29,Democrat,Liberal,,Some college/assoc. degree,No,Yes,,,,,,,,,Yes,,,White women,Married women,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,White women non college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,Other,,,,Liberal Democrats,Liberal Democrats,Democratic Senate - voted Clinton,,,White Born-again/Evangelical Christians,National questionnaire,Rural,Small Cities/Rural,5.0,South,Version 5,1.0,42503.0
172374.0,Kentucky,106.0,Call 1,Complete,Election day exit poll,0.729246199131012,Donald Trump,Rand Paul,Male,Black,30-39,Independent,Conservative,"$50,000-$99,999",Some college/assoc. degree,No,,,I dislike the other candidates,,,No,No,Foreign policy,,,Can bring needed change,,Black men,,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Black 30-44,Black 30-44,Black 30-44,No college degree,More than High school graduate,Non white no college degree,Non-whites,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and non white",Independent/Something else,Black non-Democrat,Black Independent,Independent men,All others,Black,Black,Non-white,Black,Other,No,,Neither,Moderate/Liberal Republicans,Conservative Independents,Republican Senate - Voted Trump,,,,National questionnaire,Rural,Small Cities/Rural,5.0,South,Version 2,1.0,42503.0
172414.0,Kentucky,106.0,Call 1,Complete,Election day exit poll,1.01051330566406,Hillary Clinton,Jim Gray,Female,White,30-39,Independent,Moderate,"$100,000-$199,999",College graduate,No,,,I dislike the other candidates,,,No,No,Foreign policy,,,Can bring needed change,,White women,,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White women college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,White,Other,No,,Neither,Moderate/Liberal Republicans,Moderate Independents,Democratic Senate - voted Clinton,,,,National questionnaire,Rural,Small Cities/Rural,5.0,South,Version 2,1.0,42503.0
172454.0,Kentucky,106.0,Call 1,Complete,Election day exit poll,1.1476936340332,Hillary Clinton,Jim Gray,Male,White,60-64,Republican,Liberal,,Some college/assoc. degree,No,,,,,,,,,Better than life today,,,,White men,,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,White 60+,White 45-64,No college degree,More than High school graduate,White no college degree,White men non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,White,Other,,,,Conservative Republicans,Mod./Liberal Republicans,Democratic Senate - voted Clinton,,,,National questionnaire,Rural,Small Cities/Rural,5.0,South,Version 3,1.0,42503.0
172471.0,Kentucky,103.0,Call 1,Complete,Election day exit poll,0.707906603813171,Donald Trump,Rand Paul,Female,White,40-44,Republican,Conservative,"$50,000-$99,999",College graduate,No,Yes,Yes,I strongly favor my candidate,Unfavorable,Favorable,No,Yes,The economy,Worse than life today,No,Can bring needed change,Before that,White women,Non married women,30-44,30-59,18-44,18-49,30-44,40-49,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White women college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican women,White Republican,White,White,White,White,Other,No,Only Donald Trump,Only Donald Trump,Independent/Something else,Conservative Republicans,Republican Senate - Voted Trump,Before that,Before that,White Born-again/Evangelical Christians,State questionnaire,Rural,Small Cities/Rural,5.0,South,Version 1,1.0,41557.0
172487.0,Kentucky,29.0,Call 1,Complete,Election day exit poll,0.67769867181778,Other,Rand Paul,Female,White,30-39,Independent,Conservative,"$100,000-$199,999",Postgraduate study,No,Yes,No,I like my candidate but with reservations,Unfavorable,Unfavorable,No,No,Foreign policy,Worse than life today,Yes,Has good judgment,In the last few days,White women,Married women,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White women college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,White,Other,No,Neither,Neither,Moderate/Liberal Republicans,Conservative Independents,Republican Senate - did not vote Trump,In the last month,In the last week,White Born-again/Evangelical Christians,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",6.0,South,Version 1,2.0,40515.0
172488.0,Kentucky,106.0,Call 1,Complete,Election day exit poll,0.603437542915344,Donald Trump,Rand Paul,Male,White,40-44,Republican,Conservative,"$50,000-$99,999",College graduate,No,,,,Favorable,Favorable,,,The economy,,Yes,Omit,Before that,White men,Married men,30-44,30-59,18-44,18-49,30-44,40-49,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White men college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,White,Other,No,Both,,Independent/Something else,Conservative Republicans,Republican Senate - Voted Trump,Before that,Before that,,National questionnaire,Rural,Small Cities/Rural,5.0,South,Version 1,1.0,42503.0
172521.0,Kentucky,56.0,Call 1,Complete,Election day exit poll,0.695030629634857,Hillary Clinton,Jim Gray,Female,White,65 or over,Republican,Moderate,"$50,000-$99,999",Postgraduate study,No,Yes,No,I like my candidate but with reservations,Favorable,Unfavorable,No,No,The economy,About the same,No,Has the right experience,In October,White women,Non married women,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White women college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican women,White Republican,White,White,White,White,Other,No,Only Hillary Clinton,Neither,Conservative Republicans,Mod./Liberal Republicans,Democratic Senate - voted Clinton,In the last month,Before that,White Born-again/Evangelical Christians,State questionnaire,"Cities over 500,000","Cities over 50,000",3.0,South,Version 1,4.0,40207.0
172525.0,Kentucky,101.0,Call 1,Complete,Election day exit poll,0.725224614143372,Donald Trump,Rand Paul,Female,Hispanic/Latino,50-59,Independent,Moderate,"$30,000-$49,999",Some college/assoc. degree,Yes,Yes,Yes,I dislike the other candidates,Unfavorable,Favorable,No,Yes,Immigration,Worse than life today,No,Can bring needed change,Before that,Latino women,Non married women,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,Latino 45-59,Latino 45-64,No college degree,More than High school graduate,Non white no college degree,Non-whites,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and non white",Independent/Something else,Non-black non-Democrat,Latino Independent,Independent women,All others,American Indian,Other,Non-white,Hispanic/Latino,Other,No,Only Donald Trump,Only Donald Trump,Moderate/Liberal Republicans,Moderate Independents,Republican Senate - Voted Trump,Before that,Before that,All others,State questionnaire,Rural,Small Cities/Rural,4.0,South,Version 1,3.0,40359.0
172528.0,Kentucky,106.0,Call 1,Complete,Election day exit poll,0.603437542915344,Donald Trump,Rand Paul,Male,White,30-39,Republican,Conservative,"$50,000-$99,999",College graduate,No,,,,Unfavorable,Favorable,,,The economy,,Yes,Can bring needed change,In September,White men,Married men,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White men college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,White,Other,No,Only Donald Trump,,Independent/Something else,Conservative Republicans,Republican Senate - Voted Trump,Before that,Before that,,National questionnaire,Rural,Small Cities/Rural,5.0,South,Version 1,1.0,42503.0
172533.0,Kentucky,29.0,Call 1,Complete,Election day exit poll,0.676912546157837,Other,Jim Gray,Female,White,30-39,Republican,Moderate,"$100,000-$199,999",Some college/assoc. degree,No,No,No,I dislike the other candidates,Unfavorable,Unfavorable,No,Yes,Foreign policy,Worse than life today,Yes,Has good judgment,In October,White women,Married women,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,No college degree,More than High school graduate,White no college degree,White women non college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican women,White Republican,White,White,White,White,Other,No,Neither,Only Donald Trump,Conservative Republicans,Mod./Liberal Republicans,Democratic Senate - did not vote Clinton,In the last month,Before that,All others,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",6.0,South,Version 1,2.0,40515.0
172549.0,Kentucky,103.0,Call 1,Complete,Election day exit poll,0.68498033285141,Donald Trump,Rand Paul,Male,White,30-39,Republican,,"$50,000-$99,999",Some college/assoc. degree,No,Yes,Yes,I strongly favor my candidate,Unfavorable,Favorable,No,Yes,The economy,Worse than life today,Yes,Can bring needed change,Before that,White men,Married men,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,No college degree,More than High school graduate,White no college degree,White men non college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,White,Other,No,Only Donald Trump,Only Donald Trump,,,Republican Senate - Voted Trump,Before that,Before that,White Born-again/Evangelical Christians,State questionnaire,Rural,Small Cities/Rural,5.0,South,Version 1,1.0,41557.0
172559.0,Kentucky,56.0,Call 1,Not complete,Election day exit poll,0.530991435050964,Hillary Clinton,,Male,White,50-59,,,,,No,,,I strongly favor my candidate,,,,,,About the same,,,Before that,White men,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,,,,,,,,,,,,,,White,White,White,White,Other,,,,,,,Before that,Before that,,State questionnaire,"Cities over 500,000","Cities over 50,000",3.0,South,Version 1,4.0,40207.0
172574.0,Kentucky,106.0,Call 1,Complete,Election day exit poll,0.623634576797485,Donald Trump,Rand Paul,Female,White,40-44,Republican,Conservative,,Some college/assoc. degree,No,Yes,,,,,,,,,Yes,,,White women,Married women,30-44,30-59,18-44,18-49,30-44,40-49,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,No college degree,More than High school graduate,White no college degree,White women non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,White Republican,White,White,White,White,Other,,,,Independent/Something else,Conservative Republicans,Republican Senate - Voted Trump,,,White Born-again/Evangelical Christians,National questionnaire,Rural,Small Cities/Rural,5.0,South,Version 5,1.0,42503.0
172579.0,Kentucky,29.0,Call 1,Complete,Election day exit poll,0.997173488140106,Donald Trump,Jim Gray,Male,White,40-44,Independent,Moderate,"$100,000-$199,999",Postgraduate study,No,No,No,I dislike the other candidates,Unfavorable,Unfavorable,No,No,The economy,About the same,Yes,Can bring needed change,In the last few days,White men,Married men,30-44,30-59,18-44,18-49,30-44,40-49,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White men college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,White,Other,No,Neither,Neither,Moderate/Liberal Republicans,Moderate Independents,Democratic Senate - did not vote Clinton,In the last month,In the last week,All others,State questionnaire,"Cities 50,000-500,000","Cities over 50,000",6.0,South,Version 1,2.0,40515.0
172582.0,Kentucky,101.0,Call 1,Complete,Election day exit poll,1.13870084285736,Hillary Clinton,Jim Gray,Female,White,50-59,Democrat,Moderate,"$50,000-$99,999",Some college/assoc. degree,No,Yes,No,I like my candidate but with reservations,Favorable,Unfavorable,Yes,No,The economy,About the same,Yes,Has good judgment,Before that,White women,Married women,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,More than High school graduate,White no college degree,White women non college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,Other,No,Only Hillary Clinton,Only Hillary Clinton,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Democratic Senate - voted Clinton,Before that,Before that,White Born-again/Evangelical Christians,State questionnaire,Rural,Small Cities/Rural,4.0,South,Version 1,3.0,40359.0
172603.0,Kentucky,56.0,Call 1,Complete,Election day exit poll,0.695030629634857,Hillary Clinton,Jim Gray,Female,White,65 or over,Democrat,Moderate,"$30,000-$49,999",College graduate,No,No,No,I strongly favor my candidate,Favorable,Unfavorable,Yes,No,Terrorism,About the same,No,Has the right experience,Before that,White women,Non married women,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White women college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,Other,No,Only Hillary Clinton,Only Hillary Clinton,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Democratic Senate - voted Clinton,Before that,Before that,All others,State questionnaire,"Cities over 500,000","Cities over 50,000",3.0,South,Version 1,4.0,40207.0
172611.0,Kentucky,103.0,Call 1,Complete,Election day exit poll,0.707906603813171,Donald Trump,Rand Paul,Female,White,30-39,Democrat,Conservative,"$100,000-$199,999",College graduate,No,Yes,Yes,I strongly favor my candidate,Unfavorable,Favorable,No,No,Terrorism,Better than life today,Yes,Cares about people like me,Before that,White women,Married women,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White women college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,Other,No,Only Donald Trump,Neither,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Republican Senate - Voted Trump,Before that,Before that,White Born-again/Evangelical Christians,State questionnaire,Rural,Small Cities/Rural,5.0,South,Version 1,1.0,41557.0
172613.0,Kentucky,106.0,Call 1,Complete,Election day exit poll,0.708294868469238,Donald Trump,Rand Paul,Male,White,65 or over,Republican,Conservative,,Some college/assoc. degree,No,Yes,,,,,,,,,Yes,,,White men,Married men,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,White men non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,White,Other,,,,Independent/Something else,Conservative Republicans,Republican Senate - Voted Trump,,,White Born-again/Evangelical Christians,National questionnaire,Rural,Small Cities/Rural,5.0,South,Version 5,1.0,42503.0
