ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSSC16,SENSC16,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME16GEN,EDUC12R,LATINO,BRNAGAIN,DESCRIBP12,FAIRJUSTICE,FAVHCLIN16,FAVTRUMP,CLINHONEST,TRUMPHONEST,ISSUE16,LIFE,MARRIED,QLT16,TIME16,SEXBYRACE,SEXWED,AGE,AGE3,AGE45,AGE49,AGE60,AGE65,OVER45,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,INC100K,INC50K,INCOME3,INCWHITE,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYWHITE,QRACEAI,QRACE3,RACE2B,RACEAI,SUBURBWHITE,WHNCLINC,FAVPRES16,HONEST16,PTYIDEO,PTYIDEO7,SPLITTICKET,TIME16MONTH,TIME16WEEK,WHTEVANG,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,REGION,VERSION,GEOCODE,ZIPCODE
139163.0,South Carolina,,,Complete,Telephone survey,0.0,Donald Trump,,Male,Asian,65 or over,Republican,Conservative,"$50,000-$99,999",Some college/assoc. degree,,,I strongly favor my candidate,,,,No,Yes,Immigration,,,Can bring needed change,,All other races,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,All others,All others,No college degree,More than High school graduate,Non white no college degree,Non-whites,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and non white",Republican,Non-black non-Democrat,All Republicans,Republican men,All others,Asian,Other,Non-white,,Other,No,,Only Donald Trump,Independent/Something else,Conservative Republicans,,,,,National questionnaire,Suburbs,Suburbs,3.0,South,Version 2,1.0,29697.0
139164.0,South Carolina,,,Complete,Telephone survey,0.0,Donald Trump,,Male,White,45-49,Independent,Conservative,,High school or less,,,I dislike the other candidates,,,,No,Yes,The economy,,,Can bring needed change,,White men,,45-65,30-59,45+,18-49,45-59,40-49,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,,White suburban men,,,Only Donald Trump,Moderate/Liberal Republicans,Conservative Independents,,,,,National questionnaire,Suburbs,Suburbs,2.0,South,Version 2,3.0,29851.0
139347.0,South Carolina,,,Complete,Telephone survey,0.0,Donald Trump,,Male,White,65 or over,Republican,Conservative,,High school or less,,,,Treats all people fairly,,,,,,About the same,,,,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,,White suburban men,,,,Independent/Something else,Conservative Republicans,,,,,National questionnaire,Suburbs,Suburbs,4.0,South,Version 3,1.0,29349.0
139348.0,South Carolina,,,Complete,Telephone survey,0.0,Donald Trump,,Female,White,65 or over,Republican,Conservative,,Postgraduate study,,,,Treats blacks unfairly,,,,,,Better than life today,,,,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,White Republican,White,White,White,,White suburban women,,,,Independent/Something else,Conservative Republicans,,,,,National questionnaire,Suburbs,Suburbs,1.0,South,Version 3,5.0,29455.0
139349.0,South Carolina,,,Complete,Telephone survey,0.0,Donald Trump,,Female,White,65 or over,Republican,Conservative,,Some college/assoc. degree,,,,Treats all people fairly,,,,,,About the same,,,,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,More than High school graduate,White no college degree,White women non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,White Republican,White,White,White,,White suburban women,,,,Independent/Something else,Conservative Republicans,,,,,National questionnaire,Suburbs,Suburbs,1.0,South,Version 3,5.0,29455.0
139350.0,South Carolina,,,Complete,Telephone survey,0.0,Other,,Male,White,30-39,Independent,Moderate,,College graduate,,,,Treats all people fairly,,,,,,Worse than life today,,,,White men,,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White men college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,,White suburban men,,,,Moderate/Liberal Republicans,Moderate Independents,,,,,National questionnaire,Suburbs,Suburbs,2.0,South,Version 3,3.0,29072.0
139351.0,South Carolina,,,Complete,Telephone survey,0.0,Hillary Clinton,,Male,White,25-29,Democrat,Conservative,,High school or less,,,,Treats all people fairly,,,,,,Better than life today,,,,White men,,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic men,White Democrat,White,White,White,,Other,,,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,National questionnaire,"Cities 10,000-50,000",Small Cities/Rural,5.0,South,Version 3,1.0,29303.0
139352.0,South Carolina,,,Complete,Telephone survey,0.0,Donald Trump,,Female,White,50-59,Republican,Conservative,,Some college/assoc. degree,,,,Omit,,,,,,Worse than life today,,,,White women,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,More than High school graduate,White no college degree,White women non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,White Republican,White,White,White,,Other,,,,Independent/Something else,Conservative Republicans,,,,,National questionnaire,Rural,Small Cities/Rural,7.0,South,Version 3,4.0,29440.0
139353.0,South Carolina,,,Complete,Telephone survey,0.0,Hillary Clinton,,Female,Black,50-59,Democrat,Moderate,,High school or less,,,,Treats blacks unfairly,,,,,,Omit,,,,Black women,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Black 45-59,Black 45-59,Black 45-64,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,Democrat,Black Democrat,Black Democrat,Democratic women,Non-White Democrats,Black,Black,Non-white,,Other,,,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,National questionnaire,Rural,Small Cities/Rural,10.0,South,Version 3,5.0,28150.0
139520.0,South Carolina,,,Complete,Telephone survey,0.0,Donald Trump,,Female,White,65 or over,Republican,Conservative,,High school or less,,,,,,,,,,,,,,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,White Republican,White,White,White,,Other,,,,Independent/Something else,Conservative Republicans,,,,,National questionnaire,"Cities 10,000-50,000",Small Cities/Rural,7.0,South,Version 4,4.0,29501.0
139521.0,South Carolina,,,Complete,Telephone survey,0.0,Donald Trump,,Male,White,65 or over,Independent,Conservative,,High school or less,,,,,,,,,,,,,,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,,White suburban men,,,,Moderate/Liberal Republicans,Conservative Independents,,,,,National questionnaire,Suburbs,Suburbs,5.0,South,Version 4,2.0,29715.0
139522.0,South Carolina,,,Complete,Telephone survey,0.0,Donald Trump,,Male,White,65 or over,,,,High school or less,,,,,,,,,,,,,,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,,,,,,White,White,White,,White suburban men,,,,,,,,,,National questionnaire,Suburbs,Suburbs,7.0,South,Version 4,4.0,29532.0
139523.0,South Carolina,,,Complete,Telephone survey,0.0,Donald Trump,,Male,White,45-49,Something else,Conservative,,Postgraduate study,,,,,,,,,,,,,,White men,,45-65,30-59,45+,18-49,45-59,40-49,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White men college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,,White suburban men,,,,Moderate/Liberal Republicans,Conservative Independents,,,,,National questionnaire,Suburbs,Suburbs,3.0,South,Version 4,1.0,29670.0
139524.0,South Carolina,,,Complete,Telephone survey,0.0,Donald Trump,,Male,White,40-44,Something else,Conservative,,Some college/assoc. degree,,,,,,,,,,,,,,White men,,30-44,30-59,18-44,18-49,30-44,40-49,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,No college degree,More than High school graduate,White no college degree,White men non college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,,Other,,,,Moderate/Liberal Republicans,Conservative Independents,,,,,National questionnaire,Rural,Small Cities/Rural,9.0,South,Version 4,3.0,24348.0
139525.0,South Carolina,,,Complete,Telephone survey,0.0,Hillary Clinton,,Female,Black,30-39,Democrat,Conservative,,High school or less,,,,,,,,,,,,,,Black women,,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Black 30-44,Black 30-44,Black 30-44,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,Democrat,Black Democrat,Black Democrat,Democratic women,Non-White Democrats,Black,Black,Non-white,,Other,,,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,National questionnaire,Suburbs,Suburbs,6.0,South,Version 4,3.0,29044.0
139526.0,South Carolina,,,Complete,Telephone survey,0.0,Hillary Clinton,,Female,Black,50-59,Democrat,Conservative,,College graduate,,,,,,,,,,,,,,Black women,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Black 45-59,Black 45-59,Black 45-64,College graduate,More than High school graduate,Non white college degree,Non-whites,,,,,Democrat,Black Democrat,Black Democrat,Democratic women,Non-White Democrats,Black,Black,Non-white,,Other,,,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",2.0,South,Version 4,3.0,29229.0
139527.0,South Carolina,,,Complete,Telephone survey,0.0,Hillary Clinton,,Male,Black,50-59,Democrat,Liberal,,High school or less,,,,,,,,,,,,,,Black men,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Black 45-59,Black 45-59,Black 45-64,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,Democrat,Black Democrat,Black Democrat,Democratic men,Non-White Democrats,Black,Black,Non-white,,Other,,,,Liberal Democrats,Liberal Democrats,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",6.0,South,Version 4,3.0,29201.0
139719.0,South Carolina,,,Complete,Telephone survey,0.0,Hillary Clinton,,Female,White,60-64,Democrat,Liberal,,Postgraduate study,,No,,,,,,,,,Yes,,,White women,Married women,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,White 60+,White 45-64,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,,Other,,,,Liberal Democrats,Liberal Democrats,,,,All others,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,South,Version 5,5.0,29407.0
139720.0,South Carolina,,,Complete,Telephone survey,0.0,Hillary Clinton,,Female,White,60-64,Independent,Moderate,,Postgraduate study,,No,,,,,,,,,Yes,,,White women,Married women,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,White 60+,White 45-64,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,,White suburban women,,,,Moderate/Liberal Republicans,Moderate Independents,,,,All others,National questionnaire,Suburbs,Suburbs,1.0,South,Version 5,5.0,29485.0
139721.0,South Carolina,,,Complete,Telephone survey,0.0,Donald Trump,,Female,White,45-49,Independent,Moderate,,Some college/assoc. degree,,Yes,,,,,,,,,Yes,,,White women,Married women,45-65,30-59,45+,18-49,45-59,40-49,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,More than High school graduate,White no college degree,White women non college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,,White suburban women,,,,Moderate/Liberal Republicans,Moderate Independents,,,,White Born-again/Evangelical Christians,National questionnaire,Suburbs,Suburbs,2.0,South,Version 5,3.0,29841.0
139722.0,South Carolina,,,Complete,Telephone survey,0.0,Donald Trump,,Male,White,50-59,Something else,Moderate,,Some college/assoc. degree,,No,,,,,,,,,No,,,White men,Non married men,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,More than High school graduate,White no college degree,White men non college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,,White suburban men,,,,Moderate/Liberal Republicans,Moderate Independents,,,,All others,National questionnaire,Suburbs,Suburbs,2.0,South,Version 5,3.0,29072.0
139723.0,South Carolina,,,Complete,Telephone survey,0.0,Hillary Clinton,,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,,,,National questionnaire,Rural,Small Cities/Rural,6.0,South,Version 5,5.0,29488.0
139724.0,South Carolina,,,Complete,Telephone survey,0.0,Donald Trump,,Female,White,65 or over,Independent,Conservative,,High school or less,,Yes,,,,,,,,,Yes,,,White women,Married women,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,,White suburban women,,,,Moderate/Liberal Republicans,Conservative Independents,,,,White Born-again/Evangelical Christians,National questionnaire,Suburbs,Suburbs,6.0,South,Version 5,5.0,29483.0
139725.0,South Carolina,,,Complete,Telephone survey,0.0,Hillary Clinton,,Male,White,65 or over,Independent,Moderate,,Postgraduate study,,Yes,,,,,,,,,Yes,,,White men,Married men,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White men college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,,White suburban men,,,,Moderate/Liberal Republicans,Moderate Independents,,,,White Born-again/Evangelical Christians,National questionnaire,Suburbs,Suburbs,3.0,South,Version 5,1.0,29689.0
173633.0,South Carolina,23.0,Call 1,Complete,Election day exit poll,0.584726929664612,Did not vote,Tim Scott,Male,White,50-59,Republican,Moderate,,Postgraduate study,No,No,,,,,,,,,Yes,,,White men,Married men,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White men college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,White Republican,White,White,White,White,Other,,,,Conservative Republicans,Mod./Liberal Republicans,Republican Senate - did not vote Trump,,,All others,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,South,Version 5,5.0,29414.0
173739.0,South Carolina,23.0,Call 1,Complete,Election day exit poll,1.84951078891754,Donald Trump,Tim Scott,Male,White,60-64,Independent,Conservative,,Postgraduate study,No,,,,,,,,,,,,,White men,,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,White 60+,White 45-64,College graduate,More than High school graduate,White college degree,White men college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,White Independent,White,White,White,White,Other,,,,Moderate/Liberal Republicans,Conservative Independents,Republican Senate - Voted Trump,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,South,Version 4,5.0,29414.0
173830.0,South Carolina,23.0,Call 1,Complete,Election day exit poll,1.22899961471558,Hillary Clinton,Tim Scott,Female,White,30-39,Democrat,Moderate,"$200.000-$249,999",Postgraduate study,No,,,,Favorable,Unfavorable,,,Terrorism,,Yes,Omit,Before that,White women,Married women,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,College graduate,More than High school graduate,White college degree,White women college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,White Democrat,White,White,White,White,Other,No,Only Hillary Clinton,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Republican Senate - did not vote Trump,Before that,Before that,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,South,Version 1,5.0,29414.0
173923.0,South Carolina,23.0,Call 1,Complete,Election day exit poll,0.551614820957184,Gary Johnson,Tim Scott,Male,Black,25-29,Independent,Conservative,,College graduate,No,No,,,,,,,,,No,,,Black men,Non married men,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Black 18-29,Black 18-29,Black 18-29,College graduate,More than High school graduate,Non white college degree,Non-whites,,,,,Independent/Something else,Black non-Democrat,Black Independent,Independent men,All others,Black,Black,Non-white,Black,Other,,,,Moderate/Liberal Republicans,Conservative Independents,Republican Senate - did not vote Trump,,,All others,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,South,Version 5,5.0,29414.0
174006.0,South Carolina,23.0,Call 1,Complete,Election day exit poll,1.89068067073822,Donald Trump,Tim Scott,Female,White,60-64,Republican,Moderate,,Some college/assoc. degree,No,Yes,,,,,,,,,Yes,,,White women,Married women,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,White 60+,White 45-64,No college degree,More than High school graduate,White no college degree,White women non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,White Republican,White,White,White,White,Other,,,,Conservative Republicans,Mod./Liberal Republicans,Republican Senate - Voted Trump,,,White Born-again/Evangelical Christians,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",1.0,South,Version 5,5.0,29414.0
174025.0,South Carolina,60.0,Call 1,Complete,Election day exit poll,0.897188007831573,Hillary Clinton,Thomas Dixon,Male,White,30-39,Democrat,Liberal,"$50,000-$99,999",Some college/assoc. degree,No,No,I strongly favor my candidate,Treats blacks unfairly,Favorable,Unfavorable,Yes,No,The economy,About the same,Yes,Has good judgment,Before that,White men,Married men,30-44,30-59,18-44,18-49,30-44,30-39,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,No college degree,More than High school graduate,White no college degree,White men non college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic men,White Democrat,White,White,White,White,White suburban men,No,Only Hillary Clinton,Only Hillary Clinton,Liberal Democrats,Liberal Democrats,Democratic Senate - voted Clinton,Before that,Before that,All others,State questionnaire,Suburbs,Suburbs,4.0,South,Version 1,1.0,29651.0
174071.0,South Carolina,60.0,Call 1,Complete,Election day exit poll,0.927161991596222,Hillary Clinton,Thomas Dixon,Female,White,60-64,Independent,Moderate,"$50,000-$99,999",College graduate,No,No,I strongly favor my candidate,Treats blacks unfairly,Favorable,Unfavorable,Yes,No,The economy,Better than life today,Yes,Has the right experience,Before that,White women,Married women,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,White 60+,White 45-64,College graduate,More than High school graduate,White college degree,White women college graduates,Less than 100k,50k or more,50 to 100 thousand,"Over $50,000 and white",Independent/Something else,Non-black non-Democrat,White Independent,Independent women,White Independent,White,White,White,White,White suburban women,No,Only Hillary Clinton,Only Hillary Clinton,Moderate/Liberal Republicans,Moderate Independents,Democratic Senate - voted Clinton,Before that,Before that,All others,State questionnaire,Suburbs,Suburbs,4.0,South,Version 1,1.0,29651.0
