ID,STANUM,PRECINCT,CALL,BACKSIDE,TELEPOLL,WEIGHT,PRSPA16,SENPA16,SEX,RACE,AGE8,PARTYID,PHIL3,INCOME16GEN,EDUC12R,LATINO,MARRIED,@2WAYPRES16,CLINTONEMAIL,DESCRIBP12,FAVHCLIN16,FAVTRUMP,GOTV16,GOVTANGR16,CLINHONEST,TRUMPHONEST,IMMDEPORT,ISSUE16,LIFE,NEC,OBAMA4,QLT16,QUALCLINTON,QUALTRUMP,RACEFACTOR,TEMPCLINTON,TEMPTRUMP,TIME16,TRUMPWOMEN,SEXBYRACE,SEXWED,AGE,AGE3,AGE45,AGE49,AGE60,AGE65,OVER45,OVER65,AGEBLACK,AGEBYRACE,AGEBYRACE08,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,INC100K,INC50K,INCOME3,INCWHITE,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYSEX,PARTYWHITE,QRACE3,QRACEAI,RACE2B,RACEAI,SUBURBWHITE,WHNCLINC,CLINTONEMAILB,FAVPRES16,GOTVCLINTON,GOTVTRUMP,GOVTANGR16B,HONEST16,NEC2,OBAMA2,PTYIDEO,PTYIDEO7,QUALIFIED16,SPLITTICKET,TEMPERAMENT16,TIME16MONTH,TIME16WEEK,TRADE16,TRUMPWOMENB,QTYPE,SIZEPLAC,SIZEPLC3,CDNUM,REGION,VERSION,GEOCODE
139142.0,Pennsylvania,,,Complete,Telephone survey,0.0,Hillary Clinton,,Female,White,25-29,Republican,Liberal,"$30,000-$49,999",College graduate,,,,,I strongly favor my candidate,,,,"Satisfied, but not enthusiastic",Yes,No,,Terrorism,,Not so good,,Omit,,,,Yes,No,,,White women,,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,College graduate,More than High school graduate,White college degree,White women college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican women,Republican Women,White Republican,White,White,White,,Other,No,,,,,"Enthusiastic or satisfied, but not enthusiastic",Only Hillary Clinton,Not so good or poor,,Conservative Republicans,Mod./Liberal Republicans,,,Only Hillary Clinton,,,,,National questionnaire,"Cities over 500,000","Cities over 50,000",13.0,East,Version 2,Philadelphia
139140.0,Pennsylvania,,,Complete,Telephone survey,0.0,Hillary Clinton,,Male,Black,25-29,Democrat,,,Some college/assoc. degree,,,,,I like my candidate but with reservations,,,,Angry,Yes,No,,The economy,,Poor,,Cares about people like me,,,,Yes,No,,,Black men,,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Black 18-29,Black 18-29,Black 18-29,No college degree,More than High school graduate,Non white no college degree,Non-whites,,,,,Democrat,Black Democrat,Black Democrat,Democratic men,Democratic Men,Non-White Democrats,Black,Black,Non-white,,Other,No,,,,,"Dissatisfied, but not angry or Angry",Only Hillary Clinton,Not so good or poor,,,,,,Only Hillary Clinton,,,,,National questionnaire,"Cities over 500,000","Cities over 50,000",1.0,East,Version 2,Philadelphia
139139.0,Pennsylvania,,,Complete,Telephone survey,0.0,Hillary Clinton,,Female,White,50-59,Democrat,Liberal,,Postgraduate study,,,,,I like my candidate but with reservations,,,,"Dissatisfied, but not angry",Yes,No,,Foreign policy,,Good,,Has the right experience,,,,Yes,No,,,White women,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White women college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic women,Democratic Women,White Democrat,White,White,White,,Other,No,,,,,"Dissatisfied, but not angry or Angry",Only Hillary Clinton,Excellent or good,,Liberal Democrats,Liberal Democrats,,,Only Hillary Clinton,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",14.0,East,Version 2,West
138958.0,Pennsylvania,,,Complete,Telephone survey,0.0,Hillary Clinton,,Female,White,50-59,Democrat,Moderate,"$30,000-$49,999",High school or less,,No,,,,Favorable,Unfavorable,,,,,,The economy,,,Strongly approve,Can bring needed change,,,,,,Before that,,White women,Non married women,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,High school graduate or less,White no college degree,White women non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,Democratic Women,White Democrat,White,White,White,,White suburban women,Yes,,Only Hillary Clinton,,,,,,Approve,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,Before that,Before that,,,National questionnaire,Suburbs,Suburbs,7.0,East,Version 1,Philly Suburbs
138957.0,Pennsylvania,,,Complete,Telephone survey,0.0,Hillary Clinton,,Female,White,65 or over,Democrat,Liberal,"$30,000-$49,999",Postgraduate study,,No,,,,Favorable,Unfavorable,,,,,,The economy,,,Strongly approve,Has the right experience,,,,,,Before that,,White women,Non married women,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White women college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,Democratic Women,White Democrat,White,White,White,,Other,No,,Only Hillary Clinton,,,,,,Approve,Liberal Democrats,Liberal Democrats,,,,Before that,Before that,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",14.0,East,Version 1,West
138955.0,Pennsylvania,,,Complete,Telephone survey,0.0,Hillary Clinton,,Female,White,25-29,Republican,Liberal,"Under $30,000",Some college/assoc. degree,,No,,,,Favorable,Unfavorable,,,,,,The economy,,,Somewhat approve,Can bring needed change,,,,,,In October,,White women,Non married women,18-29,18-29,18-44,18-49,18-29,25-29,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,White women non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican women,Republican Women,White Republican,White,White,White,,Other,Yes,,Only Hillary Clinton,,,,,,Approve,Conservative Republicans,Mod./Liberal Republicans,,,,In the last month,Before that,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",13.0,East,Version 1,Northeast
138954.0,Pennsylvania,,,Complete,Telephone survey,0.0,Hillary Clinton,,Female,White,65 or over,Democrat,Liberal,"$250,000 or more",Postgraduate study,,Yes,,,,Favorable,Unfavorable,,,,,,The economy,,,Strongly approve,Has good judgment,,,,,,Before that,,White women,Married women,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White women college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic women,Democratic Women,White Democrat,White,White,White,,Other,No,,Only Hillary Clinton,,,,,,Approve,Liberal Democrats,Liberal Democrats,,,,Before that,Before that,,,National questionnaire,Rural,Small Cities/Rural,25.0,East,Version 1,West
138952.0,Pennsylvania,,,Complete,Telephone survey,0.0,Hillary Clinton,,Male,White,65 or over,Democrat,Moderate,,Postgraduate study,,Yes,,,,Favorable,Unfavorable,,,,,,The economy,,,Strongly approve,Has good judgment,,,,,,Before that,,White men,Married men,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White men college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic men,Democratic Men,White Democrat,White,White,White,,White suburban men,No,,Only Hillary Clinton,,,,,,Approve,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,Before that,Before that,,,National questionnaire,Suburbs,Suburbs,18.0,East,Version 1,West
139512.0,Pennsylvania,,,Complete,Telephone survey,0.0,Hillary Clinton,,Male,White,60-64,Democrat,Liberal,,Some college/assoc. degree,,,,,,,,,,,,,,,,,,,,,,,,,White men,,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,White 60+,White 45-64,No college degree,More than High school graduate,White no college degree,White men non college graduates,,,,,Democrat,Non-black Democrat,White Democrat,Democratic men,Democratic Men,White Democrat,White,White,White,,White suburban men,,,,,,,,,,Liberal Democrats,Liberal Democrats,,,,,,,,National questionnaire,Suburbs,Suburbs,14.0,East,Version 4,West
139509.0,Pennsylvania,,,Complete,Telephone survey,0.0,Hillary Clinton,,Female,Black,50-59,Democrat,Liberal,,College graduate,,,,,,,,,,,,,,,,,,,,,,,,,Black women,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Black 45-59,Black 45-59,Black 45-64,College graduate,More than High school graduate,Non white college degree,Non-whites,,,,,Democrat,Black Democrat,Black Democrat,Democratic women,Democratic Women,Non-White Democrats,Black,Black,Non-white,,Other,,,,,,,,,,Liberal Democrats,Liberal Democrats,,,,,,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",12.0,East,Version 4,West
139339.0,Pennsylvania,,,Complete,Telephone survey,0.0,Hillary Clinton,,Female,Black,65 or over,Democrat,Moderate,,Some college/assoc. degree,,,Hillary Clinton,,,,,,,,,Offered a chance to apply for legal status,,Worse than life today,,,,Yes,No,,,,,,Black women,,65+,60+,45+,50+,60+,65+,45+,65+,Black 60+,Black 60+,Black 65+,No college degree,More than High school graduate,Non white no college degree,Non-whites,,,,,Democrat,Black Democrat,Black Democrat,Democratic women,Democratic Women,Non-White Democrats,Black,Black,Non-white,,Other,,,,,,,,,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Only Hillary Clinton,,,,,Takes away U.S. jobs,,National questionnaire,Suburbs,Suburbs,12.0,East,Version 3,West
139705.0,Pennsylvania,,,Complete,Telephone survey,0.0,Donald Trump,,Male,White,18-24,Republican,Moderate,,Some college/assoc. degree,,No,Would not have voted,Not at all,,,,,,,,,,,,,,,,,,,,Some,White men,Non married men,18-29,18-29,18-44,18-49,18-29,18-24,18-44,18-64,Non-Black 18-29,White 18-29,White 18-29,No college degree,More than High school graduate,White no college degree,White men non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican Men,White Republican,White,White,White,,Other,,Not much or not at all,,,,,,,,Conservative Republicans,Mod./Liberal Republicans,,,,,,,A lot or some,National questionnaire,"Cities 10,000-50,000",Small Cities/Rural,9.0,East,Version 5,Central
139702.0,Pennsylvania,,,Complete,Telephone survey,0.0,Donald Trump,,Male,White,60-64,,,,Postgraduate study,,Yes,Donald Trump,A lot,,,,,,,,,,,,,,,,,,,,Not much,White men,Married men,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,White 60+,White 45-64,College graduate,More than High school graduate,White college degree,White men college graduates,,,,,,,,,,,White,White,White,,White suburban men,,A lot or some,,,,,,,,,,,,,,,,Not much or not at all,National questionnaire,Suburbs,Suburbs,8.0,East,Version 5,Philly Suburbs
139510.0,Pennsylvania,,,Complete,Telephone survey,0.0,Donald Trump,,Male,White,50-59,Republican,Moderate,,Some college/assoc. degree,,,,,,,,,,,,,,,,,,,,,,,,,White men,,45-65,30-59,45+,50+,45-59,50-64,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,More than High school graduate,White no college degree,White men non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican Men,White Republican,White,White,White,,White suburban men,,,,,,,,,,Conservative Republicans,Mod./Liberal Republicans,,,,,,,,National questionnaire,Suburbs,Suburbs,10.0,East,Version 4,Northeast
139508.0,Pennsylvania,,,Complete,Telephone survey,0.0,Donald Trump,,Female,White,65 or over,Republican,Conservative,,High school or less,,,,,,,,,,,,,,,,,,,,,,,,,White women,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican Women,White Republican,White,White,White,,White suburban women,,,,,,,,,,Independent/Something else,Conservative Republicans,,,,,,,,National questionnaire,Suburbs,Suburbs,9.0,East,Version 4,West
139341.0,Pennsylvania,,,Complete,Telephone survey,0.0,Donald Trump,,Male,White,45-49,Independent,Conservative,,High school or less,,,Donald Trump,,,,,,,,,Deported to the country they came from,,Better than life today,,,,No,Yes,,,,,,White men,,45-65,30-59,45+,18-49,45-59,40-49,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent Men,White Independent,White,White,White,,White suburban men,,,,,,,,,,Moderate/Liberal Republicans,Conservative Independents,Only Donald Trump,,,,,Creates more U.S. jobs,,National questionnaire,Suburbs,Suburbs,10.0,East,Version 3,Northeast
139336.0,Pennsylvania,,,Complete,Telephone survey,0.0,Donald Trump,,Male,White,45-49,Republican,Conservative,,College graduate,,,Donald Trump,,,,,,,,,Deported to the country they came from,,Worse than life today,,,,No,Yes,,,,,,White men,,45-65,30-59,45+,18-49,45-59,40-49,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,College graduate,More than High school graduate,White college degree,White men college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican Men,White Republican,White,White,White,,White suburban men,,,,,,,,,,Independent/Something else,Conservative Republicans,Only Donald Trump,,,,,Omit,,National questionnaire,Suburbs,Suburbs,4.0,East,Version 3,Central
139141.0,Pennsylvania,,,Complete,Telephone survey,0.0,Donald Trump,,Male,White,45-49,Republican,,,High school or less,,,,,I like my candidate but with reservations,,,,Angry,No,No,,Terrorism,,Poor,,Can bring needed change,,,,No,Yes,,,White men,,45-65,30-59,45+,18-49,45-59,40-49,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican Men,White Republican,White,White,White,,White suburban men,,,,,,"Dissatisfied, but not angry or Angry",Neither,Not so good or poor,,,,,,Only Donald Trump,,,,,National questionnaire,Suburbs,Suburbs,12.0,East,Version 2,West
139135.0,Pennsylvania,,,Complete,Telephone survey,0.0,Donald Trump,,Female,White,45-49,Republican,Conservative,"Under $30,000",High school or less,,,,,Omit,,,,Angry,No,Yes,,Omit,,Poor,,Omit,,,,No,Yes,,,White women,,45-65,30-59,45+,18-49,45-59,40-49,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,High school graduate or less,White no college degree,White women non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican women,Republican Women,White Republican,White,White,White,,White suburban women,Yes,,,,,"Dissatisfied, but not angry or Angry",Only Donald Trump,Not so good or poor,,Independent/Something else,Conservative Republicans,,,Only Donald Trump,,,,,National questionnaire,Suburbs,Suburbs,6.0,East,Version 2,Philly Suburbs
138956.0,Pennsylvania,,,Complete,Telephone survey,0.0,Donald Trump,,Male,White,65 or over,Republican,Conservative,"$30,000-$49,999",High school or less,,Yes,,,,Unfavorable,Favorable,,,,,,Immigration,,,Strongly disapprove,Can bring needed change,,,,,,Before that,,White men,Married men,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,No college degree,High school graduate or less,White no college degree,White men non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican men,Republican Men,White Republican,White,White,White,,White suburban men,Yes,,Only Donald Trump,,,,,,Disapprove,Independent/Something else,Conservative Republicans,,,,Before that,Before that,,,National questionnaire,Suburbs,Suburbs,4.0,East,Version 1,Central
138953.0,Pennsylvania,,,Complete,Telephone survey,0.0,Donald Trump,,Male,White,45-49,Democrat,Conservative,"$30,000-$49,999",High school or less,,No,,,,Unfavorable,Favorable,,,,,,The economy,,,Somewhat disapprove,Has good judgment,,,,,,In the last week,,White men,Non married men,45-65,30-59,45+,18-49,45-59,40-49,45+,18-64,Non-Black 45-59,White 45-59,White 45-64,No college degree,High school graduate or less,White no college degree,White men non college graduates,Less than 100k,Less than 50k,Less than 50 thousand,"Under $50,000 and white",Democrat,Non-black Democrat,White Democrat,Democratic men,Democratic Men,White Democrat,White,White,White,,White suburban men,Yes,,Only Donald Trump,,,,,,Disapprove,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,,,In the last month,In the last week,,,National questionnaire,Suburbs,Suburbs,3.0,East,Version 1,West
138951.0,Pennsylvania,,,Complete,Telephone survey,0.0,Donald Trump,,Male,White,40-44,Republican,Conservative,"$200.000-$249,999",High school or less,,Yes,,,,Unfavorable,Favorable,,,,,,The economy,,,Strongly disapprove,Has good judgment,,,,,,Before that,,White men,Married men,30-44,30-59,18-44,18-49,30-44,40-49,18-44,18-64,Non-Black 30-44,White 30-44,White 30-44,No college degree,High school graduate or less,White no college degree,White men non college graduates,100k or more,50k or more,100 thousand or more,"Over $50,000 and white",Republican,Non-black non-Democrat,All Republicans,Republican men,Republican Men,White Republican,White,White,White,,Other,No,,Only Donald Trump,,,,,,Disapprove,Independent/Something else,Conservative Republicans,,,,Before that,Before that,,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",12.0,East,Version 1,West
139335.0,Pennsylvania,,,Complete,Telephone survey,0.0,Donald Trump,,Male,White,65 or over,Independent,Moderate,,Postgraduate study,,,Donald Trump,,,,,,,,,Offered a chance to apply for legal status,,Omit,,,,No,Yes,,,,,,White men,,65+,60+,45+,50+,60+,65+,45+,65+,Non-Black 60+,White 60+,White 65+,College graduate,More than High school graduate,White college degree,White men college graduates,,,,,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent Men,White Independent,White,White,White,,Other,,,,,,,,,,Moderate/Liberal Republicans,Moderate Independents,Only Donald Trump,,,,,Omit,,National questionnaire,"Cities 50,000-500,000","Cities over 50,000",15.0,East,Version 3,Northeast
139708.0,Pennsylvania,,,Complete,Telephone survey,0.0,Donald Trump,,Male,Other,45-49,Republican,Conservative,,College graduate,,Yes,Donald Trump,A lot,,,,,,,,,,,,,,,,,,,,Omit,All other races,Married men,45-65,30-59,45+,18-49,45-59,40-49,45+,18-64,Non-Black 45-59,All others,All others,College graduate,More than High school graduate,Non white college degree,Non-whites,,,,,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican Men,All others,Other,Other,Non-white,,Other,,A lot or some,,,,,,,,Independent/Something else,Conservative Republicans,,,,,,,Omit,National questionnaire,Suburbs,Suburbs,13.0,East,Version 5,Philly Suburbs
139340.0,Pennsylvania,,,Complete,Telephone survey,0.0,Gary Johnson,,Female,White,60-64,Republican,Conservative,,Some college/assoc. degree,,,Would not have voted,,,,,,,,,Deported to the country they came from,,Worse than life today,,,,No,No,,,,,,White women,,45-65,60+,45+,50+,60+,50-64,45+,18-64,Non-Black 60+,White 60+,White 45-64,No college degree,More than High school graduate,White no college degree,White women non college graduates,,,,,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican Women,White Republican,White,White,White,,White suburban women,,,,,,,,,,Independent/Something else,Conservative Republicans,Neither,,,,,Takes away U.S. jobs,,National questionnaire,Suburbs,Suburbs,9.0,East,Version 3,West
