ID,ABORT2,ABORTION,AGE3,AGE60,AGE65,AGE9,ATTEND,ATTEND2,ATTREL,BACKSIDE,BEATDEM,BREAKREP,BREAKRP2,BRNAGAIN,BUSHANG08,BUSHANG2,BUSHPLCY,CALL,CDNUM,CHIEFREP,CIVILNH,CIVILNH2,COLLEDUC,DESCRIBPR,ECONWORR,ECOWORR2,EDUC,FAVGIUL,FAVGIUL2,FAVHUCK,FAVHUCK2,FAVMCCN,FAVMCCN2,FAVPAUL,FAVPAUL2,FAVROM,FAVROM2,GEOCODE,GETAHEAD,GUNOWNER,HSEDUC,IMMPRIME,INC100K,INC50K,INCOME07,IRAQWAR,IRAQWAR2,ISSIA08R,ISSVQUAL,LEADERR,MARRIED,NEC,NEC2,OVER65,PARTY,PARTYID,PHIL3,PHIL5,PRECINCT,PRSNH08R,QLTNH08R,QRACEAI,QTYPE,RACE,REGION,REGNHREP,REL5,RELIGN8,RELWHITE,RPRS08,SEX,SEXRACE,SEXWED,SEXWHITE,SHAREREL,SHARERL2,SIZEPLAC,SIZEPLC3,STANUM,TAXPREF,TELEPOLL,TERRWORR,TERWORR2,TIME3D,TIMEPR,TIMEWK,TOOSOON,UNFAIRREP,VERSION,WHITEREL,WHTEVANG,WOMENWED,WPROTBRN,XAGE,XAGE60,XAGE65,XAGE9,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
469791.0,,,30-59,30-44,40-49,40-44,Never,Never,,Complete,,,,,,,9.0,Call 2,2.0,,,,2.0,1.0,2.0,1.0,College graduate,,,,,,,,,,,4.0,2.0,Yes,2.0,,Less than 100k,Less than 50k,"$15,000-$29,999",Omit,Omit,9.0,Omit,,,Omit,Omit,18-64,Republican,Republican,Conservative,4.0,55.0,2.0,2.0,White,State questionnaire,White,East,2.0,,,,2.0,Female,White female,,White female,,,Rural,Small Cities/Rural,New Hampshire,9.0,Election day exit poll,Somewhat worried,Worried,2.0,5.0,2.0,2.0,5.0,Version 2,,,,,2.0,2.0,4.0,4.0,17-64,Low Density Rural,Rural,Rural,Very downscale,3561.0,0.836983680725098
468198.0,,,30-59,45-59,40-49,45-49,Once a week,More than once a week/Once a week,,Complete,,,,,,,3.0,Call 1,2.0,,,,2.0,2.0,2.0,1.0,Postgraduate study,,,,,,,,,,,2.0,2.0,No,2.0,,Less than 100k,50k or more,"$50,000-$74,999",Somewhat approve,Approve,2.0,My candidates leadership/personal qualities,,,Good,Excellent/Good,18-64,Independent/Something else,Independent,Moderate,3.0,118.0,4.0,3.0,White,State questionnaire,White,East,1.0,,,,4.0,Female,White female,,White female,,,Rural,Small Cities/Rural,New Hampshire,2.0,Election day exit poll,Not too worried,Not worried,1.0,1.0,1.0,1.0,4.0,Version 2,,,,,3.0,3.0,4.0,5.0,17-64,Low Density Rural,Rural,Rural,Very downscale,3470.0,0.819642126560211
467869.0,,,30-59,45-59,40-49,45-49,A few times a year,A few times a month/A few times a year,,Complete,,,,,,,1.0,Call 1,1.0,,,,2.0,1.0,3.0,2.0,Postgraduate study,,,,,,,,,,,1.0,1.0,No,2.0,,,,,Somewhat disapprove,Disapprove,2.0,My candidates leadership/personal qualities,,,Good,Excellent/Good,18-64,Republican,Republican,Conservative,5.0,59.0,6.0,3.0,White,State questionnaire,White,East,2.0,,,,7.0,Female,White female,,White female,,,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,1.0,Election day exit poll,Not too worried,Not worried,1.0,2.0,1.0,1.0,9.0,Version 2,,,,,3.0,3.0,4.0,5.0,17-64,High Density Urban,Urban,Urban Core,Upscale,3104.0,1.02051985263824
470035.0,,,60+,60+,65+,75 or over,Omit,Omit,,Complete,,,,,,,3.0,Call 2,2.0,,,,2.0,1.0,2.0,1.0,Postgraduate study,,,,,,,,,,,1.0,2.0,Yes,2.0,,,,,Strongly disapprove,Disapprove,2.0,My candidates position on the issues,,,Not so good,Not so good/Poor,65+,Independent/Something else,Independent,Moderate,3.0,87.0,4.0,3.0,White,State questionnaire,White,East,1.0,,,,4.0,Female,White female,,White female,,,Suburbs,Suburbs,New Hampshire,2.0,Election day exit poll,Somewhat worried,Worried,2.0,3.0,1.0,1.0,5.0,Version 2,,,,,4.0,4.0,6.0,9.0,65+,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Upscale,3076.0,0.843557417392731
471171.0,,,30-59,45-59,50-64,50-59,A few times a month,A few times a month/A few times a year,,Complete,,,,,,,9.0,Call 3,2.0,,,,2.0,1.0,2.0,1.0,Postgraduate study,,,,,,,,,,,2.0,2.0,No,2.0,,Less than 100k,Less than 50k,"$30,000-$49,999",Somewhat approve,Approve,3.0,My candidates leadership/personal qualities,,,Good,Excellent/Good,18-64,Republican,Republican,Moderate,3.0,46.0,4.0,3.0,White,State questionnaire,White,East,1.0,,,,4.0,Female,White female,,White female,,,Rural,Small Cities/Rural,New Hampshire,2.0,Election day exit poll,Very worried,Worried,2.0,5.0,2.0,2.0,9.0,Version 2,,,,,3.0,3.0,5.0,6.0,17-64,Low Density Rural,Rural,Rural,Downscale,3452.0,0.93640798330307
469666.0,,,30-59,45-59,40-49,45-49,A few times a year,A few times a month/A few times a year,,Complete,,,,,,,9.0,Call 2,1.0,,,,2.0,2.0,1.0,1.0,Postgraduate study,,,,,,,,,,,1.0,1.0,No,2.0,,100k or more,50k or more,"$200,000 or more",Somewhat disapprove,Disapprove,3.0,My candidates leadership/personal qualities,,,Not so good,Not so good/Poor,18-64,Independent/Something else,Independent,Conservative,4.0,35.0,6.0,3.0,Asian,State questionnaire,Asian,East,1.0,,,,7.0,Female,Non white female,,Non white,,,Suburbs,Suburbs,New Hampshire,2.0,Election day exit poll,Not too worried,Not worried,2.0,5.0,2.0,2.0,9.0,Version 2,,,,,3.0,3.0,4.0,5.0,17-64,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Very upscale,3840.0,0.442633628845215
470457.0,,,30-59,30-44,30-39,30-39,Never,Never,,Complete,,,,,,,1.0,Call 3,1.0,,,,,1.0,2.0,1.0,,,,,,,,,,,,3.0,2.0,Yes,,3.0,Less than 100k,50k or more,"$75,000-$99,999",Somewhat approve,Approve,9.0,Omit,,,Not so good,Not so good/Poor,18-64,Republican,Republican,Moderate,3.0,29.0,4.0,9.0,White,State questionnaire,White,East,1.0,,,,4.0,Female,White female,,White female,,,Suburbs,Suburbs,New Hampshire,2.0,Election day exit poll,Somewhat worried,Worried,2.0,3.0,1.0,2.0,9.0,Version 2,,,,,2.0,2.0,3.0,3.0,17-64,Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,3835.0,1.09422850608826
469270.0,,,60+,60+,65+,65-74,More than once a week,More than once a week/Once a week,,Complete,,,,,,,2.0,Call 2,2.0,,,,,1.0,9.0,9.0,,,,,,,,,,,,2.0,9.0,No,,3.0,,,,Strongly approve,Approve,9.0,My candidates leadership/personal qualities,,,Not so good,Not so good/Poor,65+,Republican,Republican,Conservative,5.0,118.0,6.0,2.0,White,State questionnaire,White,East,2.0,,,,7.0,Female,White female,,White female,,,Rural,Small Cities/Rural,New Hampshire,1.0,Election day exit poll,Omit,Omit,2.0,4.0,2.0,1.0,9.0,Version 2,,,,,4.0,4.0,6.0,8.0,65+,Low Density Rural,Rural,Rural,Very downscale,3470.0,1.16748464107513
468406.0,,,30-59,45-59,40-49,45-49,Never,Never,,Complete,,,,,,,3.0,Call 1,2.0,,,,1.0,2.0,2.0,1.0,High school graduate,,,,,,,,,,,4.0,2.0,Yes,1.0,3.0,Less than 100k,50k or more,"$50,000-$74,999",Strongly disapprove,Disapprove,9.0,My candidates leadership/personal qualities,,,Not so good,Not so good/Poor,18-64,Republican,Republican,Moderate,3.0,33.0,4.0,9.0,White,State questionnaire,White,East,2.0,,,,4.0,Male,White male,,White male,,,Rural,Small Cities/Rural,New Hampshire,1.0,Election day exit poll,Somewhat worried,Worried,1.0,1.0,1.0,2.0,9.0,Version 2,,,,,3.0,3.0,4.0,5.0,17-64,Extremely Low Density Rural,Rural,Rural,Very downscale,3581.0,0.75728315114975
468405.0,,,30-59,45-59,40-49,45-49,Never,Never,,Complete,,,,,,,3.0,Call 1,2.0,,,,1.0,2.0,2.0,1.0,High school graduate,,,,,,,,,,,4.0,2.0,Yes,1.0,3.0,Less than 100k,50k or more,"$50,000-$74,999",Strongly disapprove,Disapprove,9.0,My candidates leadership/personal qualities,,,Not so good,Not so good/Poor,18-64,Republican,Republican,Moderate,3.0,33.0,4.0,9.0,White,State questionnaire,White,East,2.0,,,,4.0,Male,White male,,White male,,,Rural,Small Cities/Rural,New Hampshire,1.0,Election day exit poll,Somewhat worried,Worried,1.0,1.0,1.0,2.0,9.0,Version 2,,,,,3.0,3.0,4.0,5.0,17-64,Extremely Low Density Rural,Rural,Rural,Very downscale,3581.0,0.75728315114975
468404.0,,,30-59,45-59,40-49,45-49,Never,Never,,Complete,,,,,,,3.0,Call 1,2.0,,,,1.0,2.0,2.0,1.0,High school graduate,,,,,,,,,,,4.0,2.0,Yes,1.0,3.0,Less than 100k,50k or more,"$50,000-$74,999",Strongly disapprove,Disapprove,9.0,My candidates leadership/personal qualities,,,Not so good,Not so good/Poor,18-64,Republican,Republican,Moderate,3.0,33.0,4.0,9.0,White,State questionnaire,White,East,2.0,,,,4.0,Male,White male,,White male,,,Rural,Small Cities/Rural,New Hampshire,1.0,Election day exit poll,Somewhat worried,Worried,1.0,1.0,1.0,2.0,9.0,Version 2,,,,,3.0,3.0,4.0,5.0,17-64,Extremely Low Density Rural,Rural,Rural,Very downscale,3581.0,0.75728315114975
468403.0,,,30-59,45-59,40-49,45-49,Never,Never,,Complete,,,,,,,3.0,Call 1,2.0,,,,1.0,2.0,2.0,1.0,High school graduate,,,,,,,,,,,4.0,2.0,Yes,1.0,3.0,Less than 100k,50k or more,"$50,000-$74,999",Strongly disapprove,Disapprove,9.0,My candidates leadership/personal qualities,,,Not so good,Not so good/Poor,18-64,Republican,Republican,Moderate,3.0,33.0,4.0,9.0,White,State questionnaire,White,East,2.0,,,,4.0,Male,White male,,White male,,,Rural,Small Cities/Rural,New Hampshire,1.0,Election day exit poll,Somewhat worried,Worried,1.0,1.0,1.0,2.0,9.0,Version 2,,,,,3.0,3.0,4.0,5.0,17-64,Extremely Low Density Rural,Rural,Rural,Very downscale,3581.0,0.75728315114975
469497.0,,,18-29,18-29,25-29,25-29,Once a week,More than once a week/Once a week,,Complete,,,,,,,1.0,Call 2,1.0,,,,1.0,1.0,2.0,1.0,High school graduate,,,,,,,,,,,4.0,1.0,No,1.0,3.0,Less than 100k,Less than 50k,"Under $15,000",Somewhat disapprove,Disapprove,4.0,My candidates leadership/personal qualities,,,Good,Excellent/Good,18-64,Independent/Something else,Independent,Moderate,3.0,115.0,1.0,9.0,White,State questionnaire,White,East,2.0,,,,1.0,Female,White female,,White female,,,Rural,Small Cities/Rural,New Hampshire,9.0,Election day exit poll,Very worried,Worried,2.0,5.0,2.0,2.0,6.0,Version 2,,,,,1.0,1.0,2.0,2.0,17-64,Low Density Rural,Rural,Rural,Downscale,3872.0,1.03435850143433
469972.0,,,30-59,45-59,40-49,45-49,A few times a year,A few times a month/A few times a year,,Complete,,,,,,,2.0,Call 2,2.0,,,,1.0,3.0,2.0,1.0,High school graduate,,,,,,,,,,,2.0,2.0,Yes,1.0,3.0,Less than 100k,50k or more,"$50,000-$74,999",Somewhat approve,Approve,1.0,My candidates position on the issues,,,Not so good,Not so good/Poor,18-64,Independent/Something else,Something else,Moderate,3.0,114.0,6.0,9.0,Other,State questionnaire,Other,East,1.0,,,,7.0,Female,Non white female,,Non white,,,Rural,Small Cities/Rural,New Hampshire,2.0,Election day exit poll,Not too worried,Not worried,2.0,3.0,1.0,1.0,9.0,Version 2,,,,,3.0,3.0,4.0,5.0,17-64,Low Density Rural,Rural,Rural,Very downscale,3773.0,0.973782360553741
469971.0,,,30-59,45-59,40-49,45-49,A few times a year,A few times a month/A few times a year,,Complete,,,,,,,2.0,Call 2,2.0,,,,1.0,3.0,2.0,1.0,High school graduate,,,,,,,,,,,2.0,2.0,Yes,1.0,3.0,Less than 100k,50k or more,"$50,000-$74,999",Somewhat approve,Approve,1.0,My candidates position on the issues,,,Not so good,Not so good/Poor,18-64,Independent/Something else,Something else,Moderate,3.0,114.0,6.0,9.0,Other,State questionnaire,Other,East,1.0,,,,7.0,Female,Non white female,,Non white,,,Rural,Small Cities/Rural,New Hampshire,2.0,Election day exit poll,Not too worried,Not worried,2.0,3.0,1.0,1.0,9.0,Version 2,,,,,3.0,3.0,4.0,5.0,17-64,Low Density Rural,Rural,Rural,Very downscale,3773.0,0.973782360553741
468595.0,,,30-59,30-44,40-49,40-44,Never,Never,,Complete,,,,,,,2.0,Call 1,2.0,,,,1.0,1.0,1.0,1.0,High school graduate,,,,,,,,,,,4.0,2.0,Yes,1.0,3.0,100k or more,50k or more,"$200,000 or more",Strongly disapprove,Disapprove,2.0,My candidates position on the issues,,,Poor,Not so good/Poor,18-64,Independent/Something else,Something else,Conservative,4.0,34.0,5.0,1.0,,State questionnaire,,East,1.0,,,,6.0,Male,,,,,,Rural,Small Cities/Rural,New Hampshire,1.0,Election day exit poll,Not at all worried,Not worried,2.0,5.0,2.0,1.0,1.0,Version 2,,,,,2.0,2.0,4.0,4.0,17-64,Extremely Low Density Rural,Rural,Rural,Downscale,3240.0,0.83333420753479
468594.0,,,30-59,30-44,40-49,40-44,Never,Never,,Complete,,,,,,,2.0,Call 1,2.0,,,,1.0,1.0,1.0,1.0,High school graduate,,,,,,,,,,,4.0,2.0,Yes,1.0,3.0,100k or more,50k or more,"$200,000 or more",Strongly disapprove,Disapprove,2.0,My candidates position on the issues,,,Poor,Not so good/Poor,18-64,Independent/Something else,Something else,Conservative,4.0,34.0,5.0,1.0,,State questionnaire,,East,1.0,,,,6.0,Male,,,,,,Rural,Small Cities/Rural,New Hampshire,1.0,Election day exit poll,Not at all worried,Not worried,2.0,5.0,2.0,1.0,1.0,Version 2,,,,,2.0,2.0,4.0,4.0,17-64,Extremely Low Density Rural,Rural,Rural,Downscale,3240.0,0.83333420753479
469239.0,,,30-59,45-59,50-64,50-59,Never,Never,,Complete,,,,,,,2.0,Call 2,2.0,,,,1.0,3.0,1.0,1.0,High school graduate,,,,,,,,,,,4.0,2.0,Yes,1.0,3.0,Less than 100k,Less than 50k,"$30,000-$49,999",Strongly disapprove,Disapprove,3.0,My candidates position on the issues,,,Poor,Not so good/Poor,18-64,Democrat,Democrat,Moderate,3.0,85.0,5.0,1.0,White,State questionnaire,White,East,2.0,,,,6.0,Male,White male,,White male,,,Rural,Small Cities/Rural,New Hampshire,1.0,Election day exit poll,Somewhat worried,Worried,1.0,1.0,1.0,1.0,3.0,Version 2,,,,,3.0,3.0,5.0,6.0,17-64,Extremely Low Density Rural,Rural,Rural,Very downscale,3582.0,0.538160264492035
471112.0,,,60+,60+,65+,65-74,More than once a week,More than once a week/Once a week,,Complete,,,,,,,2.0,Call 3,2.0,,,,1.0,1.0,1.0,1.0,High school graduate,,,,,,,,,,,2.0,2.0,Yes,1.0,3.0,Less than 100k,50k or more,"$50,000-$74,999",Somewhat approve,Approve,2.0,My candidates position on the issues,,,Not so good,Not so good/Poor,65+,Independent/Something else,Independent,Moderate,3.0,114.0,6.0,1.0,White,State questionnaire,White,East,2.0,,,,7.0,Male,White male,,White male,,,Rural,Small Cities/Rural,New Hampshire,2.0,Election day exit poll,Very worried,Worried,1.0,1.0,1.0,1.0,4.0,Version 2,,,,,4.0,4.0,6.0,8.0,65+,Low Density Rural,Rural,Rural,Very downscale,3773.0,1.20380353927612
469377.0,,,18-29,18-29,18-24,18-24,Never,Never,,Complete,,,,,,,2.0,Call 2,1.0,,,,1.0,2.0,2.0,1.0,High school graduate,,,,,,,,,,,1.0,2.0,Yes,1.0,3.0,Less than 100k,Less than 50k,"$30,000-$49,999",Somewhat approve,Approve,4.0,My candidates leadership/personal qualities,,,Not so good,Not so good/Poor,18-64,Republican,Republican,Moderate,3.0,58.0,5.0,1.0,White,State questionnaire,White,East,2.0,,,,6.0,Male,White male,,White male,,,Suburbs,Suburbs,New Hampshire,2.0,Election day exit poll,Not too worried,Not worried,1.0,2.0,1.0,2.0,1.0,Version 2,,,,,1.0,1.0,1.0,1.0,17-64,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,3823.0,0.617053329944611
468348.0,,,30-59,30-44,30-39,30-39,Never,Never,,Complete,,,,,,,2.0,Call 1,2.0,,,,1.0,1.0,1.0,1.0,High school graduate,,,,,,,,,,,3.0,2.0,Yes,1.0,3.0,Less than 100k,Less than 50k,"$30,000-$49,999",Strongly approve,Approve,1.0,My candidates leadership/personal qualities,,,Good,Excellent/Good,18-64,Republican,Republican,Conservative,5.0,89.0,4.0,1.0,White,State questionnaire,White,East,2.0,,,,4.0,Male,White male,,White male,,,Rural,Small Cities/Rural,New Hampshire,1.0,Election day exit poll,Somewhat worried,Worried,2.0,3.0,1.0,2.0,1.0,Version 2,,,,,2.0,2.0,3.0,3.0,17-64,Low Density Rural,Rural,Rural,Very downscale,3263.0,0.77757203578949
468082.0,,,18-29,18-29,18-24,18-24,Once a week,More than once a week/Once a week,,Complete,,,,,,,2.0,Call 1,1.0,,,,1.0,1.0,3.0,2.0,High school graduate,,,,,,,,,,,3.0,2.0,Yes,1.0,3.0,Less than 100k,50k or more,"$50,000-$74,999",Strongly approve,Approve,1.0,My candidates leadership/personal qualities,,,Good,Excellent/Good,18-64,Republican,Republican,Conservative,5.0,105.0,4.0,1.0,White,State questionnaire,White,East,3.0,,,,4.0,Male,White male,,White male,,,Suburbs,Suburbs,New Hampshire,2.0,Election day exit poll,Not too worried,Not worried,2.0,3.0,1.0,2.0,5.0,Version 2,,,,,1.0,1.0,1.0,1.0,17-64,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Very downscale,3874.0,0.941112041473389
470852.0,,,30-59,45-59,50-64,50-59,Once a week,More than once a week/Once a week,,Complete,,,,,,,2.0,Call 3,2.0,,,,1.0,1.0,2.0,1.0,High school graduate,,,,,,,,,,,1.0,2.0,No,1.0,3.0,Less than 100k,Less than 50k,"$30,000-$49,999",Strongly approve,Approve,2.0,My candidates leadership/personal qualities,,,Not so good,Not so good/Poor,18-64,Republican,Republican,Conservative,4.0,76.0,1.0,1.0,White,State questionnaire,White,East,2.0,,,,1.0,Male,White male,,White male,,,"Cities 50,000-500,000","Cities over 50,000",New Hampshire,1.0,Election day exit poll,Somewhat worried,Worried,2.0,4.0,2.0,1.0,9.0,Version 2,,,,,3.0,3.0,5.0,6.0,17-64,High Density Urban,Urban,Urban Core,Very downscale,3060.0,0.755436718463898
