ID,AGE3,AGE60,AGE65,AGE9,AGEBLACK,AGEBYRACE,ATTEND,ATTEND2,ATTREL,BACKSIDE,BREAKDEM,BREAKDM2,CALL,CDNUM,CHIEFDST,COLLEDUC,CTDPRS08,DPRS08,DPRS08ST,EDUC,FAVLIEBR,FAVLIBR2,GENDISS,GENDISS2,GEOCODE,GETAHEAD,HSEDUC,INC100K,INC50K,INCOME07,ISSIA08D,LATINO,MARRIED,NEC,NEC2,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08D,QRACEAI,QTYPE,RACE,RACEISS,RACEISS2,REGION,REL5,RELIGN8,RELWHITE,SATCLIN,SATISDEM,SATOBAM,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWED,SEXWHITE,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME3D,TIMEPR,TIMEWK,UNFAIRSC,UNFRCLIN,UNFROBAM,UNION4,UNIONHH,UNIONMEM,UNIONVOT,UNITEST,VERSION,WHITEREL,WOMENWED,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
1108121.0,60+,60+,65+,65-74,Non black 60+,White 60+,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,9.0,9.0,Call 1,3.0,1.0,1.0,1.0,2.0,1.0,High school graduate,4.0,2.0,3.0,2.0,3.0,3.0,1.0,Less than 100k,50k or more,"$75,000-$99,999",1.0,No,Yes,Poor,Not so good/Poor,65+,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,35.0,3.0,White,State questionnaire,White,3.0,2.0,East,Catholic,Catholic,2.0,1.0,3.0,1.0,Male,Non black male,White men,White male,Married men,White male,Suburbs,Suburbs,Connecticut,Election day exit poll,2.0,5.0,2.0,3.0,1.0,Barack Obama did,"Yes, someone else does",Yes,"Member in household, but not voter",No,1.0,Version 1,Catholic,2.0,4.0,4.0,6.0,8.0,4.0,65+,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,6437.0,0.99458122253418
1103454.0,30-59,30-44,40-49,40-44,Non black 30-44,White 30-44,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,4.0,2.0,Call 1,4.0,1.0,1.0,1.0,2.0,1.0,Some college or associate degree,2.0,1.0,3.0,2.0,2.0,2.0,2.0,Less than 100k,Less than 50k,"$30,000-$49,999",1.0,No,Yes,Not so good,Not so good/Poor,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,71.0,1.0,White,State questionnaire,White,2.0,1.0,East,Catholic,Catholic,2.0,1.0,1.0,2.0,Female,Non black female,White women,White female,Married women,White female,Suburbs,Suburbs,Connecticut,Election day exit poll,2.0,4.0,2.0,4.0,2.0,Barack Obama did not,"Yes, I do and someone else does",Yes,I am,Yes,1.0,Version 1,Catholic,1.0,2.0,2.0,4.0,4.0,2.0,17-64,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,6484.0,0.788422763347626
1112783.0,30-59,30-44,40-49,40-44,Black 30-44,Black 30-44,Once a week,More than once a week/Once a week,All others,Complete,3.0,2.0,Call 2,3.0,3.0,2.0,1.0,2.0,1.0,College graduate,2.0,1.0,2.0,1.0,1.0,2.0,2.0,Less than 100k,Less than 50k,"$30,000-$49,999",3.0,No,Yes,Not so good,Not so good/Poor,18-64,Independent/Something else,Black non Democrat,Black Indpendents,Independent,Moderate,3.0,55.0,1.0,Black,State questionnaire,Black,2.0,1.0,East,Protestant/Other Non-Catholic Christian,Other Christian,9.0,1.0,1.0,2.0,Female,Black female,Black women,Non white female,Married women,Non white,"Cities 50,000-500,000","Cities over 50,000",Connecticut,Election day exit poll,1.0,2.0,1.0,3.0,1.0,Barack Obama did,"Yes, someone else does",Yes,"Member in household, but not voter",No,1.0,Version 1,Non-white,1.0,2.0,2.0,4.0,4.0,6.0,17-64,Extremely High Density Urban,Urban,Urban Core,Very downscale,6511.0,3.27938461303711
1124446.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,More than once a week,More than once a week/Once a week,All others,Complete,9.0,9.0,Call 3,1.0,1.0,1.0,1.0,2.0,1.0,Some college or associate degree,9.0,9.0,3.0,2.0,1.0,1.0,2.0,Less than 100k,50k or more,"$75,000-$99,999",9.0,,Yes,Poor,Not so good/Poor,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Conservative,4.0,12.0,9.0,White,State questionnaire,White,3.0,2.0,East,Protestant/Other Non-Catholic Christian,Other Christian,1.0,1.0,1.0,2.0,Female,Non black female,White women,White female,Married women,White female,Suburbs,Suburbs,Connecticut,Election day exit poll,2.0,5.0,2.0,9.0,9.0,Omit,"Yes, I do",Yes,I am,Yes,1.0,Version 1,Protestant/Other Christian,1.0,3.0,3.0,5.0,6.0,3.0,17-64,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,6010.0,1.16644942760468
1103448.0,30-59,30-44,30-39,30-39,Non black 30-44,White 30-44,A few times a month,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,4.0,2.0,Call 1,4.0,1.0,1.0,1.0,2.0,1.0,High school graduate,2.0,1.0,3.0,2.0,2.0,1.0,1.0,Less than 100k,50k or more,"$75,000-$99,999",2.0,No,Yes,Not so good,Not so good/Poor,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Conservative,4.0,71.0,3.0,White,State questionnaire,White,3.0,2.0,East,Catholic,Catholic,2.0,1.0,1.0,2.0,Male,Non black male,White men,White male,Married men,White male,Suburbs,Suburbs,Connecticut,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,1.0,Version 1,Catholic,2.0,2.0,2.0,3.0,3.0,2.0,17-64,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Upscale,6484.0,0.795457780361176
1124436.0,60+,60+,65+,65-74,Non black 60+,White 60+,A few times a year,A few times a month/A few times a year,All others,Complete,4.0,2.0,Call 3,4.0,1.0,2.0,1.0,2.0,1.0,Postgraduate study,4.0,2.0,2.0,1.0,3.0,1.0,2.0,100k or more,50k or more,"$200,000 or more",2.0,No,No,Good,Excellent/Good,65+,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,1.0,97.0,3.0,White,State questionnaire,White,3.0,2.0,East,Something else,Something else,4.0,1.0,1.0,2.0,Female,Non black female,White women,White female,Non-married women,White female,Suburbs,Suburbs,Connecticut,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,1.0,Version 1,Something else,2.0,4.0,4.0,6.0,8.0,4.0,65+,Suburb,60s Suburbs,Urban Perimeter,Very upscale,6880.0,1.00797688961029
1115100.0,30-59,30-44,40-49,40-44,Non black 30-44,White 30-44,A few times a month,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,3.0,2.0,Call 2,4.0,1.0,1.0,1.0,2.0,1.0,High school graduate,3.0,2.0,3.0,2.0,3.0,2.0,1.0,Less than 100k,50k or more,"$75,000-$99,999",1.0,No,Yes,Not so good,Not so good/Poor,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,62.0,2.0,White,State questionnaire,White,3.0,2.0,East,Catholic,Catholic,2.0,1.0,1.0,2.0,Male,Non black male,White men,White male,Married men,White male,"Cities 50,000-500,000","Cities over 50,000",Connecticut,Election day exit poll,2.0,3.0,1.0,1.0,1.0,Barack Obama did not,No one does,No,No,No,3.0,Version 1,Catholic,2.0,2.0,2.0,4.0,4.0,2.0,17-64,Suburb,Urban,Urban Core,Very upscale,6851.0,0.898590922355652
1103426.0,30-59,45-59,40-49,45-49,Non black 45-59,White 45-59,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,3.0,2.0,Call 1,2.0,1.0,2.0,1.0,2.0,1.0,Postgraduate study,3.0,2.0,2.0,1.0,3.0,2.0,2.0,100k or more,50k or more,"$200,000 or more",3.0,No,Yes,Not so good,Not so good/Poor,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,40.0,3.0,White,State questionnaire,White,3.0,2.0,East,Catholic,Catholic,2.0,1.0,3.0,1.0,Female,Non black female,White women,White female,Married women,White female,Suburbs,Suburbs,Connecticut,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,3.0,Version 1,Catholic,1.0,3.0,3.0,4.0,5.0,3.0,17-64,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Very upscale,6443.0,0.984629929065704
1122088.0,18-29,18-29,25-29,25-29,Non black 18-29,White 18-29,A few times a year,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,4.0,2.0,Call 3,5.0,3.0,1.0,1.0,2.0,1.0,Some college or associate degree,2.0,1.0,2.0,1.0,1.0,3.0,2.0,Less than 100k,Less than 50k,"$15,000-$29,999",1.0,No,No,Not so good,Not so good/Poor,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,51.0,1.0,White,State questionnaire,White,3.0,2.0,East,Catholic,Catholic,2.0,1.0,3.0,1.0,Female,Non black female,White women,White female,Non-married women,White female,Suburbs,Suburbs,Connecticut,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,1.0,Version 1,Catholic,2.0,1.0,1.0,2.0,2.0,1.0,17-64,High Density Urban,60s Suburbs,Urban Perimeter,Very downscale,6053.0,1.38967525959015
1103423.0,30-59,45-59,50-64,50-59,Non black 45-59,Latino 45-59,A few times a month,A few times a month/A few times a year,All others,Complete,3.0,2.0,Call 1,2.0,1.0,2.0,1.0,2.0,1.0,Postgraduate study,4.0,2.0,2.0,1.0,3.0,2.0,2.0,100k or more,50k or more,"$200,000 or more",1.0,Yes,Yes,Not so good,Not so good/Poor,18-64,Democrat,Non black Democrat,Latino Democrats,Democrat,Liberal,2.0,40.0,3.0,White,State questionnaire,Hispanic/Latino,3.0,2.0,East,Jewish,Jewish,9.0,1.0,3.0,1.0,Female,Non black female,Latino women,Non white female,Married women,Non white,Suburbs,Suburbs,Connecticut,Election day exit poll,2.0,4.0,2.0,3.0,1.0,Barack Obama did,No one does,No,No,No,3.0,Version 1,Non-white,1.0,3.0,3.0,5.0,6.0,11.0,17-64,Suburb,70s Suburbs,High-Growth Suburban Perimeter,Very upscale,6443.0,0.984629929065704
1112754.0,60+,60+,65+,65-74,Non black 60+,White 60+,A few times a year,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,3.0,2.0,Call 2,3.0,1.0,1.0,1.0,2.0,1.0,High school graduate,3.0,2.0,1.0,1.0,2.0,2.0,1.0,Less than 100k,Less than 50k,"$30,000-$49,999",1.0,No,Yes,Poor,Not so good/Poor,65+,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,25.0,3.0,White,State questionnaire,White,3.0,2.0,East,Catholic,Catholic,2.0,1.0,1.0,2.0,Female,Non black female,White women,White female,Married women,White female,Suburbs,Suburbs,Connecticut,Election day exit poll,2.0,5.0,2.0,3.0,1.0,Barack Obama did,No one does,No,No,No,1.0,Version 1,Catholic,1.0,4.0,4.0,6.0,8.0,4.0,65+,Suburb,60s Suburbs,Urban Perimeter,Very downscale,6512.0,0.738620698451996
1112949.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,4.0,2.0,Call 2,2.0,1.0,1.0,1.0,2.0,1.0,High school graduate,3.0,2.0,2.0,1.0,4.0,2.0,1.0,Less than 100k,50k or more,"$75,000-$99,999",2.0,No,Yes,Not so good,Not so good/Poor,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,67.0,3.0,White,State questionnaire,White,3.0,2.0,East,Catholic,Catholic,2.0,1.0,1.0,2.0,Female,Non black female,White women,White female,Married women,White female,Rural,Small Cities/Rural,Connecticut,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,"Yes, someone else does",Yes,"Member in household, but not voter",No,1.0,Version 1,Catholic,1.0,3.0,3.0,5.0,6.0,3.0,17-64,Suburb,Rural,Rural,Very downscale,6374.0,1.0036416053772
1124410.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,A few times a year,A few times a month/A few times a year,All others,Complete,4.0,2.0,Call 3,3.0,1.0,2.0,1.0,2.0,1.0,Postgraduate study,3.0,2.0,2.0,1.0,2.0,2.0,2.0,100k or more,50k or more,"$100,000-$149,999",3.0,No,Yes,Poor,Not so good/Poor,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,25.0,1.0,White,State questionnaire,White,3.0,2.0,East,Something else,Something else,4.0,1.0,3.0,1.0,Female,Non black female,White women,White female,Married women,White female,Suburbs,Suburbs,Connecticut,Election day exit poll,2.0,4.0,2.0,4.0,2.0,Barack Obama did not,"Yes, I do and someone else does",Yes,I am,Yes,1.0,Version 1,Something else,1.0,3.0,3.0,5.0,6.0,3.0,17-64,Suburb,60s Suburbs,Urban Perimeter,Very downscale,6512.0,0.56901615858078
1112734.0,30-59,30-44,40-49,40-44,Non black 30-44,White 30-44,Never,Never,All others,Complete,4.0,2.0,Call 2,4.0,1.0,2.0,1.0,2.0,1.0,College graduate,2.0,1.0,3.0,2.0,3.0,1.0,2.0,100k or more,50k or more,"$100,000-$149,999",3.0,No,Yes,Not so good,Not so good/Poor,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,97.0,4.0,White,State questionnaire,White,3.0,2.0,East,None,None,5.0,1.0,1.0,2.0,Female,Non black female,White women,White female,Married women,White female,Suburbs,Suburbs,Connecticut,Election day exit poll,2.0,4.0,2.0,2.0,2.0,Barack Obama did,No one does,No,No,No,1.0,Version 1,None,1.0,2.0,2.0,4.0,4.0,2.0,17-64,Suburb,60s Suburbs,Urban Perimeter,Very upscale,6880.0,0.776521921157837
1112730.0,60+,60+,65+,65-74,Non black 60+,White 60+,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,1.0,1.0,Call 2,3.0,1.0,2.0,1.0,2.0,1.0,College graduate,1.0,1.0,3.0,2.0,3.0,1.0,2.0,Less than 100k,50k or more,"$75,000-$99,999",1.0,No,Yes,Not so good,Not so good/Poor,65+,Independent/Something else,Non black non Democrat,White Independents,Independent,Moderate,3.0,35.0,3.0,White,State questionnaire,White,3.0,2.0,East,Catholic,Catholic,2.0,1.0,1.0,2.0,Female,Non black female,White women,White female,Married women,White female,Suburbs,Suburbs,Connecticut,Election day exit poll,2.0,3.0,1.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,1.0,Version 1,Catholic,1.0,4.0,4.0,6.0,8.0,4.0,65+,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,6437.0,0.985785126686096
1112929.0,30-59,30-44,40-49,40-44,Non black 30-44,White 30-44,A few times a year,A few times a month/A few times a year,All others,Complete,3.0,2.0,Call 2,4.0,1.0,2.0,1.0,2.0,1.0,Postgraduate study,2.0,1.0,2.0,1.0,3.0,1.0,2.0,100k or more,50k or more,"$150,000-$199,999",3.0,No,Yes,Not so good,Not so good/Poor,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,97.0,4.0,White,State questionnaire,White,3.0,2.0,East,Jewish,Jewish,3.0,1.0,1.0,2.0,Female,Non black female,White women,White female,Married women,White female,Suburbs,Suburbs,Connecticut,Election day exit poll,2.0,5.0,2.0,2.0,2.0,Barack Obama did,No one does,No,No,No,1.0,Version 1,Jewish,1.0,2.0,2.0,4.0,4.0,2.0,17-64,Suburb,60s Suburbs,Urban Perimeter,Very upscale,6880.0,0.776521921157837
1112722.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,Never,Never,All others,Complete,4.0,2.0,Call 2,4.0,1.0,2.0,1.0,2.0,1.0,College graduate,2.0,1.0,2.0,1.0,3.0,2.0,2.0,100k or more,50k or more,"$200,000 or more",1.0,No,Yes,Not so good,Not so good/Poor,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,99.0,3.0,White,State questionnaire,White,3.0,2.0,East,Jewish,Jewish,3.0,1.0,1.0,2.0,Female,Non black female,White women,White female,Married women,White female,Suburbs,Suburbs,Connecticut,Election day exit poll,2.0,5.0,2.0,2.0,2.0,Barack Obama did,No one does,No,No,No,1.0,Version 1,Jewish,1.0,3.0,3.0,5.0,6.0,3.0,17-64,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,6897.0,0.757731676101685
1124386.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,Never,Never,All others,Complete,4.0,2.0,Call 3,5.0,1.0,2.0,1.0,2.0,1.0,College graduate,3.0,2.0,3.0,2.0,4.0,2.0,2.0,Less than 100k,50k or more,"$75,000-$99,999",2.0,No,Yes,Not so good,Not so good/Poor,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,1.0,60.0,3.0,White,State questionnaire,White,3.0,2.0,East,Protestant/Other Non-Catholic Christian,Other Christian,1.0,1.0,3.0,1.0,Male,Non black male,White men,White male,Married men,White male,Suburbs,Suburbs,Connecticut,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,1.0,Version 1,Protestant/Other Christian,2.0,3.0,3.0,5.0,6.0,3.0,17-64,Suburb,60s Suburbs,Low-Growth Suburban Perimeter,Very upscale,6470.0,0.661203861236572
