ID,AGE3,AGE60,AGE65,AGE9,AGEBLACK,AGEBYRACE,ATTEND,ATTEND2,ATTREL,BACKSIDE,BEATMCCN,BREAKDEM,BREAKDM2,CALL,CDNUM,CLINASVP,CLINVSMCCN,COLLEDUC,DPRS08,EDUC,GENDISS,GENDISS2,GENDISS4,GEOCODE,GUNOWNER,HONESTCLIN,HONESTDEM,HONESTOBAM,HSEDUC,INC100K,INC50K,INCOME07,ISSIA08D,ISSVQUAL,LONGPRIM,OBAMAASVP,OBAMVSMCCN,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08D,QRACEAI,QTYPE,RACE,RACEISS,RACEISS2,RACEISS5,RECESS08,RECSS082,REGION,REL5,RELIGN8,RELWHITE,SATCLIN,SATISDEM,SATOBAM,SDDPRS08,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SHARECLIN,SHAREOBAM,SHAREVAL,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME3D,TIMEPR,TIMEWK,TIME3DAB,TIMEPRAB,TIMEWKAB,UNFAIRSC,UNFRCLIN,UNFROBAM,VERSION,WHITEREL,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XBEATREP,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
3707108.0,30-59,30-44,30-39,30-39,Non black 30-44,All other,Never,Never,All others,Complete,9.0,,,,1.0,1.0,1.0,1.0,2.0,High school graduate,3.0,2.0,4.0,3.0,No,1.0,1.0,2.0,1.0,Less than 100k,Less than 50k,"$15,000-$29,999",1.0,My candidates leadership/personal qualities,1.0,1.0,9.0,18-64,Democrat,Non black Democrat,All other,Democrat,Moderate,3.0,50002.0,1.0,American Indian,State questionnaire,Other,3.0,2.0,5.0,1.0,1.0,Midwest,None,None,9.0,1.0,3.0,1.0,1.0,Female,Non black female,All other races,Non white female,Non white,1.0,2.0,1.0,"Cities 50,000-500,000","Cities over 50,000",South Dakota,Telephone survey,9.0,9.0,9.0,3.0,6.0,3.0,9.0,9.0,Omit,Version 1,Non-white,2.0,2.0,3.0,3.0,13.0,9.0,17-64,Suburb,Urban,Urban Core,Upscale,57701.0,2.03664803504944
3707107.0,30-59,45-59,40-49,45-49,Non black 45-59,White 45-59,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,1.0,,,,1.0,9.0,2.0,1.0,2.0,High school graduate,3.0,2.0,2.0,1.0,Yes,2.0,4.0,2.0,1.0,Less than 100k,50k or more,"$50,000-$74,999",1.0,My candidates leadership/personal qualities,2.0,2.0,2.0,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Conservative,5.0,50003.0,3.0,White,State questionnaire,White,3.0,2.0,2.0,3.0,2.0,Midwest,Catholic,Catholic,2.0,9.0,9.0,9.0,1.0,Male,Non black male,White men,White male,White male,2.0,2.0,4.0,"Cities 50,000-500,000","Cities over 50,000",South Dakota,Telephone survey,9.0,9.0,9.0,3.0,6.0,3.0,1.0,1.0,Barack Obama did not,Version 1,Catholic,3.0,3.0,4.0,5.0,3.0,1.0,17-64,Suburb,Urban,Urban Core,Very upscale,57103.0,1.94279277324677
3707105.0,30-59,45-59,40-49,45-49,Non black 45-59,White 45-59,A few times a year,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,9.0,,,,1.0,9.0,9.0,1.0,2.0,High school graduate,2.0,1.0,1.0,3.0,Yes,2.0,4.0,2.0,1.0,Less than 100k,Less than 50k,"Under $15,000",2.0,My candidates position on the issues,9.0,9.0,9.0,18-64,Independent/Something else,Non black non Democrat,White Independents,Independent,Liberal,2.0,50002.0,9.0,White,State questionnaire,White,9.0,9.0,9.0,3.0,2.0,Midwest,Protestant/Other Non-Catholic Christian,Protestant,1.0,2.0,4.0,2.0,1.0,Male,Non black male,White men,White male,White male,2.0,2.0,4.0,Rural,Small Cities/Rural,South Dakota,Telephone survey,9.0,9.0,9.0,3.0,6.0,3.0,2.0,2.0,Barack Obama did,Version 1,Protestant/Other Christian,3.0,3.0,4.0,5.0,3.0,9.0,17-64,Low Density Rural,Rural,Rural,Very downscale,57601.0,2.05447793006897
3707103.0,30-59,45-59,40-49,45-49,Non black 45-59,White 45-59,A few times a year,A few times a month/A few times a year,All others,Complete,2.0,,,,1.0,1.0,1.0,1.0,2.0,Some college or associate degree,3.0,2.0,2.0,2.0,Yes,1.0,3.0,1.0,2.0,Less than 100k,Less than 50k,"Under $15,000",3.0,My candidates position on the issues,1.0,1.0,1.0,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,50001.0,2.0,White,State questionnaire,White,3.0,2.0,2.0,1.0,1.0,Midwest,Protestant/Other Non-Catholic Christian,Other Christian,1.0,1.0,3.0,1.0,1.0,Male,Non black male,White men,White male,White male,1.0,1.0,3.0,Rural,Small Cities/Rural,South Dakota,Telephone survey,9.0,9.0,9.0,3.0,6.0,3.0,4.0,2.0,Barack Obama did not,Version 1,Protestant/Other Christian,3.0,3.0,4.0,5.0,3.0,2.0,17-64,Extremely Low Density Rural,Rural,Rural,Downscale,57434.0,1.99554979801178
3707101.0,30-59,30-44,40-49,40-44,Non black 30-44,White 30-44,Never,Never,All others,Complete,9.0,,,,1.0,1.0,1.0,1.0,2.0,Some college or associate degree,3.0,2.0,2.0,2.0,Yes,1.0,3.0,1.0,2.0,Less than 100k,Less than 50k,"$30,000-$49,999",1.0,My candidates position on the issues,2.0,1.0,1.0,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,50001.0,9.0,White,State questionnaire,White,3.0,2.0,2.0,2.0,1.0,Midwest,Something else,Something else,4.0,1.0,3.0,1.0,1.0,Male,Non black male,White men,White male,White male,1.0,1.0,3.0,Rural,Small Cities/Rural,South Dakota,Telephone survey,9.0,9.0,9.0,3.0,6.0,3.0,3.0,1.0,Barack Obama did,Version 1,Something else,2.0,2.0,4.0,4.0,2.0,9.0,17-64,Extremely Low Density Rural,Rural,Rural,Downscale,57274.0,2.10466051101685
3707098.0,30-59,30-44,40-49,40-44,Non black 30-44,White 30-44,A few times a month,A few times a month/A few times a year,All others,Complete,9.0,,,,1.0,1.0,1.0,1.0,2.0,Some college or associate degree,3.0,2.0,2.0,1.0,Yes,1.0,3.0,1.0,2.0,Less than 100k,50k or more,"$75,000-$99,999",3.0,My candidates leadership/personal qualities,9.0,1.0,1.0,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,50003.0,2.0,White,State questionnaire,White,3.0,2.0,2.0,2.0,1.0,Midwest,Protestant/Other Non-Catholic Christian,Other Christian,1.0,1.0,3.0,1.0,1.0,Male,Non black male,White men,White male,White male,1.0,1.0,3.0,Rural,Small Cities/Rural,South Dakota,Telephone survey,9.0,9.0,9.0,3.0,6.0,3.0,4.0,2.0,Barack Obama did not,Version 1,Protestant/Other Christian,2.0,2.0,4.0,4.0,2.0,9.0,17-64,Extremely Low Density Rural,Rural,Rural,Upscale,57042.0,2.04901909828186
3707090.0,30-59,45-59,40-49,45-49,Non black 45-59,All other,A few times a month,A few times a month/A few times a year,All others,Complete,2.0,,,,1.0,1.0,1.0,1.0,2.0,High school graduate,2.0,1.0,1.0,3.0,Yes,1.0,1.0,2.0,1.0,Less than 100k,Less than 50k,"$30,000-$49,999",1.0,My candidates leadership/personal qualities,2.0,2.0,2.0,18-64,Democrat,Non black Democrat,All other,Democrat,Liberal,2.0,50002.0,4.0,American Indian,State questionnaire,Other,3.0,2.0,5.0,2.0,1.0,Midwest,Protestant/Other Non-Catholic Christian,Other Christian,9.0,1.0,1.0,2.0,1.0,Male,Non black male,All other races,Non white male,Non white,1.0,2.0,1.0,Rural,Small Cities/Rural,South Dakota,Telephone survey,9.0,9.0,9.0,3.0,6.0,3.0,3.0,1.0,Barack Obama did,Version 1,Non-white,3.0,3.0,4.0,5.0,13.0,2.0,17-64,Extremely Low Density Rural,Rural,Rural,Very downscale,57625.0,2.68687963485718
3707089.0,18-29,18-29,25-29,25-29,Non black 18-29,All other,Once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,1.0,,,,1.0,1.0,1.0,1.0,2.0,High school graduate,2.0,1.0,1.0,2.0,Yes,1.0,3.0,1.0,1.0,,,,1.0,My candidates position on the issues,1.0,1.0,1.0,18-64,Democrat,Non black Democrat,All other,Democrat,Moderate,3.0,50001.0,1.0,Other,State questionnaire,Other,3.0,2.0,5.0,1.0,1.0,Midwest,Protestant/Other Non-Catholic Christian,Protestant,9.0,1.0,1.0,2.0,1.0,Male,Non black male,All other races,Non white male,Non white,1.0,2.0,1.0,"Cities 10,000-50,000",Small Cities/Rural,South Dakota,Telephone survey,9.0,9.0,9.0,3.0,6.0,3.0,4.0,2.0,Barack Obama did not,Version 1,Non-white,1.0,1.0,2.0,2.0,13.0,1.0,17-64,Low Density Rural,Rural,Rural,Very upscale,57401.0,3.19482016563416
3707085.0,18-29,18-29,25-29,25-29,Non black 18-29,White 18-29,A few times a year,A few times a month/A few times a year,All others,Complete,1.0,,,,1.0,2.0,1.0,1.0,2.0,High school graduate,3.0,2.0,2.0,1.0,Yes,1.0,1.0,2.0,1.0,Less than 100k,Less than 50k,"$15,000-$29,999",3.0,My candidates position on the issues,9.0,2.0,9.0,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,1.0,50003.0,1.0,White,State questionnaire,White,2.0,1.0,1.0,1.0,1.0,Midwest,None,None,5.0,1.0,3.0,1.0,1.0,Male,Non black male,White men,White male,White male,1.0,2.0,1.0,Suburbs,Suburbs,South Dakota,Telephone survey,9.0,9.0,9.0,3.0,6.0,3.0,4.0,2.0,Barack Obama did not,Version 1,None,1.0,1.0,2.0,2.0,1.0,1.0,17-64,Extremely Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Upscale,57013.0,3.67314481735229
3707080.0,30-59,30-44,30-39,30-39,Non black 30-44,Latino 30-44,A few times a month,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,9.0,,,,1.0,1.0,1.0,1.0,2.0,Some college or associate degree,3.0,2.0,2.0,3.0,No,2.0,4.0,2.0,2.0,Less than 100k,Less than 50k,"$15,000-$29,999",3.0,My candidates position on the issues,2.0,1.0,1.0,18-64,Independent/Something else,Non black non Democrat,Latino Independents,Independent,Liberal,2.0,50002.0,1.0,Hispanic/Latino,State questionnaire,Hispanic/Latino,3.0,2.0,5.0,2.0,1.0,Midwest,Catholic,Catholic,9.0,1.0,3.0,1.0,1.0,Male,Non black male,Latino men,Non white male,Non white,1.0,1.0,3.0,"Cities 50,000-500,000","Cities over 50,000",South Dakota,Telephone survey,9.0,9.0,9.0,3.0,6.0,3.0,4.0,2.0,Barack Obama did not,Version 1,Non-white,2.0,2.0,3.0,3.0,10.0,9.0,17-64,Suburb,Urban,Urban Core,Upscale,57701.0,3.684077501297
3707078.0,18-29,18-29,25-29,25-29,Non black 18-29,All other,A few times a month,A few times a month/A few times a year,All others,Complete,1.0,,,,1.0,1.0,1.0,1.0,2.0,Some college or associate degree,3.0,2.0,2.0,3.0,Yes,1.0,1.0,2.0,2.0,,,,1.0,My candidates leadership/personal qualities,2.0,2.0,1.0,18-64,Democrat,Non black Democrat,All other,Democrat,Liberal,1.0,50002.0,2.0,American Indian,State questionnaire,Other,1.0,1.0,5.0,2.0,1.0,Midwest,Protestant/Other Non-Catholic Christian,Other Christian,9.0,1.0,3.0,1.0,1.0,Male,Non black male,All other races,Non white male,Non white,1.0,2.0,1.0,"Cities 50,000-500,000","Cities over 50,000",South Dakota,Telephone survey,9.0,9.0,9.0,3.0,6.0,3.0,2.0,2.0,Barack Obama did,Version 1,Non-white,1.0,1.0,2.0,2.0,13.0,1.0,17-64,Low Density Rural,Urban,Urban Core,Very upscale,57702.0,5.07995367050171
3707324.0,,,,,,,Once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,1.0,,,,1.0,1.0,1.0,1.0,2.0,High school graduate,3.0,2.0,4.0,1.0,Yes,1.0,1.0,2.0,1.0,,,,1.0,My candidates position on the issues,1.0,2.0,1.0,,Democrat,,,Democrat,Liberal,1.0,50003.0,1.0,,State questionnaire,,3.0,2.0,9.0,1.0,1.0,Midwest,Protestant/Other Non-Catholic Christian,Protestant,9.0,1.0,1.0,2.0,1.0,Female,,,,,1.0,2.0,1.0,"Cities 50,000-500,000","Cities over 50,000",South Dakota,Telephone survey,9.0,9.0,9.0,3.0,6.0,3.0,9.0,9.0,Omit,Version 1,Non-white,,,,,,1.0,,Suburb,Urban,Urban Core,Very upscale,57103.0,0.239690959453583
3707316.0,60+,60+,65+,65-74,Non black 60+,White 60+,Once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,1.0,,,,1.0,1.0,1.0,1.0,2.0,High school graduate,3.0,2.0,4.0,2.0,No,1.0,1.0,2.0,1.0,,,,1.0,My candidates leadership/personal qualities,1.0,1.0,1.0,65+,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,50001.0,4.0,White,State questionnaire,White,3.0,2.0,2.0,2.0,1.0,Midwest,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,1.0,2.0,1.0,Female,Non black female,White women,White female,White female,1.0,2.0,1.0,"Cities 10,000-50,000",Small Cities/Rural,South Dakota,Telephone survey,9.0,9.0,9.0,3.0,6.0,3.0,9.0,9.0,Omit,Version 1,Protestant/Other Christian,4.0,4.0,6.0,8.0,4.0,1.0,65+,Low Density Rural,Rural,Rural,Upscale,57201.0,0.669920206069946
3707312.0,60+,60+,65+,65-74,Non black 60+,White 60+,A few times a month,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,1.0,,,,1.0,1.0,1.0,1.0,2.0,High school graduate,3.0,2.0,4.0,2.0,No,1.0,1.0,2.0,1.0,Less than 100k,Less than 50k,"$15,000-$29,999",9.0,My candidates position on the issues,1.0,1.0,1.0,65+,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,50001.0,9.0,White,State questionnaire,White,3.0,2.0,2.0,1.0,1.0,Midwest,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,1.0,2.0,1.0,Female,Non black female,White women,White female,White female,1.0,2.0,1.0,"Cities 10,000-50,000",Small Cities/Rural,South Dakota,Telephone survey,9.0,9.0,9.0,3.0,6.0,3.0,4.0,2.0,Barack Obama did not,Version 1,Protestant/Other Christian,4.0,4.0,6.0,8.0,4.0,1.0,65+,Low Density Rural,Rural,Rural,Very upscale,57401.0,0.669920206069946
3707311.0,60+,60+,65+,65-74,Non black 60+,White 60+,A few times a month,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,1.0,,,,1.0,1.0,1.0,1.0,2.0,High school graduate,2.0,1.0,3.0,1.0,Yes,1.0,1.0,2.0,1.0,,,,2.0,My candidates position on the issues,2.0,1.0,1.0,65+,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,50003.0,4.0,White,State questionnaire,White,3.0,2.0,2.0,1.0,1.0,Midwest,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,1.0,2.0,1.0,Female,Non black female,White women,White female,White female,1.0,2.0,1.0,Rural,Small Cities/Rural,South Dakota,Telephone survey,9.0,9.0,9.0,3.0,6.0,3.0,3.0,1.0,Barack Obama did,Version 1,Protestant/Other Christian,4.0,4.0,6.0,8.0,4.0,1.0,65+,Extremely Low Density Rural,Rural,Rural,Downscale,57313.0,0.652209281921387
3707310.0,60+,60+,65+,65-74,Non black 60+,White 60+,Omit,Omit,Protestant/Do not attend weekly,Complete,9.0,,,,1.0,1.0,1.0,1.0,2.0,High school graduate,3.0,2.0,4.0,1.0,No,1.0,3.0,1.0,1.0,,,,2.0,My candidates leadership/personal qualities,1.0,1.0,1.0,65+,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,50003.0,9.0,White,State questionnaire,White,3.0,2.0,2.0,2.0,1.0,Midwest,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,3.0,1.0,1.0,Female,Non black female,White women,White female,White female,1.0,1.0,3.0,"Cities 50,000-500,000","Cities over 50,000",South Dakota,Telephone survey,9.0,9.0,9.0,3.0,6.0,3.0,9.0,9.0,Omit,Version 1,Protestant/Other Christian,4.0,4.0,6.0,8.0,4.0,9.0,65+,Suburb,Urban,Urban Core,Very upscale,57103.0,0.652209281921387
3707309.0,60+,60+,65+,65-74,Non black 60+,White 60+,A few times a month,A few times a month/A few times a year,All others,Complete,1.0,,,,1.0,1.0,1.0,1.0,2.0,Some college or associate degree,3.0,2.0,4.0,2.0,No,1.0,3.0,1.0,2.0,,,,1.0,My candidates position on the issues,9.0,1.0,1.0,65+,Independent/Something else,Non black non Democrat,White Independents,Independent,Moderate,3.0,50001.0,2.0,White,State questionnaire,White,3.0,2.0,2.0,1.0,1.0,Midwest,Protestant/Other Non-Catholic Christian,Other Christian,1.0,1.0,1.0,2.0,1.0,Female,Non black female,White women,White female,White female,1.0,1.0,3.0,"Cities 10,000-50,000",Small Cities/Rural,South Dakota,Telephone survey,9.0,9.0,9.0,3.0,6.0,3.0,4.0,2.0,Barack Obama did not,Version 1,Protestant/Other Christian,4.0,4.0,6.0,8.0,4.0,1.0,65+,Low Density Rural,Rural,Rural,Upscale,57201.0,0.669920206069946
