ID,ATTEND,ATTEND2,ATTREL,BACKSIDE,BREAKDEM,BREAKDM2,CALL,CDNUM,CHIEFDLA,COLLEDUC,DPRS08,EDUC,FTEVER,FTPRIM,FTVOTEP,GEOCODE,GETAHEAD,HSEDUC,INC100K,INC50K,INCOME07,ISSIA08D,LATINO,MARRIED,NEC,NEC2,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08D,QRACEAI,QTYPE,RACE,READYBLACK,READYBL2,READYWOMAN,READYWM2,REGION,REL5,RELIGN8,RELWHITE,SATCLIN,SATISDEM,SATOBAM,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWED,SEXWHITE,SIZEPLAC,SIZEPLC3,STANUM,TELEPOLL,TIME3D,TIMEPR,TIMEWK,UNFAIRSC,UNFRCLIN,UNFROBAM,UNION4,UNIONHH,UNIONMEM,UNIONVOT,UNITELA,VADPRS08,VERSION,WHITEREL,WOMENWED,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
1164092.0,Once a week,More than once a week/Once a week,All others,Complete,1.0,1.0,Call 3,1.0,1.0,1.0,2.0,Did not complete high school,2.0,2.0,1.0,3.0,3.0,1.0,Less than 100k,50k or more,"$50,000-$74,999",3.0,No,Yes,Not so good,Not so good/Poor,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,31.0,3.0,White,State questionnaire,White,2.0,1.0,1.0,1.0,South,Protestant/Other Non-Catholic Christian,Other Christian,1.0,1.0,1.0,2.0,Male,Non black male,White men,White male,Married men,White male,Suburbs,Suburbs, Virginia,Election day exit poll,2.0,5.0,2.0,9.0,9.0,Omit,No one does,No,No,No,1.0,1.0,Version 1,Protestant/Other Christian,2.0,2.0,2.0,3.0,3.0,2.0,17-64,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,23072.0,0.753997325897217
1164084.0,A few times a year,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,3.0,2.0,Call 3,1.0,1.0,1.0,2.0,Some college or associate degree,2.0,2.0,1.0,3.0,2.0,2.0,100k or more,50k or more,"$150,000-$199,999",1.0,No,No,Not so good,Not so good/Poor,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,31.0,3.0,White,State questionnaire,White,1.0,1.0,1.0,1.0,South,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,3.0,1.0,Male,Non black male,White men,White male,Non-married men,White male,Suburbs,Suburbs, Virginia,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,1.0,1.0,Version 1,Protestant/Other Christian,2.0,3.0,3.0,5.0,6.0,3.0,17-64,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,23072.0,0.753997325897217
1164061.0,A few times a year,A few times a month/A few times a year,All others,Complete,4.0,2.0,Call 3,1.0,1.0,1.0,2.0,High school graduate,2.0,2.0,1.0,3.0,3.0,1.0,Less than 100k,Less than 50k,"$30,000-$49,999",3.0,No,Yes,Poor,Not so good/Poor,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,1.0,31.0,2.0,White,State questionnaire,White,4.0,2.0,1.0,1.0,South,Protestant/Other Non-Catholic Christian,Other Christian,1.0,1.0,1.0,2.0,Male,Non black male,White men,White male,Married men,White male,Suburbs,Suburbs, Virginia,Election day exit poll,2.0,5.0,2.0,2.0,2.0,Barack Obama did,No one does,No,No,No,1.0,1.0,Version 1,Protestant/Other Christian,2.0,4.0,4.0,6.0,8.0,4.0,65+,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,23072.0,0.783657371997833
1164053.0,Never,Never,All others,Complete,3.0,2.0,Call 3,1.0,1.0,2.0,2.0,College graduate,2.0,1.0,2.0,3.0,2.0,2.0,100k or more,50k or more,"$100,000-$149,999",2.0,No,No,Good,Excellent/Good,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,31.0,3.0,White,State questionnaire,White,3.0,2.0,1.0,1.0,South,None,None,5.0,1.0,1.0,2.0,Female,Non black female,White women,White female,Non-married women,White female,Suburbs,Suburbs, Virginia,Election day exit poll,2.0,3.0,1.0,9.0,9.0,Omit,No one does,No,No,No,1.0,1.0,Version 1,None,2.0,3.0,3.0,5.0,6.0,3.0,17-64,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,23072.0,0.773890197277069
1162691.0,A few times a year,A few times a month/A few times a year,All others,Complete,3.0,2.0,Call 2,8.0,1.0,2.0,2.0,College graduate,2.0,2.0,1.0,1.0,2.0,2.0,100k or more,50k or more,"$150,000-$199,999",2.0,No,Yes,Poor,Not so good/Poor,Independent/Something else,Non black non Democrat,White Independents,Independent,Moderate,3.0,23.0,3.0,White,State questionnaire,White,2.0,1.0,2.0,1.0,South,None,None,5.0,1.0,1.0,2.0,Female,Non black female,White women,White female,Married women,White female,"Cities 50,000-500,000","Cities over 50,000", Virginia,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,1.0,1.0,Version 1,None,1.0,3.0,3.0,5.0,6.0,3.0,17-64,Suburb,Urban,Urban Core,Very upscale,20191.0,1.27081573009491
1163605.0,,,,Not complete,1.0,1.0,Call 3,11.0,,,2.0,,,,,1.0,,,,,,2.0,Yes,,Not so good,Not so good/Poor,,,,,,,48.0,1.0,Hispanic/Latino,State questionnaire,Hispanic/Latino,,,,,South,,,,,,,Male,Non black male,Latino men,Non white male,,Non white,Suburbs,Suburbs, Virginia,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,,1.0,Version 1,,,1.0,1.0,1.0,1.0,9.0,17-64,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,20112.0,1.24098789691925
1164037.0,Never,Never,All others,Complete,1.0,1.0,Call 3,1.0,1.0,2.0,2.0,College graduate,2.0,2.0,1.0,3.0,1.0,2.0,100k or more,50k or more,"$150,000-$199,999",1.0,No,Yes,Poor,Not so good/Poor,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,1.0,31.0,1.0,White,State questionnaire,White,4.0,2.0,1.0,1.0,South,None,None,5.0,1.0,1.0,2.0,Female,Non black female,White women,White female,Married women,White female,Suburbs,Suburbs, Virginia,Election day exit poll,2.0,5.0,2.0,2.0,2.0,Barack Obama did,No one does,No,No,No,1.0,1.0,Version 1,None,1.0,2.0,2.0,4.0,4.0,2.0,17-64,Suburb,70s Suburbs,Low-Growth Suburban Perimeter,Downscale,23072.0,0.773890197277069
1162675.0,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,9.0,9.0,Call 2,8.0,1.0,2.0,2.0,Postgraduate study,2.0,2.0,1.0,1.0,3.0,2.0,Less than 100k,Less than 50k,"$30,000-$49,999",1.0,,Yes,Poor,Not so good/Poor,Democrat,Non black Democrat,White Democrats,Democrat,,,23.0,3.0,White,State questionnaire,White,3.0,2.0,1.0,1.0,South,Catholic,Catholic,2.0,1.0,1.0,2.0,Male,Non black male,White men,White male,Married men,White male,"Cities 50,000-500,000","Cities over 50,000", Virginia,Election day exit poll,2.0,5.0,2.0,2.0,2.0,Barack Obama did,No one does,No,No,No,1.0,1.0,Version 1,Catholic,2.0,4.0,4.0,6.0,8.0,4.0,65+,Suburb,Urban,Urban Core,Very upscale,20191.0,1.28685450553894
1162663.0,A few times a year,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,4.0,2.0,Call 2,10.0,1.0,2.0,2.0,Postgraduate study,2.0,1.0,2.0,1.0,2.0,2.0,100k or more,50k or more,"$150,000-$199,999",1.0,No,Yes,Not so good,Not so good/Poor,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,17.0,4.0,White,State questionnaire,White,2.0,1.0,2.0,1.0,South,Catholic,Catholic,2.0,1.0,3.0,1.0,Female,Non black female,White women,White female,Married women,White female,Suburbs,Suburbs, Virginia,Election day exit poll,2.0,5.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,1.0,1.0,Version 1,Catholic,1.0,2.0,2.0,4.0,4.0,2.0,17-64,High Density Urban,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,22033.0,1.01434755325317
1162662.0,A few times a year,A few times a month/A few times a year,All others,Complete,3.0,2.0,Call 2,6.0,1.0,2.0,2.0,Postgraduate study,2.0,2.0,1.0,3.0,3.0,2.0,Less than 100k,50k or more,"$50,000-$74,999",1.0,No,Yes,Not so good,Not so good/Poor,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,73.0,3.0,White,State questionnaire,White,2.0,1.0,2.0,1.0,South,Protestant/Other Non-Catholic Christian,Other Christian,1.0,1.0,3.0,1.0,Male,Non black male,White men,White male,Married men,White male,"Cities 50,000-500,000","Cities over 50,000", Virginia,Election day exit poll,2.0,4.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,1.0,1.0,Version 1,Protestant/Other Christian,2.0,3.0,4.0,5.0,7.0,4.0,17-64,Suburb,Urban,Urban Core,Very upscale,24503.0,0.84186452627182
1163581.0,A few times a year,A few times a month/A few times a year,All others,Complete,4.0,2.0,Call 3,7.0,1.0,2.0,2.0,Postgraduate study,1.0,1.0,3.0,3.0,2.0,2.0,Less than 100k,50k or more,"$50,000-$74,999",1.0,No,Yes,Good,Excellent/Good,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,35.0,3.0,White,State questionnaire,White,1.0,1.0,1.0,1.0,South,Protestant/Other Non-Catholic Christian,Other Christian,1.0,1.0,3.0,1.0,Female,Non black female,White women,White female,Married women,White female,Suburbs,Suburbs, Virginia,Election day exit poll,2.0,3.0,1.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,2.0,1.0,Version 1,Protestant/Other Christian,1.0,2.0,2.0,3.0,3.0,2.0,17-64,Suburb,80s Suburbs,Urban Perimeter,Very upscale,23060.0,0.88836932182312
1162655.0,More than once a week,More than once a week/Once a week,All others,Complete,2.0,1.0,Call 2,9.0,1.0,1.0,2.0,High school graduate,2.0,2.0,1.0,4.0,3.0,1.0,Less than 100k,Less than 50k,"$15,000-$29,999",1.0,No,Yes,Poor,Not so good/Poor,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,55.0,1.0,White,State questionnaire,White,3.0,2.0,1.0,1.0,South,Protestant/Other Non-Catholic Christian,Other Christian,1.0,1.0,1.0,2.0,Female,Non black female,White women,White female,Married women,White female,Suburbs,Suburbs, Virginia,Election day exit poll,2.0,5.0,2.0,3.0,1.0,Barack Obama did,"Yes, someone else does",Yes,"Member in household, but not voter",No,1.0,1.0,Version 1,Protestant/Other Christian,1.0,3.0,3.0,5.0,6.0,3.0,17-64,Extremely Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Very downscale,24250.0,2.72487711906433
1162645.0,Once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,2.0,1.0,Call 2,1.0,1.0,2.0,2.0,Postgraduate study,2.0,2.0,1.0,1.0,2.0,2.0,100k or more,50k or more,"$100,000-$149,999",1.0,No,Yes,Good,Excellent/Good,Republican,Non black non Democrat,All Republicans,Republican,Moderate,3.0,47.0,4.0,White,State questionnaire,White,1.0,1.0,1.0,1.0,South,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,1.0,2.0,Male,Non black male,White men,White male,Married men,White male,Suburbs,Suburbs, Virginia,Election day exit poll,1.0,2.0,1.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,1.0,1.0,Version 1,Protestant/Other Christian,2.0,3.0,3.0,5.0,6.0,3.0,17-64,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,22193.0,1.48504638671875
1162635.0,Once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,1.0,1.0,Call 2,1.0,1.0,2.0,2.0,College graduate,2.0,2.0,1.0,1.0,1.0,2.0,100k or more,50k or more,"$100,000-$149,999",2.0,No,Yes,Good,Excellent/Good,Republican,Non black non Democrat,All Republicans,Republican,Conservative,5.0,47.0,1.0,White,State questionnaire,White,1.0,1.0,1.0,1.0,South,Protestant/Other Non-Catholic Christian,Protestant,1.0,1.0,1.0,2.0,Female,Non black female,White women,White female,Married women,White female,Suburbs,Suburbs, Virginia,Election day exit poll,1.0,1.0,1.0,3.0,1.0,Barack Obama did,No one does,No,No,No,1.0,1.0,Version 1,Protestant/Other Christian,1.0,3.0,3.0,4.0,5.0,3.0,17-64,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,22193.0,1.52422666549683
1162628.0,Once a week,More than once a week/Once a week,All others,Complete,3.0,2.0,Call 2,6.0,1.0,1.0,2.0,High school graduate,2.0,2.0,1.0,3.0,2.0,1.0,,,,3.0,No,Yes,Poor,Not so good/Poor,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,5.0,3.0,White,State questionnaire,White,4.0,2.0,2.0,1.0,South,Protestant/Other Non-Catholic Christian,Other Christian,1.0,1.0,1.0,2.0,Female,Non black female,White women,White female,Married women,White female,Suburbs,Suburbs, Virginia,Election day exit poll,1.0,2.0,1.0,2.0,2.0,Barack Obama did,No one does,No,No,No,1.0,1.0,Version 1,Protestant/Other Christian,1.0,4.0,4.0,6.0,9.0,4.0,65+,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Downscale,24122.0,0.770382523536682
1162624.0,Never,Never,All others,Complete,3.0,2.0,Call 2,1.0,1.0,2.0,2.0,Postgraduate study,2.0,2.0,1.0,1.0,2.0,2.0,100k or more,50k or more,"$150,000-$199,999",1.0,No,Yes,Not so good,Not so good/Poor,Democrat,Non black Democrat,All other,Democrat,Moderate,3.0,47.0,3.0,Asian,State questionnaire,Asian,1.0,1.0,1.0,1.0,South,,,9.0,1.0,1.0,2.0,Male,Non black male,All other races,Non white male,Married men,Non white,Suburbs,Suburbs, Virginia,Election day exit poll,2.0,5.0,2.0,2.0,2.0,Barack Obama did,No one does,No,No,No,1.0,1.0,Version 1,Non-white,2.0,3.0,3.0,4.0,5.0,13.0,17-64,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Upscale,22193.0,1.48504638671875
1163970.0,A few times a month,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,3.0,2.0,Call 3,10.0,1.0,2.0,2.0,College graduate,2.0,1.0,2.0,1.0,2.0,2.0,100k or more,50k or more,"$150,000-$199,999",1.0,No,Yes,Not so good,Not so good/Poor,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,36.0,3.0,White,State questionnaire,White,2.0,1.0,2.0,1.0,South,Catholic,Catholic,2.0,1.0,3.0,1.0,Female,Non black female,White women,White female,Married women,White female,Suburbs,Suburbs, Virginia,Election day exit poll,2.0,4.0,2.0,4.0,2.0,Barack Obama did not,No one does,No,No,No,2.0,1.0,Version 1,Catholic,1.0,1.0,1.0,2.0,2.0,1.0,17-64,Low Density Rural,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,20152.0,1.11955201625824
1162616.0,Once a week,More than once a week/Once a week,All others,Complete,2.0,1.0,Call 2,6.0,1.0,2.0,2.0,College graduate,2.0,2.0,1.0,3.0,1.0,2.0,Less than 100k,50k or more,"$75,000-$99,999",1.0,No,Yes,Not so good,Not so good/Poor,Democrat,Non black Democrat,White Democrats,Democrat,Conservative,5.0,5.0,3.0,White,State questionnaire,White,4.0,2.0,2.0,1.0,South,Something else,Something else,4.0,1.0,1.0,2.0,Male,Non black male,White men,White male,Married men,White male,Suburbs,Suburbs, Virginia,Election day exit poll,2.0,4.0,2.0,4.0,2.0,Barack Obama did not,"Yes, I do",Yes,I am,Yes,1.0,1.0,Version 1,Something else,2.0,2.0,2.0,4.0,4.0,2.0,17-64,Low Density Rural,70s Suburbs,High-Growth Suburban Perimeter,Downscale,24122.0,0.722171723842621
1163957.0,Once a week,More than once a week/Once a week,All others,Complete,2.0,1.0,Call 3,9.0,1.0,1.0,2.0,High school graduate,2.0,2.0,1.0,4.0,2.0,1.0,Less than 100k,50k or more,"$50,000-$74,999",3.0,No,Yes,Not so good,Not so good/Poor,Democrat,Non black Democrat,White Democrats,Democrat,Moderate,3.0,62.0,3.0,White,State questionnaire,White,4.0,2.0,1.0,1.0,South,Protestant/Other Non-Catholic Christian,Other Christian,1.0,1.0,1.0,2.0,Female,Non black female,White women,White female,Married women,White female,"Cities 10,000-50,000",Small Cities/Rural, Virginia,Election day exit poll,2.0,5.0,2.0,2.0,2.0,Barack Obama did,No one does,No,No,No,1.0,1.0,Version 1,Protestant/Other Christian,1.0,3.0,3.0,4.0,5.0,3.0,17-64,Low Density Rural,Rural,Rural,Very downscale,24202.0,1.06723523139954
1163953.0,A few times a year,A few times a month/A few times a year,All others,Complete,4.0,2.0,Call 3,10.0,1.0,1.0,2.0,Some college or associate degree,1.0,1.0,3.0,1.0,2.0,2.0,100k or more,50k or more,"$200,000 or more",1.0,No,No,Not so good,Not so good/Poor,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,2.0,16.0,3.0,White,State questionnaire,White,1.0,1.0,1.0,1.0,South,Something else,Something else,4.0,1.0,3.0,1.0,Female,Non black female,White women,White female,Non-married women,White female,Suburbs,Suburbs, Virginia,Election day exit poll,2.0,4.0,2.0,3.0,1.0,Barack Obama did,No one does,No,No,No,2.0,1.0,Version 1,Something else,2.0,1.0,1.0,1.0,1.0,1.0,17-64,Suburb,80s Suburbs,High-Growth Suburban Perimeter,Very upscale,22066.0,1.0362024307251
