ID,ABORT2,ABORTION,AGE3,AGE60,AGE65,AGE9,AGEBLACK,AGEBYRACE,ATTEND,ATTEND2,ATTREL,BACKSIDE,BREAKREP,BREAKRP2,BRNAGAIN,BUSHANG08,BUSHANG2,CALL,CDNUM,CHIEFREPAL,COLLEDUC,ECONREP,EDUC,GEOCODE,HSEDUC,ILRPRS08,IMMPRIME,INC100K,INC50K,INCOME07,IRAQWAR,IRAQWAR2,ISSIA08R,ISSVQUAL,LATINO,LATINOS,NEC,NEC2,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYID,PHIL3,PHIL5,PRECINCT,QLTNH08R,QRACEAI,QTYPE,RACE,REGION,REL5,RELIGN8,RELWHITE,RPRS08,RPRS08ST,SEX,SEXBLACK,SEXBYRACE,SEXRACE,SEXWHITE,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,TELEPOLL,TIME3D,TIMEPR,TIMEWK,VERSION,VETVOTER,WHITEREL,WHTEVANG,WPROTBRN,XAGE,XAGE60,XAGE65,XAGE9,XAGEBYRACE,XOVER65,ZCODE1,ZCODE2,ZCODE3,ZCODE4,ZIPCODE,WEIGHT
1122635.0,2.0,4.0,60+,60+,65+,65-74,Non black 60+,White 60+,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,1.0,1.0,Yes,2.0,1.0,Call 3,17.0,3.0,1.0,3.0,Some college or associate degree,4.0,2.0,3.0,2.0,Less than 100k,Less than 50k,"$30,000-$49,999",Strongly approve,Approve,2.0,My candidates position on the issues,,,Not so good,Not so good/Poor,65+,Republican,Non black non Democrat,All Republicans,Republican,Conservative,5.0,1.0,1.0,White,State questionnaire,White,Midwest,Catholic,Catholic,2.0,4.0,3.0,Male,Non black male,White men,White male,White male,"Cities 10,000-50,000",Small Cities/Rural,, Illinois,Election day exit poll,2.0,5.0,2.0,Version 1,Yes,Catholic,White Born-again/Evangelical Christians,All others,4.0,4.0,6.0,8.0,4.0,65+,Town,Rural,Rural,Downscale,62301.0,1.64046478271484
1123018.0,1.0,2.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,,,,Not complete,2.0,1.0,,3.0,2.0,Call 3,7.0,,,,,1.0,,4.0,,,,,,,3.0,My candidates position on the issues,,,,,18-64,,,,,,,111.0,1.0,White,State questionnaire,White,Midwest,,,,6.0,4.0,Male,Non black male,White men,White male,White male,"Cities over 500,000","Cities over 50,000",, Illinois,Election day exit poll,2.0,4.0,2.0,Version 1,No,,,,3.0,3.0,5.0,6.0,3.0,17-64,High Density Urban,Urban,Urban Core,Very downscale,60612.0,0.434369683265686
1123393.0,2.0,3.0,30-59,45-59,50-64,50-59,Non black 45-59,White 45-59,A few times a year,A few times a month/A few times a year,All others,Complete,2.0,1.0,Yes,3.0,2.0,Call 3,18.0,3.0,1.0,3.0,High school graduate,4.0,1.0,3.0,1.0,Less than 100k,Less than 50k,"$30,000-$49,999",Somewhat approve,Approve,3.0,My candidates position on the issues,,,Poor,Not so good/Poor,18-64,Republican,Non black non Democrat,All Republicans,Republican,Moderate,3.0,93.0,2.0,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Other Christian,1.0,4.0,3.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs,, Illinois,Election day exit poll,2.0,5.0,2.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,3.0,3.0,5.0,6.0,3.0,17-64,Extremely Low Density Rural,60s Suburbs,Low-Growth Suburban Perimeter,Downscale,61516.0,0.684666931629181
1123742.0,2.0,3.0,60+,60+,50-64,60-64,Non black 60+,White 60+,Once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,1.0,1.0,Yes,1.0,1.0,Call 3,15.0,1.0,1.0,1.0,Some college or associate degree,5.0,2.0,2.0,1.0,Less than 100k,Less than 50k,"$30,000-$49,999",Somewhat disapprove,Disapprove,2.0,My candidates leadership/personal qualities,,,Not so good,Not so good/Poor,18-64,Democrat,Non black Democrat,White Democrats,Democrat,Liberal,1.0,10.0,2.0,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Protestant,1.0,2.0,2.0,Female,Non black female,White women,White female,White female,"Cities 10,000-50,000",Small Cities/Rural,, Illinois,Election day exit poll,1.0,2.0,1.0,Version 1,No,Protestant/Other Christian,White Born-again/Evangelical Christians,White/Protestant/Other Christian/Born Again/Evangelical,3.0,4.0,5.0,7.0,4.0,17-64,Low Density Rural,Rural,Rural,Downscale,61920.0,0.570870757102966
1123863.0,9.0,9.0,,,,,,,,,,Not complete,9.0,9.0,,9.0,9.0,Call 3,6.0,,,,,3.0,,3.0,,,,,,,4.0,Omit,,,,,,,,,,,,17.0,9.0,White,State questionnaire,White,Midwest,,,,4.0,3.0,Female,Non black female,White women,White female,White female,Suburbs,Suburbs,, Illinois,Election day exit poll,2.0,5.0,2.0,Version 1,,,,,,,,,,,High Density Urban,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,60187.0,0.925799787044525
1124895.0,9.0,9.0,30-59,45-59,40-49,45-49,Non black 45-59,White 45-59,Once a week,More than once a week/Once a week,All others,Complete,3.0,2.0,,3.0,2.0,Call 3,6.0,5.0,2.0,5.0,College graduate,3.0,2.0,5.0,9.0,,,,Omit,Omit,3.0,My candidates leadership/personal qualities,,,Good,Excellent/Good,18-64,Republican,Non black non Democrat,All Republicans,Republican,Moderate,3.0,17.0,2.0,White,State questionnaire,White,Midwest,Protestant/Other Non-Catholic Christian,Other Christian,1.0,7.0,5.0,Male,Non black male,White men,White male,White male,Suburbs,Suburbs,, Illinois,Election day exit poll,2.0,4.0,2.0,Version 1,,Protestant/Other Christian,All others,,3.0,3.0,4.0,5.0,3.0,17-64,High Density Urban,70s Suburbs,Low-Growth Suburban Perimeter,Very upscale,60187.0,1.10430121421814
1116792.0,1.0,2.0,18-29,18-29,18-24,18-24,Non black 18-29,All other,A few times a month,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,2.0,1.0,Yes,3.0,2.0,Call 2,16.0,3.0,,5.0,,4.0,,4.0,2.0,,,,Somewhat approve,Approve,3.0,Omit,No,No (Spanish speaking),Not so good,Not so good/Poor,18-64,Independent/Something else,Non black non Democrat,All other,Something else,Conservative,4.0,89.0,3.0,American Indian,State questionnaire,Other,Midwest,Catholic,Catholic,9.0,6.0,4.0,Male,Non black male,All other races,Non white male,Non white,Suburbs,Suburbs,Spanish, Illinois,Election day exit poll,1.0,1.0,1.0,Version 1,No,Non-white,All others,All others,1.0,1.0,1.0,1.0,13.0,17-64,Suburb,70s Suburbs,Urban Perimeter,Upscale,61111.0,0.696010410785675
1105032.0,2.0,4.0,60+,60+,65+,65-74,Non black 60+,Latino 60+,More than once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,4.0,2.0,Yes,1.0,1.0,Call 1,4.0,2.0,2.0,2.0,College graduate,1.0,2.0,2.0,1.0,Less than 100k,50k or more,"$75,000-$99,999",Strongly approve,Approve,4.0,My candidates position on the issues,Yes,Yes,Good,Excellent/Good,65+,Independent/Something else,Non black non Democrat,Latino Independents,Independent,Moderate,3.0,112.0,2.0,Hispanic/Latino,State questionnaire,Hispanic/Latino,Midwest,Protestant/Other Non-Catholic Christian,Protestant,9.0,2.0,2.0,Male,Non black male,Latino men,Non white male,Non white,"Cities over 500,000","Cities over 50,000",English, Illinois,Election day exit poll,2.0,5.0,2.0,Version 1,No,Non-white,All others,All others,4.0,4.0,6.0,8.0,12.0,65+,Extremely High Density Urban,Urban,Urban Core,Very downscale,60651.0,0.188244983553886
1105034.0,2.0,4.0,60+,60+,65+,65-74,Non black 60+,Latino 60+,More than once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,4.0,2.0,Yes,1.0,1.0,Call 1,4.0,2.0,2.0,2.0,College graduate,1.0,2.0,2.0,1.0,Less than 100k,50k or more,"$75,000-$99,999",Strongly approve,Approve,4.0,My candidates position on the issues,Yes,Yes,Good,Excellent/Good,65+,Independent/Something else,Non black non Democrat,Latino Independents,Independent,Moderate,3.0,112.0,2.0,Hispanic/Latino,State questionnaire,Hispanic/Latino,Midwest,Protestant/Other Non-Catholic Christian,Protestant,9.0,2.0,2.0,Male,Non black male,Latino men,Non white male,Non white,"Cities over 500,000","Cities over 50,000",English, Illinois,Election day exit poll,2.0,5.0,2.0,Version 1,No,Non-white,All others,All others,4.0,4.0,6.0,8.0,12.0,65+,Extremely High Density Urban,Urban,Urban Core,Very downscale,60651.0,0.188244983553886
1106883.0,1.0,2.0,30-59,30-44,30-39,30-39,Non black 30-44,Latino 30-44,A few times a month,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,2.0,1.0,No,2.0,1.0,Call 1,3.0,3.0,2.0,3.0,College graduate,1.0,2.0,3.0,3.0,Less than 100k,50k or more,"$75,000-$99,999",Strongly approve,Approve,2.0,My candidates position on the issues,Yes,Yes,Not so good,Not so good/Poor,18-64,Democrat,Non black Democrat,Latino Democrats,Democrat,Moderate,3.0,109.0,3.0,Hispanic/Latino,State questionnaire,Hispanic/Latino,Midwest,Catholic,Catholic,9.0,4.0,3.0,Male,Non black male,Latino men,Non white male,Non white,"Cities over 500,000","Cities over 50,000",English, Illinois,Election day exit poll,2.0,5.0,2.0,Version 1,Yes,Non-white,All others,All others,2.0,2.0,3.0,3.0,10.0,17-64,High Density Urban,Urban,Urban Core,Downscale,60638.0,0.871183574199677
1114269.0,2.0,3.0,18-29,18-29,18-24,18-24,Non black 18-29,Latino 18-29,Once a week,More than once a week/Once a week,All others,Complete,2.0,1.0,No,3.0,2.0,Call 2,5.0,3.0,1.0,2.0,High school graduate,2.0,1.0,2.0,2.0,Less than 100k,Less than 50k,"$30,000-$49,999",Somewhat disapprove,Disapprove,3.0,My candidates leadership/personal qualities,Yes,Yes,Not so good,Not so good/Poor,18-64,Republican,Non black non Democrat,All Republicans,Republican,Conservative,5.0,131.0,1.0,White,State questionnaire,Hispanic/Latino,Midwest,Protestant/Other Non-Catholic Christian,Other Christian,9.0,2.0,2.0,Male,Non black male,Latino men,Non white male,Non white,Suburbs,Suburbs,English, Illinois,Election day exit poll,1.0,1.0,1.0,Version 1,No,Non-white,All others,All others,1.0,1.0,1.0,1.0,9.0,17-64,High Density Urban,60s Suburbs,Urban Perimeter,Downscale,60131.0,3.08381342887878
1114333.0,2.0,3.0,18-29,18-29,18-24,18-24,Non black 18-29,Latino 18-29,Once a week,More than once a week/Once a week,Catholic/Attend weekly,Complete,3.0,2.0,No,3.0,2.0,Call 2,5.0,2.0,1.0,2.0,High school graduate,2.0,1.0,2.0,1.0,Less than 100k,50k or more,"$50,000-$74,999",Strongly disapprove,Disapprove,3.0,My candidates leadership/personal qualities,Yes,Yes,Not so good,Not so good/Poor,18-64,Republican,Non black non Democrat,All Republicans,Republican,Conservative,4.0,131.0,2.0,White,State questionnaire,Hispanic/Latino,Midwest,Catholic,Catholic,9.0,2.0,2.0,Male,Non black male,Latino men,Non white male,Non white,Suburbs,Suburbs,English, Illinois,Election day exit poll,2.0,5.0,2.0,Version 1,No,Non-white,All others,All others,1.0,1.0,1.0,1.0,9.0,17-64,High Density Urban,60s Suburbs,Urban Perimeter,Downscale,60131.0,3.08381342887878
1114801.0,2.0,3.0,60+,60+,65+,65-74,Non black 60+,Latino 60+,More than once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,1.0,1.0,Yes,2.0,1.0,Call 2,15.0,3.0,2.0,3.0,Postgraduate study,5.0,2.0,3.0,2.0,Less than 100k,50k or more,"$75,000-$99,999",Somewhat approve,Approve,3.0,My candidates leadership/personal qualities,Yes,Yes,Not so good,Not so good/Poor,65+,Republican,Non black non Democrat,All Republicans,Republican,Liberal,2.0,12.0,3.0,White,State questionnaire,Hispanic/Latino,Midwest,Protestant/Other Non-Catholic Christian,Protestant,9.0,4.0,3.0,Male,Non black male,Latino men,Non white male,Non white,Rural,Small Cities/Rural,English, Illinois,Election day exit poll,2.0,5.0,2.0,Version 1,Yes,Non-white,All others,All others,4.0,4.0,6.0,8.0,12.0,65+,Low Density Rural,Rural,Rural,Downscale,62454.0,1.99513208866119
1114885.0,1.0,1.0,18-29,18-29,18-24,18-24,Non black 18-29,Latino 18-29,A few times a year,A few times a month/A few times a year,Catholic/Do not attend weekly,Complete,3.0,2.0,No,3.0,2.0,Call 2,17.0,3.0,1.0,3.0,Some college or associate degree,4.0,2.0,3.0,3.0,Less than 100k,Less than 50k,"$15,000-$29,999",Somewhat approve,Approve,3.0,My candidates position on the issues,Yes,Yes,Poor,Not so good/Poor,18-64,Democrat,Non black Democrat,Latino Democrats,Democrat,Liberal,2.0,60.0,1.0,Hispanic/Latino,State questionnaire,Hispanic/Latino,Midwest,Catholic,Catholic,9.0,4.0,3.0,Male,Non black male,Latino men,Non white male,Non white,Suburbs,Suburbs,English, Illinois,Election day exit poll,2.0,5.0,2.0,Version 1,No,Non-white,All others,All others,1.0,1.0,1.0,1.0,9.0,17-64,Suburb,60s Suburbs,Urban Perimeter,Downscale,61244.0,0.485336184501648
1114900.0,2.0,3.0,30-59,45-59,50-64,50-59,Non black 45-59,Latino 45-59,Once a week,More than once a week/Once a week,All others,Complete,2.0,1.0,Yes,1.0,1.0,Call 2,15.0,3.0,1.0,3.0,Some college or associate degree,5.0,2.0,3.0,1.0,100k or more,50k or more,"$100,000-$149,999",Strongly approve,Approve,1.0,My candidates leadership/personal qualities,Yes,Yes,Good,Excellent/Good,18-64,Republican,Non black non Democrat,All Republicans,Republican,Conservative,4.0,12.0,3.0,White,State questionnaire,Hispanic/Latino,Midwest,Protestant/Other Non-Catholic Christian,Other Christian,9.0,4.0,3.0,Male,Non black male,Latino men,Non white male,Non white,Rural,Small Cities/Rural,English, Illinois,Election day exit poll,2.0,5.0,2.0,Version 1,Yes,Non-white,All others,All others,3.0,3.0,5.0,6.0,11.0,17-64,Low Density Rural,Rural,Rural,Downscale,62454.0,1.87150228023529
1115429.0,1.0,2.0,60+,60+,65+,65-74,Non black 60+,Latino 60+,A few times a month,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,3.0,2.0,No,3.0,2.0,Call 2,5.0,3.0,1.0,3.0,Some college or associate degree,2.0,2.0,3.0,1.0,100k or more,50k or more,"$100,000-$149,999",Somewhat disapprove,Disapprove,3.0,My candidates position on the issues,Yes,Yes,Not so good,Not so good/Poor,65+,Independent/Something else,Non black non Democrat,Latino Independents,Independent,Liberal,2.0,133.0,3.0,White,State questionnaire,Hispanic/Latino,Midwest,Protestant/Other Non-Catholic Christian,Protestant,9.0,4.0,3.0,Male,Non black male,Latino men,Non white male,Non white,Suburbs,Suburbs,English, Illinois,Election day exit poll,2.0,5.0,2.0,Version 1,Yes,Non-white,All others,All others,4.0,4.0,6.0,8.0,12.0,65+,High Density Urban,60s Suburbs,Urban Perimeter,Downscale,60131.0,1.98583436012268
1115431.0,1.0,2.0,60+,60+,65+,65-74,Non black 60+,Latino 60+,A few times a month,A few times a month/A few times a year,Protestant/Do not attend weekly,Complete,3.0,2.0,No,3.0,2.0,Call 2,5.0,3.0,1.0,3.0,Some college or associate degree,2.0,2.0,3.0,1.0,100k or more,50k or more,"$100,000-$149,999",Somewhat disapprove,Disapprove,3.0,My candidates position on the issues,Yes,Yes,Not so good,Not so good/Poor,65+,Independent/Something else,Non black non Democrat,Latino Independents,Independent,Liberal,2.0,133.0,3.0,White,State questionnaire,Hispanic/Latino,Midwest,Protestant/Other Non-Catholic Christian,Protestant,9.0,4.0,3.0,Male,Non black male,Latino men,Non white male,Non white,Suburbs,Suburbs,English, Illinois,Election day exit poll,2.0,5.0,2.0,Version 1,Yes,Non-white,All others,All others,4.0,4.0,6.0,8.0,12.0,65+,High Density Urban,60s Suburbs,Urban Perimeter,Downscale,60131.0,1.98583436012268
1115675.0,1.0,1.0,18-29,18-29,18-24,18-24,Non black 18-29,Latino 18-29,A few times a year,A few times a month/A few times a year,All others,Complete,2.0,1.0,Yes,2.0,1.0,Call 2,4.0,3.0,1.0,3.0,Some college or associate degree,1.0,2.0,3.0,2.0,100k or more,50k or more,"$200,000 or more",Strongly approve,Approve,1.0,My candidates leadership/personal qualities,Yes,Yes,Good,Excellent/Good,18-64,Independent/Something else,Non black non Democrat,Latino Independents,Independent,Moderate,3.0,110.0,1.0,Hispanic/Latino,State questionnaire,Hispanic/Latino,Midwest,None,None,9.0,4.0,3.0,Male,Non black male,Latino men,Non white male,Non white,"Cities over 500,000","Cities over 50,000",English, Illinois,Election day exit poll,2.0,5.0,2.0,Version 1,No,Non-white,All others,All others,1.0,1.0,1.0,1.0,9.0,17-64,Extremely High Density Urban,Urban,Urban Core,Very downscale,60608.0,0.577956855297089
1115676.0,1.0,1.0,18-29,18-29,18-24,18-24,Non black 18-29,Latino 18-29,A few times a year,A few times a month/A few times a year,All others,Complete,2.0,1.0,Yes,2.0,1.0,Call 2,4.0,3.0,1.0,3.0,Some college or associate degree,1.0,2.0,3.0,2.0,100k or more,50k or more,"$200,000 or more",Strongly approve,Approve,1.0,My candidates leadership/personal qualities,Yes,Yes,Good,Excellent/Good,18-64,Independent/Something else,Non black non Democrat,Latino Independents,Independent,Moderate,3.0,110.0,1.0,Hispanic/Latino,State questionnaire,Hispanic/Latino,Midwest,None,None,9.0,4.0,3.0,Male,Non black male,Latino men,Non white male,Non white,"Cities over 500,000","Cities over 50,000",English, Illinois,Election day exit poll,2.0,5.0,2.0,Version 1,No,Non-white,All others,All others,1.0,1.0,1.0,1.0,9.0,17-64,Extremely High Density Urban,Urban,Urban Core,Very downscale,60608.0,0.577956855297089
1116285.0,2.0,3.0,60+,60+,65+,65-74,Non black 60+,Latino 60+,More than once a week,More than once a week/Once a week,Protestant/Attend weekly,Complete,1.0,1.0,Yes,4.0,2.0,Call 2,19.0,3.0,1.0,3.0,Some college or associate degree,5.0,2.0,3.0,1.0,100k or more,50k or more,"$100,000-$149,999",Strongly disapprove,Disapprove,3.0,My candidates position on the issues,Yes,Yes,Not so good,Not so good/Poor,65+,Republican,Non black non Democrat,All Republicans,Republican,Conservative,5.0,64.0,2.0,Black,State questionnaire,Hispanic/Latino,Midwest,Protestant/Other Non-Catholic Christian,Protestant,9.0,4.0,3.0,,,,,Non white,Rural,Small Cities/Rural,English, Illinois,Election day exit poll,2.0,5.0,2.0,Version 1,No,Non-white,All others,All others,4.0,4.0,6.0,8.0,12.0,65+,Low Density Rural,Rural,Rural,Very downscale,62946.0,1.30449557304382
