ID,WEIGHT,PRSGA24,ABORT2,ABORTION,AGE,AGE3,AGE4,AGE10,AGE45,AGE60,AGE65,AGEBLACK,AGEBYGENDER,AGEBYRACE,AGEBYRACE08,AGESEX45,BACKSIDE,BIDENPRES2,BIDENPRES4,BRNAGAIN,CALL,CDNUM,CHALLENGEELECTION,CHILD12,DEMOCRACYSECURE,DEMOCRACYSECURE2,EARLYVELECTION,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,EXTREMEHARRIS,EXTREMEPRES24,EXTREMETRUMP,FAIRELECTION,FAIRELECTION2,FAVHARRIS,FAVPRES24,FAVTRUMP,FINSIT,FORCAND24,GENDERBYSOP,GEOCODE,HANDLECRIME24,HANDLECRISIS24,HANDLERACEISS24,HURRICANEAID,ISSUE24,KEMP2,LATINO,NEC,NEC2,NEWVOTER,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QLT24,QRACE3,QRACEAI,QTYPE,RACE,RACE2,RACE2B,RACEAI,REGION,SEX,SEXBYRACE,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,TELEPOLL,TIME16,TIME16MONTH,TIME16WEEK,TRACKANGR,TRACKANGR2,VERSION,VETVOTER,VOTE2020,VOTEMETHOD,WHTEVANG,ZIPCODE
952.0,10.94800934,Donald Trump,Illegal,Illegal in most cases,30-44,30-59,35-49,35-39,18-44,30-44,30-39,Black 30-44,Men 30-44,Black 30-44,Black 30-44,Men 18-44,Complete,Strongly or somewhat disapprove,Strongly disapprove,,,8.0,Accept the results,No,,,Absentee or early in-person,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Yes,Only Harris,No,Somewhat confident,Very confident or Somewhat confident,,,,,,Urban men,4.0,Donald Trump,Donald Trump,Donald Trump,,,,No,Poor,Not so good or poor,No,18-64,Men without children,Independent/Something else,Black non-Democrat,Black Independent,Independent men,Something else,All others,Conservative,,Moderate/Liberal Republicans,Conservative Independents,,Black,Black,State questionnaire,Black,Black,Non-white,Black,South,Male,Black men,"Cities 50,000-500,000","Cities over 50,000",English, Georgia,Other,Telephone survey,In October,In the last month,Before that,,,Version 2,,Joe Biden,Early in-person,,31210.0
953.0,0.311367964,Donald Trump,Illegal,Illegal in most cases,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,,6.0,Accept the results,No,,,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,Yes,Only Harris,No,Somewhat confident,Very confident or Somewhat confident,,,,,,Urban men,3.0,Donald Trump,Donald Trump,Donald Trump,,,,No,Good,Excellent or good,No,65+,Men without children,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,White Republican,Conservative,,Independent/Something else,Conservative Republicans,,White,White,State questionnaire,White,Non-black,White,White,South,Male,White men,"Cities 50,000-500,000","Cities over 50,000",English, Georgia,Other,Telephone survey,In October,In the last month,Before that,,,Version 2,,Donald Trump,Early in-person,,30328.0
954.0,5.810769667,Donald Trump,Legal,Legal in most cases,18-29,18-29,18-34,25-29,18-44,18-29,25-29,Non-Black 18-29,Men 18-29,White 18-29,White 18-29,Men 18-44,Complete,Strongly or somewhat disapprove,Strongly disapprove,,,6.0,Accept the results,No,,,Absentee or early in-person,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,Yes,Both,Yes,Somewhat confident,Very confident or Somewhat confident,,,,,,Suburban men,3.0,Donald Trump,Donald Trump,Kamala Harris,,,,No,Not so good,Not so good or poor,No,18-64,Men without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,White,White,State questionnaire,White,Non-black,White,White,South,Male,White men,Suburbs,Suburbs,English, Georgia,White suburban men,Telephone survey,In October,In the last month,Before that,,,Version 2,,Did not vote,Early in-person,,30005.0
955.0,1.16909753,Kamala Harris,Legal,Legal in all cases,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Men 65+,Latino 60+,Latino 65+,Men 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,,8.0,Challenge the results,Yes,,,Absentee or early in-person,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,Omit,Omit,No,Not at all confident,Not very confident or Not at all confident,,,,,,Rural men,5.0,Kamala Harris,Kamala Harris,Kamala Harris,,,,Yes,Excellent,Excellent or good,Yes,65+,Men with children,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent men,Something else,All others,Liberal,,Moderate/Liberal Republicans,Liberal Independents,,Other,Other,State questionnaire,Hispanic/Latino,Non-black,Non-white,Hispanic/Latino,South,Male,Latino men,Rural,Small Cities/Rural,English, Georgia,Other,Telephone survey,In October,In the last month,Before that,,,Version 2,,Other,Early in-person,,31647.0
956.0,10.69637321,Donald Trump,Legal,Legal in most cases,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,,10.0,Accept the results,No,,,Absentee or early in-person,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,Yes,Only Harris,No,Not very confident,Not very confident or Not at all confident,,,,,,Suburban men,1.0,Donald Trump,Donald Trump,Donald Trump,,,,No,Not so good,Not so good or poor,No,65+,Men without children,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,White Republican,Conservative,,Independent/Something else,Conservative Republicans,,White,White,State questionnaire,White,Non-black,White,White,South,Male,White men,Suburbs,Suburbs,English, Georgia,White suburban men,Telephone survey,In October,In the last month,Before that,,,Version 2,,Donald Trump,By mail,,30650.0
958.0,0.244776937,Other,Legal,Legal in most cases,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,Strongly or somewhat approve,Somewhat approve,,,6.0,Accept the results,No,,,Absentee or early in-person,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Omit,Omit,Yes,Very confident,Very confident or Somewhat confident,,,,,,Suburban women,2.0,Donald Trump,Donald Trump,Kamala Harris,,,,No,Good,Excellent or good,No,65+,Women without children,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,Moderate,,Conservative Republicans,Mod./Liberal Republicans,,White,White,State questionnaire,White,Non-black,White,White,South,Female,White women,Suburbs,Suburbs,English, Georgia,White suburban women,Telephone survey,In October,In the last month,Before that,,,Version 2,,Donald Trump,Early in-person,,30188.0
959.0,0.697084518,Donald Trump,Legal,Legal in most cases,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,,10.0,Accept the results,No,,,Absentee or early in-person,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Yes,Only Harris,No,Very confident,Very confident or Somewhat confident,,,,,,Suburban women,1.0,Donald Trump,Donald Trump,Donald Trump,,,,No,Poor,Not so good or poor,No,65+,Women without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,,White,White,State questionnaire,White,Non-black,White,White,South,Female,White women,Suburbs,Suburbs,English, Georgia,White suburban women,Telephone survey,In October,In the last month,Before that,,,Version 2,,Donald Trump,Early in-person,,30677.0
960.0,1.109839406,Kamala Harris,Legal,Legal in most cases,45-65,30-59,50-64,50-59,45+,45-59,50-64,Non-Black 45-59,Women 45-64,White 45-59,White 45-64,Women 45+,Complete,Strongly or somewhat disapprove,Somewhat disapprove,,,1.0,Challenge the results,Yes,,,Absentee or early in-person,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,No,Neither,No,Somewhat confident,Very confident or Somewhat confident,,,,,,Suburban women,5.0,Kamala Harris,Kamala Harris,Kamala Harris,,,,No,Good,Excellent or good,No,18-64,Women with children,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Conservative,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,,White,White,State questionnaire,White,Non-black,White,White,South,Female,White women,Suburbs,Suburbs,English, Georgia,White suburban women,Telephone survey,In October,In the last month,Before that,,,Version 2,,Did not vote,Early in-person,,31320.0
961.0,0.444761755,Kamala Harris,Legal,Legal in all cases,65+,60+,65+,75 or older,45+,60+,65+,Black 60+,Women 65+,Black 60+,Black 65+,Women 45+,Complete,Strongly or somewhat approve,Strongly approve,,,4.0,Accept the results,No,,,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,No,Only Trump,Yes,Very confident,Very confident or Somewhat confident,,,,,,Suburban women,1.0,Kamala Harris,Kamala Harris,Kamala Harris,,,,No,Excellent,Excellent or good,No,65+,Women without children,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,,Black,Black,State questionnaire,Black,Black,Non-white,Black,South,Female,Black women,Suburbs,Suburbs,English, Georgia,Other,Telephone survey,In October,In the last month,Before that,,,Version 2,,Joe Biden,Early in-person,,30016.0
962.0,7.551730735,Donald Trump,Legal,Legal in all cases,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Women 65+,Latino 60+,Latino 65+,Women 45+,Complete,Strongly or somewhat disapprove,Somewhat disapprove,,,12.0,Accept the results,No,,,Absentee or early in-person,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,Omit,Omit,Omit,Omit,Omit,,,,,,Suburban women,4.0,Donald Trump,Donald Trump,Omit,,,,Yes,Not so good,Not so good or poor,No,65+,Women without children,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,All others,Moderate,,Conservative Republicans,Mod./Liberal Republicans,,Other,Asian,State questionnaire,Hispanic/Latino,Non-black,Non-white,Hispanic/Latino,South,Female,Latino women,Suburbs,Suburbs,English, Georgia,Other,Telephone survey,In October,In the last month,Before that,,,Version 2,,Donald Trump,Early in-person,,30815.0
963.0,0.176822396,Other,Legal,Legal in most cases,30-44,30-59,18-34,30-34,18-44,30-44,30-39,Non-Black 30-44,Women 30-44,Latino 30-44,Latino 30-44,Women 18-44,Complete,Strongly or somewhat disapprove,Strongly disapprove,,,7.0,Challenge the results,No,,,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,Yes,Both,Yes,Somewhat confident,Very confident or Somewhat confident,,,,,,Suburban women,2.0,Donald Trump,Donald Trump,Kamala Harris,,,,Yes,Not so good,Not so good or poor,No,18-64,Women without children,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent women,Independent,All others,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,Other,Black,State questionnaire,Hispanic/Latino,Black,Non-white,Hispanic/Latino,South,Female,Latino women,Suburbs,Suburbs,English, Georgia,Other,Telephone survey,In October,In the last month,Before that,,,Version 2,,Other,Early in-person,,30092.0
964.0,7.174078504,Donald Trump,Illegal,Illegal in most cases,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,,2.0,Challenge the results,No,,,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,Yes,Omit,Omit,Not very confident,Not very confident or Not at all confident,,,,,,Suburban women,4.0,Donald Trump,Donald Trump,Donald Trump,,,,No,Not so good,Not so good or poor,No,65+,Women without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,White,White,State questionnaire,White,Non-black,White,White,South,Female,White women,Suburbs,Suburbs,English, Georgia,White suburban women,Telephone survey,In October,In the last month,Before that,,,Version 2,,Donald Trump,Early in-person,,31831.0
965.0,1.606468941,Donald Trump,Illegal,Illegal in most cases,45-65,30-59,50-64,60-64,45+,45-59,50-64,Non-Black 45-59,Women 45-64,White 45-59,White 45-64,Women 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,,1.0,Accept the results,No,,,Absentee or early in-person,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Yes,Only Harris,No,Very confident,Very confident or Somewhat confident,,,,,,Urban women,5.0,Donald Trump,Donald Trump,Donald Trump,,,,No,Poor,Not so good or poor,No,18-64,Women without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,White,White,State questionnaire,White,Non-black,White,White,South,Female,White women,"Cities 50,000-500,000","Cities over 50,000",English, Georgia,Other,Telephone survey,In October,In the last month,Before that,,,Version 2,,Other,Early in-person,,31405.0
966.0,0.819574746,Kamala Harris,Legal,Legal in most cases,45-65,30-59,50-64,50-59,45+,45-59,50-64,Non-Black 45-59,Women 45-64,White 45-59,White 45-64,Women 45+,Complete,Strongly or somewhat approve,Somewhat approve,,,10.0,Accept the results,No,,,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,No,Only Trump,Yes,Very confident,Very confident or Somewhat confident,,,,,,Rural women,1.0,Kamala Harris,Kamala Harris,Kamala Harris,,,,No,Not so good,Not so good or poor,No,18-64,Women without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,White,White,State questionnaire,White,Non-black,White,White,South,Female,White women,Rural,Small Cities/Rural,English, Georgia,Other,Telephone survey,In October,In the last month,Before that,,,Version 2,,Other,Early in-person,,30642.0
967.0,0.625688317,Donald Trump,Legal,Legal in most cases,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,,12.0,Accept the results,No,,,Absentee or early in-person,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,No,Neither,No,Very confident,Very confident or Somewhat confident,,,,,,Rural men,5.0,Donald Trump,Donald Trump,Donald Trump,,,,No,Poor,Not so good or poor,Yes,65+,Men without children,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,White Republican,Conservative,,Independent/Something else,Conservative Republicans,,White,White,State questionnaire,White,Non-black,White,White,South,Male,White men,Rural,Small Cities/Rural,English, Georgia,Other,Telephone survey,In September,Before that,Before that,,,Version 2,,Donald Trump,Early in-person,,30415.0
968.0,0.291779276,Donald Trump,Legal,Legal in most cases,45-65,30-59,50-64,50-59,45+,45-59,50-64,Non-Black 45-59,Men 45-64,White 45-59,White 45-64,Men 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,,14.0,Accept the results,Yes,,,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Yes,Both,Yes,Somewhat confident,Very confident or Somewhat confident,,,,,,Suburban men,1.0,Donald Trump,Donald Trump,Donald Trump,,,,No,Poor,Not so good or poor,No,18-64,Men with children,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,White,White,State questionnaire,White,Non-black,White,White,South,Male,White men,Suburbs,Suburbs,English, Georgia,White suburban men,Telephone survey,In September,Before that,Before that,,,Version 2,,Donald Trump,Early in-person,,30705.0
969.0,0.547897,Kamala Harris,Legal,Legal in most cases,45-65,30-59,50-64,50-59,45+,45-59,50-64,Black 45-59,Men 45-64,Black 45-59,Black 45-64,Men 45+,Complete,Strongly or somewhat approve,Somewhat approve,,,11.0,Accept the results,No,,,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,No,Only Trump,Yes,Somewhat confident,Very confident or Somewhat confident,,,,,,Suburban men,2.0,Kamala Harris,Kamala Harris,Kamala Harris,,,,No,Good,Excellent or good,No,18-64,Men without children,Independent/Something else,Black non-Democrat,Black Independent,Independent men,Independent,All others,Conservative,,Moderate/Liberal Republicans,Conservative Independents,,Black,Black,State questionnaire,Black,Black,Non-white,Black,South,Male,Black men,Suburbs,Suburbs,English, Georgia,Other,Telephone survey,In September,Before that,Before that,,,Version 2,,Joe Biden,Early in-person,,30189.0
