ID,WEIGHT,PRSPA24,SENPA24,ABORT2,ABORTION,AGE,AGE3,AGE4,AGE10,AGE45,AGE60,AGE65,AGEBLACK,AGEBYGENDER,AGEBYRACE,AGEBYRACE08,AGESEX45,BACKSIDE,BIDENPRES2,BIDENPRES4,CALL,CDNUM,CHALLENGEELECTION,CHILD12,CONTROLSEN,DEMOCRACYSECURE,DEMOCRACYSECURE2,EARLYVELECTION,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,EXTREMEHARRIS,EXTREMEPRES24,EXTREMETRUMP,FAIRELECTION,FAIRELECTION2,FAVHARRIS,FAVPRES24,FAVTRUMP,FINSIT,FORCAND24,FRACKING24,GENDERBYSOP,GEOCODE,ISSUE24,LATINO,NEC,NEC2,NEWVOTER,OVER65,PARENTS,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QLT24,QRACE3,QRACEAI,QTYPE,RACE,RACE2,RACE2B,RACEAI,REGION,SEX,SEXBYRACE,SHAPIRO2,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TELEPOLL,TIME16,TIME16MONTH,TIME16WEEK,TRACKANGR,TRACKANGR2,UNIONHH12,VERSION,VOTE2020,VOTEMETHOD,ZIPCODE
12799.0,0.125178789,Kamala Harris,Bob Casey,,,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,,,,3.0,,No,,Very threatened,Somewhat threatened or Very threatened,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,,,,,Favorable,Only Harris,Unfavorable,Better today,For your candidate,Oppose,Urban men,1.0,The state of democracy,No,,,,65+,Men without children,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,Has good judgment,White,White,State questionnaire,White,Non-black,White,White,East,Male,White men,,"Cities over 500,000","Cities over 50,000",Pennsylvania,Other,Telephone survey,,,,Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",No,Version 1,Joe Biden,By mail,19119.0
12800.0,0.192047662,Kamala Harris,Bob Casey,,,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,,,,10.0,,No,,Very threatened,Somewhat threatened or Very threatened,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,Favorable,Only Harris,Unfavorable,About the same,For your candidate,Favor,Rural women,4.0,The state of democracy,No,,,,65+,Women without children,,,,,,,Conservative,,,,Has good judgment,White,White,State questionnaire,White,Non-black,White,White,East,Female,White women,,"Cities 10,000-50,000",Small Cities/Rural,Pennsylvania,Other,Telephone survey,,,,Angry,"Dissatisfied, but not angry or Angry",No,Version 1,Joe Biden,By mail,17112.0
12801.0,1.329560697,Kamala Harris,Bob Casey,,,45-65,30-59,50-64,50-59,45+,45-59,50-64,Non-Black 45-59,Men 45-64,White 45-59,White 45-64,Men 45+,Complete,,,,10.0,,No,,Very threatened,Somewhat threatened or Very threatened,Absentee or early in-person,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,,Favorable,Only Harris,Unfavorable,Better today,For your candidate,Oppose,Rural men,4.0,The state of democracy,No,,,,18-64,Men without children,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,Has good judgment,White,White,State questionnaire,White,Non-black,White,White,East,Male,White men,,"Cities 10,000-50,000",Small Cities/Rural,Pennsylvania,Other,Telephone survey,,,,"Dissatisfied, but not angry","Dissatisfied, but not angry or Angry",No,Version 1,Joe Biden,By mail,17109.0
12802.0,2.222652374,Kamala Harris,Bob Casey,,,45-65,30-59,50-64,50-59,45+,45-59,50-64,Non-Black 45-59,Women 45-64,White 45-59,White 45-64,Women 45+,Complete,,,,16.0,,No,,Somewhat threatened,Somewhat threatened or Very threatened,Absentee or early in-person,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,,,,,,Favorable,Only Harris,Unfavorable,About the same,For your candidate,Favor,Urban women,5.0,The state of democracy,No,,,,18-64,Women without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Liberal,,Moderate/Liberal Republicans,Liberal Independents,Cares about people like me,White,White,State questionnaire,White,Non-black,White,White,East,Female,White women,,"Cities 50,000-500,000","Cities over 50,000",Pennsylvania,Other,Telephone survey,,,,Angry,"Dissatisfied, but not angry or Angry",Yes,Version 1,Joe Biden,By mail,16503.0
12803.0,0.462877011,Kamala Harris,Bob Casey,,,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,,,,5.0,,No,,Very threatened,Somewhat threatened or Very threatened,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,,,,,Favorable,Only Harris,Unfavorable,About the same,For your candidate,Oppose,Suburban men,2.0,The state of democracy,No,,,,65+,Men without children,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,Cares about people like me,White,White,State questionnaire,White,Non-black,White,White,East,Male,White men,,Suburbs,Suburbs,Pennsylvania,White suburban men,Telephone survey,,,,Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",No,Version 1,Joe Biden,By mail,19041.0
12804.0,0.059091587,Kamala Harris,Bob Casey,,,45-65,30-59,50-64,60-64,45+,45-59,50-64,Non-Black 45-59,Men 45-64,White 45-59,White 45-64,Men 45+,Complete,,,,11.0,,No,,Somewhat threatened,Somewhat threatened or Very threatened,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,,,,,Favorable,Only Harris,Unfavorable,About the same,Against their opponent,Favor,Suburban men,4.0,The state of democracy,No,,,,18-64,Men without children,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Has good judgment,White,White,State questionnaire,White,Non-black,White,White,East,Male,White men,,Suburbs,Suburbs,Pennsylvania,White suburban men,Telephone survey,,,,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",No,Version 1,Joe Biden,By mail,17363.0
12805.0,0.409468145,Kamala Harris,Bob Casey,,,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,,,,4.0,,No,,Somewhat threatened,Somewhat threatened or Very threatened,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,,,,,Favorable,Only Harris,Unfavorable,Better today,For your candidate,Favor,Suburban men,2.0,The state of democracy,No,,,,65+,Men without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,Has the ability to lead,White,White,State questionnaire,White,Non-black,White,White,East,Male,White men,,Suburbs,Suburbs,Pennsylvania,White suburban men,Telephone survey,,,,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",No,Version 1,Joe Biden,By mail,19001.0
12806.0,0.213635533,Kamala Harris,Bob Casey,,,45-65,30-59,50-64,60-64,45+,45-59,50-64,Black 45-59,Men 45-64,Black 45-59,Black 45-64,Men 45+,Complete,,,,4.0,,No,,Somewhat threatened,Somewhat threatened or Very threatened,Absentee or early in-person,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,Favorable,Only Harris,Unfavorable,About the same,Against their opponent,Favor,Suburban men,2.0,The state of democracy,No,,,,18-64,Men without children,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Has good judgment,Black,Black,State questionnaire,Black,Black,Non-white,Black,East,Male,Black men,,Suburbs,Suburbs,Pennsylvania,Other,Telephone survey,,,,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",No,Version 1,Joe Biden,By mail,19027.0
12807.0,1.000193611,Kamala Harris,Bob Casey,,,65+,60+,65+,65-74,45+,60+,65+,Black 60+,Men 65+,Black 60+,Black 65+,Men 45+,Complete,,,,16.0,,No,,Very threatened,Somewhat threatened or Very threatened,Absentee or early in-person,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,,Favorable,Only Harris,Unfavorable,Better today,For your candidate,Oppose,Urban men,5.0,The state of democracy,No,,,,65+,Men without children,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,Has good judgment,Black,Black,State questionnaire,Black,Black,Non-white,Black,East,Male,Black men,,"Cities 50,000-500,000","Cities over 50,000",Pennsylvania,Other,Telephone survey,,,,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",Yes,Version 1,Joe Biden,By mail,16510.0
12808.0,0.103410284,Kamala Harris,Bob Casey,,,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,,,,11.0,,No,,Very threatened,Somewhat threatened or Very threatened,Absentee or early in-person,,,,,,,,,,,Unfavorable,Neither,Unfavorable,About the same,Against their opponent,Favor,Urban men,4.0,The state of democracy,No,,,,65+,Men without children,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,Has good judgment,White,White,State questionnaire,White,Non-black,White,White,East,Male,White men,,"Cities 50,000-500,000","Cities over 50,000",Pennsylvania,Other,Telephone survey,,,,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",No,Version 1,Joe Biden,By mail,17601.0
12809.0,0.723871972,Kamala Harris,Bob Casey,,,45-65,30-59,50-64,60-64,45+,45-59,50-64,Non-Black 45-59,Men 45-64,White 45-59,White 45-64,Men 45+,Complete,,,,11.0,,No,,Very threatened,Somewhat threatened or Very threatened,Absentee or early in-person,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,,,,,,Favorable,Only Harris,Unfavorable,Better today,Against their opponent,Favor,Urban men,4.0,The state of democracy,No,,,,18-64,Men without children,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Cares about people like me,White,White,State questionnaire,White,Non-black,White,White,East,Male,White men,,"Cities 50,000-500,000","Cities over 50,000",Pennsylvania,Other,Telephone survey,,,,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",No,Version 1,Joe Biden,By mail,17603.0
12810.0,0.658709622,Kamala Harris,Bob Casey,,,45-65,30-59,35-49,45-49,45+,45-59,40-49,Non-Black 45-59,Men 45-64,White 45-59,White 45-64,Men 45+,Complete,,,,5.0,,Yes,,Somewhat threatened,Somewhat threatened or Very threatened,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,,,,,Favorable,Only Harris,Unfavorable,Better today,For your candidate,Oppose,Suburban men,2.0,The state of democracy,No,,,,18-64,Men with children,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Has good judgment,White,White,State questionnaire,White,Non-black,White,White,East,Male,White men,,Suburbs,Suburbs,Pennsylvania,White suburban men,Telephone survey,,,,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",No,Version 1,Joe Biden,By mail,19003.0
12811.0,0.281652295,Kamala Harris,Bob Casey,,,45-65,30-59,50-64,50-59,45+,45-59,50-64,Non-Black 45-59,Men 45-64,White 45-59,White 45-64,Men 45+,Complete,,,,3.0,,No,,Very secure,Very secure or Somewhat secure,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,,,,,Favorable,Only Harris,Unfavorable,Better today,For your candidate,Oppose,Urban men,1.0,The economy,No,,,,18-64,Men without children,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,Has the ability to lead,White,White,State questionnaire,White,Non-black,White,White,East,Male,White men,,"Cities over 500,000","Cities over 50,000",Pennsylvania,Other,Telephone survey,,,,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",No,Version 1,Joe Biden,By mail,19103.0
12812.0,2.83067107,Kamala Harris,Bob Casey,,,45-65,30-59,50-64,50-59,45+,45-59,50-64,Black 45-59,Women 45-64,Black 45-59,Black 45-64,Women 45+,Complete,,,,4.0,,No,,Very threatened,Somewhat threatened or Very threatened,Absentee or early in-person,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,Favorable,Only Harris,Unfavorable,Worse today,For your candidate,Favor,Suburban women,2.0,The economy,No,,,,18-64,Women without children,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,Cares about people like me,Black,Black,State questionnaire,Black,Black,Non-white,Black,East,Female,Black women,,Suburbs,Suburbs,Pennsylvania,Other,Telephone survey,,,,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",No,Version 1,Joe Biden,By mail,19004.0
12813.0,0.356059245,Kamala Harris,Bob Casey,,,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,,,,1.0,,No,,Somewhat threatened,Somewhat threatened or Very threatened,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,,,,,Favorable,Only Harris,Unfavorable,About the same,For your candidate,Oppose,Suburban men,2.0,The state of democracy,No,,,,65+,Men without children,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Has good judgment,White,White,State questionnaire,White,Non-black,White,White,East,Male,White men,,Suburbs,Suburbs,Pennsylvania,White suburban men,Telephone survey,,,,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",No,Version 1,Joe Biden,By mail,19067.0
12814.0,0.513308006,Kamala Harris,Bob Casey,,,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,,,,7.0,,No,,Very threatened,Somewhat threatened or Very threatened,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,Favorable,Only Harris,Unfavorable,About the same,For your candidate,Oppose,Urban women,3.0,The state of democracy,No,,,,65+,Women without children,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Can bring needed change,White,White,State questionnaire,White,Non-black,White,White,East,Female,White women,,"Cities 50,000-500,000","Cities over 50,000",Pennsylvania,Other,Telephone survey,,,,Enthusiastic,"Enthusiastic or Satisfied, but not enthusiastic",Yes,Version 1,Joe Biden,By mail,18020.0
12815.0,0.338256289,Kamala Harris,Bob Casey,,,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,,,,5.0,,No,,Very threatened,Somewhat threatened or Very threatened,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,Favorable,Only Harris,Unfavorable,Worse today,For your candidate,Oppose,Suburban women,2.0,The state of democracy,No,,,,65+,Women without children,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,Has the ability to lead,White,White,State questionnaire,White,Non-black,White,White,East,Female,White women,,Suburbs,Suburbs,Pennsylvania,White suburban women,Telephone survey,,,,"Satisfied, but not enthusiastic","Enthusiastic or Satisfied, but not enthusiastic",No,Version 1,Joe Biden,By mail,19041.0
12816.0,0.3738622,Kamala Harris,Bob Casey,,,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,,,,1.0,,No,,Very threatened,Somewhat threatened or Very threatened,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,Favorable,Only Harris,Unfavorable,Better today,For your candidate,Oppose,Suburban women,2.0,The state of democracy,No,,,,65+,Women without children,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,Has good judgment,White,White,State questionnaire,White,Non-black,White,White,East,Female,White women,,Suburbs,Suburbs,Pennsylvania,White suburban women,Telephone survey,,,,Omit,Omit,No,Version 1,Joe Biden,By mail,18940.0
