ID,WEIGHT,PRSFL24,SENFL24,FLAMD4,ABORT2,ABORTION,AGE,AGE3,AGE4,AGE10,AGE45,AGE60,AGE65,AGEBLACK,AGEBYGENDER,AGEBYRACE,AGEBYRACE08,AGESEX45,BACKSIDE,BIDENPRES2,BIDENPRES4,CALL,CDNUM,CONTROLSEN,CUBAN,CUBANPR4,DEMOCRACYSECURE,DEMOCRACYSECURE2,EARLYVELECTION,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,EXTREMEHARRIS,EXTREMEPRES24,EXTREMETRUMP,FAIRELECTION,FAIRELECTION2,FAVHARRIS,FAVPRES24,FAVTRUMP,FINSIT,FORCAND24,GENDERBYSOP,GEOCODE,HURRICANEAID,ISSUE24,LATINO,NEC,NEC2,NEWVOTER,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,PUERTORICAN,QLT24,QRACE3,QRACEAI,QTYPE,RACE,RACE2,RACE2B,RACEAI,REGION,SEX,SEXBYRACE,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,TELEPOLL,TIME16,TIME16MONTH,TIME16WEEK,TRACKANGR,TRACKANGR2,VERSION,VOTE2020,VOTEMETHOD
11617.0,2.421302275,Donald Trump,Rick Scott,Did not vote,Legal,Legal in most cases,45-65,30-59,50-64,60-64,45+,45-59,50-64,Non-Black 45-59,Women 45-64,White 45-59,White 45-64,Women 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,2.0,The Republican Party,No,No,,,Absentee or early in-person,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,Yes,Only Harris,No,Very confident,Very confident or Somewhat confident,,,,,,Rural women,1.0,,,No,Poor,Not so good or poor,No,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,Conservative,,Independent/Something else,Conservative Republicans,No,,White,White,State questionnaire,White,Non-black,White,White,South,Female,White women,"Cities 10,000-50,000",Small Cities/Rural,English,Florida,Other,Telephone survey,Before that,Before that,Before that,,,Version 2,Donald Trump,Early in-person
11618.0,0.499727315,Donald Trump,Rick Scott,No,Legal,Legal in most cases,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,8.0,The Republican Party,No,No,,,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Yes,Both,Yes,Somewhat confident,Very confident or Somewhat confident,,,,,,Urban men,2.0,,,No,Not so good,Not so good or poor,No,65+,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,White Republican,Conservative,,Independent/Something else,Conservative Republicans,No,,White,White,State questionnaire,White,Non-black,White,White,South,Male,White men,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Other,Telephone survey,In September,Before that,Before that,,,Version 2,Donald Trump,By mail
11619.0,1.996957622,Donald Trump,Rick Scott,No,Illegal,Illegal in most cases,45-65,30-59,50-64,50-59,45+,45-59,50-64,Non-Black 45-59,Women 45-64,White 45-59,White 45-64,Women 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,8.0,The Republican Party,No,No,,,Absentee or early in-person,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Yes,Only Harris,No,Somewhat confident,Very confident or Somewhat confident,,,,,,Suburban women,2.0,,,No,Not so good,Not so good or poor,No,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,Conservative,,Independent/Something else,Conservative Republicans,No,,White,White,State questionnaire,White,Non-black,White,White,South,Female,White women,Suburbs,Suburbs,English,Florida,White suburban women,Telephone survey,Before that,Before that,Before that,,,Version 2,Donald Trump,Early in-person
11620.0,3.280870353,Donald Trump,Rick Scott,Yes,Legal,Legal in most cases,45-65,30-59,50-64,60-64,45+,45-59,50-64,Non-Black 45-59,Women 45-64,White 45-59,White 45-64,Women 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,7.0,The Republican Party,No,No,,,Absentee or early in-person,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,Yes,Only Harris,No,Very confident,Very confident or Somewhat confident,,,,,,Suburban women,2.0,,,No,Poor,Not so good or poor,No,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,Moderate,,Conservative Republicans,Mod./Liberal Republicans,No,,White,White,State questionnaire,White,Non-black,White,White,South,Female,White women,Suburbs,Suburbs,English,Florida,White suburban women,Telephone survey,Before that,Before that,Before that,,,Version 2,Donald Trump,Early in-person
11621.0,1.01538343,Kamala Harris,Debbie Mucarsel-Powell,Yes,Legal,Legal in most cases,45-65,30-59,50-64,50-59,45+,45-59,50-64,Non-Black 45-59,Men 45-64,White 45-59,White 45-64,Men 45+,Complete,Strongly or somewhat approve,Strongly approve,,8.0,The Democratic Party,No,No,,,Absentee or early in-person,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,No,Only Trump,Yes,Very confident,Very confident or Somewhat confident,,,,,,Urban men,2.0,,,No,Excellent,Excellent or good,No,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,No,,White,White,State questionnaire,White,Non-black,White,White,South,Male,White men,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Other,Telephone survey,Before that,Before that,Before that,,,Version 2,Joe Biden,By mail
11622.0,0.491356817,,,No,Illegal,Illegal in most cases,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,12.0,Omit,No,No,,,Absentee or early in-person,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,Omit,Omit,Omit,Very confident,Very confident or Somewhat confident,,,,,,Suburban women,4.0,,,No,Not so good,Not so good or poor,No,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,No,,White,White,State questionnaire,White,Non-black,White,White,South,Female,White women,Suburbs,Suburbs,English,Florida,White suburban women,Telephone survey,Before that,Before that,Before that,,,Version 2,Omit,Early in-person
11623.0,0.840672089,Kamala Harris,Debbie Mucarsel-Powell,Yes,Legal,Legal in most cases,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,Strongly or somewhat approve,Strongly approve,,25.0,The Democratic Party,No,No,,,Absentee or early in-person,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,No,Only Trump,Yes,Very confident,Very confident or Somewhat confident,,,,,,Urban women,5.0,,,No,Good,Excellent or good,No,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,White Democrat,Liberal,,Liberal Democrats,Liberal Democrats,No,,White,White,State questionnaire,White,Non-black,White,White,South,Female,White women,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Other,Telephone survey,Before that,Before that,Before that,,,Version 2,Joe Biden,Early in-person
11624.0,2.787384727,Kamala Harris,Debbie Mucarsel-Powell,Yes,Legal,Legal in all cases,45-65,30-59,50-64,60-64,45+,45-59,50-64,Non-Black 45-59,Women 45-64,White 45-59,White 45-64,Women 45+,Complete,Strongly or somewhat approve,Strongly approve,,25.0,The Democratic Party,No,No,,,Absentee or early in-person,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,No,Only Trump,Yes,Somewhat confident,Very confident or Somewhat confident,,,,,,Urban women,5.0,,,No,Good,Excellent or good,No,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,No,,White,White,State questionnaire,White,Non-black,White,White,South,Female,White women,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Other,Telephone survey,Before that,Before that,Before that,,,Version 2,Joe Biden,Early in-person
11625.0,1.973525404,Kamala Harris,Debbie Mucarsel-Powell,Yes,Legal,Legal in most cases,45-65,30-59,50-64,60-64,45+,45-59,50-64,Non-Black 45-59,Men 45-64,White 45-59,White 45-64,Men 45+,Complete,Strongly or somewhat disapprove,Somewhat disapprove,,23.0,The Democratic Party,No,No,,,Absentee or early in-person,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,Yes,Both,Yes,Very confident,Very confident or Somewhat confident,,,,,,Urban men,5.0,,,No,Good,Excellent or good,No,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,No,,White,White,State questionnaire,White,Non-black,White,White,South,Male,White men,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Other,Telephone survey,Before that,Before that,Before that,,,Version 2,Joe Biden,Early in-person
11626.0,1.263616958,Donald Trump,Rick Scott,Yes,Legal,Legal in most cases,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,Strongly or somewhat disapprove,Strongly disapprove,,25.0,The Republican Party,No,No,,,Absentee or early in-person,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,Yes,Only Harris,No,Somewhat confident,Very confident or Somewhat confident,,,,,,Urban women,5.0,,,No,Not so good,Not so good or poor,No,65+,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,White Republican,Conservative,,Independent/Something else,Conservative Republicans,No,,White,White,State questionnaire,White,Non-black,White,White,South,Female,White women,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Other,Telephone survey,Before that,Before that,Before that,,,Version 2,Donald Trump,Early in-person
11627.0,0.668908512,Kamala Harris,Rick Scott,Yes,Legal,Legal in most cases,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,Strongly or somewhat disapprove,Somewhat disapprove,,25.0,The Republican Party,No,No,,,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Yes,Only Harris,No,Somewhat confident,Very confident or Somewhat confident,,,,,,Urban men,5.0,,,No,Not so good,Not so good or poor,No,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,No,,White,White,State questionnaire,White,Non-black,White,White,South,Male,White men,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Other,Telephone survey,In October,In the last month,Before that,,,Version 2,Donald Trump,Early in-person
11628.0,0.329822893,Kamala Harris,Debbie Mucarsel-Powell,Yes,Legal,Legal in most cases,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Women 65+,White 60+,White 65+,Women 45+,Complete,Strongly or somewhat approve,Somewhat approve,,21.0,The Democratic Party,No,No,,,Absentee or early in-person,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,No,Only Trump,Yes,Somewhat confident,Very confident or Somewhat confident,,,,,,Suburban women,5.0,,,No,Good,Excellent or good,No,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,White Independent,Liberal,,Moderate/Liberal Republicans,Liberal Independents,No,,White,White,State questionnaire,White,Non-black,White,White,South,Female,White women,Suburbs,Suburbs,English,Florida,White suburban women,Telephone survey,Before that,Before that,Before that,,,Version 2,Joe Biden,By mail
11629.0,0.832524936,Kamala Harris,Debbie Mucarsel-Powell,Yes,Legal,Legal in most cases,65+,60+,65+,75 or older,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,Strongly or somewhat disapprove,Somewhat disapprove,,8.0,The Democratic Party,No,No,,,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,No,Only Trump,Yes,Somewhat confident,Very confident or Somewhat confident,,,,,,Urban men,2.0,,,No,Good,Excellent or good,No,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,No,,White,White,State questionnaire,White,Non-black,White,White,South,Male,White men,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Other,Telephone survey,Before that,Before that,Before that,,,Version 2,Joe Biden,Early in-person
11630.0,1.0918008,Donald Trump,Rick Scott,No,Illegal,Illegal in most cases,65+,60+,65+,65-74,45+,60+,65+,Non-Black 60+,Men 65+,White 60+,White 65+,Men 45+,Complete,Strongly or somewhat disapprove,Somewhat disapprove,,6.0,The Republican Party,No,No,,,Absentee or early in-person,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,Yes,Only Harris,No,Not very confident,Not very confident or Not at all confident,,,,,,Suburban men,4.0,,,No,Not so good,Not so good or poor,No,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,No,,White,White,State questionnaire,White,Non-black,White,White,South,Male,White men,Suburbs,Suburbs,English,Florida,White suburban men,Telephone survey,Before that,Before that,Before that,,,Version 2,Donald Trump,Early in-person
11631.0,0.198263943,Kamala Harris,Debbie Mucarsel-Powell,Yes,Legal,Legal in all cases,45-65,30-59,35-49,45-49,45+,45-59,40-49,Non-Black 45-59,Women 45-64,All others,All others,Women 45+,Complete,Strongly or somewhat approve,Strongly approve,,23.0,The Democratic Party,No,No,,,Absentee or early in-person,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,No,Only Trump,Yes,Somewhat confident,Very confident or Somewhat confident,,,,,,Suburban women,5.0,,,No,Good,Excellent or good,No,18-64,Democrat,Non-black Democrat,All Other,Democratic women,Democrat,Non-White Democrats,Liberal,,Liberal Democrats,Liberal Democrats,No,,Other,Other,State questionnaire,Other,Non-black,Non-white,Other,South,Female,All other races,Suburbs,Suburbs,English,Florida,Other,Telephone survey,Before that,Before that,Before that,,,Version 2,Joe Biden,By mail
