State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Senator Vote,Governor Vote,Clinton Approval,Congress Approval,Reason for Cong Vote,Religious Right,State economy condition,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,1996 vote,Party ID,Education,Religion,Income,Ideology,Age (65 and over),State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight 3 implied dec,Senate issues,Governor issues,Future of state economy,Clinton as person,Union memeber in HH
36.0,1.0,11.0,Second call,18-24,White,Male,Voinovich,Fisher,Approve,Approve,Neither,No,Good,Yes,Yes,No,Better,Clinton,Republican,College grad,Other Christian,30 to 50K,Moderate,18 to 64,State,Complete,Central,18 to 29,18 to 24,Republican,18 to 24,0.698,Education,Education,Better,Unfavorable,No
36.0,1.0,12.0,Second call,65 and over,White,Male,Boyle,Fisher,Approve,Disapprove,Support Clinton,No,Good,No,No,Yes,Better,Clinton,Republican,,Protestant,30 to 50K,Moderate,65 and over,State,Complete,Central,60 and over,60 and over,Republican,65 and over,0.75,Economy/jobs,Economy/jobs,Same,Favorable,Yes
36.0,1.0,13.0,Second call,50-59,White,Male,Voinovich,Taft,Disapprove,Approve,Oppose Clinton,No,Good,No,No,Yes,Same,Dole,Republican,College grad,Catholic,50 to 75K,Conservative,18 to 64,State,Complete,Central,45 to 59,50 to 59,Republican,50 to 64,0.579,Taxes,Taxes,Same,Unfavorable,No
36.0,1.0,14.0,Third call,50-59,White,Male,Voinovich,Taft,Disapprove,Approve,Oppose Clinton,No,Excellent,Yes,Yes,Yes,Better,Dole,Republican,Postgrad,Protestant,100K or more,Moderate,18 to 64,State,Complete,Central,45 to 59,50 to 59,Republican,50 to 64,0.579,Taxes,Taxes,Better,Unfavorable,Yes
36.0,1.0,15.0,Third call,30-39,White,Male,Voinovich,Taft,Approve,Approve,Neither,No,Good,No,No,Yes,Better,Clinton,Republican,College grad,Protestant,30 to 50K,Conservative,18 to 64,State,Complete,Central,30 to 44,30 to 39,Republican,30 to 39,0.579,Economy/jobs,Economy/jobs,Better,Unfavorable,Yes
36.0,1.0,16.0,Third call,40-44,White,Female,Voinovich,Taft,Disapprove,Disapprove,Neither,No,Good,Yes,Yes,No,Same,Dole,Republican,College grad,Protestant,50 to 75K,Conservative,18 to 64,State,Complete,Central,30 to 44,40 to 49,Republican,40 to 49,0.588,Taxes,Taxes,Same,Unfavorable,Yes
36.0,1.0,17.0,Third call,40-44,White,Male,Boyle,Fisher,Approve,Disapprove,Neither,No,Excellent,No,Yes,Yes,Better,Clinton,Democrat,College grad,Protestant,75 to 100K,Liberal,18 to 64,State,Complete,Central,30 to 44,40 to 49,Democrat,40 to 49,0.601,Economy/jobs,Economy/jobs,Same,Unfavorable,Yes
36.0,1.0,18.0,Third call,45-49,White,Female,Voinovich,Taft,Disapprove,Approve,Neither,No,Good,Yes,Yes,Yes,Same,Dole,Republican,Some college,Jewish,50 to 75K,Moderate,18 to 64,State,Complete,Central,45 to 59,40 to 49,Republican,40 to 49,0.588,Education,Education,Same,Unfavorable,No
36.0,1.0,19.0,Third call,45-49,Black,Female,Voinovich,Taft,Disapprove,Approve,Neither,No,Good,Yes,Yes,Yes,Same,Dole,Republican,Postgrad,Catholic,50 to 75K,Moderate,18 to 64,State,Complete,Central,45 to 59,40 to 49,Republican,40 to 49,0.40700000000000003,Economy/jobs,Economy/jobs,Same,Unfavorable,No
36.0,1.0,20.0,Third call,45-49,White,Male,Voinovich,Taft,Disapprove,Approve,Neither,No,Good,Yes,Yes,No,Better,Dole,Republican,Postgrad,Catholic,50 to 75K,Conservative,18 to 64,State,Complete,Central,45 to 59,40 to 49,Republican,40 to 49,0.579,Education,Education,Worse,Unfavorable,No
36.0,1.0,21.0,Third call,50-59,White,Male,Voinovich,Other,Disapprove,Disapprove,Neither,No,Good,Yes,Yes,Yes,Better,Dole,Independent,College grad,Protestant,75 to 100K,Moderate,18 to 64,State,Complete,Central,45 to 59,50 to 59,Independent/Other,50 to 64,0.8500000000000001,Taxes,Education,Worse,Unfavorable,No
36.0,3.0,1.0,First call,45-49,White,Male,Boyle,Fisher,Approve,Approve,Neither,Yes,Good,No,No,No,Same,Clinton,Democrat,HS grad,Other Christian,75 to 100K,Moderate,18 to 64,State,Complete,Northeast,45 to 59,40 to 49,Democrat,40 to 49,1.194,Education,Education,Better,Favorable,Yes
36.0,3.0,2.0,First call,50-59,White,Female,Voinovich,Fisher,Approve,Approve,Neither,No,Good,No,No,Yes,Better,Clinton,Independent,College grad,Other Christian,50 to 75K,Liberal,18 to 64,State,Complete,Northeast,45 to 59,50 to 59,Independent/Other,50 to 64,1.14,Economy/jobs,Economy/jobs,Better,Favorable,Yes
36.0,3.0,3.0,First call,30-39,White,Female,Voinovich,Taft,Approve,Disapprove,Neither,No,Not so good,No,No,No,Better,Clinton,Democrat,College grad,Catholic,30 to 50K,Moderate,18 to 64,State,Complete,Northeast,30 to 44,30 to 39,Democrat,30 to 39,0.9840000000000001,Economy/jobs,Economy/jobs,Worse,Unfavorable,Yes
36.0,3.0,4.0,First call,50-59,White,Female,Voinovich,Taft,Disapprove,Disapprove,Oppose Clinton,Yes,Good,Yes,Yes,No,Same,Dole,Independent,Postgrad,Catholic,50 to 75K,Conservative,18 to 64,State,Complete,Northeast,45 to 59,50 to 59,Independent/Other,50 to 64,0.9840000000000001,Clin/Lwnsky,Taxes,Same,Unfavorable,Yes
36.0,3.0,5.0,First call,65 and over,White,Male,Boyle,Taft,Approve,Disapprove,Neither,Yes,Good,No,No,Yes,Same,Clinton,Democrat,HS grad,Catholic,15 to 30K,Moderate,65 and over,State,Complete,Northeast,60 and over,60 and over,Democrat,65 and over,1.437,Economy/jobs,Economy/jobs,Better,Unfavorable,Yes
36.0,3.0,6.0,First call,50-59,White,Male,Voinovich,Fisher,Disapprove,Disapprove,Neither,No,Good,Yes,Yes,Yes,Worse,Dole,Democrat,Postgrad,Protestant,75 to 100K,Liberal,18 to 64,State,Complete,Northeast,45 to 59,50 to 59,Democrat,50 to 64,1.226,Social Security,Taxes,Same,Unfavorable,No
36.0,3.0,7.0,First call,45-49,White,Male,Boyle,Fisher,Approve,Disapprove,Support Clinton,No,Good,No,No,Yes,Better,Clinton,Democrat,Postgrad,None,75 to 100K,Liberal,18 to 64,State,Complete,Northeast,45 to 59,40 to 49,Democrat,40 to 49,1.194,Clin/Lwnsky,Education,Better,Favorable,Yes
36.0,3.0,8.0,First call,50-59,White,Male,Voinovich,Taft,Disapprove,Disapprove,Oppose Clinton,No,Good,Yes,Yes,Yes,Better,Clinton,Independent,College grad,None,100K or more,Moderate,18 to 64,State,Complete,Northeast,45 to 59,50 to 59,Independent/Other,50 to 64,1.059,,,Better,Unfavorable,Yes
36.0,3.0,9.0,First call,50-59,White,Male,Voinovich,Fisher,Approve,Disapprove,Neither,No,Good,,No,No,Same,Clinton,Democrat,Postgrad,Protestant,,Conservative,18 to 64,State,Complete,Northeast,45 to 59,50 to 59,Democrat,50 to 64,1.226,,,Same,Favorable,Yes
36.0,3.0,10.0,Second call,65 and over,White,Male,Voinovich,Fisher,Disapprove,Disapprove,Oppose Clinton,Yes,Good,,,Yes,Same,Dole,Democrat,Some college,Catholic,15 to 30K,Moderate,65 and over,State,Complete,Northeast,60 and over,60 and over,Democrat,65 and over,1.7069999999999999,Social Security,,Better,Unfavorable,No
36.0,3.0,11.0,Second call,30-39,White,Female,Boyle,Other,Disapprove,Disapprove,Neither,No,Good,Yes,Yes,Yes,Same,Perot,Independent,HS grad,Catholic,15 to 30K,Liberal,18 to 64,State,Complete,Northeast,30 to 44,30 to 39,Independent/Other,30 to 39,1.472,Social Security,Taxes,Worse,Unfavorable,No
36.0,3.0,12.0,Second call,50-59,White,Female,Voinovich,Taft,Disapprove,Approve,Neither,No,Excellent,Yes,Yes,No,Better,Dole,Independent,Postgrad,Catholic,50 to 75K,Moderate,18 to 64,State,Complete,Northeast,45 to 59,50 to 59,Independent/Other,50 to 64,0.9840000000000001,Taxes,Taxes,Better,Unfavorable,No
36.0,3.0,13.0,Second call,50-59,White,Male,Other,Fisher,Approve,Disapprove,Neither,No,Not so good,No,Yes,No,Better,Clinton,Democrat,Some college,Protestant,50 to 75K,Moderate,18 to 64,State,Complete,Northeast,45 to 59,50 to 59,Democrat,50 to 64,1.212,Education,Economy/jobs,Same,Unfavorable,Yes
36.0,3.0,14.0,Second call,50-59,White,Male,Boyle,Fisher,Approve,Disapprove,Neither,,Good,No,Yes,Yes,Same,Did not vote,Independent,HS grad,None,15 to 30K,Moderate,18 to 64,State,Complete,Northeast,45 to 59,50 to 59,Independent/Other,50 to 64,1.194,Taxes,Economy/jobs,Worse,Unfavorable,Yes
36.0,3.0,15.0,Second call,50-59,White,Female,Boyle,Fisher,Approve,Disapprove,Support Clinton,No,Not so good,No,No,No,Same,Clinton,Democrat,College grad,Protestant,Under 15K,Liberal,18 to 64,State,Complete,Northeast,45 to 59,50 to 59,Democrat,50 to 64,1.112,Education,Health care,Same,Unfavorable,No
36.0,3.0,16.0,Second call,45-49,White,Male,Boyle,Fisher,Approve,Disapprove,Neither,No,Good,No,No,Yes,Better,Clinton,Democrat,HS grad,Catholic,30 to 50K,Moderate,18 to 64,State,Complete,Northeast,45 to 59,40 to 49,Democrat,40 to 49,1.194,Social Security,Health care,Worse,Unfavorable,Yes
36.0,3.0,17.0,Second call,60-64,White,Female,Boyle,Fisher,Approve,Disapprove,Neither,No,Good,No,No,Yes,Worse,Clinton,Democrat,Some college,Protestant,15 to 30K,Moderate,18 to 64,State,Complete,Northeast,60 and over,60 and over,Democrat,50 to 64,1.546,Social Security,Education,Better,Favorable,No
36.0,3.0,18.0,Second call,45-49,White,Female,Boyle,Fisher,Approve,Approve,Neither,No,Good,No,Yes,Yes,Better,Clinton,Democrat,Postgrad,Protestant,100K or more,Moderate,18 to 64,State,Complete,Northeast,45 to 59,40 to 49,Democrat,40 to 49,1.112,Economy/jobs,Economy/jobs,Same,Unfavorable,Yes
36.0,3.0,19.0,Second call,50-59,White,Female,Voinovich,Taft,Approve,Approve,Neither,No,Good,No,No,Yes,Same,Clinton,Democrat,HS grad,Protestant,15 to 30K,Moderate,18 to 64,State,Complete,Northeast,45 to 59,50 to 59,Democrat,50 to 64,0.9840000000000001,Economy/jobs,Economy/jobs,Same,Unfavorable,No
36.0,3.0,20.0,Second call,40-44,White,Female,Voinovich,Taft,Disapprove,Disapprove,Neither,No,Good,Yes,No,No,Better,Dole,Republican,College grad,Protestant,Under 15K,Conservative,18 to 64,State,Complete,Northeast,30 to 44,40 to 49,Republican,40 to 49,0.9840000000000001,Taxes,Taxes,Same,Unfavorable,No
36.0,3.0,21.0,Second call,45-49,White,Female,Boyle,Fisher,Approve,Approve,Neither,No,Good,No,No,Yes,Better,Dole,Independent,Some college,Catholic,100K or more,Moderate,18 to 64,State,Complete,Northeast,45 to 59,40 to 49,Independent/Other,40 to 49,1.112,Education,Education,Worse,Unfavorable,Yes
36.0,3.0,22.0,Second call,50-59,White,Male,Voinovich,Taft,Disapprove,Disapprove,Oppose Clinton,Yes,Good,,Yes,Yes,Same,Perot,Republican,Some college,Protestant,50 to 75K,Moderate,18 to 64,State,Complete,Northeast,45 to 59,50 to 59,Republican,50 to 64,1.059,Clin/Lwnsky,Economy/jobs,Worse,Unfavorable,Yes
36.0,3.0,23.0,Second call,50-59,White,Female,Boyle,Fisher,Approve,Disapprove,Support Clinton,No,Good,No,No,No,Worse,Clinton,Independent,HS grad,Protestant,15 to 30K,Moderate,18 to 64,State,Complete,Northeast,45 to 59,50 to 59,Independent/Other,50 to 64,1.112,Economy/jobs,Economy/jobs,Better,Favorable,No
36.0,3.0,24.0,Second call,18-24,White,Male,Voinovich,Taft,Disapprove,Approve,Neither,Yes,Good,,,,Same,Did not vote,Republican,HS grad,Protestant,,Conservative,18 to 64,State,Complete,Northeast,18 to 29,18 to 24,Republican,18 to 24,1.371,,,Same,Unfavorable,No
36.0,3.0,25.0,Second call,50-59,White,Female,,Taft,Approve,Disapprove,Neither,Yes,Not so good,No,Yes,Yes,Worse,Clinton,Independent,HS grad,Protestant,30 to 50K,Moderate,18 to 64,State,Complete,Northeast,45 to 59,50 to 59,Independent/Other,50 to 64,0.973,Social Security,Health care,Same,Unfavorable,No
36.0,3.0,26.0,Second call,50-59,White,Female,Boyle,Fisher,Approve,Disapprove,Support Clinton,No,Good,No,No,Yes,Same,Clinton,Democrat,Some college,None,,Moderate,18 to 64,State,Complete,Northeast,45 to 59,50 to 59,Democrat,50 to 64,1.112,Clin/Lwnsky,,Same,Favorable,No
36.0,3.0,27.0,Third call,45-49,White,Female,Voinovich,Taft,Disapprove,Approve,Neither,,Good,,Yes,,Same,Dole,Republican,HS grad,Protestant,50 to 75K,Conservative,18 to 64,State,Complete,Northeast,45 to 59,40 to 49,Republican,40 to 49,0.9840000000000001,,,Same,Unfavorable,No
36.0,3.0,28.0,Third call,45-49,White,Male,Boyle,Fisher,Approve,Disapprove,Support Clinton,No,Good,No,No,No,Better,Clinton,Democrat,Postgrad,Catholic,30 to 50K,Moderate,18 to 64,State,Complete,Northeast,45 to 59,40 to 49,Democrat,40 to 49,1.194,Education,Education,Same,Favorable,No
36.0,3.0,29.0,Third call,60-64,White,Male,Voinovich,Taft,Disapprove,Approve,Oppose Clinton,No,Good,,,,Same,Dole,Independent,,Protestant,50 to 75K,Moderate,18 to 64,State,Complete,Northeast,60 and over,60 and over,Independent/Other,50 to 64,1.474,Education,Health care,Same,Unfavorable,Yes
36.0,3.0,30.0,Third call,30-39,White,Female,Voinovich,Fisher,Approve,Disapprove,Neither,No,Good,No,No,,Better,Clinton,Republican,College grad,Protestant,50 to 75K,Moderate,18 to 64,State,Complete,Northeast,30 to 44,30 to 39,Republican,30 to 39,1.14,Education,Education,Better,Unfavorable,Yes
36.0,3.0,31.0,Third call,40-44,White,Female,Boyle,Fisher,Approve,Disapprove,Support Clinton,No,Good,No,No,No,Better,Clinton,Democrat,HS grad,Protestant,50 to 75K,Moderate,18 to 64,State,Complete,Northeast,30 to 44,40 to 49,Democrat,40 to 49,1.112,,Economy/jobs,Better,Favorable,Yes
36.0,3.0,32.0,Third call,30-39,White,Female,Boyle,Fisher,Approve,Disapprove,Neither,No,Good,No,No,Yes,Same,Clinton,Democrat,College grad,Catholic,15 to 30K,Moderate,18 to 64,State,Complete,Northeast,30 to 44,30 to 39,Democrat,30 to 39,1.112,Education,Taxes,Same,Favorable,No
36.0,3.0,33.0,Third call,45-49,White,Female,Voinovich,Taft,Approve,Approve,Neither,No,Good,No,No,No,Better,Dole,Republican,College grad,Catholic,50 to 75K,Moderate,18 to 64,State,Complete,Northeast,45 to 59,40 to 49,Republican,40 to 49,0.9840000000000001,Economy/jobs,Health care,Same,Favorable,No
36.0,6.0,1.0,First call,45-49,White,Female,Boyle,Fisher,Approve,Disapprove,Support Clinton,No,Good,No,No,No,Better,Clinton,Democrat,HS grad,Protestant,50 to 75K,,18 to 64,State,Complete,Northeast,45 to 59,40 to 49,Democrat,40 to 49,1.461,,Health care,Better,Favorable,Yes
36.0,6.0,2.0,First call,30-39,White,Female,Boyle,Fisher,Disapprove,Disapprove,Neither,No,Not so good,No,No,Yes,Better,Clinton,Democrat,Some college,Other Christian,30 to 50K,Moderate,18 to 64,State,Complete,Northeast,30 to 44,30 to 39,Democrat,30 to 39,1.461,Taxes,Taxes,Same,Favorable,Yes
36.0,6.0,3.0,First call,60-64,White,Male,Boyle,Fisher,Approve,Disapprove,Neither,No,Not so good,No,No,No,Worse,Clinton,Democrat,No HS,Protestant,15 to 30K,Moderate,18 to 64,State,Complete,Northeast,60 and over,60 and over,Democrat,50 to 64,2.19,Intl trade,Intl trade,Same,Favorable,Yes
36.0,6.0,4.0,First call,50-59,White,Female,Boyle,Fisher,Approve,,Neither,No,Not so good,No,No,No,Same,Clinton,Democrat,College grad,Protestant,30 to 50K,,18 to 64,State,Complete,Northeast,45 to 59,50 to 59,Democrat,50 to 64,1.461,Clin/Lwnsky,Taxes,Worse,Favorable,Yes
36.0,6.0,5.0,First call,30-39,White,Female,Boyle,Fisher,Approve,Disapprove,Neither,Yes,Not so good,No,No,No,Worse,Clinton,Democrat,HS grad,Other Christian,75 to 100K,Moderate,18 to 64,State,Complete,Northeast,30 to 44,30 to 39,Democrat,30 to 39,1.461,Education,Economy/jobs,Same,Favorable,Yes
36.0,6.0,6.0,First call,50-59,White,Male,,Fisher,Approve,Disapprove,Neither,,Good,No,No,Yes,Better,Clinton,Democrat,Postgrad,Protestant,30 to 50K,Moderate,18 to 64,State,Complete,Northeast,45 to 59,50 to 59,Democrat,50 to 64,1.5939999999999999,,,Better,Unfavorable,No
36.0,6.0,7.0,First call,50-59,White,Male,Voinovich,Taft,Disapprove,Approve,Neither,Yes,Excellent,Yes,Yes,Yes,Better,Dole,Republican,Postgrad,Protestant,30 to 50K,Conservative,18 to 64,State,Complete,Northeast,45 to 59,50 to 59,Republican,50 to 64,1.393,,,Better,Unfavorable,No
36.0,6.0,8.0,First call,40-44,White,Female,Voinovich,Taft,Disapprove,Approve,Oppose Clinton,,Good,,Yes,Yes,Same,Dole,Democrat,HS grad,Other Christian,30 to 50K,Conservative,18 to 64,State,Complete,Northeast,30 to 44,40 to 49,Democrat,40 to 49,1.296,Economy/jobs,Education,Same,Unfavorable,No
36.0,6.0,9.0,Second call,65 and over,White,Female,,Fisher,Approve,Disapprove,Support Clinton,No,Not so good,No,No,No,Same,Clinton,Independent,HS grad,Protestant,,Moderate,65 and over,State,Complete,Northeast,60 and over,60 and over,Independent/Other,65 and over,2.066,,Health care,Same,Favorable,Yes
36.0,6.0,10.0,Second call,60-64,White,Male,Voinovich,Taft,Disapprove,Disapprove,Neither,,Good,No,No,Yes,Same,Dole,Republican,Postgrad,Protestant,100K or more,Moderate,18 to 64,State,Complete,Northeast,60 and over,60 and over,Republican,50 to 64,1.9420000000000002,Taxes,Taxes,Same,Unfavorable,No
36.0,6.0,11.0,Second call,30-39,White,Female,Boyle,Taft,Approve,,,No,Good,No,No,No,Better,Clinton,Democrat,HS grad,None,Under 15K,,18 to 64,State,Complete,Northeast,30 to 44,30 to 39,Democrat,30 to 39,1.264,,,Same,Favorable,No
36.0,6.0,12.0,Second call,45-49,White,Female,Boyle,,,,Neither,Yes,Not so good,No,No,No,Better,Clinton,Independent,HS grad,Protestant,15 to 30K,Moderate,18 to 64,State,Complete,Northeast,45 to 59,40 to 49,Independent/Other,40 to 49,1.3780000000000001,Economy/jobs,,Same,Favorable,Yes
36.0,6.0,13.0,Second call,65 and over,White,Male,Boyle,Fisher,Approve,Disapprove,Support Clinton,No,Excellent,No,No,No,Better,Clinton,Democrat,No HS,None,Under 15K,Moderate,65 and over,State,Complete,Northeast,60 and over,60 and over,Democrat,65 and over,2.19,Social Security,Health care,Worse,Favorable,Yes
36.0,6.0,14.0,Second call,65 and over,White,Female,Boyle,Other,Approve,Disapprove,Neither,No,Good,No,Yes,No,Better,Clinton,Democrat,HS grad,Protestant,Under 15K,,65 and over,State,Complete,Northeast,60 and over,60 and over,Democrat,65 and over,2.697,Education,Health care,Better,Favorable,Yes
36.0,6.0,15.0,Third call,50-59,White,Male,Voinovich,Taft,Disapprove,Disapprove,Neither,No,Good,,Yes,Yes,Worse,Dole,Republican,College grad,,50 to 75K,Moderate,18 to 64,State,Complete,Northeast,45 to 59,50 to 59,Republican,50 to 64,1.393,Economy/jobs,Economy/jobs,Same,Unfavorable,Yes
36.0,6.0,16.0,Third call,50-59,White,Female,Voinovich,Taft,Approve,Approve,Neither,No,Not so good,No,Yes,No,Better,Dole,Republican,Postgrad,Protestant,50 to 75K,Conservative,18 to 64,State,Complete,Northeast,45 to 59,50 to 59,Republican,50 to 64,1.296,Education,Education,Same,Unfavorable,Yes
36.0,6.0,17.0,Third call,40-44,White,Female,,Fisher,Approve,Disapprove,Neither,,Not so good,No,No,No,Worse,Clinton,Democrat,Some college,Catholic,Under 15K,Moderate,18 to 64,State,Complete,Northeast,30 to 44,40 to 49,Democrat,40 to 49,1.483,Economy/jobs,Economy/jobs,Same,Favorable,No
36.0,6.0,18.0,Third call,30-39,White,Female,Voinovich,,Disapprove,Disapprove,Neither,,Not so good,No,Yes,,Same,Dole,,College grad,Protestant,30 to 50K,Conservative,18 to 64,State,Complete,Northeast,30 to 44,30 to 39,,30 to 39,1.413,,Education,Same,Unfavorable,No
36.0,6.0,19.0,Third call,40-44,White,Female,Boyle,,Approve,Disapprove,Neither,No,Good,No,No,No,Better,Clinton,Democrat,College grad,Something else,30 to 50K,Moderate,18 to 64,State,Complete,Northeast,30 to 44,40 to 49,Democrat,40 to 49,1.3780000000000001,Education,,Same,Favorable,No
36.0,6.0,20.0,Third call,45-49,White,Male,Boyle,Taft,Approve,Approve,Neither,Yes,Not so good,No,Yes,No,Same,Clinton,Republican,Postgrad,Protestant,50 to 75K,Moderate,18 to 64,State,Complete,Northeast,45 to 59,40 to 49,Republican,40 to 49,1.358,Education,Education,Worse,Unfavorable,Yes
36.0,6.0,21.0,Third call,30-39,White,Male,Voinovich,Taft,Approve,Approve,Neither,No,Good,No,No,No,Better,Clinton,Democrat,Some college,,15 to 30K,Moderate,18 to 64,State,Complete,Northeast,30 to 44,30 to 39,Democrat,30 to 39,1.393,Education,Economy/jobs,Same,Favorable,Yes
36.0,6.0,22.0,Third call,18-24,White,Male,Voinovich,Taft,Approve,Disapprove,Support Clinton,No,Not so good,No,No,Yes,Better,Perot,Independent,HS grad,Other Christian,15 to 30K,Moderate,18 to 64,State,Complete,Northeast,18 to 29,18 to 24,Independent/Other,18 to 24,1.8050000000000002,Taxes,Health care,Better,Favorable,Yes
36.0,6.0,23.0,Third call,30-39,White,Male,Boyle,Fisher,Disapprove,Disapprove,Neither,No,Not so good,No,Yes,Yes,Worse,Clinton,Democrat,Some college,Other Christian,30 to 50K,Conservative,18 to 64,State,Complete,Northeast,30 to 44,30 to 39,Democrat,30 to 39,1.572,Economy/jobs,Economy/jobs,Same,Unfavorable,Yes
36.0,6.0,24.0,Third call,40-44,White,Male,Voinovich,Taft,Disapprove,Disapprove,Oppose Clinton,,Good,Yes,Yes,No,Better,Dole,Republican,,Other Christian,30 to 50K,Conservative,18 to 64,State,Complete,Northeast,30 to 44,40 to 49,Republican,40 to 49,1.393,Education,Education,Same,Unfavorable,No
36.0,6.0,25.0,Third call,40-44,White,Male,,Taft,Approve,Approve,Neither,,Not so good,Yes,Yes,No,Same,Clinton,Democrat,HS grad,Protestant,15 to 30K,Moderate,18 to 64,State,Complete,Northeast,30 to 44,40 to 49,Democrat,40 to 49,1.3780000000000001,Education,Education,Better,Unfavorable,No
36.0,6.0,26.0,Third call,50-59,White,Female,Voinovich,Taft,Disapprove,Approve,Oppose Clinton,No,Not so good,Yes,Yes,Yes,Same,Dole,Republican,HS grad,Protestant,15 to 30K,Moderate,18 to 64,State,Complete,Northeast,45 to 59,50 to 59,Republican,50 to 64,1.296,Education,Education,Same,Unfavorable,No
36.0,6.0,27.0,Third call,60-64,White,Female,Boyle,Fisher,Disapprove,Disapprove,Neither,,Not so good,,,,Same,,,HS grad,Protestant,,Moderate,18 to 64,State,Complete,Northeast,60 and over,60 and over,,50 to 64,2.037,,,Same,Unfavorable,No
36.0,6.0,28.0,Third call,30-39,White,Female,Voinovich,Fisher,Approve,Disapprove,Neither,No,Good,No,Yes,No,Better,Clinton,Democrat,HS grad,Protestant,50 to 75K,Moderate,18 to 64,State,Complete,Northeast,30 to 44,30 to 39,Democrat,30 to 39,1.499,Economy/jobs,Economy/jobs,Same,Favorable,No
