State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Senator Vote,Governor Race,Hispanic descent,Clinton Approval,Congress Approval,Q-Race (without Hispanic adj),Reason for Cong Vote,Religious Right,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,1996 vote,Education,Income,Ideology,Age (65 and over),Prop300: Bar Medical Use of Marijuana,State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight 3 implied dec
3.0,1.0,20.0,Second call,30-39,Hispanic,,McCain,,Yes,Disapprove,Disapprove,,,,,,,,,,,,18 to 64,Yes,State,Not complete,Desert area,30 to 44,30 to 39,,30 to 39,0.889
3.0,1.0,21.0,Second call,25-29,Other,Male,McCain,Johnson,No,Disapprove,Disapprove,,Oppose Clinton,No,No,Yes,Same,Clinton,Democrat,Some college,15 to 30K,Moderate,18 to 64,No,State,Complete,Desert area,18 to 29,25 to 29,Democrat,25 to 29,0.912
3.0,1.0,22.0,Second call,30-39,Other,Male,McCain,Hull,No,Disapprove,Disapprove,,Oppose Clinton,No,No,No,Better,Did not vote,Republican,HS grad,Under 15K,Moderate,18 to 64,No,State,Complete,Desert area,30 to 44,30 to 39,Republican,30 to 39,1.074
3.0,1.0,23.0,Second call,45-49,Other,Male,Ranger,Johnson,No,Approve,Approve,,Oppose Clinton,No,No,No,Same,Clinton,Democrat,Postgrad,,Liberal,18 to 64,No,State,Complete,Desert area,45 to 59,40 to 49,Democrat,40 to 49,0.955
3.0,1.0,24.0,Second call,25-29,Other,Male,Other,Hull,No,Approve,Approve,,Neither,No,No,No,Same,Did not vote,Democrat,Some college,Under 15K,Conservative,18 to 64,No,State,Complete,Desert area,18 to 29,25 to 29,Democrat,25 to 29,0.993
3.0,1.0,25.0,Second call,30-39,Other,Male,McCain,,No,Approve,Disapprove,,Oppose Clinton,No,Yes,No,Worse,Clinton,Democrat,Some college,Under 15K,Liberal,18 to 64,,State,Complete,Desert area,30 to 44,30 to 39,Democrat,30 to 39,1.033
3.0,1.0,26.0,Second call,45-49,Other,Male,Ranger,Johnson,No,Approve,Approve,,Support Clinton,No,No,No,Better,Clinton,Democrat,No HS,15 to 30K,Liberal,18 to 64,No,State,Complete,Desert area,45 to 59,40 to 49,Democrat,40 to 49,0.955
3.0,1.0,27.0,Second call,45-49,Other,Female,Ranger,Johnson,No,Approve,,,Support Clinton,No,Yes,No,Better,Clinton,Democrat,No HS,Under 15K,Liberal,18 to 64,Yes,State,Complete,Desert area,45 to 59,40 to 49,Democrat,40 to 49,0.908
3.0,1.0,28.0,Third call,30-39,Other,Male,Ranger,Johnson,,Approve,Approve,,Support Clinton,Yes,Yes,Yes,Better,Clinton,,College grad,30 to 50K,Moderate,18 to 64,Yes,State,Complete,Desert area,30 to 44,30 to 39,,30 to 39,0.961
3.0,1.0,29.0,Third call,65 and over,Other,Female,Ranger,Johnson,No,Disapprove,Disapprove,,Support Clinton,No,No,No,Better,Clinton,Democrat,HS grad,15 to 30K,Liberal,65 and over,Yes,State,Complete,Desert area,60 and over,65 and over,Democrat,65 and over,0.86
3.0,1.0,30.0,Third call,40-44,Other,Male,Ranger,Johnson,No,Approve,Approve,,Support Clinton,Yes,Yes,Yes,Better,Clinton,Democrat,College grad,30 to 50K,Moderate,18 to 64,Yes,State,Complete,Desert area,30 to 44,40 to 49,Democrat,40 to 49,0.961
3.0,1.0,31.0,Third call,40-44,Other,Female,Ranger,Johnson,No,Disapprove,Disapprove,,Neither,No,No,No,Better,Clinton,Democrat,Some college,15 to 30K,Liberal,18 to 64,Yes,State,Complete,Desert area,30 to 44,40 to 49,Democrat,40 to 49,0.908
3.0,1.0,32.0,Third call,40-44,Other,Male,McCain,Hull,No,Disapprove,Disapprove,,Support Clinton,No,No,No,Better,Clinton,Democrat,College grad,30 to 50K,Liberal,18 to 64,Yes,State,Complete,Desert area,30 to 44,40 to 49,Democrat,40 to 49,1.082
3.0,1.0,33.0,Third call,45-49,Other,Female,Ranger,Johnson,No,Disapprove,Disapprove,,Support Clinton,Yes,Yes,Yes,Better,Clinton,,Some college,15 to 30K,Liberal,18 to 64,,State,Complete,Desert area,45 to 59,40 to 49,,40 to 49,0.905
3.0,1.0,34.0,Third call,25-29,Other,Female,Ranger,Johnson,No,Approve,Approve,,Support Clinton,Yes,Yes,Yes,Better,Clinton,Democrat,Some college,15 to 30K,Liberal,18 to 64,Yes,State,Complete,Desert area,18 to 29,25 to 29,Democrat,25 to 29,0.905
3.0,1.0,35.0,Third call,18-24,Other,Female,Ranger,Johnson,No,Disapprove,Disapprove,,Support Clinton,Yes,Yes,Yes,Better,Clinton,Democrat,HS grad,15 to 30K,Liberal,18 to 64,Yes,State,Complete,Desert area,18 to 29,18 to 24,Democrat,18 to 24,0.905
3.0,1.0,36.0,Third call,65 and over,Other,Male,Ranger,Johnson,No,Approve,Disapprove,,Neither,No,No,No,Better,Clinton,Democrat,No HS,Under 15K,Liberal,65 and over,No,State,Complete,Desert area,60 and over,65 and over,Democrat,65 and over,0.904
3.0,1.0,37.0,Third call,40-44,Other,Female,Ranger,Johnson,No,Disapprove,Approve,,Neither,No,No,No,Same,Clinton,Democrat,No HS,Under 15K,Liberal,18 to 64,No,State,Complete,Desert area,30 to 44,40 to 49,Democrat,40 to 49,0.903
3.0,1.0,38.0,Third call,45-49,Other,Female,Ranger,Johnson,No,Approve,Approve,,Support Clinton,No,No,No,Better,Clinton,Democrat,No HS,Under 15K,Liberal,18 to 64,No,State,Complete,Desert area,45 to 59,40 to 49,Democrat,40 to 49,0.903
3.0,1.0,39.0,Third call,60-64,Other,Female,Ranger,Johnson,No,Approve,Approve,,Neither,No,No,No,Same,Clinton,Democrat,HS grad,Under 15K,Liberal,18 to 64,No,State,Complete,Desert area,60 and over,65 and over,Democrat,50 to 64,0.8540000000000001
3.0,1.0,40.0,Third call,18-24,Other,Female,Ranger,Johnson,No,Disapprove,Approve,,Neither,Yes,Yes,Yes,Same,Clinton,Democrat,No HS,Under 15K,Liberal,18 to 64,No,State,Complete,Desert area,18 to 29,18 to 24,Democrat,18 to 24,0.899
3.0,2.0,1.0,First call,50-59,White,Female,Ranger,Johnson,No,Approve,Disapprove,White,Support Clinton,No,No,Yes,Same,Clinton,Democrat,College grad,15 to 30K,Moderate,18 to 64,Yes,State,Complete,Desert area,45 to 59,50 to 59,Democrat,50 to 64,0.48700000000000004
3.0,2.0,2.0,First call,30-39,White,Male,McCain,Hull,No,Disapprove,Approve,White,Oppose Clinton,Yes,Yes,Yes,Worse,Dole,Republican,Some college,50 to 75K,Moderate,18 to 64,Yes,State,Complete,Desert area,30 to 44,30 to 39,Republican,30 to 39,0.5840000000000001
3.0,2.0,3.0,First call,50-59,White,Male,McCain,Hull,No,Approve,Disapprove,White,Neither,No,No,Yes,Better,Clinton,Independent,Some college,30 to 50K,Liberal,18 to 64,No,State,Complete,Desert area,45 to 59,50 to 59,Independent/Other,50 to 64,0.581
3.0,2.0,4.0,First call,65 and over,White,Male,Ranger,,,Approve,Disapprove,White,Neither,No,No,No,Same,Clinton,Democrat,,,Moderate,65 and over,No,State,Complete,Desert area,60 and over,65 and over,Democrat,65 and over,0.548
3.0,2.0,5.0,First call,65 and over,White,Female,Ranger,Johnson,No,Disapprove,Disapprove,White,Neither,,Yes,,Same,Dole,Democrat,No HS,15 to 30K,Moderate,65 and over,Yes,State,Complete,Desert area,60 and over,65 and over,Democrat,65 and over,0.463
3.0,2.0,6.0,First call,50-59,White,Female,McCain,Hull,No,Disapprove,Disapprove,White,Neither,Yes,Yes,Yes,Same,Dole,Republican,Some college,30 to 50K,Moderate,18 to 64,Yes,State,Complete,Desert area,45 to 59,50 to 59,Republican,50 to 64,0.55
3.0,2.0,7.0,First call,65 and over,White,Male,McCain,Hull,No,Disapprove,Approve,White,Oppose Clinton,Yes,No,No,Same,Dole,Independent,,Under 15K,Conservative,65 and over,No,State,Complete,Desert area,60 and over,65 and over,Independent/Other,65 and over,0.55
3.0,2.0,8.0,First call,65 and over,White,Female,McCain,Hull,No,Approve,Disapprove,White,Neither,No,No,No,Worse,Clinton,Democrat,HS grad,Under 15K,Conservative,65 and over,No,State,Complete,Desert area,60 and over,65 and over,Democrat,65 and over,0.518
3.0,2.0,9.0,First call,60-64,White,Male,McCain,Hull,No,Approve,Approve,White,Neither,Yes,Yes,Yes,Worse,Dole,Independent,HS grad,50 to 75K,Moderate,18 to 64,No,State,Complete,Desert area,60 and over,65 and over,Independent/Other,50 to 64,0.55
3.0,2.0,10.0,First call,60-64,White,Male,McCain,Hull,No,Disapprove,Disapprove,White,Neither,No,Yes,Yes,Same,Dole,Republican,,,Conservative,18 to 64,Yes,State,Complete,Desert area,60 and over,65 and over,Republican,50 to 64,0.552
3.0,2.0,11.0,First call,50-59,White,Female,McCain,Johnson,No,Approve,Disapprove,White,Neither,No,No,Yes,Same,Clinton,Democrat,College grad,50 to 75K,Moderate,18 to 64,Yes,State,Complete,Desert area,45 to 59,50 to 59,Democrat,50 to 64,0.467
3.0,2.0,12.0,First call,45-49,White,Male,McCain,Hull,No,Disapprove,Disapprove,White,Neither,Yes,Yes,No,Same,Perot,Republican,College grad,100K or more,Conservative,18 to 64,Yes,State,Complete,Desert area,45 to 59,40 to 49,Republican,40 to 49,0.5840000000000001
3.0,2.0,13.0,First call,50-59,White,Male,Ranger,Johnson,No,Approve,Disapprove,White,Neither,No,No,No,Better,Clinton,Democrat,Postgrad,100K or more,Liberal,18 to 64,Yes,State,Complete,Desert area,45 to 59,50 to 59,Democrat,50 to 64,0.517
3.0,2.0,14.0,First call,50-59,White,Male,Ranger,Johnson,No,Approve,Disapprove,White,Support Clinton,No,No,No,Better,Clinton,Democrat,Postgrad,50 to 75K,Moderate,18 to 64,No,State,Complete,Desert area,45 to 59,50 to 59,Democrat,50 to 64,0.514
3.0,2.0,15.0,Second call,60-64,White,Female,McCain,Hull,No,Disapprove,Approve,White,Neither,Yes,Yes,Yes,Same,Dole,Republican,HS grad,15 to 30K,Moderate,18 to 64,No,State,Complete,Desert area,60 and over,65 and over,Republican,50 to 64,0.518
3.0,2.0,16.0,Second call,65 and over,White,Female,McCain,Hull,No,Approve,Disapprove,White,Support Clinton,No,No,No,Better,Clinton,Republican,No HS,,Conservative,65 and over,No,State,Complete,Desert area,60 and over,65 and over,Republican,65 and over,0.518
3.0,2.0,17.0,Second call,40-44,Hispanic,Female,McCain,Johnson,Yes,Approve,Disapprove,,Neither,No,No,No,Worse,Clinton,Democrat,Some college,Under 15K,Liberal,18 to 64,No,State,Complete,Desert area,30 to 44,40 to 49,Democrat,40 to 49,0.39799999999999996
3.0,2.0,18.0,Second call,45-49,Hispanic,Female,Ranger,,Yes,Disapprove,Disapprove,,Neither,Yes,Yes,Yes,Better,Did not vote,Democrat,No HS,15 to 30K,Moderate,18 to 64,Yes,State,Complete,Desert area,45 to 59,40 to 49,Democrat,40 to 49,0.47100000000000003
3.0,2.0,19.0,Second call,65 and over,Hispanic,Female,McCain,Johnson,Yes,Approve,Disapprove,,Support Clinton,No,No,No,Same,Clinton,Democrat,,15 to 30K,Conservative,65 and over,No,State,Complete,Desert area,60 and over,65 and over,Democrat,65 and over,0.377
3.0,2.0,20.0,Second call,65 and over,White,Female,Other,Johnson,No,Approve,Disapprove,White,Support Clinton,No,No,Yes,,Clinton,Something else,Postgrad,15 to 30K,Moderate,65 and over,No,State,Complete,Desert area,60 and over,65 and over,Independent/Other,65 and over,0.40900000000000003
3.0,2.0,21.0,Second call,45-49,White,Female,,Hull,No,Disapprove,Approve,White,Neither,Yes,Yes,Yes,Same,Dole,Republican,College grad,,Conservative,18 to 64,No,State,Complete,Desert area,45 to 59,40 to 49,Republican,40 to 49,0.551
3.0,2.0,22.0,Second call,65 and over,White,Female,Ranger,Johnson,No,Approve,Disapprove,White,Support Clinton,No,No,No,Same,Clinton,Democrat,Some college,15 to 30K,Moderate,65 and over,No,State,Complete,Desert area,60 and over,65 and over,Democrat,65 and over,0.46
3.0,2.0,23.0,Second call,65 and over,White,Female,McCain,Johnson,No,Approve,Disapprove,White,Neither,No,No,No,Worse,Clinton,Democrat,HS grad,15 to 30K,Moderate,65 and over,Yes,State,Complete,Desert area,60 and over,65 and over,Democrat,65 and over,0.442
3.0,2.0,24.0,Second call,45-49,White,Female,McCain,Hull,No,Approve,Approve,White,Neither,No,No,No,Better,Did not vote,Democrat,No HS,50 to 75K,Liberal,18 to 64,No,State,Complete,Desert area,45 to 59,40 to 49,Democrat,40 to 49,0.548
3.0,2.0,25.0,Second call,50-59,White,Female,McCain,Hull,No,Approve,Disapprove,White,Neither,No,No,Yes,Better,Dole,Independent,Some college,30 to 50K,Conservative,18 to 64,Yes,State,Complete,Desert area,45 to 59,50 to 59,Independent/Other,50 to 64,0.55
3.0,2.0,26.0,Second call,30-39,,Female,Ranger,Hull,,,Approve,,Neither,No,No,No,Worse,Clinton,Democrat,HS grad,30 to 50K,Moderate,18 to 64,No,State,Complete,Desert area,30 to 44,30 to 39,Democrat,30 to 39,0.571
3.0,2.0,27.0,Second call,65 and over,White,Female,McCain,Johnson,No,Approve,Disapprove,White,Support Clinton,No,No,No,Same,Clinton,Something else,HS grad,15 to 30K,Liberal,65 and over,Yes,State,Complete,Desert area,60 and over,65 and over,Independent/Other,65 and over,0.442
3.0,2.0,28.0,Second call,40-44,White,Female,McCain,Hull,No,Approve,Disapprove,White,Support Clinton,No,No,No,Better,Clinton,Democrat,HS grad,15 to 30K,Liberal,18 to 64,Yes,State,Complete,Desert area,30 to 44,40 to 49,Democrat,40 to 49,0.55
3.0,2.0,29.0,Second call,60-64,White,Male,McCain,Hull,No,Approve,Disapprove,White,Neither,No,No,No,Better,Clinton,Democrat,HS grad,15 to 30K,Moderate,18 to 64,Yes,State,Complete,Desert area,60 and over,65 and over,Democrat,50 to 64,0.552
3.0,2.0,30.0,Second call,30-39,White,Female,McCain,Hull,No,Disapprove,Disapprove,White,Neither,Yes,Yes,Yes,Worse,Perot,Democrat,Some college,30 to 50K,Moderate,18 to 64,No,State,Complete,Desert area,30 to 44,30 to 39,Democrat,30 to 39,0.548
3.0,2.0,31.0,Second call,65 and over,White,Female,McCain,Hull,No,Approve,Disapprove,White,Neither,No,Yes,Yes,Same,Clinton,Independent,Postgrad,15 to 30K,,65 and over,Yes,State,Complete,Desert area,60 and over,65 and over,Independent/Other,65 and over,0.521
3.0,2.0,32.0,Second call,45-49,Hispanic,Female,Ranger,Johnson,Yes,Disapprove,Disapprove,,,Yes,Yes,Yes,Worse,Clinton,Democrat,No HS,15 to 30K,Moderate,18 to 64,Yes,State,Complete,Desert area,45 to 59,40 to 49,Democrat,40 to 49,0.41900000000000004
3.0,2.0,33.0,Second call,45-49,Hispanic,Male,McCain,Hull,,Approve,Approve,,Neither,No,No,No,Worse,Perot,Something else,Some college,15 to 30K,Moderate,18 to 64,Yes,State,Complete,Desert area,45 to 59,40 to 49,Independent/Other,40 to 49,0.498
3.0,2.0,34.0,Second call,60-64,White,Female,,Hull,,Disapprove,Disapprove,White,Neither,Yes,Yes,Yes,Same,Perot,Democrat,HS grad,Under 15K,Moderate,18 to 64,No,State,Complete,Desert area,60 and over,65 and over,Democrat,50 to 64,0.521
3.0,2.0,35.0,Second call,50-59,Hispanic,Female,Ranger,Johnson,No,Approve,Approve,,Neither,No,No,No,Same,Clinton,Democrat,HS grad,Under 15K,Conservative,18 to 64,Yes,State,Complete,Desert area,45 to 59,50 to 59,Democrat,50 to 64,0.41900000000000004
3.0,2.0,36.0,Second call,45-49,White,Male,McCain,Johnson,No,Approve,Disapprove,White,Neither,No,No,No,Same,Other,Democrat,HS grad,Under 15K,Moderate,18 to 64,No,State,Complete,Desert area,45 to 59,40 to 49,Democrat,40 to 49,0.492
3.0,2.0,37.0,Second call,50-59,White,Female,Ranger,Johnson,No,Approve,Disapprove,White,Neither,No,No,No,Worse,Perot,Something else,College grad,100K or more,Liberal,18 to 64,,State,Complete,Desert area,45 to 59,50 to 59,Independent/Other,50 to 64,0.48600000000000004
3.0,2.0,38.0,Second call,18-24,White,Male,McCain,Johnson,No,Disapprove,Approve,White,Oppose Clinton,No,Yes,Yes,Worse,Did not vote,Republican,Some college,100K or more,Conservative,18 to 64,No,State,Complete,Desert area,18 to 29,18 to 24,Republican,18 to 24,0.48800000000000004
3.0,2.0,39.0,Second call,65 and over,White,Female,McCain,Hull,No,Approve,Disapprove,White,Support Clinton,No,No,,Same,Clinton,Democrat,College grad,15 to 30K,Moderate,65 and over,,State,Complete,Desert area,60 and over,65 and over,Democrat,65 and over,0.52
3.0,2.0,40.0,Third call,30-39,Hispanic,Female,Other,Other,Yes,Approve,Disapprove,,Support Clinton,No,No,No,Same,Clinton,Democrat,HS grad,15 to 30K,,18 to 64,Yes,State,Complete,Desert area,30 to 44,30 to 39,Democrat,30 to 39,0.811
3.0,2.0,41.0,Third call,25-29,White,Female,McCain,Hull,No,Disapprove,Approve,White,Neither,No,No,,Worse,Dole,Democrat,Some college,50 to 75K,Liberal,18 to 64,No,State,Complete,Desert area,18 to 29,25 to 29,Democrat,25 to 29,0.5449999999999999
3.0,2.0,42.0,Third call,40-44,White,Female,McCain,Hull,No,Disapprove,Disapprove,White,Neither,Yes,Yes,Yes,Better,Dole,Republican,Postgrad,15 to 30K,Conservative,18 to 64,,State,Complete,Desert area,30 to 44,40 to 49,Republican,40 to 49,0.5489999999999999
3.0,2.0,43.0,Third call,40-44,White,Female,Ranger,Hull,No,Approve,Approve,White,Support Clinton,No,No,No,Better,Clinton,Democrat,Postgrad,30 to 50K,Moderate,18 to 64,No,State,Complete,Desert area,30 to 44,40 to 49,Democrat,40 to 49,0.571
3.0,2.0,44.0,Third call,40-44,Hispanic,Female,McCain,Johnson,Yes,Approve,Disapprove,,Neither,No,No,Yes,Same,Clinton,Democrat,No HS,15 to 30K,Conservative,18 to 64,Yes,State,Complete,Desert area,30 to 44,40 to 49,Democrat,40 to 49,0.402
3.0,2.0,45.0,Third call,65 and over,White,Female,McCain,Hull,No,Approve,Disapprove,White,Neither,No,No,Yes,Same,Clinton,Democrat,HS grad,Under 15K,Moderate,65 and over,Yes,State,Complete,Desert area,60 and over,65 and over,Democrat,65 and over,0.521
3.0,2.0,46.0,Third call,65 and over,White,Female,McCain,Hull,No,Disapprove,Disapprove,White,,Yes,Yes,Yes,Same,Dole,Republican,Some college,30 to 50K,Conservative,65 and over,No,State,Complete,Desert area,60 and over,65 and over,Republican,65 and over,0.518
3.0,2.0,47.0,Third call,30-39,White,Female,McCain,Hull,No,Disapprove,Disapprove,White,Neither,No,No,No,Worse,Clinton,Independent,Some college,Under 15K,Liberal,18 to 64,No,State,Complete,Desert area,30 to 44,30 to 39,Independent/Other,30 to 39,0.548
3.0,2.0,48.0,Third call,30-39,White,Female,McCain,Hull,,Disapprove,Approve,White,Neither,Yes,Yes,Yes,Same,Dole,Republican,HS grad,15 to 30K,Conservative,18 to 64,No,State,Complete,Desert area,30 to 44,30 to 39,Republican,30 to 39,0.548
3.0,2.0,49.0,Third call,25-29,White,Male,McCain,Hull,No,Disapprove,Approve,White,Neither,Yes,Yes,No,Better,Perot,Independent,HS grad,Under 15K,Moderate,18 to 64,No,State,Complete,Desert area,18 to 29,25 to 29,Independent/Other,25 to 29,0.578
3.0,2.0,50.0,Third call,30-39,White,Male,McCain,Hull,,Disapprove,Approve,White,Oppose Clinton,No,No,,Worse,Perot,Republican,HS grad,15 to 30K,Conservative,18 to 64,No,State,Complete,Desert area,30 to 44,30 to 39,Republican,30 to 39,0.581
3.0,2.0,51.0,Third call,45-49,White,Female,McCain,Hull,No,Disapprove,Disapprove,White,Neither,No,Yes,Yes,Better,Dole,Republican,Postgrad,75 to 100K,Conservative,18 to 64,Yes,State,Complete,Desert area,45 to 59,40 to 49,Republican,40 to 49,0.55
3.0,2.0,52.0,Third call,30-39,Hispanic,Male,McCain,Hull,Yes,Approve,Disapprove,,Oppose Clinton,No,No,No,Same,Clinton,Democrat,No HS,Under 15K,Liberal,18 to 64,No,State,Complete,Desert area,30 to 44,30 to 39,Democrat,30 to 39,0.495
3.0,2.0,53.0,Third call,65 and over,Hispanic,Female,McCain,Johnson,Yes,Approve,Approve,,Support Clinton,No,No,No,Better,Clinton,Democrat,No HS,30 to 50K,Moderate,65 and over,Yes,State,Complete,Desert area,60 and over,65 and over,Democrat,65 and over,0.37999999999999995
3.0,2.0,54.0,Third call,30-39,Hispanic,Male,McCain,Hull,No,Approve,Approve,,Support Clinton,No,No,Yes,Better,Clinton,Democrat,HS grad,30 to 50K,Conservative,18 to 64,,State,Complete,Desert area,30 to 44,30 to 39,Democrat,30 to 39,0.49700000000000005
3.0,2.0,55.0,Third call,65 and over,White,Male,McCain,Hull,No,Disapprove,Disapprove,White,Neither,,,,Same,,Independent,HS grad,15 to 30K,,65 and over,Yes,State,Complete,Desert area,60 and over,65 and over,Independent/Other,65 and over,0.552
3.0,5.0,1.0,First call,50-59,White,Female,Ranger,Johnson,,Approve,Approve,White,Neither,No,No,No,Same,Clinton,Democrat,HS grad,50 to 75K,Moderate,18 to 64,No,State,Complete,Desert area,45 to 59,50 to 59,Democrat,50 to 64,0.558
3.0,5.0,2.0,First call,65 and over,White,Male,McCain,Hull,No,Disapprove,Disapprove,White,Neither,No,No,No,Better,Dole,Republican,,30 to 50K,Conservative,65 and over,Yes,State,Complete,Desert area,60 and over,65 and over,Republican,65 and over,0.633
3.0,5.0,3.0,First call,60-64,White,Female,McCain,Hull,No,Approve,Approve,White,Neither,No,Yes,No,Better,Clinton,Democrat,HS grad,15 to 30K,Moderate,18 to 64,No,State,Complete,Desert area,60 and over,65 and over,Democrat,50 to 64,0.595
3.0,5.0,4.0,First call,65 and over,White,Male,Ranger,Johnson,No,Approve,Disapprove,White,Support Clinton,No,No,No,Same,Clinton,Democrat,No HS,15 to 30K,Liberal,65 and over,,State,Complete,Desert area,60 and over,65 and over,Democrat,65 and over,0.5599999999999999
