State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Senator Vote,Clinton Approval,Congress Approval,Reason for Cong Vote,Religious Right,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Finanacial Situation,1996 vote,Party ID,Income,Ideology,Age (65 and over),State or national poll,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight 3 decimal pl
45.0,4.0,24.0,Second call,30-39,White,Male,Leckman,Disapprove,Approve,Neither,No,Yes,Yes,No,Better,Dole,Something else,30 to 50K,Moderate,18 to 64,State,West/Provo area,30 to 44,30 to 39,Independent/Other,30 to 39,0.9410000000000001
45.0,4.0,25.0,Second call,60-64,White,Male,Bennett,Approve,Disapprove,Neither,No,No,No,Yes,Same,Clinton,Independent,50 to 75K,Moderate,18 to 64,State,West/Provo area,60 and over,60 and over,Independent/Other,50 to 64,1.224
45.0,4.0,26.0,Second call,45-49,White,Female,Bennett,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,No,Same,Other,Independent,50 to 75K,Conservative,18 to 64,State,West/Provo area,45 to 59,40 to 49,Independent/Other,40 to 49,1.018
45.0,4.0,27.0,Second call,65 and over,White,Male,Bennett,Disapprove,Disapprove,Oppose Clinton,Yes,No,Yes,Yes,Same,Dole,Independent,15 to 30K,Moderate,65 and over,State,West/Provo area,60 and over,60 and over,Independent/Other,65 and over,1.224
45.0,4.0,28.0,Second call,65 and over,White,Female,Bennett,Disapprove,,,No,Yes,Yes,Yes,Same,Dole,Republican,30 to 50K,Conservative,65 and over,State,West/Provo area,60 and over,60 and over,Republican,65 and over,1.2690000000000001
45.0,4.0,29.0,Second call,65 and over,White,Male,Leckman,Approve,Disapprove,Neither,No,No,No,No,Same,Clinton,Independent,75 to 100K,Moderate,65 and over,State,West/Provo area,60 and over,60 and over,Independent/Other,65 and over,1.173
45.0,4.0,30.0,Second call,65 and over,White,Female,Bennett,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,No,Same,Dole,Republican,,Conservative,65 and over,State,West/Provo area,60 and over,60 and over,Republican,65 and over,1.2690000000000001
45.0,4.0,31.0,Second call,65 and over,White,Female,Bennett,,,Oppose Clinton,,,,Yes,Same,Dole,Republican,30 to 50K,Conservative,65 and over,State,West/Provo area,60 and over,60 and over,Republican,65 and over,1.2690000000000001
45.0,4.0,32.0,Second call,45-49,White,Male,Bennett,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,Better,Dole,Republican,30 to 50K,Moderate,18 to 64,State,West/Provo area,45 to 59,40 to 49,Republican,40 to 49,0.9820000000000001
45.0,4.0,33.0,Second call,60-64,White,,Bennett,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,Same,Dole,Independent,50 to 75K,Moderate,18 to 64,State,West/Provo area,60 and over,60 and over,Independent/Other,50 to 64,1.2690000000000001
45.0,4.0,34.0,Second call,45-49,White,Male,Leckman,Approve,Approve,Neither,Yes,No,No,Yes,Better,Dole,Independent,75 to 100K,Moderate,18 to 64,State,West/Provo area,45 to 59,40 to 49,Independent/Other,40 to 49,0.9410000000000001
45.0,4.0,35.0,Second call,50-59,White,Female,Leckman,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,,Perot,Independent,,Moderate,18 to 64,State,West/Provo area,45 to 59,50 to 59,Independent/Other,50 to 64,0.976
45.0,4.0,36.0,Second call,65 and over,White,Male,Bennett,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Yes,Same,Dole,Republican,15 to 30K,Conservative,65 and over,State,West/Provo area,60 and over,60 and over,Republican,65 and over,1.224
45.0,4.0,37.0,Second call,40-44,White,Male,Leckman,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Yes,Worse,Dole,Independent,100K or more,Moderate,18 to 64,State,West/Provo area,30 to 44,40 to 49,Independent/Other,40 to 49,0.9410000000000001
45.0,4.0,38.0,Second call,30-39,White,Male,Bennett,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,,Same,Dole,Republican,30 to 50K,Conservative,18 to 64,State,West/Provo area,30 to 44,30 to 39,Republican,30 to 39,0.9820000000000001
45.0,4.0,39.0,Second call,40-44,White,Male,Other,Disapprove,Disapprove,Oppose Clinton,No,Yes,Yes,Yes,Same,Dole,Republican,50 to 75K,Conservative,18 to 64,State,West/Provo area,30 to 44,40 to 49,Republican,40 to 49,1.365
45.0,4.0,40.0,Second call,25-29,White,Female,Other,Disapprove,Approve,Neither,No,No,Yes,No,Same,Dole,Republican,30 to 50K,Moderate,18 to 64,State,West/Provo area,18 to 29,25 to 29,Republican,25 to 29,1.429
45.0,4.0,41.0,Second call,50-59,White,Male,Leckman,Disapprove,Approve,Neither,No,Yes,Yes,Yes,Worse,Dole,Independent,50 to 75K,Moderate,18 to 64,State,West/Provo area,45 to 59,50 to 59,Independent/Other,50 to 64,0.9410000000000001
45.0,4.0,42.0,Third call,30-39,White,Male,Bennett,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,Better,Dole,Republican,50 to 75K,Moderate,18 to 64,State,West/Provo area,30 to 44,30 to 39,Republican,30 to 39,0.9820000000000001
45.0,4.0,43.0,Third call,65 and over,White,Female,Bennett,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,Same,Dole,Independent,50 to 75K,Moderate,65 and over,State,West/Provo area,60 and over,60 and over,Independent/Other,65 and over,1.2690000000000001
45.0,4.0,44.0,Third call,65 and over,White,Female,Bennett,,Approve,Neither,,No,Yes,Yes,Same,,Independent,30 to 50K,Conservative,65 and over,State,West/Provo area,60 and over,60 and over,Independent/Other,65 and over,1.2690000000000001
45.0,4.0,45.0,Third call,40-44,White,Female,Bennett,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Yes,Better,Dole,Republican,50 to 75K,Conservative,18 to 64,State,West/Provo area,30 to 44,40 to 49,Republican,40 to 49,1.018
45.0,4.0,46.0,Third call,50-59,White,Male,Bennett,Disapprove,,Neither,,Yes,Yes,,Same,Clinton,Republican,,Conservative,18 to 64,State,West/Provo area,45 to 59,50 to 59,Republican,50 to 64,0.9820000000000001
45.0,4.0,47.0,Third call,65 and over,White,Male,Bennett,Disapprove,Approve,Neither,,Yes,Yes,Yes,Same,Dole,Republican,50 to 75K,Conservative,65 and over,State,West/Provo area,60 and over,60 and over,Republican,65 and over,1.224
45.0,4.0,48.0,Third call,45-49,White,Male,Leckman,Disapprove,Disapprove,Neither,No,No,Yes,Yes,Better,Clinton,Democrat,30 to 50K,Liberal,18 to 64,State,West/Provo area,45 to 59,40 to 49,Democrat,40 to 49,0.9410000000000001
45.0,4.0,49.0,Third call,50-59,White,Female,Leckman,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,Same,Dole,Republican,30 to 50K,Moderate,18 to 64,State,West/Provo area,45 to 59,50 to 59,Republican,50 to 64,0.976
45.0,4.0,50.0,Third call,40-44,White,Female,Leckman,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,75 to 100K,Liberal,18 to 64,State,West/Provo area,30 to 44,40 to 49,Democrat,40 to 49,0.976
45.0,4.0,51.0,Third call,30-39,White,Male,Bennett,Disapprove,Approve,Neither,No,No,Yes,No,Better,Dole,Democrat,30 to 50K,Liberal,18 to 64,State,West/Provo area,30 to 44,30 to 39,Democrat,30 to 39,0.9820000000000001
45.0,4.0,52.0,Third call,40-44,White,Male,Bennett,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,Same,Dole,Independent,50 to 75K,Moderate,18 to 64,State,West/Provo area,30 to 44,40 to 49,Independent/Other,40 to 49,0.9820000000000001
45.0,4.0,53.0,Third call,18-24,White,Female,Bennett,Disapprove,Approve,Neither,No,Yes,Yes,Yes,Better,Dole,Republican,Under 15K,Conservative,18 to 64,State,West/Provo area,18 to 29,18 to 24,Republican,18 to 24,1.028
45.0,4.0,54.0,Third call,40-44,White,Male,Bennett,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Yes,Same,Dole,Republican,30 to 50K,Conservative,18 to 64,State,West/Provo area,30 to 44,40 to 49,Republican,40 to 49,0.9820000000000001
45.0,4.0,55.0,Third call,65 and over,White,Male,Bennett,Disapprove,Disapprove,Neither,No,Yes,Yes,No,Same,Perot,Republican,30 to 50K,Moderate,65 and over,State,West/Provo area,60 and over,60 and over,Republican,65 and over,1.224
45.0,4.0,56.0,Third call,40-44,White,Male,Bennett,Disapprove,Approve,Neither,Yes,Yes,Yes,No,Better,Dole,Republican,100K or more,Conservative,18 to 64,State,West/Provo area,30 to 44,40 to 49,Republican,40 to 49,0.9820000000000001
45.0,4.0,57.0,Third call,25-29,White,Female,Bennett,Disapprove,Disapprove,Oppose Clinton,No,Yes,Yes,No,Better,Dole,Something else,30 to 50K,Moderate,18 to 64,State,West/Provo area,18 to 29,25 to 29,Independent/Other,25 to 29,1.028
45.0,4.0,58.0,Third call,45-49,White,Female,Bennett,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,No,Better,Dole,Republican,30 to 50K,Conservative,18 to 64,State,West/Provo area,45 to 59,40 to 49,Republican,40 to 49,1.018
45.0,4.0,59.0,Third call,65 and over,White,Male,Bennett,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,No,Same,Dole,Republican,30 to 50K,Moderate,65 and over,State,West/Provo area,60 and over,60 and over,Republican,65 and over,1.224
45.0,4.0,60.0,Third call,65 and over,White,Female,Bennett,Disapprove,Approve,Neither,No,Yes,Yes,,Same,Dole,Republican,15 to 30K,Conservative,65 and over,State,West/Provo area,60 and over,60 and over,Republican,65 and over,1.2690000000000001
45.0,4.0,61.0,Third call,65 and over,White,Female,Bennett,Disapprove,Approve,,,Yes,Yes,Yes,Same,Dole,Republican,30 to 50K,Conservative,65 and over,State,West/Provo area,60 and over,60 and over,Republican,65 and over,1.2690000000000001
45.0,7.0,1.0,First call,30-39,White,Female,Bennett,Disapprove,Approve,Neither,No,No,No,Yes,Better,Dole,Republican,50 to 75K,Moderate,18 to 64,State,East/Odgen area,30 to 44,30 to 39,Republican,30 to 39,0.472
45.0,7.0,2.0,First call,45-49,White,Female,Bennett,Disapprove,Disapprove,Neither,No,No,Yes,Yes,Better,Clinton,Independent,75 to 100K,Moderate,18 to 64,State,East/Odgen area,45 to 59,40 to 49,Independent/Other,40 to 49,0.472
45.0,7.0,3.0,First call,30-39,White,Female,Leckman,Approve,Disapprove,Neither,No,Yes,Yes,Yes,Better,Perot,Republican,50 to 75K,Moderate,18 to 64,State,East/Odgen area,30 to 44,30 to 39,Republican,30 to 39,0.511
45.0,7.0,4.0,First call,45-49,White,Male,Leckman,Disapprove,Approve,Neither,No,Yes,Yes,No,Better,Dole,Republican,50 to 75K,Conservative,18 to 64,State,East/Odgen area,45 to 59,40 to 49,Republican,40 to 49,0.48800000000000004
45.0,7.0,5.0,First call,65 and over,White,Male,Bennett,Disapprove,Approve,Oppose Clinton,Yes,No,Yes,Yes,Same,Dole,Republican,30 to 50K,Conservative,65 and over,State,East/Odgen area,60 and over,60 and over,Republican,65 and over,0.455
45.0,7.0,6.0,First call,65 and over,White,Female,Bennett,Disapprove,Approve,Oppose Clinton,Yes,No,Yes,Yes,Same,Dole,Republican,30 to 50K,Conservative,65 and over,State,East/Odgen area,60 and over,60 and over,Republican,65 and over,0.475
45.0,7.0,7.0,First call,50-59,White,Male,Bennett,Disapprove,Approve,Neither,No,Yes,Yes,No,Same,Dole,Republican,50 to 75K,Conservative,18 to 64,State,East/Odgen area,45 to 59,50 to 59,Republican,50 to 64,0.452
45.0,7.0,8.0,First call,45-49,White,Female,Bennett,Disapprove,Approve,Neither,No,No,No,Yes,Same,Dole,Independent,50 to 75K,Conservative,18 to 64,State,East/Odgen area,45 to 59,40 to 49,Independent/Other,40 to 49,0.472
45.0,7.0,9.0,First call,30-39,White,Male,Bennett,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Yes,Worse,Dole,Democrat,30 to 50K,Moderate,18 to 64,State,East/Odgen area,30 to 44,30 to 39,Democrat,30 to 39,0.452
45.0,7.0,10.0,First call,50-59,Hispanic,Male,Leckman,Approve,Disapprove,Neither,No,No,No,No,Same,Clinton,Independent,100K or more,Moderate,18 to 64,State,East/Odgen area,45 to 59,50 to 59,Independent/Other,50 to 64,0.48800000000000004
45.0,7.0,11.0,First call,60-64,White,Female,Leckman,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,30 to 50K,Moderate,18 to 64,State,East/Odgen area,60 and over,60 and over,Democrat,50 to 64,0.514
45.0,7.0,12.0,First call,30-39,White,Female,Leckman,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Democrat,50 to 75K,Liberal,18 to 64,State,East/Odgen area,30 to 44,30 to 39,Democrat,30 to 39,0.511
45.0,7.0,13.0,Second call,65 and over,White,Female,Bennett,,,Oppose Clinton,No,No,Yes,,Same,Dole,Republican,Under 15K,Conservative,65 and over,State,East/Odgen area,60 and over,60 and over,Republican,65 and over,0.475
45.0,7.0,14.0,Second call,18-24,White,Male,Bennett,Disapprove,Disapprove,Oppose Clinton,No,Yes,Yes,Yes,Same,Dole,Republican,Under 15K,Moderate,18 to 64,State,East/Odgen area,18 to 29,18 to 24,Republican,18 to 24,0.44
45.0,7.0,15.0,Second call,40-44,White,Female,Bennett,Disapprove,,Oppose Clinton,No,Yes,Yes,No,Worse,Dole,Independent,30 to 50K,Moderate,18 to 64,State,East/Odgen area,30 to 44,40 to 49,Independent/Other,40 to 49,0.472
45.0,7.0,16.0,Second call,30-39,White,Female,Bennett,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,No,Worse,Dole,Republican,30 to 50K,Conservative,18 to 64,State,East/Odgen area,30 to 44,30 to 39,Republican,30 to 39,0.472
45.0,7.0,17.0,Second call,25-29,Asian,Male,Bennett,Disapprove,Approve,Neither,No,Yes,Yes,Yes,Same,Dole,Republican,15 to 30K,Conservative,18 to 64,State,East/Odgen area,18 to 29,25 to 29,Republican,25 to 29,0.44
45.0,7.0,18.0,Second call,40-44,White,Female,Bennett,Disapprove,Approve,Neither,No,No,Yes,Yes,Same,Dole,Republican,50 to 75K,Conservative,18 to 64,State,East/Odgen area,30 to 44,40 to 49,Republican,40 to 49,0.472
45.0,7.0,19.0,Second call,30-39,White,Male,Bennett,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,No,Better,Did not vote,Democrat,75 to 100K,Moderate,18 to 64,State,East/Odgen area,30 to 44,30 to 39,Democrat,30 to 39,0.452
45.0,7.0,20.0,Second call,45-49,White,Male,Bennett,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Yes,Better,Dole,Republican,75 to 100K,Conservative,18 to 64,State,East/Odgen area,45 to 59,40 to 49,Republican,40 to 49,0.452
45.0,7.0,21.0,Second call,30-39,White,Male,Bennett,Disapprove,,,No,Yes,Yes,No,Same,Dole,Republican,30 to 50K,Conservative,18 to 64,State,East/Odgen area,30 to 44,30 to 39,Republican,30 to 39,0.452
45.0,7.0,22.0,Second call,50-59,White,Male,Bennett,Disapprove,Disapprove,Oppose Clinton,No,No,Yes,Yes,Same,Perot,Independent,50 to 75K,Moderate,18 to 64,State,East/Odgen area,45 to 59,50 to 59,Independent/Other,50 to 64,0.452
45.0,7.0,23.0,Second call,18-24,White,Male,Bennett,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,No,Same,Did not vote,Republican,50 to 75K,Conservative,18 to 64,State,East/Odgen area,18 to 29,18 to 24,Republican,18 to 24,0.44
45.0,7.0,24.0,Second call,30-39,White,Male,Bennett,Disapprove,Disapprove,Neither,No,Yes,Yes,No,Same,Perot,Something else,50 to 75K,Conservative,18 to 64,State,East/Odgen area,30 to 44,30 to 39,Independent/Other,30 to 39,0.452
45.0,7.0,25.0,Second call,25-29,White,Male,Bennett,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,No,Better,Dole,Republican,30 to 50K,Conservative,18 to 64,State,East/Odgen area,18 to 29,25 to 29,Republican,25 to 29,0.44
45.0,7.0,26.0,Second call,30-39,White,Male,Leckman,Disapprove,Approve,Neither,No,No,Yes,Yes,Worse,Did not vote,Democrat,30 to 50K,Moderate,18 to 64,State,East/Odgen area,30 to 44,30 to 39,Democrat,30 to 39,0.48800000000000004
45.0,7.0,27.0,Second call,30-39,White,Female,Other,Disapprove,Approve,Neither,No,No,Yes,Yes,Same,Dole,Republican,30 to 50K,Moderate,18 to 64,State,East/Odgen area,30 to 44,30 to 39,Republican,30 to 39,0.6809999999999999
45.0,7.0,28.0,Second call,65 and over,Hispanic,Male,Bennett,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,No,Same,Dole,Republican,30 to 50K,Conservative,65 and over,State,East/Odgen area,60 and over,60 and over,Republican,65 and over,0.454
45.0,7.0,29.0,Second call,60-64,White,Female,Bennett,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,No,Same,Dole,Republican,30 to 50K,Conservative,18 to 64,State,East/Odgen area,60 and over,60 and over,Republican,50 to 64,0.475
45.0,7.0,30.0,Second call,30-39,White,Male,Bennett,Disapprove,Disapprove,Neither,No,No,No,Yes,Same,Dole,Republican,50 to 75K,Conservative,18 to 64,State,East/Odgen area,30 to 44,30 to 39,Republican,30 to 39,0.452
45.0,7.0,31.0,Second call,40-44,White,Female,Bennett,Disapprove,Approve,Neither,No,Yes,Yes,,Same,Dole,Republican,,Moderate,18 to 64,State,East/Odgen area,30 to 44,40 to 49,Republican,40 to 49,0.472
45.0,7.0,32.0,Second call,50-59,White,Male,Bennett,Approve,Disapprove,Neither,No,No,No,Yes,Better,Clinton,Democrat,50 to 75K,Moderate,18 to 64,State,East/Odgen area,45 to 59,50 to 59,Democrat,50 to 64,0.452
45.0,7.0,33.0,Second call,40-44,White,Male,Bennett,Disapprove,Approve,Neither,Yes,Yes,Yes,Yes,Same,Dole,Independent,30 to 50K,Moderate,18 to 64,State,East/Odgen area,30 to 44,40 to 49,Independent/Other,40 to 49,0.452
45.0,7.0,34.0,Second call,25-29,White,Female,Bennett,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Yes,Same,Dole,Republican,30 to 50K,Conservative,18 to 64,State,East/Odgen area,18 to 29,25 to 29,Republican,25 to 29,0.46
45.0,7.0,35.0,Third call,40-44,White,Male,Bennett,Disapprove,Approve,Neither,No,Yes,Yes,No,Worse,Dole,Independent,50 to 75K,Moderate,18 to 64,State,East/Odgen area,30 to 44,40 to 49,Independent/Other,40 to 49,0.452
45.0,7.0,36.0,Third call,50-59,White,,Bennett,Disapprove,Disapprove,Oppose Clinton,No,Yes,Yes,Yes,Better,Dole,Independent,50 to 75K,Liberal,18 to 64,State,East/Odgen area,45 to 59,50 to 59,Independent/Other,50 to 64,0.452
45.0,7.0,37.0,Third call,50-59,White,Female,Leckman,Approve,Disapprove,Neither,No,No,No,No,Same,Clinton,Independent,30 to 50K,Conservative,18 to 64,State,East/Odgen area,45 to 59,50 to 59,Independent/Other,50 to 64,0.511
45.0,7.0,38.0,Third call,45-49,White,Male,Leckman,Approve,Disapprove,Neither,No,No,No,Yes,Same,Clinton,Something else,30 to 50K,Moderate,18 to 64,State,East/Odgen area,45 to 59,40 to 49,Independent/Other,40 to 49,0.48800000000000004
45.0,7.0,39.0,Third call,50-59,White,Female,Leckman,Approve,Disapprove,Neither,No,No,No,Yes,Same,Clinton,Something else,50 to 75K,Moderate,18 to 64,State,East/Odgen area,45 to 59,50 to 59,Independent/Other,50 to 64,0.511
45.0,7.0,40.0,Third call,40-44,White,Male,Leckman,Approve,Disapprove,Neither,No,No,No,Yes,Better,Clinton,Democrat,50 to 75K,Conservative,18 to 64,State,East/Odgen area,30 to 44,40 to 49,Democrat,40 to 49,0.48800000000000004
45.0,7.0,41.0,Third call,40-44,White,Male,Leckman,Disapprove,Approve,Neither,Yes,Yes,Yes,Yes,Same,Dole,Independent,50 to 75K,Moderate,18 to 64,State,East/Odgen area,30 to 44,40 to 49,Independent/Other,40 to 49,0.48800000000000004
45.0,7.0,42.0,Third call,50-59,White,Female,Bennett,Disapprove,Approve,Neither,No,Yes,Yes,No,Same,Dole,Republican,50 to 75K,Moderate,18 to 64,State,East/Odgen area,45 to 59,50 to 59,Republican,50 to 64,0.472
45.0,7.0,43.0,Third call,30-39,White,Female,Bennett,Approve,Disapprove,Neither,No,No,No,Yes,Better,Dole,Republican,30 to 50K,Liberal,18 to 64,State,East/Odgen area,30 to 44,30 to 39,Republican,30 to 39,0.472
45.0,7.0,44.0,Third call,45-49,White,Female,Bennett,Approve,Disapprove,Neither,No,No,No,No,Same,Clinton,Democrat,75 to 100K,Moderate,18 to 64,State,East/Odgen area,45 to 59,40 to 49,Democrat,40 to 49,0.472
45.0,7.0,45.0,Third call,,White,Female,Bennett,Disapprove,,Neither,,,Yes,Yes,Same,Dole,Republican,75 to 100K,Conservative,,State,East/Odgen area,,,Republican,,0.472
45.0,7.0,46.0,Third call,60-64,White,Male,Bennett,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,No,Same,Dole,Republican,50 to 75K,Conservative,18 to 64,State,East/Odgen area,60 and over,60 and over,Republican,50 to 64,0.455
45.0,7.0,47.0,Third call,40-44,White,Male,Leckman,Approve,Approve,Neither,No,No,No,Yes,Better,Clinton,Independent,50 to 75K,Moderate,18 to 64,State,East/Odgen area,30 to 44,40 to 49,Independent/Other,40 to 49,0.48800000000000004
45.0,7.0,48.0,Third call,40-44,White,Female,Bennett,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,Same,Dole,Republican,75 to 100K,Liberal,18 to 64,State,East/Odgen area,30 to 44,40 to 49,Republican,40 to 49,0.472
