State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Governor Vote,Clinton Approval,Congress Approval,Gore good as Pres?,Reason for Cong Vote,Religious Right,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Finanacial Situation,1996 vote,Party ID,Income,Ideology,Age (65 and over),State or national poll,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight 3 decimal pl
43.0,2.0,12.0,Second call,50-59,,Female,Sundquist,,Approve,Yes,Neither,,No,No,,Same,Clinton,Democrat,,,18 to 64,State,Central/West,45 to 59,50 to 59,Democrat,50 to 64,1.212
43.0,2.0,13.0,Second call,65 and over,White,Male,Hooker,Approve,Disapprove,Yes,Support Clinton,Yes,No,No,No,Better,Clinton,Democrat,15 to 30K,Moderate,65 and over,State,Central/West,60 and over,60 and over,Democrat,65 and over,1.534
43.0,2.0,14.0,Second call,40-44,White,Male,Sundquist,Disapprove,Approve,,,No,Yes,Yes,,Same,Dole,Republican,Under 15K,Conservative,18 to 64,State,Central/West,30 to 44,40 to 49,Republican,40 to 49,1.343
43.0,2.0,15.0,Second call,50-59,White,Male,Sundquist,Disapprove,Disapprove,No,Oppose Clinton,,Yes,Yes,Yes,Same,Dole,Republican,50 to 75K,Conservative,18 to 64,State,Central/West,45 to 59,50 to 59,Republican,50 to 64,1.343
43.0,2.0,16.0,Second call,65 and over,White,Male,Sundquist,Disapprove,Approve,No,Oppose Clinton,Yes,Yes,,,Same,Dole,Independent,,Conservative,65 and over,State,Central/West,60 and over,60 and over,Independent/Other,65 and over,1.435
43.0,2.0,17.0,Second call,65 and over,White,Female,Sundquist,Disapprove,Approve,No,Neither,No,,Yes,,Same,Dole,Republican,15 to 30K,Conservative,65 and over,State,Central/West,60 and over,60 and over,Republican,65 and over,1.294
43.0,2.0,18.0,Second call,45-49,White,Male,Hooker,Approve,Disapprove,Yes,Neither,No,No,No,No,Better,Clinton,Democrat,100K or more,Liberal,18 to 64,State,Central/West,45 to 59,40 to 49,Democrat,40 to 49,1.437
43.0,2.0,19.0,Second call,50-59,White,Female,Sundquist,Approve,Approve,No,Neither,Yes,No,No,Yes,Worse,Clinton,Democrat,30 to 50K,Moderate,18 to 64,State,Central/West,45 to 59,50 to 59,Democrat,50 to 64,1.212
43.0,2.0,20.0,Third call,65 and over,White,,Sundquist,Disapprove,Approve,No,Oppose Clinton,No,No,No,Yes,Better,Dole,Independent,,Conservative,65 and over,State,Central/West,60 and over,60 and over,Independent/Other,65 and over,1.435
43.0,2.0,21.0,Third call,65 and over,White,,Sundquist,Disapprove,Disapprove,No,Oppose Clinton,Yes,No,Yes,Yes,Same,Did not vote,Republican,15 to 30K,Conservative,65 and over,State,Central/West,60 and over,60 and over,Republican,65 and over,1.294
43.0,2.0,22.0,Third call,65 and over,White,Female,Sundquist,Disapprove,Approve,No,Oppose Clinton,,,No,,Same,Dole,Republican,30 to 50K,Conservative,65 and over,State,Central/West,60 and over,60 and over,Republican,65 and over,1.294
43.0,2.0,23.0,Third call,65 and over,White,Female,Sundquist,Disapprove,Disapprove,Yes,Neither,Yes,No,Yes,Yes,Same,Dole,Democrat,15 to 30K,Moderate,65 and over,State,Central/West,60 and over,60 and over,Democrat,65 and over,1.294
43.0,2.0,24.0,Third call,60-64,White,Female,Sundquist,Disapprove,,,Neither,,Yes,,,Better,Dole,Republican,50 to 75K,Moderate,18 to 64,State,Central/West,60 and over,60 and over,Republican,50 to 64,1.294
43.0,2.0,25.0,Third call,65 and over,White,Female,Sundquist,Disapprove,Disapprove,No,Oppose Clinton,Yes,Yes,Yes,,Same,Clinton,Democrat,15 to 30K,Moderate,65 and over,State,Central/West,60 and over,60 and over,Democrat,65 and over,1.294
43.0,2.0,26.0,Third call,30-39,White,Female,Sundquist,Disapprove,Approve,No,Neither,No,No,Yes,Yes,Same,Dole,Republican,30 to 50K,Conservative,18 to 64,State,Central/West,30 to 44,30 to 39,Republican,30 to 39,1.212
43.0,2.0,27.0,Third call,40-44,White,Male,Sundquist,Disapprove,Disapprove,Yes,Neither,No,No,No,No,Better,Perot,Independent,50 to 75K,Conservative,18 to 64,State,Central/West,30 to 44,40 to 49,Independent/Other,40 to 49,1.343
43.0,2.0,28.0,Third call,50-59,White,Female,Hooker,Approve,Disapprove,Yes,Support Clinton,No,No,No,No,Better,Clinton,Democrat,30 to 50K,Moderate,18 to 64,State,Central/West,45 to 59,50 to 59,Democrat,50 to 64,1.297
43.0,2.0,29.0,Third call,65 and over,White,Male,Hooker,Approve,Disapprove,Yes,Support Clinton,No,No,No,No,Same,Clinton,Democrat,15 to 30K,Moderate,65 and over,State,Central/West,60 and over,60 and over,Democrat,65 and over,1.534
43.0,2.0,30.0,Third call,45-49,White,Female,Hooker,Disapprove,Disapprove,Yes,Neither,No,,,Yes,Same,Clinton,Democrat,75 to 100K,Moderate,18 to 64,State,Central/West,45 to 59,40 to 49,Democrat,40 to 49,1.297
43.0,2.0,31.0,Third call,30-39,White,Male,Sundquist,Disapprove,Approve,No,Neither,No,Yes,Yes,No,Better,Dole,Republican,50 to 75K,Moderate,18 to 64,State,Central/West,30 to 44,30 to 39,Republican,30 to 39,1.343
43.0,2.0,32.0,Third call,40-44,White,Female,Sundquist,Approve,Approve,Yes,Neither,No,No,No,Yes,Better,Clinton,Democrat,50 to 75K,Moderate,18 to 64,State,Central/West,30 to 44,40 to 49,Democrat,40 to 49,1.212
43.0,2.0,33.0,Third call,30-39,White,Male,Sundquist,Disapprove,Approve,No,Oppose Clinton,No,Yes,Yes,Yes,Same,Perot,Republican,30 to 50K,Conservative,18 to 64,State,Central/West,30 to 44,30 to 39,Republican,30 to 39,1.343
43.0,2.0,34.0,Third call,60-64,White,Female,Sundquist,Disapprove,Approve,No,Neither,Yes,No,No,Yes,Same,Clinton,Democrat,15 to 30K,Conservative,18 to 64,State,Central/West,60 and over,60 and over,Democrat,50 to 64,1.294
43.0,2.0,35.0,Third call,50-59,White,Male,Hooker,Approve,Approve,Yes,Support Clinton,Yes,No,No,No,Better,Clinton,Democrat,30 to 50K,Moderate,18 to 64,State,Central/West,45 to 59,50 to 59,Democrat,50 to 64,1.437
43.0,2.0,36.0,Third call,65 and over,White,Male,Other,Approve,Disapprove,Yes,Neither,No,Yes,Yes,Yes,Same,Clinton,Independent,30 to 50K,Conservative,65 and over,State,Central/West,60 and over,60 and over,Independent/Other,65 and over,0.8580000000000001
43.0,2.0,37.0,Third call,50-59,White,Female,Sundquist,Disapprove,Disapprove,No,Neither,Yes,No,No,No,Same,Perot,Democrat,50 to 75K,Moderate,18 to 64,State,Central/West,45 to 59,50 to 59,Democrat,50 to 64,1.212
43.0,2.0,38.0,Third call,65 and over,White,Male,Sundquist,Disapprove,Approve,No,Neither,No,Yes,Yes,Yes,Same,Perot,Independent,Under 15K,Moderate,65 and over,State,Central/West,60 and over,60 and over,Independent/Other,65 and over,1.435
43.0,2.0,39.0,Third call,60-64,White,Female,Sundquist,Disapprove,Approve,No,Neither,No,,,Yes,Same,Dole,Independent,,Conservative,18 to 64,State,Central/West,60 and over,60 and over,Independent/Other,50 to 64,1.294
43.0,2.0,40.0,Third call,40-44,White,Female,Sundquist,Disapprove,Approve,Yes,Neither,,No,No,No,Same,Clinton,Independent,50 to 75K,Conservative,18 to 64,State,Central/West,30 to 44,40 to 49,Independent/Other,40 to 49,1.212
43.0,2.0,41.0,Third call,65 and over,White,Male,Sundquist,Disapprove,Disapprove,No,,Yes,Yes,,,Worse,Dole,Independent,15 to 30K,Conservative,65 and over,State,Central/West,60 and over,60 and over,Independent/Other,65 and over,1.435
43.0,2.0,42.0,Third call,50-59,White,Female,Sundquist,Approve,Approve,Yes,Neither,No,No,No,No,Same,Clinton,Democrat,15 to 30K,Moderate,18 to 64,State,Central/West,45 to 59,50 to 59,Democrat,50 to 64,1.212
43.0,2.0,43.0,Third call,45-49,White,Male,Sundquist,Disapprove,Disapprove,No,Neither,No,Yes,Yes,No,Same,Dole,Republican,75 to 100K,Conservative,18 to 64,State,Central/West,45 to 59,40 to 49,Republican,40 to 49,1.343
43.0,2.0,44.0,Third call,65 and over,White,Male,Sundquist,Disapprove,Approve,No,Oppose Clinton,No,,Yes,,Same,Dole,Independent,15 to 30K,Conservative,65 and over,State,Central/West,60 and over,60 and over,Independent/Other,65 and over,1.435
43.0,2.0,45.0,Third call,30-39,White,Female,Sundquist,Approve,Disapprove,Yes,Neither,No,No,No,No,Better,Other,Independent,30 to 50K,Moderate,18 to 64,State,Central/West,30 to 44,30 to 39,Independent/Other,30 to 39,1.212
43.0,2.0,46.0,Third call,45-49,White,Female,Sundquist,Disapprove,Disapprove,No,Oppose Clinton,Yes,Yes,Yes,Yes,Same,Dole,Republican,30 to 50K,Conservative,18 to 64,State,Central/West,45 to 59,40 to 49,Republican,40 to 49,1.212
43.0,9.0,1.0,First call,25-29,White,Female,Sundquist,Disapprove,Approve,No,Oppose Clinton,No,Yes,Yes,Yes,Same,Dole,Republican,15 to 30K,Conservative,18 to 64,State,Central/West,18 to 29,25 to 29,Republican,25 to 29,2.106
43.0,9.0,2.0,First call,40-44,White,Male,Sundquist,Disapprove,Disapprove,No,Neither,Yes,Yes,Yes,Yes,Worse,Dole,Republican,,Conservative,18 to 64,State,Central/West,30 to 44,40 to 49,Republican,40 to 49,1.405
43.0,9.0,3.0,First call,25-29,White,Male,Other,Disapprove,Disapprove,Yes,Neither,Yes,Yes,Yes,No,Better,Did not vote,Independent,30 to 50K,Moderate,18 to 64,State,Central/West,18 to 29,25 to 29,Independent/Other,25 to 29,1.396
43.0,9.0,4.0,First call,,White,Female,Hooker,Approve,Approve,Yes,Neither,,No,No,Yes,Same,Clinton,Democrat,,,,State,Central/West,,,Democrat,,1.355
43.0,9.0,5.0,First call,65 and over,White,Female,Sundquist,Disapprove,Approve,No,Oppose Clinton,No,Yes,Yes,Yes,Better,Dole,Republican,15 to 30K,Conservative,65 and over,State,Central/West,60 and over,60 and over,Republican,65 and over,1.353
43.0,9.0,6.0,First call,65 and over,White,Male,Hooker,Disapprove,Approve,No,Oppose Clinton,No,Yes,Yes,Yes,Worse,Perot,Independent,30 to 50K,Moderate,65 and over,State,Central/West,60 and over,60 and over,Independent/Other,65 and over,1.603
43.0,9.0,7.0,First call,65 and over,White,,Sundquist,Disapprove,Disapprove,Yes,Neither,Yes,,,,Better,Clinton,Democrat,Under 15K,Moderate,65 and over,State,Central/West,60 and over,60 and over,Democrat,65 and over,1.499
43.0,9.0,8.0,First call,65 and over,White,Female,Hooker,Approve,Disapprove,Yes,Support Clinton,Yes,No,Yes,No,Better,Clinton,Democrat,Under 15K,Moderate,65 and over,State,Central/West,60 and over,60 and over,Democrat,65 and over,1.447
43.0,9.0,9.0,Second call,40-44,White,Female,Sundquist,Disapprove,Disapprove,No,Oppose Clinton,No,Yes,Yes,No,Same,Dole,Republican,100K or more,Conservative,18 to 64,State,Central/West,30 to 44,40 to 49,Republican,40 to 49,1.267
43.0,9.0,10.0,Second call,50-59,White,Female,Hooker,Approve,Approve,Yes,Neither,Yes,No,No,No,Better,Clinton,Democrat,15 to 30K,Moderate,18 to 64,State,Central/West,45 to 59,50 to 59,Democrat,50 to 64,1.355
43.0,9.0,11.0,Second call,65 and over,White,,Hooker,Approve,Disapprove,Yes,Support Clinton,,No,No,No,Better,Clinton,Democrat,15 to 30K,Conservative,65 and over,State,Central/West,60 and over,60 and over,Democrat,65 and over,1.447
43.0,9.0,12.0,Second call,60-64,White,Male,Sundquist,Disapprove,Disapprove,No,Oppose Clinton,Yes,Yes,Yes,Yes,Same,Dole,Republican,Under 15K,Conservative,18 to 64,State,Central/West,60 and over,60 and over,Republican,50 to 64,1.499
43.0,9.0,13.0,Second call,45-49,White,Female,Hooker,Approve,Disapprove,Yes,Neither,No,No,No,No,Better,Clinton,Democrat,30 to 50K,Liberal,18 to 64,State,Central/West,45 to 59,40 to 49,Democrat,40 to 49,1.355
43.0,9.0,14.0,Second call,60-64,White,Male,Hooker,Approve,Disapprove,Yes,Neither,No,No,No,Yes,Better,Clinton,Democrat,15 to 30K,Liberal,18 to 64,State,Central/West,60 and over,60 and over,Democrat,50 to 64,1.603
43.0,9.0,15.0,Second call,60-64,White,Female,Sundquist,Approve,Disapprove,No,Neither,,No,No,No,Same,Clinton,,,Moderate,18 to 64,State,Central/West,60 and over,60 and over,,50 to 64,1.353
43.0,9.0,16.0,Second call,65 and over,White,Female,Hooker,Approve,Disapprove,Yes,Support Clinton,No,No,No,No,Same,Clinton,Democrat,30 to 50K,Moderate,65 and over,State,Central/West,60 and over,60 and over,Democrat,65 and over,1.447
43.0,9.0,17.0,Second call,,White,Male,Hooker,Approve,Approve,Yes,Support Clinton,Yes,No,No,No,Better,Clinton,Democrat,,Moderate,,State,Central/West,,,Democrat,,1.5030000000000001
43.0,9.0,18.0,Second call,25-29,White,Female,Hooker,Approve,Disapprove,Yes,Support Clinton,No,No,No,No,Better,Clinton,Democrat,30 to 50K,Moderate,18 to 64,State,Central/West,18 to 29,25 to 29,Democrat,25 to 29,2.252
43.0,9.0,19.0,Third call,30-39,White,Female,Hooker,Approve,Disapprove,Yes,Neither,No,No,No,Yes,Better,Clinton,Democrat,30 to 50K,Moderate,18 to 64,State,Central/West,30 to 44,30 to 39,Democrat,30 to 39,1.355
43.0,9.0,20.0,Third call,65 and over,White,Female,Hooker,Approve,Disapprove,Yes,Neither,No,No,No,No,Same,Clinton,Democrat,,Moderate,65 and over,State,Central/West,60 and over,60 and over,Democrat,65 and over,1.447
43.0,9.0,21.0,Third call,50-59,White,Female,Hooker,Approve,Disapprove,Yes,Neither,Yes,No,No,Yes,Better,Clinton,Democrat,75 to 100K,Moderate,18 to 64,State,Central/West,45 to 59,50 to 59,Democrat,50 to 64,1.355
43.0,9.0,22.0,Third call,60-64,White,Male,Sundquist,Disapprove,Approve,No,Oppose Clinton,Yes,Yes,Yes,Yes,Same,Dole,Republican,30 to 50K,Conservative,18 to 64,State,Central/West,60 and over,60 and over,Republican,50 to 64,1.499
43.0,9.0,23.0,Third call,65 and over,White,Male,Sundquist,Approve,Disapprove,,Support Clinton,No,No,No,No,Better,Clinton,Democrat,15 to 30K,Conservative,65 and over,State,Central/West,60 and over,60 and over,Democrat,65 and over,1.499
43.0,9.0,24.0,Third call,25-29,Black,Male,Hooker,Approve,Disapprove,Yes,Support Clinton,Yes,No,No,No,Better,Clinton,Democrat,50 to 75K,Moderate,18 to 64,State,Central/West,18 to 29,25 to 29,Democrat,25 to 29,2.8369999999999997
43.0,9.0,25.0,Third call,50-59,White,Female,Sundquist,Disapprove,Disapprove,No,Neither,Yes,Yes,Yes,,Same,Dole,Republican,30 to 50K,Conservative,18 to 64,State,Central/West,45 to 59,50 to 59,Republican,50 to 64,1.267
43.0,9.0,26.0,Third call,60-64,White,Male,Sundquist,Disapprove,Approve,Yes,Neither,Yes,Yes,Yes,Yes,Same,Dole,Democrat,30 to 50K,Conservative,18 to 64,State,Central/West,60 and over,60 and over,Democrat,50 to 64,1.499
43.0,9.0,27.0,Third call,60-64,White,Female,Sundquist,Approve,Disapprove,Yes,Support Clinton,Yes,No,No,No,Better,Did not vote,Independent,15 to 30K,Liberal,18 to 64,State,Central/West,60 and over,60 and over,Independent/Other,50 to 64,1.353
43.0,10.0,1.0,First call,50-59,White,Female,Sundquist,Disapprove,Disapprove,,Neither,Yes,No,Yes,Yes,Same,Dole,Republican,30 to 50K,Conservative,18 to 64,National,Central/West,45 to 59,50 to 59,Republican,50 to 64,0.7429999999999999
43.0,10.0,2.0,First call,50-59,White,Male,Sundquist,Approve,Approve,,Oppose Clinton,No,No,No,No,Better,Dole,Republican,50 to 75K,Moderate,18 to 64,National,Central/West,45 to 59,50 to 59,Republican,50 to 64,0.8220000000000001
43.0,10.0,3.0,First call,45-49,White,Male,Sundquist,Disapprove,Disapprove,,Oppose Clinton,Yes,Yes,Yes,Yes,Better,Dole,Independent,30 to 50K,Conservative,18 to 64,National,Central/West,45 to 59,40 to 49,Independent/Other,40 to 49,0.8220000000000001
43.0,10.0,4.0,First call,50-59,White,Female,Sundquist,,Disapprove,,Neither,Yes,,,,Worse,Perot,Independent,15 to 30K,Moderate,18 to 64,National,Central/West,45 to 59,50 to 59,Independent/Other,50 to 64,0.7429999999999999
43.0,10.0,5.0,First call,65 and over,White,,Sundquist,Approve,Disapprove,,,,,,,,,,,,65 and over,National,Central/West,60 and over,60 and over,,65 and over,0.878
43.0,10.0,6.0,First call,30-39,White,Male,Sundquist,Disapprove,,,,,,,,Better,,Republican,50 to 75K,Conservative,18 to 64,National,Central/West,30 to 44,30 to 39,Republican,30 to 39,0.8220000000000001
43.0,10.0,7.0,First call,65 and over,White,Female,Sundquist,Disapprove,,,,,,,,Same,,Democrat,15 to 30K,Conservative,65 and over,National,Central/West,60 and over,60 and over,Democrat,65 and over,0.7920000000000001
43.0,10.0,8.0,First call,18-24,White,Male,Sundquist,Disapprove,,,,,,,,Better,,Independent,30 to 50K,Liberal,18 to 64,National,Central/West,18 to 29,18 to 24,Independent/Other,18 to 24,1.366
43.0,10.0,9.0,First call,65 and over,White,Male,Sundquist,Disapprove,,,,,,,,,,,,,65 and over,National,Central/West,60 and over,60 and over,,65 and over,0.878
43.0,10.0,10.0,First call,50-59,White,Male,Sundquist,Approve,,,,,,,,Same,,Republican,50 to 75K,Moderate,18 to 64,National,Central/West,45 to 59,50 to 59,Republican,50 to 64,0.8220000000000001
43.0,10.0,11.0,Second call,65 and over,White,Female,Hooker,Approve,Disapprove,,Support Clinton,,No,No,No,Better,Clinton,Democrat,,Conservative,65 and over,National,Central/West,60 and over,60 and over,Democrat,65 and over,0.8480000000000001
43.0,10.0,12.0,Second call,50-59,Black,Female,Hooker,Approve,,,Support Clinton,,No,No,No,Better,Clinton,Democrat,,,18 to 64,National,Central/West,45 to 59,50 to 59,Democrat,50 to 64,0.902
43.0,10.0,13.0,Second call,65 and over,White,Male,Sundquist,Disapprove,Disapprove,,Neither,Yes,,,Yes,Same,Dole,Independent,15 to 30K,Moderate,65 and over,National,Central/West,60 and over,60 and over,Independent/Other,65 and over,0.878
43.0,10.0,14.0,Second call,45-49,White,Female,Sundquist,Disapprove,Disapprove,,Neither,No,,,,Worse,Dole,Democrat,30 to 50K,Moderate,18 to 64,National,Central/West,45 to 59,40 to 49,Democrat,40 to 49,0.7429999999999999
43.0,10.0,15.0,Second call,30-39,White,Male,Sundquist,Approve,Approve,,Support Clinton,No,No,No,No,Same,Clinton,Republican,75 to 100K,Moderate,18 to 64,National,Central/West,30 to 44,30 to 39,Republican,30 to 39,0.8220000000000001
43.0,10.0,16.0,Second call,30-39,White,Male,Hooker,Approve,Disapprove,,,,,,,,,,,,18 to 64,National,Central/West,30 to 44,30 to 39,,30 to 39,0.88
43.0,10.0,17.0,Second call,65 and over,Black,Female,Sundquist,Approve,Disapprove,,,,,,,,,,,,65 and over,National,Central/West,60 and over,60 and over,,65 and over,0.901
43.0,10.0,18.0,Second call,18-24,White,Male,Other,Disapprove,Disapprove,,Neither,Yes,Yes,Yes,Yes,Better,Did not vote,Republican,15 to 30K,Conservative,18 to 64,National,Central/West,18 to 29,18 to 24,Republican,18 to 24,0.8180000000000001
43.0,10.0,19.0,Second call,50-59,White,Female,Hooker,Approve,Disapprove,,Support Clinton,,No,No,No,Better,Clinton,Democrat,15 to 30K,Conservative,18 to 64,National,Central/West,45 to 59,50 to 59,Democrat,50 to 64,0.794
43.0,10.0,20.0,Second call,50-59,Black,Male,Hooker,Approve,,,,,,,,Better,,Democrat,50 to 75K,Conservative,18 to 64,National,Central/West,45 to 59,50 to 59,Democrat,50 to 64,1.0
43.0,10.0,21.0,Second call,65 and over,White,Male,Hooker,Approve,,,,,,,,Same,,Democrat,,Moderate,65 and over,National,Central/West,60 and over,60 and over,Democrat,65 and over,0.939
43.0,10.0,22.0,Second call,45-49,White,Male,Sundquist,Disapprove,,,,,,,,Better,,Independent,50 to 75K,Conservative,18 to 64,National,Central/West,45 to 59,40 to 49,Independent/Other,40 to 49,0.8220000000000001
43.0,10.0,23.0,Second call,30-39,White,Male,Sundquist,Disapprove,,,,,,,,Worse,,Republican,50 to 75K,Moderate,18 to 64,National,Central/West,30 to 44,30 to 39,Republican,30 to 39,0.8220000000000001
43.0,10.0,24.0,Second call,45-49,Black,Female,Sundquist,Disapprove,,,,,,,,,,,,,18 to 64,National,Central/West,45 to 59,40 to 49,,40 to 49,0.843
43.0,10.0,25.0,Second call,65 and over,White,Female,Sundquist,Approve,,,,,,,,,,,,,65 and over,National,Central/West,60 and over,60 and over,,65 and over,0.7920000000000001
43.0,10.0,26.0,Second call,65 and over,White,Female,Hooker,Approve,,,,,,,,,,,,,65 and over,National,Central/West,60 and over,60 and over,,65 and over,0.8480000000000001
43.0,10.0,27.0,Second call,65 and over,White,Female,Sundquist,Disapprove,,,,,,,,Same,,Republican,15 to 30K,Moderate,65 and over,National,Central/West,60 and over,60 and over,Republican,65 and over,0.7920000000000001
43.0,10.0,28.0,Second call,45-49,Black,Female,Hooker,Approve,,,,,,,,Same,,Democrat,50 to 75K,Moderate,18 to 64,National,Central/West,45 to 59,40 to 49,Democrat,40 to 49,0.902
43.0,10.0,29.0,Third call,50-59,Black,Female,,Approve,,,,,,,,,,,,,18 to 64,National,Central/West,45 to 59,50 to 59,,50 to 64,0.8560000000000001
43.0,10.0,30.0,Third call,40-44,White,Male,Sundquist,Approve,Approve,,Neither,No,No,No,Yes,Worse,Dole,Independent,75 to 100K,Moderate,18 to 64,National,Central/West,30 to 44,40 to 49,Independent/Other,40 to 49,0.8220000000000001
43.0,10.0,31.0,Third call,50-59,Black,Male,Hooker,Approve,Disapprove,,Support Clinton,No,No,No,No,Better,Clinton,Democrat,50 to 75K,Liberal,18 to 64,National,Central/West,45 to 59,50 to 59,Democrat,50 to 64,1.0
43.0,10.0,32.0,Third call,30-39,White,Female,Sundquist,Disapprove,Disapprove,,Oppose Clinton,Yes,Yes,Yes,,Worse,Dole,Republican,15 to 30K,,18 to 64,National,Central/West,30 to 44,30 to 39,Republican,30 to 39,0.7429999999999999
43.0,10.0,33.0,Third call,40-44,White,Female,Sundquist,Disapprove,Disapprove,,Neither,Yes,Yes,Yes,,Better,Dole,Republican,30 to 50K,Conservative,18 to 64,National,Central/West,30 to 44,40 to 49,Republican,40 to 49,0.7429999999999999
43.0,10.0,34.0,Third call,65 and over,White,Female,Sundquist,Disapprove,,,,,,,,Same,,Democrat,15 to 30K,Moderate,65 and over,National,Central/West,60 and over,60 and over,Democrat,65 and over,0.7920000000000001
43.0,10.0,35.0,Third call,50-59,White,Female,Sundquist,Disapprove,,,,,,,,,,,,,18 to 64,National,Central/West,45 to 59,50 to 59,,50 to 64,0.7429999999999999
43.0,10.0,36.0,Third call,50-59,White,Male,Sundquist,Disapprove,,,,,,,,Same,,Independent,50 to 75K,Moderate,18 to 64,National,Central/West,45 to 59,50 to 59,Independent/Other,50 to 64,0.8220000000000001
43.0,10.0,37.0,Third call,40-44,White,Male,Sundquist,Disapprove,,,,,,,,Same,,Republican,15 to 30K,Conservative,18 to 64,National,Central/West,30 to 44,40 to 49,Republican,40 to 49,0.8220000000000001
43.0,10.0,38.0,Third call,45-49,Black,Female,Hooker,Approve,,,,,,,,Worse,,Democrat,50 to 75K,Conservative,18 to 64,National,Central/West,45 to 59,40 to 49,Democrat,40 to 49,0.902
43.0,11.0,1.0,Second call,45-49,White,Male,Sundquist,Disapprove,Disapprove,,Oppose Clinton,Yes,Yes,Yes,No,Same,Dole,Independent,50 to 75K,Conservative,18 to 64,National,East,45 to 59,40 to 49,Independent/Other,40 to 49,0.9640000000000001
43.0,11.0,2.0,Second call,40-44,White,Male,Hooker,Approve,Disapprove,,Neither,Yes,No,Yes,No,Better,Clinton,Independent,15 to 30K,Moderate,18 to 64,National,East,30 to 44,40 to 49,Independent/Other,40 to 49,1.076
43.0,11.0,3.0,Second call,65 and over,White,,Sundquist,Disapprove,Approve,,Oppose Clinton,Yes,Yes,Yes,,Better,Dole,Republican,75 to 100K,Conservative,65 and over,National,East,60 and over,60 and over,Republican,65 and over,1.137
43.0,11.0,4.0,Second call,30-39,White,Male,Sundquist,Disapprove,Approve,,Oppose Clinton,No,Yes,Yes,Yes,Same,Dole,Republican,30 to 50K,Conservative,18 to 64,National,East,30 to 44,30 to 39,Republican,30 to 39,0.9640000000000001
43.0,11.0,5.0,Second call,65 and over,White,Female,Sundquist,Disapprove,Disapprove,,Oppose Clinton,No,Yes,Yes,No,Same,Perot,Republican,30 to 50K,Moderate,65 and over,National,East,60 and over,60 and over,Republican,65 and over,1.137
