State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Governor Vote,Clinton Approval,Congress Approval,Phys-Ass-Suicide,Reason for Cong Vote,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,1996 vote,Party ID,Education,Income,Ideology,Age (65 and over),Feiger opinion,State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight (3 implied dec places),Clinton as person,Union member in HH
23.0,5.0,17.0,Third call,60-64,White,Male,Feiger,Approve,Disapprove,No,Neither,No,No,Yes,Same,Clinton,Independent,Some college,30 to 50K,Moderate,18 to 64,Favorable,State,Complete,Unvrsty/Upper,60 and over,60 and over,Independent/Other,50 to 64,2.254,,Yes
23.0,5.0,18.0,Third call,30-39,White,Male,Feiger,Approve,Approve,Yes,Support Clinton,No,No,No,Same,Clinton,Democrat,HS grad,30 to 50K,Moderate,18 to 64,Favorable,State,Complete,Unvrsty/Upper,30 to 44,30 to 39,Democrat,30 to 39,1.7810000000000001,Favorable,Yes
23.0,5.0,19.0,Third call,40-44,Hispanic,Male,Engler,Approve,Disapprove,No,Neither,No,No,No,Worse,Clinton,Independent,HS grad,50 to 75K,Conservative,18 to 64,Unfavorable,State,Complete,Unvrsty/Upper,30 to 44,40 to 49,Independent/Other,40 to 49,2.071,Favorable,Yes
23.0,5.0,20.0,Third call,30-39,White,Male,Engler,Disapprove,Disapprove,No,Oppose Clinton,Yes,Yes,Yes,Same,Perot,Democrat,Some college,50 to 75K,Moderate,18 to 64,Unfavorable,State,Complete,Unvrsty/Upper,30 to 44,30 to 39,Democrat,30 to 39,2.1,Unfavorable,Yes
23.0,5.0,21.0,Third call,50-59,White,Male,Engler,Disapprove,Approve,No,Oppose Clinton,Yes,Yes,Yes,Same,Dole,Republican,Postgrad,50 to 75K,Moderate,18 to 64,Unfavorable,State,Complete,Unvrsty/Upper,45 to 59,50 to 59,Republican,50 to 64,2.1,Unfavorable,Yes
23.0,5.0,22.0,Third call,60-64,White,Female,Engler,Approve,Disapprove,No,Support Clinton,No,No,Yes,Same,Clinton,Independent,HS grad,30 to 50K,Moderate,18 to 64,Unfavorable,State,Complete,Unvrsty/Upper,60 and over,60 and over,Independent/Other,50 to 64,2.338,Favorable,No
23.0,5.0,23.0,Third call,50-59,White,Female,Feiger,Approve,Disapprove,No,Support Clinton,No,No,No,Better,Clinton,Democrat,College grad,75 to 100K,Moderate,18 to 64,Favorable,State,Complete,Unvrsty/Upper,45 to 59,50 to 59,Democrat,50 to 64,1.638,Favorable,Yes
23.0,6.0,1.0,First call,50-59,White,Male,Engler,Approve,Disapprove,No,Neither,No,Yes,Yes,Worse,Dole,Republican,Some college,75 to 100K,Moderate,18 to 64,Unfavorable,State,Complete,Southwest,45 to 59,50 to 59,Republican,50 to 64,1.279,Unfavorable,No
23.0,6.0,2.0,First call,50-59,White,Male,Engler,Approve,Approve,No,Support Clinton,No,No,No,Better,Clinton,Republican,College grad,100K or more,Moderate,18 to 64,,State,Complete,Southwest,45 to 59,50 to 59,Republican,50 to 64,1.279,Favorable,No
23.0,6.0,3.0,First call,50-59,White,Female,Engler,Disapprove,Approve,No,Oppose Clinton,Yes,Yes,No,Better,Other,Republican,Postgrad,30 to 50K,Conservative,18 to 64,Unfavorable,State,Complete,Southwest,45 to 59,50 to 59,Republican,50 to 64,1.256,Unfavorable,Yes
23.0,6.0,4.0,First call,40-44,White,Female,Engler,Approve,Approve,No,Neither,No,,No,Same,Dole,Republican,,30 to 50K,Moderate,18 to 64,Unfavorable,State,Complete,Southwest,30 to 44,40 to 49,Republican,40 to 49,1.256,,No
23.0,6.0,5.0,First call,45-49,White,Female,Engler,Disapprove,Disapprove,No,Oppose Clinton,Yes,Yes,Yes,Worse,Clinton,Something else,Some college,30 to 50K,Conservative,18 to 64,Unfavorable,State,Complete,Southwest,45 to 59,40 to 49,Independent/Other,40 to 49,1.256,Unfavorable,No
23.0,6.0,6.0,First call,40-44,White,Female,Engler,Disapprove,Approve,Yes,Oppose Clinton,Yes,Yes,Yes,Better,Clinton,Republican,HS grad,50 to 75K,Moderate,18 to 64,Unfavorable,State,Complete,Southwest,30 to 44,40 to 49,Republican,40 to 49,1.23,Unfavorable,No
23.0,6.0,7.0,First call,30-39,Other,Female,Feiger,Disapprove,Disapprove,Yes,Neither,Yes,Yes,Yes,Worse,Perot,Independent,Postgrad,50 to 75K,Moderate,18 to 64,Favorable,State,Complete,Southwest,30 to 44,30 to 39,Independent/Other,30 to 39,0.86,Unfavorable,No
23.0,6.0,8.0,First call,65 and over,White,Male,Feiger,,Disapprove,No,Support Clinton,No,No,No,Same,Clinton,Democrat,No HS,,Liberal,65 and over,Favorable,State,Complete,Southwest,60 and over,60 and over,Democrat,65 and over,1.127,Favorable,Yes
23.0,6.0,9.0,Second call,65 and over,White,Male,Engler,Disapprove,Approve,No,Neither,Yes,Yes,,Same,Dole,Republican,Some college,,Conservative,65 and over,Unfavorable,State,Complete,Southwest,60 and over,60 and over,Republican,65 and over,1.613,Unfavorable,No
23.0,6.0,10.0,Second call,60-64,White,Female,Feiger,Approve,Disapprove,Yes,Neither,No,No,No,Same,Clinton,Democrat,HS grad,15 to 30K,Moderate,18 to 64,Favorable,State,Complete,Southwest,60 and over,60 and over,Democrat,50 to 64,1.083,Unfavorable,No
23.0,6.0,11.0,Second call,65 and over,White,Male,Feiger,Disapprove,Disapprove,Yes,Oppose Clinton,Yes,,,Worse,Other,Republican,HS grad,30 to 50K,Moderate,65 and over,Favorable,State,Complete,Southwest,60 and over,60 and over,Republican,65 and over,1.103,Unfavorable,Yes
23.0,6.0,12.0,Second call,25-29,White,Female,Engler,Disapprove,Approve,No,Neither,No,Yes,Yes,Better,Clinton,Republican,Postgrad,75 to 100K,Moderate,18 to 64,Unfavorable,State,Complete,Southwest,18 to 29,25 to 29,Republican,25 to 29,2.242,Favorable,No
23.0,6.0,13.0,Second call,50-59,White,Female,Feiger,,Disapprove,No,Support Clinton,No,No,Yes,Better,Clinton,Democrat,,30 to 50K,Liberal,18 to 64,Unfavorable,State,Complete,Southwest,45 to 59,50 to 59,Democrat,50 to 64,0.88,Favorable,No
23.0,6.0,14.0,Second call,30-39,White,Male,Engler,Disapprove,Approve,Yes,Oppose Clinton,Yes,Yes,,,Dole,Something else,College grad,50 to 75K,Conservative,18 to 64,Unfavorable,State,Complete,Southwest,30 to 44,30 to 39,Independent/Other,30 to 39,1.252,Unfavorable,Yes
23.0,6.0,15.0,Third call,40-44,White,Male,Engler,Disapprove,Approve,Yes,,,,,,,,,,,18 to 64,Unfavorable,State,Not complete,Southwest,30 to 44,40 to 49,,40 to 49,1.252,Unfavorable,No
23.0,6.0,16.0,Third call,25-29,White,Female,Engler,Disapprove,Disapprove,No,Oppose Clinton,Yes,Yes,No,Worse,Dole,Republican,College grad,15 to 30K,Moderate,18 to 64,Unfavorable,State,Complete,Southwest,18 to 29,25 to 29,Republican,25 to 29,2.242,Unfavorable,No
23.0,6.0,17.0,Third call,50-59,White,Female,,,Approve,No,Neither,No,No,No,Worse,Clinton,Independent,HS grad,15 to 30K,Moderate,18 to 64,,State,Complete,Southwest,45 to 59,50 to 59,Independent/Other,50 to 64,1.127,Unfavorable,Yes
23.0,6.0,18.0,Third call,25-29,White,Female,Engler,Approve,Approve,No,Neither,No,Yes,No,Better,Did not vote,Something else,College grad,,Moderate,18 to 64,Unfavorable,State,Complete,Southwest,18 to 29,25 to 29,Independent/Other,25 to 29,2.242,Unfavorable,No
23.0,6.0,19.0,Third call,65 and over,White,Female,Feiger,Approve,Disapprove,No,Support Clinton,No,No,No,Same,Clinton,Democrat,No HS,,Moderate,65 and over,Favorable,State,Complete,Southwest,60 and over,60 and over,Democrat,65 and over,1.107,,No
23.0,6.0,20.0,Third call,45-49,White,Male,Feiger,Approve,Disapprove,Yes,Neither,No,No,No,Worse,Perot,Republican,College grad,75 to 100K,Liberal,18 to 64,Favorable,State,Complete,Southwest,45 to 59,40 to 49,Republican,40 to 49,0.877,Favorable,No
23.0,6.0,21.0,Third call,45-49,White,Female,Feiger,Approve,,Yes,Support Clinton,No,No,No,Same,Clinton,Democrat,HS grad,,Liberal,18 to 64,Favorable,State,Complete,Southwest,45 to 59,40 to 49,Democrat,40 to 49,0.86,Favorable,Yes
23.0,6.0,22.0,Third call,30-39,White,Male,Engler,Disapprove,Approve,Yes,Neither,Yes,Yes,Yes,Better,Dole,Republican,HS grad,50 to 75K,Conservative,18 to 64,Unfavorable,State,Complete,Southwest,30 to 44,30 to 39,Republican,30 to 39,1.252,Unfavorable,No
23.0,6.0,23.0,Third call,30-39,White,Female,Engler,Approve,Approve,No,Neither,No,No,Yes,Better,Clinton,Independent,College grad,75 to 100K,Moderate,18 to 64,Unfavorable,State,Complete,Southwest,30 to 44,30 to 39,Independent/Other,30 to 39,1.256,Unfavorable,Yes
23.0,6.0,24.0,Third call,50-59,White,Male,Engler,Disapprove,Disapprove,No,Neither,No,Yes,Yes,Same,Dole,Republican,College grad,30 to 50K,Moderate,18 to 64,Unfavorable,State,Complete,Southwest,45 to 59,50 to 59,Republican,50 to 64,1.279,Unfavorable,No
23.0,6.0,25.0,Third call,45-49,White,Male,Engler,Approve,Disapprove,Yes,Neither,No,No,No,Better,Dole,Republican,College grad,100K or more,Liberal,18 to 64,Unfavorable,State,Complete,Southwest,45 to 59,40 to 49,Republican,40 to 49,1.252,Favorable,No
23.0,6.0,26.0,Third call,65 and over,White,Male,Feiger,Approve,Disapprove,Yes,Neither,No,No,Yes,Worse,Perot,Democrat,College grad,15 to 30K,Moderate,65 and over,Unfavorable,State,Complete,Southwest,60 and over,60 and over,Democrat,65 and over,1.103,Unfavorable,No
23.0,6.0,27.0,Third call,50-59,White,Male,Feiger,Approve,Disapprove,No,Support Clinton,No,No,No,Better,Clinton,Democrat,Some college,75 to 100K,Moderate,18 to 64,Favorable,State,Complete,Southwest,45 to 59,50 to 59,Democrat,50 to 64,0.896,Favorable,Yes
23.0,6.0,28.0,Third call,60-64,White,Female,Engler,Approve,Approve,No,,,,,,,,,,,18 to 64,Unfavorable,State,Not complete,Southwest,60 and over,60 and over,,50 to 64,1.584,Favorable,No
23.0,7.0,1.0,First call,60-64,White,Female,Engler,,,No,Oppose Clinton,Yes,,Yes,Better,,Republican,,,,18 to 64,,State,Complete,Southwest,60 and over,60 and over,Republican,50 to 64,0.642,,
23.0,7.0,2.0,First call,40-44,Black,Female,,Approve,Disapprove,No,Support Clinton,No,No,Yes,Same,Clinton,Democrat,HS grad,Under 15K,Liberal,18 to 64,,State,Complete,Southwest,30 to 44,40 to 49,Democrat,40 to 49,0.6679999999999999,Favorable,No
23.0,7.0,3.0,First call,65 and over,White,Female,Engler,Disapprove,Approve,No,Neither,Yes,Yes,Yes,,Dole,,No HS,Under 15K,Conservative,65 and over,Favorable,State,Complete,Southwest,60 and over,60 and over,,65 and over,0.642,Unfavorable,No
23.0,7.0,4.0,First call,50-59,Black,,Feiger,Approve,,No,Neither,No,,Yes,Same,Clinton,Something else,HS grad,Under 15K,Moderate,18 to 64,,State,Complete,Southwest,45 to 59,50 to 59,Independent/Other,50 to 64,0.53,Favorable,No
23.0,7.0,5.0,First call,60-64,Black,Male,Feiger,Approve,Disapprove,No,Support Clinton,No,No,No,Better,Clinton,Democrat,HS grad,15 to 30K,Moderate,18 to 64,Favorable,State,Complete,Southwest,60 and over,60 and over,Democrat,50 to 64,0.6689999999999999,Favorable,Yes
23.0,7.0,6.0,First call,25-29,Black,Female,,Approve,Approve,No,Support Clinton,No,No,No,Same,Clinton,Independent,HS grad,15 to 30K,Moderate,18 to 64,,State,Complete,Southwest,18 to 29,25 to 29,Independent/Other,25 to 29,1.191,Favorable,No
23.0,7.0,7.0,First call,45-49,White,Male,Feiger,Approve,Disapprove,Yes,Support Clinton,No,No,Yes,Better,Clinton,Independent,HS grad,30 to 50K,Moderate,18 to 64,Favorable,State,Complete,Southwest,45 to 59,40 to 49,Independent/Other,40 to 49,0.355,Favorable,No
23.0,7.0,8.0,First call,50-59,Black,Female,Engler,Approve,Disapprove,No,Support Clinton,No,No,No,Same,Clinton,Democrat,HS grad,15 to 30K,Moderate,18 to 64,Unfavorable,State,Complete,Southwest,45 to 59,50 to 59,Democrat,50 to 64,0.744,Favorable,No
23.0,7.0,9.0,Second call,40-44,Black,Female,Feiger,,,No,Neither,No,No,,Worse,Clinton,Democrat,HS grad,15 to 30K,Moderate,18 to 64,Favorable,State,Complete,Southwest,30 to 44,40 to 49,Democrat,40 to 49,0.521,Favorable,No
23.0,7.0,10.0,Second call,45-49,Black,Female,Feiger,Approve,Disapprove,No,Support Clinton,No,No,No,Same,Clinton,Democrat,HS grad,15 to 30K,Conservative,18 to 64,Favorable,State,Complete,Southwest,45 to 59,40 to 49,Democrat,40 to 49,0.521,Favorable,No
23.0,7.0,11.0,Second call,40-44,White,Male,Feiger,Approve,Disapprove,No,Support Clinton,No,No,No,Better,Clinton,Democrat,HS grad,15 to 30K,Moderate,18 to 64,Favorable,State,Complete,Southwest,30 to 44,40 to 49,Democrat,40 to 49,0.36399999999999993,Favorable,Yes
23.0,7.0,12.0,Second call,60-64,White,Female,Feiger,Approve,Approve,No,Neither,No,No,No,Better,Clinton,Independent,Some college,50 to 75K,Moderate,18 to 64,Favorable,State,Complete,Southwest,60 and over,60 and over,Independent/Other,50 to 64,0.449,Unfavorable,No
23.0,7.0,13.0,Second call,25-29,White,Male,Engler,Disapprove,Approve,No,Neither,No,No,Yes,Better,Dole,Independent,College grad,15 to 30K,Moderate,18 to 64,Unfavorable,State,Complete,Southwest,18 to 29,25 to 29,Independent/Other,25 to 29,0.925,Unfavorable,No
23.0,7.0,14.0,Second call,65 and over,Black,,Feiger,Approve,Approve,Yes,Neither,No,No,Yes,Better,Clinton,Democrat,HS grad,Under 15K,Moderate,65 and over,Favorable,State,Complete,Southwest,60 and over,60 and over,Democrat,65 and over,0.642,Favorable,No
23.0,7.0,15.0,Second call,40-44,Black,Male,Feiger,Approve,Disapprove,Yes,Neither,No,No,No,Better,Clinton,Independent,College grad,30 to 50K,Moderate,18 to 64,Favorable,State,Complete,Southwest,30 to 44,40 to 49,Independent/Other,40 to 49,0.5189999999999999,Favorable,Yes
23.0,7.0,16.0,Third call,25-29,Black,Male,Feiger,Disapprove,Disapprove,No,Neither,Yes,Yes,Yes,Better,Other,Independent,HS grad,Under 15K,Conservative,18 to 64,Favorable,State,Complete,Southwest,18 to 29,25 to 29,Independent/Other,25 to 29,0.9460000000000001,Favorable,No
23.0,7.0,17.0,Third call,25-29,Black,Male,Feiger,Approve,Disapprove,No,,,,,,,,,,,18 to 64,Favorable,State,Not complete,Southwest,18 to 29,25 to 29,,25 to 29,0.9460000000000001,Favorable,No
23.0,7.0,18.0,Third call,30-39,Black,Male,Engler,Approve,Disapprove,No,Support Clinton,No,No,No,Better,Clinton,Independent,Some college,15 to 30K,Conservative,18 to 64,Unfavorable,State,Complete,Southwest,30 to 44,30 to 39,Independent/Other,30 to 39,0.758,Favorable,Yes
23.0,7.0,19.0,Third call,50-59,Other,Female,Feiger,Approve,Disapprove,,Support Clinton,No,No,No,,Clinton,Democrat,Some college,Under 15K,Conservative,18 to 64,,State,Complete,Southwest,45 to 59,50 to 59,Democrat,50 to 64,0.354,Favorable,
23.0,7.0,20.0,Third call,50-59,Black,Male,Engler,Approve,Disapprove,No,Oppose Clinton,No,No,No,Better,Clinton,Democrat,No HS,Under 15K,Moderate,18 to 64,Unfavorable,State,Complete,Southwest,45 to 59,50 to 59,Democrat,50 to 64,0.758,Favorable,No
23.0,7.0,21.0,Third call,45-49,Black,Male,Feiger,Approve,Approve,No,Support Clinton,No,No,Yes,Same,Clinton,Something else,Some college,15 to 30K,Moderate,18 to 64,Favorable,State,Complete,Southwest,45 to 59,40 to 49,Independent/Other,40 to 49,0.53,Favorable,No
23.0,7.0,22.0,Third call,50-59,Black,Male,Feiger,Approve,Disapprove,Yes,Support Clinton,No,No,No,Same,Clinton,Democrat,Some college,30 to 50K,Moderate,18 to 64,Favorable,State,Complete,Southwest,45 to 59,50 to 59,Democrat,50 to 64,0.5189999999999999,Favorable,Yes
23.0,7.0,23.0,Third call,40-44,Black,Male,Feiger,Approve,Approve,Yes,Support Clinton,No,No,No,Same,Clinton,Democrat,Some college,15 to 30K,Moderate,18 to 64,Favorable,State,Complete,Southwest,30 to 44,40 to 49,Democrat,40 to 49,0.5189999999999999,Favorable,No
23.0,7.0,24.0,Third call,40-44,Black,Female,,Approve,Disapprove,No,Neither,No,No,No,Same,Clinton,Democrat,College grad,30 to 50K,Liberal,18 to 64,,State,Complete,Southwest,30 to 44,40 to 49,Democrat,40 to 49,0.6679999999999999,Favorable,No
23.0,7.0,25.0,Third call,50-59,Black,Female,Feiger,Approve,Disapprove,No,Support Clinton,No,No,No,Worse,Clinton,Democrat,Some college,Under 15K,Conservative,18 to 64,Favorable,State,Complete,Southwest,45 to 59,50 to 59,Democrat,50 to 64,0.521,Favorable,No
23.0,7.0,26.0,Third call,50-59,Black,Male,,Approve,Disapprove,No,Support Clinton,No,No,Yes,Better,Clinton,Democrat,No HS,15 to 30K,Liberal,18 to 64,,State,Complete,Southwest,45 to 59,50 to 59,Democrat,50 to 64,0.6799999999999999,Unfavorable,Yes
23.0,7.0,27.0,Third call,45-49,Black,Female,Feiger,Approve,Approve,No,Support Clinton,No,No,No,Same,Clinton,Democrat,Some college,30 to 50K,Moderate,18 to 64,Favorable,State,Complete,Southwest,45 to 59,40 to 49,Democrat,40 to 49,0.521,Favorable,Yes
23.0,7.0,28.0,Third call,60-64,Black,,Other,Approve,Approve,No,Neither,No,No,No,,Clinton,Democrat,HS grad,15 to 30K,Moderate,18 to 64,Favorable,State,Complete,Southwest,60 and over,60 and over,Democrat,50 to 64,0.857,Favorable,No
23.0,7.0,29.0,Third call,45-49,Black,Female,Feiger,Approve,Disapprove,No,Neither,No,No,No,Better,Clinton,Democrat,Some college,15 to 30K,Moderate,18 to 64,Favorable,State,Complete,Southwest,45 to 59,40 to 49,Democrat,40 to 49,0.521,Favorable,Yes
23.0,7.0,30.0,Third call,65 and over,Black,Male,Feiger,Approve,Approve,No,Support Clinton,No,No,No,Better,Clinton,Democrat,No HS,15 to 30K,Moderate,65 and over,Favorable,State,Complete,Southwest,60 and over,60 and over,Democrat,65 and over,0.6689999999999999,Favorable,
23.0,7.0,31.0,Third call,50-59,Black,Female,Feiger,,,No,Support Clinton,No,No,No,Same,Clinton,Democrat,College grad,15 to 30K,Liberal,18 to 64,Favorable,State,Complete,Southwest,45 to 59,50 to 59,Democrat,50 to 64,0.521,Favorable,Yes
23.0,11.0,1.0,First call,60-64,White,Female,Feiger,Approve,Disapprove,Yes,,No,No,Yes,Better,Clinton,Democrat,Some college,30 to 50K,Moderate,18 to 64,Favorable,State,Complete,Unvrsty/Upper,60 and over,60 and over,Democrat,50 to 64,0.47800000000000004,Unfavorable,Yes
23.0,11.0,2.0,First call,30-39,Black,Female,Engler,Disapprove,,No,Support Clinton,No,Yes,Yes,Better,Clinton,Republican,HS grad,Under 15K,Moderate,18 to 64,Favorable,State,Complete,Unvrsty/Upper,30 to 44,30 to 39,Republican,30 to 39,0.449,Favorable,No
23.0,11.0,3.0,First call,30-39,Black,Male,Feiger,Approve,Approve,No,Support Clinton,No,No,No,,Clinton,Democrat,HS grad,15 to 30K,Moderate,18 to 64,Favorable,State,Complete,Unvrsty/Upper,30 to 44,30 to 39,Democrat,30 to 39,0.432,Favorable,
23.0,11.0,4.0,Second call,50-59,White,Male,Engler,Approve,Approve,,Neither,No,No,No,Same,Clinton,Democrat,HS grad,15 to 30K,Moderate,18 to 64,Unfavorable,State,Complete,Unvrsty/Upper,45 to 59,50 to 59,Democrat,50 to 64,0.502,Unfavorable,No
23.0,11.0,5.0,Second call,30-39,White,Male,Feiger,Approve,Disapprove,No,Neither,No,No,Yes,Same,Clinton,Democrat,No HS,30 to 50K,Conservative,18 to 64,Favorable,State,Complete,Unvrsty/Upper,30 to 44,30 to 39,Democrat,30 to 39,0.438,Unfavorable,No
23.0,11.0,6.0,Second call,30-39,White,Male,Engler,,Approve,No,Neither,Yes,Yes,Yes,Same,Dole,Republican,Some college,15 to 30K,Moderate,18 to 64,Unfavorable,State,Complete,Unvrsty/Upper,30 to 44,30 to 39,Republican,30 to 39,0.505,Unfavorable,No
23.0,11.0,7.0,Second call,18-24,White,Male,Engler,Disapprove,Approve,No,Neither,Yes,Yes,No,Better,Perot,Independent,Some college,50 to 75K,Moderate,18 to 64,Unfavorable,State,Complete,Unvrsty/Upper,18 to 29,18 to 24,Independent/Other,18 to 24,0.542,Unfavorable,Yes
23.0,11.0,8.0,Second call,50-59,White,Male,Feiger,Disapprove,Disapprove,Yes,Oppose Clinton,Yes,Yes,No,Better,Dole,Democrat,College grad,15 to 30K,Liberal,18 to 64,Favorable,State,Complete,Unvrsty/Upper,45 to 59,50 to 59,Democrat,50 to 64,0.42900000000000005,Unfavorable,No
23.0,11.0,9.0,Second call,30-39,White,Male,Engler,Disapprove,Disapprove,Yes,Neither,Yes,Yes,Yes,Better,Perot,,Some college,75 to 100K,Moderate,18 to 64,Unfavorable,State,Complete,Unvrsty/Upper,30 to 44,30 to 39,,30 to 39,0.495,Unfavorable,Yes
23.0,11.0,10.0,Second call,65 and over,White,Male,Feiger,Approve,Disapprove,Yes,Neither,No,No,Yes,Same,Clinton,Democrat,,30 to 50K,Conservative,65 and over,Favorable,State,Complete,Unvrsty/Upper,60 and over,60 and over,Democrat,65 and over,0.532,Favorable,Yes
23.0,11.0,11.0,Second call,40-44,White,Female,Feiger,Approve,Disapprove,No,Support Clinton,No,No,,Same,Clinton,Independent,Some college,50 to 75K,Moderate,18 to 64,Favorable,State,Complete,Unvrsty/Upper,30 to 44,40 to 49,Independent/Other,40 to 49,0.39499999999999996,Favorable,No
23.0,11.0,12.0,Second call,65 and over,White,Female,Feiger,Approve,Disapprove,Yes,Support Clinton,No,No,Yes,Better,Clinton,Democrat,College grad,30 to 50K,Conservative,65 and over,Favorable,State,Complete,Unvrsty/Upper,60 and over,60 and over,Democrat,65 and over,0.47800000000000004,Favorable,Yes
23.0,11.0,13.0,Second call,65 and over,White,,Feiger,Approve,Disapprove,No,Support Clinton,No,No,No,Worse,Clinton,Democrat,Some college,15 to 30K,Liberal,65 and over,Favorable,State,Complete,Unvrsty/Upper,60 and over,60 and over,Democrat,65 and over,0.48700000000000004,Favorable,Yes
