V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33
1.0,0.0,G,46.0,1.0,11.0,First call,1.0,40-44,White,Female,Leahy,Dwyer,,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Better,Republican,50 to 75K,Conservative,18 to 64,Favorable,State,Green Mountains,30 to 44,40 to 49,Republican,40 to 49,0.955
1.0,0.0,G,46.0,1.0,12.0,First call,1.0,30-39,White,Female,Leahy,Dean,Sanders,Approve,Approve,Neither,No,Yes,Yes,Better,Republican,50 to 75K,Moderate,18 to 64,Favorable,State,Green Mountains,30 to 44,30 to 39,Republican,30 to 39,0.876
1.0,0.0,G,46.0,1.0,13.0,First call,1.0,30-39,White,Female,Leahy,Dean,Sanders,Approve,Disapprove,Neither,No,No,No,Better,Independent,,Liberal,18 to 64,Favorable,State,Green Mountains,30 to 44,30 to 39,Independent/Other,30 to 39,0.876
1.0,0.0,G,46.0,1.0,14.0,First call,1.0,60-64,White,Male,Leahy,Dwyer,Sanders,Approve,Disapprove,Neither,No,No,Yes,Same,Independent,30 to 50K,Moderate,18 to 64,Unfavorable,State,Green Mountains,60 and over,60 and over,Independent/Other,50 to 64,1.061
1.0,0.0,G,46.0,1.0,15.0,First call,1.0,65 and over,White,Female,Tuttle,Dwyer,Candon,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Worse,Republican,Under 15K,Moderate,65 and over,Unfavorable,State,Green Mountains,60 and over,60 and over,Republican,65 and over,0.936
1.0,0.0,G,46.0,1.0,16.0,First call,1.0,50-59,White,Female,Leahy,Dean,Candon,Approve,Approve,Neither,No,No,No,Worse,Democrat,50 to 75K,Moderate,18 to 64,Favorable,State,Green Mountains,45 to 59,50 to 59,Democrat,50 to 64,0.902
1.0,0.0,G,46.0,1.0,17.0,First call,1.0,30-39,White,Female,Tuttle,Dean,Sanders,Approve,Approve,Support Clinton,No,No,No,Same,Independent,15 to 30K,Moderate,18 to 64,Favorable,State,Green Mountains,30 to 44,30 to 39,Independent/Other,30 to 39,0.8140000000000001
1.0,0.0,G,46.0,1.0,18.0,First call,1.0,45-49,White,Female,Leahy,Dean,Sanders,Approve,,Support Clinton,No,No,,Better,Democrat,50 to 75K,Liberal,18 to 64,,State,Green Mountains,45 to 59,40 to 49,Democrat,40 to 49,0.876
1.0,0.0,G,46.0,1.0,19.0,First call,1.0,65 and over,White,Male,Leahy,Dean,Sanders,Approve,Disapprove,Neither,No,No,No,Same,Independent,30 to 50K,Moderate,65 and over,Unfavorable,State,Green Mountains,60 and over,60 and over,Independent/Other,65 and over,0.999
1.0,0.0,G,46.0,1.0,20.0,First call,1.0,50-59,White,Female,Tuttle,Dwyer,Candon,Disapprove,Disapprove,Neither,No,Yes,Yes,Better,Republican,30 to 50K,Conservative,18 to 64,Favorable,State,Green Mountains,45 to 59,50 to 59,Republican,50 to 64,0.8920000000000001
1.0,0.0,G,46.0,1.0,21.0,First call,1.0,45-49,White,Female,Tuttle,Dwyer,Candon,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Same,Republican,15 to 30K,Conservative,18 to 64,Favorable,State,Green Mountains,45 to 59,40 to 49,Republican,40 to 49,0.8920000000000001
1.0,0.0,G,46.0,1.0,22.0,First call,1.0,50-59,White,Male,Tuttle,Dwyer,Candon,Disapprove,Approve,Oppose Clinton,Yes,Yes,No,Same,Republican,75 to 100K,Conservative,18 to 64,Favorable,State,Green Mountains,45 to 59,50 to 59,Republican,50 to 64,0.9720000000000001
1.0,0.0,G,46.0,1.0,23.0,First call,1.0,50-59,White,Female,Leahy,Dean,Sanders,Approve,Approve,Neither,Yes,Yes,Yes,Same,Democrat,15 to 30K,Moderate,18 to 64,Unfavorable,State,Green Mountains,45 to 59,50 to 59,Democrat,50 to 64,0.876
1.0,0.0,G,46.0,1.0,24.0,First call,1.0,65 and over,White,Female,Leahy,Dean,,Approve,Disapprove,Neither,No,Yes,Yes,Same,Democrat,50 to 75K,Moderate,65 and over,Unfavorable,State,Green Mountains,60 and over,60 and over,Democrat,65 and over,0.9420000000000001
1.0,0.0,G,46.0,1.0,25.0,First call,1.0,30-39,White,Female,Tuttle,Dwyer,Other,,Approve,Neither,No,No,,Worse,Republican,15 to 30K,Conservative,18 to 64,Favorable,State,Green Mountains,30 to 44,30 to 39,Republican,30 to 39,1.448
1.0,0.0,G,46.0,1.0,26.0,Second call,1.0,25-29,White,Female,Leahy,Dean,Candon,Approve,Approve,Neither,No,No,No,Better,Republican,30 to 50K,Moderate,18 to 64,Favorable,State,Green Mountains,18 to 29,25 to 29,Republican,25 to 29,1.333
1.0,0.0,G,46.0,1.0,27.0,Second call,1.0,50-59,White,Female,Leahy,Dean,,Approve,Disapprove,Neither,No,No,Yes,Same,Democrat,30 to 50K,Moderate,18 to 64,Unfavorable,State,Green Mountains,45 to 59,50 to 59,Democrat,50 to 64,0.898
1.0,0.0,G,46.0,1.0,28.0,Second call,1.0,50-59,White,Female,Tuttle,Dwyer,Candon,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Same,Republican,30 to 50K,Conservative,18 to 64,Unfavorable,State,Green Mountains,45 to 59,50 to 59,Republican,50 to 64,0.8920000000000001
1.0,0.0,G,46.0,1.0,29.0,Second call,1.0,65 and over,White,Female,Leahy,Dean,Sanders,Disapprove,Disapprove,Neither,,,Yes,Worse,Independent,,Moderate,65 and over,Unfavorable,State,Green Mountains,60 and over,60 and over,Independent/Other,65 and over,0.9189999999999999
1.0,0.0,G,46.0,1.0,30.0,Second call,1.0,30-39,White,Female,Leahy,Dean,Sanders,Disapprove,Approve,Neither,No,Yes,No,Worse,Democrat,50 to 75K,Moderate,18 to 64,Favorable,State,Green Mountains,30 to 44,30 to 39,Democrat,30 to 39,0.876
1.0,0.0,G,46.0,1.0,31.0,Second call,1.0,50-59,White,Male,Leahy,Dwyer,Sanders,Disapprove,Disapprove,Neither,Yes,Yes,No,Same,Republican,30 to 50K,Moderate,18 to 64,Favorable,State,Green Mountains,45 to 59,50 to 59,Republican,50 to 64,1.011
1.0,0.0,G,46.0,1.0,32.0,Second call,1.0,60-64,White,Female,Tuttle,Dwyer,Candon,Disapprove,Disapprove,Oppose Clinton,,,Yes,Worse,Republican,30 to 50K,Conservative,18 to 64,Unfavorable,State,Green Mountains,60 and over,60 and over,Republican,50 to 64,0.936
1.0,0.0,G,46.0,1.0,33.0,Second call,1.0,30-39,White,Female,Tuttle,Dwyer,Candon,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Better,Republican,15 to 30K,Liberal,18 to 64,Unfavorable,State,Green Mountains,30 to 44,30 to 39,Republican,30 to 39,0.8920000000000001
1.0,0.0,G,46.0,1.0,34.0,Second call,1.0,50-59,White,Female,Leahy,Dwyer,Sanders,Disapprove,Disapprove,Neither,No,Yes,Yes,Worse,Republican,30 to 50K,,18 to 64,Favorable,State,Green Mountains,45 to 59,50 to 59,Republican,50 to 64,0.931
1.0,0.0,G,46.0,1.0,35.0,Second call,1.0,50-59,White,Male,Tuttle,Dwyer,Candon,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Same,Something else,30 to 50K,Conservative,18 to 64,Favorable,State,Green Mountains,45 to 59,50 to 59,Independent/Other,50 to 64,0.9720000000000001
1.0,0.0,G,46.0,1.0,36.0,Second call,1.0,65 and over,White,Female,Leahy,Dwyer,Sanders,Disapprove,Approve,Oppose Clinton,,Yes,Yes,Same,Independent,30 to 50K,Moderate,65 and over,Unfavorable,State,Green Mountains,60 and over,60 and over,Independent/Other,65 and over,0.9740000000000001
1.0,0.0,G,46.0,1.0,37.0,Second call,1.0,65 and over,White,Male,Leahy,Dwyer,Sanders,Approve,Disapprove,,No,No,No,Better,Independent,,Conservative,65 and over,Favorable,State,Green Mountains,60 and over,60 and over,Independent/Other,65 and over,1.061
1.0,0.0,G,46.0,1.0,38.0,Second call,1.0,30-39,White,Female,Tuttle,Dwyer,Sanders,Approve,Approve,Neither,No,No,No,Same,Something else,15 to 30K,Conservative,18 to 64,Favorable,State,Green Mountains,30 to 44,30 to 39,Independent/Other,30 to 39,0.867
1.0,0.0,G,46.0,1.0,39.0,Second call,1.0,65 and over,White,Female,Leahy,Dean,Sanders,Approve,Disapprove,Neither,No,No,Yes,Better,Independent,50 to 75K,Moderate,65 and over,Favorable,State,Green Mountains,60 and over,60 and over,Independent/Other,65 and over,0.9189999999999999
1.0,0.0,G,46.0,1.0,40.0,Second call,1.0,60-64,White,Female,Leahy,Dwyer,Sanders,Approve,Approve,Neither,No,No,Yes,Same,Independent,,Moderate,18 to 64,Favorable,State,Green Mountains,60 and over,60 and over,Independent/Other,50 to 64,0.9740000000000001
1.0,0.0,G,46.0,1.0,41.0,Third call,1.0,40-44,White,Male,Leahy,Dean,Sanders,Approve,Disapprove,Neither,No,No,Yes,Same,Independent,,Moderate,18 to 64,Favorable,State,Green Mountains,30 to 44,40 to 49,Independent/Other,40 to 49,0.9520000000000001
1.0,0.0,G,46.0,1.0,42.0,Third call,1.0,30-39,White,Female,Tuttle,Dwyer,Candon,Approve,Approve,,No,No,No,Same,Republican,15 to 30K,Moderate,18 to 64,Favorable,State,Green Mountains,30 to 44,30 to 39,Republican,30 to 39,0.8920000000000001
1.0,0.0,G,46.0,1.0,43.0,Third call,1.0,30-39,White,Male,Leahy,Dean,Candon,Disapprove,Approve,Neither,No,Yes,Yes,Same,Republican,,Conservative,18 to 64,Favorable,State,Green Mountains,30 to 44,30 to 39,Republican,30 to 39,0.9820000000000001
1.0,0.0,G,46.0,1.0,44.0,Third call,1.0,65 and over,White,Female,Tuttle,Dwyer,Sanders,Disapprove,Approve,Neither,Yes,Yes,Yes,Better,Republican,,Conservative,65 and over,Favorable,State,Green Mountains,60 and over,60 and over,Republican,65 and over,0.908
1.0,0.0,G,46.0,1.0,45.0,Third call,1.0,18-24,,Male,Leahy,Dean,Sanders,Approve,Disapprove,Neither,No,No,No,Same,Republican,Under 15K,Moderate,18 to 64,Favorable,State,Green Mountains,18 to 29,18 to 24,Republican,18 to 24,1.4060000000000001
1.0,0.0,G,46.0,1.0,46.0,Third call,1.0,25-29,White,Male,Leahy,Dean,Sanders,Approve,Disapprove,Support Clinton,No,No,No,Better,Democrat,50 to 75K,Moderate,18 to 64,Favorable,State,Green Mountains,18 to 29,25 to 29,Democrat,25 to 29,1.4060000000000001
1.0,0.0,G,46.0,1.0,47.0,Third call,1.0,50-59,White,Female,Tuttle,Dwyer,Candon,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Same,Independent,30 to 50K,Conservative,18 to 64,Favorable,State,Green Mountains,45 to 59,50 to 59,Independent/Other,50 to 64,0.8920000000000001
1.0,0.0,G,46.0,1.0,48.0,Third call,1.0,30-39,White,Female,Tuttle,Dwyer,Candon,Disapprove,Approve,Neither,Yes,Yes,Yes,Better,Republican,30 to 50K,Conservative,18 to 64,Unfavorable,State,Green Mountains,30 to 44,30 to 39,Republican,30 to 39,0.8920000000000001
1.0,0.0,G,46.0,1.0,49.0,Third call,1.0,60-64,White,Male,Tuttle,Dwyer,Candon,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Worse,Republican,30 to 50K,Conservative,18 to 64,Favorable,State,Green Mountains,60 and over,60 and over,Republican,50 to 64,1.02
1.0,0.0,G,46.0,1.0,50.0,Third call,1.0,30-39,White,Male,Tuttle,Dwyer,Candon,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Same,Republican,30 to 50K,Conservative,18 to 64,Unfavorable,State,Green Mountains,30 to 44,30 to 39,Republican,30 to 39,0.9720000000000001
1.0,0.0,G,46.0,1.0,51.0,Third call,1.0,50-59,White,Female,Leahy,Dean,Sanders,Approve,Disapprove,Support Clinton,No,No,No,Better,Something else,,Moderate,18 to 64,Favorable,State,Green Mountains,45 to 59,50 to 59,Independent/Other,50 to 64,0.876
1.0,0.0,G,46.0,1.0,52.0,Third call,1.0,50-59,,Male,Leahy,Dwyer,Candon,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Same,Independent,Under 15K,Moderate,18 to 64,Unfavorable,State,Green Mountains,45 to 59,50 to 59,Independent/Other,50 to 64,1.043
1.0,0.0,G,46.0,1.0,53.0,Third call,1.0,25-29,White,Female,Tuttle,,Candon,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,No,Better,Republican,,Conservative,18 to 64,Favorable,State,Green Mountains,18 to 29,25 to 29,Republican,25 to 29,1.288
1.0,0.0,G,46.0,1.0,54.0,Third call,1.0,30-39,White,Male,Leahy,Dean,Candon,Approve,Disapprove,Neither,No,No,Yes,Same,Democrat,50 to 75K,Conservative,18 to 64,Unfavorable,State,Green Mountains,30 to 44,30 to 39,Democrat,30 to 39,0.9820000000000001
1.0,0.0,G,46.0,1.0,55.0,Third call,1.0,65 and over,White,Female,Leahy,Dean,Sanders,Approve,Disapprove,Neither,No,No,Yes,Same,Democrat,50 to 75K,Liberal,65 and over,Favorable,State,Green Mountains,60 and over,60 and over,Democrat,65 and over,0.9189999999999999
1.0,0.0,G,46.0,1.0,56.0,Third call,1.0,25-29,White,Female,Leahy,Dean,Candon,Approve,Disapprove,Neither,No,Yes,Yes,Same,Independent,15 to 30K,Moderate,18 to 64,Favorable,State,Green Mountains,18 to 29,25 to 29,Independent/Other,25 to 29,1.333
1.0,0.0,G,46.0,1.0,57.0,Third call,1.0,30-39,White,Female,Leahy,Dean,Candon,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Better,Republican,50 to 75K,Moderate,18 to 64,Favorable,State,Green Mountains,30 to 44,30 to 39,Republican,30 to 39,0.902
1.0,0.0,G,46.0,1.0,58.0,Third call,1.0,45-49,White,Female,Tuttle,Dean,Sanders,Approve,Disapprove,Support Clinton,No,No,No,Better,Independent,15 to 30K,Moderate,18 to 64,Favorable,State,Green Mountains,45 to 59,40 to 49,Independent/Other,40 to 49,0.8140000000000001
1.0,0.0,G,46.0,1.0,59.0,Third call,1.0,50-59,White,Female,Leahy,Dean,Sanders,Approve,Approve,Neither,No,No,Yes,Better,Democrat,30 to 50K,Moderate,18 to 64,Favorable,State,Green Mountains,45 to 59,50 to 59,Democrat,50 to 64,0.876
1.0,0.0,G,46.0,1.0,60.0,Third call,1.0,25-29,White,Female,Tuttle,Dwyer,Candon,Disapprove,Approve,Neither,Yes,Yes,,Same,Republican,30 to 50K,Conservative,18 to 64,Favorable,State,Green Mountains,18 to 29,25 to 29,Republican,25 to 29,1.32
1.0,0.0,G,46.0,1.0,61.0,Third call,1.0,45-49,White,Female,Leahy,Dean,Sanders,Approve,Disapprove,Neither,No,No,Yes,Same,Democrat,,Liberal,18 to 64,Favorable,State,Green Mountains,45 to 59,40 to 49,Democrat,40 to 49,0.876
1.0,0.0,G,46.0,1.0,62.0,Third call,1.0,40-44,White,Female,Leahy,Dean,Sanders,Approve,Disapprove,Neither,No,No,No,Same,Democrat,30 to 50K,Liberal,18 to 64,Favorable,State,Green Mountains,30 to 44,40 to 49,Democrat,40 to 49,0.876
1.0,0.0,G,46.0,1.0,63.0,Third call,1.0,50-59,Asian,Female,Leahy,Dean,Sanders,Approve,Disapprove,Neither,No,No,No,Better,Democrat,30 to 50K,Moderate,18 to 64,Favorable,State,Green Mountains,45 to 59,50 to 59,Democrat,50 to 64,0.876
1.0,0.0,G,46.0,1.0,64.0,Third call,1.0,25-29,White,Female,Leahy,Dean,Sanders,Approve,Approve,Neither,No,No,No,Better,Independent,,Moderate,18 to 64,Favorable,State,Green Mountains,18 to 29,25 to 29,Independent/Other,25 to 29,1.293
1.0,0.0,G,46.0,1.0,65.0,Third call,1.0,50-59,White,Male,Tuttle,Dwyer,,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Same,Independent,30 to 50K,Conservative,18 to 64,Unfavorable,State,Green Mountains,45 to 59,50 to 59,Independent/Other,50 to 64,0.967
1.0,0.0,G,46.0,4.0,1.0,First call,1.0,50-59,White,Female,Leahy,Dwyer,Sanders,Approve,Approve,Support Clinton,No,No,No,Better,Republican,,Moderate,18 to 64,Unfavorable,State,Green Mountains,45 to 59,50 to 59,Republican,50 to 64,0.943
1.0,0.0,G,46.0,4.0,2.0,First call,1.0,50-59,White,Female,Leahy,Dean,Sanders,Approve,Disapprove,Support Clinton,No,No,No,Same,Independent,15 to 30K,Moderate,18 to 64,Favorable,State,Green Mountains,45 to 59,50 to 59,Independent/Other,50 to 64,0.887
1.0,0.0,G,46.0,4.0,3.0,First call,1.0,65 and over,White,Female,Leahy,Dean,Sanders,Approve,Disapprove,Support Clinton,No,No,No,Worse,Democrat,Under 15K,Moderate,65 and over,Favorable,State,Green Mountains,60 and over,60 and over,Democrat,65 and over,0.931
1.0,0.0,G,46.0,4.0,4.0,First call,1.0,65 and over,White,Male,Tuttle,Dwyer,Sanders,Disapprove,Disapprove,Neither,Yes,Yes,No,Same,Independent,15 to 30K,Conservative,65 and over,Favorable,State,Green Mountains,60 and over,60 and over,Independent/Other,65 and over,1.0
1.0,0.0,G,46.0,4.0,5.0,First call,1.0,50-59,White,Female,Leahy,Dean,Sanders,,Disapprove,Neither,No,No,Yes,Worse,Independent,50 to 75K,Liberal,18 to 64,Favorable,State,Green Mountains,45 to 59,50 to 59,Independent/Other,50 to 64,0.887
1.0,0.0,G,46.0,4.0,6.0,First call,1.0,50-59,White,Female,Tuttle,Dwyer,Candon,Disapprove,Approve,Neither,Yes,Yes,,Same,Republican,100K or more,Conservative,18 to 64,Unfavorable,State,Green Mountains,45 to 59,50 to 59,Republican,50 to 64,0.904
1.0,0.0,G,46.0,4.0,7.0,First call,1.0,65 and over,White,Female,Leahy,Dean,Sanders,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Worse,Independent,30 to 50K,Moderate,65 and over,Unfavorable,State,Green Mountains,60 and over,60 and over,Independent/Other,65 and over,0.931
1.0,0.0,G,46.0,4.0,8.0,First call,1.0,50-59,White,Female,Tuttle,Dean,Sanders,Approve,,Neither,No,No,,Same,Republican,,Conservative,18 to 64,Favorable,State,Green Mountains,45 to 59,50 to 59,Republican,50 to 64,0.8260000000000001
1.0,0.0,G,46.0,4.0,9.0,First call,1.0,50-59,White,Female,Tuttle,Dwyer,Candon,Disapprove,Approve,Oppose Clinton,,Yes,,Same,Republican,50 to 75K,Conservative,18 to 64,Unfavorable,State,Green Mountains,45 to 59,50 to 59,Republican,50 to 64,0.904
1.0,0.0,G,46.0,4.0,10.0,First call,1.0,40-44,White,Female,Tuttle,Dean,Other,Disapprove,Approve,Neither,Yes,Yes,No,Better,Something else,50 to 75K,Liberal,18 to 64,Favorable,State,Green Mountains,30 to 44,40 to 49,Independent/Other,40 to 49,1.382
1.0,0.0,G,46.0,4.0,11.0,First call,1.0,40-44,Black,Male,Leahy,Dwyer,Candon,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Same,Republican,30 to 50K,Conservative,18 to 64,Favorable,State,Green Mountains,30 to 44,40 to 49,Republican,40 to 49,0.736
1.0,0.0,G,46.0,4.0,12.0,First call,1.0,45-49,White,Female,Tuttle,Dwyer,Candon,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Same,Republican,100K or more,Conservative,18 to 64,Unfavorable,State,Green Mountains,45 to 59,40 to 49,Republican,40 to 49,0.904
1.0,0.0,G,46.0,4.0,13.0,First call,1.0,60-64,White,Male,Leahy,Dwyer,Sanders,Disapprove,Approve,Neither,Yes,Yes,,Same,Independent,15 to 30K,Moderate,18 to 64,Favorable,State,Green Mountains,60 and over,60 and over,Independent/Other,50 to 64,1.075
1.0,0.0,G,46.0,4.0,14.0,First call,1.0,45-49,Black,Male,Leahy,Dwyer,Candon,Approve,Approve,Neither,No,Yes,Yes,Same,Republican,,Liberal,18 to 64,Unfavorable,State,Green Mountains,45 to 59,40 to 49,Republican,40 to 49,0.736
1.0,0.0,G,46.0,4.0,15.0,First call,1.0,50-59,White,Female,Leahy,Dean,Sanders,Disapprove,Disapprove,Neither,No,Yes,Yes,Better,Democrat,50 to 75K,Moderate,18 to 64,Favorable,State,Green Mountains,45 to 59,50 to 59,Democrat,50 to 64,0.887
1.0,0.0,G,46.0,4.0,16.0,First call,1.0,50-59,White,Male,Tuttle,Dwyer,Candon,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Same,Republican,30 to 50K,Conservative,18 to 64,Favorable,State,Green Mountains,45 to 59,50 to 59,Republican,50 to 64,0.9840000000000001
1.0,0.0,G,46.0,4.0,17.0,First call,1.0,25-29,White,Male,Other,Dwyer,Candon,Disapprove,Approve,Neither,Yes,Yes,,Same,Republican,15 to 30K,Conservative,18 to 64,Unfavorable,State,Green Mountains,18 to 29,25 to 29,Republican,25 to 29,1.313
1.0,0.0,G,46.0,4.0,18.0,First call,1.0,25-29,White,Female,Other,Dwyer,Candon,Disapprove,Approve,Neither,Yes,Yes,,Same,Republican,15 to 30K,Conservative,18 to 64,Unfavorable,State,Green Mountains,18 to 29,25 to 29,Republican,25 to 29,1.205
1.0,0.0,G,46.0,4.0,19.0,First call,1.0,40-44,White,Male,Leahy,Dean,Candon,Approve,Approve,Neither,No,No,No,Same,Democrat,30 to 50K,Conservative,18 to 64,Favorable,State,Green Mountains,30 to 44,40 to 49,Democrat,40 to 49,0.995
1.0,0.0,G,46.0,4.0,20.0,First call,1.0,65 and over,White,Male,Other,Dwyer,Candon,Disapprove,Approve,Oppose Clinton,Yes,Yes,No,Worse,Republican,15 to 30K,Conservative,65 and over,Favorable,State,Green Mountains,60 and over,60 and over,Republican,65 and over,0.932
1.0,0.0,G,46.0,4.0,21.0,First call,1.0,50-59,White,Male,Tuttle,Dwyer,Candon,Disapprove,Approve,Oppose Clinton,Yes,Yes,No,Same,Republican,15 to 30K,Conservative,18 to 64,Favorable,State,Green Mountains,45 to 59,50 to 59,Republican,50 to 64,0.9840000000000001
1.0,0.0,G,46.0,4.0,22.0,First call,1.0,50-59,White,Male,Tuttle,Dwyer,Candon,Disapprove,Approve,Oppose Clinton,Yes,,,Same,Republican,100K or more,Conservative,18 to 64,Favorable,State,Green Mountains,45 to 59,50 to 59,Republican,50 to 64,0.9840000000000001
1.0,0.0,G,46.0,4.0,23.0,First call,1.0,30-39,White,Male,Tuttle,Dwyer,Candon,Disapprove,Approve,Oppose Clinton,Yes,Yes,No,Better,Republican,100K or more,Conservative,18 to 64,Unfavorable,State,Green Mountains,30 to 44,30 to 39,Republican,30 to 39,0.9840000000000001
1.0,0.0,G,46.0,4.0,24.0,First call,1.0,65 and over,White,Male,Other,Dwyer,Candon,Disapprove,Approve,Oppose Clinton,Yes,Yes,No,Same,Republican,50 to 75K,Conservative,65 and over,Unfavorable,State,Green Mountains,60 and over,60 and over,Republican,65 and over,0.932
1.0,0.0,G,46.0,4.0,25.0,First call,1.0,45-49,White,Male,Leahy,Dean,Sanders,Approve,Disapprove,Support Clinton,No,No,Yes,Better,Democrat,30 to 50K,Moderate,18 to 64,Favorable,State,Green Mountains,45 to 59,40 to 49,Democrat,40 to 49,0.9640000000000001
1.0,0.0,G,46.0,4.0,26.0,First call,1.0,65 and over,White,Female,Leahy,Dean,Sanders,Approve,Disapprove,Neither,No,No,Yes,Same,Democrat,Under 15K,Moderate,65 and over,Unfavorable,State,Green Mountains,60 and over,60 and over,Democrat,65 and over,0.931
1.0,0.0,G,46.0,4.0,27.0,First call,1.0,50-59,White,Male,Leahy,Dwyer,Candon,Disapprove,Disapprove,Neither,,Yes,Yes,Same,Republican,50 to 75K,Moderate,18 to 64,Unfavorable,State,Green Mountains,45 to 59,50 to 59,Republican,50 to 64,1.056
1.0,0.0,G,46.0,4.0,28.0,First call,1.0,45-49,White,Male,Leahy,Dean,Sanders,Approve,,Neither,No,No,Yes,Better,Independent,50 to 75K,Liberal,18 to 64,Favorable,State,Green Mountains,45 to 59,40 to 49,Independent/Other,40 to 49,0.9640000000000001
1.0,0.0,G,46.0,4.0,29.0,First call,1.0,30-39,White,Male,Leahy,Dean,Sanders,Approve,Approve,Neither,No,No,No,Worse,Democrat,50 to 75K,Liberal,18 to 64,Favorable,State,Green Mountains,30 to 44,30 to 39,Democrat,30 to 39,0.9640000000000001
1.0,0.0,G,46.0,4.0,30.0,First call,1.0,65 and over,White,Female,Leahy,Dean,,Approve,Disapprove,Support Clinton,No,Yes,Yes,Worse,Democrat,Under 15K,Liberal,65 and over,Unfavorable,State,Green Mountains,60 and over,60 and over,Democrat,65 and over,0.9540000000000001
