State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Senator Vote,Governor Race,Hispanic descent,Clinton Approval,Congress Approval,Q-Race (w/out Hispanic adj),Sen: Describe vote,Reason for Cong Vote,State economy condition,Prop5: Gambling,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,1996 vote,Party ID,Education,Religion,Income,Ideology,Age (65 and over),State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight (3 implied dec places),Senate issues,Governor issues,Future of state economy,Clinton as person,Union member in HH,Telephone survey,Reps on Clin/Lwnsky,Gay/Lesbian/Bisexual
5.0,1.0,11.0,First call,30-39,White,Male,Boxer,Davis,No,Approve,Approve,White,For my candidate,Neither,Good,Yes,No,No,No,Better,Clinton,Democrat,Postgrad,Something else,50 to 75K,Liberal,18 to 64,State,Complete,Bay Area,30 to 44,30 to 39,Democrat,30 to 39,0.267,Education,Education,About the same,Favorable,No,Exit poll,Disapprove,No
5.0,1.0,12.0,First call,50-59,White,Female,Boxer,Davis,No,Approve,Disapprove,White,For my candidate,Support Clinton,Good,No,No,No,No,Same,Clinton,Democrat,Postgrad,Jewish,75 to 100K,Liberal,18 to 64,State,Complete,Bay Area,45 to 59,50 to 59,Democrat,50 to 64,0.267,Social Security,Abortion,Worse,Favorable,No,Exit poll,,Yes
5.0,1.0,13.0,Second call,25-29,White,Male,Boxer,Davis,No,Approve,Disapprove,White,For my candidate,Neither,Good,No,No,No,Yes,Same,Clinton,Democrat,Postgrad,None,30 to 50K,Moderate,18 to 64,State,Complete,Bay Area,18 to 29,25 to 29,Democrat,25 to 29,0.37299999999999994,Abortion,Environment,Better,Unfavorable,No,Exit poll,Disapprove,No
5.0,1.0,14.0,Second call,30-39,White,Female,Boxer,Davis,No,Approve,Disapprove,White,For my candidate,Neither,Not so good,Yes,No,No,No,Better,Clinton,Democrat,Postgrad,None,75 to 100K,Liberal,18 to 64,State,Complete,Bay Area,30 to 44,30 to 39,Democrat,30 to 39,0.247,Abortion,Abortion,About the same,Unfavorable,No,Exit poll,Disapprove,No
5.0,1.0,15.0,Second call,30-39,White,Female,Boxer,Davis,No,Approve,Disapprove,White,For my candidate,Support Clinton,Good,Yes,No,No,No,Better,Clinton,Democrat,College grad,None,30 to 50K,Moderate,18 to 64,State,Complete,Bay Area,30 to 44,30 to 39,Democrat,30 to 39,0.247,Abortion,Abortion,Better,Unfavorable,No,Exit poll,Disapprove,No
5.0,1.0,16.0,Second call,40-44,White,Male,Other,Other,No,Disapprove,Disapprove,White,Against my candidate,Neither,Poor,Yes,No,No,Yes,Worse,Other,Something else,College grad,Catholic,,,18 to 64,State,Complete,Bay Area,30 to 44,40 to 49,Independent/Other,40 to 49,0.567,Education,Economy/jobs,Worse,Unfavorable,Yes,Exit poll,Disapprove,
5.0,1.0,17.0,Second call,65 and over,White,Male,Fong,Lungren,No,,,White,Against my candidate,Neither,Good,No,,Yes,,Same,Clinton,Democrat,Postgrad,Protestant,75 to 100K,Moderate,65 and over,State,Complete,Bay Area,60 and over,60 and over,Democrat,65 and over,0.617,Clin/Lwnsky,Economy/jobs,About the same,Unfavorable,,Exit poll,Approve,No
5.0,1.0,18.0,Second call,60-64,White,Female,Boxer,Davis,No,Approve,Disapprove,White,For my candidate,Neither,Good,Yes,No,No,Yes,Same,Clinton,Democrat,Postgrad,Protestant,75 to 100K,Liberal,18 to 64,State,Complete,Bay Area,60 and over,60 and over,Democrat,50 to 64,0.42000000000000004,Education,Education,About the same,Unfavorable,No,Exit poll,Disapprove,Yes
5.0,1.0,19.0,Second call,50-59,White,Female,Boxer,Davis,No,Approve,Disapprove,White,For my candidate,Support Clinton,Not so good,Yes,No,No,No,Same,Clinton,Democrat,Postgrad,Jewish,50 to 75K,Liberal,18 to 64,State,Complete,Bay Area,45 to 59,50 to 59,Democrat,50 to 64,0.247,,,About the same,Unfavorable,Yes,Exit poll,Disapprove,No
5.0,1.0,20.0,Second call,25-29,White,Female,Boxer,Davis,No,Approve,Disapprove,White,For my candidate,Neither,Good,Yes,No,No,Yes,Better,Clinton,Democrat,Postgrad,None,100K or more,Liberal,18 to 64,State,Complete,Bay Area,18 to 29,25 to 29,Democrat,25 to 29,0.319,Abortion,Abortion,Worse,Favorable,No,Exit poll,Disapprove,No
5.0,1.0,21.0,Second call,65 and over,White,Female,Boxer,Davis,,Approve,Disapprove,White,For my candidate,,Good,Yes,No,No,No,Worse,Clinton,Something else,Postgrad,None,Under 15K,Liberal,65 and over,State,Complete,Bay Area,60 and over,60 and over,Independent/Other,65 and over,0.42000000000000004,Education,Abortion,Worse,Favorable,Yes,Exit poll,Disapprove,Yes
5.0,1.0,22.0,Second call,60-64,White,Female,Boxer,Davis,No,Approve,Disapprove,White,For my candidate,Support Clinton,Good,Yes,No,No,No,Better,Clinton,Something else,Postgrad,Jewish,50 to 75K,Liberal,18 to 64,State,Complete,Bay Area,60 and over,60 and over,Independent/Other,50 to 64,0.42000000000000004,Social Security,Education,Better,,No,Exit poll,Disapprove,Yes
5.0,1.0,23.0,Second call,40-44,Other,Male,Boxer,Davis,No,Approve,Disapprove,Other,Against my candidate,Support Clinton,Good,Yes,No,No,No,Same,Clinton,Democrat,College grad,Catholic,,Liberal,18 to 64,State,Complete,Bay Area,30 to 44,40 to 49,Democrat,40 to 49,0.267,Abortion,Abortion,Better,Favorable,Yes,Exit poll,Disapprove,No
5.0,1.0,24.0,Second call,30-39,White,Male,Other,Other,No,Disapprove,Disapprove,White,For my candidate,Neither,Good,Yes,Yes,Yes,Yes,Same,Other,Something else,College grad,None,15 to 30K,,18 to 64,State,Complete,Bay Area,30 to 44,30 to 39,Independent/Other,30 to 39,0.567,Taxes,Taxes,About the same,Unfavorable,No,Exit poll,Disapprove,No
5.0,1.0,25.0,Second call,25-29,Asian,Male,Boxer,Other,No,Disapprove,Disapprove,Asian,For my candidate,Neither,Good,Yes,No,No,No,Better,,,Postgrad,Something else,15 to 30K,,18 to 64,State,Complete,Bay Area,18 to 29,25 to 29,,25 to 29,0.444,,Environment,Better,Unfavorable,Yes,Exit poll,Disapprove,No
5.0,1.0,26.0,Second call,45-49,Other,Female,Boxer,Davis,No,Approve,Disapprove,Other,For my candidate,Neither,Good,Yes,No,No,Yes,Better,Clinton,Democrat,Postgrad,Something else,100K or more,Moderate,18 to 64,State,Complete,Bay Area,45 to 59,40 to 49,Democrat,40 to 49,0.247,Economy/jobs,Education,Better,Favorable,No,Exit poll,Disapprove,No
5.0,1.0,27.0,Second call,25-29,White,Female,Fong,Davis,No,Approve,Disapprove,White,For my candidate,Neither,Excellent,Yes,No,No,No,Better,Clinton,Democrat,College grad,Catholic,30 to 50K,Liberal,18 to 64,State,Complete,Bay Area,18 to 29,25 to 29,Democrat,25 to 29,0.442,Abortion,Abortion,Better,Unfavorable,No,Exit poll,Disapprove,No
5.0,1.0,28.0,Second call,60-64,White,Female,Boxer,Davis,No,Approve,Disapprove,White,For my candidate,Support Clinton,Good,Yes,No,No,No,Same,Clinton,Independent,Postgrad,None,30 to 50K,Moderate,18 to 64,State,Complete,Bay Area,60 and over,60 and over,Independent/Other,50 to 64,0.42000000000000004,Education,Education,About the same,Favorable,No,Exit poll,Disapprove,No
5.0,1.0,29.0,Second call,30-39,White,Male,Boxer,Davis,No,Approve,Disapprove,White,Against my candidate,Neither,Excellent,No,No,No,No,Better,Clinton,Democrat,Postgrad,None,50 to 75K,Liberal,18 to 64,State,Complete,Bay Area,30 to 44,30 to 39,Democrat,30 to 39,0.29,Education,Environment,About the same,Favorable,Yes,Exit poll,Disapprove,No
5.0,1.0,30.0,Second call,45-49,White,Male,Boxer,Davis,No,Approve,Disapprove,White,Against my candidate,Neither,Good,No,No,Yes,Yes,Better,Other,Democrat,Postgrad,Jewish,100K or more,Liberal,18 to 64,State,Complete,Bay Area,45 to 59,40 to 49,Democrat,40 to 49,0.29,Abortion,Abortion,Worse,Unfavorable,No,Exit poll,Disapprove,No
5.0,1.0,31.0,Second call,50-59,White,Female,Boxer,Davis,No,Approve,Disapprove,White,For my candidate,Neither,Good,Yes,No,No,Yes,Same,Clinton,Democrat,Postgrad,Other Christian,50 to 75K,Liberal,18 to 64,State,Complete,Bay Area,45 to 59,50 to 59,Democrat,50 to 64,0.247,Abortion,Abortion,About the same,Unfavorable,No,Exit poll,Disapprove,No
5.0,1.0,32.0,Second call,60-64,White,Male,Boxer,Davis,No,Approve,Disapprove,White,For my candidate,Neither,Good,Yes,No,No,No,Better,Clinton,Democrat,Postgrad,Protestant,50 to 75K,Liberal,18 to 64,State,Complete,Bay Area,60 and over,60 and over,Democrat,50 to 64,0.454,Education,Education,Better,Favorable,Yes,Exit poll,Disapprove,No
5.0,1.0,33.0,Second call,45-49,Other,Female,Boxer,Davis,No,,,Other,Against my candidate,Neither,,,Yes,Yes,,Better,Clinton,Something else,Postgrad,,30 to 50K,Liberal,18 to 64,State,Complete,Bay Area,45 to 59,40 to 49,Independent/Other,40 to 49,0.254,Abortion,Environment,About the same,Unfavorable,No,Exit poll,,
5.0,1.0,34.0,Second call,50-59,White,Female,Boxer,Davis,No,Approve,Disapprove,White,For my candidate,Support Clinton,Good,Yes,No,No,No,Better,Clinton,Democrat,Postgrad,Jewish,50 to 75K,Liberal,18 to 64,State,Complete,Bay Area,45 to 59,50 to 59,Democrat,50 to 64,0.247,Clin/Lwnsky,Gun Control,About the same,Favorable,No,Exit poll,Disapprove,No
5.0,1.0,35.0,Third call,60-64,White,Female,Boxer,Davis,No,Approve,Disapprove,White,For my candidate,Support Clinton,Excellent,Yes,No,No,No,Same,Clinton,Democrat,Postgrad,None,100K or more,Liberal,18 to 64,State,Complete,Bay Area,60 and over,60 and over,Democrat,50 to 64,0.42000000000000004,Education,Abortion,About the same,Unfavorable,No,Exit poll,Disapprove,No
5.0,1.0,36.0,Third call,30-39,White,Female,Boxer,Davis,No,Disapprove,,White,Against my candidate,Neither,Not so good,Yes,No,No,Yes,Same,Clinton,Democrat,Postgrad,Jewish,75 to 100K,Liberal,18 to 64,State,Complete,Bay Area,30 to 44,30 to 39,Democrat,30 to 39,0.247,Abortion,,About the same,Unfavorable,No,Exit poll,Disapprove,No
5.0,1.0,37.0,Third call,25-29,Black,Female,Boxer,Lungren,No,Approve,Disapprove,Black,For my candidate,Support Clinton,Poor,Yes,No,No,No,Worse,Clinton,Something else,Some college,Something else,Under 15K,Conservative,18 to 64,State,Complete,Bay Area,18 to 29,25 to 29,Independent/Other,25 to 29,0.22,Economy/jobs,Environment,Worse,Favorable,No,Exit poll,Disapprove,No
5.0,1.0,38.0,Third call,18-24,White,Male,Boxer,Davis,No,Disapprove,Disapprove,White,For my candidate,Neither,Good,Yes,No,No,No,Same,Clinton,Democrat,College grad,Jewish,100K or more,Liberal,18 to 64,State,Complete,Bay Area,18 to 29,18 to 24,Democrat,18 to 24,0.344,Education,Education,About the same,Unfavorable,No,Exit poll,Disapprove,Yes
5.0,1.0,39.0,Third call,25-29,White,Male,Fong,Lungren,No,Disapprove,Approve,White,For my candidate,Oppose Clinton,Good,No,Yes,Yes,Yes,Same,Clinton,Something else,Postgrad,Jewish,15 to 30K,Moderate,18 to 64,State,Complete,Bay Area,18 to 29,25 to 29,Independent/Other,25 to 29,0.47100000000000003,,,Better,Unfavorable,No,Exit poll,Approve,No
5.0,1.0,40.0,Third call,45-49,White,Male,Boxer,Davis,No,Approve,Disapprove,White,Against my candidate,Support Clinton,Good,Yes,No,No,Yes,Same,Clinton,Democrat,Some college,Something else,15 to 30K,Liberal,18 to 64,State,Complete,Bay Area,45 to 59,40 to 49,Democrat,40 to 49,0.267,Clin/Lwnsky,,About the same,Favorable,Yes,Exit poll,Disapprove,Yes
5.0,1.0,41.0,Third call,50-59,Hispanic,Female,Boxer,Davis,Yes,Approve,Disapprove,Hispanic,For my candidate,Neither,Not so good,Yes,No,No,,Same,Clinton,Democrat,College grad,Catholic,50 to 75K,Liberal,18 to 64,State,Complete,Bay Area,45 to 59,50 to 59,Democrat,50 to 64,0.188,Education,Economy/jobs,Better,Unfavorable,No,Exit poll,Disapprove,No
5.0,1.0,42.0,Third call,45-49,Hispanic,Female,Boxer,Davis,Yes,Approve,,Hispanic,For my candidate,Support Clinton,Good,Yes,No,No,No,Better,Clinton,Independent,Postgrad,Something else,30 to 50K,Liberal,18 to 64,State,Complete,Bay Area,45 to 59,40 to 49,Independent/Other,40 to 49,0.188,,,Better,Favorable,Yes,Exit poll,Disapprove,No
5.0,1.0,43.0,Third call,30-39,White,Male,Boxer,Davis,No,Approve,Disapprove,White,For my candidate,Neither,Good,Yes,No,No,No,Better,Clinton,Democrat,Some college,Protestant,30 to 50K,Moderate,18 to 64,State,Complete,Bay Area,30 to 44,30 to 39,Democrat,30 to 39,0.267,,,About the same,Favorable,No,Exit poll,Disapprove,Yes
5.0,1.0,44.0,Third call,25-29,White,Female,Boxer,Davis,No,Disapprove,Disapprove,White,Against my candidate,Neither,Good,Yes,No,No,No,Better,Clinton,Democrat,College grad,None,50 to 75K,Liberal,18 to 64,State,Complete,Bay Area,18 to 29,25 to 29,Democrat,25 to 29,0.319,Abortion,Environment,Better,Unfavorable,No,Exit poll,Disapprove,Yes
5.0,1.0,45.0,Third call,30-39,White,Female,Boxer,Davis,No,Approve,,White,,Neither,Excellent,Yes,No,No,Yes,Better,Clinton,Democrat,College grad,Jewish,100K or more,Liberal,18 to 64,State,Complete,Bay Area,30 to 44,30 to 39,Democrat,30 to 39,0.247,,Abortion,Worse,Unfavorable,No,Exit poll,Disapprove,Yes
5.0,1.0,46.0,Third call,18-24,Hispanic,Male,Other,Other,Yes,Approve,Disapprove,Hispanic,For my candidate,Neither,Good,Yes,No,No,No,Worse,Did not vote,Something else,Some college,Catholic,Under 15K,Liberal,18 to 64,State,Complete,Bay Area,18 to 29,18 to 24,Independent/Other,18 to 24,0.565,Education,Environment,Better,Favorable,No,Exit poll,Disapprove,No
5.0,1.0,47.0,Third call,25-29,White,Female,Fong,Davis,No,Approve,Approve,White,For my candidate,Neither,Excellent,No,No,No,No,Better,Clinton,,College grad,None,75 to 100K,Moderate,18 to 64,State,Complete,Bay Area,18 to 29,25 to 29,,25 to 29,0.483,Abortion,Economy/jobs,About the same,Favorable,No,Exit poll,Disapprove,No
5.0,1.0,48.0,Third call,40-44,White,Female,Boxer,Davis,No,Approve,Disapprove,White,For my candidate,Neither,Good,Yes,No,No,Yes,Better,Clinton,Democrat,College grad,None,50 to 75K,Liberal,18 to 64,State,Complete,Bay Area,30 to 44,40 to 49,Democrat,40 to 49,0.247,Abortion,Economy/jobs,Better,Unfavorable,Yes,Exit poll,Disapprove,No
5.0,1.0,49.0,Third call,40-44,Asian,Female,Boxer,Davis,No,Approve,Disapprove,Asian,For my candidate,Support Clinton,Good,Yes,No,No,No,Better,Clinton,Democrat,College grad,Something else,50 to 75K,Liberal,18 to 64,State,Complete,Bay Area,30 to 44,40 to 49,Democrat,40 to 49,0.247,Abortion,Abortion,About the same,Favorable,No,Exit poll,Disapprove,No
5.0,1.0,50.0,Third call,50-59,White,Female,Boxer,Davis,No,Disapprove,Disapprove,White,For my candidate,Support Clinton,Poor,Yes,No,No,No,Better,Other,Independent,Postgrad,Jewish,50 to 75K,Liberal,18 to 64,State,Complete,Bay Area,45 to 59,50 to 59,Independent/Other,50 to 64,0.247,Abortion,Abortion,About the same,Unfavorable,No,Exit poll,Disapprove,Yes
5.0,1.0,51.0,Third call,30-39,White,Male,Boxer,Davis,No,Approve,Disapprove,White,Against my candidate,Neither,Good,Yes,No,No,No,Same,Clinton,Democrat,Postgrad,Jewish,30 to 50K,Liberal,18 to 64,State,Complete,Bay Area,30 to 44,30 to 39,Democrat,30 to 39,0.267,Education,Environment,About the same,Unfavorable,No,Exit poll,Disapprove,No
5.0,1.0,52.0,Third call,25-29,Hispanic,Female,Boxer,Davis,No,Approve,Approve,Hispanic,For my candidate,Neither,Good,No,No,No,No,Better,Clinton,Democrat,College grad,Jewish,15 to 30K,Liberal,18 to 64,State,Complete,Bay Area,18 to 29,25 to 29,Democrat,25 to 29,0.26499999999999996,Education,Education,Worse,Unfavorable,No,Exit poll,Disapprove,No
5.0,1.0,53.0,Third call,40-44,White,Male,Boxer,Other,No,Approve,Disapprove,White,Against my candidate,Neither,Not so good,No,No,No,No,Worse,Other,Independent,College grad,Something else,15 to 30K,Liberal,18 to 64,State,Complete,Bay Area,30 to 44,40 to 49,Independent/Other,40 to 49,0.37299999999999994,Economy/jobs,Economy/jobs,Worse,Unfavorable,Yes,Exit poll,Disapprove,No
5.0,1.0,54.0,Third call,18-24,Other,Female,Boxer,Davis,No,Approve,Approve,Other,For my candidate,Neither,Not so good,No,No,No,No,Better,Did not vote,Democrat,Some college,Jewish,75 to 100K,Liberal,18 to 64,State,Complete,Bay Area,18 to 29,18 to 24,Democrat,18 to 24,0.345,Taxes,Gun Control,Worse,Unfavorable,Yes,Exit poll,Disapprove,No
5.0,1.0,55.0,Third call,18-24,Hispanic,Female,Other,Other,Yes,Approve,Disapprove,Hispanic,For my candidate,Neither,Not so good,Yes,No,No,No,Worse,Clinton,Democrat,HS grad,None,Under 15K,Liberal,18 to 64,State,Complete,Bay Area,18 to 29,18 to 24,Democrat,18 to 24,0.518,Education,Abortion,Worse,Favorable,No,Exit poll,Disapprove,No
5.0,1.0,56.0,Third call,18-24,White,Female,Boxer,Davis,,Approve,,White,For my candidate,,,,No,No,No,,Clinton,Democrat,HS grad,None,,Liberal,18 to 64,State,Complete,Bay Area,18 to 29,18 to 24,Democrat,18 to 24,0.327,,,Better,,Yes,Exit poll,,Yes
5.0,1.0,57.0,Third call,18-24,Hispanic,Female,Boxer,Davis,Yes,Disapprove,Disapprove,,Against my candidate,Neither,Not so good,Yes,Yes,Yes,No,Better,Did not vote,Democrat,HS grad,Catholic,30 to 50K,Liberal,18 to 64,State,Complete,Bay Area,18 to 29,18 to 24,Democrat,18 to 24,0.245,Education,Abortion,About the same,Unfavorable,No,Exit poll,Disapprove,No
5.0,1.0,58.0,Third call,40-44,White,Female,Boxer,Other,No,Approve,Disapprove,White,Against my candidate,Neither,Good,Yes,No,No,No,Better,Other,Something else,Some college,None,75 to 100K,Liberal,18 to 64,State,Complete,Bay Area,30 to 44,40 to 49,Independent/Other,40 to 49,0.317,Education,Environment,Worse,,No,Exit poll,Disapprove,No
5.0,1.0,59.0,Third call,25-29,White,Female,Boxer,Davis,,,,White,For my candidate,,,Yes,,,,,,,,,,,18 to 64,State,Not complete,Bay Area,18 to 29,25 to 29,,25 to 29,0.319,Abortion,,,,No,Exit poll,Disapprove,
5.0,2.0,1.0,First call,25-29,Other,Female,Boxer,Davis,No,Approve,Disapprove,Other,,Support Clinton,,,No,No,No,Same,Clinton,Democrat,Postgrad,None,30 to 50K,Liberal,18 to 64,National,Complete,Bay Area,18 to 29,25 to 29,Democrat,25 to 29,0.457,,,,Favorable,No,Exit poll,Disapprove,
5.0,2.0,2.0,First call,30-39,Other,Female,Boxer,Davis,No,Approve,Disapprove,Other,,Neither,,,No,No,No,Better,Clinton,Democrat,Postgrad,Something else,15 to 30K,Liberal,18 to 64,National,Complete,Bay Area,30 to 44,30 to 39,Democrat,30 to 39,0.353,,,,Favorable,No,Exit poll,Disapprove,
5.0,2.0,3.0,First call,30-39,White,Female,Boxer,Davis,No,Disapprove,Approve,White,,Neither,,,No,No,No,Better,Other,Something else,Postgrad,None,75 to 100K,Liberal,18 to 64,National,Complete,Bay Area,30 to 44,30 to 39,Independent/Other,30 to 39,0.353,,,,Unfavorable,Yes,Exit poll,Disapprove,
5.0,2.0,4.0,First call,65 and over,Black,Female,Boxer,Davis,No,Approve,Disapprove,Black,,Neither,,,No,No,No,Same,Clinton,Democrat,No HS,Other Christian,Under 15K,Liberal,65 and over,National,Complete,Bay Area,60 and over,60 and over,Democrat,65 and over,0.462,,,,Favorable,No,Exit poll,Disapprove,
5.0,2.0,5.0,First call,30-39,White,Female,Boxer,Davis,No,Approve,Disapprove,White,,Support Clinton,,,No,Yes,Yes,Better,Clinton,Democrat,Postgrad,Protestant,50 to 75K,Liberal,18 to 64,National,Complete,Bay Area,30 to 44,30 to 39,Democrat,30 to 39,0.353,,,,Unfavorable,No,Exit poll,Disapprove,
5.0,2.0,6.0,First call,18-24,White,Female,Boxer,Other,No,,Disapprove,White,,Neither,,,No,No,,Same,Clinton,Something else,HS grad,None,Under 15K,Liberal,18 to 64,National,Complete,Bay Area,18 to 29,18 to 24,Independent/Other,18 to 24,0.59,,,,,No,Exit poll,Disapprove,
5.0,2.0,7.0,First call,30-39,White,Male,Boxer,Davis,No,Approve,Disapprove,White,,Support Clinton,,,No,No,No,Better,Clinton,Independent,Postgrad,Catholic,30 to 50K,Moderate,18 to 64,National,Complete,Bay Area,30 to 44,30 to 39,Independent/Other,30 to 39,0.38499999999999995,,,,Favorable,No,Exit poll,Disapprove,
5.0,2.0,8.0,First call,25-29,White,Female,Boxer,Davis,No,Approve,,White,,,,,,,,Same,,Democrat,,,15 to 30K,Liberal,18 to 64,National,Complete,Bay Area,18 to 29,25 to 29,Democrat,25 to 29,0.457,,,,,,Exit poll,,No
5.0,2.0,9.0,First call,40-44,White,Male,Boxer,Davis,No,Approve,,White,,,,,,,,Better,,Democrat,,,,Liberal,18 to 64,National,Complete,Bay Area,30 to 44,40 to 49,Democrat,40 to 49,0.38499999999999995,,,,,,Exit poll,,Yes
5.0,2.0,10.0,First call,30-39,White,Male,Boxer,Davis,No,Approve,,White,,,,,,,,Same,,Democrat,,,15 to 30K,Liberal,18 to 64,National,Complete,Bay Area,30 to 44,30 to 39,Democrat,30 to 39,0.38499999999999995,,,,,,Exit poll,,No
5.0,2.0,11.0,First call,50-59,White,Female,Boxer,Davis,No,Approve,,White,,,,,,,,Better,,Democrat,,,50 to 75K,Liberal,18 to 64,National,Complete,Bay Area,45 to 59,50 to 59,Democrat,50 to 64,0.353,,,,,,Exit poll,,No
5.0,2.0,12.0,First call,18-24,White,Male,Boxer,Davis,No,Approve,,White,,,,,,,,Better,,Democrat,,,100K or more,Liberal,18 to 64,National,Complete,Bay Area,18 to 29,18 to 24,Democrat,18 to 24,0.499,,,,,,Exit poll,,No
5.0,2.0,13.0,First call,25-29,White,Male,Fong,Lungren,No,Disapprove,,White,,,,,,,,Same,,Republican,,,50 to 75K,Moderate,18 to 64,National,Complete,Bay Area,18 to 29,25 to 29,Republican,25 to 29,0.623,,,,,,Exit poll,,No
5.0,2.0,14.0,First call,30-39,White,Male,Boxer,Davis,No,Approve,,White,,,,,,,,Better,,Something else,,,75 to 100K,Liberal,18 to 64,National,Complete,Bay Area,30 to 44,30 to 39,Independent/Other,30 to 39,0.38499999999999995,,,,,,Exit poll,,No
5.0,2.0,15.0,Second call,18-24,White,Male,Boxer,Other,No,Approve,Disapprove,White,,Support Clinton,,,No,No,No,Same,Clinton,Democrat,Postgrad,Jewish,15 to 30K,Liberal,18 to 64,National,Complete,Bay Area,18 to 29,18 to 24,Democrat,18 to 24,0.64,,,,Favorable,Yes,Exit poll,Disapprove,
5.0,2.0,16.0,Second call,25-29,White,Male,Boxer,Davis,No,Approve,Disapprove,White,,Neither,,,No,No,Yes,Better,Clinton,Democrat,College grad,None,30 to 50K,Liberal,18 to 64,National,Complete,Bay Area,18 to 29,25 to 29,Democrat,25 to 29,0.499,,,,Favorable,No,Exit poll,Disapprove,
