V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45
1.0,0.0,G,34.0,3.0,43.0,Third call,1.0,50-59,White,Male,Faircloth,Less,Disapprove,Approve,No,Oppose Clinton,Disapprove,Yes,Think worse,Yes,Yes,Yes,Worse,Dole,Republican,College grad,30 to 50K,Conservative,18 to 64,Too strict,State,Complete,Mountain/West,45 to 59,50 to 59,Republican,50 to 64,0.604,Tabacco,Experience,About the same,Unfavorable,Before that,Approve
1.0,0.0,G,34.0,3.0,44.0,Third call,1.0,45-49,White,Female,Faircloth,,,Disapprove,No,Neither,Disapprove,Yes,No effect,Yes,Yes,Yes,Same,Dole,Republican,HS grad,15 to 30K,Moderate,18 to 64,Not strict enough,State,Complete,Mountain/West,45 to 59,40 to 49,Republican,40 to 49,0.613,Tabacco,,About the same,Unfavorable,Before that,Approve
1.0,0.0,G,34.0,3.0,45.0,Third call,1.0,40-44,White,Female,Edwards,Less,Approve,Disapprove,No,Neither,Approve,No,No effect,No,No,,Better,Clinton,Democrat,HS grad,Under 15K,Liberal,18 to 64,,State,Complete,Mountain/West,30 to 44,40 to 49,Democrat,40 to 49,0.514,Environment,Needed change,About the same,Favorable,Before that,Disapprove
1.0,0.0,G,34.0,3.0,46.0,Third call,1.0,40-44,White,Male,Faircloth,,,,No,,,Yes,Think worse,,,,,,,,,,18 to 64,About right,State,Not complete,Mountain/West,30 to 44,40 to 49,,40 to 49,0.604,Clin/Lwnsky,Experience,,,Last week,
1.0,0.0,G,34.0,3.0,47.0,Third call,1.0,60-64,White,Male,Faircloth,Less,Disapprove,Approve,No,Oppose Clinton,Disapprove,Yes,Think worse,Yes,Yes,Yes,Worse,Perot,Republican,No HS,15 to 30K,Conservative,18 to 64,Too strict,State,Complete,Mountain/West,60 and over,60 and over,Republican,50 to 64,0.74,Clin/Lwnsky,Honest,Worse,Unfavorable,Before that,Approve
1.0,0.0,G,34.0,3.0,48.0,Third call,1.0,30-39,White,Female,Faircloth,Less,Disapprove,Approve,Yes,Oppose Clinton,Disapprove,No,No effect,Yes,No,No,Better,Dole,Independent,College grad,30 to 50K,Moderate,18 to 64,Not strict enough,State,Complete,Mountain/West,30 to 44,30 to 39,Independent/Other,30 to 39,0.613,Social Security,Experience,About the same,Unfavorable,Before that,Disapprove
1.0,0.0,G,34.0,9.0,1.0,First call,1.0,50-59,Black,Female,Edwards,More,Approve,Disapprove,No,Neither,Approve,Yes,Think better,No,No,Yes,Better,Clinton,Democrat,College grad,50 to 75K,,18 to 64,Too strict,State,Complete,Mountain/West,45 to 59,50 to 59,Democrat,50 to 64,0.271,,,About the same,Favorable,Last 3 days,Disapprove
1.0,0.0,G,34.0,9.0,2.0,First call,1.0,30-39,White,Male,Edwards,More,Approve,Disapprove,No,Support Clinton,Approve,No,No effect,No,No,No,Better,Clinton,Democrat,College grad,30 to 50K,Liberal,18 to 64,Not strict enough,State,Complete,Mountain/West,30 to 44,30 to 39,Democrat,30 to 39,0.165,Clin/Lwnsky,My party,About the same,Favorable,Before that,Disapprove
1.0,0.0,G,34.0,9.0,3.0,First call,1.0,50-59,Black,Male,Edwards,,,,No,,,,Think better,,,,,,,,,,18 to 64,Too strict,State,Not complete,Mountain/West,45 to 59,50 to 59,,50 to 64,0.268,Economy/jobs,Stands up,,,Before that,
1.0,0.0,G,34.0,9.0,4.0,First call,1.0,60-64,White,Female,Faircloth,Less,Disapprove,Disapprove,No,Oppose Clinton,Disapprove,Yes,No effect,Yes,Yes,,Same,Dole,Republican,College grad,30 to 50K,Conservative,18 to 64,Not strict enough,State,Complete,Mountain/West,60 and over,60 and over,Republican,50 to 64,0.243,Clin/Lwnsky,My party,Worse,Unfavorable,Before that,Approve
1.0,0.0,G,34.0,9.0,5.0,First call,1.0,45-49,Black,Male,Edwards,More,Approve,Disapprove,No,Neither,Approve,No,Think better,No,No,No,Better,Clinton,Democrat,College grad,50 to 75K,Liberal,18 to 64,Not strict enough,State,Complete,Mountain/West,45 to 59,40 to 49,Democrat,40 to 49,0.268,Economy/jobs,Needed change,Worse,Favorable,Before that,Disapprove
1.0,0.0,G,34.0,9.0,6.0,First call,1.0,65 and over,Black,Female,Edwards,More,Approve,Disapprove,No,Support Clinton,Approve,No,No effect,No,No,No,Better,Clinton,Democrat,Some college,30 to 50K,Liberal,65 and over,,State,Complete,Mountain/West,60 and over,60 and over,Democrat,65 and over,0.33299999999999996,,Cares,Better,Favorable,Before that,Disapprove
1.0,0.0,G,34.0,9.0,7.0,First call,1.0,45-49,Black,Male,Edwards,More,Approve,Disapprove,No,Support Clinton,Disapprove,No,No effect,No,No,Yes,Worse,Clinton,Democrat,Some college,30 to 50K,Liberal,18 to 64,About right,State,Complete,Mountain/West,45 to 59,40 to 49,Democrat,40 to 49,0.268,Economy/jobs,Stands up,About the same,Favorable,Before that,Disapprove
1.0,0.0,G,34.0,9.0,8.0,First call,1.0,50-59,Black,Female,Faircloth,More,Approve,Disapprove,No,Support Clinton,Approve,Yes,Think better,No,No,No,Same,Clinton,,Some college,15 to 30K,Moderate,18 to 64,Not strict enough,State,Complete,Mountain/West,45 to 59,50 to 59,,50 to 64,0.32299999999999995,,My party,About the same,Favorable,Last 3 days,Approve
1.0,0.0,G,34.0,9.0,9.0,First call,1.0,50-59,Black,Male,Faircloth,Less,Approve,Approve,No,Neither,,Yes,Think worse,Yes,Yes,No,Better,Clinton,Democrat,HS grad,100K or more,Conservative,18 to 64,Not strict enough,State,Complete,Mountain/West,45 to 59,50 to 59,Democrat,50 to 64,0.319,,Stands up,Better,Unfavorable,Last 3 days,Disapprove
1.0,0.0,G,34.0,9.0,10.0,First call,1.0,50-59,White,Female,Edwards,More,Approve,Disapprove,No,Neither,Approve,No,No effect,No,No,Yes,Same,Clinton,Independent,College grad,30 to 50K,Moderate,18 to 64,Not strict enough,State,Complete,Mountain/West,45 to 59,50 to 59,Independent/Other,50 to 64,0.16699999999999998,Environment,Needed change,About the same,Unfavorable,Before that,Disapprove
1.0,0.0,G,34.0,9.0,11.0,First call,1.0,65 and over,Black,,Edwards,Less,,Approve,,Support Clinton,Approve,No,Think better,No,No,No,Better,Clinton,Democrat,HS grad,Under 15K,Moderate,65 and over,About right,State,Complete,Mountain/West,60 and over,60 and over,Democrat,65 and over,0.329,Social Security,Experience,About the same,Favorable,Before that,Disapprove
1.0,0.0,G,34.0,9.0,12.0,First call,1.0,40-44,Black,Female,Other,More,Approve,Disapprove,No,Support Clinton,,Yes,No effect,No,No,No,Better,Clinton,Independent,College grad,30 to 50K,Moderate,18 to 64,About right,State,Complete,Mountain/West,30 to 44,40 to 49,Independent/Other,40 to 49,0.313,Economy/jobs,Cares,Better,Favorable,Before that,Disapprove
1.0,0.0,G,34.0,9.0,13.0,First call,1.0,60-64,Black,,Edwards,Less,Approve,Disapprove,No,Support Clinton,Approve,Yes,Think better,No,No,No,Better,Clinton,Democrat,,15 to 30K,Moderate,18 to 64,Too strict,State,Complete,Mountain/West,60 and over,60 and over,Democrat,50 to 64,0.33299999999999996,Social Security,Honest,Better,Favorable,Before that,Disapprove
1.0,0.0,G,34.0,9.0,14.0,First call,1.0,30-39,White,Female,Edwards,Less,Approve,Approve,No,Support Clinton,Disapprove,No,No effect,No,No,Yes,Better,Clinton,Democrat,College grad,15 to 30K,Liberal,18 to 64,About right,State,Complete,Mountain/West,30 to 44,30 to 39,Democrat,30 to 39,0.16699999999999998,,Cares,Better,Favorable,Before that,Disapprove
1.0,0.0,G,34.0,9.0,15.0,Second call,1.0,50-59,Black,Female,Other,Less,Approve,Disapprove,No,Support Clinton,Approve,No,No effect,No,No,Yes,Worse,Clinton,Democrat,Some college,Under 15K,Moderate,18 to 64,Too strict,State,Complete,Mountain/West,45 to 59,50 to 59,Democrat,50 to 64,0.313,Health care,My party,About the same,Favorable,Last 3 days,Disapprove
1.0,0.0,G,34.0,9.0,16.0,Second call,1.0,40-44,Black,Male,Other,Less,Approve,Disapprove,No,Neither,Approve,No,No effect,No,No,No,Better,Clinton,Democrat,College grad,30 to 50K,Liberal,18 to 64,About right,State,Complete,Mountain/West,30 to 44,40 to 49,Democrat,40 to 49,0.309,Taxes,My party,Better,,Last 3 days,Disapprove
1.0,0.0,G,34.0,9.0,17.0,Second call,1.0,45-49,White,Male,Edwards,More,Approve,Disapprove,No,Neither,Approve,No,No effect,No,No,No,Same,Clinton,Independent,College grad,30 to 50K,Moderate,18 to 64,Not strict enough,State,Complete,Mountain/West,45 to 59,40 to 49,Independent/Other,40 to 49,0.165,Environment,Cares,Better,Favorable,Last month,Disapprove
1.0,0.0,G,34.0,9.0,18.0,Second call,1.0,65 and over,White,Female,Edwards,More,Approve,Disapprove,No,Support Clinton,Approve,Yes,No effect,No,No,No,Same,Clinton,Democrat,Postgrad,Under 15K,Moderate,65 and over,Not strict enough,State,Complete,Mountain/West,60 and over,60 and over,Democrat,65 and over,0.20500000000000002,,Cares,About the same,Favorable,Last 3 days,Disapprove
1.0,0.0,G,34.0,9.0,19.0,Second call,1.0,40-44,Black,Male,Edwards,More,Approve,Disapprove,No,Neither,Approve,No,No effect,No,No,No,Better,Clinton,Democrat,College grad,,Moderate,18 to 64,About right,State,Complete,Mountain/West,30 to 44,40 to 49,Democrat,40 to 49,0.268,Economy/jobs,My view,Better,Favorable,Before that,Disapprove
1.0,0.0,G,34.0,9.0,20.0,Second call,1.0,40-44,White,Male,Edwards,More,Approve,Disapprove,No,Neither,Approve,No,No effect,No,No,No,Worse,Clinton,Democrat,College grad,30 to 50K,Moderate,18 to 64,About right,State,Complete,Mountain/West,30 to 44,40 to 49,Democrat,40 to 49,0.165,,My view,Worse,Favorable,Last month,Disapprove
1.0,0.0,G,34.0,9.0,21.0,Second call,1.0,18-24,Black,Male,Edwards,Less,Approve,Disapprove,Yes,Support Clinton,Approve,,No effect,No,No,Yes,Same,Clinton,Democrat,HS grad,15 to 30K,,18 to 64,,State,Complete,Mountain/West,18 to 29,18 to 24,Democrat,18 to 24,0.303,Clin/Lwnsky,My party,About the same,Favorable,Before that,Disapprove
1.0,0.0,G,34.0,9.0,22.0,Second call,1.0,45-49,Black,Male,Edwards,More,Approve,Disapprove,No,Neither,Approve,No,No effect,No,No,No,Same,Clinton,Democrat,,30 to 50K,Moderate,18 to 64,Not strict enough,State,Complete,Mountain/West,45 to 59,40 to 49,Democrat,40 to 49,0.268,Health care,Needed change,Better,Favorable,Before that,Disapprove
1.0,0.0,G,34.0,9.0,23.0,Second call,1.0,50-59,White,Male,Faircloth,Less,Approve,Approve,No,Neither,,Yes,No effect,,,Yes,Better,Dole,Republican,College grad,,Conservative,18 to 64,,State,Complete,Mountain/West,45 to 59,50 to 59,Republican,50 to 64,0.19599999999999998,,,Better,,Before that,
1.0,0.0,G,34.0,9.0,24.0,Second call,1.0,45-49,Black,Male,Edwards,More,Approve,Disapprove,,Support Clinton,Approve,No,No effect,No,No,No,Better,Clinton,Independent,Postgrad,50 to 75K,Conservative,18 to 64,Not strict enough,State,Complete,Mountain/West,45 to 59,40 to 49,Independent/Other,40 to 49,0.268,Economy/jobs,My view,About the same,Unfavorable,Before that,Disapprove
1.0,0.0,G,34.0,9.0,25.0,Second call,1.0,65 and over,White,Female,Edwards,More,Approve,Disapprove,No,Neither,Approve,Yes,No effect,No,No,No,Better,Clinton,Democrat,Some college,15 to 30K,Moderate,65 and over,About right,State,Complete,Mountain/West,60 and over,60 and over,Democrat,65 and over,0.20500000000000002,Health care,Cares,About the same,Unfavorable,Last month,Disapprove
1.0,0.0,G,34.0,9.0,26.0,Second call,1.0,45-49,Black,Female,Edwards,More,Approve,Disapprove,No,Support Clinton,Approve,No,No effect,No,No,No,Better,Clinton,Democrat,No HS,15 to 30K,Moderate,18 to 64,Not strict enough,State,Complete,Mountain/West,45 to 59,40 to 49,Democrat,40 to 49,0.271,,Cares,Better,Favorable,Before that,Disapprove
