State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Senator Vote,Clinton Approval,Congress Approval,Reason for Cong Vote,Religious Right,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,1996 vote,Party ID,Education,Income,Ideology,Age (65 and over),Hillary opinion,State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight (3 implied dec places),Clinton as person
15.0,4.0,20.0,Second call,25-29,White,Male,Bayh,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Independent,Postgrad,100K or more,Conservative,18 to 64,Favorable,National,Complete,North,18 to 29,25 to 29,Independent/Other,25 to 29,0.6449999999999999,Favorable
15.0,4.0,21.0,Second call,50-59,White,Female,Helmke,Disapprove,Disapprove,Oppose Clinton,No,No,Yes,Yes,Same,Dole,Republican,College grad,15 to 30K,Moderate,18 to 64,Unfavorable,National,Complete,North,45 to 59,50 to 59,Republican,50 to 64,0.845,Unfavorable
15.0,4.0,22.0,Second call,65 and over,White,Male,Bayh,Approve,,,,,,,Worse,,Democrat,,Under 15K,Moderate,65 and over,,National,Complete,North,60 and over,60 and over,Democrat,65 and over,0.902,
15.0,4.0,23.0,Second call,65 and over,White,Male,Bayh,Approve,,,,,,,Same,,Republican,,50 to 75K,Moderate,65 and over,,National,Complete,North,60 and over,60 and over,Republican,65 and over,0.902,
15.0,4.0,24.0,Second call,50-59,White,Male,Bayh,,,,,,,,Same,,Republican,,100K or more,Conservative,18 to 64,,National,Complete,North,45 to 59,50 to 59,Republican,50 to 64,0.778,
15.0,4.0,25.0,Second call,45-49,White,Female,Bayh,Approve,,,,,,,Better,,Democrat,,75 to 100K,Liberal,18 to 64,,National,Complete,North,45 to 59,40 to 49,Democrat,40 to 49,0.835,
15.0,4.0,26.0,Second call,45-49,White,Male,Bayh,Approve,,,,,,,Better,,Democrat,,75 to 100K,Moderate,18 to 64,,National,Complete,North,45 to 59,40 to 49,Democrat,40 to 49,0.778,
15.0,4.0,27.0,Second call,60-64,White,Female,Bayh,Disapprove,,,,,,,Worse,,Independent,,30 to 50K,Conservative,18 to 64,,National,Complete,North,60 and over,60 and over,Independent/Other,50 to 64,0.97,
15.0,4.0,28.0,Second call,50-59,White,Male,Helmke,Disapprove,,,,,,,Better,,Republican,,50 to 75K,Moderate,18 to 64,,National,Complete,North,45 to 59,50 to 59,Republican,50 to 64,0.786,
15.0,4.0,29.0,Second call,40-44,White,Female,Bayh,Approve,,,,,,,Better,,Independent,,75 to 100K,Liberal,18 to 64,,National,Complete,North,30 to 44,40 to 49,Independent/Other,40 to 49,0.835,
15.0,4.0,30.0,Second call,65 and over,White,Female,Bayh,Disapprove,,,,,,,Same,,Independent,,75 to 100K,Conservative,65 and over,,National,Complete,North,60 and over,60 and over,Independent/Other,65 and over,0.97,
15.0,4.0,31.0,Second call,65 and over,White,Male,Bayh,Approve,,,,,,,Better,,Democrat,,30 to 50K,Moderate,65 and over,,National,Complete,North,60 and over,60 and over,Democrat,65 and over,0.902,
15.0,4.0,32.0,Second call,65 and over,White,Female,Bayh,Approve,,,,,,,Better,,Independent,,75 to 100K,Moderate,65 and over,,National,Complete,North,60 and over,60 and over,Independent/Other,65 and over,0.97,
15.0,4.0,33.0,Second call,40-44,Hispanic,Male,Helmke,Disapprove,,,,,,,Same,,Republican,,75 to 100K,Moderate,18 to 64,,National,Complete,North,30 to 44,40 to 49,Republican,40 to 49,0.5429999999999999,
15.0,4.0,34.0,Second call,40-44,White,Female,Helmke,Disapprove,,,,,,,Worse,,Republican,,50 to 75K,Conservative,18 to 64,,National,Complete,North,30 to 44,40 to 49,Republican,40 to 49,0.845,
15.0,4.0,35.0,Second call,50-59,White,Female,Helmke,Disapprove,,,,,,,Better,,Republican,,,Moderate,18 to 64,,National,Complete,North,45 to 59,50 to 59,Republican,50 to 64,0.845,
15.0,4.0,36.0,Second call,30-39,White,Male,Helmke,Disapprove,,,,,,,Same,,Republican,,50 to 75K,Moderate,18 to 64,,National,Complete,North,30 to 44,30 to 39,Republican,30 to 39,0.786,
15.0,4.0,37.0,Third call,30-39,White,Male,Bayh,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Independent,College grad,50 to 75K,Moderate,18 to 64,Favorable,National,Complete,North,30 to 44,30 to 39,Independent/Other,30 to 39,0.778,Favorable
15.0,4.0,38.0,Third call,50-59,White,Male,Bayh,Approve,Disapprove,Neither,No,No,No,Yes,Better,Clinton,Democrat,Postgrad,75 to 100K,Conservative,18 to 64,Favorable,National,Complete,North,45 to 59,50 to 59,Democrat,50 to 64,0.778,Favorable
15.0,4.0,39.0,Third call,50-59,White,Female,Bayh,Approve,Disapprove,Neither,No,No,No,No,Same,Clinton,Democrat,Some college,,Conservative,18 to 64,Favorable,National,Complete,North,45 to 59,50 to 59,Democrat,50 to 64,0.835,Unfavorable
15.0,4.0,40.0,Third call,60-64,White,Female,Helmke,Disapprove,Approve,Neither,No,Yes,Yes,Yes,Same,Dole,Independent,No HS,,Moderate,18 to 64,Unfavorable,National,Complete,North,60 and over,60 and over,Independent/Other,50 to 64,0.98,Unfavorable
15.0,4.0,41.0,Third call,25-29,White,Female,Bayh,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Yes,Same,Dole,Republican,College grad,100K or more,Conservative,18 to 64,Unfavorable,National,Complete,North,18 to 29,25 to 29,Republican,25 to 29,0.693,Unfavorable
15.0,4.0,42.0,Third call,45-49,White,Male,Bayh,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Independent,Postgrad,75 to 100K,Moderate,18 to 64,Favorable,National,Complete,North,45 to 59,40 to 49,Independent/Other,40 to 49,0.778,Favorable
15.0,4.0,43.0,Third call,50-59,White,Female,Bayh,Approve,Disapprove,,,,,,,,,,,,18 to 64,,National,Not complete,North,45 to 59,50 to 59,,50 to 64,0.835,
15.0,4.0,44.0,Third call,50-59,White,Male,Helmke,Approve,Disapprove,Neither,Yes,Yes,Yes,Yes,Better,Clinton,,Some college,30 to 50K,Moderate,18 to 64,Favorable,National,Complete,North,45 to 59,50 to 59,,50 to 64,0.786,Favorable
15.0,4.0,45.0,Third call,65 and over,White,Female,Bayh,Disapprove,Disapprove,,,,,,,,,,,,65 and over,,National,Not complete,North,60 and over,60 and over,,65 and over,0.97,
15.0,4.0,46.0,Third call,50-59,White,Female,Bayh,Approve,Disapprove,Neither,No,No,No,No,Worse,Clinton,Independent,HS grad,50 to 75K,Moderate,18 to 64,Favorable,National,Complete,North,45 to 59,50 to 59,Independent/Other,50 to 64,0.835,Unfavorable
15.0,4.0,47.0,Third call,45-49,White,Male,Bayh,Disapprove,,,,,,,Same,,Independent,,,Conservative,18 to 64,,National,Complete,North,45 to 59,40 to 49,Independent/Other,40 to 49,0.778,
15.0,4.0,48.0,Third call,65 and over,White,Female,Helmke,Disapprove,,,,,,,,,,,,,65 and over,,National,Not complete,North,60 and over,60 and over,,65 and over,0.98,
15.0,4.0,49.0,Third call,25-29,Black,Male,Bayh,Approve,,,,,,,Better,,Democrat,,30 to 50K,Conservative,18 to 64,,National,Complete,North,18 to 29,25 to 29,Democrat,25 to 29,0.445,
15.0,4.0,50.0,Third call,50-59,Black,Female,Bayh,Approve,,,,,,,Same,,Democrat,,75 to 100K,Liberal,18 to 64,,National,Complete,North,45 to 59,50 to 59,Democrat,50 to 64,0.577,
15.0,4.0,51.0,Third call,40-44,White,Male,Helmke,Disapprove,,,,,,,Same,,Republican,,50 to 75K,Conservative,18 to 64,,National,Complete,North,30 to 44,40 to 49,Republican,40 to 49,0.786,
15.0,4.0,52.0,Third call,60-64,White,Male,Bayh,Approve,,,,,,,Better,,Democrat,,50 to 75K,Moderate,18 to 64,,National,Complete,North,60 and over,60 and over,Democrat,50 to 64,0.902,
15.0,4.0,53.0,Third call,50-59,Black,Male,Bayh,Disapprove,,,,,,,Better,,Republican,,100K or more,Conservative,18 to 64,,National,Complete,North,45 to 59,50 to 59,Republican,50 to 64,0.536,
15.0,4.0,54.0,Third call,30-39,Black,Male,Bayh,Approve,,,,,,,Better,,Independent,,50 to 75K,Moderate,18 to 64,,National,Complete,North,30 to 44,30 to 39,Independent/Other,30 to 39,0.536,
15.0,4.0,55.0,Third call,18-24,White,Female,Helmke,Disapprove,,,,,,,Same,,Independent,,30 to 50K,Moderate,18 to 64,,National,Complete,North,18 to 29,18 to 24,Independent/Other,18 to 24,0.701,
15.0,29.0,1.0,First call,40-44,White,Female,Bayh,Approve,Approve,Neither,No,No,Yes,Yes,Better,Clinton,Republican,Postgrad,75 to 100K,Moderate,18 to 64,Unfavorable,State,Complete,North,30 to 44,40 to 49,Republican,40 to 49,0.7469999999999999,Unfavorable
15.0,29.0,2.0,First call,50-59,White,Female,Bayh,Disapprove,Approve,Neither,No,No,Yes,Yes,Same,Perot,Independent,Some college,75 to 100K,Moderate,18 to 64,Unfavorable,State,Complete,North,45 to 59,50 to 59,Independent/Other,50 to 64,0.7469999999999999,Unfavorable
15.0,29.0,3.0,First call,40-44,White,Male,Helmke,Approve,Approve,Neither,No,No,No,No,Same,Perot,Republican,HS grad,30 to 50K,Moderate,18 to 64,Favorable,State,Complete,North,30 to 44,40 to 49,Republican,40 to 49,0.704,Favorable
15.0,29.0,4.0,First call,50-59,White,Male,Bayh,Disapprove,Disapprove,,No,,,,,,,,,,18 to 64,Favorable,State,Not complete,North,45 to 59,50 to 59,,50 to 64,0.696,Unfavorable
15.0,29.0,5.0,First call,65 and over,White,Male,Bayh,Approve,Disapprove,Neither,Yes,No,No,No,Same,Clinton,Independent,College grad,30 to 50K,Moderate,65 and over,Favorable,State,Complete,North,60 and over,60 and over,Independent/Other,65 and over,0.807,Favorable
15.0,29.0,6.0,First call,50-59,White,Female,Bayh,Disapprove,Disapprove,Neither,No,No,No,Yes,Same,Dole,Republican,Postgrad,30 to 50K,Moderate,18 to 64,Unfavorable,State,Complete,North,45 to 59,50 to 59,Republican,50 to 64,0.7469999999999999,Unfavorable
15.0,29.0,7.0,First call,65 and over,White,Female,Bayh,Approve,Approve,Support Clinton,Yes,No,No,No,Better,Clinton,Democrat,College grad,30 to 50K,Moderate,65 and over,Favorable,State,Complete,North,60 and over,60 and over,Democrat,65 and over,0.867,Favorable
15.0,29.0,8.0,First call,50-59,White,Male,Bayh,Approve,Disapprove,,No,,,,,,,,,,18 to 64,Unfavorable,State,Not complete,North,45 to 59,50 to 59,,50 to 64,0.696,Favorable
15.0,29.0,9.0,First call,45-49,White,Female,Bayh,Disapprove,Approve,Neither,No,Yes,Yes,Yes,Better,Dole,Republican,Postgrad,75 to 100K,Moderate,18 to 64,Unfavorable,State,Complete,North,45 to 59,40 to 49,Republican,40 to 49,0.7469999999999999,Unfavorable
15.0,29.0,10.0,First call,50-59,White,Male,Bayh,Disapprove,Approve,Neither,Yes,Yes,Yes,Yes,Same,Clinton,Republican,College grad,50 to 75K,Moderate,18 to 64,Favorable,State,Complete,North,45 to 59,50 to 59,Republican,50 to 64,0.696,Unfavorable
15.0,29.0,11.0,First call,40-44,White,Female,Bayh,,Disapprove,Neither,No,No,Yes,Yes,Same,Dole,Democrat,College grad,50 to 75K,Moderate,18 to 64,Unfavorable,State,Complete,North,30 to 44,40 to 49,Democrat,40 to 49,0.7469999999999999,Unfavorable
15.0,29.0,12.0,First call,45-49,White,Male,Bayh,Disapprove,,Neither,No,Yes,Yes,Yes,Better,Perot,Independent,Some college,75 to 100K,Moderate,18 to 64,Unfavorable,State,Complete,North,45 to 59,40 to 49,Independent/Other,40 to 49,0.696,
15.0,29.0,13.0,First call,65 and over,White,Male,Bayh,Approve,Disapprove,Support Clinton,No,No,No,Yes,Better,Clinton,Democrat,HS grad,30 to 50K,Moderate,65 and over,Favorable,State,Complete,North,60 and over,60 and over,Democrat,65 and over,0.807,Favorable
15.0,29.0,14.0,First call,30-39,White,Female,Helmke,Disapprove,Approve,Neither,Yes,Yes,Yes,No,Same,Dole,Republican,HS grad,15 to 30K,Conservative,18 to 64,Unfavorable,State,Complete,North,30 to 44,30 to 39,Republican,30 to 39,0.756,Unfavorable
15.0,29.0,15.0,First call,40-44,White,Male,Helmke,Disapprove,Approve,Neither,Yes,Yes,Yes,,Same,Dole,Republican,College grad,75 to 100K,Conservative,18 to 64,Unfavorable,State,Complete,North,30 to 44,40 to 49,Republican,40 to 49,0.704,Unfavorable
15.0,29.0,16.0,First call,65 and over,White,Male,Bayh,Approve,Disapprove,Support Clinton,Yes,No,No,No,Same,Clinton,Democrat,No HS,Under 15K,Moderate,65 and over,Favorable,State,Complete,North,60 and over,60 and over,Democrat,65 and over,0.807,Favorable
15.0,29.0,17.0,Second call,65 and over,White,Female,Bayh,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Democrat,Some college,15 to 30K,Moderate,65 and over,Favorable,State,Complete,North,60 and over,60 and over,Democrat,65 and over,0.867,Favorable
15.0,29.0,18.0,Second call,65 and over,White,Female,Helmke,Disapprove,Approve,Neither,Yes,No,Yes,Yes,Same,Dole,Republican,HS grad,30 to 50K,Conservative,65 and over,Unfavorable,State,Complete,North,60 and over,60 and over,Republican,65 and over,0.877,Unfavorable
15.0,29.0,19.0,Second call,30-39,White,Female,Helmke,Disapprove,Approve,Neither,Yes,Yes,Yes,Yes,Same,Dole,Republican,Some college,50 to 75K,Conservative,18 to 64,Unfavorable,State,Complete,North,30 to 44,30 to 39,Republican,30 to 39,0.756,Unfavorable
15.0,29.0,20.0,Second call,65 and over,White,Male,Bayh,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Yes,Worse,Other,Independent,Some college,30 to 50K,Moderate,65 and over,Unfavorable,State,Complete,North,60 and over,60 and over,Independent/Other,65 and over,0.807,Unfavorable
15.0,29.0,21.0,Second call,60-64,White,Female,Bayh,Approve,Disapprove,Support Clinton,Yes,No,No,No,Better,Clinton,Democrat,HS grad,30 to 50K,Conservative,18 to 64,Favorable,State,Complete,North,60 and over,60 and over,Democrat,50 to 64,0.867,Favorable
15.0,29.0,22.0,Second call,65 and over,White,Male,Helmke,Disapprove,Disapprove,Oppose Clinton,No,Yes,Yes,Yes,Worse,Dole,Republican,HS grad,,Moderate,65 and over,Unfavorable,State,Complete,North,60 and over,60 and over,Republican,65 and over,0.8170000000000001,Unfavorable
15.0,29.0,23.0,Second call,65 and over,White,Male,Bayh,Approve,Disapprove,Neither,Yes,No,No,No,Better,Other,,HS grad,Under 15K,Moderate,65 and over,Favorable,State,Complete,North,60 and over,60 and over,,65 and over,0.807,Favorable
15.0,29.0,24.0,Second call,65 and over,White,Male,Bayh,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,No HS,Under 15K,Moderate,65 and over,Favorable,State,Complete,North,60 and over,60 and over,Democrat,65 and over,0.807,Favorable
15.0,29.0,25.0,Second call,40-44,White,Male,Helmke,Disapprove,Approve,Neither,Yes,Yes,Yes,No,Same,Dole,Republican,HS grad,15 to 30K,Conservative,18 to 64,Unfavorable,State,Complete,North,30 to 44,40 to 49,Republican,40 to 49,0.704,Unfavorable
15.0,29.0,26.0,Second call,65 and over,White,Female,Helmke,Disapprove,,Oppose Clinton,Yes,Yes,Yes,Yes,,Dole,Republican,HS grad,15 to 30K,Conservative,65 and over,Unfavorable,State,Complete,North,60 and over,60 and over,Republican,65 and over,0.877,Unfavorable
15.0,29.0,27.0,Second call,50-59,White,Male,Bayh,Approve,Approve,Neither,Yes,No,No,No,Better,Clinton,Independent,HS grad,50 to 75K,Moderate,18 to 64,Favorable,State,Complete,North,45 to 59,50 to 59,Independent/Other,50 to 64,0.696,Favorable
15.0,29.0,28.0,Second call,45-49,White,Female,Bayh,Approve,Disapprove,Neither,Yes,No,No,No,Better,Clinton,Something else,HS grad,30 to 50K,Moderate,18 to 64,Favorable,State,Complete,North,45 to 59,40 to 49,Independent/Other,40 to 49,0.7469999999999999,Favorable
15.0,29.0,29.0,Second call,50-59,White,Female,Bayh,Approve,Disapprove,Support Clinton,,No,No,No,Better,Clinton,Democrat,HS grad,15 to 30K,Conservative,18 to 64,Favorable,State,Complete,North,45 to 59,50 to 59,Democrat,50 to 64,0.7469999999999999,Favorable
15.0,29.0,30.0,Second call,50-59,White,Male,Bayh,Approve,Disapprove,Support Clinton,,No,No,Yes,Same,Clinton,,HS grad,,Moderate,18 to 64,Favorable,State,Complete,North,45 to 59,50 to 59,,50 to 64,0.696,Favorable
15.0,29.0,31.0,Second call,45-49,White,Male,Helmke,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,No,Worse,Dole,Democrat,HS grad,15 to 30K,Moderate,18 to 64,Unfavorable,State,Complete,North,45 to 59,40 to 49,Democrat,40 to 49,0.704,Unfavorable
15.0,29.0,32.0,Second call,30-39,White,Male,Helmke,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,,Same,Dole,Republican,Some college,Under 15K,Conservative,18 to 64,Unfavorable,State,Complete,North,30 to 44,30 to 39,Republican,30 to 39,0.704,Unfavorable
15.0,29.0,33.0,Second call,50-59,White,Female,Helmke,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Yes,Same,Clinton,Republican,Some college,50 to 75K,Moderate,18 to 64,Unfavorable,State,Complete,North,45 to 59,50 to 59,Republican,50 to 64,0.756,Unfavorable
15.0,29.0,34.0,Second call,40-44,White,Female,Helmke,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,Same,Dole,Republican,College grad,30 to 50K,Conservative,18 to 64,Unfavorable,State,Complete,North,30 to 44,40 to 49,Republican,40 to 49,0.756,Unfavorable
15.0,29.0,35.0,Second call,40-44,White,Female,Helmke,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,No,Same,Dole,Independent,College grad,50 to 75K,Moderate,18 to 64,Unfavorable,State,Complete,North,30 to 44,40 to 49,Independent/Other,40 to 49,0.756,Unfavorable
15.0,29.0,36.0,Second call,65 and over,White,Female,Helmke,Disapprove,,Neither,Yes,Yes,Yes,Yes,Same,Dole,Republican,No HS,15 to 30K,Moderate,65 and over,Unfavorable,State,Complete,North,60 and over,60 and over,Republican,65 and over,0.877,Unfavorable
15.0,29.0,37.0,Second call,65 and over,White,Female,Bayh,Approve,Disapprove,Neither,No,No,Yes,Yes,Same,Clinton,Independent,Some college,15 to 30K,Moderate,65 and over,Favorable,State,Complete,North,60 and over,60 and over,Independent/Other,65 and over,0.867,Unfavorable
15.0,29.0,38.0,Second call,65 and over,White,Male,Bayh,Disapprove,Approve,Neither,No,Yes,Yes,Yes,Worse,Dole,Republican,No HS,15 to 30K,Moderate,65 and over,Unfavorable,State,Complete,North,60 and over,60 and over,Republican,65 and over,0.807,Unfavorable
15.0,29.0,39.0,Second call,18-24,White,Male,Bayh,Disapprove,Disapprove,Neither,Yes,Yes,Yes,No,Worse,Did not vote,Independent,Some college,15 to 30K,Moderate,18 to 64,Unfavorable,State,Complete,North,18 to 29,18 to 24,Independent/Other,18 to 24,0.578,Unfavorable
15.0,29.0,40.0,Second call,65 and over,White,,Bayh,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Democrat,HS grad,75 to 100K,Conservative,65 and over,Favorable,State,Complete,North,60 and over,60 and over,Democrat,65 and over,0.807,Favorable
15.0,29.0,41.0,Second call,18-24,White,Female,Helmke,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,No,Same,Did not vote,Republican,HS grad,50 to 75K,Conservative,18 to 64,Unfavorable,State,Complete,North,18 to 29,18 to 24,Republican,18 to 24,0.6269999999999999,Unfavorable
15.0,29.0,42.0,Third call,40-44,White,Male,Bayh,Approve,Disapprove,Neither,No,No,No,No,Same,Clinton,Democrat,Postgrad,,Conservative,18 to 64,Favorable,State,Complete,North,30 to 44,40 to 49,Democrat,40 to 49,0.696,Favorable
15.0,29.0,43.0,Third call,60-64,White,Male,Helmke,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,Same,Dole,Republican,HS grad,30 to 50K,Conservative,18 to 64,Unfavorable,State,Complete,North,60 and over,60 and over,Republican,50 to 64,0.8170000000000001,Unfavorable
15.0,29.0,44.0,Third call,45-49,White,Female,Bayh,Approve,,Neither,No,No,No,No,Better,Clinton,Democrat,HS grad,15 to 30K,Moderate,18 to 64,Favorable,State,Complete,North,45 to 59,40 to 49,Democrat,40 to 49,0.7469999999999999,Favorable
15.0,29.0,45.0,Third call,50-59,White,Male,Bayh,Approve,,Neither,No,No,No,,Same,Perot,Independent,Postgrad,,Conservative,18 to 64,Unfavorable,State,Complete,North,45 to 59,50 to 59,Independent/Other,50 to 64,0.696,Unfavorable
15.0,29.0,46.0,Third call,40-44,White,Male,Bayh,Approve,Approve,Neither,No,No,No,No,Better,Clinton,Democrat,Some college,50 to 75K,Moderate,18 to 64,Favorable,State,Complete,North,30 to 44,40 to 49,Democrat,40 to 49,0.696,Favorable
15.0,29.0,47.0,Third call,60-64,White,Male,Bayh,Approve,Disapprove,,No,No,No,No,Same,,,No HS,Under 15K,Liberal,18 to 64,Unfavorable,State,Complete,North,60 and over,60 and over,,50 to 64,0.807,Favorable
15.0,29.0,48.0,Third call,40-44,White,Male,Bayh,Approve,Disapprove,Neither,No,No,No,Yes,Same,Clinton,Independent,HS grad,15 to 30K,Moderate,18 to 64,Favorable,State,Complete,North,30 to 44,40 to 49,Independent/Other,40 to 49,0.696,Unfavorable
15.0,29.0,49.0,Third call,50-59,White,Female,Bayh,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Democrat,HS grad,15 to 30K,Moderate,18 to 64,Favorable,State,Complete,North,45 to 59,50 to 59,Democrat,50 to 64,0.7469999999999999,Favorable
15.0,29.0,50.0,Third call,30-39,White,Female,Bayh,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Yes,Worse,Perot,Republican,HS grad,30 to 50K,Conservative,18 to 64,Favorable,State,Complete,North,30 to 44,30 to 39,Republican,30 to 39,0.7469999999999999,Unfavorable
15.0,29.0,51.0,Third call,,White,Female,Bayh,Approve,,,,,,,,,,,,,,,State,Not complete,North,,,,,0.7469999999999999,
15.0,29.0,52.0,Third call,30-39,White,Male,Helmke,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,No,Better,Dole,Republican,HS grad,30 to 50K,Conservative,18 to 64,Unfavorable,State,Complete,North,30 to 44,30 to 39,Republican,30 to 39,0.704,Unfavorable
