State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Senator Vote,Governor Race,Clinton Approval,Congress Approval,Reason for Cong Vote,Religious Right,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Finanacial Situation,1996 vote,Party ID,Education,Income,Ideology,Age (65 and over),Hillary Opinion,State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight 3 decimal pl,Clinton as person
4.0,5.0,7.0,First call,65 and over,White,Male,Lincoln,Bristow,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Independent,No HS,15 to 30K,Moderate,65 and over,Favorable,State,Complete,Northwest,60 and over,60 and over,Independent/Other,65 and over,0.482,Favorable
4.0,5.0,8.0,First call,60-64,White,Male,Boozman,Huckabee,Disapprove,,Neither,No,Yes,Yes,,Same,Dole,Republican,Some college,50 to 75K,Conservative,18 to 64,Unfavorable,State,Complete,Northwest,60 and over,60 and over,Republican,50 to 64,0.576,Unfavorable
4.0,5.0,9.0,First call,65 and over,White,Female,Lincoln,Bristow,Approve,Disapprove,Neither,No,No,No,Yes,Same,Clinton,Democrat,Some college,15 to 30K,Liberal,65 and over,Favorable,State,Complete,Northwest,60 and over,60 and over,Democrat,65 and over,0.47700000000000004,Unfavorable
4.0,5.0,10.0,First call,65 and over,White,Male,Boozman,Huckabee,Disapprove,Disapprove,Oppose Clinton,No,Yes,Yes,Yes,Worse,Dole,Republican,College grad,,Moderate,65 and over,Unfavorable,State,Complete,Northwest,60 and over,60 and over,Republican,65 and over,0.576,Unfavorable
4.0,5.0,11.0,First call,65 and over,White,Female,Boozman,Huckabee,Disapprove,Approve,Neither,No,,Yes,,Same,Dole,Independent,HS grad,Under 15K,Conservative,65 and over,Unfavorable,State,Complete,Northwest,60 and over,60 and over,Independent/Other,65 and over,0.571,Unfavorable
4.0,5.0,12.0,First call,25-29,White,Male,Boozman,Huckabee,Disapprove,Disapprove,Neither,Yes,Yes,Yes,No,Better,Dole,Republican,Postgrad,30 to 50K,Conservative,18 to 64,Unfavorable,State,Complete,Northwest,18 to 29,25 to 29,Republican,25 to 29,0.481,Unfavorable
4.0,5.0,13.0,First call,50-59,White,Male,Boozman,Huckabee,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Yes,Same,Dole,Independent,HS grad,50 to 75K,Moderate,18 to 64,Unfavorable,State,Complete,Northwest,45 to 59,50 to 59,Independent/Other,50 to 64,0.5549999999999999,Unfavorable
4.0,5.0,14.0,Second call,65 and over,White,Female,Boozman,Huckabee,,Approve,Neither,No,No,No,Yes,Same,Dole,Republican,Some college,75 to 100K,Moderate,65 and over,Unfavorable,State,Complete,Northwest,60 and over,60 and over,Republican,65 and over,0.571,Unfavorable
4.0,5.0,15.0,Second call,50-59,White,Male,Boozman,Huckabee,Approve,Approve,Neither,No,No,No,No,Better,Clinton,Independent,Postgrad,100K or more,Conservative,18 to 64,Favorable,State,Complete,Northwest,45 to 59,50 to 59,Independent/Other,50 to 64,0.5549999999999999,Favorable
4.0,5.0,16.0,Second call,65 and over,White,Male,Boozman,Huckabee,,Approve,Neither,No,No,Yes,Yes,Same,Dole,Republican,College grad,50 to 75K,Moderate,65 and over,Unfavorable,State,Complete,Northwest,60 and over,60 and over,Republican,65 and over,0.576,Unfavorable
4.0,5.0,17.0,Second call,65 and over,White,Female,Boozman,Huckabee,,Approve,Oppose Clinton,Yes,Yes,Yes,Yes,Same,Dole,Republican,HS grad,15 to 30K,Moderate,65 and over,Unfavorable,State,Complete,Northwest,60 and over,60 and over,Republican,65 and over,0.571,Unfavorable
4.0,5.0,18.0,Second call,50-59,White,Male,Lincoln,Bristow,Approve,Disapprove,Neither,No,No,No,Yes,Better,Clinton,Democrat,HS grad,50 to 75K,Conservative,18 to 64,Favorable,State,Complete,Northwest,45 to 59,50 to 59,Democrat,50 to 64,0.464,Favorable
4.0,5.0,19.0,Second call,65 and over,White,Female,Lincoln,Huckabee,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Independent,,,Moderate,65 and over,,State,Complete,Northwest,60 and over,60 and over,Independent/Other,65 and over,0.462,Favorable
4.0,5.0,20.0,Second call,65 and over,White,Female,Lincoln,Huckabee,Approve,Disapprove,Neither,No,No,No,No,Same,Clinton,Democrat,No HS,15 to 30K,Moderate,65 and over,Favorable,State,Complete,Northwest,60 and over,60 and over,Democrat,65 and over,0.462,Unfavorable
4.0,5.0,21.0,Second call,65 and over,White,Female,Lincoln,Bristow,Approve,Disapprove,Support Clinton,No,No,No,Yes,Better,Clinton,Democrat,HS grad,,Moderate,65 and over,Favorable,State,Complete,Northwest,60 and over,60 and over,Democrat,65 and over,0.47700000000000004,Favorable
4.0,5.0,22.0,Second call,60-64,White,Female,Lincoln,Bristow,Approve,Disapprove,Neither,No,No,No,Yes,Same,Clinton,Democrat,HS grad,Under 15K,Moderate,18 to 64,Favorable,State,Complete,Northwest,60 and over,60 and over,Democrat,50 to 64,0.47700000000000004,Unfavorable
4.0,5.0,23.0,Second call,65 and over,White,Female,Boozman,Huckabee,,Approve,Neither,No,Yes,Yes,No,Same,Dole,Republican,Postgrad,30 to 50K,Conservative,65 and over,Unfavorable,State,Complete,Northwest,60 and over,60 and over,Republican,65 and over,0.571,Unfavorable
4.0,5.0,24.0,Second call,65 and over,White,Male,Boozman,Huckabee,Disapprove,Disapprove,Oppose Clinton,No,Yes,Yes,Yes,Same,Dole,Independent,Postgrad,75 to 100K,Conservative,65 and over,Unfavorable,State,Complete,Northwest,60 and over,60 and over,Independent/Other,65 and over,0.576,Unfavorable
4.0,5.0,25.0,Second call,60-64,White,Female,Boozman,Huckabee,Disapprove,Disapprove,Neither,Yes,No,No,No,Same,Dole,Independent,Some college,30 to 50K,Conservative,18 to 64,Favorable,State,Complete,Northwest,60 and over,60 and over,Independent/Other,50 to 64,0.571,Unfavorable
4.0,5.0,26.0,Second call,50-59,White,Female,Lincoln,Bristow,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Democrat,Some college,30 to 50K,Moderate,18 to 64,Favorable,State,Complete,Northwest,45 to 59,50 to 59,Democrat,50 to 64,0.46,Favorable
4.0,5.0,27.0,Second call,65 and over,White,Female,Lincoln,Huckabee,Approve,Disapprove,Neither,No,No,No,No,Same,Clinton,Democrat,No HS,15 to 30K,Conservative,65 and over,Favorable,State,Complete,Northwest,60 and over,60 and over,Democrat,65 and over,0.462,Unfavorable
4.0,5.0,28.0,Second call,65 and over,White,Female,Boozman,Huckabee,Disapprove,Approve,Oppose Clinton,Yes,No,Yes,Yes,Same,Dole,Republican,HS grad,Under 15K,Conservative,65 and over,Unfavorable,State,Complete,Northwest,60 and over,60 and over,Republican,65 and over,0.571,Unfavorable
4.0,5.0,29.0,Second call,65 and over,White,Male,Boozman,Huckabee,Disapprove,Approve,Neither,Yes,Yes,Yes,No,Same,Dole,Republican,Postgrad,30 to 50K,Conservative,65 and over,Favorable,State,Complete,Northwest,60 and over,60 and over,Republican,65 and over,0.576,Unfavorable
4.0,5.0,30.0,Second call,50-59,White,Male,Boozman,Huckabee,Disapprove,Approve,Neither,No,Yes,Yes,No,Same,Dole,Independent,Postgrad,30 to 50K,Moderate,18 to 64,Favorable,State,Complete,Northwest,45 to 59,50 to 59,Independent/Other,50 to 64,0.5549999999999999,Unfavorable
4.0,5.0,31.0,Second call,45-49,White,Female,Boozman,Huckabee,,Approve,Neither,No,Yes,Yes,Yes,Better,Dole,Republican,College grad,100K or more,Moderate,18 to 64,Unfavorable,State,Complete,Northwest,45 to 59,40 to 49,Republican,40 to 49,0.55,Unfavorable
4.0,5.0,32.0,Second call,60-64,White,Male,Boozman,Huckabee,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Yes,Better,Dole,Republican,HS grad,50 to 75K,Conservative,18 to 64,Unfavorable,State,Complete,Northwest,60 and over,60 and over,Republican,50 to 64,0.576,Unfavorable
4.0,5.0,33.0,Third call,65 and over,White,Male,Lincoln,Huckabee,Disapprove,Disapprove,Neither,No,No,Yes,Yes,Same,Dole,Independent,,50 to 75K,Moderate,65 and over,Unfavorable,State,Complete,Northwest,60 and over,60 and over,Independent/Other,65 and over,0.467,Unfavorable
4.0,5.0,34.0,Third call,50-59,White,Male,Lincoln,Bristow,Approve,Disapprove,Neither,No,No,No,No,Same,Clinton,Independent,Some college,30 to 50K,Moderate,18 to 64,Favorable,State,Complete,Northwest,45 to 59,50 to 59,Independent/Other,50 to 64,0.464,Unfavorable
4.0,19.0,1.0,First call,50-59,White,Female,Lincoln,Huckabee,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,HS grad,50 to 75K,Moderate,18 to 64,Favorable,State,Complete,South,45 to 59,50 to 59,Democrat,50 to 64,1.325,Favorable
4.0,19.0,2.0,First call,45-49,White,Female,Lincoln,Bristow,Disapprove,Disapprove,Neither,No,No,No,No,Better,Clinton,Republican,Postgrad,50 to 75K,Moderate,18 to 64,Favorable,State,Complete,South,45 to 59,40 to 49,Republican,40 to 49,1.3679999999999999,Unfavorable
4.0,19.0,3.0,First call,40-44,White,Male,Lincoln,Bristow,Approve,Disapprove,Neither,No,No,No,No,Worse,Clinton,Democrat,Postgrad,50 to 75K,Moderate,18 to 64,Favorable,State,Complete,South,30 to 44,40 to 49,Democrat,40 to 49,1.268,Unfavorable
4.0,19.0,4.0,First call,65 and over,White,Female,Lincoln,Bristow,Approve,Disapprove,Neither,Yes,No,No,Yes,Same,Perot,Democrat,Postgrad,15 to 30K,Moderate,65 and over,Favorable,State,Complete,South,60 and over,60 and over,Democrat,65 and over,1.5110000000000001,Favorable
4.0,19.0,5.0,First call,65 and over,White,Female,Lincoln,Bristow,Approve,Disapprove,Neither,No,No,No,Yes,Same,Clinton,Democrat,Some college,30 to 50K,Moderate,65 and over,Favorable,State,Complete,South,60 and over,60 and over,Democrat,65 and over,1.5110000000000001,Unfavorable
4.0,19.0,6.0,First call,45-49,White,Female,Lincoln,Huckabee,,Disapprove,Neither,,No,No,No,Same,Clinton,Democrat,Postgrad,Under 15K,Liberal,18 to 64,Favorable,State,Complete,South,45 to 59,40 to 49,Democrat,40 to 49,1.325,Favorable
4.0,19.0,7.0,First call,30-39,White,Male,Lincoln,Bristow,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Democrat,Postgrad,50 to 75K,Moderate,18 to 64,Favorable,State,Complete,South,30 to 44,30 to 39,Democrat,30 to 39,1.268,Favorable
4.0,19.0,8.0,First call,65 and over,White,Male,Lincoln,,Approve,Disapprove,Neither,No,No,No,Yes,Better,Did not vote,Independent,Postgrad,50 to 75K,Moderate,65 and over,Favorable,State,Complete,South,60 and over,60 and over,Independent/Other,65 and over,1.371,Unfavorable
4.0,19.0,9.0,First call,65 and over,Other,Male,Boozman,Bristow,Approve,Disapprove,Neither,No,No,No,No,Same,Clinton,Democrat,HS grad,30 to 50K,Conservative,65 and over,Favorable,State,Complete,South,60 and over,60 and over,Democrat,65 and over,1.403,Favorable
4.0,19.0,10.0,First call,50-59,White,Male,Lincoln,Bristow,Disapprove,Disapprove,Neither,Yes,No,No,Yes,Same,Clinton,Democrat,Postgrad,75 to 100K,Moderate,18 to 64,Unfavorable,State,Complete,South,45 to 59,50 to 59,Democrat,50 to 64,1.268,Unfavorable
4.0,19.0,11.0,First call,65 and over,White,Male,Lincoln,Bristow,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Democrat,Postgrad,75 to 100K,Liberal,65 and over,Favorable,State,Complete,South,60 and over,60 and over,Democrat,65 and over,1.399,Unfavorable
4.0,19.0,12.0,First call,65 and over,White,Female,Lincoln,Bristow,Approve,Disapprove,Neither,No,No,No,Yes,Same,Clinton,Democrat,Postgrad,30 to 50K,Liberal,65 and over,Favorable,State,Complete,South,60 and over,60 and over,Democrat,65 and over,1.5110000000000001,Unfavorable
4.0,19.0,13.0,First call,30-39,White,Male,Boozman,Huckabee,Disapprove,Approve,Neither,No,Yes,Yes,Yes,Same,Perot,Republican,Postgrad,50 to 75K,Moderate,18 to 64,Unfavorable,State,Complete,South,30 to 44,30 to 39,Republican,30 to 39,1.23,Unfavorable
4.0,19.0,14.0,Second call,65 and over,White,Male,Lincoln,Bristow,Approve,Disapprove,,No,,,,,,,,,,65 and over,Favorable,State,Not complete,South,60 and over,60 and over,,65 and over,1.399,Favorable
4.0,19.0,15.0,Second call,65 and over,White,Female,Lincoln,Huckabee,Approve,Disapprove,Neither,No,No,No,,Same,Clinton,Something else,Some college,30 to 50K,Moderate,65 and over,Favorable,State,Complete,South,60 and over,60 and over,Independent/Other,65 and over,1.462,Favorable
4.0,19.0,16.0,Second call,50-59,Black,,Lincoln,Bristow,Approve,Approve,Support Clinton,Yes,No,No,,Same,Clinton,Democrat,HS grad,15 to 30K,,18 to 64,Favorable,State,Complete,South,45 to 59,50 to 59,Democrat,50 to 64,1.463,Unfavorable
4.0,19.0,17.0,Second call,65 and over,White,Male,Boozman,Huckabee,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Yes,Same,Dole,Republican,Postgrad,15 to 30K,Conservative,65 and over,Unfavorable,State,Complete,South,60 and over,60 and over,Republican,65 and over,1.357,Unfavorable
4.0,19.0,18.0,Second call,65 and over,White,Male,Lincoln,Bristow,Approve,Disapprove,,No,,,,,,,,,,65 and over,Favorable,State,Not complete,South,60 and over,60 and over,,65 and over,1.399,Favorable
4.0,19.0,19.0,Second call,65 and over,White,Male,Boozman,Huckabee,Disapprove,Disapprove,Oppose Clinton,No,Yes,No,No,Same,Dole,Democrat,Postgrad,50 to 75K,Conservative,65 and over,Unfavorable,State,Complete,South,60 and over,60 and over,Democrat,65 and over,1.357,Unfavorable
4.0,19.0,20.0,Second call,50-59,White,Female,Lincoln,Bristow,Approve,Disapprove,Support Clinton,No,No,Yes,Yes,Better,Clinton,Democrat,College grad,30 to 50K,Moderate,18 to 64,Favorable,State,Complete,South,45 to 59,50 to 59,Democrat,50 to 64,1.3679999999999999,Favorable
4.0,19.0,21.0,Third call,65 and over,White,Female,Lincoln,Bristow,Approve,,Support Clinton,No,No,No,No,Better,Clinton,Democrat,Postgrad,75 to 100K,Moderate,65 and over,Favorable,State,Complete,South,60 and over,60 and over,Democrat,65 and over,1.5110000000000001,Favorable
4.0,19.0,22.0,Third call,50-59,White,Female,Lincoln,Huckabee,Approve,Disapprove,Neither,No,No,No,Yes,Same,Dole,Independent,Postgrad,30 to 50K,Moderate,18 to 64,Favorable,State,Complete,South,45 to 59,50 to 59,Independent/Other,50 to 64,1.325,Unfavorable
4.0,19.0,23.0,Third call,50-59,White,Female,Lincoln,Bristow,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Democrat,Postgrad,50 to 75K,Liberal,18 to 64,Favorable,State,Complete,South,45 to 59,50 to 59,Democrat,50 to 64,1.3679999999999999,
4.0,19.0,24.0,Third call,40-44,White,Female,Boozman,Huckabee,Disapprove,Disapprove,Neither,No,No,Yes,Yes,Worse,Perot,Republican,Some college,15 to 30K,Moderate,18 to 64,Unfavorable,State,Complete,South,30 to 44,40 to 49,Republican,40 to 49,1.327,Unfavorable
