V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
1.0,0.0,G,33.0,1.0,21.0,Second call,1.0,50-59,White,Female,D'Amato,Pataki,No,Disapprove,Disapprove,,White,,Oppose Clinton,,,Yes,Yes,Yes,Same,Dole,Republican,Some college,Catholic,50 to 75K,Conservative,18 to 64,,National,Complete,Upstate urban,45 to 59,50 to 59,Republican,50 to 64,0.6699999999999999,,,Unfavorable,No,Approve,
1.0,0.0,G,33.0,1.0,22.0,Second call,1.0,50-59,White,Female,D'Amato,Pataki,No,Disapprove,Approve,,White,,Neither,,,No,Yes,Yes,Better,Dole,Independent,College grad,Catholic,50 to 75K,Moderate,18 to 64,,National,Complete,Upstate urban,45 to 59,50 to 59,Independent/Other,50 to 64,0.6699999999999999,,,Unfavorable,Yes,Approve,
1.0,0.0,G,33.0,1.0,23.0,Second call,1.0,60-64,White,Female,D'Amato,Pataki,No,Approve,,,White,,,,,,,,Same,,Independent,,,30 to 50K,Moderate,18 to 64,,National,Complete,Upstate urban,60 and over,60 and over,Independent/Other,50 to 64,0.778,,,,,,No
1.0,0.0,G,33.0,1.0,24.0,Second call,1.0,40-44,White,Female,D'Amato,Pataki,No,Disapprove,,,White,,,,,,,,Same,,Independent,,,100K or more,Moderate,18 to 64,,National,Complete,Upstate urban,30 to 44,40 to 49,Independent/Other,40 to 49,0.6699999999999999,,,,,,No
1.0,0.0,G,33.0,1.0,25.0,Second call,1.0,60-64,White,Female,D'Amato,Pataki,No,Disapprove,,,White,,,,,,,,Same,,Republican,,,75 to 100K,Conservative,18 to 64,,National,Complete,Upstate urban,60 and over,60 and over,Republican,50 to 64,0.778,,,,,,No
1.0,0.0,G,33.0,1.0,26.0,Second call,1.0,45-49,White,Female,Schumer,Pataki,No,Disapprove,,,White,,,,,,,,Better,,Independent,,,50 to 75K,Conservative,18 to 64,,National,Complete,Upstate urban,45 to 59,40 to 49,Independent/Other,40 to 49,0.6349999999999999,,,,,,No
1.0,0.0,G,33.0,1.0,27.0,Second call,1.0,25-29,White,Female,D'Amato,Pataki,No,Disapprove,,,White,,,,,,,,Better,,Republican,,,15 to 30K,Liberal,18 to 64,,National,Complete,Upstate urban,18 to 29,25 to 29,Republican,25 to 29,0.6729999999999999,,,,,,No
1.0,0.0,G,33.0,1.0,28.0,Third call,1.0,45-49,White,Female,D'Amato,Pataki,No,Disapprove,,,White,,Oppose Clinton,,,,Yes,,Better,Dole,Republican,Postgrad,Other Christian,50 to 75K,Conservative,18 to 64,,National,Complete,Upstate urban,45 to 59,40 to 49,Republican,40 to 49,0.6699999999999999,,,Unfavorable,No,Approve,
1.0,0.0,G,33.0,1.0,29.0,Third call,1.0,45-49,White,Male,Schumer,Vallone,No,Approve,Disapprove,,White,,Neither,,,No,No,Yes,Same,Clinton,Independent,College grad,Protestant,15 to 30K,Moderate,18 to 64,,National,Complete,Upstate urban,45 to 59,40 to 49,Independent/Other,40 to 49,0.6869999999999999,,,Unfavorable,Yes,Disapprove,
1.0,0.0,G,33.0,1.0,30.0,Third call,1.0,45-49,White,Female,Schumer,Golisano,No,Approve,Disapprove,,White,,Neither,,,No,No,Yes,Same,Clinton,Independent,Postgrad,Jewish,100K or more,Liberal,18 to 64,,National,Complete,Upstate urban,45 to 59,40 to 49,Independent/Other,40 to 49,0.562,,,Unfavorable,Yes,Disapprove,
1.0,0.0,G,33.0,1.0,31.0,Third call,1.0,60-64,White,Male,D'Amato,,No,Disapprove,Approve,,White,,Neither,,,No,Yes,Yes,Worse,Dole,Democrat,Postgrad,Catholic,100K or more,Moderate,18 to 64,,National,Complete,Upstate urban,60 and over,60 and over,Democrat,50 to 64,0.778,,,Unfavorable,No,Approve,
1.0,0.0,G,33.0,1.0,32.0,Third call,1.0,30-39,White,Female,D'Amato,Pataki,No,Disapprove,Approve,,White,,Neither,,,Yes,Yes,Yes,Same,Dole,Independent,HS grad,Protestant,30 to 50K,Conservative,18 to 64,,National,Complete,Upstate urban,30 to 44,30 to 39,Independent/Other,30 to 39,0.6699999999999999,,,Unfavorable,No,Approve,
1.0,0.0,G,33.0,1.0,33.0,Third call,1.0,50-59,White,Female,Schumer,Golisano,No,Approve,Disapprove,,White,,Neither,,,No,No,No,Worse,Clinton,Republican,Postgrad,Catholic,50 to 75K,Moderate,18 to 64,,National,Complete,Upstate urban,45 to 59,50 to 59,Republican,50 to 64,0.562,,,Unfavorable,Yes,Disapprove,
1.0,0.0,G,33.0,1.0,34.0,Third call,1.0,45-49,White,Male,D'Amato,Golisano,No,Approve,Disapprove,,White,,Neither,,,No,No,No,Better,Clinton,Democrat,Postgrad,Catholic,100K or more,Liberal,18 to 64,,National,Complete,Upstate urban,45 to 59,40 to 49,Democrat,40 to 49,0.571,,,Unfavorable,Yes,Disapprove,
1.0,0.0,G,33.0,1.0,35.0,Third call,1.0,30-39,White,Male,Schumer,Pataki,No,Approve,Disapprove,,White,,Neither,,,No,Yes,No,Better,Clinton,Republican,Postgrad,Catholic,75 to 100K,Moderate,18 to 64,,National,Complete,Upstate urban,30 to 44,30 to 39,Republican,30 to 39,0.616,,,Unfavorable,No,Disapprove,
1.0,0.0,G,33.0,1.0,36.0,Third call,1.0,30-39,White,Female,Schumer,Other,No,Approve,Disapprove,,White,,Neither,,,No,No,No,Better,Clinton,Something else,College grad,Protestant,15 to 30K,Conservative,18 to 64,,National,Complete,Upstate urban,30 to 44,30 to 39,Independent/Other,30 to 39,0.9289999999999999,,,Unfavorable,No,Disapprove,
1.0,0.0,G,33.0,1.0,37.0,Third call,1.0,40-44,White,Female,D'Amato,Golisano,No,Approve,Disapprove,,White,,Neither,,,No,No,No,Same,Clinton,Democrat,HS grad,Jewish,75 to 100K,Moderate,18 to 64,,National,Complete,Upstate urban,30 to 44,40 to 49,Democrat,40 to 49,0.59,,,Favorable,No,Disapprove,
1.0,0.0,G,33.0,1.0,38.0,Third call,1.0,50-59,White,Female,D'Amato,Pataki,No,Disapprove,Disapprove,,White,,Neither,,,No,No,Yes,Same,Clinton,Republican,College grad,Jewish,75 to 100K,Moderate,18 to 64,,National,Complete,Upstate urban,45 to 59,50 to 59,Republican,50 to 64,0.6699999999999999,,,Unfavorable,No,Disapprove,
1.0,0.0,G,33.0,1.0,39.0,Third call,1.0,18-24,White,Male,Schumer,Other,No,Approve,Disapprove,,White,,Support Clinton,,,No,No,No,Same,Clinton,Independent,Some college,None,Under 15K,Moderate,18 to 64,,National,Complete,Upstate urban,18 to 29,18 to 24,Independent/Other,18 to 24,0.904,,,Favorable,No,Disapprove,
1.0,0.0,G,33.0,1.0,40.0,Third call,1.0,18-24,White,Male,Schumer,Pataki,No,Approve,Approve,,White,,Neither,,,Yes,Yes,Yes,Same,Did not vote,Something else,College grad,Catholic,100K or more,Moderate,18 to 64,,National,Complete,Upstate urban,18 to 29,18 to 24,Independent/Other,18 to 24,0.618,,,Unfavorable,No,Approve,
1.0,0.0,G,33.0,1.0,41.0,Third call,1.0,40-44,White,Male,D'Amato,Golisano,No,Disapprove,Disapprove,,White,,Neither,,,No,Yes,Yes,Better,Perot,Independent,College grad,Catholic,50 to 75K,Conservative,18 to 64,,National,Complete,Upstate urban,30 to 44,40 to 49,Independent/Other,40 to 49,0.571,,,Unfavorable,No,Approve,
1.0,0.0,G,33.0,1.0,42.0,Third call,1.0,30-39,White,Female,Schumer,Pataki,No,Approve,Disapprove,,White,,Neither,,,No,No,Yes,Same,Clinton,Democrat,College grad,Other Christian,30 to 50K,Moderate,18 to 64,,National,Complete,Upstate urban,30 to 44,30 to 39,Democrat,30 to 39,0.6349999999999999,,,Favorable,No,Disapprove,
1.0,0.0,G,33.0,1.0,43.0,Third call,1.0,18-24,Hispanic,Female,Schumer,,Yes,Approve,Approve,,Hispanic,,Support Clinton,,,No,No,No,Worse,Did not vote,Something else,HS grad,Catholic,15 to 30K,Moderate,18 to 64,,National,Complete,Upstate urban,18 to 29,18 to 24,Independent/Other,18 to 24,0.46,,,Favorable,Yes,Disapprove,
1.0,0.0,G,33.0,1.0,44.0,Third call,1.0,45-49,White,Female,Schumer,Pataki,No,Approve,Approve,,White,,Neither,,,No,No,No,Same,Clinton,,Some college,Catholic,75 to 100K,Conservative,18 to 64,,National,Complete,Upstate urban,45 to 59,40 to 49,,40 to 49,0.6349999999999999,,,Unfavorable,Yes,Disapprove,
1.0,0.0,G,33.0,1.0,45.0,Third call,1.0,45-49,White,Male,Schumer,Pataki,No,Approve,,,White,,,,,,,,Same,,Independent,,,75 to 100K,Moderate,18 to 64,,National,Complete,Upstate urban,45 to 59,40 to 49,Independent/Other,40 to 49,0.616,,,,,,No
1.0,0.0,G,33.0,1.0,46.0,Third call,1.0,45-49,White,Female,Schumer,Vallone,No,Approve,,,White,,,,,,,,Same,,Democrat,,,100K or more,Moderate,18 to 64,,National,Complete,Upstate urban,45 to 59,40 to 49,Democrat,40 to 49,0.708,,,,,,No
1.0,0.0,G,33.0,1.0,47.0,Third call,1.0,65 and over,White,Female,D'Amato,Pataki,No,Approve,,,White,,,,,,,,Better,,Republican,,,75 to 100K,Liberal,65 and over,,National,Complete,Upstate urban,60 and over,60 and over,Republican,65 and over,0.778,,,,,,No
1.0,0.0,G,33.0,1.0,48.0,Third call,1.0,60-64,White,Female,Schumer,Pataki,No,,,,White,,,,,,,,Same,,Independent,,,50 to 75K,Moderate,18 to 64,,National,Complete,Upstate urban,60 and over,60 and over,Independent/Other,50 to 64,0.738,,,,,,No
1.0,0.0,G,33.0,1.0,49.0,Third call,1.0,50-59,White,Female,Schumer,,No,Approve,,,White,,,,,,,,Better,,Democrat,,,100K or more,Moderate,18 to 64,,National,Complete,Upstate urban,45 to 59,50 to 59,Democrat,50 to 64,0.6569999999999999,,,,,,No
1.0,0.0,G,33.0,1.0,50.0,Third call,1.0,45-49,White,Male,Schumer,Vallone,No,Approve,,,White,,,,,,,,Better,,Democrat,,,75 to 100K,Moderate,18 to 64,,National,Complete,Upstate urban,45 to 59,40 to 49,Democrat,40 to 49,0.6869999999999999,,,,,,No
1.0,0.0,G,33.0,1.0,51.0,Third call,1.0,30-39,White,Female,Schumer,Pataki,No,Disapprove,,,White,,,,,,,,Better,,Democrat,,,100K or more,Moderate,18 to 64,,National,Complete,Upstate urban,30 to 44,30 to 39,Democrat,30 to 39,0.6349999999999999,,,,,,No
1.0,0.0,G,33.0,1.0,52.0,Third call,1.0,45-49,White,Female,Schumer,Golisano,No,Approve,,,White,,,,,,,,Same,,Independent,,,100K or more,Moderate,18 to 64,,National,Complete,Upstate urban,45 to 59,40 to 49,Independent/Other,40 to 49,0.562,,,,,,No
1.0,0.0,G,33.0,1.0,53.0,Third call,1.0,50-59,White,Male,Schumer,Vallone,No,Approve,,,White,,,,,,,,Same,,Democrat,,,100K or more,Moderate,18 to 64,,National,Complete,Upstate urban,45 to 59,50 to 59,Democrat,50 to 64,0.6869999999999999,,,,,,No
1.0,0.0,G,33.0,1.0,54.0,Third call,1.0,30-39,White,Female,Schumer,Pataki,No,Approve,,,White,,,,,,,,Better,,Democrat,,,100K or more,Moderate,18 to 64,,National,Complete,Upstate urban,30 to 44,30 to 39,Democrat,30 to 39,0.6349999999999999,,,,,,No
1.0,0.0,G,33.0,1.0,55.0,Third call,1.0,50-59,White,Male,Schumer,Vallone,No,Approve,,,White,,,,,,,,Same,,Democrat,,,75 to 100K,Moderate,18 to 64,,National,Complete,Upstate urban,45 to 59,50 to 59,Democrat,50 to 64,0.6869999999999999,,,,,,No
1.0,0.0,G,33.0,1.0,56.0,Third call,1.0,50-59,White,Male,Schumer,Golisano,No,Approve,,,White,,,,,,,,Better,,Something else,,,,Liberal,18 to 64,,National,Complete,Upstate urban,45 to 59,50 to 59,Independent/Other,50 to 64,0.5429999999999999,,,,,,No
1.0,0.0,G,33.0,1.0,57.0,Third call,1.0,45-49,White,Female,Schumer,Vallone,No,Approve,,,White,,,,,,,,Better,,Democrat,,,100K or more,Moderate,18 to 64,,National,Complete,Upstate urban,45 to 59,40 to 49,Democrat,40 to 49,0.708,,,,,,No
1.0,0.0,G,33.0,1.0,58.0,Third call,1.0,40-44,White,Female,Schumer,Pataki,No,Approve,,,White,,,,,,,,Better,,Something else,,,100K or more,Moderate,18 to 64,,National,Complete,Upstate urban,30 to 44,40 to 49,Independent/Other,40 to 49,0.6349999999999999,,,,,,No
1.0,0.0,G,33.0,1.0,59.0,Third call,1.0,40-44,Hispanic,Male,Schumer,Pataki,Yes,Approve,,,Hispanic,,,,,,,,Same,,Democrat,,,30 to 50K,Liberal,18 to 64,,National,Complete,Upstate urban,30 to 44,40 to 49,Democrat,40 to 49,0.43000000000000005,,,,,,No
1.0,0.0,G,33.0,1.0,60.0,Third call,1.0,40-44,White,Male,D'Amato,Pataki,No,Approve,,,White,,,,,,,,Better,,Independent,,,75 to 100K,Liberal,18 to 64,,National,Complete,Upstate urban,30 to 44,40 to 49,Independent/Other,40 to 49,0.6489999999999999,,,,,,No
1.0,0.0,G,33.0,1.0,61.0,Third call,1.0,45-49,White,Male,Schumer,Vallone,No,Approve,,,White,,,,,,,,Better,,Democrat,,,100K or more,Moderate,18 to 64,,National,Complete,Upstate urban,45 to 59,40 to 49,Democrat,40 to 49,0.6869999999999999,,,,,,No
1.0,0.0,G,33.0,3.0,1.0,First call,1.0,50-59,White,Male,D'Amato,Pataki,No,Approve,Disapprove,D'Amato,White,Against my candidate,Neither,Yes,Neither,No,No,Yes,Better,Perot,Republican,Postgrad,Protestant,50 to 75K,Moderate,18 to 64,Yes,State,Complete,Rural upstate,45 to 59,50 to 59,Republican,50 to 64,0.885,Gun Control,Better,Unfavorable,No,Approve,No
1.0,0.0,G,33.0,3.0,2.0,First call,1.0,45-49,White,Male,D'Amato,Pataki,No,Approve,Disapprove,Neither,White,Against my candidate,Neither,Yes,Neither,No,No,Yes,Same,Perot,Something else,College grad,Protestant,30 to 50K,Conservative,18 to 64,Yes,State,Complete,Rural upstate,45 to 59,40 to 49,Independent/Other,40 to 49,0.885,Gun Control,About the same,Unfavorable,Yes,Disapprove,No
1.0,0.0,G,33.0,3.0,3.0,First call,1.0,60-64,White,Female,Schumer,Vallone,No,Approve,Disapprove,Schumer,White,Against my candidate,Support Clinton,Yes,Both,No,No,Yes,Same,Clinton,Something else,HS grad,Protestant,15 to 30K,Moderate,18 to 64,Yes,State,Complete,Rural upstate,60 and over,60 and over,Independent/Other,50 to 64,1.338,Economy/jobs,About the same,Unfavorable,No,Disapprove,No
1.0,0.0,G,33.0,3.0,4.0,First call,1.0,30-39,White,Female,D'Amato,Pataki,No,Disapprove,,D'Amato,White,For my candidate,,Yes,D'Amato,Yes,Yes,,Worse,Dole,Republican,HS grad,Catholic,30 to 50K,Conservative,18 to 64,No,State,Complete,Rural upstate,30 to 44,30 to 39,Republican,30 to 39,0.8330000000000001,,Better,Unfavorable,No,Approve,No
1.0,0.0,G,33.0,3.0,5.0,First call,1.0,40-44,White,Male,D'Amato,Pataki,No,Disapprove,Approve,D'Amato,White,For my candidate,Oppose Clinton,Yes,Neither,Yes,Yes,Yes,Worse,Dole,Republican,HS grad,Catholic,50 to 75K,Conservative,18 to 64,Yes,State,Complete,Rural upstate,30 to 44,40 to 49,Republican,40 to 49,0.885,,Better,Unfavorable,No,Approve,No
1.0,0.0,G,33.0,3.0,6.0,First call,1.0,50-59,White,Male,D'Amato,Pataki,No,Disapprove,Approve,D'Amato,White,For my candidate,Oppose Clinton,Yes,Neither,Yes,Yes,No,Worse,Dole,Republican,Some college,Catholic,30 to 50K,Conservative,18 to 64,No,State,Complete,Rural upstate,45 to 59,50 to 59,Republican,50 to 64,0.885,Economy/jobs,About the same,Unfavorable,Yes,Approve,Yes
1.0,0.0,G,33.0,3.0,7.0,First call,1.0,40-44,White,Male,D'Amato,Pataki,No,Disapprove,Approve,D'Amato,White,For my candidate,Neither,Yes,D'Amato,Yes,Yes,Yes,Same,Other,Independent,Some college,None,50 to 75K,,18 to 64,No,State,Complete,Rural upstate,30 to 44,40 to 49,Independent/Other,40 to 49,0.885,,Better,Unfavorable,No,Approve,No
1.0,0.0,G,33.0,3.0,8.0,First call,1.0,45-49,White,Female,D'Amato,Pataki,No,,,D'Amato,White,For my candidate,Neither,,D'Amato,,,,Same,,,HS grad,Protestant,,Conservative,18 to 64,No,State,Complete,Rural upstate,45 to 59,40 to 49,,40 to 49,0.8330000000000001,Education,Better,,No,,No
1.0,0.0,G,33.0,3.0,9.0,First call,1.0,50-59,White,Female,,Pataki,,,,D'Amato,White,For my candidate,,,,,,,,,,,,,,18 to 64,,State,Not complete,Rural upstate,45 to 59,50 to 59,,50 to 64,0.8580000000000001,SS/Medicare,Better,,Yes,,
1.0,0.0,G,33.0,3.0,10.0,First call,1.0,65 and over,White,Male,D'Amato,Pataki,,Approve,Disapprove,D'Amato,White,For my candidate,Neither,,D'Amato,No,No,No,Same,Clinton,Independent,,Protestant,,Moderate,65 and over,No,State,Complete,Rural upstate,60 and over,60 and over,Independent/Other,65 and over,1.151,SS/Medicare,Better,Favorable,No,Disapprove,No
1.0,0.0,G,33.0,3.0,11.0,First call,1.0,40-44,White,Male,D'Amato,Pataki,No,Approve,Approve,Both,White,For my candidate,Neither,Yes,Neither,No,No,No,Same,Perot,Republican,No HS,Catholic,30 to 50K,Moderate,18 to 64,No,State,Complete,Rural upstate,30 to 44,40 to 49,Republican,40 to 49,0.885,SS/Medicare,Better,Favorable,No,Approve,No
1.0,0.0,G,33.0,3.0,12.0,First call,1.0,50-59,White,Female,,Pataki,No,Disapprove,Disapprove,D'Amato,White,For my candidate,Neither,Yes,D'Amato,No,Yes,Yes,Same,Clinton,Republican,Some college,Protestant,30 to 50K,Moderate,18 to 64,No,State,Complete,Rural upstate,45 to 59,50 to 59,Republican,50 to 64,0.8580000000000001,Taxes,Better,Unfavorable,No,Approve,No
1.0,0.0,G,33.0,3.0,13.0,First call,1.0,50-59,White,Male,D'Amato,Pataki,No,Disapprove,Disapprove,Neither,White,Against my candidate,Neither,,Neither,Yes,Yes,Yes,Worse,Perot,Independent,HS grad,Other Christian,30 to 50K,Moderate,18 to 64,Yes,State,Complete,Rural upstate,45 to 59,50 to 59,Independent/Other,50 to 64,0.885,Gun Control,Better,Unfavorable,Yes,,No
1.0,0.0,G,33.0,3.0,14.0,First call,1.0,50-59,White,Male,D'Amato,Pataki,No,Approve,Approve,D'Amato,White,For my candidate,Neither,No,Neither,No,No,No,Worse,Clinton,Republican,College grad,Protestant,50 to 75K,Moderate,18 to 64,No,State,Complete,Rural upstate,45 to 59,50 to 59,Republican,50 to 64,0.885,,Better,Favorable,No,Disapprove,No
1.0,0.0,G,33.0,3.0,15.0,First call,1.0,50-59,White,Female,,Pataki,No,Disapprove,Disapprove,D'Amato,White,,Oppose Clinton,Yes,,Yes,Yes,,Worse,Other,Republican,,Other Christian,15 to 30K,Conservative,18 to 64,,State,Complete,Rural upstate,45 to 59,50 to 59,Republican,50 to 64,0.8580000000000001,,Better,Unfavorable,Yes,Disapprove,No
1.0,0.0,G,33.0,3.0,16.0,Second call,1.0,65 and over,White,Male,Schumer,Vallone,No,Approve,Disapprove,Schumer,White,For my candidate,Support Clinton,No,Schumer,No,No,No,Better,Clinton,Democrat,College grad,Protestant,15 to 30K,Liberal,65 and over,Yes,State,Complete,Rural upstate,60 and over,60 and over,Democrat,65 and over,1.42,Education,About the same,Favorable,No,Disapprove,No
1.0,0.0,G,33.0,3.0,17.0,Second call,1.0,40-44,White,Female,Schumer,Pataki,No,Approve,Approve,Schumer,White,For my candidate,Neither,Yes,Both,No,No,Yes,Better,Did not vote,Democrat,HS grad,Protestant,30 to 50K,Liberal,18 to 64,No,State,Complete,Rural upstate,30 to 44,40 to 49,Democrat,40 to 49,0.925,Taxes,About the same,Favorable,Yes,Approve,No
1.0,0.0,G,33.0,3.0,18.0,Second call,1.0,40-44,White,Male,D'Amato,Pataki,No,,Disapprove,Neither,White,For my candidate,Neither,Yes,Neither,No,No,Yes,Worse,Did not vote,Republican,College grad,Protestant,50 to 75K,Conservative,18 to 64,Yes,State,Complete,Rural upstate,30 to 44,40 to 49,Republican,40 to 49,0.885,,About the same,Unfavorable,Yes,Disapprove,No
1.0,0.0,G,33.0,3.0,19.0,Second call,1.0,60-64,White,Male,Schumer,Golisano,No,Approve,Disapprove,Schumer,White,Against my candidate,Support Clinton,No,Schumer,No,No,No,Worse,Clinton,Democrat,No HS,Protestant,Under 15K,Liberal,18 to 64,Yes,State,Complete,Rural upstate,60 and over,60 and over,Democrat,50 to 64,1.124,SS/Medicare,About the same,Favorable,No,Disapprove,No
