State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Governor Vote,Clinton Approval,Congress Approval,Reason for Cong Vote,Religious Right,Kerrey good Pres?,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,Party ID,Income,Init 413- Spending Cap,Ideology,Age (65 and over),State or national poll,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight (3 implied dec places)
28.0,2.0,19.0,First call,40-44,White,Male,Johans,Disapprove,Disapprove,Oppose Clinton,Yes,No,No,Yes,Yes,Same,Republican,15 to 30K,For,Conservative,18 to 64,State,CD 3,30 to 44,40 to 49,Republican,40 to 49,1.4729999999999999
28.0,2.0,20.0,Second call,25-29,White,Male,Johans,Disapprove,Disapprove,Oppose Clinton,No,No,Yes,Yes,Yes,Better,Republican,50 to 75K,Against,Moderate,18 to 64,State,CD 3,18 to 29,25 to 29,Republican,25 to 29,1.025
28.0,2.0,21.0,Second call,65 and over,White,,Hoppner,Approve,Disapprove,Neither,,,,,,Worse,Democrat,15 to 30K,For,Moderate,65 and over,State,CD 3,60 and over,60 and over,Democrat,65 and over,1.522
28.0,2.0,22.0,Second call,30-39,White,Male,Hoppner,Approve,Disapprove,Neither,No,Yes,No,No,No,Better,Democrat,50 to 75K,Against,Liberal,18 to 64,State,CD 3,30 to 44,30 to 39,Democrat,30 to 39,1.005
28.0,2.0,23.0,Second call,65 and over,White,Male,Hoppner,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,Yes,Worse,Independent,50 to 75K,Against,Moderate,65 and over,State,CD 3,60 and over,60 and over,Independent/Other,65 and over,1.149
28.0,2.0,24.0,Second call,65 and over,White,,,Approve,Approve,Oppose Clinton,No,No,No,No,No,Same,Republican,,Against,Conservative,65 and over,State,CD 3,60 and over,60 and over,Republican,65 and over,1.216
28.0,2.0,25.0,Second call,50-59,White,Male,Johans,Approve,Disapprove,Neither,No,No,No,No,Yes,Same,Independent,30 to 50K,For,Moderate,18 to 64,State,CD 3,45 to 59,50 to 59,Independent/Other,50 to 64,1.4729999999999999
28.0,2.0,26.0,Second call,65 and over,White,Male,Hoppner,Disapprove,Disapprove,Neither,No,No,Yes,,,Same,Democrat,15 to 30K,Against,Conservative,65 and over,State,CD 3,60 and over,60 and over,Democrat,65 and over,1.149
28.0,2.0,27.0,Second call,65 and over,White,Female,Hoppner,Approve,,Support Clinton,No,Yes,No,No,No,Same,Democrat,Under 15K,Against,Liberal,65 and over,State,CD 3,60 and over,60 and over,Democrat,65 and over,1.147
28.0,2.0,28.0,Second call,30-39,White,Male,Johans,Disapprove,Disapprove,Oppose Clinton,No,No,Yes,Yes,No,Same,Republican,50 to 75K,For,Moderate,18 to 64,State,CD 3,30 to 44,30 to 39,Republican,30 to 39,1.4729999999999999
28.0,2.0,29.0,Third call,30-39,White,Female,Hoppner,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,Yes,Worse,Republican,30 to 50K,Against,Moderate,18 to 64,State,CD 3,30 to 44,30 to 39,Republican,30 to 39,1.004
28.0,2.0,30.0,Third call,65 and over,White,Male,Hoppner,Approve,Approve,Oppose Clinton,,No,Yes,Yes,Yes,Same,Republican,,Against,Moderate,65 and over,State,CD 3,60 and over,60 and over,Republican,65 and over,1.149
28.0,2.0,31.0,Third call,50-59,White,Male,Hoppner,Approve,Disapprove,Support Clinton,No,Yes,No,No,No,Better,Independent,50 to 75K,Against,Moderate,18 to 64,State,CD 3,45 to 59,50 to 59,Independent/Other,50 to 64,1.005
28.0,2.0,32.0,Third call,50-59,White,Male,Johans,Approve,Disapprove,Neither,No,Yes,No,No,,Better,Democrat,30 to 50K,Against,Moderate,18 to 64,State,CD 3,45 to 59,50 to 59,Democrat,50 to 64,1.111
28.0,2.0,33.0,Third call,50-59,White,Female,Johans,Disapprove,Disapprove,Neither,Yes,No,Yes,Yes,Yes,Same,Republican,,For,Conservative,18 to 64,State,CD 3,45 to 59,50 to 59,Republican,50 to 64,1.471
28.0,2.0,34.0,Third call,30-39,White,Male,Johans,Disapprove,Disapprove,Neither,Yes,No,No,No,Yes,Better,Republican,15 to 30K,Against,Conservative,18 to 64,State,CD 3,30 to 44,30 to 39,Republican,30 to 39,1.111
28.0,2.0,35.0,Third call,50-59,White,Female,Hoppner,,,Neither,No,Yes,,Yes,Yes,Worse,Independent,50 to 75K,Against,Moderate,18 to 64,State,CD 3,45 to 59,50 to 59,Independent/Other,50 to 64,1.004
28.0,2.0,36.0,Third call,40-44,Black,Male,Hoppner,Approve,Disapprove,Neither,Yes,Yes,No,No,Yes,Better,Democrat,15 to 30K,Against,Liberal,18 to 64,State,CD 3,30 to 44,40 to 49,Democrat,40 to 49,0.8280000000000001
28.0,2.0,37.0,Third call,25-29,White,Female,Hoppner,Approve,Disapprove,Neither,No,Yes,No,No,No,Better,Republican,15 to 30K,Against,Moderate,18 to 64,State,CD 3,18 to 29,25 to 29,Republican,25 to 29,0.928
28.0,2.0,38.0,Third call,30-39,White,Male,Hoppner,Disapprove,Approve,Neither,Yes,Yes,Yes,Yes,No,Better,Republican,50 to 75K,Against,Moderate,18 to 64,State,CD 3,30 to 44,30 to 39,Republican,30 to 39,1.005
28.0,2.0,39.0,Third call,45-49,White,Female,Hoppner,Approve,Approve,Neither,No,No,No,Yes,Yes,Same,Democrat,30 to 50K,Against,Conservative,18 to 64,State,CD 3,45 to 59,40 to 49,Democrat,40 to 49,1.004
28.0,2.0,40.0,Third call,30-39,White,Female,Hoppner,Approve,Approve,Neither,No,Yes,No,No,Yes,Same,Independent,15 to 30K,Against,Moderate,18 to 64,State,CD 3,30 to 44,30 to 39,Independent/Other,30 to 39,1.004
28.0,2.0,41.0,Third call,40-44,White,Male,Johans,Disapprove,Disapprove,Oppose Clinton,Yes,No,Yes,Yes,No,Same,Republican,30 to 50K,Against,Conservative,18 to 64,State,CD 3,30 to 44,40 to 49,Republican,40 to 49,1.111
28.0,2.0,42.0,Third call,30-39,White,Female,Hoppner,Approve,Disapprove,Neither,No,Yes,No,No,No,Better,Democrat,50 to 75K,For,Liberal,18 to 64,State,CD 3,30 to 44,30 to 39,Democrat,30 to 39,1.333
28.0,2.0,43.0,Third call,30-39,White,Female,Hoppner,Disapprove,Disapprove,Oppose Clinton,,Yes,Yes,Yes,No,Same,Independent,15 to 30K,Against,Moderate,18 to 64,State,CD 3,30 to 44,30 to 39,Independent/Other,30 to 39,1.004
28.0,2.0,44.0,Third call,30-39,White,Female,Hoppner,Approve,Approve,Neither,No,Yes,No,No,Yes,Same,Democrat,Under 15K,Against,Moderate,18 to 64,State,CD 3,30 to 44,30 to 39,Democrat,30 to 39,1.004
28.0,2.0,45.0,Third call,30-39,White,Male,Hoppner,Disapprove,Approve,Neither,No,No,Yes,Yes,No,Same,Republican,30 to 50K,Against,Moderate,18 to 64,State,CD 3,30 to 44,30 to 39,Republican,30 to 39,1.005
28.0,2.0,46.0,Third call,30-39,White,Male,Johans,Disapprove,Disapprove,Oppose Clinton,Yes,No,Yes,Yes,No,Better,Republican,100K or more,For,Conservative,18 to 64,State,CD 3,30 to 44,30 to 39,Republican,30 to 39,1.4729999999999999
28.0,2.0,47.0,Third call,30-39,White,Female,Hoppner,,,Neither,,Yes,No,Yes,,Same,Independent,50 to 75K,Against,Conservative,18 to 64,State,CD 3,30 to 44,30 to 39,Independent/Other,30 to 39,1.004
28.0,2.0,48.0,Third call,40-44,White,Female,Hoppner,Disapprove,Disapprove,Neither,No,Yes,,Yes,,Worse,Independent,30 to 50K,Against,Moderate,18 to 64,State,CD 3,30 to 44,40 to 49,Independent/Other,40 to 49,1.004
28.0,2.0,49.0,Third call,25-29,White,Female,Johans,Approve,Approve,Neither,No,Yes,No,No,No,Better,Republican,30 to 50K,Against,Moderate,18 to 64,State,CD 3,18 to 29,25 to 29,Republican,25 to 29,1.023
28.0,2.0,50.0,Third call,50-59,White,Female,Hoppner,Disapprove,,Neither,No,Yes,,,,Better,Independent,,Against,Moderate,18 to 64,State,CD 3,45 to 59,50 to 59,Independent/Other,50 to 64,1.004
28.0,2.0,51.0,Third call,25-29,White,Male,Johans,Approve,,Support Clinton,No,Yes,No,No,No,Better,Independent,30 to 50K,Against,Conservative,18 to 64,State,CD 3,18 to 29,25 to 29,Independent/Other,25 to 29,1.025
28.0,3.0,1.0,First call,45-49,White,Female,Hoppner,Approve,Disapprove,Neither,Yes,,No,No,No,Same,Independent,50 to 75K,Against,Conservative,18 to 64,National,CD 3,45 to 59,40 to 49,Independent/Other,40 to 49,0.808
