State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Attorney Gen Vote,Governor Race,Clinton Approval,Congress Approval,Reason for Cong Vote,State economy condition,Why improve schools?,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,1996 vote,Kerry good as Pres?,Party ID,Education,Religion,Income,Ideology,Age (65 and over),Child in public school,State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight (3 implied dec places),Governor issues,Future of st economy,Clinton as person,Gov: decided to vote
22.0,1.0,16.0,Second call,30-39,White,Male,Bailey,Cellucci,Disapprove,Approve,Neither,Good,Cellucci,Yes,Yes,Yes,Better,Dole,,Republican,College grad,Protestant,50 to 75K,Conservative,18 to 64,No,State,Complete,Shores/Cape Cod,30 to 44,30 to 39,Republican,30 to 39,1.152,Crime/drugs,Better,Unfavorable,Before that
22.0,1.0,17.0,Second call,40-44,White,Male,Bailey,Cellucci,Disapprove,Disapprove,Neither,Good,Both,No,Yes,Yes,Same,Perot,No,Independent,Some college,Catholic,100K or more,Moderate,18 to 64,Yes,State,Complete,Shores/Cape Cod,30 to 44,40 to 49,Independent/Other,40 to 49,1.152,Economy/jobs,Same,Unfavorable,Last 3 days
22.0,1.0,18.0,Second call,30-39,White,Female,Reilly,Cellucci,Approve,Approve,Neither,Good,Both,No,No,No,Better,Clinton,No,Independent,College grad,Catholic,75 to 100K,Conservative,18 to 64,Yes,State,Complete,Shores/Cape Cod,30 to 44,30 to 39,Independent/Other,30 to 39,1.095,,Better,Favorable,Before that
22.0,1.0,19.0,Second call,65 and over,White,Female,Reilly,Harschbarger,Approve,Disapprove,Neither,Good,Both,No,No,No,Same,Clinton,,Democrat,Postgrad,Jewish,100K or more,Liberal,65 and over,No,State,Complete,Shores/Cape Cod,60 and over,60 and over,Democrat,65 and over,1.072,Ethic/moral,Same,Favorable,Before that
22.0,1.0,20.0,Second call,30-39,White,Male,Reilly,Harschbarger,Approve,Approve,Neither,Good,Harshbarger,No,No,No,Better,Clinton,Yes,Democrat,Postgrad,Catholic,75 to 100K,Liberal,18 to 64,No,State,Complete,Shores/Cape Cod,30 to 44,30 to 39,Democrat,30 to 39,1.066,Economy/jobs,Better,Unfavorable,Before that
22.0,1.0,21.0,Second call,60-64,White,Female,Bailey,Cellucci,Disapprove,Disapprove,Neither,Good,Both,Yes,Yes,No,Same,Dole,No,Independent,Some college,Catholic,50 to 75K,Moderate,18 to 64,No,State,Complete,Shores/Cape Cod,60 and over,60 and over,Independent/Other,50 to 64,1.16,State taxes,Same,Unfavorable,Last month
22.0,1.0,22.0,Second call,65 and over,White,Female,Bailey,Cellucci,Disapprove,Approve,Oppose Clinton,Good,Both,Yes,Yes,Yes,Same,Perot,No,Independent,Some college,Protestant,30 to 50K,Moderate,65 and over,No,State,Complete,Shores/Cape Cod,60 and over,60 and over,Independent/Other,65 and over,1.16,Environment,Same,Unfavorable,Last 3 days
22.0,1.0,23.0,Second call,65 and over,White,Male,Bailey,Cellucci,,,,Good,Both,,,,Same,,,,Some college,Catholic,,Moderate,65 and over,No,State,Complete,Shores/Cape Cod,60 and over,60 and over,,65 and over,1.321,State taxes,Better,,Last week
22.0,1.0,24.0,Second call,50-59,White,Female,Reilly,Harschbarger,Approve,Disapprove,Neither,Good,Harshbarger,No,No,Yes,Same,Clinton,Yes,Democrat,,Catholic,50 to 75K,Moderate,18 to 64,No,State,Complete,Shores/Cape Cod,45 to 59,50 to 59,Democrat,50 to 64,0.9349999999999999,Education,Same,,Last 3 days
22.0,1.0,25.0,Second call,50-59,White,Female,Reilly,Harschbarger,Approve,Disapprove,Neither,Good,Harshbarger,No,Yes,Yes,Better,Clinton,,Democrat,Postgrad,Jewish,75 to 100K,Moderate,18 to 64,No,State,Complete,Shores/Cape Cod,45 to 59,50 to 59,Democrat,50 to 64,0.9349999999999999,,Same,,Before that
22.0,1.0,26.0,Second call,30-39,White,Female,Reilly,Harschbarger,Approve,Disapprove,,Good,Harshbarger,No,No,No,Worse,Clinton,,Democrat,College grad,Protestant,15 to 30K,Moderate,18 to 64,Yes,State,Complete,Shores/Cape Cod,30 to 44,30 to 39,Democrat,30 to 39,0.9349999999999999,Education,Same,Unfavorable,Before that
22.0,1.0,27.0,Second call,60-64,White,Female,Bailey,Cellucci,Disapprove,Disapprove,Neither,Good,Both,Yes,Yes,No,Same,Dole,No,Independent,Some college,Catholic,50 to 75K,Moderate,18 to 64,No,State,Complete,Shores/Cape Cod,60 and over,60 and over,Independent/Other,50 to 64,1.16,State taxes,Same,Unfavorable,Last month
22.0,1.0,28.0,Second call,65 and over,White,Male,Bailey,Cellucci,,,,Good,Both,,,,Same,,,,Some college,Protestant,,Moderate,65 and over,No,State,Complete,Shores/Cape Cod,60 and over,60 and over,,65 and over,1.321,State taxes,Better,,Last week
22.0,1.0,29.0,Second call,45-49,White,Female,Bailey,Cellucci,Disapprove,Approve,Neither,Good,Both,No,Yes,No,Same,Dole,No,Independent,College grad,Protestant,50 to 75K,Moderate,18 to 64,Yes,State,Complete,Shores/Cape Cod,45 to 59,40 to 49,Independent/Other,40 to 49,1.011,Ethic/moral,Same,Unfavorable,Before that
22.0,1.0,30.0,Second call,50-59,White,Female,Reilly,Harschbarger,Approve,Disapprove,Neither,Good,Harshbarger,No,No,Yes,Same,Clinton,Yes,Democrat,,Catholic,50 to 75K,Moderate,18 to 64,No,State,Complete,Shores/Cape Cod,45 to 59,50 to 59,Democrat,50 to 64,0.9349999999999999,Education,Same,,Last 3 days
22.0,1.0,31.0,Second call,65 and over,White,Female,Reilly,Harschbarger,Approve,Disapprove,Support Clinton,Good,Both,No,No,No,Same,Clinton,,Independent,Postgrad,None,,Moderate,65 and over,No,State,Complete,Shores/Cape Cod,60 and over,60 and over,Independent/Other,65 and over,1.072,State taxes,Worse,,Last 3 days
22.0,1.0,32.0,Third call,45-49,White,Female,Bailey,Cellucci,Disapprove,Disapprove,Oppose Clinton,Good,Neither,Yes,Yes,Yes,Same,Dole,,Independent,College grad,None,50 to 75K,Moderate,18 to 64,Yes,State,Complete,Shores/Cape Cod,45 to 59,40 to 49,Independent/Other,40 to 49,1.011,Economy/jobs,Same,Unfavorable,Before that
22.0,1.0,33.0,Third call,50-59,White,Female,Bailey,Cellucci,Disapprove,Disapprove,Neither,Good,Both,No,Yes,Yes,Same,Dole,No,Independent,Postgrad,Catholic,100K or more,Moderate,18 to 64,Yes,State,Complete,Shores/Cape Cod,45 to 59,50 to 59,Independent/Other,50 to 64,1.011,State taxes,Same,Unfavorable,Before that
22.0,1.0,34.0,Third call,40-44,White,Male,Bailey,Other,Disapprove,,Oppose Clinton,Good,Neither,Yes,Yes,Yes,Better,Dole,No,Republican,Some college,Protestant,75 to 100K,Conservative,18 to 64,Yes,State,Complete,Shores/Cape Cod,30 to 44,40 to 49,Republican,40 to 49,1.013,Crime/drugs,Worse,Unfavorable,Before that
22.0,1.0,35.0,Third call,40-44,White,Female,Reilly,Harschbarger,Approve,Approve,Neither,Good,Harshbarger,Yes,Yes,No,Better,Clinton,No,Democrat,Some college,Catholic,50 to 75K,Moderate,18 to 64,No,State,Complete,Shores/Cape Cod,30 to 44,40 to 49,Democrat,40 to 49,0.9349999999999999,Education,Same,Unfavorable,Last week
22.0,1.0,36.0,Third call,25-29,White,Male,Reilly,Cellucci,Approve,Disapprove,Neither,Excellent,Cellucci,No,No,No,Same,Other,Yes,Independent,HS grad,Catholic,15 to 30K,Liberal,18 to 64,No,State,Complete,Shores/Cape Cod,18 to 29,25 to 29,Independent/Other,25 to 29,1.6640000000000001,Environment,Better,Favorable,Last month
22.0,1.0,37.0,Third call,30-39,,Male,Reilly,Harschbarger,Approve,Disapprove,Support Clinton,Good,Harshbarger,No,No,Yes,Better,Clinton,Yes,Independent,College grad,Something else,50 to 75K,Liberal,18 to 64,No,State,Complete,Shores/Cape Cod,30 to 44,30 to 39,Independent/Other,30 to 39,1.066,,Same,Favorable,Before that
22.0,1.0,38.0,Third call,30-39,White,Female,Reilly,Harschbarger,Approve,Disapprove,Neither,Good,Neither,No,No,Yes,Better,Clinton,No,Democrat,Postgrad,Protestant,100K or more,Liberal,18 to 64,No,State,Complete,Shores/Cape Cod,30 to 44,30 to 39,Democrat,30 to 39,0.9349999999999999,Ethic/moral,Same,Unfavorable,Before that
22.0,1.0,39.0,Third call,18-24,White,Female,Reilly,Cellucci,Disapprove,Approve,Neither,Good,Cellucci,Yes,Yes,Yes,Same,Perot,,Independent,Some college,Protestant,,Conservative,18 to 64,No,State,Complete,Shores/Cape Cod,18 to 29,18 to 24,Independent/Other,18 to 24,1.461,Economy/jobs,Same,Unfavorable,Last week
22.0,1.0,40.0,Third call,65 and over,White,Male,Reilly,Cellucci,Approve,Disapprove,Neither,Good,Both,No,No,Yes,Same,Dole,No,Independent,Postgrad,Protestant,75 to 100K,Moderate,65 and over,No,State,Complete,Shores/Cape Cod,60 and over,60 and over,Independent/Other,65 and over,1.429,State taxes,Worse,Unfavorable,Last 3 days
22.0,1.0,41.0,Third call,50-59,White,Male,Reilly,Harschbarger,Approve,Disapprove,Neither,Good,Harshbarger,No,No,No,Same,Clinton,Yes,Democrat,HS grad,Catholic,75 to 100K,Moderate,18 to 64,Yes,State,Complete,Shores/Cape Cod,45 to 59,50 to 59,Democrat,50 to 64,1.066,Ethic/moral,Same,Unfavorable,Last month
22.0,1.0,42.0,Third call,30-39,White,Female,Bailey,Cellucci,Disapprove,Approve,Oppose Clinton,Good,Both,Yes,Yes,No,Better,Dole,No,Republican,No HS,Protestant,30 to 50K,Conservative,18 to 64,Yes,State,Complete,Shores/Cape Cod,30 to 44,30 to 39,Republican,30 to 39,1.011,State taxes,Worse,Unfavorable,Before that
22.0,1.0,43.0,Third call,30-39,White,Female,Bailey,Cellucci,Approve,Approve,Neither,Good,Both,No,No,No,Better,Clinton,,Independent,College grad,Protestant,50 to 75K,Moderate,18 to 64,No,State,Complete,Shores/Cape Cod,30 to 44,30 to 39,Independent/Other,30 to 39,1.011,State taxes,Better,Unfavorable,Last 3 days
22.0,1.0,44.0,Third call,50-59,White,Female,Bailey,Cellucci,Disapprove,Disapprove,Oppose Clinton,Good,Neither,No,Yes,Yes,Better,Dole,Yes,Independent,College grad,Jewish,75 to 100K,Conservative,18 to 64,No,State,Complete,Shores/Cape Cod,45 to 59,50 to 59,Independent/Other,50 to 64,1.011,Ethic/moral,Better,Unfavorable,Before that
22.0,1.0,45.0,Third call,65 and over,White,Male,Bailey,Cellucci,Disapprove,Disapprove,Neither,Good,Both,No,Yes,Yes,Better,Clinton,No,Independent,Postgrad,Jewish,75 to 100K,Moderate,65 and over,No,State,Complete,Shores/Cape Cod,60 and over,60 and over,Independent/Other,65 and over,1.321,State taxes,Worse,Unfavorable,Before that
22.0,1.0,46.0,Third call,65 and over,White,Male,Reilly,Harschbarger,Disapprove,Disapprove,Neither,Not so good,Harshbarger,,,,Same,Dole,No,Independent,Postgrad,,50 to 75K,Moderate,65 and over,No,State,Complete,Shores/Cape Cod,60 and over,60 and over,Independent/Other,65 and over,1.224,,Same,Unfavorable,Last month
22.0,1.0,47.0,Third call,30-39,White,Female,Reilly,Harschbarger,Disapprove,Approve,Neither,Good,Harshbarger,Yes,Yes,No,Better,Dole,No,Democrat,College grad,Catholic,100K or more,Moderate,18 to 64,Yes,State,Complete,Shores/Cape Cod,30 to 44,30 to 39,Democrat,30 to 39,0.9349999999999999,Education,Same,Unfavorable,Before that
22.0,1.0,48.0,Third call,,White,Male,Reilly,Harschbarger,,,,,,,,,,,,,,,,,,,State,Not complete,Shores/Cape Cod,,,,,1.066,,,,
22.0,1.0,49.0,Third call,40-44,White,Female,Reilly,Harschbarger,Approve,Approve,Neither,Good,Both,No,No,No,Better,Perot,No,Republican,College grad,Catholic,50 to 75K,Moderate,18 to 64,Yes,State,Complete,Shores/Cape Cod,30 to 44,40 to 49,Republican,40 to 49,0.9349999999999999,Ethic/moral,Same,Unfavorable,Last 3 days
22.0,1.0,50.0,Third call,65 and over,White,Female,Bailey,Cellucci,Disapprove,Disapprove,Neither,Good,Both,Yes,Yes,,Same,Dole,No,Independent,Some college,Catholic,30 to 50K,Moderate,65 and over,No,State,Complete,Shores/Cape Cod,60 and over,60 and over,Independent/Other,65 and over,1.16,Ethic/moral,Worse,Unfavorable,Before that
22.0,1.0,51.0,Third call,25-29,White,Female,Bailey,Cellucci,Approve,Approve,Neither,Good,Cellucci,No,Yes,Yes,Better,Perot,No,Something else,College grad,Catholic,50 to 75K,Moderate,18 to 64,No,State,Complete,Shores/Cape Cod,18 to 29,25 to 29,Independent/Other,25 to 29,1.349,State taxes,Better,Unfavorable,Last month
22.0,1.0,52.0,Third call,50-59,White,Male,Bailey,Cellucci,Disapprove,Disapprove,Neither,Excellent,Cellucci,Yes,Yes,Yes,Better,Dole,No,Republican,Postgrad,Jewish,100K or more,Conservative,18 to 64,No,State,Complete,Shores/Cape Cod,45 to 59,50 to 59,Republican,50 to 64,1.152,Ethic/moral,Better,Unfavorable,Before that
22.0,1.0,53.0,Third call,65 and over,White,Female,Bailey,Cellucci,Disapprove,Approve,Oppose Clinton,Good,Both,No,Yes,No,Same,Dole,No,Republican,Some college,Catholic,100K or more,Conservative,65 and over,No,State,Complete,Shores/Cape Cod,60 and over,60 and over,Republican,65 and over,1.16,State taxes,Same,Unfavorable,Before that
22.0,1.0,54.0,Third call,40-44,White,Female,Reilly,Harschbarger,Approve,Approve,Neither,Good,Both,No,No,Yes,Better,Clinton,Yes,Democrat,HS grad,Catholic,50 to 75K,Liberal,18 to 64,Yes,State,Complete,Shores/Cape Cod,30 to 44,40 to 49,Democrat,40 to 49,0.9349999999999999,Education,Same,Unfavorable,Last month
22.0,1.0,55.0,Third call,50-59,White,Female,Reilly,Harschbarger,Approve,Approve,Neither,Good,,,,,Better,Clinton,,Independent,Postgrad,,30 to 50K,Liberal,18 to 64,No,State,Complete,Shores/Cape Cod,45 to 59,50 to 59,Independent/Other,50 to 64,0.9349999999999999,Education,Worse,Unfavorable,Last 3 days
22.0,1.0,56.0,Third call,50-59,White,Male,Bailey,Other,Disapprove,Disapprove,Neither,Good,Neither,Yes,Yes,Yes,Better,Dole,No,Republican,HS grad,None,15 to 30K,Conservative,18 to 64,Yes,State,Complete,Shores/Cape Cod,45 to 59,50 to 59,Republican,50 to 64,1.013,,Worse,Unfavorable,Last month
22.0,1.0,57.0,Third call,30-39,White,Female,Bailey,Cellucci,Disapprove,Approve,Oppose Clinton,Good,Cellucci,Yes,Yes,Yes,Better,Clinton,Yes,Independent,College grad,Something else,30 to 50K,Moderate,18 to 64,Yes,State,Complete,Shores/Cape Cod,30 to 44,30 to 39,Independent/Other,30 to 39,1.011,,Better,Unfavorable,Last month
22.0,1.0,58.0,Third call,45-49,White,Male,Bailey,Cellucci,Disapprove,Approve,Oppose Clinton,Good,Cellucci,Yes,No,No,Same,Dole,No,Republican,College grad,None,100K or more,Conservative,18 to 64,No,State,Complete,Shores/Cape Cod,45 to 59,40 to 49,Republican,40 to 49,1.152,Ethic/moral,Same,Unfavorable,Before that
22.0,1.0,59.0,Third call,40-44,Other,Female,,Cellucci,Disapprove,Disapprove,Neither,Excellent,,,,,Better,,Yes,Republican,Some college,Something else,100K or more,Conservative,18 to 64,No,State,Complete,Shores/Cape Cod,30 to 44,40 to 49,Republican,40 to 49,1.066,Ethic/moral,Same,,Before that
22.0,1.0,60.0,Third call,45-49,White,Male,Reilly,Cellucci,Approve,Approve,Support Clinton,Excellent,Both,No,No,No,Better,Clinton,No,Independent,Some college,Catholic,75 to 100K,Moderate,18 to 64,Yes,State,Complete,Shores/Cape Cod,45 to 59,40 to 49,Independent/Other,40 to 49,1.2469999999999999,Economy/jobs,Better,Favorable,
22.0,1.0,61.0,Third call,18-24,White,Male,Bailey,Cellucci,Approve,Approve,Neither,Good,Cellucci,No,No,Yes,Better,Clinton,No,Republican,Some college,Other Christian,50 to 75K,Liberal,18 to 64,No,State,Complete,Shores/Cape Cod,18 to 29,18 to 24,Republican,18 to 24,1.536,Crime/drugs,Better,Favorable,Before that
22.0,2.0,1.0,First call,45-49,White,Female,Reilly,Harschbarger,Approve,Approve,Neither,Excellent,Harshbarger,No,No,No,Same,Clinton,Yes,Democrat,Postgrad,Catholic,50 to 75K,Moderate,18 to 64,No,State,Complete,Shores/Cape Cod,45 to 59,40 to 49,Democrat,40 to 49,0.762,Health care,Worse,Unfavorable,Before that
22.0,2.0,2.0,First call,30-39,White,Female,Bailey,Cellucci,Disapprove,Approve,Oppose Clinton,Good,Cellucci,Yes,Yes,Yes,Better,Dole,No,Republican,College grad,Catholic,50 to 75K,Moderate,18 to 64,Yes,State,Complete,Shores/Cape Cod,30 to 44,30 to 39,Republican,30 to 39,0.8220000000000001,Health care,Same,Unfavorable,Before that
22.0,2.0,3.0,First call,65 and over,White,Male,Reilly,Cellucci,,,,,Cellucci,,,,,,Yes,,,Protestant,,,65 and over,,State,Not complete,Shores/Cape Cod,60 and over,60 and over,,65 and over,1.163,Health care,,,Last week
22.0,2.0,4.0,First call,65 and over,White,Female,Reilly,Cellucci,Disapprove,Approve,Oppose Clinton,Good,Both,Yes,Yes,,Same,Dole,Yes,Democrat,Some college,Catholic,30 to 50K,Moderate,65 and over,No,State,Complete,Shores/Cape Cod,60 and over,60 and over,Democrat,65 and over,1.02,Ethic/moral,Better,Unfavorable,Before that
22.0,2.0,5.0,First call,65 and over,White,Female,Bailey,Cellucci,Disapprove,Disapprove,Oppose Clinton,Good,,,,Yes,Same,Dole,Yes,Republican,Postgrad,Catholic,50 to 75K,Conservative,65 and over,No,State,Complete,Shores/Cape Cod,60 and over,60 and over,Republican,65 and over,0.943,Ethic/moral,Same,Unfavorable,Before that
22.0,2.0,6.0,First call,45-49,White,,Reilly,Cellucci,Disapprove,Disapprove,Neither,Good,Both,Yes,Yes,Yes,Same,Dole,,Independent,College grad,Protestant,,Conservative,18 to 64,No,State,Complete,Shores/Cape Cod,45 to 59,40 to 49,Independent/Other,40 to 49,0.891,State taxes,Better,Unfavorable,Last month
22.0,2.0,7.0,First call,60-64,White,Male,Bailey,Cellucci,Disapprove,Approve,Oppose Clinton,Good,Cellucci,,Yes,Yes,Same,Perot,No,Independent,Some college,Protestant,15 to 30K,Moderate,18 to 64,Yes,State,Complete,Shores/Cape Cod,60 and over,60 and over,Independent/Other,50 to 64,1.075,Health care,Same,Unfavorable,Last 3 days
22.0,2.0,8.0,First call,45-49,White,Female,Reilly,Harschbarger,Approve,Disapprove,Neither,Good,Harshbarger,No,No,No,Better,Clinton,Yes,Democrat,College grad,Protestant,50 to 75K,Liberal,18 to 64,No,State,Complete,Shores/Cape Cod,45 to 59,40 to 49,Democrat,40 to 49,0.762,,Better,Favorable,Before that
22.0,2.0,9.0,First call,30-39,White,Male,Reilly,Cellucci,Approve,Disapprove,Neither,Good,Both,No,No,No,Better,Clinton,Yes,Democrat,College grad,Catholic,75 to 100K,Moderate,18 to 64,Yes,State,Complete,Shores/Cape Cod,30 to 44,30 to 39,Democrat,30 to 39,1.014,Economy/jobs,Better,Unfavorable,Before that
22.0,2.0,10.0,First call,30-39,White,Female,Reilly,Cellucci,Approve,Approve,Neither,Good,Cellucci,Yes,Yes,Yes,Better,Clinton,Yes,Democrat,Some college,Catholic,,Moderate,18 to 64,No,State,Complete,Shores/Cape Cod,30 to 44,30 to 39,Democrat,30 to 39,0.891,State taxes,Same,Unfavorable,Last month
22.0,2.0,11.0,First call,60-64,Other,Male,Reilly,Cellucci,Approve,Disapprove,Support Clinton,Excellent,Both,No,No,No,Better,Clinton,Yes,Democrat,HS grad,Protestant,15 to 30K,Moderate,18 to 64,No,State,Complete,Shores/Cape Cod,60 and over,60 and over,Democrat,50 to 64,1.163,Economy/jobs,Better,Favorable,Last 3 days
22.0,2.0,12.0,First call,40-44,White,Male,Reilly,Harschbarger,Approve,Disapprove,Neither,Good,Harshbarger,No,No,No,Same,Clinton,Yes,Democrat,HS grad,Catholic,50 to 75K,Liberal,18 to 64,Yes,State,Complete,Shores/Cape Cod,30 to 44,40 to 49,Democrat,40 to 49,0.869,Economy/jobs,Same,Favorable,Before that
22.0,2.0,13.0,First call,18-24,White,Male,Reilly,Harschbarger,Approve,Disapprove,Support Clinton,Excellent,Harshbarger,No,No,No,Better,Clinton,Yes,Democrat,Some college,Something else,30 to 50K,Moderate,18 to 64,No,State,Complete,Shores/Cape Cod,18 to 29,18 to 24,Democrat,18 to 24,1.158,Education,Same,Favorable,Last month
22.0,2.0,14.0,Second call,30-39,White,Female,Bailey,Cellucci,Disapprove,Disapprove,Neither,Good,Both,No,Yes,,Same,Dole,No,Independent,Some college,Protestant,75 to 100K,Conservative,18 to 64,Yes,State,Complete,Shores/Cape Cod,30 to 44,30 to 39,Independent/Other,30 to 39,0.8220000000000001,State taxes,Same,Unfavorable,Before that
22.0,2.0,15.0,Second call,45-49,White,Male,Bailey,Other,Disapprove,Approve,Oppose Clinton,Good,Cellucci,,Yes,,Same,Dole,No,Republican,HS grad,Catholic,30 to 50K,Conservative,18 to 64,Yes,State,Complete,Shores/Cape Cod,45 to 59,40 to 49,Republican,40 to 49,0.8240000000000001,,Worse,Unfavorable,Before that
22.0,2.0,16.0,Second call,65 and over,White,Male,Bailey,Cellucci,,,,,Both,,,,,,No,,,Catholic,,,65 and over,,State,Not complete,Shores/Cape Cod,60 and over,60 and over,,65 and over,1.075,State taxes,,,Before that
22.0,2.0,17.0,Second call,65 and over,White,Female,Reilly,Cellucci,Disapprove,Disapprove,Neither,Good,Cellucci,Yes,Yes,Yes,Better,Other,No,Republican,HS grad,Catholic,,Moderate,65 and over,No,State,Complete,Shores/Cape Cod,60 and over,60 and over,Republican,65 and over,1.02,Education,Better,Unfavorable,Last month
