State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Governor Vote,House Vote,Clinton Approval,Congress Approval,Reason for Cong Vote,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Finanacial Situation,1996 vote,Party ID,Income,Ideology,Age (65 and over),State or national poll,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight 3 decimal pl
51.0,10.0,52.0,Third call,45-49,Other,Female,Vinich,Farris,Disapprove,Disapprove,Neither,No,No,No,Same,Perot,Republican,30 to 50K,Moderate,18 to 64,State,South,45 to 59,40 to 49,Republican,40 to 49,0.449
51.0,10.0,53.0,Third call,40-44,White,Male,Geringer,Cubin,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Worse,Dole,Republican,Under 15K,Conservative,18 to 64,State,South,30 to 44,40 to 49,Republican,40 to 49,0.626
51.0,10.0,54.0,Third call,45-49,White,Male,Vinich,Farris,Disapprove,Disapprove,Neither,No,No,Yes,Worse,Perot,Independent,30 to 50K,Moderate,18 to 64,State,South,45 to 59,40 to 49,Independent/Other,40 to 49,0.502
51.0,10.0,55.0,Third call,45-49,White,Male,Geringer,Cubin,Disapprove,Approve,Oppose Clinton,Yes,Yes,,Better,Dole,Republican,30 to 50K,Liberal,18 to 64,State,South,45 to 59,40 to 49,Republican,40 to 49,0.626
51.0,10.0,56.0,Third call,45-49,White,Male,Vinich,Farris,Approve,Disapprove,Neither,No,No,Yes,Better,Clinton,Something else,75 to 100K,Liberal,18 to 64,State,South,45 to 59,40 to 49,Independent/Other,40 to 49,0.502
51.0,10.0,57.0,Third call,30-39,White,Male,Geringer,Cubin,,Disapprove,Oppose Clinton,Yes,Yes,No,Worse,Dole,Republican,30 to 50K,Conservative,18 to 64,State,South,30 to 44,30 to 39,Republican,30 to 39,0.626
51.0,10.0,58.0,Third call,25-29,White,Female,Geringer,Cubin,Disapprove,Disapprove,Neither,Yes,Yes,,Better,Dole,Something else,50 to 75K,,18 to 64,State,South,18 to 29,25 to 29,Independent/Other,25 to 29,0.652
51.0,10.0,59.0,Third call,40-44,White,Male,Geringer,Cubin,Disapprove,Approve,Neither,Yes,Yes,Yes,Same,Dole,Republican,50 to 75K,Moderate,18 to 64,State,South,30 to 44,40 to 49,Republican,40 to 49,0.626
51.0,10.0,60.0,Third call,40-44,White,Male,Geringer,Cubin,Disapprove,Approve,Neither,No,Yes,Yes,Better,Dole,Republican,75 to 100K,Conservative,18 to 64,State,South,30 to 44,40 to 49,Republican,40 to 49,0.626
51.0,10.0,61.0,Third call,60-64,White,Male,Vinich,Farris,Approve,,Neither,No,No,No,Same,Clinton,Democrat,50 to 75K,Moderate,18 to 64,State,South,60 and over,60 and over,Democrat,50 to 64,0.61
51.0,10.0,62.0,Third call,60-64,White,Female,Vinich,Farris,Approve,Disapprove,Neither,No,No,No,Same,Clinton,Democrat,50 to 75K,Liberal,18 to 64,State,South,60 and over,60 and over,Democrat,50 to 64,0.5429999999999999
51.0,10.0,63.0,Third call,25-29,White,Female,Geringer,Cubin,Disapprove,Approve,Oppose Clinton,Yes,Yes,,Better,Dole,Republican,30 to 50K,Conservative,18 to 64,State,South,18 to 29,25 to 29,Republican,25 to 29,0.652
51.0,10.0,64.0,Third call,30-39,White,Female,Geringer,Cubin,Approve,Approve,Neither,No,No,,Same,Perot,Republican,,Moderate,18 to 64,State,South,30 to 44,30 to 39,Republican,30 to 39,0.5589999999999999
51.0,10.0,65.0,Third call,30-39,White,Female,Geringer,Cubin,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Better,Dole,Republican,,Conservative,18 to 64,State,South,30 to 44,30 to 39,Republican,30 to 39,0.5589999999999999
51.0,10.0,66.0,Third call,45-49,White,Female,,Farris,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Same,Dole,Something else,30 to 50K,Conservative,18 to 64,State,South,45 to 59,40 to 49,Independent/Other,40 to 49,0.463
51.0,10.0,67.0,Third call,40-44,White,Male,Geringer,Cubin,Disapprove,Approve,Oppose Clinton,Yes,No,,Better,Dole,Independent,,Conservative,18 to 64,State,South,30 to 44,40 to 49,Independent/Other,40 to 49,0.626
51.0,10.0,68.0,Third call,50-59,White,Female,Geringer,Cubin,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Same,Dole,Republican,50 to 75K,Conservative,18 to 64,State,South,45 to 59,50 to 59,Republican,50 to 64,0.5589999999999999
51.0,10.0,69.0,Third call,40-44,White,Female,Geringer,Other,Disapprove,Approve,Oppose Clinton,Yes,Yes,,Same,Dole,Republican,,Conservative,18 to 64,State,South,30 to 44,40 to 49,Republican,40 to 49,0.6289999999999999
51.0,10.0,70.0,Third call,25-29,White,Female,Geringer,Cubin,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Better,Clinton,Democrat,30 to 50K,Conservative,18 to 64,State,South,18 to 29,25 to 29,Democrat,25 to 29,0.652
51.0,10.0,71.0,Third call,30-39,White,Female,Geringer,Cubin,Approve,Approve,Neither,No,No,No,Better,Clinton,Republican,50 to 75K,Moderate,18 to 64,State,South,30 to 44,30 to 39,Republican,30 to 39,0.5589999999999999
51.0,10.0,72.0,Third call,18-24,White,Male,Geringer,Cubin,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Better,Did Not Vote,Republican,100K or more,Conservative,18 to 64,State,South,18 to 29,18 to 24,Republican,18 to 24,0.73
51.0,10.0,73.0,Third call,45-49,White,Female,Geringer,Cubin,Disapprove,,Neither,No,Yes,Yes,Better,Dole,Republican,100K or more,Conservative,18 to 64,State,South,45 to 59,40 to 49,Republican,40 to 49,0.5589999999999999
51.0,11.0,1.0,First call,40-44,White,Female,Geringer,Cubin,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Same,Did Not Vote,Republican,50 to 75K,Conservative,18 to 64,State,South,30 to 44,40 to 49,Republican,40 to 49,0.7529999999999999
51.0,11.0,2.0,First call,50-59,Other,Male,Geringer,Cubin,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Same,Dole,Something else,Under 15K,Moderate,18 to 64,State,South,45 to 59,50 to 59,Independent/Other,50 to 64,0.8440000000000001
51.0,11.0,3.0,First call,50-59,White,Female,Vinich,Cubin,Disapprove,Approve,Oppose Clinton,,Yes,Yes,Same,Dole,Republican,100K or more,Moderate,18 to 64,State,South,45 to 59,50 to 59,Republican,50 to 64,0.7269999999999999
51.0,11.0,4.0,First call,50-59,White,Female,Vinich,Farris,Approve,Disapprove,Support Clinton,No,No,,Worse,Clinton,Independent,15 to 30K,Moderate,18 to 64,State,South,45 to 59,50 to 59,Independent/Other,50 to 64,0.603
51.0,11.0,5.0,First call,30-39,White,Female,Geringer,Cubin,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Same,Dole,Republican,50 to 75K,Conservative,18 to 64,State,South,30 to 44,30 to 39,Republican,30 to 39,0.7529999999999999
51.0,11.0,6.0,First call,50-59,White,Male,Vinich,Farris,Approve,Disapprove,Neither,No,No,Yes,Worse,Clinton,Democrat,15 to 30K,Moderate,18 to 64,State,South,45 to 59,50 to 59,Democrat,50 to 64,0.6749999999999999
51.0,11.0,7.0,First call,45-49,White,Male,Geringer,Cubin,Approve,Disapprove,Support Clinton,No,No,No,Worse,Clinton,Republican,30 to 50K,,18 to 64,State,South,45 to 59,40 to 49,Republican,40 to 49,0.8440000000000001
51.0,11.0,8.0,First call,45-49,White,Female,Geringer,Cubin,Disapprove,Disapprove,Oppose Clinton,No,No,No,Same,Other,Something else,30 to 50K,Conservative,18 to 64,State,South,45 to 59,40 to 49,Independent/Other,40 to 49,0.7529999999999999
51.0,11.0,9.0,First call,60-64,White,Male,Geringer,Cubin,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Worse,Dole,Republican,50 to 75K,Conservative,18 to 64,State,South,60 and over,60 and over,Republican,50 to 64,1.023
51.0,11.0,10.0,First call,50-59,White,,Vinich,Farris,,Approve,Neither,No,Yes,Yes,Same,Clinton,Democrat,75 to 100K,Moderate,18 to 64,State,South,45 to 59,50 to 59,Democrat,50 to 64,0.603
51.0,11.0,11.0,First call,65 and over,White,Female,Geringer,Cubin,Disapprove,Approve,Oppose Clinton,No,No,Yes,Same,Dole,Republican,15 to 30K,Moderate,65 and over,State,South,60 and over,60 and over,Republican,65 and over,0.912
51.0,11.0,12.0,First call,65 and over,White,Male,Vinich,Cubin,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Same,Dole,,15 to 30K,Conservative,65 and over,State,South,60 and over,60 and over,,65 and over,0.989
51.0,11.0,13.0,First call,30-39,White,Male,Geringer,Cubin,Disapprove,Approve,Neither,Yes,Yes,Yes,Same,Dole,Republican,50 to 75K,Conservative,18 to 64,State,South,30 to 44,30 to 39,Republican,30 to 39,0.8440000000000001
51.0,11.0,14.0,First call,50-59,White,Female,Geringer,Farris,Approve,Disapprove,Neither,No,No,Yes,Better,Clinton,Republican,100K or more,Moderate,18 to 64,State,South,45 to 59,50 to 59,Republican,50 to 64,0.626
51.0,11.0,15.0,First call,40-44,White,Male,Geringer,Cubin,Approve,Disapprove,Neither,No,No,No,Better,Dole,Independent,50 to 75K,Moderate,18 to 64,State,South,30 to 44,40 to 49,Independent/Other,40 to 49,0.8440000000000001
51.0,11.0,16.0,First call,50-59,White,Female,Geringer,Cubin,Approve,Disapprove,Neither,No,No,No,Same,Dole,Independent,75 to 100K,Moderate,18 to 64,State,South,45 to 59,50 to 59,Independent/Other,50 to 64,0.7529999999999999
51.0,11.0,17.0,First call,45-49,White,Female,Geringer,Farris,Approve,Approve,Neither,Yes,Yes,Yes,Better,Clinton,Democrat,15 to 30K,Moderate,18 to 64,State,South,45 to 59,40 to 49,Democrat,40 to 49,0.626
51.0,11.0,18.0,First call,65 and over,White,Female,Geringer,Cubin,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Worse,Dole,Something else,Under 15K,Conservative,65 and over,State,South,60 and over,60 and over,Independent/Other,65 and over,0.912
51.0,11.0,19.0,Second call,40-44,White,Female,Geringer,Cubin,Approve,Disapprove,Neither,No,No,Yes,Same,Clinton,Republican,50 to 75K,Conservative,18 to 64,State,South,30 to 44,40 to 49,Republican,40 to 49,0.7529999999999999
51.0,11.0,20.0,Second call,40-44,White,Female,Geringer,Cubin,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Better,Dole,Republican,50 to 75K,Moderate,18 to 64,State,South,30 to 44,40 to 49,Republican,40 to 49,0.7529999999999999
51.0,11.0,21.0,Second call,45-49,White,Female,Geringer,Farris,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Same,Dole,Republican,30 to 50K,Conservative,18 to 64,State,South,45 to 59,40 to 49,Republican,40 to 49,0.626
51.0,11.0,22.0,Second call,45-49,White,Female,Vinich,Cubin,Approve,Approve,Support Clinton,No,No,No,Same,Dole,Independent,50 to 75K,Moderate,18 to 64,State,South,45 to 59,40 to 49,Independent/Other,40 to 49,0.7269999999999999
51.0,11.0,23.0,Second call,40-44,White,Female,Geringer,Cubin,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Better,Dole,Republican,75 to 100K,,18 to 64,State,South,30 to 44,40 to 49,Republican,40 to 49,0.7529999999999999
51.0,11.0,24.0,Second call,30-39,White,Female,Geringer,Farris,Approve,Approve,Neither,,Yes,No,Same,Clinton,Independent,50 to 75K,Moderate,18 to 64,State,South,30 to 44,30 to 39,Independent/Other,30 to 39,0.626
51.0,11.0,25.0,Second call,50-59,White,Male,Vinich,Cubin,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Same,Dole,Republican,100K or more,Conservative,18 to 64,State,South,45 to 59,50 to 59,Republican,50 to 64,0.8140000000000001
51.0,11.0,26.0,Second call,30-39,White,Female,Geringer,Cubin,Approve,Approve,Support Clinton,No,No,No,Better,Clinton,Republican,75 to 100K,Moderate,18 to 64,State,South,30 to 44,30 to 39,Republican,30 to 39,0.7529999999999999
51.0,11.0,27.0,Second call,50-59,White,Female,Vinich,Farris,Approve,Disapprove,Neither,No,No,No,Same,Clinton,Republican,Under 15K,Moderate,18 to 64,State,South,45 to 59,50 to 59,Republican,50 to 64,0.603
51.0,11.0,28.0,Second call,30-39,White,Male,Other,Other,Approve,Disapprove,Neither,No,No,Yes,Same,Clinton,Independent,30 to 50K,Conservative,18 to 64,State,South,30 to 44,30 to 39,Independent/Other,30 to 39,1.086
51.0,11.0,29.0,Second call,45-49,White,Male,Vinich,Cubin,Approve,Disapprove,Neither,No,No,No,Better,Perot,Republican,30 to 50K,Conservative,18 to 64,State,South,45 to 59,40 to 49,Republican,40 to 49,0.8140000000000001
51.0,11.0,30.0,Third call,50-59,White,Male,Vinich,Farris,Approve,Disapprove,Support Clinton,No,No,No,Better,Clinton,Republican,50 to 75K,Moderate,18 to 64,State,South,45 to 59,50 to 59,Republican,50 to 64,0.6749999999999999
51.0,11.0,31.0,Third call,60-64,White,Female,Geringer,Cubin,Disapprove,Disapprove,Oppose Clinton,Yes,,,Worse,Dole,Republican,15 to 30K,Conservative,18 to 64,State,South,60 and over,60 and over,Republican,50 to 64,0.912
51.0,11.0,32.0,Third call,30-39,White,Male,Geringer,Cubin,Approve,Approve,Neither,Yes,Yes,Yes,Same,Dole,Republican,50 to 75K,Moderate,18 to 64,State,South,30 to 44,30 to 39,Republican,30 to 39,0.8440000000000001
51.0,11.0,33.0,Third call,25-29,White,Female,Geringer,Farris,Approve,Disapprove,Neither,No,No,No,Same,Clinton,Democrat,15 to 30K,Liberal,18 to 64,State,South,18 to 29,25 to 29,Democrat,25 to 29,0.731
51.0,11.0,34.0,Third call,40-44,White,Female,Geringer,Cubin,Disapprove,Approve,Neither,Yes,Yes,Yes,Same,Other,Republican,50 to 75K,Conservative,18 to 64,State,South,30 to 44,40 to 49,Republican,40 to 49,0.7529999999999999
51.0,11.0,35.0,Third call,45-49,White,Male,Vinich,Cubin,Approve,Disapprove,Neither,No,No,Yes,Same,Clinton,Republican,50 to 75K,Moderate,18 to 64,State,South,45 to 59,40 to 49,Republican,40 to 49,0.8140000000000001
51.0,11.0,36.0,Third call,30-39,White,Female,Vinich,Cubin,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,No,Worse,,Republican,Under 15K,Moderate,18 to 64,State,South,30 to 44,30 to 39,Republican,30 to 39,0.7269999999999999
51.0,11.0,37.0,Third call,50-59,White,Male,Vinich,Farris,Disapprove,Disapprove,Neither,No,No,Yes,Worse,Clinton,Democrat,30 to 50K,Moderate,18 to 64,State,South,45 to 59,50 to 59,Democrat,50 to 64,0.6749999999999999
51.0,11.0,38.0,Third call,45-49,White,Female,Vinich,Cubin,Approve,Disapprove,Neither,No,No,Yes,Worse,Clinton,Republican,50 to 75K,Conservative,18 to 64,State,South,45 to 59,40 to 49,Republican,40 to 49,0.7269999999999999
51.0,11.0,39.0,Third call,40-44,White,Female,Vinich,Farris,Approve,Disapprove,Neither,No,No,Yes,Better,Clinton,Democrat,30 to 50K,Liberal,18 to 64,State,South,30 to 44,40 to 49,Democrat,40 to 49,0.603
51.0,11.0,40.0,Third call,50-59,White,Male,Vinich,Farris,Disapprove,Disapprove,Neither,Yes,No,No,Same,Other,Independent,30 to 50K,Liberal,18 to 64,State,South,45 to 59,50 to 59,Independent/Other,50 to 64,0.6749999999999999
