V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39
1.0,0.0,G,6.0,5.0,43.0,Third call,1.0,45-49,White,Male,Campbell,Owens,,No,Disapprove,Disapprove,White,Oppose Clinton,Yes,Yes,Yes,Yes,Same,Dole,Republican,Some college,100K or more,Conservative,18 to 64,National,Complete,Denver/Boulder,45 to 59,40 to 49,Republican,40 to 49,0.48800000000000004,
1.0,0.0,G,6.0,5.0,44.0,Third call,1.0,50-59,White,Male,Campbell,Owens,,No,Disapprove,Approve,White,Oppose Clinton,Yes,Yes,Yes,No,Better,Dole,Republican,College grad,100K or more,Conservative,18 to 64,National,Complete,Denver/Boulder,45 to 59,50 to 59,Republican,50 to 64,0.48800000000000004,
1.0,0.0,G,6.0,5.0,45.0,Third call,1.0,30-39,White,Female,Campbell,Schoettler,,No,Disapprove,Approve,White,Neither,No,Yes,Yes,Yes,Better,Clinton,Independent,College grad,15 to 30K,Moderate,18 to 64,National,Complete,Denver/Boulder,30 to 44,30 to 39,Independent/Other,30 to 39,0.611,
1.0,0.0,G,6.0,5.0,46.0,Third call,1.0,30-39,Hispanic,Female,Campbell,Owens,,Yes,Disapprove,Disapprove,White,Neither,Yes,Yes,Yes,Yes,Worse,Dole,Independent,College grad,30 to 50K,Conservative,18 to 64,National,Complete,Denver/Boulder,30 to 44,30 to 39,Independent/Other,30 to 39,0.435,
1.0,0.0,G,6.0,5.0,47.0,Third call,1.0,40-44,White,Female,Campbell,Other,,No,Approve,Disapprove,White,Neither,No,Yes,Yes,Yes,Better,Perot,Democrat,Some college,50 to 75K,Conservative,18 to 64,National,Complete,Denver/Boulder,30 to 44,40 to 49,Democrat,40 to 49,1.458,
1.0,0.0,G,6.0,5.0,48.0,Third call,1.0,25-29,White,Male,Campbell,Schoettler,,No,Approve,Disapprove,White,Neither,No,Yes,No,No,Better,Clinton,Republican,Postgrad,30 to 50K,Conservative,18 to 64,National,Complete,Denver/Boulder,18 to 29,25 to 29,Republican,25 to 29,0.62,
1.0,0.0,G,6.0,5.0,49.0,Third call,1.0,18-24,Hispanic,Male,Lamm,Schoettler,,Yes,,Approve,Hispanic,Neither,,,,,Better,,,Some college,,,18 to 64,National,Complete,Denver/Boulder,18 to 29,18 to 24,,18 to 24,0.586,
1.0,0.0,G,6.0,5.0,50.0,Third call,1.0,25-29,White,Female,Campbell,Owens,,No,Disapprove,Approve,White,Oppose Clinton,No,Yes,Yes,Yes,Same,Dole,Republican,Postgrad,15 to 30K,Conservative,18 to 64,National,Complete,Denver/Boulder,18 to 29,25 to 29,Republican,25 to 29,0.523,
1.0,0.0,G,6.0,5.0,51.0,Third call,1.0,40-44,White,Female,Campbell,Owens,,No,Disapprove,Disapprove,White,Neither,No,No,No,No,Better,Clinton,Republican,College grad,75 to 100K,Moderate,18 to 64,National,Complete,Denver/Boulder,30 to 44,40 to 49,Republican,40 to 49,0.501,
1.0,0.0,G,6.0,5.0,52.0,Third call,1.0,40-44,White,Male,Lamm,Schoettler,,No,Approve,Disapprove,White,Neither,No,No,No,Yes,Same,Dole,Republican,Postgrad,50 to 75K,Moderate,18 to 64,National,Complete,Denver/Boulder,30 to 44,40 to 49,Republican,40 to 49,0.6489999999999999,
1.0,0.0,G,6.0,5.0,53.0,Third call,1.0,25-29,Other,Female,Campbell,Schoettler,,No,Approve,Disapprove,Other,Neither,No,No,No,No,Worse,Clinton,Democrat,College grad,50 to 75K,Moderate,18 to 64,National,Complete,Denver/Boulder,18 to 29,25 to 29,Democrat,25 to 29,0.6349999999999999,
1.0,0.0,G,6.0,5.0,54.0,Third call,1.0,18-24,White,Female,Campbell,Owens,,No,Disapprove,,White,,Yes,No,No,,Same,Did not vote,Independent,Some college,,Moderate,18 to 64,National,Complete,Denver/Boulder,18 to 29,18 to 24,Independent/Other,18 to 24,0.523,
1.0,0.0,G,6.0,5.0,55.0,Third call,1.0,45-49,White,Female,Lamm,Schoettler,,No,Approve,,White,,,,,,Same,,Independent,,30 to 50K,Moderate,18 to 64,National,Complete,Denver/Boulder,45 to 59,40 to 49,Independent/Other,40 to 49,0.6669999999999999,
1.0,0.0,G,6.0,5.0,56.0,Third call,1.0,40-44,White,Male,Campbell,Owens,,No,Disapprove,,White,,,,,,Same,,Republican,,50 to 75K,Conservative,18 to 64,National,Complete,Denver/Boulder,30 to 44,40 to 49,Republican,40 to 49,0.48800000000000004,
1.0,0.0,G,6.0,5.0,57.0,Third call,1.0,18-24,White,Female,Lamm,Schoettler,,No,Approve,,White,,,,,,Same,,Independent,,30 to 50K,Moderate,18 to 64,National,Complete,Denver/Boulder,18 to 29,18 to 24,Independent/Other,18 to 24,0.694,
1.0,0.0,G,6.0,5.0,58.0,Third call,1.0,50-59,Hispanic,Female,Campbell,Owens,,Yes,Disapprove,,White,,,,,,Better,,Republican,,75 to 100K,Moderate,18 to 64,National,Complete,Denver/Boulder,45 to 59,50 to 59,Republican,50 to 64,0.435,
1.0,0.0,G,6.0,5.0,59.0,Third call,1.0,50-59,White,Male,Lamm,Owens,,No,Approve,,White,,,,,,Better,,Democrat,,50 to 75K,Liberal,18 to 64,National,Complete,Denver/Boulder,45 to 59,50 to 59,Democrat,50 to 64,0.534,
1.0,0.0,G,6.0,5.0,60.0,Third call,1.0,50-59,White,Male,Campbell,Schoettler,,No,Approve,,White,,,,,,Worse,,Republican,,100K or more,Moderate,18 to 64,National,Complete,Denver/Boulder,45 to 59,50 to 59,Republican,50 to 64,0.595,
1.0,0.0,G,6.0,5.0,61.0,Third call,1.0,65 and over,White,Male,Campbell,Schoettler,,No,Approve,,White,,,,,,Better,,Democrat,,50 to 75K,Liberal,65 and over,National,Complete,Denver/Boulder,60 and over,60 and over,Democrat,65 and over,0.867,
1.0,0.0,G,6.0,5.0,62.0,Third call,1.0,50-59,White,Female,Campbell,Schoettler,,No,Approve,,White,,,,,,Same,,Republican,,75 to 100K,Moderate,18 to 64,National,Complete,Denver/Boulder,45 to 59,50 to 59,Republican,50 to 64,0.611,
1.0,0.0,G,6.0,5.0,63.0,Third call,1.0,50-59,White,Male,Campbell,Owens,,No,Disapprove,,White,,,,,,Same,,Republican,,100K or more,Conservative,18 to 64,National,Complete,Denver/Boulder,45 to 59,50 to 59,Republican,50 to 64,0.48800000000000004,
1.0,0.0,G,6.0,5.0,64.0,Third call,1.0,40-44,White,Male,Campbell,Schoettler,,No,Disapprove,,White,,,,,,Same,,Republican,,30 to 50K,Moderate,18 to 64,National,Complete,Denver/Boulder,30 to 44,40 to 49,Republican,40 to 49,0.595,
1.0,0.0,G,6.0,5.0,65.0,Third call,1.0,30-39,White,Male,,,,,Approve,,White,,,,,,Better,,,,,Moderate,18 to 64,National,Complete,Denver/Boulder,30 to 44,30 to 39,,30 to 39,0.575,
1.0,0.0,G,6.0,5.0,66.0,Third call,1.0,40-44,White,Female,Campbell,Schoettler,,No,Approve,,White,,,,,,Same,,Democrat,,50 to 75K,Moderate,18 to 64,National,Complete,Denver/Boulder,30 to 44,40 to 49,Democrat,40 to 49,0.611,
1.0,0.0,G,6.0,5.0,67.0,Third call,1.0,40-44,White,Female,Lamm,Schoettler,,No,Approve,,White,,,,,,Worse,,Democrat,,15 to 30K,Liberal,18 to 64,National,Complete,Denver/Boulder,30 to 44,40 to 49,Democrat,40 to 49,0.6669999999999999,
1.0,0.0,G,6.0,5.0,68.0,Third call,1.0,50-59,White,Male,Lamm,Schoettler,,No,Approve,,White,,,,,,Better,,Republican,,75 to 100K,Conservative,18 to 64,National,Complete,Denver/Boulder,45 to 59,50 to 59,Republican,50 to 64,0.6489999999999999,
1.0,0.0,G,6.0,5.0,69.0,Third call,1.0,30-39,White,Female,Lamm,Schoettler,,No,Approve,,White,,,,,,Same,,Democrat,,30 to 50K,Moderate,18 to 64,National,Complete,Denver/Boulder,30 to 44,30 to 39,Democrat,30 to 39,0.6669999999999999,
1.0,0.0,G,6.0,5.0,70.0,Third call,1.0,50-59,White,Female,Campbell,Owens,,No,Approve,,White,,,,,,Better,,Republican,,75 to 100K,Liberal,18 to 64,National,Complete,Denver/Boulder,45 to 59,50 to 59,Republican,50 to 64,0.501,
1.0,0.0,G,6.0,5.0,71.0,Third call,1.0,40-44,Hispanic,Female,Campbell,Schoettler,,Yes,Approve,,Asian,,,,,,Better,,Democrat,,50 to 75K,Liberal,18 to 64,National,Complete,Denver/Boulder,30 to 44,40 to 49,Democrat,40 to 49,0.53,
1.0,0.0,G,6.0,5.0,72.0,Third call,1.0,50-59,White,Female,Lamm,Schoettler,,No,Approve,,White,,,,,,Better,,Democrat,,75 to 100K,Moderate,18 to 64,National,Complete,Denver/Boulder,45 to 59,50 to 59,Democrat,50 to 64,0.6669999999999999,
1.0,0.0,G,6.0,5.0,73.0,Third call,1.0,18-24,Black,Female,Lamm,Schoettler,,No,Approve,,Black,,,,,,Better,,Democrat,,15 to 30K,Liberal,18 to 64,National,Complete,Denver/Boulder,18 to 29,18 to 24,Democrat,18 to 24,0.601,
1.0,0.0,G,6.0,5.0,74.0,Third call,1.0,25-29,White,Female,Campbell,Schoettler,,No,Disapprove,,White,,,,,,Better,,Republican,,75 to 100K,Conservative,18 to 64,National,Complete,Denver/Boulder,18 to 29,25 to 29,Republican,25 to 29,0.6349999999999999,
1.0,0.0,G,6.0,5.0,75.0,Third call,1.0,30-39,White,Female,Campbell,Owens,,No,Disapprove,,White,,,,,,Worse,,Republican,,50 to 75K,Conservative,18 to 64,National,Complete,Denver/Boulder,30 to 44,30 to 39,Republican,30 to 39,0.501,
1.0,0.0,G,6.0,8.0,1.0,First call,1.0,65 and over,White,Female,Campbell,Schoettler,More,No,Approve,Disapprove,White,Neither,No,No,No,No,Worse,Clinton,Independent,College grad,15 to 30K,Moderate,65 and over,State,Complete,Denver/Boulder,60 and over,60 and over,Independent/Other,65 and over,0.711,Environment
1.0,0.0,G,6.0,8.0,2.0,First call,1.0,45-49,Asian,Male,Lamm,Schoettler,Less,No,Approve,Disapprove,Asian,Neither,No,Yes,Yes,Yes,Same,Dole,Democrat,Postgrad,30 to 50K,Liberal,18 to 64,State,Complete,Denver/Boulder,45 to 59,40 to 49,Democrat,40 to 49,0.5189999999999999,Taxes
1.0,0.0,G,6.0,8.0,3.0,First call,1.0,40-44,White,Female,Campbell,Owens,Less,No,Disapprove,Approve,White,Oppose Clinton,No,Yes,Yes,Yes,Same,Dole,Independent,Postgrad,30 to 50K,Moderate,18 to 64,State,Complete,Denver/Boulder,30 to 44,40 to 49,Independent/Other,40 to 49,0.42700000000000005,Health Care
1.0,0.0,G,6.0,8.0,4.0,First call,1.0,50-59,White,Female,Lamm,Owens,More,No,Approve,Approve,White,Support Clinton,Yes,No,No,No,Same,Clinton,Democrat,Some college,15 to 30K,Moderate,18 to 64,State,Complete,Denver/Boulder,45 to 59,50 to 59,Democrat,50 to 64,0.43700000000000006,Social Security
1.0,0.0,G,6.0,8.0,5.0,First call,1.0,50-59,White,Female,Lamm,Schoettler,More,No,,Disapprove,White,Neither,No,No,No,No,Same,Clinton,Democrat,HS grad,30 to 50K,,18 to 64,State,Complete,Denver/Boulder,45 to 59,50 to 59,Democrat,50 to 64,0.569,Health Care
1.0,0.0,G,6.0,8.0,6.0,First call,1.0,40-44,White,Male,Lamm,Schoettler,More,No,Disapprove,Approve,White,Neither,No,Yes,Yes,Yes,Better,Perot,Independent,College grad,50 to 75K,Moderate,18 to 64,State,Complete,Denver/Boulder,30 to 44,40 to 49,Independent/Other,40 to 49,0.5189999999999999,Abortion
1.0,0.0,G,6.0,8.0,7.0,First call,1.0,65 and over,White,Female,Campbell,Owens,Less,No,Disapprove,Disapprove,White,,Yes,,,,,,,,,,65 and over,State,Not complete,Denver/Boulder,60 and over,60 and over,,65 and over,0.583,Abortion
1.0,0.0,G,6.0,8.0,8.0,First call,1.0,50-59,White,Female,Campbell,Owens,Less,No,Approve,,White,Neither,No,No,No,,Worse,Did not vote,Independent,Some college,15 to 30K,Moderate,18 to 64,State,Complete,Denver/Boulder,45 to 59,50 to 59,Independent/Other,50 to 64,0.42700000000000005,
1.0,0.0,G,6.0,8.0,9.0,First call,1.0,40-44,White,Female,Campbell,Owens,More,No,Disapprove,Approve,White,Oppose Clinton,Yes,Yes,Yes,Yes,Better,Dole,Republican,College grad,50 to 75K,Conservative,18 to 64,State,Complete,Denver/Boulder,30 to 44,40 to 49,Republican,40 to 49,0.41100000000000003,Taxes
1.0,0.0,G,6.0,8.0,10.0,First call,1.0,30-39,White,Male,Campbell,Owens,Less,No,Disapprove,Approve,White,Neither,No,Yes,Yes,No,Better,Dole,Republican,HS grad,30 to 50K,Moderate,18 to 64,State,Complete,Denver/Boulder,30 to 44,30 to 39,Republican,30 to 39,0.41600000000000004,Taxes
1.0,0.0,G,6.0,8.0,11.0,First call,1.0,25-29,White,Female,Other,Owens,,No,Disapprove,Approve,White,Oppose Clinton,Yes,Yes,Yes,,Better,Dole,Republican,College grad,50 to 75K,Conservative,18 to 64,State,Complete,Denver/Boulder,18 to 29,25 to 29,Republican,25 to 29,0.298,Abortion
1.0,0.0,G,6.0,8.0,12.0,First call,1.0,45-49,White,Male,Campbell,Owens,Less,No,Approve,Approve,White,Oppose Clinton,Yes,Yes,Yes,Yes,Same,Dole,Republican,Postgrad,30 to 50K,Moderate,18 to 64,State,Complete,Denver/Boulder,45 to 59,40 to 49,Republican,40 to 49,0.41600000000000004,Clin/Lwnsky
1.0,0.0,G,6.0,8.0,13.0,First call,1.0,40-44,White,Male,Campbell,Owens,Less,No,Disapprove,Disapprove,White,Neither,No,No,Yes,Yes,Worse,Dole,Republican,College grad,75 to 100K,Conservative,18 to 64,State,Complete,Denver/Boulder,30 to 44,40 to 49,Republican,40 to 49,0.38899999999999996,Abortion
1.0,0.0,G,6.0,8.0,14.0,First call,1.0,65 and over,White,,Campbell,Owens,Less,No,Approve,Disapprove,White,Neither,No,Yes,Yes,Yes,Worse,Dole,Independent,HS grad,Under 15K,Conservative,65 and over,State,Complete,Denver/Boulder,60 and over,60 and over,Independent/Other,65 and over,0.606,Social Security
1.0,0.0,G,6.0,8.0,15.0,First call,1.0,30-39,White,Female,Campbell,Owens,,No,Disapprove,Approve,White,Neither,,No,Yes,,Same,Dole,Republican,HS grad,15 to 30K,Conservative,18 to 64,State,Complete,Denver/Boulder,30 to 44,30 to 39,Republican,30 to 39,0.42700000000000005,Abortion
1.0,0.0,G,6.0,8.0,16.0,Second call,1.0,40-44,White,Female,Lamm,Schoettler,More,No,Approve,Approve,White,Neither,No,No,No,No,Better,Clinton,Democrat,College grad,30 to 50K,Conservative,18 to 64,State,Complete,Denver/Boulder,30 to 44,40 to 49,Democrat,40 to 49,0.533,Environment
1.0,0.0,G,6.0,8.0,17.0,Second call,1.0,40-44,White,Male,Campbell,Owens,Less,No,Approve,Disapprove,White,Neither,No,No,No,No,Better,Perot,Independent,HS grad,30 to 50K,Liberal,18 to 64,State,Complete,Denver/Boulder,30 to 44,40 to 49,Independent/Other,40 to 49,0.38899999999999996,
