V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36
1.0,0.0,G,39.0,2.0,24.0,Third call,1.0,30-39,Black,Male,Lloyd,,Approve,Disapprove,Support Clinton,No,No,No,Same,Clinton,Democrat,College grad,50 to 75K,Conservative,18 to 64,State,Complete,Pittsburgh/West,30 to 44,30 to 39,Democrat,30 to 39,0.40900000000000003,Favorable,Yes
1.0,0.0,G,39.0,2.0,25.0,Third call,1.0,65 and over,Black,Female,Lloyd,Itkin,Approve,Disapprove,Support Clinton,No,No,No,Same,Clinton,Democrat,College grad,15 to 30K,Moderate,65 and over,State,Complete,Pittsburgh/West,60 and over,60 and over,Democrat,65 and over,0.44,Favorable,No
1.0,0.0,G,39.0,2.0,26.0,Third call,1.0,65 and over,Black,Female,Lloyd,Itkin,Approve,Disapprove,,,,,,,,,,,65 and over,State,Not complete,Pittsburgh/West,60 and over,60 and over,,65 and over,0.44,Favorable,No
1.0,0.0,G,39.0,2.0,27.0,Third call,1.0,40-44,Black,Female,Specter,Itkin,Approve,Approve,Neither,No,No,No,Better,Clinton,Democrat,College grad,15 to 30K,Liberal,18 to 64,State,Complete,Pittsburgh/West,30 to 44,40 to 49,Democrat,40 to 49,0.37399999999999994,Favorable,No
1.0,0.0,G,39.0,2.0,28.0,Third call,1.0,50-59,Black,Male,Lloyd,Itkin,Approve,Disapprove,Support Clinton,No,No,No,Better,Clinton,Democrat,,15 to 30K,Liberal,18 to 64,State,Complete,Pittsburgh/West,45 to 59,50 to 59,Democrat,50 to 64,0.38999999999999996,Favorable,Yes
1.0,0.0,G,39.0,2.0,29.0,Third call,1.0,65 and over,Black,Female,Specter,Ridge,,Disapprove,Support Clinton,No,No,,Same,Clinton,Democrat,HS grad,,Moderate,65 and over,State,Complete,Pittsburgh/West,60 and over,60 and over,Democrat,65 and over,0.506,Favorable,No
1.0,0.0,G,39.0,2.0,30.0,Third call,1.0,65 and over,Black,Female,Lloyd,Ridge,Approve,Disapprove,Support Clinton,No,No,No,Better,Clinton,Democrat,Some college,30 to 50K,Moderate,65 and over,State,Complete,Pittsburgh/West,60 and over,60 and over,Democrat,65 and over,0.47600000000000003,Favorable,No
1.0,0.0,G,39.0,2.0,31.0,Third call,1.0,30-39,Other,Male,Lloyd,Itkin,Approve,Disapprove,Support Clinton,No,No,Yes,Same,Clinton,Democrat,Some college,Under 15K,Moderate,18 to 64,State,Complete,Pittsburgh/West,30 to 44,30 to 39,Democrat,30 to 39,0.425,Favorable,Yes
1.0,0.0,G,39.0,2.0,32.0,Third call,1.0,50-59,Black,Female,Lloyd,Itkin,Approve,Approve,Support Clinton,No,No,No,Better,Clinton,Democrat,Some college,15 to 30K,Liberal,18 to 64,State,Complete,Pittsburgh/West,45 to 59,50 to 59,Democrat,50 to 64,0.352,Favorable,Yes
1.0,0.0,G,39.0,2.0,33.0,Third call,1.0,50-59,Black,Male,Other,Other,Approve,Disapprove,Neither,No,No,No,Same,Clinton,Something else,Some college,15 to 30K,Conservative,18 to 64,State,Complete,Pittsburgh/West,45 to 59,50 to 59,Independent/Other,50 to 64,0.5,Favorable,Yes
1.0,0.0,G,39.0,2.0,34.0,Third call,1.0,30-39,Black,Female,Specter,Luksik,Approve,Disapprove,Support Clinton,No,No,No,Better,Clinton,Democrat,Some college,50 to 75K,Moderate,18 to 64,State,Complete,Pittsburgh/West,30 to 44,30 to 39,Democrat,30 to 39,0.39799999999999996,Favorable,Yes
1.0,0.0,G,39.0,2.0,35.0,Third call,1.0,50-59,Black,Female,Lloyd,Itkin,Approve,Approve,Neither,No,No,No,Better,Clinton,Democrat,Some college,30 to 50K,Conservative,18 to 64,State,Complete,Pittsburgh/West,45 to 59,50 to 59,Democrat,50 to 64,0.352,Favorable,No
1.0,0.0,G,39.0,2.0,36.0,Third call,1.0,30-39,Black,Male,Specter,Itkin,Approve,Disapprove,Neither,No,Yes,No,Better,Clinton,Democrat,College grad,30 to 50K,Moderate,18 to 64,State,Complete,Pittsburgh/West,30 to 44,30 to 39,Democrat,30 to 39,0.41600000000000004,Unfavorable,Yes
1.0,0.0,G,39.0,2.0,37.0,Third call,1.0,,Black,Male,Lloyd,Ridge,Approve,Disapprove,Support Clinton,No,No,Yes,Better,Clinton,Democrat,HS grad,50 to 75K,Moderate,,State,Complete,Pittsburgh/West,,,Democrat,,0.423,Favorable,No
1.0,0.0,G,39.0,2.0,38.0,Third call,1.0,65 and over,Black,Female,Lloyd,Itkin,Approve,Disapprove,Support Clinton,No,No,No,Better,Clinton,Democrat,No HS,30 to 50K,Moderate,65 and over,State,Complete,Pittsburgh/West,60 and over,60 and over,Democrat,65 and over,0.44,Favorable,Yes
1.0,0.0,G,39.0,2.0,39.0,Third call,1.0,50-59,Black,Male,Lloyd,Itkin,,Disapprove,,No,No,No,Worse,Clinton,Democrat,HS grad,,Liberal,18 to 64,State,Complete,Pittsburgh/West,45 to 59,50 to 59,Democrat,50 to 64,0.38999999999999996,Favorable,No
1.0,0.0,G,39.0,2.0,40.0,Third call,1.0,30-39,Black,Female,Specter,Ridge,Approve,Disapprove,Neither,No,No,No,Same,Dole,Republican,Some college,50 to 75K,Conservative,18 to 64,State,Complete,Pittsburgh/West,30 to 44,30 to 39,Republican,30 to 39,0.404,Favorable,Yes
1.0,0.0,G,39.0,4.0,1.0,First call,1.0,45-49,White,Female,Specter,Ridge,Approve,Disapprove,Support Clinton,No,No,No,Same,Clinton,Democrat,HS grad,50 to 75K,Moderate,18 to 64,State,Complete,Pittsburgh/West,45 to 59,40 to 49,Democrat,40 to 49,0.991,Favorable,No
1.0,0.0,G,39.0,4.0,2.0,First call,1.0,60-64,White,Female,Lloyd,Itkin,Approve,Approve,Neither,No,No,No,Same,Clinton,Democrat,HS grad,Under 15K,Moderate,18 to 64,State,Complete,Pittsburgh/West,60 and over,60 and over,Democrat,50 to 64,1.079,Favorable,No
1.0,0.0,G,39.0,4.0,3.0,First call,1.0,40-44,White,Male,Lloyd,Itkin,Approve,Disapprove,,,,,,,,,,,18 to 64,State,Not complete,Pittsburgh/West,30 to 44,40 to 49,,40 to 49,0.959,Favorable,No
1.0,0.0,G,39.0,4.0,4.0,First call,1.0,65 and over,White,Female,Specter,Ridge,Approve,Approve,Support Clinton,No,No,No,Same,Clinton,Democrat,No HS,Under 15K,Moderate,65 and over,State,Complete,Pittsburgh/West,60 and over,60 and over,Democrat,65 and over,1.237,Favorable,No
1.0,0.0,G,39.0,4.0,5.0,First call,1.0,45-49,White,Male,Specter,Ridge,Approve,Disapprove,Neither,No,No,Yes,Better,Clinton,Republican,,100K or more,Moderate,18 to 64,State,Complete,Pittsburgh/West,45 to 59,40 to 49,Republican,40 to 49,1.101,,No
1.0,0.0,G,39.0,4.0,6.0,First call,1.0,30-39,White,Male,Specter,Ridge,Approve,Approve,Oppose Clinton,Yes,Yes,Yes,Better,Clinton,Republican,HS grad,15 to 30K,Moderate,18 to 64,State,Complete,Pittsburgh/West,30 to 44,30 to 39,Republican,30 to 39,1.101,Unfavorable,No
1.0,0.0,G,39.0,4.0,7.0,First call,1.0,40-44,White,Female,Lloyd,Itkin,Approve,Approve,Neither,No,No,No,Better,Clinton,Democrat,HS grad,15 to 30K,Moderate,18 to 64,State,Complete,Pittsburgh/West,30 to 44,40 to 49,Democrat,40 to 49,0.865,Favorable,Yes
1.0,0.0,G,39.0,4.0,8.0,Second call,1.0,65 and over,White,Male,Specter,Ridge,Disapprove,Approve,,,,,,,,,,,65 and over,State,Not complete,Pittsburgh/West,60 and over,60 and over,,65 and over,1.375,Unfavorable,Yes
1.0,0.0,G,39.0,4.0,9.0,Second call,1.0,65 and over,White,Female,Lloyd,Itkin,Disapprove,Disapprove,Neither,No,No,No,Worse,Dole,Democrat,No HS,,Moderate,65 and over,State,Complete,Pittsburgh/West,60 and over,60 and over,Democrat,65 and over,1.079,Unfavorable,No
1.0,0.0,G,39.0,4.0,10.0,Second call,1.0,18-24,White,Female,Specter,Itkin,Approve,Disapprove,Neither,No,No,No,Better,Clinton,Independent,Some college,15 to 30K,Liberal,18 to 64,State,Complete,Pittsburgh/West,18 to 29,18 to 24,Independent/Other,18 to 24,1.341,Favorable,No
1.0,0.0,G,39.0,4.0,11.0,Second call,1.0,40-44,Black,Male,Lloyd,Itkin,Disapprove,Approve,Oppose Clinton,Yes,No,Yes,Better,Perot,Democrat,Some college,15 to 30K,Conservative,18 to 64,State,Complete,Pittsburgh/West,30 to 44,40 to 49,Democrat,40 to 49,0.8840000000000001,Unfavorable,Yes
1.0,0.0,G,39.0,4.0,12.0,Second call,1.0,65 and over,White,Male,Lloyd,Itkin,Approve,Disapprove,Neither,No,No,No,Same,Clinton,Democrat,HS grad,30 to 50K,Moderate,65 and over,State,Complete,Pittsburgh/West,60 and over,60 and over,Democrat,65 and over,1.199,Favorable,No
1.0,0.0,G,39.0,4.0,13.0,Second call,1.0,50-59,White,Male,Lloyd,Itkin,Approve,Approve,Support Clinton,No,No,Yes,Same,Clinton,Democrat,Some college,50 to 75K,Conservative,18 to 64,State,Complete,Pittsburgh/West,45 to 59,50 to 59,Democrat,50 to 64,0.959,Unfavorable,Yes
1.0,0.0,G,39.0,4.0,14.0,Second call,1.0,65 and over,White,Female,Specter,Ridge,Disapprove,Approve,Neither,No,Yes,Yes,Same,Dole,Republican,HS grad,,Conservative,65 and over,State,Complete,Pittsburgh/West,60 and over,60 and over,Republican,65 and over,1.237,Unfavorable,No
1.0,0.0,G,39.0,4.0,15.0,Second call,1.0,65 and over,White,Female,,Itkin,Approve,Approve,Support Clinton,No,No,No,Same,Clinton,Republican,HS grad,Under 15K,Moderate,65 and over,State,Complete,Pittsburgh/West,60 and over,60 and over,Republican,65 and over,1.138,Favorable,No
1.0,0.0,G,39.0,4.0,16.0,Second call,1.0,40-44,White,Female,Lloyd,Itkin,Approve,Disapprove,Support Clinton,No,No,No,Same,Clinton,Democrat,Some college,15 to 30K,Moderate,18 to 64,State,Complete,Pittsburgh/West,30 to 44,40 to 49,Democrat,40 to 49,0.865,Unfavorable,Yes
1.0,0.0,G,39.0,4.0,17.0,Second call,1.0,30-39,White,Female,Lloyd,Itkin,Approve,Disapprove,Support Clinton,No,No,No,Better,Clinton,Democrat,HS grad,15 to 30K,Moderate,18 to 64,State,Complete,Pittsburgh/West,30 to 44,30 to 39,Democrat,30 to 39,0.865,,No
1.0,0.0,G,39.0,4.0,18.0,Third call,1.0,45-49,White,Male,Specter,Ridge,Approve,Approve,,,,,,,,,,,18 to 64,State,Not complete,Pittsburgh/West,45 to 59,40 to 49,,40 to 49,1.101,Unfavorable,No
1.0,0.0,G,39.0,4.0,19.0,Third call,1.0,30-39,White,Male,Lloyd,Itkin,Approve,Approve,Support Clinton,No,No,No,Same,Clinton,Democrat,Some college,Under 15K,Liberal,18 to 64,State,Complete,Pittsburgh/West,30 to 44,30 to 39,Democrat,30 to 39,0.959,Favorable,No
1.0,0.0,G,39.0,4.0,20.0,Third call,1.0,30-39,Black,Female,Lloyd,Ridge,Approve,Disapprove,Neither,No,No,No,Better,Clinton,Democrat,Some college,50 to 75K,Moderate,18 to 64,State,Complete,Pittsburgh/West,30 to 44,30 to 39,Democrat,30 to 39,0.859,Favorable,No
1.0,0.0,G,39.0,4.0,21.0,Third call,1.0,50-59,White,Female,Specter,Ridge,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Same,Perot,Republican,Some college,,Conservative,18 to 64,State,Complete,Pittsburgh/West,45 to 59,50 to 59,Republican,50 to 64,0.991,Unfavorable,No
1.0,0.0,G,39.0,4.0,22.0,Third call,1.0,65 and over,White,Female,Specter,Itkin,Approve,Disapprove,Neither,No,No,No,Same,Clinton,Democrat,HS grad,30 to 50K,Moderate,65 and over,State,Complete,Pittsburgh/West,60 and over,60 and over,Democrat,65 and over,1.1480000000000001,Favorable,Yes
1.0,0.0,G,39.0,4.0,23.0,Third call,1.0,50-59,White,Female,Lloyd,Itkin,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Same,Perot,Democrat,College grad,30 to 50K,Moderate,18 to 64,State,Complete,Pittsburgh/West,45 to 59,50 to 59,Democrat,50 to 64,0.865,Unfavorable,No
1.0,0.0,G,39.0,4.0,24.0,Third call,1.0,50-59,White,Female,Lloyd,Itkin,Approve,Disapprove,,,,,,,,,,,18 to 64,State,Not complete,Pittsburgh/West,45 to 59,50 to 59,,50 to 64,0.865,Favorable,No
1.0,0.0,G,39.0,4.0,25.0,Third call,1.0,18-24,White,Female,Specter,Ridge,Approve,Disapprove,Neither,No,No,No,Same,Clinton,Democrat,Some college,50 to 75K,Moderate,18 to 64,State,Complete,Pittsburgh/West,18 to 29,18 to 24,Democrat,18 to 24,1.4460000000000002,Favorable,Yes
1.0,0.0,G,39.0,4.0,26.0,Third call,1.0,60-64,White,Male,Lloyd,Itkin,Approve,Disapprove,,,,,,,,,,,18 to 64,State,Not complete,Pittsburgh/West,60 and over,60 and over,,50 to 64,1.199,Favorable,Yes
1.0,0.0,G,39.0,4.0,27.0,Third call,1.0,40-44,White,Female,Specter,Itkin,Disapprove,Approve,Neither,Yes,Yes,Yes,Same,Clinton,Democrat,Some college,15 to 30K,Moderate,18 to 64,State,Complete,Pittsburgh/West,30 to 44,40 to 49,Democrat,40 to 49,0.9189999999999999,Unfavorable,No
1.0,0.0,G,39.0,4.0,28.0,Third call,1.0,50-59,White,Female,Lloyd,Luksik,Approve,Disapprove,Neither,No,No,No,Worse,Clinton,Democrat,HS grad,15 to 30K,Moderate,18 to 64,State,Complete,Pittsburgh/West,45 to 59,50 to 59,Democrat,50 to 64,0.9189999999999999,Favorable,Yes
1.0,0.0,G,39.0,4.0,29.0,Third call,1.0,50-59,White,Female,Lloyd,Itkin,Approve,Disapprove,Neither,No,No,Yes,Worse,Clinton,Democrat,HS grad,30 to 50K,Conservative,18 to 64,State,Complete,Pittsburgh/West,45 to 59,50 to 59,Democrat,50 to 64,0.865,Favorable,Yes
1.0,0.0,G,39.0,4.0,30.0,Third call,1.0,30-39,White,Female,Specter,Ridge,Disapprove,Disapprove,Neither,No,Yes,Yes,Better,Clinton,Democrat,Some college,30 to 50K,Moderate,18 to 64,State,Complete,Pittsburgh/West,30 to 44,30 to 39,Democrat,30 to 39,0.991,Unfavorable,No
1.0,0.0,G,39.0,4.0,31.0,Third call,1.0,25-29,White,Female,Lloyd,Ridge,Approve,Disapprove,Support Clinton,No,No,No,Same,Clinton,Democrat,HS grad,30 to 50K,Moderate,18 to 64,State,Complete,Pittsburgh/West,18 to 29,25 to 29,Democrat,25 to 29,1.361,Unfavorable,No
1.0,0.0,G,39.0,4.0,32.0,Third call,1.0,65 and over,Black,Male,Lloyd,Itkin,Approve,Disapprove,,,,,,,,,,,65 and over,State,Not complete,Pittsburgh/West,60 and over,60 and over,,65 and over,1.102,Favorable,No
1.0,0.0,G,39.0,4.0,33.0,Third call,1.0,40-44,Black,Male,Lloyd,Itkin,Approve,Disapprove,Support Clinton,No,No,No,Better,Clinton,Democrat,HS grad,15 to 30K,Moderate,18 to 64,State,Complete,Pittsburgh/West,30 to 44,40 to 49,Democrat,40 to 49,0.8840000000000001,Favorable,Yes
1.0,0.0,G,39.0,5.0,1.0,Second call,1.0,65 and over,White,Male,Specter,Itkin,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Same,Dole,Democrat,College grad,Under 15K,Moderate,65 and over,National,Complete,Pittsburgh/West,60 and over,60 and over,Democrat,65 and over,1.9340000000000002,Unfavorable,No
1.0,0.0,G,39.0,5.0,2.0,Second call,1.0,65 and over,White,Male,Lloyd,Itkin,Approve,Disapprove,Support Clinton,No,No,No,Better,Clinton,Independent,No HS,,Moderate,65 and over,National,Complete,Pittsburgh/West,60 and over,60 and over,Independent/Other,65 and over,1.819,Favorable,Yes
1.0,0.0,G,39.0,5.0,3.0,Second call,1.0,25-29,White,Female,Specter,Ridge,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Same,Perot,Independent,Postgrad,15 to 30K,Moderate,18 to 64,National,Complete,Pittsburgh/West,18 to 29,25 to 29,Independent/Other,25 to 29,2.197,Unfavorable,No
1.0,0.0,G,39.0,5.0,4.0,Second call,1.0,50-59,White,Female,Lloyd,Ridge,Approve,Disapprove,Neither,No,No,Yes,Same,Clinton,Democrat,Some college,50 to 75K,Moderate,18 to 64,National,Complete,Pittsburgh/West,45 to 59,50 to 59,Democrat,50 to 64,1.416,,Yes
1.0,0.0,G,39.0,5.0,5.0,Second call,1.0,65 and over,White,Male,Specter,Ridge,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Better,Perot,Republican,Some college,75 to 100K,Conservative,65 and over,National,Complete,Pittsburgh/West,60 and over,60 and over,Republican,65 and over,2.088,Unfavorable,Yes
1.0,0.0,G,39.0,5.0,6.0,Second call,1.0,45-49,White,Male,Lloyd,Itkin,Approve,Disapprove,Support Clinton,No,No,No,Better,Clinton,Independent,Some college,75 to 100K,Conservative,18 to 64,National,Complete,Pittsburgh/West,45 to 59,40 to 49,Independent/Other,40 to 49,1.457,Favorable,Yes
1.0,0.0,G,39.0,5.0,7.0,Second call,1.0,65 and over,White,Female,Specter,Ridge,Approve,Disapprove,Neither,No,No,Yes,Same,Dole,Republican,HS grad,30 to 50K,Moderate,65 and over,National,Complete,Pittsburgh/West,60 and over,60 and over,Republican,65 and over,1.881,Unfavorable,No
1.0,0.0,G,39.0,5.0,8.0,Second call,1.0,50-59,White,Female,Specter,Ridge,Approve,Disapprove,Neither,No,No,Yes,Worse,Perot,Democrat,College grad,30 to 50K,Conservative,18 to 64,National,Complete,Pittsburgh/West,45 to 59,50 to 59,Democrat,50 to 64,1.508,Unfavorable,Yes
1.0,0.0,G,39.0,5.0,9.0,Second call,1.0,65 and over,White,Female,Specter,Ridge,,Disapprove,Support Clinton,No,No,No,Same,Clinton,Democrat,HS grad,,Moderate,65 and over,National,Complete,Pittsburgh/West,60 and over,60 and over,Democrat,65 and over,1.881,Favorable,No
1.0,0.0,G,39.0,5.0,10.0,Second call,1.0,65 and over,White,Female,Lloyd,Itkin,Approve,Disapprove,Support Clinton,No,No,No,Same,Clinton,Democrat,No HS,,Moderate,65 and over,National,Complete,Pittsburgh/West,60 and over,60 and over,Democrat,65 and over,1.6389999999999998,Unfavorable,No
1.0,0.0,G,39.0,5.0,11.0,Second call,1.0,18-24,White,Female,Lloyd,Itkin,Disapprove,Approve,Neither,No,No,No,Better,Clinton,Democrat,,50 to 75K,Moderate,18 to 64,National,Complete,Pittsburgh/West,18 to 29,18 to 24,Democrat,18 to 24,1.915,Favorable,No
1.0,0.0,G,39.0,5.0,12.0,Second call,1.0,65 and over,White,Female,Lloyd,Itkin,Approve,Disapprove,Support Clinton,No,No,No,Same,Clinton,Democrat,No HS,75 to 100K,Moderate,65 and over,National,Complete,Pittsburgh/West,60 and over,60 and over,Democrat,65 and over,1.6389999999999998,Unfavorable,No
1.0,0.0,G,39.0,5.0,13.0,Second call,1.0,65 and over,White,Female,Specter,Ridge,Disapprove,,,,,,Same,,Democrat,,30 to 50K,Moderate,65 and over,National,Complete,Pittsburgh/West,60 and over,60 and over,Democrat,65 and over,1.881,,
1.0,0.0,G,39.0,5.0,14.0,Second call,1.0,65 and over,White,Male,Lloyd,Ridge,Approve,,,,,,Better,,Democrat,,30 to 50K,Moderate,65 and over,National,Complete,Pittsburgh/West,60 and over,60 and over,Democrat,65 and over,1.963,,
1.0,0.0,G,39.0,5.0,15.0,Second call,1.0,30-39,White,Male,Specter,Ridge,Disapprove,,,,,,Same,,Republican,,30 to 50K,Conservative,18 to 64,National,Complete,Pittsburgh/West,30 to 44,30 to 39,Republican,30 to 39,1.673,,
1.0,0.0,G,39.0,5.0,16.0,Second call,1.0,60-64,White,Female,Specter,Itkin,Disapprove,,,,,,Better,,Independent,,,Moderate,18 to 64,National,Complete,Pittsburgh/West,60 and over,60 and over,Independent/Other,50 to 64,1.742,,
1.0,0.0,G,39.0,5.0,17.0,Second call,1.0,65 and over,White,Female,Specter,Itkin,Approve,,,,,,Same,,Independent,,,Liberal,65 and over,National,Complete,Pittsburgh/West,60 and over,60 and over,Independent/Other,65 and over,1.742,,
