State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Senator Vote,Governor Vote,Clinton Approval,Congress Approval,State lottery,Beasley: Personal life,Reason for Cong Vote,Religious Right,Hollings: Too long?,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,1996 vote,Party ID,Education,Income,Ideology,Age (65 and over),Video Poker,State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight 3 implied dec,Senate issues,Governor issues,Clinton as person
41.0,1.0,11.0,Second call,60-64,Black,Female,Hollings,Hodges,Approve,Approve,Favor,One factor,Support Clinton,Yes,,No,No,No,Better,Clinton,Democrat,Some college,15 to 30K,Moderate,18 to 64,Oppose,State,Complete,Rural,60 and over,60 and over,Democrat,50 to 64,1.682,Social Security,Education,Favorable
41.0,1.0,12.0,Second call,45-49,White,Male,Inglis,Beasley,Approve,Approve,Favor,Not a factor,Neither,No,Yes,No,No,Yes,Better,Clinton,Something else,HS grad,30 to 50K,Conservative,18 to 64,Oppose,State,Complete,Rural,45 to 59,40 to 49,Independent/Other,40 to 49,1.057,Taxes,Economy/jobs,Unfavorable
41.0,1.0,13.0,Second call,30-39,White,Female,Inglis,Beasley,Disapprove,Approve,Favor,One factor,Oppose Clinton,No,Yes,Yes,Yes,No,Same,Dole,Republican,Postgrad,50 to 75K,Moderate,18 to 64,Oppose,State,Complete,Rural,30 to 44,30 to 39,Republican,30 to 39,1.048,Taxes,Moral/ethic,Unfavorable
41.0,1.0,14.0,Second call,30-39,White,Male,Inglis,Beasley,Disapprove,Approve,Oppose,Not a factor,Neither,No,Yes,Yes,Yes,No,Better,Dole,Republican,College grad,75 to 100K,Conservative,18 to 64,Oppose,State,Complete,Rural,30 to 44,30 to 39,Republican,30 to 39,1.057,Taxes,State taxes,Unfavorable
41.0,1.0,15.0,Second call,50-59,White,Male,Hollings,Hodges,Approve,Disapprove,Favor,Not a factor,Support Clinton,No,Yes,No,No,No,Same,Did not vote,Independent,HS grad,50 to 75K,Moderate,18 to 64,Favor,State,Complete,Rural,45 to 59,50 to 59,Independent/Other,50 to 64,1.172,Health Care,Education,Favorable
41.0,1.0,16.0,Second call,25-29,Black,Female,Hollings,Hodges,Approve,Approve,Favor,Not a factor,Support Clinton,Yes,No,No,No,No,Better,Clinton,Democrat,HS grad,30 to 50K,Moderate,18 to 64,Favor,State,Complete,Rural,18 to 29,25 to 29,Democrat,25 to 29,1.469,Education,Economy/jobs,Favorable
41.0,1.0,17.0,Second call,50-59,White,Female,Inglis,Beasley,Disapprove,Approve,Oppose,One factor,Oppose Clinton,No,Yes,Yes,Yes,No,Same,Dole,Independent,Postgrad,75 to 100K,Conservative,18 to 64,Oppose,State,Complete,Rural,45 to 59,50 to 59,Independent/Other,50 to 64,1.048,Clin/Lwnsky,Gambling,Unfavorable
41.0,1.0,18.0,Second call,60-64,White,Female,Hollings,Beasley,Disapprove,Disapprove,Oppose,One factor,Neither,No,No,Yes,Yes,No,Same,Clinton,Something else,College grad,50 to 75K,Conservative,18 to 64,Oppose,State,Complete,Rural,60 and over,60 and over,Independent/Other,50 to 64,1.383,Taxes,Gambling,Unfavorable
41.0,1.0,19.0,Second call,65 and over,White,,Inglis,Beasley,Disapprove,Disapprove,Oppose,Not a factor,Neither,Yes,No,Yes,Yes,Yes,Same,Dole,Republican,Some college,15 to 30K,Conservative,65 and over,Oppose,State,Complete,Rural,60 and over,60 and over,Republican,65 and over,1.262,Education,Gambling,Unfavorable
41.0,1.0,20.0,Second call,50-59,White,Female,Hollings,Hodges,Approve,Approve,Favor,Not a factor,Neither,No,No,No,No,Yes,Same,Clinton,Independent,College grad,75 to 100K,Moderate,18 to 64,Favor,State,Complete,Rural,45 to 59,50 to 59,Independent/Other,50 to 64,1.161,Social Security,Economy/jobs,Unfavorable
41.0,1.0,21.0,Second call,30-39,Black,Male,Hollings,Hodges,Approve,Approve,Favor,Not a factor,Neither,Yes,No,No,No,Yes,Better,Clinton,Democrat,Some college,50 to 75K,Moderate,18 to 64,Oppose,State,Complete,Rural,30 to 44,30 to 39,Democrat,30 to 39,1.408,Education,Education,Unfavorable
41.0,1.0,22.0,Second call,60-64,White,Female,Inglis,Beasley,Disapprove,Disapprove,Oppose,One factor,Oppose Clinton,Yes,Yes,Yes,Yes,Yes,Same,Dole,Republican,HS grad,50 to 75K,Conservative,18 to 64,Oppose,State,Complete,Rural,60 and over,60 and over,Republican,50 to 64,1.262,Education,Moral/ethic,Unfavorable
41.0,1.0,23.0,Third call,65 and over,White,Male,Hollings,Hodges,Disapprove,Disapprove,Favor,One factor,Neither,No,No,Yes,Yes,Yes,Same,Dole,Independent,College grad,30 to 50K,Moderate,65 and over,Favor,State,Complete,Rural,60 and over,60 and over,Independent/Other,65 and over,1.414,Social Security,Moral/ethic,Unfavorable
41.0,1.0,24.0,Third call,60-64,White,Female,Hollings,Hodges,Approve,,,Not a factor,Neither,No,No,No,No,No,Better,Clinton,Democrat,Postgrad,50 to 75K,Liberal,18 to 64,,State,Complete,Rural,60 and over,60 and over,Democrat,50 to 64,1.401,Social Security,Education,Favorable
41.0,1.0,25.0,Third call,25-29,Black,Female,Hollings,Hodges,Approve,Approve,Favor,Not a factor,Neither,Yes,Yes,No,No,No,Better,Clinton,Democrat,College grad,Under 15K,Conservative,18 to 64,Favor,State,Complete,Rural,18 to 29,25 to 29,Democrat,25 to 29,1.469,Taxes,Education,Favorable
41.0,1.0,26.0,Third call,45-49,White,Female,Hollings,Hodges,Approve,Disapprove,Favor,Not a factor,Support Clinton,No,No,No,No,No,Better,Clinton,Democrat,Some college,50 to 75K,Moderate,18 to 64,Favor,State,Complete,Rural,45 to 59,40 to 49,Democrat,40 to 49,1.161,Clin/Lwnsky,Education,Favorable
41.0,1.0,27.0,Third call,25-29,White,Female,Inglis,Beasley,,,,One factor,,,No,,,,,,,,,,18 to 64,,State,Not complete,Rural,18 to 29,25 to 29,,25 to 29,1.104,Education,Gambling,
41.0,1.0,28.0,Third call,50-59,White,Male,Hollings,Hodges,Approve,Disapprove,Favor,Not a factor,Neither,No,No,No,No,No,Better,Perot,Independent,Some college,75 to 100K,Moderate,18 to 64,Oppose,State,Complete,Rural,45 to 59,50 to 59,Independent/Other,50 to 64,1.172,Social Security,Education,Favorable
41.0,1.0,29.0,Third call,40-44,White,Male,Inglis,Beasley,Disapprove,Approve,Oppose,Not a factor,Oppose Clinton,Yes,Yes,Yes,Yes,,Worse,Clinton,Independent,College grad,50 to 75K,Conservative,18 to 64,Oppose,State,Complete,Rural,30 to 44,40 to 49,Independent/Other,40 to 49,1.057,Clin/Lwnsky,Gambling,Unfavorable
41.0,1.0,30.0,Third call,65 and over,White,Male,Inglis,Beasley,Disapprove,Approve,Oppose,One factor,Oppose Clinton,No,Yes,Yes,Yes,No,Same,Dole,Republican,Postgrad,30 to 50K,Conservative,65 and over,Oppose,State,Complete,Rural,60 and over,60 and over,Republican,65 and over,1.274,Clin/Lwnsky,Gambling,Unfavorable
41.0,1.0,31.0,Third call,65 and over,White,Female,Inglis,Beasley,Disapprove,Approve,Favor,Not a factor,Neither,No,Yes,No,No,No,Same,Clinton,Republican,College grad,,Conservative,65 and over,Favor,State,Complete,Rural,60 and over,60 and over,Republican,65 and over,1.262,Social Security,Moral/ethic,Favorable
41.0,1.0,32.0,Third call,18-24,White,Female,Inglis,Beasley,Approve,Approve,Favor,Not a factor,Neither,Yes,No,No,No,No,Better,Clinton,Republican,Some college,50 to 75K,Moderate,18 to 64,Favor,State,Complete,Rural,18 to 29,18 to 24,Republican,18 to 24,1.104,Health Care,State taxes,Favorable
41.0,1.0,33.0,Third call,50-59,White,Female,Hollings,Hodges,Approve,Disapprove,Oppose,One factor,Neither,Yes,No,No,No,No,Worse,Did not vote,Democrat,Some college,15 to 30K,Conservative,18 to 64,Oppose,State,Complete,Rural,45 to 59,50 to 59,Democrat,50 to 64,1.161,Economy/jobs,Education,Unfavorable
41.0,1.0,34.0,Third call,45-49,Black,Male,Hollings,Hodges,Approve,Disapprove,Favor,One factor,Support Clinton,Yes,,No,No,Yes,Better,Clinton,Democrat,Some college,50 to 75K,Moderate,18 to 64,Oppose,State,Complete,Rural,45 to 59,40 to 49,Democrat,40 to 49,1.408,Health Care,Education,Favorable
41.0,1.0,35.0,Third call,25-29,White,Male,,Hodges,Disapprove,Disapprove,Favor,Not a factor,Neither,Yes,No,Yes,No,No,Worse,Other,Democrat,HS grad,,Conservative,18 to 64,Oppose,State,Complete,Rural,18 to 29,25 to 29,Democrat,25 to 29,1.203,Taxes,State taxes,Unfavorable
41.0,1.0,36.0,Third call,18-24,White,Female,Inglis,Beasley,Disapprove,Disapprove,Favor,Not a factor,Neither,No,Yes,No,Yes,Yes,Better,Did not vote,Republican,Some college,15 to 30K,Conservative,18 to 64,Oppose,State,Complete,Rural,18 to 29,18 to 24,Republican,18 to 24,1.104,Education,Moral/ethic,Unfavorable
41.0,1.0,37.0,Third call,18-24,White,Female,Inglis,Beasley,Disapprove,Approve,Favor,One factor,Oppose Clinton,Yes,No,Yes,Yes,Yes,Same,Did not vote,Republican,HS grad,75 to 100K,Conservative,18 to 64,Oppose,State,Complete,Rural,18 to 29,18 to 24,Republican,18 to 24,1.104,Education,Moral/ethic,Unfavorable
41.0,1.0,38.0,Third call,40-44,White,Female,,Hodges,Approve,Approve,Favor,Not a factor,Neither,Yes,No,No,No,No,Same,Clinton,Democrat,College grad,50 to 75K,Conservative,18 to 64,Favor,State,Complete,Rural,30 to 44,40 to 49,Democrat,40 to 49,1.1320000000000001,Education,State taxes,Favorable
41.0,1.0,39.0,Third call,40-44,White,Female,Inglis,Beasley,,,Favor,One factor,Neither,,,,,Yes,Same,Dole,Republican,College grad,50 to 75K,Moderate,18 to 64,Oppose,State,Complete,Rural,30 to 44,40 to 49,Republican,40 to 49,1.048,Education,Education,Unfavorable
41.0,4.0,1.0,First call,45-49,White,Male,Inglis,Beasley,Disapprove,Disapprove,Oppose,One factor,Oppose Clinton,No,Yes,Yes,Yes,,Same,Dole,Republican,College grad,75 to 100K,Conservative,18 to 64,Oppose,State,Complete,High Republican,45 to 59,40 to 49,Republican,40 to 49,0.959,Taxes,Moral/ethic,Unfavorable
41.0,4.0,2.0,First call,60-64,White,Male,Inglis,Beasley,Disapprove,Approve,Oppose,One factor,Neither,Yes,Yes,Yes,No,No,Better,Dole,Republican,No HS,75 to 100K,Conservative,18 to 64,Oppose,State,Complete,High Republican,60 and over,60 and over,Republican,50 to 64,1.394,Clin/Lwnsky,Moral/ethic,Unfavorable
41.0,4.0,3.0,First call,40-44,White,Male,Hollings,Hodges,Approve,Disapprove,Favor,Not a factor,Support Clinton,No,No,No,No,No,Better,Clinton,Democrat,Postgrad,100K or more,Moderate,18 to 64,Favor,State,Complete,High Republican,30 to 44,40 to 49,Democrat,40 to 49,1.041,,,
41.0,4.0,4.0,First call,18-24,White,Female,Hollings,Beasley,Approve,Disapprove,Favor,One factor,Support Clinton,No,Yes,No,No,No,Better,Clinton,Democrat,HS grad,,Liberal,18 to 64,Favor,State,Complete,High Republican,18 to 29,18 to 24,Democrat,18 to 24,1.069,Health Care,Economy/jobs,Favorable
41.0,4.0,5.0,First call,50-59,White,Male,Hollings,Beasley,Approve,Disapprove,Favor,Not a factor,Neither,No,No,Yes,Yes,Yes,Same,Dole,Republican,Postgrad,100K or more,Conservative,18 to 64,Favor,State,Complete,High Republican,45 to 59,50 to 59,Republican,50 to 64,1.027,Health Care,Economy/jobs,Unfavorable
41.0,4.0,6.0,First call,30-39,White,Male,Inglis,Beasley,Disapprove,Approve,Favor,One factor,Oppose Clinton,No,Yes,Yes,Yes,No,Better,Dole,Independent,College grad,,Conservative,18 to 64,Favor,State,Complete,High Republican,30 to 44,30 to 39,Independent/Other,30 to 39,0.959,Taxes,Education,Unfavorable
41.0,4.0,7.0,First call,45-49,White,Male,Inglis,Beasley,Disapprove,Approve,Oppose,One factor,Oppose Clinton,Yes,Yes,Yes,Yes,No,Same,Dole,Republican,Some college,50 to 75K,Conservative,18 to 64,Oppose,State,Complete,High Republican,45 to 59,40 to 49,Republican,40 to 49,0.959,Clin/Lwnsky,Gambling,Unfavorable
41.0,4.0,8.0,First call,45-49,White,Male,Inglis,Hodges,Approve,Disapprove,Favor,Not a factor,Oppose Clinton,No,Yes,No,No,Yes,Better,Dole,Republican,Postgrad,50 to 75K,Moderate,18 to 64,Favor,State,Complete,High Republican,45 to 59,40 to 49,Republican,40 to 49,0.971,Education,State taxes,Unfavorable
41.0,4.0,9.0,First call,30-39,White,Female,Inglis,Beasley,Disapprove,Disapprove,Favor,Most important,Oppose Clinton,No,Yes,Yes,Yes,No,Same,Dole,Republican,Some college,50 to 75K,Conservative,18 to 64,Oppose,State,Complete,High Republican,30 to 44,30 to 39,Republican,30 to 39,0.9560000000000001,Social Security,Intl trade,Unfavorable
41.0,4.0,10.0,Second call,60-64,White,Female,Inglis,Beasley,Disapprove,Approve,Oppose,Not a factor,Neither,No,Yes,Yes,Yes,No,Same,Dole,Republican,,75 to 100K,Conservative,18 to 64,Oppose,State,Complete,High Republican,60 and over,60 and over,Republican,50 to 64,1.39,Economy/jobs,Economy/jobs,Unfavorable
41.0,4.0,11.0,Second call,25-29,White,Male,Inglis,Beasley,Disapprove,Disapprove,Oppose,Not a factor,Oppose Clinton,Yes,Yes,Yes,Yes,No,Same,Dole,Republican,Postgrad,15 to 30K,Conservative,18 to 64,Oppose,State,Complete,High Republican,18 to 29,25 to 29,Republican,25 to 29,1.003,Taxes,Economy/jobs,Unfavorable
41.0,4.0,12.0,Second call,45-49,Black,Male,Hollings,Hodges,Approve,Disapprove,Oppose,Not a factor,Neither,No,No,No,No,Yes,Same,Clinton,Independent,Postgrad,30 to 50K,Moderate,18 to 64,Oppose,State,Complete,High Republican,45 to 59,40 to 49,Independent/Other,40 to 49,1.136,Education,Education,Unfavorable
41.0,4.0,13.0,Second call,40-44,White,Female,Hollings,Beasley,Approve,Disapprove,Oppose,One factor,Neither,Yes,Yes,No,No,Yes,Same,Clinton,Republican,College grad,30 to 50K,Conservative,18 to 64,Oppose,State,Complete,High Republican,30 to 44,40 to 49,Republican,40 to 49,1.023,Education,Education,Unfavorable
41.0,4.0,14.0,Second call,65 and over,White,Female,Inglis,Beasley,Disapprove,Disapprove,Oppose,One factor,Neither,,Yes,Yes,Yes,No,Better,Dole,Independent,Some college,100K or more,Moderate,65 and over,Oppose,State,Complete,High Republican,60 and over,60 and over,Independent/Other,65 and over,1.39,,Moral/ethic,Unfavorable
41.0,4.0,15.0,Second call,50-59,,Female,Hollings,Hodges,Disapprove,Disapprove,Favor,Most important,Oppose Clinton,Yes,No,Yes,Yes,Yes,Same,Dole,Independent,,50 to 75K,Moderate,18 to 64,Favor,State,Complete,High Republican,45 to 59,50 to 59,Independent/Other,50 to 64,1.037,,,Unfavorable
41.0,4.0,16.0,Second call,50-59,White,Female,Inglis,Hodges,Disapprove,Approve,Favor,Not a factor,Neither,No,No,Yes,Yes,No,Same,Perot,Republican,Some college,75 to 100K,Moderate,18 to 64,Oppose,State,Complete,High Republican,45 to 59,50 to 59,Republican,50 to 64,0.968,Economy/jobs,Economy/jobs,Unfavorable
41.0,4.0,17.0,Second call,50-59,White,Female,Inglis,Beasley,,Approve,Oppose,Most important,Oppose Clinton,Yes,Yes,Yes,Yes,Yes,Same,Dole,Republican,College grad,75 to 100K,Conservative,18 to 64,Oppose,State,Complete,High Republican,45 to 59,50 to 59,Republican,50 to 64,0.9560000000000001,,Gambling,Unfavorable
41.0,4.0,18.0,Second call,65 and over,White,Female,Inglis,Beasley,Approve,,Oppose,One factor,Neither,No,,,,,Worse,Dole,Republican,,Under 15K,Moderate,65 and over,Oppose,State,Complete,High Republican,60 and over,60 and over,Republican,65 and over,1.39,Social Security,Gambling,Unfavorable
41.0,4.0,19.0,Third call,50-59,White,Male,Inglis,Beasley,Disapprove,Approve,Oppose,One factor,Neither,Yes,Yes,No,Yes,Yes,Same,Dole,Republican,Some college,30 to 50K,Conservative,18 to 64,Oppose,State,Complete,High Republican,45 to 59,50 to 59,Republican,50 to 64,0.959,Education,Moral/ethic,Unfavorable
41.0,4.0,20.0,Third call,40-44,White,Female,Inglis,Beasley,Disapprove,Approve,Oppose,One factor,Oppose Clinton,Yes,Yes,Yes,Yes,Yes,Better,Dole,Republican,HS grad,,Conservative,18 to 64,Oppose,State,Complete,High Republican,30 to 44,40 to 49,Republican,40 to 49,0.9560000000000001,Taxes,Moral/ethic,Unfavorable
41.0,4.0,21.0,Third call,50-59,White,Male,Inglis,Beasley,Disapprove,Disapprove,Oppose,One factor,Oppose Clinton,Yes,,Yes,Yes,No,Same,Dole,Republican,Some college,100K or more,Conservative,18 to 64,Oppose,State,Complete,High Republican,45 to 59,50 to 59,Republican,50 to 64,0.959,Clin/Lwnsky,Gambling,Unfavorable
41.0,4.0,22.0,Third call,65 and over,White,Male,Hollings,Hodges,,,,Not a factor,,,No,,,,,,,,,,65 and over,,State,Not complete,High Republican,60 and over,60 and over,,65 and over,1.51,Social Security,Gambling,
41.0,4.0,23.0,Third call,50-59,White,Female,Inglis,Beasley,Disapprove,Approve,Favor,Not a factor,Oppose Clinton,Yes,Yes,No,Yes,Yes,Same,Dole,Republican,Some college,30 to 50K,Conservative,18 to 64,Oppose,State,Complete,High Republican,45 to 59,50 to 59,Republican,50 to 64,0.9560000000000001,Social Security,Gambling,Unfavorable
41.0,4.0,24.0,Third call,45-49,Black,Female,Hollings,Other,Approve,Disapprove,Favor,Not a factor,Neither,No,Yes,No,No,No,Same,Clinton,Independent,Some college,15 to 30K,Conservative,18 to 64,Oppose,State,Complete,High Republican,45 to 59,40 to 49,Independent/Other,40 to 49,1.118,Education,Education,Favorable
41.0,4.0,25.0,Third call,30-39,White,Male,Inglis,Beasley,Approve,Approve,Oppose,Not a factor,Neither,No,Yes,Yes,Yes,Yes,Better,Perot,Republican,College grad,50 to 75K,Conservative,18 to 64,Oppose,State,Complete,High Republican,30 to 44,30 to 39,Republican,30 to 39,0.959,,,Unfavorable
41.0,4.0,26.0,Third call,45-49,White,Male,Hollings,Beasley,Approve,Approve,Oppose,Not a factor,Neither,No,No,No,No,Yes,Better,Clinton,Democrat,Postgrad,50 to 75K,Moderate,18 to 64,Oppose,State,Complete,High Republican,45 to 59,40 to 49,Democrat,40 to 49,1.027,Social Security,Economy/jobs,Favorable
41.0,4.0,27.0,Third call,60-64,White,Female,Inglis,Beasley,Disapprove,Approve,Favor,One factor,Oppose Clinton,Yes,Yes,Yes,Yes,,Same,Dole,Republican,HS grad,30 to 50K,Conservative,18 to 64,Oppose,State,Complete,High Republican,60 and over,60 and over,Republican,50 to 64,1.39,Taxes,Education,Unfavorable
41.0,4.0,28.0,Third call,18-24,White,Male,Inglis,Beasley,Disapprove,Disapprove,Favor,Not a factor,Oppose Clinton,No,Yes,No,Yes,Yes,Better,Dole,Republican,Some college,15 to 30K,Moderate,18 to 64,Favor,State,Complete,High Republican,18 to 29,18 to 24,Republican,18 to 24,1.003,Education,State taxes,Unfavorable
41.0,4.0,29.0,Third call,40-44,White,Female,Inglis,Beasley,Disapprove,Disapprove,Oppose,One factor,Neither,Yes,Yes,Yes,Yes,Yes,Same,Perot,Independent,,50 to 75K,Conservative,18 to 64,Oppose,State,Complete,High Republican,30 to 44,40 to 49,Independent/Other,40 to 49,0.9560000000000001,,Moral/ethic,Unfavorable
41.0,4.0,30.0,Third call,65 and over,White,,Inglis,Beasley,Disapprove,Approve,Oppose,,Oppose Clinton,,,,Yes,,Same,Dole,Republican,,Under 15K,Conservative,65 and over,,State,Complete,High Republican,60 and over,60 and over,Republican,65 and over,1.394,,Moral/ethic,Favorable
41.0,4.0,31.0,Third call,45-49,White,Male,Inglis,Beasley,Disapprove,Approve,Oppose,One factor,Neither,Yes,Yes,Yes,Yes,No,Better,Dole,Republican,Some college,30 to 50K,Conservative,18 to 64,Oppose,State,Complete,High Republican,45 to 59,40 to 49,Republican,40 to 49,0.959,Education,Gambling,Unfavorable
41.0,4.0,32.0,Third call,30-39,Black,Male,Hollings,Hodges,Approve,Disapprove,Favor,Not a factor,Support Clinton,No,No,No,No,No,Better,Clinton,Democrat,College grad,75 to 100K,Moderate,18 to 64,Favor,State,Complete,High Republican,30 to 44,30 to 39,Democrat,30 to 39,1.136,Economy/jobs,Education,Favorable
41.0,4.0,33.0,Third call,45-49,White,Male,Inglis,Beasley,Disapprove,Disapprove,Favor,Not a factor,Oppose Clinton,Yes,Yes,Yes,Yes,Yes,Same,Other,Independent,College grad,75 to 100K,Moderate,18 to 64,Oppose,State,Complete,High Republican,45 to 59,40 to 49,Independent/Other,40 to 49,0.959,Taxes,State taxes,Unfavorable
41.0,4.0,34.0,Third call,45-49,White,Male,Inglis,Hodges,Approve,Disapprove,Favor,Not a factor,Neither,No,Yes,No,No,Yes,Same,Dole,Something else,College grad,30 to 50K,Conservative,18 to 64,Favor,State,Complete,High Republican,45 to 59,40 to 49,Independent/Other,40 to 49,0.971,Economy/jobs,Confederate flag,Unfavorable
41.0,4.0,35.0,Third call,45-49,White,Male,Inglis,Hodges,Disapprove,Approve,Favor,Not a factor,Neither,No,Yes,No,No,Yes,Same,Dole,Republican,College grad,100K or more,Conservative,18 to 64,Favor,State,Complete,High Republican,45 to 59,40 to 49,Republican,40 to 49,0.971,Education,Education,Unfavorable
41.0,4.0,36.0,Third call,40-44,White,Female,,Beasley,Approve,Approve,Favor,Not a factor,Neither,No,,No,No,No,Same,Did not vote,Republican,Some college,,Conservative,18 to 64,Favor,State,Complete,High Republican,30 to 44,40 to 49,Republican,40 to 49,0.988,Education,Education,Favorable
41.0,4.0,37.0,Third call,40-44,White,Female,Hollings,Hodges,Approve,Approve,Favor,Not a factor,Neither,No,No,No,No,Yes,Better,Clinton,Democrat,Some college,50 to 75K,Liberal,18 to 64,Favor,State,Complete,High Republican,30 to 44,40 to 49,Democrat,40 to 49,1.037,Taxes,Moral/ethic,Favorable
41.0,4.0,38.0,Third call,45-49,White,Female,Inglis,Hodges,Approve,Disapprove,Favor,Not a factor,Neither,Yes,Yes,Yes,Yes,Yes,Same,Dole,Republican,HS grad,30 to 50K,Conservative,18 to 64,Favor,State,Complete,High Republican,45 to 59,40 to 49,Republican,40 to 49,0.968,Education,Education,Unfavorable
41.0,4.0,39.0,Third call,30-39,White,Male,Hollings,Beasley,Disapprove,Disapprove,Favor,Not a factor,Neither,No,Yes,No,Yes,Yes,Same,Clinton,Republican,College grad,75 to 100K,Moderate,18 to 64,Oppose,State,Complete,High Republican,30 to 44,30 to 39,Republican,30 to 39,1.027,,Gambling,Unfavorable
41.0,8.0,1.0,First call,40-44,White,Female,Inglis,Beasley,Disapprove,Disapprove,Oppose,One factor,Neither,No,No,No,Yes,No,Same,Dole,Republican,Some college,30 to 50K,Conservative,18 to 64,Oppose,State,Complete,Rural,30 to 44,40 to 49,Republican,40 to 49,1.018,Taxes,Gambling,Unfavorable
41.0,8.0,2.0,First call,50-59,White,Male,Hollings,Hodges,Disapprove,Disapprove,Favor,Not a factor,Neither,No,No,No,Yes,No,Better,Dole,Independent,College grad,50 to 75K,Moderate,18 to 64,Oppose,State,Complete,Rural,45 to 59,50 to 59,Independent/Other,50 to 64,1.14,Economy/jobs,Moral/ethic,Unfavorable
41.0,8.0,3.0,First call,60-64,Black,Male,,Hodges,Approve,Disapprove,Favor,,Support Clinton,Yes,No,No,Yes,No,Better,Clinton,Independent,HS grad,75 to 100K,,18 to 64,Favor,State,Complete,Rural,60 and over,60 and over,Independent/Other,50 to 64,1.607,,,Favorable
41.0,8.0,4.0,First call,45-49,Black,Male,,Hodges,Approve,Approve,Favor,One factor,Support Clinton,Yes,No,No,No,No,Same,Clinton,Democrat,College grad,15 to 30K,Conservative,18 to 64,Favor,State,Complete,Rural,45 to 59,40 to 49,Democrat,40 to 49,1.333,Social Security,Moral/ethic,Favorable
