State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Governor Vote,Clinton Approval,Congress Approval,If only these cands,Reason for Cong Vote,State economy condition,Carry weapon easier?,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,1996 vote,Taxes for stadiums,Party ID,Education,Income,Ideology,Age (65 and over),State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight (3 implied dec places),Governor issues,Future of st economy,Clinton as person
24.0,8.0,37.0,Third call,40-44,White,Female,Humphrey,Approve,Disapprove,Humphrey,Neither,Good,No,No,No,No,Better,Clinton,Oppose,Independent,College grad,50 to 75K,Liberal,18 to 64,2.0,Complete,Rep areas,30 to 44,40 to 49,Independent/Other,40 to 49,0.777,State taxes,Better,Favorable
24.0,8.0,38.0,Third call,45-49,White,Female,Ventura,Disapprove,Disapprove,Would not vote,Neither,Good,Yes,Yes,Yes,Yes,Better,Dole,Oppose,Independent,Some college,50 to 75K,Conservative,18 to 64,2.0,Complete,Rep areas,45 to 59,40 to 49,Independent/Other,40 to 49,1.896,Gun Control,About the same,Unfavorable
24.0,8.0,39.0,Third call,45-49,White,Female,Coleman,Disapprove,Approve,Coleman,Neither,Good,No,Yes,Yes,Yes,Better,Dole,Oppose,Republican,Some college,50 to 75K,Moderate,18 to 64,2.0,Complete,Rep areas,45 to 59,40 to 49,Republican,40 to 49,0.989,State taxes,Better,Unfavorable
24.0,8.0,40.0,Third call,45-49,White,Female,Ventura,Approve,Approve,Humphrey,Neither,Excellent,No,Yes,Yes,Yes,Worse,Clinton,Oppose,Independent,Postgrad,30 to 50K,Liberal,18 to 64,2.0,Complete,Rep areas,45 to 59,40 to 49,Independent/Other,40 to 49,1.896,Education,Worse,Unfavorable
24.0,8.0,41.0,Third call,45-49,White,Female,Coleman,Disapprove,Disapprove,Coleman,Neither,Good,No,Yes,Yes,Yes,Same,Dole,Oppose,Republican,College grad,50 to 75K,Conservative,18 to 64,2.0,Complete,Rep areas,45 to 59,40 to 49,Republican,40 to 49,0.989,Abortion,About the same,Unfavorable
24.0,8.0,42.0,Third call,30-39,White,Female,Coleman,Disapprove,Disapprove,Coleman,Neither,Good,No,No,Yes,Yes,Better,Clinton,Oppose,Democrat,College grad,50 to 75K,Moderate,18 to 64,2.0,Complete,Rep areas,30 to 44,30 to 39,Democrat,30 to 39,0.989,Education,About the same,Unfavorable
24.0,8.0,43.0,Third call,40-44,White,Female,Coleman,Disapprove,Approve,Coleman,Neither,Good,No,Yes,Yes,Yes,Better,Did not vote,Oppose,Republican,HS grad,15 to 30K,Moderate,18 to 64,2.0,Complete,Rep areas,30 to 44,40 to 49,Republican,40 to 49,0.989,State taxes,About the same,Unfavorable
24.0,8.0,44.0,Third call,65 and over,White,Male,Coleman,Approve,Disapprove,Humphrey,Neither,Good,No,No,No,No,Better,Dole,Oppose,Republican,Some college,30 to 50K,Moderate,65 and over,2.0,Complete,Rep areas,60 and over,60 and over,Republican,65 and over,1.33,State taxes,About the same,Favorable
24.0,8.0,45.0,Third call,45-49,White,Male,Coleman,Approve,Disapprove,Coleman,Neither,Excellent,No,No,No,No,Better,Clinton,Favor,Democrat,Postgrad,100K or more,Liberal,18 to 64,2.0,Complete,Rep areas,45 to 59,40 to 49,Democrat,40 to 49,1.105,Economy/jobs,About the same,Favorable
24.0,8.0,46.0,Third call,60-64,,Male,Ventura,Approve,Disapprove,Humphrey,Neither,Not so good,No,No,No,Yes,Same,Clinton,Oppose,Democrat,No HS,15 to 30K,Moderate,18 to 64,2.0,Complete,Rep areas,60 and over,60 and over,Democrat,50 to 64,2.549,Economy/jobs,About the same,Favorable
24.0,8.0,47.0,Third call,30-39,White,Male,Humphrey,Approve,Disapprove,Humphrey,Support Clinton,Good,No,No,No,No,Better,Clinton,Favor,Democrat,College grad,50 to 75K,Moderate,18 to 64,2.0,Complete,Rep areas,30 to 44,30 to 39,Democrat,30 to 39,0.869,Crime/drugs,About the same,Favorable
24.0,8.0,48.0,Third call,45-49,White,Male,Coleman,Disapprove,Approve,Coleman,Oppose Clinton,Good,No,Yes,Yes,No,Same,Dole,Oppose,Republican,College grad,75 to 100K,Conservative,18 to 64,2.0,Complete,Rep areas,45 to 59,40 to 49,Republican,40 to 49,1.105,State taxes,About the same,Unfavorable
24.0,17.0,1.0,First call,40-44,White,Female,Ventura,Approve,Approve,Would not vote,Neither,Good,No,No,No,No,Better,Clinton,Oppose,Democrat,HS grad,Under 15K,Moderate,18 to 64,2.0,Complete,Rep areas,30 to 44,40 to 49,Democrat,40 to 49,1.263,Economy/jobs,About the same,Unfavorable
24.0,17.0,2.0,First call,40-44,White,Female,Humphrey,Approve,Disapprove,Humphrey,Neither,Not so good,No,Yes,Yes,Yes,Same,Clinton,Oppose,Democrat,Postgrad,30 to 50K,Moderate,18 to 64,2.0,Complete,Rep areas,30 to 44,40 to 49,Democrat,40 to 49,0.517,Education,Worse,Unfavorable
24.0,17.0,3.0,First call,65 and over,White,Female,Humphrey,Approve,Approve,Humphrey,Support Clinton,Good,No,No,No,No,Better,Clinton,Oppose,Democrat,No HS,15 to 30K,Conservative,65 and over,2.0,Complete,Rep areas,60 and over,60 and over,Democrat,65 and over,0.621,Education,Better,Favorable
24.0,17.0,4.0,First call,65 and over,White,Male,Coleman,Disapprove,Approve,Coleman,Neither,Good,No,No,Yes,No,Same,Dole,Oppose,Republican,Some college,15 to 30K,Conservative,65 and over,2.0,Complete,Rep areas,60 and over,60 and over,Republican,65 and over,0.883,Economy/jobs,About the same,Unfavorable
24.0,17.0,5.0,First call,65 and over,White,Female,Coleman,Approve,Disapprove,Coleman,Neither,Good,Yes,No,No,Yes,Same,Clinton,Oppose,Democrat,Some college,Under 15K,Moderate,65 and over,2.0,Complete,Rep areas,60 and over,60 and over,Democrat,65 and over,0.79,Abortion,About the same,Favorable
24.0,17.0,6.0,First call,30-39,White,Male,Humphrey,Approve,Disapprove,Humphrey,Neither,Excellent,No,No,No,No,Better,Clinton,Oppose,Democrat,College grad,30 to 50K,Liberal,18 to 64,2.0,Complete,Rep areas,30 to 44,30 to 39,Democrat,30 to 39,0.576,Education,About the same,Unfavorable
24.0,17.0,7.0,First call,60-64,White,Male,Coleman,Disapprove,,Coleman,,,No,,,,,,Oppose,,,,,18 to 64,2.0,Not complete,Rep areas,60 and over,60 and over,,50 to 64,0.883,Abortion,,
24.0,17.0,8.0,First call,45-49,White,Male,Coleman,Disapprove,Approve,Coleman,Neither,Not so good,Yes,Yes,Yes,Yes,Same,Dole,Oppose,Something else,HS grad,30 to 50K,Conservative,18 to 64,2.0,Complete,Rep areas,45 to 59,40 to 49,Independent/Other,40 to 49,0.734,Abortion,About the same,Unfavorable
24.0,17.0,9.0,First call,50-59,White,Male,Coleman,Disapprove,Approve,Coleman,Oppose Clinton,Good,,Yes,Yes,No,Same,Dole,Oppose,Republican,College grad,50 to 75K,Conservative,18 to 64,2.0,Complete,Rep areas,45 to 59,50 to 59,Republican,50 to 64,0.734,Abortion,About the same,Unfavorable
24.0,17.0,10.0,First call,65 and over,White,Male,Coleman,Approve,,Coleman,Neither,Good,No,No,No,No,Same,Dole,Favor,Independent,HS grad,15 to 30K,Moderate,65 and over,2.0,Complete,Rep areas,60 and over,60 and over,Independent/Other,65 and over,0.883,,About the same,Unfavorable
24.0,17.0,11.0,First call,65 and over,White,Female,Humphrey,Approve,Disapprove,Humphrey,Support Clinton,Good,No,No,No,No,Same,Clinton,Oppose,Democrat,,,Conservative,65 and over,2.0,Complete,Rep areas,60 and over,60 and over,Democrat,65 and over,0.621,Education,About the same,Favorable
24.0,17.0,12.0,First call,65 and over,White,Female,Humphrey,Approve,Disapprove,Humphrey,Neither,Good,No,No,No,Yes,Same,Clinton,Oppose,Independent,HS grad,15 to 30K,Moderate,65 and over,2.0,Complete,Rep areas,60 and over,60 and over,Independent/Other,65 and over,0.621,Gun Control,About the same,Unfavorable
24.0,17.0,13.0,First call,60-64,White,Male,Humphrey,Approve,Approve,Humphrey,Neither,Good,No,No,No,Yes,Same,Clinton,Oppose,Independent,Postgrad,30 to 50K,Moderate,18 to 64,2.0,Complete,Rep areas,60 and over,60 and over,Independent/Other,50 to 64,0.695,Education,About the same,Unfavorable
24.0,17.0,14.0,First call,50-59,White,Female,Humphrey,Approve,Approve,Humphrey,Neither,Poor,No,No,No,No,Worse,Clinton,Oppose,Democrat,Some college,15 to 30K,Conservative,18 to 64,2.0,Complete,Rep areas,45 to 59,50 to 59,Democrat,50 to 64,0.517,State taxes,About the same,Favorable
24.0,17.0,15.0,Second call,40-44,White,Male,Ventura,Disapprove,Disapprove,Would not vote,Oppose Clinton,Not so good,Yes,Yes,No,No,Worse,Perot,Oppose,Something else,Some college,Under 15K,Conservative,18 to 64,2.0,Complete,Rep areas,30 to 44,40 to 49,Independent/Other,40 to 49,1.4100000000000001,Gun Control,About the same,Unfavorable
24.0,17.0,16.0,Second call,65 and over,White,Female,Coleman,Disapprove,Approve,Coleman,Neither,Good,No,Yes,Yes,Yes,Same,Dole,Oppose,Republican,Some college,30 to 50K,Conservative,65 and over,2.0,Complete,Rep areas,60 and over,60 and over,Republican,65 and over,0.79,Gun Control,About the same,Unfavorable
24.0,17.0,17.0,Second call,50-59,White,Female,Humphrey,Approve,Disapprove,Humphrey,Neither,Good,No,No,No,Yes,Same,Clinton,Favor,Democrat,College grad,30 to 50K,Liberal,18 to 64,2.0,Complete,Rep areas,45 to 59,50 to 59,Democrat,50 to 64,0.517,Education,About the same,Unfavorable
24.0,17.0,18.0,Second call,25-29,White,Male,Ventura,Approve,Disapprove,Would not vote,Neither,Not so good,No,Yes,Yes,Yes,Worse,Clinton,Favor,Democrat,Some college,15 to 30K,Moderate,18 to 64,2.0,Complete,Rep areas,18 to 29,25 to 29,Democrat,25 to 29,1.488,State taxes,Worse,Unfavorable
24.0,17.0,19.0,Second call,18-24,White,Male,Ventura,Approve,Disapprove,Coleman,Support Clinton,Good,Yes,No,No,No,Better,Did not vote,Oppose,Something else,HS grad,15 to 30K,Moderate,18 to 64,2.0,Complete,Rep areas,18 to 29,18 to 24,Independent/Other,18 to 24,1.488,Crime/drugs,Better,Favorable
24.0,17.0,20.0,Second call,50-59,White,Male,Coleman,Disapprove,Disapprove,Coleman,Neither,Excellent,No,No,Yes,Yes,Same,Dole,Favor,Republican,College grad,50 to 75K,Conservative,18 to 64,2.0,Complete,Rep areas,45 to 59,50 to 59,Republican,50 to 64,0.734,State taxes,Worse,Unfavorable
24.0,17.0,21.0,Second call,40-44,White,Female,Ventura,Approve,Approve,Humphrey,Neither,Good,No,No,No,No,Same,Clinton,Favor,Independent,Some college,30 to 50K,Moderate,18 to 64,2.0,Complete,Rep areas,30 to 44,40 to 49,Independent/Other,40 to 49,1.263,Farm policy,About the same,Unfavorable
24.0,17.0,22.0,Second call,30-39,White,Male,Coleman,Disapprove,Approve,Coleman,Neither,Good,No,No,Yes,No,Same,Dole,Oppose,Republican,Postgrad,100K or more,Conservative,18 to 64,2.0,Complete,Rep areas,30 to 44,30 to 39,Republican,30 to 39,0.734,State taxes,Better,Unfavorable
24.0,17.0,23.0,Third call,50-59,White,Female,Ventura,Approve,Disapprove,Would not vote,Support Clinton,Poor,No,No,No,No,Same,Clinton,Oppose,Democrat,Some college,50 to 75K,Moderate,18 to 64,2.0,Complete,Rep areas,45 to 59,50 to 59,Democrat,50 to 64,1.263,Economy/jobs,Worse,Favorable
24.0,17.0,24.0,Third call,18-24,White,Male,Humphrey,Disapprove,Approve,Humphrey,Neither,Good,No,No,Yes,No,Better,Did not vote,Oppose,Independent,No HS,30 to 50K,Moderate,18 to 64,2.0,Complete,Rep areas,18 to 29,18 to 24,Independent/Other,18 to 24,0.6089999999999999,Education,Better,Unfavorable
24.0,17.0,25.0,Third call,30-39,White,Female,Humphrey,Disapprove,Disapprove,Would not vote,Neither,Good,No,Yes,Yes,Yes,Same,Clinton,Oppose,Independent,Some college,15 to 30K,Moderate,18 to 64,2.0,Complete,Rep areas,30 to 44,30 to 39,Independent/Other,30 to 39,0.517,Education,About the same,Unfavorable
24.0,17.0,26.0,Third call,45-49,White,Male,Coleman,Disapprove,Approve,Coleman,Neither,Good,No,No,No,Yes,Same,Dole,Oppose,Independent,Postgrad,30 to 50K,Conservative,18 to 64,2.0,Complete,Rep areas,45 to 59,40 to 49,Independent/Other,40 to 49,0.734,Abortion,About the same,Unfavorable
24.0,17.0,27.0,Third call,50-59,White,Female,Coleman,Disapprove,Disapprove,Coleman,Oppose Clinton,Good,No,Yes,Yes,Yes,Worse,Dole,Oppose,Republican,Postgrad,30 to 50K,Conservative,18 to 64,2.0,Complete,Rep areas,45 to 59,50 to 59,Republican,50 to 64,0.656,Abortion,Worse,Unfavorable
24.0,17.0,28.0,Third call,65 and over,White,Female,Humphrey,Approve,Disapprove,Humphrey,Support Clinton,Good,Yes,No,No,No,Better,Clinton,Oppose,Democrat,HS grad,15 to 30K,Liberal,65 and over,2.0,Complete,Rep areas,60 and over,60 and over,Democrat,65 and over,0.621,Farm policy,About the same,Favorable
24.0,17.0,29.0,Third call,40-44,White,Female,Coleman,Approve,Approve,Coleman,Neither,Good,No,No,Yes,No,Worse,Dole,Oppose,Republican,Some college,15 to 30K,Conservative,18 to 64,2.0,Complete,Rep areas,30 to 44,40 to 49,Republican,40 to 49,0.656,Abortion,About the same,Unfavorable
24.0,17.0,30.0,Third call,18-24,White,Female,Ventura,Approve,Approve,Humphrey,Neither,Good,No,No,No,No,Better,Did not vote,Oppose,Democrat,HS grad,Under 15K,Moderate,18 to 64,2.0,Complete,Rep areas,18 to 29,18 to 24,Democrat,18 to 24,1.334,Crime/drugs,About the same,Favorable
24.0,17.0,31.0,Third call,50-59,White,Female,Coleman,,Disapprove,Coleman,Oppose Clinton,Not so good,,No,Yes,No,Same,Clinton,Oppose,Republican,HS grad,30 to 50K,Moderate,18 to 64,2.0,Complete,Rep areas,45 to 59,50 to 59,Republican,50 to 64,0.656,State taxes,Worse,Unfavorable
24.0,17.0,32.0,Third call,50-59,White,Female,Ventura,Approve,Disapprove,Humphrey,Neither,Good,No,No,No,No,Worse,Perot,Oppose,Independent,HS grad,15 to 30K,Liberal,18 to 64,2.0,Complete,Rep areas,45 to 59,50 to 59,Independent/Other,50 to 64,1.263,Economy/jobs,Worse,Unfavorable
24.0,17.0,33.0,Third call,30-39,White,Female,Coleman,Disapprove,Approve,Coleman,Neither,Good,No,Yes,Yes,Yes,Same,Dole,Oppose,Independent,College grad,,Conservative,18 to 64,2.0,Complete,Rep areas,30 to 44,30 to 39,Independent/Other,30 to 39,0.656,Abortion,About the same,Unfavorable
24.0,17.0,34.0,Third call,50-59,White,Male,Coleman,Approve,Disapprove,Coleman,Neither,Good,Yes,No,No,Yes,Same,Dole,Favor,Independent,HS grad,30 to 50K,Conservative,18 to 64,2.0,Complete,Rep areas,45 to 59,50 to 59,Independent/Other,50 to 64,0.734,Gun Control,About the same,Unfavorable
24.0,17.0,35.0,Third call,30-39,White,Female,Ventura,Disapprove,Disapprove,Coleman,Oppose Clinton,Good,Yes,Yes,Yes,Yes,Better,Dole,Favor,Republican,College grad,30 to 50K,Moderate,18 to 64,2.0,Complete,Rep areas,30 to 44,30 to 39,Republican,30 to 39,1.263,Gun Control,Better,Unfavorable
24.0,17.0,36.0,Third call,40-44,White,Female,Ventura,Approve,Approve,Humphrey,Neither,Good,No,No,No,Yes,Better,Clinton,Favor,Democrat,Some college,50 to 75K,Liberal,18 to 64,2.0,Complete,Rep areas,30 to 44,40 to 49,Democrat,40 to 49,1.263,Education,Better,Favorable
24.0,17.0,37.0,Third call,18-24,White,Male,Coleman,Disapprove,Approve,Coleman,Neither,Not so good,No,No,No,Yes,Better,Did not vote,Oppose,Republican,No HS,Under 15K,Conservative,18 to 64,2.0,Complete,Rep areas,18 to 29,18 to 24,Republican,18 to 24,0.775,Abortion,Better,Unfavorable
