State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Senator Vote,Clinton Approval,Congress Approval,I694: Ban Partial Birth,Reason for Cong Vote,Religious Right,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,1996 vote,Party ID,Education,Income,I200: Ban pref treatment,Ideology,Age (65 and over),I692: Allow med mrjna,State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight 3 implied dec,Senate issues,Clinton as person,Telephone survey
48.0,5.0,21.0,Second call,65 and over,White,Male,Smith,Disapprove,Approve,Yes,Neither,No,Yes,Yes,No,Same,Dole,Republican,HS grad,30 to 50K,Yes,Conservative,65 and over,No,State,Complete,Olympic Mountains,60 and over,60 and over,Republican,65 and over,1.8050000000000002,,Unfavorable,Exit poll
48.0,5.0,22.0,Second call,60-64,Other,Male,Murray,Disapprove,Disapprove,No,Neither,No,No,No,No,Better,Clinton,Independent,Postgrad,50 to 75K,No,Moderate,18 to 64,No,State,Complete,Olympic Mountains,60 and over,60 and over,Independent/Other,50 to 64,2.313,Education,Favorable,Exit poll
48.0,5.0,23.0,Second call,50-59,White,Female,Smith,Disapprove,Approve,Yes,Neither,No,Yes,No,No,Worse,Dole,Republican,HS grad,,Yes,Conservative,18 to 64,Yes,State,Complete,Olympic Mountains,45 to 59,50 to 59,Republican,50 to 64,1.105,Taxes,Unfavorable,Exit poll
48.0,5.0,24.0,Second call,65 and over,White,Female,Smith,Disapprove,Approve,Yes,Oppose Clinton,No,Yes,Yes,Yes,Same,Dole,Republican,College grad,30 to 50K,Yes,Conservative,65 and over,No,State,Complete,Olympic Mountains,60 and over,60 and over,Republican,65 and over,1.572,Clin/Lwnsky,Unfavorable,Exit poll
48.0,5.0,25.0,Second call,40-44,Black,Female,Murray,Approve,Disapprove,No,Neither,No,No,No,No,Better,Clinton,Democrat,College grad,30 to 50K,No,Moderate,18 to 64,No,State,Complete,Olympic Mountains,30 to 44,40 to 49,Democrat,40 to 49,1.294,Social Security,Favorable,Exit poll
48.0,5.0,26.0,Third call,30-39,White,Female,Smith,Disapprove,Disapprove,No,Neither,No,Yes,Yes,,Same,Dole,Republican,HS grad,30 to 50K,Yes,Conservative,18 to 64,No,State,Complete,Olympic Mountains,30 to 44,30 to 39,Republican,30 to 39,1.363,,Unfavorable,Exit poll
48.0,5.0,27.0,Third call,30-39,White,Female,Smith,Approve,Disapprove,No,Support Clinton,Yes,No,No,No,Better,Clinton,Independent,HS grad,30 to 50K,No,Liberal,18 to 64,Yes,State,Complete,Olympic Mountains,30 to 44,30 to 39,Independent/Other,30 to 39,0.8500000000000001,Education,Favorable,Exit poll
48.0,5.0,28.0,Third call,50-59,White,Female,Smith,Disapprove,Approve,Yes,Oppose Clinton,No,No,Yes,Yes,Better,Dole,Republican,Some college,50 to 75K,Yes,Moderate,18 to 64,No,State,Complete,Olympic Mountains,45 to 59,50 to 59,Republican,50 to 64,1.198,Taxes,Unfavorable,Exit poll
48.0,5.0,29.0,Third call,65 and over,White,Male,,Approve,Disapprove,,,No,,,,,,,,,,,65 and over,No,State,Not complete,Olympic Mountains,60 and over,60 and over,,65 and over,2.143,,Favorable,Exit poll
48.0,5.0,30.0,Third call,65 and over,White,Female,Murray,Approve,Disapprove,Yes,Neither,No,No,No,No,Better,Clinton,Independent,HS grad,30 to 50K,No,Moderate,65 and over,Yes,State,Complete,Olympic Mountains,60 and over,60 and over,Independent/Other,65 and over,1.631,Education,Favorable,Exit poll
48.0,5.0,31.0,Third call,25-29,White,Female,Murray,Disapprove,Approve,No,Neither,No,Yes,Yes,Yes,Better,Perot,Independent,Some college,30 to 50K,Yes,Liberal,18 to 64,No,State,Complete,Olympic Mountains,18 to 29,25 to 29,Independent/Other,25 to 29,2.313,Environment,Unfavorable,Exit poll
48.0,5.0,32.0,Third call,30-39,White,Female,Murray,Approve,,Yes,,No,,,,,,,,,Yes,,18 to 64,Yes,State,Not complete,Olympic Mountains,30 to 44,30 to 39,,30 to 39,1.836,Social Security,,Exit poll
48.0,5.0,33.0,Third call,30-39,White,Male,Smith,Disapprove,Approve,No,Neither,No,Yes,Yes,Yes,Worse,Dole,Republican,HS grad,30 to 50K,Yes,Conservative,18 to 64,Yes,State,Complete,Olympic Mountains,30 to 44,30 to 39,Republican,30 to 39,1.443,Education,Unfavorable,Exit poll
48.0,5.0,34.0,Third call,50-59,White,Male,Murray,Approve,Disapprove,No,Neither,No,No,No,Yes,Better,Clinton,Independent,Postgrad,50 to 75K,No,Moderate,18 to 64,No,State,Complete,Olympic Mountains,45 to 59,50 to 59,Independent/Other,50 to 64,1.762,Education,Unfavorable,Exit poll
48.0,5.0,35.0,Third call,18-24,White,Female,Murray,Approve,Disapprove,Yes,Neither,No,No,No,No,Same,Did not vote,Democrat,Some college,15 to 30K,Yes,Liberal,18 to 64,Yes,State,Complete,Olympic Mountains,18 to 29,18 to 24,Democrat,18 to 24,1.87,Economy/jobs,Favorable,Exit poll
48.0,5.0,36.0,Third call,18-24,White,Female,Smith,Approve,Disapprove,Yes,Neither,No,No,No,Yes,Better,Dole,Republican,Some college,Under 15K,No,Moderate,18 to 64,Yes,State,Complete,Olympic Mountains,18 to 29,18 to 24,Republican,18 to 24,0.7599999999999999,Economy/jobs,Unfavorable,Exit poll
48.0,5.0,37.0,Third call,50-59,White,Male,Smith,Disapprove,Disapprove,Yes,Neither,Yes,No,No,No,Same,Did not vote,Republican,,15 to 30K,Yes,Conservative,18 to 64,No,State,Complete,Olympic Mountains,45 to 59,50 to 59,Republican,50 to 64,1.373,Economy/jobs,Favorable,Exit poll
48.0,5.0,38.0,Third call,50-59,White,Male,Smith,Disapprove,Disapprove,Yes,Neither,Yes,No,Yes,Yes,Same,Dole,Independent,Some college,50 to 75K,Yes,Moderate,18 to 64,Yes,State,Complete,Olympic Mountains,45 to 59,50 to 59,Independent/Other,50 to 64,1.265,Social Security,Unfavorable,Exit poll
48.0,5.0,39.0,Third call,40-44,White,Female,Smith,Approve,Approve,Yes,Neither,Yes,Yes,Yes,Yes,Better,Clinton,Democrat,Some college,,No,Conservative,18 to 64,Yes,State,Complete,Olympic Mountains,30 to 44,40 to 49,Democrat,40 to 49,0.744,Social Security,Unfavorable,Exit poll
48.0,5.0,40.0,Third call,65 and over,White,Male,Smith,Disapprove,Approve,No,,No,,,,,,,,,Yes,,65 and over,Yes,State,Not complete,Olympic Mountains,60 and over,60 and over,,65 and over,1.893,Clin/Lwnsky,Unfavorable,Exit poll
48.0,5.0,41.0,Third call,30-39,White,Female,Murray,Approve,Disapprove,No,Neither,No,No,No,Yes,Better,Clinton,Democrat,Some college,50 to 75K,No,Moderate,18 to 64,No,State,Complete,Olympic Mountains,30 to 44,30 to 39,Democrat,30 to 39,1.535,Environment,Unfavorable,Exit poll
48.0,5.0,42.0,Third call,25-29,White,Female,Smith,Disapprove,Approve,Yes,Neither,Yes,Yes,Yes,Yes,Worse,Dole,Republican,Some college,15 to 30K,Yes,Conservative,18 to 64,No,State,Complete,Olympic Mountains,18 to 29,25 to 29,Republican,25 to 29,1.221,Education,Unfavorable,Exit poll
48.0,6.0,1.0,First call,50-59,White,Female,Smith,Approve,Approve,Yes,Neither,No,No,No,Yes,Same,Dole,Republican,Some college,50 to 75K,Yes,Conservative,18 to 64,Yes,State,Complete,Olympic Mountains,45 to 59,50 to 59,Republican,50 to 64,0.6729999999999999,Economy/jobs,Unfavorable,Exit poll
48.0,6.0,2.0,First call,30-39,White,Female,Smith,Disapprove,Approve,Yes,Neither,Yes,Yes,Yes,No,Worse,Dole,Republican,Postgrad,50 to 75K,Yes,Conservative,18 to 64,No,State,Complete,Olympic Mountains,30 to 44,30 to 39,Republican,30 to 39,0.7289999999999999,Taxes,Unfavorable,Exit poll
48.0,6.0,3.0,First call,50-59,White,Female,Murray,Approve,Disapprove,Yes,Neither,No,No,No,Yes,Better,Clinton,Independent,Postgrad,75 to 100K,Yes,Liberal,18 to 64,No,State,Complete,Olympic Mountains,45 to 59,50 to 59,Independent/Other,50 to 64,1.213,Education,Unfavorable,Exit poll
48.0,6.0,4.0,First call,30-39,White,Male,Murray,Approve,Disapprove,No,Neither,No,No,No,Yes,Better,Clinton,Democrat,Postgrad,30 to 50K,No,Moderate,18 to 64,No,State,Complete,Olympic Mountains,30 to 44,30 to 39,Democrat,30 to 39,1.071,Economy/jobs,Favorable,Exit poll
48.0,6.0,5.0,First call,50-59,White,Male,Smith,Disapprove,Disapprove,No,Neither,No,No,No,Yes,Same,Dole,Independent,Postgrad,50 to 75K,Yes,Moderate,18 to 64,Yes,State,Complete,Olympic Mountains,45 to 59,50 to 59,Independent/Other,50 to 64,0.878,Social Security,Unfavorable,Exit poll
48.0,6.0,6.0,First call,50-59,White,Female,Smith,Approve,Approve,Yes,Neither,Yes,No,No,Yes,Better,Perot,Independent,Some college,30 to 50K,Yes,Moderate,18 to 64,Yes,State,Complete,Olympic Mountains,45 to 59,50 to 59,Independent/Other,50 to 64,0.6729999999999999,Social Security,Favorable,Exit poll
48.0,6.0,7.0,First call,50-59,White,Male,Smith,Disapprove,Disapprove,Yes,Neither,Yes,Yes,Yes,Yes,Worse,Dole,Republican,Some college,15 to 30K,No,Conservative,18 to 64,No,State,Complete,Olympic Mountains,45 to 59,50 to 59,Republican,50 to 64,0.5640000000000001,Social Security,Unfavorable,Exit poll
48.0,6.0,8.0,First call,65 and over,White,Male,Smith,Disapprove,Disapprove,No,Neither,Yes,Yes,Yes,No,Better,Dole,Independent,Postgrad,50 to 75K,Yes,Conservative,65 and over,No,State,Complete,Olympic Mountains,60 and over,60 and over,Independent/Other,65 and over,1.252,Education,Unfavorable,Exit poll
48.0,6.0,9.0,Second call,18-24,White,Male,Smith,Disapprove,Disapprove,No,Oppose Clinton,Yes,Yes,Yes,Yes,Worse,Dole,Independent,College grad,Under 15K,No,Conservative,18 to 64,No,State,Complete,Olympic Mountains,18 to 29,18 to 24,Independent/Other,18 to 24,0.658,Education,Unfavorable,Exit poll
48.0,6.0,10.0,Second call,65 and over,White,Female,Smith,Approve,Approve,No,Neither,,No,No,Yes,Worse,Dole,Republican,HS grad,,Yes,Moderate,65 and over,No,State,Complete,Olympic Mountains,60 and over,60 and over,Republican,65 and over,1.092,Taxes,Unfavorable,Exit poll
48.0,6.0,11.0,Second call,30-39,White,Male,Smith,Approve,Approve,No,Neither,No,No,No,Yes,Same,Dole,Republican,College grad,50 to 75K,Yes,Moderate,18 to 64,No,State,Complete,Olympic Mountains,30 to 44,30 to 39,Republican,30 to 39,0.953,Economy/jobs,Unfavorable,Exit poll
48.0,6.0,12.0,Second call,30-39,White,Female,Smith,Disapprove,Disapprove,No,Oppose Clinton,,No,Yes,,Worse,Dole,Republican,Some college,15 to 30K,No,Conservative,18 to 64,Yes,State,Complete,Olympic Mountains,30 to 44,30 to 39,Republican,30 to 39,0.515,Environment,Unfavorable,Exit poll
48.0,6.0,13.0,Second call,40-44,White,Female,Smith,Approve,Approve,No,Neither,No,No,No,Yes,Same,Dole,Independent,Some college,50 to 75K,No,Moderate,18 to 64,Yes,State,Complete,Olympic Mountains,30 to 44,40 to 49,Independent/Other,40 to 49,0.515,Economy/jobs,Unfavorable,Exit poll
48.0,6.0,14.0,Second call,60-64,White,Male,Smith,Disapprove,Approve,Yes,Neither,Yes,No,Yes,Yes,Worse,Dole,Republican,HS grad,30 to 50K,Yes,Conservative,18 to 64,No,State,Complete,Olympic Mountains,60 and over,60 and over,Republican,50 to 64,1.1,Social Security,Unfavorable,Exit poll
48.0,6.0,15.0,Second call,65 and over,White,Male,Smith,Disapprove,Approve,No,Neither,No,No,Yes,Yes,Worse,Dole,Republican,HS grad,Under 15K,No,Conservative,65 and over,No,State,Complete,Olympic Mountains,60 and over,60 and over,Republican,65 and over,0.8460000000000001,Intl trade,Unfavorable,Exit poll
48.0,6.0,16.0,Second call,50-59,White,Male,Murray,Approve,Disapprove,No,Neither,No,No,No,Yes,Better,Clinton,Democrat,Postgrad,50 to 75K,No,Moderate,18 to 64,No,State,Complete,Olympic Mountains,45 to 59,50 to 59,Democrat,50 to 64,1.071,Education,Unfavorable,Exit poll
48.0,6.0,17.0,Third call,30-39,White,Female,Murray,Approve,Disapprove,No,Neither,Yes,No,No,No,Better,Perot,Democrat,Some college,30 to 50K,No,Moderate,18 to 64,Yes,State,Complete,Olympic Mountains,30 to 44,30 to 39,Democrat,30 to 39,0.86,Social Security,Unfavorable,Exit poll
48.0,6.0,18.0,Third call,40-44,White,Female,Smith,Disapprove,Approve,Yes,Neither,Yes,No,Yes,Yes,Worse,Dole,Republican,Some college,30 to 50K,No,Moderate,18 to 64,Yes,State,Complete,Olympic Mountains,30 to 44,40 to 49,Republican,40 to 49,0.453,Economy/jobs,Unfavorable,Exit poll
48.0,6.0,19.0,Third call,50-59,White,Male,Murray,Approve,Approve,No,Neither,No,No,No,No,Better,Did not vote,Independent,Some college,100K or more,Yes,Moderate,18 to 64,Yes,State,Complete,Olympic Mountains,45 to 59,50 to 59,Independent/Other,50 to 64,1.46,Social Security,Unfavorable,Exit poll
48.0,6.0,20.0,Third call,25-29,White,Male,Smith,Disapprove,Approve,Yes,Neither,No,Yes,Yes,,Better,Dole,Republican,HS grad,15 to 30K,No,Moderate,18 to 64,No,State,Complete,Olympic Mountains,18 to 29,25 to 29,Republican,25 to 29,0.5740000000000001,Social Security,Unfavorable,Exit poll
48.0,6.0,21.0,Third call,25-29,White,Female,Murray,Disapprove,Disapprove,Yes,Neither,Yes,Yes,Yes,,Same,Perot,Something else,College grad,50 to 75K,No,Moderate,18 to 64,Yes,State,Complete,Olympic Mountains,18 to 29,25 to 29,Independent/Other,25 to 29,0.769,,Unfavorable,Exit poll
48.0,6.0,22.0,Third call,30-39,White,Female,Murray,Approve,Disapprove,No,Oppose Clinton,No,Yes,No,No,Better,Perot,Democrat,College grad,,No,Moderate,18 to 64,No,State,Complete,Olympic Mountains,30 to 44,30 to 39,Democrat,30 to 39,0.934,Economy/jobs,Unfavorable,Exit poll
48.0,6.0,23.0,Third call,30-39,White,Male,Murray,Approve,Approve,Yes,Support Clinton,Yes,Yes,Yes,No,Same,Clinton,Independent,Some college,Under 15K,Yes,Liberal,18 to 64,No,State,Complete,Olympic Mountains,30 to 44,30 to 39,Independent/Other,30 to 39,1.39,Taxes,Unfavorable,Exit poll
48.0,6.0,24.0,Third call,60-64,White,Male,Smith,Disapprove,Disapprove,Yes,Neither,,No,Yes,No,Worse,Dole,Democrat,No HS,Under 15K,Yes,Liberal,18 to 64,Yes,State,Complete,Olympic Mountains,60 and over,60 and over,Democrat,50 to 64,1.012,,Unfavorable,Exit poll
48.0,6.0,25.0,Third call,25-29,White,Male,Murray,Disapprove,Approve,Yes,Neither,No,No,No,Yes,Better,Perot,Independent,Some college,30 to 50K,Yes,Moderate,18 to 64,No,State,Complete,Olympic Mountains,18 to 29,25 to 29,Independent/Other,25 to 29,1.417,Education,Favorable,Exit poll
48.0,6.0,26.0,Third call,40-44,Other,Male,Smith,Approve,Disapprove,Yes,Oppose Clinton,No,No,Yes,,Same,Dole,Independent,HS grad,,Yes,Moderate,18 to 64,Yes,State,Complete,Olympic Mountains,30 to 44,40 to 49,Independent/Other,40 to 49,0.77,Economy/jobs,Unfavorable,Exit poll
48.0,6.0,27.0,Third call,30-39,White,Female,Murray,Disapprove,Disapprove,Yes,Support Clinton,Yes,No,No,No,Better,Dole,Democrat,Some college,50 to 75K,No,Moderate,18 to 64,No,State,Complete,Olympic Mountains,30 to 44,30 to 39,Democrat,30 to 39,0.8200000000000001,Taxes,Unfavorable,Exit poll
48.0,6.0,28.0,Third call,30-39,Black,Female,Murray,Approve,Disapprove,No,Neither,No,No,Yes,Yes,Better,Dole,Democrat,HS grad,30 to 50K,No,Liberal,18 to 64,Yes,State,Complete,Olympic Mountains,30 to 44,30 to 39,Democrat,30 to 39,0.724,Environment,Favorable,Exit poll
48.0,6.0,29.0,Third call,25-29,White,Female,Murray,Approve,Approve,Yes,Oppose Clinton,Yes,Yes,Yes,No,Worse,Perot,Republican,No HS,30 to 50K,Yes,Moderate,18 to 64,No,State,Complete,Olympic Mountains,18 to 29,25 to 29,Republican,25 to 29,1.236,Education,Unfavorable,Exit poll
