V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37
1.0,0.0,G,21.0,2.0,11.0,First call,1.0,50-59,White,Male,Mikulski,Glendening,Approve,Disapprove,Glendening,Neither,No,No,Yes,Better,Other,Democrat,Postgrad,50 to 75K,Moderate,18 to 64,State,Complete,Rural/rest of MD,45 to 59,50 to 59,Democrat,50 to 64,1.068,Education,Unfavorable
1.0,0.0,G,21.0,2.0,12.0,First call,1.0,40-44,White,Female,Pierpoint,Sauerbrey,Disapprove,Disapprove,Sauerbrey,Neither,No,Yes,Yes,Same,Dole,Republican,Postgrad,50 to 75K,Conservative,18 to 64,State,Complete,Rural/rest of MD,30 to 44,40 to 49,Republican,40 to 49,1.603,Taxes,Unfavorable
1.0,0.0,G,21.0,2.0,13.0,Second call,1.0,65 and over,White,Male,Mikulski,Glendening,Approve,Disapprove,Glendening,Support Clinton,No,No,Yes,Same,Clinton,Democrat,HS grad,30 to 50K,Moderate,65 and over,State,Complete,Rural/rest of MD,60 and over,60 and over,Democrat,65 and over,1.8130000000000002,Gun control,Favorable
1.0,0.0,G,21.0,2.0,14.0,Second call,1.0,65 and over,White,Male,Mikulski,Glendening,Approve,Disapprove,Glendening,Support Clinton,No,No,Yes,Same,Clinton,Democrat,HS grad,30 to 50K,Moderate,65 and over,State,Complete,Rural/rest of MD,60 and over,60 and over,Democrat,65 and over,1.8130000000000002,Gun control,Favorable
1.0,0.0,G,21.0,2.0,15.0,Third call,1.0,60-64,White,Male,Pierpoint,Sauerbrey,Disapprove,Approve,Glendening,Oppose Clinton,Yes,Yes,No,Worse,Dole,Republican,Some college,30 to 50K,Conservative,18 to 64,State,Complete,Rural/rest of MD,60 and over,60 and over,Republican,50 to 64,2.478,Taxes,Unfavorable
1.0,0.0,G,21.0,2.0,16.0,Third call,1.0,30-39,White,Male,Mikulski,Glendening,Disapprove,Approve,Sauerbrey,Neither,Yes,Yes,No,Better,Dole,Republican,Some college,50 to 75K,Conservative,18 to 64,State,Complete,Rural/rest of MD,30 to 44,30 to 39,Republican,30 to 39,1.068,Education,Unfavorable
1.0,0.0,G,21.0,2.0,17.0,Third call,1.0,40-44,White,Male,Mikulski,Sauerbrey,Disapprove,Disapprove,Sauerbrey,Oppose Clinton,Yes,Yes,Yes,Same,Dole,Republican,Some college,50 to 75K,Moderate,18 to 64,State,Complete,Rural/rest of MD,30 to 44,40 to 49,Republican,40 to 49,1.716,Education,Unfavorable
1.0,0.0,G,21.0,2.0,18.0,Third call,1.0,60-64,White,Male,Pierpoint,Sauerbrey,Approve,Approve,Sauerbrey,Neither,No,No,Yes,Better,Dole,Republican,,75 to 100K,Conservative,18 to 64,State,Complete,Rural/rest of MD,60 and over,60 and over,Republican,50 to 64,2.478,,Unfavorable
1.0,0.0,G,21.0,2.0,19.0,Third call,1.0,30-39,White,Female,Pierpoint,Sauerbrey,Disapprove,Approve,Sauerbrey,Support Clinton,Yes,Yes,Yes,Same,Perot,Republican,College grad,100K or more,Conservative,18 to 64,State,Complete,Rural/rest of MD,30 to 44,30 to 39,Republican,30 to 39,1.603,Economy/jobs,Unfavorable
1.0,0.0,G,21.0,2.0,20.0,Third call,1.0,50-59,White,Female,Mikulski,Glendening,Disapprove,Disapprove,Glendening,Neither,No,Yes,Yes,Better,Dole,Independent,College grad,100K or more,Conservative,18 to 64,State,Complete,Rural/rest of MD,45 to 59,50 to 59,Independent/Other,50 to 64,1.171,Education,Unfavorable
1.0,0.0,G,21.0,2.0,21.0,Third call,1.0,65 and over,White,Male,Pierpoint,Sauerbrey,Disapprove,Disapprove,Sauerbrey,Oppose Clinton,Yes,Yes,,Same,Dole,Democrat,Some college,,Moderate,65 and over,State,Complete,Rural/rest of MD,60 and over,60 and over,Democrat,65 and over,2.478,Economy/jobs,Unfavorable
1.0,0.0,G,21.0,2.0,22.0,Third call,1.0,30-39,White,Male,Mikulski,Glendening,Disapprove,Disapprove,Glendening,Neither,Yes,Yes,Yes,Worse,Perot,Republican,HS grad,15 to 30K,Moderate,18 to 64,State,Complete,Rural/rest of MD,30 to 44,30 to 39,Republican,30 to 39,1.068,Economy/jobs,Unfavorable
1.0,0.0,G,21.0,2.0,23.0,Third call,1.0,30-39,White,Female,,Glendening,Disapprove,,Glendening,Neither,Yes,Yes,Yes,Same,Dole,Republican,College grad,75 to 100K,Conservative,18 to 64,State,Complete,Rural/rest of MD,30 to 44,30 to 39,Republican,30 to 39,1.116,Education,Unfavorable
1.0,0.0,G,21.0,2.0,24.0,Third call,1.0,45-49,White,Female,Pierpoint,Sauerbrey,Disapprove,Approve,Glendening,Neither,No,Yes,No,Better,Dole,Republican,HS grad,50 to 75K,Conservative,18 to 64,State,Complete,Rural/rest of MD,45 to 59,40 to 49,Republican,40 to 49,1.603,Education,Unfavorable
1.0,0.0,G,21.0,2.0,25.0,Third call,1.0,40-44,White,Male,Pierpoint,Sauerbrey,Disapprove,Approve,Sauerbrey,Neither,Yes,Yes,Yes,Same,Perot,Republican,College grad,50 to 75K,Conservative,18 to 64,State,Complete,Rural/rest of MD,30 to 44,40 to 49,Republican,40 to 49,1.46,,Unfavorable
1.0,0.0,G,21.0,2.0,26.0,Third call,1.0,60-64,White,Female,Mikulski,Glendening,Approve,,Glendening,Neither,No,No,Yes,Same,Clinton,Democrat,HS grad,15 to 30K,Moderate,18 to 64,State,Complete,Rural/rest of MD,60 and over,60 and over,Democrat,50 to 64,1.988,,
1.0,0.0,G,21.0,2.0,27.0,Third call,1.0,40-44,White,Male,Mikulski,Glendening,Disapprove,Disapprove,Glendening,Neither,No,No,No,Same,Perot,Democrat,College grad,50 to 75K,Conservative,18 to 64,State,Complete,Rural/rest of MD,30 to 44,40 to 49,Democrat,40 to 49,1.068,,Unfavorable
1.0,0.0,G,21.0,2.0,28.0,Third call,1.0,50-59,White,Male,Mikulski,Glendening,Approve,Disapprove,Glendening,,,,,,,,,,,18 to 64,State,Not complete,Rural/rest of MD,45 to 59,50 to 59,,50 to 64,1.068,Taxes,Favorable
1.0,0.0,G,21.0,2.0,29.0,Third call,1.0,50-59,White,Female,Mikulski,Glendening,Approve,Approve,Glendening,Neither,No,No,Yes,Same,Clinton,Democrat,Postgrad,75 to 100K,Moderate,18 to 64,State,Complete,Rural/rest of MD,45 to 59,50 to 59,Democrat,50 to 64,1.171,Education,Unfavorable
1.0,0.0,G,21.0,2.0,30.0,Third call,1.0,30-39,White,Female,Mikulski,Glendening,Approve,Disapprove,Glendening,Neither,No,No,No,Same,Clinton,Democrat,HS grad,30 to 50K,Liberal,18 to 64,State,Complete,Rural/rest of MD,30 to 44,30 to 39,Democrat,30 to 39,1.171,,Favorable
1.0,0.0,G,21.0,2.0,31.0,Third call,1.0,45-49,White,Female,Mikulski,Sauerbrey,Disapprove,Approve,Sauerbrey,Neither,Yes,Yes,Yes,Same,Dole,Republican,Some college,100K or more,Conservative,18 to 64,State,Complete,Rural/rest of MD,45 to 59,40 to 49,Republican,40 to 49,1.883,,Unfavorable
1.0,0.0,G,21.0,2.0,32.0,Third call,1.0,30-39,White,Male,,Sauerbrey,Disapprove,Disapprove,Did not vote,Oppose Clinton,Yes,Yes,No,Same,Did not vote,Republican,HS grad,15 to 30K,Conservative,18 to 64,State,Complete,Rural/rest of MD,30 to 44,30 to 39,Republican,30 to 39,1.634,Taxes,Unfavorable
1.0,0.0,G,21.0,2.0,33.0,Third call,1.0,30-39,White,Male,Pierpoint,Sauerbrey,Disapprove,Approve,Did not vote,,,,,,,,,,,18 to 64,State,Not complete,Rural/rest of MD,30 to 44,30 to 39,,30 to 39,1.46,Abortion,Unfavorable
1.0,0.0,G,21.0,2.0,34.0,Third call,1.0,50-59,White,Female,Pierpoint,Sauerbrey,Approve,Approve,Glendening,Neither,,Yes,Yes,Same,Clinton,Independent,College grad,15 to 30K,Moderate,18 to 64,State,Complete,Rural/rest of MD,45 to 59,50 to 59,Independent/Other,50 to 64,1.603,Abortion,Unfavorable
1.0,0.0,G,21.0,2.0,35.0,Third call,1.0,50-59,White,Male,Pierpoint,Glendening,Disapprove,Disapprove,Sauerbrey,Neither,Yes,Yes,,Same,,Republican,Postgrad,100K or more,Moderate,18 to 64,State,Complete,Rural/rest of MD,45 to 59,50 to 59,Republican,50 to 64,0.908,Abortion,Unfavorable
1.0,0.0,G,21.0,2.0,36.0,Third call,1.0,25-29,White,Female,Mikulski,Glendening,Approve,Approve,Glendening,Neither,No,No,No,Worse,Clinton,Democrat,Some college,Under 15K,Liberal,18 to 64,State,Complete,Rural/rest of MD,18 to 29,25 to 29,Democrat,25 to 29,1.988,,Unfavorable
1.0,0.0,G,21.0,2.0,37.0,Third call,1.0,25-29,White,Female,Mikulski,Glendening,Approve,Approve,Glendening,Support Clinton,No,No,No,Same,Clinton,Democrat,Postgrad,50 to 75K,Moderate,18 to 64,State,Complete,Rural/rest of MD,18 to 29,25 to 29,Democrat,25 to 29,1.988,Economy/jobs,Favorable
1.0,0.0,G,21.0,2.0,38.0,Third call,1.0,30-39,White,Male,Mikulski,Glendening,Disapprove,Disapprove,Sauerbrey,Neither,Yes,Yes,Yes,Better,Dole,Republican,Postgrad,,Moderate,18 to 64,State,Complete,Rural/rest of MD,30 to 44,30 to 39,Republican,30 to 39,1.068,Economy/jobs,Unfavorable
1.0,0.0,G,21.0,2.0,39.0,Third call,1.0,50-59,White,Female,Mikulski,Glendening,Approve,Disapprove,Glendening,Support Clinton,No,No,Yes,Same,Clinton,Republican,Postgrad,75 to 100K,Conservative,18 to 64,State,Complete,Rural/rest of MD,45 to 59,50 to 59,Republican,50 to 64,1.171,Abortion,Favorable
1.0,0.0,G,21.0,3.0,1.0,First call,1.0,30-39,White,Male,Pierpoint,Sauerbrey,Disapprove,Approve,Sauerbrey,Neither,Yes,Yes,No,Same,Dole,Republican,College grad,75 to 100K,Conservative,18 to 64,State,Complete,Baltimore suburbs,30 to 44,30 to 39,Republican,30 to 39,1.295,Economy/jobs,Unfavorable
1.0,0.0,G,21.0,3.0,2.0,First call,1.0,25-29,Black,Female,Mikulski,Glendening,Approve,Disapprove,Glendening,Neither,No,No,No,Same,Clinton,Independent,Postgrad,50 to 75K,Moderate,18 to 64,State,Complete,Baltimore suburbs,18 to 29,25 to 29,Independent/Other,25 to 29,1.575,Education,
1.0,0.0,G,21.0,3.0,3.0,First call,1.0,45-49,White,Male,Mikulski,Glendening,Approve,Approve,Did not vote,Neither,No,No,Yes,Same,Clinton,Republican,College grad,50 to 75K,Conservative,18 to 64,State,Complete,Baltimore suburbs,45 to 59,40 to 49,Republican,40 to 49,1.451,Taxes,Unfavorable
1.0,0.0,G,21.0,3.0,4.0,First call,1.0,50-59,White,Male,Pierpoint,Sauerbrey,Disapprove,Disapprove,Sauerbrey,Oppose Clinton,Yes,Yes,No,Same,Dole,Independent,Postgrad,75 to 100K,Conservative,18 to 64,State,Complete,Baltimore suburbs,45 to 59,50 to 59,Independent/Other,50 to 64,1.295,Education,Unfavorable
1.0,0.0,G,21.0,3.0,5.0,First call,1.0,45-49,White,Female,Mikulski,Glendening,Approve,Disapprove,Sauerbrey,Neither,No,No,No,Better,Clinton,Democrat,College grad,50 to 75K,Liberal,18 to 64,State,Complete,Baltimore suburbs,45 to 59,40 to 49,Democrat,40 to 49,1.376,Environment,Unfavorable
1.0,0.0,G,21.0,3.0,6.0,First call,1.0,30-39,White,Female,Mikulski,Sauerbrey,Approve,Approve,Did not vote,Neither,No,No,No,Same,Clinton,Democrat,Some college,50 to 75K,Liberal,18 to 64,State,Complete,Baltimore suburbs,30 to 44,30 to 39,Democrat,30 to 39,1.441,Education,Unfavorable
1.0,0.0,G,21.0,3.0,7.0,First call,1.0,30-39,White,Female,Mikulski,Sauerbrey,Disapprove,Disapprove,Sauerbrey,Neither,No,No,Yes,Same,Clinton,Independent,Some college,50 to 75K,Moderate,18 to 64,State,Complete,Baltimore suburbs,30 to 44,30 to 39,Independent/Other,30 to 39,1.441,Economy/jobs,Unfavorable
1.0,0.0,G,21.0,3.0,8.0,First call,1.0,45-49,White,Male,Mikulski,Glendening,Approve,Disapprove,Glendening,Neither,No,No,Yes,Better,Clinton,Independent,Postgrad,100K or more,Moderate,18 to 64,State,Complete,Baltimore suburbs,45 to 59,40 to 49,Independent/Other,40 to 49,1.451,Gun control,Favorable
1.0,0.0,G,21.0,3.0,9.0,First call,1.0,50-59,White,Male,Mikulski,Sauerbrey,Disapprove,Approve,Sauerbrey,Oppose Clinton,Yes,Yes,No,Same,Dole,Republican,College grad,100K or more,Conservative,18 to 64,State,Complete,Baltimore suburbs,45 to 59,50 to 59,Republican,50 to 64,1.522,,Unfavorable
1.0,0.0,G,21.0,3.0,10.0,First call,1.0,45-49,Black,Male,Mikulski,,Approve,Approve,Glendening,Neither,,,Yes,Better,Clinton,Democrat,Some college,50 to 75K,Conservative,18 to 64,State,Complete,Baltimore suburbs,45 to 59,40 to 49,Democrat,40 to 49,1.6280000000000001,Education,Favorable
1.0,0.0,G,21.0,3.0,11.0,First call,1.0,30-39,Black,Male,Mikulski,Glendening,Approve,Approve,Did not vote,Neither,No,No,No,Better,Clinton,Democrat,Postgrad,100K or more,Moderate,18 to 64,State,Complete,Baltimore suburbs,30 to 44,30 to 39,Democrat,30 to 39,1.6,Education,Favorable
1.0,0.0,G,21.0,3.0,12.0,First call,1.0,18-24,White,Male,Mikulski,Glendening,Approve,,Glendening,Support Clinton,No,No,No,Better,Clinton,Democrat,College grad,15 to 30K,Liberal,18 to 64,State,Complete,Baltimore suburbs,18 to 29,18 to 24,Democrat,18 to 24,1.5070000000000001,,Favorable
1.0,0.0,G,21.0,3.0,13.0,First call,1.0,50-59,Black,Male,Mikulski,Sauerbrey,Approve,,Glendening,Neither,No,No,Yes,Better,Clinton,Democrat,Postgrad,100K or more,Moderate,18 to 64,State,Complete,Baltimore suburbs,45 to 59,50 to 59,Democrat,50 to 64,1.678,Economy/jobs,Favorable
1.0,0.0,G,21.0,3.0,14.0,First call,1.0,45-49,White,Female,Pierpoint,Sauerbrey,Disapprove,Disapprove,Sauerbrey,Oppose Clinton,Yes,Yes,Yes,Same,Dole,Republican,Some college,50 to 75K,Conservative,18 to 64,State,Complete,Baltimore suburbs,45 to 59,40 to 49,Republican,40 to 49,1.227,Abortion,Unfavorable
1.0,0.0,G,21.0,3.0,15.0,First call,1.0,45-49,White,Male,Pierpoint,Sauerbrey,Disapprove,Approve,Sauerbrey,Oppose Clinton,Yes,Yes,No,Better,Dole,Republican,Postgrad,50 to 75K,Conservative,18 to 64,State,Complete,Baltimore suburbs,45 to 59,40 to 49,Republican,40 to 49,1.295,Abortion,Unfavorable
1.0,0.0,G,21.0,3.0,16.0,Second call,1.0,18-24,White,Male,Mikulski,Glendening,Approve,Approve,,Support Clinton,No,No,Yes,Same,,Democrat,Some college,15 to 30K,Moderate,18 to 64,State,Complete,Baltimore suburbs,18 to 29,18 to 24,Democrat,18 to 24,1.5070000000000001,Economy/jobs,Favorable
1.0,0.0,G,21.0,3.0,17.0,Second call,1.0,30-39,White,Female,Mikulski,Glendening,Approve,Approve,Did not vote,Neither,No,Yes,Yes,Better,Dole,Republican,College grad,50 to 75K,Moderate,18 to 64,State,Complete,Baltimore suburbs,30 to 44,30 to 39,Republican,30 to 39,1.376,Environment,Unfavorable
1.0,0.0,G,21.0,3.0,18.0,Second call,1.0,40-44,Other,Female,Pierpoint,Sauerbrey,Disapprove,Approve,Sauerbrey,Oppose Clinton,,Yes,,Worse,Dole,Republican,College grad,100K or more,Conservative,18 to 64,State,Complete,Baltimore suburbs,30 to 44,40 to 49,Republican,40 to 49,1.227,Gun control,Unfavorable
1.0,0.0,G,21.0,3.0,19.0,Second call,1.0,40-44,White,Male,Pierpoint,Sauerbrey,Disapprove,Approve,Sauerbrey,Oppose Clinton,Yes,Yes,Yes,Better,Dole,Republican,Postgrad,100K or more,Moderate,18 to 64,State,Complete,Baltimore suburbs,30 to 44,40 to 49,Republican,40 to 49,1.295,Economy/jobs,Unfavorable
1.0,0.0,G,21.0,3.0,20.0,Second call,1.0,40-44,White,Female,Mikulski,Glendening,Approve,Disapprove,Did not vote,Neither,No,No,Yes,Better,Clinton,Republican,Postgrad,100K or more,Moderate,18 to 64,State,Complete,Baltimore suburbs,30 to 44,40 to 49,Republican,40 to 49,1.376,Education,Unfavorable
1.0,0.0,G,21.0,3.0,21.0,Second call,1.0,30-39,Black,Male,Pierpoint,Sauerbrey,Disapprove,Disapprove,Sauerbrey,Oppose Clinton,Yes,Yes,Yes,Same,Dole,Republican,HS grad,30 to 50K,Conservative,18 to 64,State,Complete,Baltimore suburbs,30 to 44,30 to 39,Republican,30 to 39,1.427,,Unfavorable
1.0,0.0,G,21.0,3.0,22.0,Second call,1.0,40-44,White,Female,Mikulski,Glendening,Approve,Approve,Glendening,Neither,No,No,Yes,Better,Clinton,Independent,College grad,30 to 50K,Moderate,18 to 64,State,Complete,Baltimore suburbs,30 to 44,40 to 49,Independent/Other,40 to 49,1.376,Economy/jobs,Favorable
1.0,0.0,G,21.0,3.0,23.0,Second call,1.0,30-39,White,Female,Mikulski,Glendening,Approve,Disapprove,Glendening,Neither,No,No,No,Same,Clinton,Independent,College grad,50 to 75K,Moderate,18 to 64,State,Complete,Baltimore suburbs,30 to 44,30 to 39,Independent/Other,30 to 39,1.376,Abortion,Favorable
1.0,0.0,G,21.0,3.0,24.0,Second call,1.0,65 and over,White,Female,Mikulski,Glendening,Approve,Disapprove,Glendening,Neither,No,No,Yes,Better,Clinton,Democrat,Some college,30 to 50K,Liberal,65 and over,State,Complete,Baltimore suburbs,60 and over,60 and over,Democrat,65 and over,1.641,Gambling,Unfavorable
1.0,0.0,G,21.0,3.0,25.0,Second call,1.0,50-59,White,Male,Pierpoint,Sauerbrey,Disapprove,Disapprove,Sauerbrey,Oppose Clinton,Yes,Yes,No,Worse,Dole,Independent,College grad,75 to 100K,Conservative,18 to 64,State,Complete,Baltimore suburbs,45 to 59,50 to 59,Independent/Other,50 to 64,1.295,Gun control,Unfavorable
1.0,0.0,G,21.0,3.0,26.0,Second call,1.0,25-29,White,Female,Mikulski,Sauerbrey,Disapprove,Approve,Did not vote,Support Clinton,No,No,No,Better,Did not vote,Democrat,College grad,30 to 50K,Moderate,18 to 64,State,Complete,Baltimore suburbs,18 to 29,25 to 29,Democrat,25 to 29,1.499,Education,Favorable
1.0,0.0,G,21.0,3.0,27.0,Second call,1.0,50-59,White,Female,Pierpoint,Sauerbrey,Disapprove,Disapprove,Sauerbrey,Neither,Yes,Yes,No,Worse,Dole,Independent,HS grad,15 to 30K,Conservative,18 to 64,State,Complete,Baltimore suburbs,45 to 59,50 to 59,Independent/Other,50 to 64,1.227,,Favorable
1.0,0.0,G,21.0,3.0,28.0,Second call,1.0,18-24,White,Male,Pierpoint,Sauerbrey,Disapprove,Approve,Sauerbrey,Oppose Clinton,Yes,Yes,Yes,Better,Dole,Independent,HS grad,50 to 75K,Moderate,18 to 64,State,Complete,Baltimore suburbs,18 to 29,18 to 24,Independent/Other,18 to 24,1.3439999999999999,Abortion,Unfavorable
1.0,0.0,G,21.0,3.0,29.0,Second call,1.0,40-44,White,Female,Mikulski,Sauerbrey,Disapprove,Approve,Glendening,Neither,No,No,Yes,Same,Clinton,Democrat,College grad,50 to 75K,Liberal,18 to 64,State,Complete,Baltimore suburbs,30 to 44,40 to 49,Democrat,40 to 49,1.441,Taxes,Unfavorable
1.0,0.0,G,21.0,3.0,30.0,Third call,1.0,40-44,White,Female,Pierpoint,Sauerbrey,Disapprove,Disapprove,Sauerbrey,Neither,,Yes,,Same,Perot,Democrat,,50 to 75K,Moderate,18 to 64,State,Complete,Baltimore suburbs,30 to 44,40 to 49,Democrat,40 to 49,1.227,Abortion,Unfavorable
1.0,0.0,G,21.0,3.0,31.0,Third call,1.0,30-39,Black,Male,Mikulski,Sauerbrey,Approve,Disapprove,Did not vote,Neither,No,No,Yes,Better,Did not vote,Independent,Some college,75 to 100K,Conservative,18 to 64,State,Complete,Baltimore suburbs,30 to 44,30 to 39,Independent/Other,30 to 39,1.678,Economy/jobs,Unfavorable
1.0,0.0,G,21.0,3.0,32.0,Third call,1.0,40-44,White,Female,Mikulski,Glendening,Approve,Disapprove,Glendening,Neither,No,No,Yes,Better,Clinton,Democrat,Postgrad,75 to 100K,Liberal,18 to 64,State,Complete,Baltimore suburbs,30 to 44,40 to 49,Democrat,40 to 49,1.376,Gun control,Favorable
1.0,0.0,G,21.0,3.0,33.0,Third call,1.0,50-59,White,Male,Mikulski,Glendening,Approve,Disapprove,Glendening,Neither,No,No,Yes,Better,Clinton,Independent,Postgrad,50 to 75K,Moderate,18 to 64,State,Complete,Baltimore suburbs,45 to 59,50 to 59,Independent/Other,50 to 64,1.451,Gun control,Unfavorable
1.0,0.0,G,21.0,3.0,34.0,Third call,1.0,40-44,Black,Male,Mikulski,Glendening,Approve,Disapprove,Glendening,Neither,No,No,Yes,Better,Clinton,Independent,College grad,75 to 100K,Moderate,18 to 64,State,Complete,Baltimore suburbs,30 to 44,40 to 49,Independent/Other,40 to 49,1.6,Education,Favorable
1.0,0.0,G,21.0,3.0,35.0,Third call,1.0,45-49,White,Female,Pierpoint,Sauerbrey,Disapprove,Disapprove,Sauerbrey,Oppose Clinton,Yes,Yes,Yes,Same,Dole,Republican,HS grad,100K or more,Moderate,18 to 64,State,Complete,Baltimore suburbs,45 to 59,40 to 49,Republican,40 to 49,1.227,Taxes,Unfavorable
1.0,0.0,G,21.0,3.0,36.0,Third call,1.0,50-59,Black,Male,Mikulski,Glendening,Approve,Disapprove,Glendening,Neither,No,No,No,Better,Clinton,Independent,College grad,75 to 100K,Liberal,18 to 64,State,Complete,Baltimore suburbs,45 to 59,50 to 59,Independent/Other,50 to 64,1.6,Education,Favorable
1.0,0.0,G,21.0,3.0,37.0,Third call,1.0,18-24,Hispanic,Female,Mikulski,Glendening,Approve,Approve,Did not vote,Neither,No,No,No,Worse,Did not vote,Democrat,Some college,50 to 75K,Moderate,18 to 64,State,Complete,Baltimore suburbs,18 to 29,18 to 24,Democrat,18 to 24,1.575,Gun control,Favorable
1.0,0.0,G,21.0,3.0,38.0,Third call,1.0,45-49,White,Male,Mikulski,Sauerbrey,Approve,Disapprove,Glendening,Neither,No,No,No,Same,Clinton,Democrat,Some college,50 to 75K,Moderate,18 to 64,State,Complete,Baltimore suburbs,45 to 59,40 to 49,Democrat,40 to 49,1.522,Environment,Favorable
1.0,0.0,G,21.0,3.0,39.0,Third call,1.0,30-39,White,Male,Pierpoint,Sauerbrey,Disapprove,Approve,Sauerbrey,Neither,No,No,Yes,Worse,Dole,Republican,HS grad,15 to 30K,Moderate,18 to 64,State,Complete,Baltimore suburbs,30 to 44,30 to 39,Republican,30 to 39,1.295,Economy/jobs,Unfavorable
1.0,0.0,G,21.0,3.0,40.0,Third call,1.0,45-49,White,Male,Pierpoint,Sauerbrey,Disapprove,Approve,Sauerbrey,Neither,No,No,No,Better,Dole,Republican,HS grad,30 to 50K,Moderate,18 to 64,State,Complete,Baltimore suburbs,45 to 59,40 to 49,Republican,40 to 49,1.295,Education,Favorable
1.0,0.0,G,21.0,3.0,41.0,Third call,1.0,30-39,White,Male,Pierpoint,Sauerbrey,Approve,Approve,Sauerbrey,Neither,No,Yes,No,Same,Dole,Republican,College grad,100K or more,Moderate,18 to 64,State,Complete,Baltimore suburbs,30 to 44,30 to 39,Republican,30 to 39,1.295,Taxes,Unfavorable
1.0,0.0,G,21.0,3.0,42.0,Third call,1.0,30-39,White,Male,Mikulski,Glendening,Disapprove,Disapprove,Did not vote,Oppose Clinton,Yes,Yes,No,Better,Dole,Republican,College grad,100K or more,Moderate,18 to 64,State,Complete,Baltimore suburbs,30 to 44,30 to 39,Republican,30 to 39,1.451,Economy/jobs,Unfavorable
