State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Senator Vote,Governor Vote,House Vote,Clinton Approval,Congress Approval,Reason for Cong Vote,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Finanacial Situation,1996 vote,Party ID,Amend A: Bar prop tax,Income,Ideology,Age (65 and over),Daschle: Clin-Lwnsky,State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight 3 decimal pl
42.0,4.0,11.0,First call,65 and over,White,Female,Daschle,Hunhoff,Moser,Approve,Approve,Neither,No,No,Yes,Same,Clinton,Democrat,No,Under 15K,Moderate,65 and over,Approve,State,Complete,Northeast,60 and over,60 and over,Democrat,65 and over,0.19199999999999998
42.0,4.0,12.0,First call,65 and over,White,Male,Daschle,Hunhoff,Moser,Approve,Disapprove,,,,,,,,No,,,65 and over,Approve,State,Not complete,Northeast,60 and over,60 and over,,65 and over,0.21900000000000003
42.0,4.0,13.0,First call,40-44,White,Male,Daschle,Hunhoff,Moser,Approve,Disapprove,Neither,No,No,Yes,Better,Clinton,Democrat,No,50 to 75K,Moderate,18 to 64,Approve,State,Complete,Northeast,30 to 44,40 to 49,Democrat,40 to 49,0.222
42.0,4.0,14.0,First call,30-39,White,Male,Daschle,Hunhoff,Thune,Approve,Disapprove,Neither,No,Yes,No,Better,Perot,Republican,Yes,15 to 30K,Moderate,18 to 64,Approve,State,Complete,Northeast,30 to 44,30 to 39,Republican,30 to 39,0.21500000000000002
42.0,4.0,15.0,First call,40-44,White,Female,Daschle,Hunhoff,Moser,Approve,Disapprove,Support Clinton,No,No,No,Same,Dole,Democrat,No,,Liberal,18 to 64,Approve,State,Complete,Northeast,30 to 44,40 to 49,Democrat,40 to 49,0.194
42.0,4.0,16.0,First call,50-59,White,Male,Daschle,Hunhoff,Moser,Approve,Disapprove,Neither,No,No,Yes,Same,Clinton,Democrat,No,30 to 50K,Liberal,18 to 64,Approve,State,Complete,Northeast,45 to 59,50 to 59,Democrat,50 to 64,0.222
42.0,4.0,17.0,First call,40-44,White,Male,Daschle,Janklow,Thune,Approve,Approve,Neither,No,,No,Better,Dole,Democrat,Yes,30 to 50K,Moderate,18 to 64,Approve,State,Complete,Northeast,30 to 44,40 to 49,Democrat,40 to 49,0.306
42.0,4.0,18.0,First call,18-24,White,Male,Schmidt,Janklow,Thune,Disapprove,Approve,,,,,,,,Yes,,,18 to 64,Disapprove,State,Not complete,Northeast,18 to 29,18 to 24,,18 to 24,0.33299999999999996
42.0,4.0,19.0,First call,65 and over,White,Female,Daschle,Hunhoff,Moser,Approve,Approve,Neither,No,No,No,Same,Clinton,Democrat,No,50 to 75K,Moderate,65 and over,Approve,State,Complete,Northeast,60 and over,60 and over,Democrat,65 and over,0.19199999999999998
42.0,4.0,20.0,Second call,18-24,White,Female,Daschle,Hunhoff,Moser,Approve,Approve,Neither,No,No,No,Better,Clinton,Democrat,No,Under 15K,Liberal,18 to 64,Approve,State,Complete,Northeast,18 to 29,18 to 24,Democrat,18 to 24,0.24
42.0,4.0,21.0,Second call,18-24,White,Male,Daschle,Janklow,Thune,Approve,Approve,Neither,No,No,No,Better,Clinton,Republican,No,15 to 30K,Conservative,18 to 64,Approve,State,Complete,Northeast,18 to 29,18 to 24,Republican,18 to 24,0.455
42.0,4.0,22.0,Second call,50-59,White,Female,Daschle,Janklow,Moser,Approve,Disapprove,Neither,No,No,No,Same,Perot,Democrat,No,75 to 100K,Moderate,18 to 64,Approve,State,Complete,Northeast,45 to 59,50 to 59,Democrat,50 to 64,0.283
42.0,4.0,23.0,Second call,45-49,White,Male,Schmidt,Hunhoff,Thune,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Better,Dole,Republican,No,75 to 100K,Moderate,18 to 64,Disapprove,State,Complete,Northeast,45 to 59,40 to 49,Republican,40 to 49,0.23
42.0,4.0,24.0,Second call,65 and over,White,Female,Daschle,Janklow,Moser,Approve,Disapprove,Neither,No,No,Yes,Same,Clinton,Democrat,No,30 to 50K,Moderate,65 and over,Approve,State,Complete,Northeast,60 and over,60 and over,Democrat,65 and over,0.279
42.0,4.0,25.0,Second call,30-39,White,Female,Schmidt,Hunhoff,Thune,Disapprove,Approve,Oppose Clinton,Yes,Yes,No,Better,Dole,Independent,Yes,50 to 75K,Moderate,18 to 64,Disapprove,State,Complete,Northeast,30 to 44,30 to 39,Independent/Other,30 to 39,0.166
42.0,4.0,26.0,Second call,45-49,White,Male,Daschle,Janklow,Moser,Approve,Approve,Neither,Yes,No,Yes,Same,Clinton,Democrat,No,30 to 50K,Moderate,18 to 64,Approve,State,Complete,Northeast,45 to 59,40 to 49,Democrat,40 to 49,0.318
42.0,4.0,27.0,Second call,40-44,White,Female,Schmidt,Hunhoff,Thune,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Worse,Clinton,Democrat,Yes,15 to 30K,Liberal,18 to 64,Disapprove,State,Complete,Northeast,30 to 44,40 to 49,Democrat,40 to 49,0.166
42.0,4.0,28.0,Second call,18-24,White,Male,Schmidt,Janklow,Thune,Disapprove,Approve,Oppose Clinton,Yes,Yes,No,Better,Dole,Republican,No,15 to 30K,Conservative,18 to 64,Disapprove,State,Complete,Northeast,18 to 29,18 to 24,Republican,18 to 24,0.404
42.0,4.0,29.0,Second call,18-24,White,Male,Schmidt,Janklow,Thune,Disapprove,Approve,Oppose Clinton,Yes,No,No,Same,Dole,Independent,No,Under 15K,Moderate,18 to 64,Disapprove,State,Complete,Northeast,18 to 29,18 to 24,Independent/Other,18 to 24,0.404
42.0,4.0,30.0,Second call,40-44,White,Male,Daschle,Janklow,Thune,Approve,Disapprove,Neither,No,No,Yes,Better,Clinton,Independent,No,30 to 50K,Moderate,18 to 64,Approve,State,Complete,Northeast,30 to 44,40 to 49,Independent/Other,40 to 49,0.37399999999999994
42.0,4.0,31.0,Second call,30-39,White,Female,Daschle,Janklow,Thune,Approve,Disapprove,Support Clinton,No,No,No,Same,Clinton,Republican,No,Under 15K,Liberal,18 to 64,Approve,State,Complete,Northeast,30 to 44,30 to 39,Republican,30 to 39,0.32999999999999996
42.0,4.0,32.0,Second call,40-44,White,Male,Daschle,Janklow,Thune,Approve,Disapprove,Neither,No,No,Yes,Better,Dole,Republican,No,30 to 50K,Moderate,18 to 64,Approve,State,Complete,Northeast,30 to 44,40 to 49,Republican,40 to 49,0.37399999999999994
42.0,4.0,33.0,Second call,30-39,White,Female,Daschle,Janklow,Thune,Approve,Disapprove,Support Clinton,No,No,No,Same,Clinton,Republican,No,15 to 30K,Liberal,18 to 64,Approve,State,Complete,Northeast,30 to 44,30 to 39,Republican,30 to 39,0.32999999999999996
42.0,4.0,34.0,Second call,30-39,White,Female,Daschle,Janklow,Thune,Approve,Disapprove,Support Clinton,No,No,No,Same,Clinton,Republican,No,Under 15K,Liberal,18 to 64,Approve,State,Complete,Northeast,30 to 44,30 to 39,Republican,30 to 39,0.32999999999999996
42.0,4.0,35.0,Second call,40-44,White,Male,Daschle,Janklow,Thune,Approve,Disapprove,Neither,No,No,Yes,Better,Clinton,Independent,No,30 to 50K,Moderate,18 to 64,Approve,State,Complete,Northeast,30 to 44,40 to 49,Independent/Other,40 to 49,0.37399999999999994
42.0,4.0,36.0,Second call,65 and over,White,Female,Daschle,Hunhoff,Thune,Approve,,Neither,No,No,Yes,Better,Clinton,Democrat,No,30 to 50K,Moderate,65 and over,Approve,State,Complete,Northeast,60 and over,60 and over,Democrat,65 and over,0.227
42.0,4.0,37.0,Second call,18-24,White,Male,Schmidt,Janklow,Thune,Disapprove,Approve,Oppose Clinton,Yes,Yes,No,Same,Dole,Independent,No,Under 15K,Moderate,18 to 64,Disapprove,State,Complete,Northeast,18 to 29,18 to 24,Independent/Other,18 to 24,0.404
42.0,4.0,38.0,Second call,18-24,White,Male,Schmidt,Janklow,Thune,Disapprove,Approve,Oppose Clinton,Yes,Yes,No,Better,Dole,Republican,No,15 to 30K,Conservative,18 to 64,Disapprove,State,Complete,Northeast,18 to 29,18 to 24,Republican,18 to 24,0.404
42.0,4.0,39.0,Second call,18-24,White,Female,Schmidt,Janklow,Thune,Approve,Approve,Neither,No,No,No,Same,Dole,Republican,No,50 to 75K,Liberal,18 to 64,Disapprove,State,Complete,Northeast,18 to 29,18 to 24,Republican,18 to 24,0.36
42.0,4.0,40.0,Second call,40-44,White,Female,Schmidt,Hunhoff,Thune,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Worse,Clinton,Democrat,Yes,15 to 30K,Liberal,18 to 64,Disapprove,State,Complete,Northeast,30 to 44,40 to 49,Democrat,40 to 49,0.166
42.0,4.0,41.0,Second call,45-49,White,Male,Daschle,Janklow,Moser,Approve,Disapprove,Neither,No,No,Yes,Same,Clinton,Democrat,No,30 to 50K,Moderate,18 to 64,Approve,State,Complete,Northeast,45 to 59,40 to 49,Democrat,40 to 49,0.318
42.0,4.0,42.0,Second call,30-39,White,Female,Schmidt,Hunhoff,Thune,Disapprove,Approve,Oppose Clinton,Yes,Yes,No,Better,Dole,Independent,Yes,50 to 75K,Moderate,18 to 64,Disapprove,State,Complete,Northeast,30 to 44,30 to 39,Independent/Other,30 to 39,0.166
42.0,4.0,43.0,Second call,65 and over,White,Female,Daschle,Janklow,Moser,Approve,Approve,Neither,No,No,Yes,Same,Clinton,Democrat,No,30 to 50K,Moderate,65 and over,Approve,State,Complete,Northeast,60 and over,60 and over,Democrat,65 and over,0.279
42.0,4.0,44.0,Second call,45-49,White,Male,Schmidt,Hunhoff,Thune,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Better,Dole,Republican,No,75 to 100K,Moderate,18 to 64,Disapprove,State,Complete,Northeast,45 to 59,40 to 49,Republican,40 to 49,0.23
42.0,4.0,45.0,Second call,50-59,White,Female,Daschle,Janklow,Moser,Approve,Disapprove,Neither,No,No,No,Worse,Perot,Independent,No,75 to 100K,Moderate,18 to 64,Approve,State,Complete,Northeast,45 to 59,50 to 59,Independent/Other,50 to 64,0.283
42.0,4.0,46.0,Second call,18-24,White,Male,Daschle,Janklow,Thune,Approve,Approve,Neither,No,No,No,Better,Clinton,Republican,No,15 to 30K,Conservative,18 to 64,Approve,State,Complete,Northeast,18 to 29,18 to 24,Republican,18 to 24,0.455
42.0,4.0,47.0,Second call,18-24,White,Female,Daschle,Hunhoff,Moser,Approve,Approve,Neither,No,No,No,Better,Clinton,Democrat,No,Under 15K,Liberal,18 to 64,Approve,State,Complete,Northeast,18 to 29,18 to 24,Democrat,18 to 24,0.24
42.0,4.0,48.0,Third call,25-29,White,Female,Daschle,Hunhoff,Thune,Disapprove,Approve,Neither,Yes,Yes,Yes,Same,Dole,Republican,No,30 to 50K,Moderate,18 to 64,Approve,State,Complete,Northeast,18 to 29,25 to 29,Republican,25 to 29,0.278
42.0,4.0,49.0,Third call,30-39,White,Female,Daschle,Janklow,Thune,Approve,Approve,Neither,No,No,No,Same,Perot,Independent,No,30 to 50K,Liberal,18 to 64,Approve,State,Complete,Northeast,30 to 44,30 to 39,Independent/Other,30 to 39,0.32999999999999996
42.0,4.0,50.0,Third call,18-24,White,Female,Daschle,Hunhoff,Moser,Approve,Approve,Support Clinton,No,No,No,Better,Clinton,Democrat,No,Under 15K,Liberal,18 to 64,Approve,State,Complete,Northeast,18 to 29,18 to 24,Democrat,18 to 24,0.24
42.0,4.0,51.0,Third call,18-24,White,Male,Schmidt,Janklow,Thune,Disapprove,Disapprove,Neither,Yes,Yes,,,Dole,Republican,,,Conservative,18 to 64,,State,Complete,Northeast,18 to 29,18 to 24,Republican,18 to 24,0.386
42.0,4.0,52.0,Third call,30-39,White,Female,Daschle,Janklow,Thune,Approve,Approve,Neither,No,No,No,Better,Perot,Something else,No,50 to 75K,Conservative,18 to 64,Approve,State,Complete,Northeast,30 to 44,30 to 39,Independent/Other,30 to 39,0.32999999999999996
42.0,4.0,53.0,Third call,30-39,White,Male,Daschle,Hunhoff,Thune,Approve,Approve,Neither,No,No,,Better,Clinton,Democrat,No,50 to 75K,Moderate,18 to 64,Approve,State,Complete,Northeast,30 to 44,30 to 39,Democrat,30 to 39,0.258
42.0,4.0,54.0,Third call,50-59,White,Female,Daschle,Hunhoff,Thune,Approve,Approve,Neither,No,No,No,Better,Perot,Independent,No,50 to 75K,Conservative,18 to 64,Approve,State,Complete,Northeast,45 to 59,50 to 59,Independent/Other,50 to 64,0.229
42.0,4.0,55.0,Third call,65 and over,White,Female,Daschle,Hunhoff,Moser,Approve,Disapprove,Support Clinton,No,No,,Worse,Clinton,Democrat,Yes,50 to 75K,Liberal,65 and over,Approve,State,Complete,Northeast,60 and over,60 and over,Democrat,65 and over,0.159
42.0,4.0,56.0,Third call,45-49,White,Male,Daschle,Janklow,Thune,Approve,Approve,Neither,No,No,No,Same,Clinton,Independent,No,15 to 30K,Moderate,18 to 64,Disapprove,State,Complete,Northeast,45 to 59,40 to 49,Independent/Other,40 to 49,0.37399999999999994
42.0,4.0,57.0,Third call,30-39,White,Male,Daschle,Janklow,Moser,Approve,Disapprove,Neither,No,Yes,Yes,Same,Clinton,Democrat,No,30 to 50K,Moderate,18 to 64,Approve,State,Complete,Northeast,30 to 44,30 to 39,Democrat,30 to 39,0.318
42.0,4.0,58.0,Third call,30-39,White,Female,Daschle,Janklow,Thune,Approve,Approve,Neither,No,No,Yes,Same,Clinton,Democrat,No,15 to 30K,Moderate,18 to 64,Approve,State,Complete,Northeast,30 to 44,30 to 39,Democrat,30 to 39,0.32999999999999996
42.0,4.0,59.0,Third call,18-24,White,Male,Daschle,Janklow,Thune,Approve,Approve,Neither,No,No,Yes,Same,Dole,Republican,Yes,Under 15K,Moderate,18 to 64,Approve,State,Complete,Northeast,18 to 29,18 to 24,Republican,18 to 24,0.37499999999999994
42.0,4.0,60.0,Third call,25-29,White,Male,Daschle,Janklow,Moser,Disapprove,Disapprove,Neither,No,No,Yes,Same,Dole,Republican,No,15 to 30K,Moderate,18 to 64,Disapprove,State,Complete,Northeast,18 to 29,25 to 29,Republican,25 to 29,0.38899999999999996
42.0,4.0,61.0,Third call,40-44,White,Male,Daschle,Janklow,Thune,Disapprove,Approve,Neither,Yes,No,No,Worse,Dole,Republican,Yes,30 to 50K,Moderate,18 to 64,Disapprove,State,Complete,Northeast,30 to 44,40 to 49,Republican,40 to 49,0.306
42.0,4.0,62.0,Third call,25-29,White,Male,Schmidt,Janklow,Thune,Disapprove,Disapprove,Neither,No,No,Yes,Same,Clinton,Republican,Yes,Under 15K,Moderate,18 to 64,Disapprove,State,Complete,Northeast,18 to 29,25 to 29,Republican,25 to 29,0.33299999999999996
42.0,4.0,63.0,Third call,60-64,White,Female,Schmidt,Janklow,Thune,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Worse,Dole,Republican,No,15 to 30K,Conservative,18 to 64,Disapprove,State,Complete,Northeast,60 and over,60 and over,Republican,50 to 64,0.29
42.0,4.0,64.0,Third call,40-44,White,Female,Daschle,Hunhoff,Moser,Approve,Approve,Neither,No,No,No,Worse,Clinton,Democrat,No,30 to 50K,Moderate,18 to 64,Approve,State,Complete,Northeast,30 to 44,40 to 49,Democrat,40 to 49,0.194
42.0,7.0,1.0,First call,65 and over,White,Female,Daschle,Hunhoff,Thune,,Disapprove,,,,,,,,Yes,,,65 and over,Approve,State,Not complete,Northeast,60 and over,60 and over,,65 and over,0.319
42.0,7.0,2.0,First call,65 and over,White,,Daschle,Hunhoff,Moser,Approve,Approve,,,,,,,,No,,,65 and over,Approve,State,Not complete,Northeast,60 and over,60 and over,,65 and over,0.377
42.0,7.0,3.0,First call,60-64,White,Male,Daschle,Hunhoff,Thune,Approve,Disapprove,Neither,Yes,Yes,Yes,Same,Dole,Independent,Yes,,Conservative,18 to 64,,State,Complete,Northeast,60 and over,60 and over,Independent/Other,50 to 64,0.362
42.0,7.0,4.0,First call,30-39,White,Male,Schmidt,Janklow,Thune,Disapprove,,Oppose Clinton,Yes,Yes,No,Worse,Dole,Republican,No,30 to 50K,Conservative,18 to 64,Disapprove,State,Complete,Northeast,30 to 44,30 to 39,Republican,30 to 39,0.569
42.0,7.0,5.0,First call,25-29,White,Male,Daschle,Hunhoff,Moser,Approve,Approve,Neither,No,No,No,Same,Perot,Democrat,Yes,15 to 30K,Conservative,18 to 64,Approve,State,Complete,Northeast,18 to 29,25 to 29,Democrat,25 to 29,0.38299999999999995
42.0,7.0,6.0,First call,50-59,White,Male,Daschle,Hunhoff,Moser,Approve,Approve,Neither,No,No,No,Same,Clinton,Independent,Yes,30 to 50K,Moderate,18 to 64,Approve,State,Complete,Northeast,45 to 59,50 to 59,Independent/Other,50 to 64,0.31399999999999995
42.0,7.0,7.0,First call,65 and over,White,Male,Daschle,Janklow,Thune,Disapprove,Approve,Oppose Clinton,No,No,No,Better,Clinton,Republican,,15 to 30K,Moderate,65 and over,Disapprove,State,Complete,Northeast,60 and over,60 and over,Republican,65 and over,0.606
42.0,7.0,8.0,First call,18-24,White,Female,Daschle,Hunhoff,Moser,Disapprove,Approve,Neither,No,No,No,Same,Did not vote,Democrat,No,50 to 75K,Moderate,18 to 64,Approve,State,Complete,Northeast,18 to 29,18 to 24,Democrat,18 to 24,0.40900000000000003
42.0,7.0,9.0,First call,30-39,White,Female,Schmidt,Janklow,Thune,,Approve,Neither,No,Yes,No,Same,Clinton,Democrat,No,30 to 50K,Moderate,18 to 64,Disapprove,State,Complete,Northeast,30 to 44,30 to 39,Democrat,30 to 39,0.501
42.0,7.0,10.0,First call,50-59,White,Male,,Janklow,Thune,Disapprove,Approve,,,,,,,,Yes,,,18 to 64,Disapprove,State,Not complete,Northeast,45 to 59,50 to 59,,50 to 64,0.501
42.0,7.0,11.0,First call,60-64,,Male,,,,,,Oppose Clinton,,Yes,,Same,Dole,Republican,No,,Conservative,18 to 64,Disapprove,State,Complete,Northeast,60 and over,60 and over,Republican,50 to 64,0.517
42.0,7.0,12.0,First call,50-59,White,Female,Daschle,Janklow,Thune,Approve,Disapprove,Neither,No,No,No,Better,Clinton,Democrat,No,30 to 50K,Moderate,18 to 64,Approve,State,Complete,Northeast,45 to 59,50 to 59,Democrat,50 to 64,0.5640000000000001
42.0,7.0,13.0,First call,18-24,White,Male,Daschle,Janklow,Thune,Approve,Disapprove,Neither,No,No,No,Better,Clinton,Independent,No,75 to 100K,Conservative,18 to 64,Disapprove,State,Complete,Northeast,18 to 29,18 to 24,Independent/Other,18 to 24,0.78
42.0,7.0,14.0,First call,40-44,White,Male,Daschle,Janklow,Thune,,,Neither,No,No,Yes,Same,Dole,Republican,No,15 to 30K,Conservative,18 to 64,,State,Complete,Northeast,30 to 44,40 to 49,Republican,40 to 49,0.64
42.0,7.0,15.0,First call,50-59,White,Male,Daschle,Hunhoff,Moser,Approve,Disapprove,,,,,,,,Yes,,,18 to 64,Approve,State,Not complete,Northeast,45 to 59,50 to 59,,50 to 64,0.31399999999999995
42.0,7.0,16.0,First call,40-44,White,Female,Daschle,Hunhoff,Moser,Approve,Disapprove,Support Clinton,No,No,No,Better,Clinton,Independent,Yes,50 to 75K,Liberal,18 to 64,Approve,State,Complete,Northeast,30 to 44,40 to 49,Independent/Other,40 to 49,0.276
42.0,7.0,17.0,First call,40-44,White,Female,Daschle,Janklow,Moser,Disapprove,Disapprove,Oppose Clinton,No,Yes,Yes,Same,Clinton,Democrat,No,,Moderate,18 to 64,Disapprove,State,Complete,Northeast,30 to 44,40 to 49,Democrat,40 to 49,0.484
42.0,7.0,18.0,First call,40-44,White,Male,Daschle,Janklow,Thune,Approve,Disapprove,Neither,No,No,No,Better,Dole,Republican,No,15 to 30K,Conservative,18 to 64,Approve,State,Complete,Northeast,30 to 44,40 to 49,Republican,40 to 49,0.64
42.0,7.0,19.0,First call,30-39,White,Male,Daschle,Janklow,Thune,Disapprove,Approve,Neither,Yes,Yes,No,Same,Dole,Republican,No,100K or more,Conservative,18 to 64,Disapprove,State,Complete,Northeast,30 to 44,30 to 39,Republican,30 to 39,0.64
42.0,7.0,20.0,Second call,25-29,White,Male,Daschle,Janklow,Thune,Approve,Disapprove,Neither,No,No,Yes,Same,Clinton,Republican,Yes,15 to 30K,Moderate,18 to 64,Approve,State,Complete,Northeast,18 to 29,25 to 29,Republican,25 to 29,0.6429999999999999
42.0,7.0,21.0,Second call,30-39,White,Female,Daschle,Janklow,Thune,Approve,Disapprove,Neither,No,No,No,Worse,Clinton,Republican,Yes,Under 15K,Conservative,18 to 64,Disapprove,State,Complete,Northeast,30 to 44,30 to 39,Republican,30 to 39,0.464
42.0,7.0,22.0,Second call,65 and over,White,,Daschle,Janklow,Moser,Approve,Approve,,,,,,,,Yes,,,65 and over,Approve,State,Not complete,Northeast,60 and over,60 and over,,65 and over,0.39499999999999996
42.0,7.0,23.0,Second call,50-59,White,Male,Daschle,Janklow,Moser,Approve,Approve,Support Clinton,No,No,No,Same,Clinton,Democrat,No,30 to 50K,Liberal,18 to 64,,State,Complete,Northeast,45 to 59,50 to 59,Democrat,50 to 64,0.548
42.0,7.0,24.0,Second call,18-24,White,Female,Daschle,Hunhoff,Moser,Approve,Approve,Neither,No,No,No,Worse,Clinton,Democrat,Yes,15 to 30K,Conservative,18 to 64,Approve,State,Complete,Northeast,18 to 29,18 to 24,Democrat,18 to 24,0.337
42.0,7.0,25.0,Second call,30-39,White,Male,Daschle,Hunhoff,Moser,Approve,Disapprove,Neither,No,No,No,Better,Clinton,Democrat,No,30 to 50K,Moderate,18 to 64,Approve,State,Complete,Northeast,30 to 44,30 to 39,Democrat,30 to 39,0.38099999999999995
42.0,7.0,26.0,Second call,50-59,White,Female,Daschle,Hunhoff,Moser,Approve,Disapprove,Neither,No,No,No,Worse,Perot,Something else,Yes,15 to 30K,Conservative,18 to 64,Approve,State,Complete,Northeast,45 to 59,50 to 59,Independent/Other,50 to 64,0.276
42.0,7.0,27.0,Second call,45-49,White,Female,Daschle,Janklow,Thune,Approve,Approve,Neither,No,No,Yes,Better,Clinton,Democrat,Yes,30 to 50K,Liberal,18 to 64,Approve,State,Complete,Northeast,45 to 59,40 to 49,Democrat,40 to 49,0.464
42.0,7.0,28.0,Second call,45-49,White,Male,Daschle,Janklow,Thune,Approve,Approve,Neither,No,No,No,Same,Clinton,Something else,No,Under 15K,Moderate,18 to 64,Approve,State,Complete,Northeast,45 to 59,40 to 49,Independent/Other,40 to 49,0.64
42.0,7.0,29.0,Second call,65 and over,White,Male,Daschle,Hunhoff,Moser,Approve,Approve,Support Clinton,No,No,No,Same,Clinton,Democrat,No,,Liberal,65 and over,Approve,State,Complete,Northeast,60 and over,60 and over,Democrat,65 and over,0.377
42.0,7.0,30.0,Second call,65 and over,White,Male,Daschle,Hunhoff,Moser,Approve,Approve,Neither,No,,,,Clinton,Democrat,No,,Moderate,65 and over,Approve,State,Complete,Northeast,60 and over,60 and over,Democrat,65 and over,0.377
42.0,7.0,31.0,Second call,65 and over,White,Male,Schmidt,Janklow,Thune,Disapprove,Approve,Oppose Clinton,Yes,Yes,No,Same,Dole,Democrat,No,15 to 30K,Moderate,65 and over,Disapprove,State,Complete,Northeast,60 and over,60 and over,Democrat,65 and over,0.5640000000000001
42.0,7.0,32.0,Second call,65 and over,White,Male,Daschle,,,Approve,Disapprove,Neither,No,No,,Same,Clinton,Democrat,Yes,50 to 75K,Moderate,65 and over,Approve,State,Complete,Northeast,60 and over,60 and over,Democrat,65 and over,0.44600000000000006
42.0,7.0,33.0,Second call,50-59,White,Male,Schmidt,Janklow,Moser,Approve,Disapprove,Neither,No,No,Yes,Better,Clinton,Democrat,No,15 to 30K,Moderate,18 to 64,,State,Complete,Northeast,45 to 59,50 to 59,Democrat,50 to 64,0.48800000000000004
42.0,7.0,34.0,Second call,60-64,White,Female,Daschle,Janklow,Thune,Approve,Approve,Support Clinton,No,No,No,Better,Clinton,,No,15 to 30K,Moderate,18 to 64,Approve,State,Complete,Northeast,60 and over,60 and over,,50 to 64,0.558
42.0,7.0,35.0,Second call,50-59,White,Female,Daschle,Janklow,Moser,Approve,Disapprove,Neither,No,No,Yes,Worse,Clinton,Democrat,No,Under 15K,Moderate,18 to 64,Approve,State,Complete,Northeast,45 to 59,50 to 59,Democrat,50 to 64,0.484
42.0,7.0,36.0,Third call,65 and over,White,Female,Schmidt,Janklow,Thune,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Same,Dole,Republican,Yes,50 to 75K,Conservative,65 and over,Approve,State,Complete,Northeast,60 and over,60 and over,Republican,65 and over,0.40900000000000003
