State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Senator Vote,Governor Vote,Clinton Approval,Congress Approval,Reason for Cong Vote,Religious Right,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Finanacial Situation,1996 vote,Party ID,Education,Income,Ideology,Age (65 and over),In touch with avg person,State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight 3 decimal pl,Clinton as person
37.0,2.0,33.0,Third call,40-44,White,Female,Carroll,Boyd,Approve,Disapprove,Neither,No,No,No,Yes,Better,Clinton,Democrat,HS grad,30 to 50K,Moderate,18 to 64,Both are,State,Complete,West,30 to 44,40 to 49,Democrat,40 to 49,0.562,Favorable
37.0,2.0,34.0,Third call,30-39,White,Male,Nickles,Boyd,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Yes,Same,Dole,Republican,HS grad,30 to 50K,Moderate,18 to 64,Both are,State,Complete,West,30 to 44,30 to 39,Republican,30 to 39,0.6920000000000001,Unfavorable
37.0,2.0,35.0,Third call,45-49,White,Female,Nickles,Keating,Approve,Approve,Neither,Yes,No,No,Yes,Better,Other,Democrat,,15 to 30K,Liberal,18 to 64,Both are,State,Complete,West,45 to 59,40 to 49,Democrat,40 to 49,0.602,Unfavorable
37.0,2.0,36.0,Third call,40-44,Other,Female,Nickles,Keating,Disapprove,Disapprove,Neither,Yes,No,Yes,Yes,Worse,Perot,Republican,No HS,15 to 30K,Moderate,18 to 64,Both are,State,Complete,West,30 to 44,40 to 49,Republican,40 to 49,0.602,Unfavorable
37.0,2.0,37.0,Third call,50-59,White,Female,Nickles,Keating,Approve,Approve,Neither,Yes,No,No,Yes,Worse,Clinton,Democrat,Some college,50 to 75K,Liberal,18 to 64,Keating is,State,Complete,West,45 to 59,50 to 59,Democrat,50 to 64,0.602,Unfavorable
37.0,2.0,38.0,Third call,60-64,White,Female,Carroll,Boyd,Approve,Disapprove,Neither,No,No,No,Yes,Same,Clinton,Democrat,Postgrad,30 to 50K,Moderate,18 to 64,Boyd is,State,Complete,West,60 and over,60 and over,Democrat,50 to 64,0.651,
37.0,2.0,39.0,Third call,50-59,White,Male,Nickles,Keating,Disapprove,Disapprove,Neither,Yes,No,Yes,Yes,Same,Clinton,Republican,Postgrad,50 to 75K,Moderate,18 to 64,Both are,State,Complete,West,45 to 59,50 to 59,Republican,50 to 64,0.6429999999999999,Unfavorable
37.0,2.0,40.0,Third call,40-44,White,Male,Nickles,Keating,Disapprove,Disapprove,Oppose Clinton,No,Yes,Yes,Yes,Same,Dole,Democrat,HS grad,30 to 50K,Conservative,18 to 64,Keating is,State,Complete,West,30 to 44,40 to 49,Democrat,40 to 49,0.6429999999999999,Unfavorable
37.0,2.0,41.0,Third call,30-39,White,Male,Nickles,Keating,Approve,Disapprove,Neither,No,No,No,No,Worse,Did not vote,Republican,HS grad,15 to 30K,Moderate,18 to 64,Both are,State,Complete,West,30 to 44,30 to 39,Republican,30 to 39,0.6429999999999999,Unfavorable
37.0,2.0,42.0,Third call,40-44,White,Female,Nickles,Keating,Disapprove,Approve,Neither,No,Yes,Yes,No,Same,Perot,Republican,College grad,50 to 75K,Moderate,18 to 64,Both are,State,Complete,West,30 to 44,40 to 49,Republican,40 to 49,0.602,Unfavorable
37.0,2.0,43.0,Third call,25-29,White,Female,Nickles,Keating,Disapprove,Disapprove,Neither,Yes,Yes,Yes,No,Worse,Did not vote,Republican,College grad,30 to 50K,Conservative,18 to 64,Keating is,State,Complete,West,18 to 29,25 to 29,Republican,25 to 29,0.6609999999999999,Unfavorable
37.0,2.0,44.0,Third call,30-39,White,Male,Nickles,Keating,Disapprove,Disapprove,Neither,No,No,Yes,Yes,Same,Clinton,Democrat,HS grad,30 to 50K,Moderate,18 to 64,Keating is,State,Complete,West,30 to 44,30 to 39,Democrat,30 to 39,0.6429999999999999,Unfavorable
37.0,2.0,45.0,Third call,50-59,White,Male,Nickles,Keating,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,,Same,Dole,Republican,HS grad,50 to 75K,Conservative,18 to 64,Both are,State,Complete,West,45 to 59,50 to 59,Republican,50 to 64,0.6429999999999999,Unfavorable
37.0,2.0,46.0,Third call,60-64,White,Male,Nickles,Keating,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,No,Worse,Dole,Republican,College grad,30 to 50K,Conservative,18 to 64,Keating is,State,Complete,West,60 and over,60 and over,Republican,50 to 64,0.744,Unfavorable
37.0,2.0,47.0,Third call,30-39,White,Female,Nickles,Keating,,,Neither,Yes,No,No,No,Same,Perot,Republican,HS grad,50 to 75K,Liberal,18 to 64,Neither are,State,Complete,West,30 to 44,30 to 39,Republican,30 to 39,0.602,
37.0,8.0,1.0,First call,30-39,White,Male,Nickles,Keating,Disapprove,Approve,Neither,No,Yes,Yes,No,Better,Dole,Republican,College grad,75 to 100K,Conservative,18 to 64,Keating is,State,Complete,Okla City area,30 to 44,30 to 39,Republican,30 to 39,0.897,Unfavorable
37.0,8.0,2.0,First call,45-49,White,Male,Nickles,Keating,Disapprove,Disapprove,Oppose Clinton,,Yes,Yes,Yes,Better,Dole,Republican,College grad,,Conservative,18 to 64,Keating is,State,Complete,Okla City area,45 to 59,40 to 49,Republican,40 to 49,0.897,Unfavorable
37.0,8.0,3.0,First call,65 and over,White,Male,Nickles,Boyd,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,No,,Dole,Democrat,,50 to 75K,Conservative,65 and over,Both are,State,Complete,Okla City area,60 and over,60 and over,Democrat,65 and over,1.279,Unfavorable
37.0,8.0,4.0,First call,45-49,Asian,Male,Carroll,Boyd,Approve,Disapprove,Neither,No,No,No,Yes,Better,Clinton,Democrat,College grad,50 to 75K,Moderate,18 to 64,Boyd is,State,Complete,Okla City area,45 to 59,40 to 49,Democrat,40 to 49,0.943,Unfavorable
37.0,8.0,5.0,First call,65 and over,White,Male,Nickles,Boyd,,Disapprove,Neither,No,Yes,Yes,Yes,Same,Dole,Republican,College grad,15 to 30K,Conservative,65 and over,Boyd is,State,Complete,Okla City area,60 and over,60 and over,Republican,65 and over,1.279,Unfavorable
37.0,8.0,6.0,First call,40-44,White,Male,Carroll,Boyd,Approve,Approve,Neither,No,No,No,Yes,Better,Clinton,Democrat,Postgrad,30 to 50K,Moderate,18 to 64,Both are,State,Complete,Okla City area,30 to 44,40 to 49,Democrat,40 to 49,0.943,Favorable
37.0,8.0,7.0,First call,40-44,White,Female,Nickles,Keating,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Yes,Better,Dole,Republican,College grad,30 to 50K,Conservative,18 to 64,Keating is,State,Complete,Okla City area,30 to 44,40 to 49,Republican,40 to 49,1.134,Unfavorable
37.0,8.0,8.0,First call,30-39,White,Female,Nickles,Keating,Disapprove,Approve,Neither,Yes,No,No,Yes,Better,Dole,Republican,College grad,50 to 75K,Moderate,18 to 64,Both are,State,Complete,Okla City area,30 to 44,30 to 39,Republican,30 to 39,1.134,Unfavorable
37.0,8.0,9.0,First call,50-59,White,Male,Nickles,Keating,Disapprove,Approve,Neither,No,Yes,Yes,No,Same,Dole,Republican,College grad,,Conservative,18 to 64,Keating is,State,Complete,Okla City area,45 to 59,50 to 59,Republican,50 to 64,0.897,Unfavorable
37.0,8.0,10.0,First call,30-39,White,Male,Nickles,Keating,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Yes,Same,Dole,Republican,College grad,50 to 75K,Moderate,18 to 64,Both are,State,Complete,Okla City area,30 to 44,30 to 39,Republican,30 to 39,0.897,Unfavorable
37.0,8.0,11.0,First call,30-39,White,Male,Nickles,Keating,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,No,Same,Dole,Republican,Some college,30 to 50K,Conservative,18 to 64,Both are,State,Complete,Okla City area,30 to 44,30 to 39,Republican,30 to 39,0.897,Unfavorable
37.0,8.0,12.0,First call,40-44,White,Female,Nickles,,Disapprove,Approve,Neither,No,No,Yes,Yes,Same,Perot,Republican,Some college,75 to 100K,Conservative,18 to 64,Both are,State,Complete,Okla City area,30 to 44,40 to 49,Republican,40 to 49,1.203,Unfavorable
37.0,8.0,13.0,First call,30-39,White,Female,Nickles,Keating,Approve,Disapprove,Neither,Yes,Yes,Yes,Yes,Better,Dole,Republican,College grad,50 to 75K,Conservative,18 to 64,Both are,State,Complete,Okla City area,30 to 44,30 to 39,Republican,30 to 39,1.134,Unfavorable
37.0,8.0,14.0,First call,40-44,White,Male,Nickles,Keating,Disapprove,Disapprove,Oppose Clinton,No,No,No,No,Better,Dole,Something else,Some college,100K or more,Moderate,18 to 64,Both are,State,Complete,Okla City area,30 to 44,40 to 49,Independent/Other,40 to 49,0.897,Unfavorable
37.0,8.0,15.0,First call,30-39,White,Male,Nickles,Keating,Disapprove,Approve,Neither,No,Yes,Yes,No,Worse,Dole,Republican,Some college,15 to 30K,Conservative,18 to 64,Neither are,State,Complete,Okla City area,30 to 44,30 to 39,Republican,30 to 39,0.897,Unfavorable
37.0,8.0,16.0,First call,30-39,Hispanic,Male,Nickles,Keating,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,No,Better,Dole,Republican,HS grad,50 to 75K,Conservative,18 to 64,Keating is,State,Complete,Okla City area,30 to 44,30 to 39,Republican,30 to 39,0.732,Unfavorable
37.0,8.0,17.0,Second call,30-39,White,Female,Nickles,Keating,Disapprove,Approve,Neither,Yes,Yes,Yes,No,Better,Dole,Republican,College grad,50 to 75K,Conservative,18 to 64,Both are,State,Complete,Okla City area,30 to 44,30 to 39,Republican,30 to 39,1.134,Unfavorable
37.0,8.0,18.0,Second call,30-39,White,Female,Nickles,Keating,Approve,Approve,Neither,Yes,No,No,No,Better,Dole,Republican,HS grad,30 to 50K,Conservative,18 to 64,Both are,State,Complete,Okla City area,30 to 44,30 to 39,Republican,30 to 39,1.134,Unfavorable
37.0,8.0,19.0,Second call,60-64,White,Female,Nickles,Keating,Disapprove,Approve,Neither,Yes,Yes,Yes,Yes,Same,Dole,Independent,Some college,50 to 75K,Conservative,18 to 64,Keating is,State,Complete,Okla City area,60 and over,60 and over,Independent/Other,50 to 64,1.334,Unfavorable
37.0,8.0,20.0,Second call,50-59,Asian,Male,Carroll,Boyd,Approve,Disapprove,Support Clinton,Yes,No,No,No,Better,Clinton,Democrat,Some college,100K or more,Conservative,18 to 64,Boyd is,State,Complete,Okla City area,45 to 59,50 to 59,Democrat,50 to 64,0.943,Unfavorable
37.0,8.0,21.0,Second call,30-39,White,Male,Carroll,Boyd,Approve,Approve,Neither,No,No,Yes,Yes,Better,Perot,Democrat,Some college,50 to 75K,Moderate,18 to 64,Boyd is,State,Complete,Okla City area,30 to 44,30 to 39,Democrat,30 to 39,0.943,Unfavorable
37.0,8.0,22.0,Second call,60-64,White,Male,Nickles,Keating,Disapprove,Approve,,No,Yes,Yes,Yes,Same,,Democrat,,50 to 75K,Moderate,18 to 64,Keating is,State,Complete,Okla City area,60 and over,60 and over,Democrat,50 to 64,1.055,Unfavorable
37.0,8.0,23.0,Second call,30-39,White,Male,Nickles,Keating,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,No,Better,Dole,Republican,Some college,30 to 50K,Conservative,18 to 64,Keating is,State,Complete,Okla City area,30 to 44,30 to 39,Republican,30 to 39,0.897,Unfavorable
37.0,8.0,24.0,Second call,50-59,White,Male,Nickles,Keating,Disapprove,Approve,Neither,Yes,Yes,Yes,Yes,Same,Dole,Independent,Some college,50 to 75K,Conservative,18 to 64,Both are,State,Complete,Okla City area,45 to 59,50 to 59,Independent/Other,50 to 64,0.897,Unfavorable
37.0,8.0,25.0,Second call,50-59,White,Male,Carroll,Keating,Disapprove,Disapprove,Neither,No,No,No,No,Worse,Dole,Independent,Postgrad,30 to 50K,Liberal,18 to 64,Keating is,State,Complete,Okla City area,45 to 59,50 to 59,Independent/Other,50 to 64,0.777,Unfavorable
37.0,8.0,26.0,Second call,45-49,Black,Male,Nickles,Boyd,Approve,Disapprove,Neither,Yes,No,No,No,Better,Clinton,Democrat,Postgrad,30 to 50K,Liberal,18 to 64,Boyd is,State,Complete,Okla City area,45 to 59,40 to 49,Democrat,40 to 49,0.886,Favorable
37.0,8.0,27.0,Second call,45-49,Asian,Male,Nickles,Keating,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Yes,Same,Dole,Republican,College grad,,Moderate,18 to 64,Keating is,State,Complete,Okla City area,45 to 59,40 to 49,Republican,40 to 49,0.897,Unfavorable
37.0,8.0,28.0,Second call,30-39,White,Female,Nickles,Keating,Disapprove,,Neither,Yes,Yes,Yes,Yes,Same,Dole,Republican,College grad,50 to 75K,Conservative,18 to 64,Keating is,State,Complete,Okla City area,30 to 44,30 to 39,Republican,30 to 39,1.134,Unfavorable
37.0,8.0,29.0,Second call,65 and over,White,,Nickles,Keating,,Disapprove,Oppose Clinton,Yes,Yes,Yes,Yes,Same,Dole,Republican,Some college,15 to 30K,Moderate,65 and over,Keating is,State,Complete,Okla City area,60 and over,60 and over,Republican,65 and over,1.334,Unfavorable
37.0,8.0,30.0,Second call,65 and over,White,Male,Nickles,Keating,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,No,Worse,Did not vote,Republican,No HS,50 to 75K,Conservative,65 and over,Keating is,State,Complete,Okla City area,60 and over,60 and over,Republican,65 and over,1.055,Unfavorable
37.0,8.0,31.0,Second call,65 and over,White,Male,Nickles,Keating,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,Same,,Republican,Some college,15 to 30K,Conservative,65 and over,Keating is,State,Complete,Okla City area,60 and over,60 and over,Republican,65 and over,1.055,Unfavorable
37.0,8.0,32.0,Second call,45-49,Black,Female,Carroll,Boyd,Approve,Approve,Neither,No,No,No,Yes,Better,Clinton,Democrat,Some college,75 to 100K,Moderate,18 to 64,Boyd is,State,Complete,Okla City area,45 to 59,40 to 49,Democrat,40 to 49,0.968,Favorable
37.0,8.0,33.0,Second call,60-64,White,Male,Nickles,Keating,Approve,Disapprove,Neither,No,No,No,Yes,Better,Dole,Republican,Some college,75 to 100K,Conservative,18 to 64,Keating is,State,Complete,Okla City area,60 and over,60 and over,Republican,50 to 64,1.055,Unfavorable
37.0,8.0,34.0,Second call,25-29,White,Female,Nickles,Keating,Disapprove,Disapprove,Oppose Clinton,No,Yes,Yes,Yes,Better,Did not vote,Republican,Some college,30 to 50K,Conservative,18 to 64,Keating is,State,Complete,Okla City area,18 to 29,25 to 29,Republican,25 to 29,1.779,Unfavorable
37.0,8.0,35.0,Second call,18-24,White,Male,Nickles,Keating,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Yes,Same,Did not vote,Republican,Some college,Under 15K,Moderate,18 to 64,Keating is,State,Complete,Okla City area,18 to 29,18 to 24,Republican,18 to 24,1.407,Unfavorable
37.0,8.0,36.0,Second call,40-44,White,Male,Nickles,Keating,Disapprove,Approve,Neither,No,Yes,Yes,Yes,Better,Dole,Independent,Some college,75 to 100K,Moderate,18 to 64,Keating is,State,Complete,Okla City area,30 to 44,40 to 49,Independent/Other,40 to 49,0.897,Unfavorable
37.0,8.0,37.0,Third call,40-44,White,Male,Nickles,Keating,Disapprove,Disapprove,,No,,,,,,,,,,18 to 64,Keating is,State,Not complete,Okla City area,30 to 44,40 to 49,,40 to 49,0.897,Unfavorable
37.0,8.0,38.0,Third call,18-24,White,Male,Nickles,Keating,Disapprove,,Neither,Yes,Yes,Yes,No,Better,Dole,Republican,HS grad,30 to 50K,Conservative,18 to 64,,State,Complete,Okla City area,18 to 29,18 to 24,Republican,18 to 24,1.407,Unfavorable
37.0,8.0,39.0,Third call,30-39,White,Male,Nickles,Keating,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,No,Better,Dole,Republican,Some college,75 to 100K,Conservative,18 to 64,Keating is,State,Complete,Okla City area,30 to 44,30 to 39,Republican,30 to 39,0.897,Unfavorable
37.0,8.0,40.0,Third call,50-59,White,Male,Carroll,Boyd,Disapprove,Disapprove,Neither,No,No,No,Yes,Better,Clinton,Democrat,Some college,75 to 100K,Moderate,18 to 64,Both are,State,Complete,Okla City area,45 to 59,50 to 59,Democrat,50 to 64,0.943,Unfavorable
37.0,8.0,41.0,Third call,45-49,White,Male,Nickles,Keating,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,No,Worse,Dole,Republican,Some college,30 to 50K,Conservative,18 to 64,Keating is,State,Complete,Okla City area,45 to 59,40 to 49,Republican,40 to 49,0.897,Unfavorable
37.0,8.0,42.0,Third call,50-59,White,Female,Nickles,Keating,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Yes,Better,Dole,Republican,College grad,50 to 75K,Conservative,18 to 64,Keating is,State,Complete,Okla City area,45 to 59,50 to 59,Republican,50 to 64,1.134,Unfavorable
37.0,8.0,43.0,Third call,30-39,White,Female,Carroll,Boyd,Approve,Approve,Support Clinton,,No,Yes,No,Same,Clinton,Democrat,College grad,50 to 75K,Moderate,18 to 64,Boyd is,State,Complete,Okla City area,30 to 44,30 to 39,Democrat,30 to 39,1.19,Favorable
37.0,8.0,44.0,Third call,40-44,White,Female,Nickles,Keating,Disapprove,Approve,Neither,Yes,Yes,Yes,Yes,Better,Clinton,Republican,Some college,50 to 75K,Conservative,18 to 64,Keating is,State,Complete,Okla City area,30 to 44,40 to 49,Republican,40 to 49,1.134,Unfavorable
37.0,9.0,1.0,First call,45-49,White,Female,Nickles,Keating,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Yes,Same,Dole,Republican,Some college,50 to 75K,Moderate,18 to 64,Both are,State,Complete,West,45 to 59,40 to 49,Republican,40 to 49,0.903,Unfavorable
37.0,9.0,2.0,First call,45-49,White,Male,Nickles,Keating,Approve,Approve,Neither,No,No,Yes,No,Better,Perot,Democrat,Some college,30 to 50K,Moderate,18 to 64,Keating is,State,Complete,West,45 to 59,40 to 49,Democrat,40 to 49,0.9620000000000001,Unfavorable
37.0,9.0,3.0,First call,50-59,White,Female,Nickles,Keating,Disapprove,Approve,Neither,Yes,Yes,Yes,Yes,Better,Dole,Republican,Some college,50 to 75K,Conservative,18 to 64,Both are,State,Complete,West,45 to 59,50 to 59,Republican,50 to 64,0.903,Unfavorable
37.0,9.0,4.0,First call,45-49,White,Female,Nickles,Keating,Disapprove,,Neither,Yes,No,Yes,Yes,Same,Dole,Republican,Some college,30 to 50K,Conservative,18 to 64,,State,Complete,West,45 to 59,40 to 49,Republican,40 to 49,0.903,Unfavorable
