V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46
1.0,0.0,G,44.0,11.0,26.0,Second call,1.0,45-49,White,Female,Mauro,Sharp,Mattox,No,Approve,Disapprove,More Likely,White,Local Level,Support Clinton,No,Not So Good,Serve out Term,No,No,No,Worse,Clinton,Democrat,College Graduate,"$15,000-$30,000",Moderate,18-64,No,State,Complete,South,45-59,40-49,Democrat,40-49,0.987,Economy/Jobs,Same,Favorable
1.0,0.0,G,44.0,11.0,27.0,Second call,1.0,60-64,Hispanic,Male,Mauro,Sharp,Mattox,Yes,Approve,Disapprove,More Likely,Hispanic,State Level,Support Clinton,Yes,Good,Serve out Term,No,No,Yes,Better,Clinton,Democrat,,"$15,000-$30,000",Moderate,18-64,No,State,Complete,South,60 and Over,60 and Over,Democrat,50-64,0.995,,Better,Favorable
1.0,0.0,G,44.0,11.0,28.0,Second call,1.0,30-39,White,Female,Bush,Perry,Cornyn,No,Disapprove,Approve,Less Likely,White,State Level,Neither,No,Not So Good,Run for President,Yes,Yes,Yes,Better,Dole,Republican,College Graduate,"$15,000-$30,000",Conservative,18-64,Yes,State,Complete,South,30-44,30-39,Republican,30-39,1.192,Crime/Drugs,Better,Unfavorable
1.0,0.0,G,44.0,11.0,29.0,Third call,1.0,30-39,White,Female,Bush,Perry,Cornyn,No,Disapprove,Approve,Less Likely,White,State Level,Oppose Clinton,Yes,Not So Good,Run for President,Yes,Yes,Yes,Same,Dole,Republican,High School Graduate,"$30,000-$50,000",Liberal,18-64,Yes,State,Complete,South,30-44,30-39,Republican,30-39,1.192,Education,Worse,Unfavorable
1.0,0.0,G,44.0,11.0,30.0,Third call,1.0,65 and over,Hispanic,,Mauro,,,,,,No Effect,Hispanic,Local Level,,Yes,,Serve out Term,,,,,,,,,,65 and Over,No,State,Not Complete,South,60 and Over,60 and Over,,65 and Over,0.96,Education,,
1.0,0.0,G,44.0,11.0,31.0,Third call,1.0,65 and over,Hispanic,Male,Mauro,Sharp,Mattox,Yes,Approve,Approve,No Effect,Hispanic,Local Level,Neither,No,Good,Serve out Term,No,No,No,Better,Clinton,Republican,College Graduate,"$15,000-$30,000",Conservative,65 and Over,No,State,Complete,South,60 and Over,60 and Over,Republican,65 and Over,0.995,Education,Better,Favorable
1.0,0.0,G,44.0,11.0,32.0,Third call,1.0,25-29,Hispanic,Male,Bush,Sharp,Cornyn,Yes,Approve,Approve,No Effect,Hispanic,Local Level,Neither,No,Good,Serve out Term,No,No,No,Better,Clinton,Democrat,High School Graduate,"$15,000-$30,000",Moderate,18-64,Yes,State,Complete,South,18-29,25-29,Democrat,25-29,1.003,Education,Same,Favorable
1.0,0.0,G,44.0,11.0,33.0,Third call,1.0,45-49,Hispanic,Male,Bush,Perry,Cornyn,Yes,Approve,Disapprove,No Effect,Hispanic,Local Level,Neither,No,Excellent,Run for President,No,No,Yes,Better,Perot,Republican,Postgrad,"100,000 or More",Liberal,18-64,Yes,State,Complete,South,45-59,40-49,Republican,40-49,0.9460000000000001,Education,Better,Unfavorable
1.0,0.0,G,44.0,11.0,34.0,Third call,1.0,40-44,Hispanic,Male,Mauro,Sharp,Mattox,Yes,Approve,Approve,No Effect,Hispanic,Local Level,Neither,No,Not So Good,Serve out Term,No,No,No,Better,Clinton,Democrat,Some College,"$15,000-$30,000",Liberal,18-64,Yes,State,Complete,South,30-44,40-49,Democrat,40-49,0.7840000000000001,Education,Better,Favorable
1.0,0.0,G,44.0,11.0,35.0,Third call,1.0,40-44,Hispanic,,Mauro,,,,,,More Likely,Hispanic,State Level,,,,,,,,,,,,,,18-64,Yes,State,Not Complete,South,30-44,40-49,,40-49,0.835,Welfare,,
1.0,0.0,G,44.0,11.0,36.0,Third call,1.0,30-39,White,Male,Bush,Perry,Cornyn,No,Disapprove,Approve,Less Likely,White,Local Level,Oppose Clinton,No,Not So Good,Serve out Term,Yes,Yes,No,Same,Dole,Republican,High School Graduate,"$30,000-$50,000",Moderate,18-64,No,State,Complete,South,30-44,30-39,Republican,30-39,1.315,Economy/Jobs,Same,Unfavorable
1.0,0.0,G,44.0,11.0,37.0,Third call,1.0,50-59,Hispanic,Female,Mauro,Sharp,Mattox,No,Approve,Approve,No Effect,Hispanic,Local Level,Support Clinton,No,Good,Serve out Term,No,No,No,Same,Perot,Democrat,No High School,"Under $15,000",Moderate,18-64,No,State,Complete,South,45-59,50-59,Democrat,50-64,0.708,Education,Better,Favorable
1.0,0.0,G,44.0,11.0,38.0,Third call,1.0,45-49,Hispanic,Female,Bush,Perry,Cornyn,Yes,Disapprove,Disapprove,Less Likely,Hispanic,State Level,Oppose Clinton,Yes,Excellent,Run for President,Yes,Yes,Yes,Better,Dole,Republican,College Graduate,"$50,000-$75,000",Conservative,18-64,Yes,State,Complete,South,45-59,40-49,Republican,40-49,0.859,Education,Better,Unfavorable
1.0,0.0,G,44.0,11.0,39.0,Third call,1.0,25-29,Hispanic,Female,Bush,Sharp,Mattox,Yes,Approve,Approve,No Effect,Hispanic,Local Level,Neither,No,Good,Serve out Term,No,Yes,Yes,Same,Clinton,Republican,College Graduate,"$30,000-$50,000",Moderate,18-64,Yes,State,Complete,South,18-29,25-29,Republican,25-29,0.811,,Better,Favorable
1.0,0.0,G,44.0,11.0,40.0,Third call,1.0,50-59,Hispanic,Female,Bush,Sharp,Mattox,Yes,Approve,Approve,No Effect,Hispanic,State Level,Neither,No,Good,Run for President,No,No,No,Same,Clinton,Democrat,Some College,"$50,000-$75,000",Moderate,18-64,Yes,State,Complete,South,45-59,50-59,Democrat,50-64,0.779,Education,Better,Favorable
1.0,0.0,G,44.0,11.0,41.0,Third call,1.0,30-39,Hispanic,Female,Bush,Perry,Cornyn,Yes,Disapprove,Disapprove,Less Likely,Hispanic,Local Level,Oppose Clinton,Yes,Not So Good,Run for President,Yes,Yes,No,Same,Dole,Republican,College Graduate,"$50,000-$75,000",Conservative,18-64,Yes,State,Complete,South,30-44,30-39,Republican,30-39,0.859,Taxes,Same,Unfavorable
1.0,0.0,G,44.0,11.0,42.0,Third call,1.0,65 and over,Hispanic,Male,Mauro,Sharp,Mattox,Yes,Disapprove,Disapprove,More Likely,White,State Level,Oppose Clinton,No,Not So Good,Serve out Term,No,No,No,Better,Dole,Democrat,Some College,"$30,000-$50,000",Conservative,65 and Over,No,State,Complete,South,60 and Over,60 and Over,Democrat,65 and Over,0.995,Economy/Jobs,Better,Favorable
1.0,0.0,G,44.0,11.0,43.0,Third call,1.0,40-44,Hispanic,Male,Bush,Sharp,Cornyn,Yes,Approve,Disapprove,No Effect,Hispanic,Local Level,Neither,No,Good,Run for President,No,No,No,Better,Clinton,Independent,College Graduate,"$50,000-$75,000",Moderate,18-64,Yes,State,Complete,South,30-44,40-49,Independent/Other,40-49,0.961,Crime/Drugs,Better,Favorable
1.0,0.0,G,44.0,11.0,44.0,Third call,1.0,40-44,Hispanic,Female,Mauro,Sharp,Mattox,Yes,Approve,Disapprove,No Effect,Hispanic,State Level,Support Clinton,No,Good,,No,Yes,No,Better,Clinton,Democrat,No High School,"$15,000-$30,000",Conservative,18-64,,State,Complete,South,30-44,40-49,Democrat,40-49,0.708,,Better,Favorable
1.0,0.0,G,44.0,11.0,45.0,Third call,1.0,45-49,White,Male,Bush,Perry,Cornyn,No,Disapprove,Approve,No Effect,White,State Level,Neither,Yes,Good,Run for President,No,Yes,Yes,Better,Dole,Republican,Postgrad,"$50,000-$75,000",Moderate,18-64,Yes,State,Complete,South,45-59,40-49,Republican,40-49,1.315,State Surplus,Better,Unfavorable
1.0,0.0,G,44.0,11.0,46.0,Third call,1.0,60-64,White,Female,Mauro,Sharp,Mattox,No,Approve,Disapprove,No Effect,White,State Level,Support Clinton,No,Good,Serve out Term,No,No,No,Same,Clinton,Democrat,High School Graduate,"$30,000-$50,000",Moderate,18-64,No,State,Complete,South,60 and Over,60 and Over,Democrat,50-64,1.249,,Same,Favorable
1.0,0.0,G,44.0,11.0,47.0,Third call,1.0,18-24,White,Female,Mauro,Sharp,Mattox,No,Approve,Disapprove,More Likely,White,Local Level,Neither,No,Good,Serve out Term,No,No,,Better,Clinton,Democrat,Some College,"Under $15,000",Liberal,18-64,No,State,Complete,South,18-29,18-24,Democrat,18-24,1.029,State Surplus,Same,Favorable
1.0,0.0,G,44.0,24.0,1.0,Third call,1.0,18-24,White,Female,Bush,Sharp,Mattox,No,Approve,Disapprove,No Effect,White,Local Level,Neither,No,Good,Serve out Term,No,No,No,Better,Clinton,Independent,Some College,"$15,000-$30,000",Moderate,18-64,Yes,State,Complete,West,18-29,18-24,Independent/Other,18-24,1.068,Education,Same,Favorable
1.0,0.0,G,44.0,24.0,2.0,Third call,1.0,18-24,Hispanic,Male,Bush,Sharp,Mattox,Yes,Approve,Disapprove,No Effect,Hispanic,State Level,Neither,No,Good,Serve out Term,No,No,No,Better,Clinton,Democrat,College Graduate,"100,000 or More",Liberal,18-64,Yes,State,Complete,West,18-29,18-24,Democrat,18-24,1.087,Education,Better,Favorable
1.0,0.0,G,44.0,24.0,3.0,Third call,1.0,65 and over,White,Female,Mauro,Sharp,Mattox,No,Approve,Disapprove,No Effect,White,State Level,Neither,No,Good,Run for President,No,Yes,Yes,Same,Clinton,Democrat,College Graduate,"$30,000-$50,000",Moderate,65 and Over,Yes,State,Complete,West,60 and Over,60 and Over,Democrat,65 and Over,1.053,Education,Same,Unfavorable
1.0,0.0,G,44.0,24.0,4.0,Third call,1.0,30-39,White,Female,Bush,Sharp,Mattox,No,Disapprove,Disapprove,Less Likely,White,State Level,Oppose Clinton,,Not So Good,Run for President,Yes,Yes,,Better,Perot,Independent,Some College,"$50,000-$75,000",Moderate,18-64,Yes,State,Complete,West,30-44,30-39,Independent/Other,30-39,0.969,Education,Same,Unfavorable
1.0,0.0,G,44.0,24.0,5.0,Third call,1.0,65 and over,White,Female,Bush,Perry,Mattox,No,Approve,Disapprove,,White,State Level,Neither,No,Good,Run for President,No,No,Yes,Same,Clinton,Democrat,High School Graduate,"$15,000-$30,000",Conservative,65 and Over,Yes,State,Complete,West,60 and Over,60 and Over,Democrat,65 and Over,1.115,Education,Same,Unfavorable
1.0,0.0,G,44.0,24.0,6.0,Third call,1.0,30-39,White,Male,Bush,Perry,Cornyn,No,Disapprove,Approve,Less Likely,White,State Level,Oppose Clinton,No,Good,Run for President,Yes,Yes,Yes,Same,Dole,Republican,College Graduate,"$30,000-$50,000",Conservative,18-64,Yes,State,Complete,West,30-44,30-39,Republican,30-39,1.2570000000000001,Crime/Drugs,Same,Unfavorable
1.0,0.0,G,44.0,24.0,7.0,Third call,1.0,65 and over,White,Male,Bush,Sharp,Mattox,,,,Less Likely,White,Local Level,,Yes,,Serve out Term,,,,,,,,,,65 and Over,Yes,State,Not Complete,West,60 and Over,60 and Over,,65 and Over,1.334,,,
1.0,0.0,G,44.0,24.0,8.0,Third call,1.0,40-44,Black,Male,Bush,Perry,Mattox,No,Approve,Approve,No Effect,Black,Local Level,Neither,No,Good,Serve out Term,No,Yes,Yes,Better,Clinton,Something Else,Some College,"$30,000-$50,000",Moderate,18-64,Yes,State,Complete,West,30-44,40-49,Independent/Other,40-49,0.973,Taxes,Same,Unfavorable
1.0,0.0,G,44.0,24.0,9.0,Third call,1.0,50-59,White,Female,Bush,,,No,Disapprove,Disapprove,Less Likely,White,Local Level,Neither,No,Not So Good,Serve out Term,Yes,Yes,No,Same,Did Not Vote,Independent,High School Graduate,"Under $15,000",Moderate,18-64,Yes,State,Complete,West,45-59,50-59,Independent/Other,50-64,1.031,Welfare,Same,Unfavorable
1.0,0.0,G,44.0,24.0,10.0,Third call,1.0,30-39,White,Male,Mauro,Sharp,Mattox,No,Approve,Disapprove,More Likely,White,Local Level,Support Clinton,No,Good,Serve out Term,No,No,No,Better,Clinton,Republican,College Graduate,"$75,000-$100,000",Moderate,18-64,No,State,Complete,West,30-44,30-39,Republican,30-39,1.058,Education,Better,Favorable
1.0,0.0,G,44.0,24.0,11.0,Third call,1.0,40-44,White,Female,Bush,Sharp,Mattox,No,Approve,Disapprove,No Effect,White,State Level,Neither,No,Good,Run for President,No,No,Yes,Same,Clinton,Democrat,High School Graduate,"$30,000-$50,000",Moderate,18-64,Yes,State,Complete,West,30-44,40-49,Democrat,40-49,0.969,Education,Same,Favorable
1.0,0.0,G,44.0,24.0,12.0,Third call,1.0,40-44,White,Male,Mauro,Sharp,Mattox,No,Approve,Disapprove,No Effect,White,Local Level,Support Clinton,Yes,Good,Serve out Term,No,No,No,Better,Clinton,Democrat,High School Graduate,"$15,000-$30,000",Moderate,18-64,No,State,Complete,West,30-44,40-49,Democrat,40-49,1.058,State Surplus,Same,Favorable
1.0,0.0,G,44.0,24.0,13.0,Third call,1.0,50-59,White,Male,Bush,Perry,Cornyn,No,Disapprove,Disapprove,No Effect,White,State Level,Oppose Clinton,No,Not So Good,Run for President,Yes,Yes,Yes,Better,Dole,Independent,Some College,"$50,000-$75,000",Conservative,18-64,Yes,State,Complete,West,45-59,50-59,Independent/Other,50-64,1.2570000000000001,Education,Same,Unfavorable
1.0,0.0,G,44.0,24.0,14.0,Third call,1.0,30-39,Hispanic,Female,Bush,Perry,Cornyn,Yes,Disapprove,Approve,No Effect,Hispanic,State Level,Neither,Yes,Good,Run for President,Yes,Yes,Yes,Better,Did Not Vote,Republican,High School Graduate,"$30,000-$50,000",Conservative,18-64,Yes,State,Complete,West,30-44,30-39,Republican,30-39,0.924,Education,Better,Unfavorable
1.0,0.0,G,44.0,24.0,15.0,Third call,1.0,50-59,White,Female,Mauro,Sharp,Mattox,No,Approve,Disapprove,No Effect,White,State Level,Neither,No,Good,Serve out Term,No,No,No,Worse,Clinton,Democrat,College Graduate,"$50,000-$75,000",Moderate,18-64,No,State,Complete,West,45-59,50-59,Democrat,50-64,0.898,Taxes,Better,Unfavorable
1.0,0.0,G,44.0,24.0,16.0,Third call,1.0,30-39,,Female,Bush,Sharp,Mattox,No,Approve,Disapprove,No Effect,,State Level,Neither,No,Good,Serve out Term,No,No,Yes,Better,Clinton,Independent,Some College,"$50,000-$75,000",Moderate,18-64,No,State,Complete,West,30-44,30-39,Independent/Other,30-39,0.969,,Worse,Unfavorable
1.0,0.0,G,44.0,24.0,17.0,Third call,1.0,40-44,Black,Male,Bush,Sharp,Mattox,No,Disapprove,Disapprove,No Effect,Black,,Neither,No,Good,Serve out Term,No,No,No,Better,Did Not Vote,Independent,College Graduate,"$30,000-$50,000",Moderate,18-64,Yes,State,Complete,West,30-44,40-49,Independent/Other,40-49,0.988,Crime/Drugs,Same,Unfavorable
1.0,0.0,G,44.0,24.0,18.0,Third call,1.0,50-59,White,Male,Bush,Sharp,Mattox,No,Approve,Disapprove,No Effect,White,State Level,Neither,,Excellent,Run for President,No,No,No,Better,Clinton,Democrat,College Graduate,"$30,000-$50,000",Moderate,18-64,Yes,State,Complete,West,45-59,50-59,Democrat,50-64,1.139,Economy/Jobs,Same,Unfavorable
1.0,0.0,G,44.0,24.0,19.0,Third call,1.0,30-39,White,Male,Mauro,Sharp,Mattox,No,Approve,Disapprove,More Likely,White,Local Level,Support Clinton,No,Good,,No,No,Yes,Better,Clinton,Democrat,College Graduate,"$50,000-$75,000",Liberal,18-64,No,State,Complete,West,30-44,30-39,Democrat,30-39,1.058,Economy/Jobs,Better,Favorable
1.0,0.0,G,44.0,24.0,20.0,Third call,1.0,60-64,White,Male,Mauro,Sharp,Mattox,No,Approve,Disapprove,No Effect,White,Local Level,Neither,No,Excellent,Serve out Term,No,No,No,Better,Clinton,Democrat,High School Graduate,"$50,000-$75,000",Moderate,18-64,Yes,State,Complete,West,60 and Over,60 and Over,Democrat,50-64,1.238,Economy/Jobs,Better,Unfavorable
1.0,0.0,G,44.0,24.0,21.0,Third call,1.0,45-49,White,Female,Mauro,Sharp,Mattox,No,Approve,Disapprove,More Likely,White,State Level,Support Clinton,No,Good,Serve out Term,No,No,No,Better,Clinton,Independent,Some College,"$30,000-$50,000",Moderate,18-64,,State,Complete,West,45-59,40-49,Independent/Other,40-49,0.898,Education,Same,Favorable
1.0,0.0,G,44.0,24.0,22.0,Third call,1.0,45-49,White,Female,Bush,Perry,Cornyn,No,Disapprove,Disapprove,Less Likely,White,State Level,Oppose Clinton,No,Good,Run for President,Yes,Yes,Yes,Worse,Dole,Republican,Some College,"$30,000-$50,000",Conservative,18-64,Yes,State,Complete,West,45-59,40-49,Republican,40-49,1.068,Education,Same,Unfavorable
1.0,0.0,G,44.0,24.0,23.0,Third call,1.0,60-64,White,Female,Bush,Sharp,Mattox,No,Approve,Disapprove,Less Likely,White,State Level,Neither,Yes,Good,Serve out Term,No,No,No,Same,Clinton,Democrat,High School Graduate,"$15,000-$30,000",Moderate,18-64,,State,Complete,West,60 and Over,60 and Over,Democrat,50-64,1.1320000000000001,Crime/Drugs,Better,Unfavorable
1.0,0.0,G,44.0,24.0,24.0,Third call,1.0,65 and over,White,Female,Mauro,Sharp,Mattox,No,Approve,Disapprove,No Effect,White,Local Level,Neither,No,Good,Serve out Term,No,No,Yes,Same,Did Not Vote,Democrat,High School Graduate,"Under $15,000",Conservative,65 and Over,No,State,Complete,West,60 and Over,60 and Over,Democrat,65 and Over,1.053,Education,Same,Unfavorable
1.0,0.0,G,44.0,24.0,25.0,Third call,1.0,30-39,White,Female,Bush,Perry,Cornyn,No,Disapprove,Disapprove,Less Likely,White,State Level,Oppose Clinton,Yes,Good,Run for President,Yes,Yes,Yes,Better,Dole,Republican,College Graduate,"$50,000-$75,000",Conservative,18-64,Yes,State,Complete,West,30-44,30-39,Republican,30-39,1.068,Education,Better,Unfavorable
