V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40
1.0,0.0,G,10.0,4.0,32.0,Third call,1.0,50-59,White,Female,Graham,MacKay,No,Approve,,White,,,,,,,Worse,,Democrat,,30 to 50K,Liberal,18 to 64,National,Complete,North,45 to 59,50 to 59,Democrat,50 to 64,1.114,,
1.0,0.0,G,10.0,4.0,33.0,Third call,1.0,30-39,White,Male,Crist,Bush,No,Disapprove,,White,,,,,,,Worse,,Republican,,15 to 30K,Moderate,18 to 64,National,Complete,North,30 to 44,30 to 39,Republican,30 to 39,1.232,,
1.0,0.0,G,10.0,4.0,34.0,Third call,1.0,45-49,Black,Male,Graham,MacKay,No,Approve,,Black,,,,,,,Better,,Democrat,,100K or more,Liberal,18 to 64,National,Complete,North,45 to 59,40 to 49,Democrat,40 to 49,0.893,,
1.0,0.0,G,10.0,4.0,35.0,Third call,1.0,30-39,White,Female,Graham,MacKay,No,,,White,,,,,,,Same,,,,30 to 50K,Moderate,18 to 64,National,Complete,North,30 to 44,30 to 39,,30 to 39,1.114,,
1.0,0.0,G,10.0,4.0,36.0,Third call,1.0,30-39,Black,Male,Graham,Bush,No,Disapprove,,Black,,,,,,,Better,,Republican,,Under 15K,Liberal,18 to 64,National,Complete,North,30 to 44,30 to 39,Republican,30 to 39,1.089,,
1.0,0.0,G,10.0,4.0,37.0,Third call,1.0,40-44,Black,Female,Graham,MacKay,No,Approve,,Black,,,,,,,Better,,Something else,,30 to 50K,Moderate,18 to 64,National,Complete,North,30 to 44,40 to 49,Independent/Other,40 to 49,0.87,,
1.0,0.0,G,10.0,4.0,38.0,Third call,1.0,40-44,Black,Male,Graham,MacKay,,Approve,,Black,,,,,,,Better,,Democrat,,50 to 75K,,18 to 64,National,Complete,North,30 to 44,40 to 49,Democrat,40 to 49,0.893,,
1.0,0.0,G,10.0,4.0,39.0,Third call,1.0,30-39,White,Male,Graham,Bush,No,Disapprove,,White,,,,,,,Worse,,Republican,,15 to 30K,Moderate,18 to 64,National,Complete,North,30 to 44,30 to 39,Republican,30 to 39,1.392,,
1.0,0.0,G,10.0,4.0,40.0,Third call,1.0,18-24,Black,Female,Graham,MacKay,No,Approve,,Black,,,,,,,Same,,Democrat,,30 to 50K,Moderate,18 to 64,National,Complete,North,18 to 29,18 to 24,Democrat,18 to 24,0.6289999999999999,,
1.0,0.0,G,10.0,4.0,41.0,Third call,1.0,25-29,White,Male,Crist,Bush,No,,,White,,,,,,,Better,,Republican,,30 to 50K,Moderate,18 to 64,National,Complete,North,18 to 29,25 to 29,Republican,25 to 29,0.889,,
1.0,0.0,G,10.0,4.0,42.0,Third call,1.0,30-39,Black,Female,Graham,MacKay,No,Approve,,Black,,,,,,,Better,,Democrat,,75 to 100K,Moderate,18 to 64,National,Complete,North,30 to 44,30 to 39,Democrat,30 to 39,0.87,,
1.0,0.0,G,10.0,4.0,43.0,Third call,1.0,30-39,White,Male,Crist,Bush,No,Disapprove,,White,,,,,,,Worse,,Republican,,50 to 75K,Moderate,18 to 64,National,Complete,North,30 to 44,30 to 39,Republican,30 to 39,1.232,,
1.0,0.0,G,10.0,5.0,1.0,First call,1.0,65 and over,White,Female,Graham,Bush,No,Approve,Approve,White,Oppose,Neither,No,No,No,No,Same,Clinton,Independent,Postgrad,30 to 50K,Liberal,65 and over,State,Complete,North,60 and over,60 and over,Independent/Other,65 and over,1.097,Bring change,Favorable
1.0,0.0,G,10.0,5.0,2.0,First call,1.0,30-39,White,Male,Graham,MacKay,No,Approve,Disapprove,White,Oppose,Neither,No,No,No,Yes,Better,Dole,Republican,Some college,30 to 50K,Moderate,18 to 64,State,Complete,North,30 to 44,30 to 39,Republican,30 to 39,0.8820000000000001,Cares about me,Unfavorable
1.0,0.0,G,10.0,5.0,3.0,First call,1.0,25-29,White,Male,Graham,MacKay,No,Disapprove,Disapprove,White,Oppose,,No,,,,,,,,,,18 to 64,State,Not complete,North,18 to 29,25 to 29,,25 to 29,0.638,Experience,Unfavorable
1.0,0.0,G,10.0,5.0,4.0,First call,1.0,25-29,Asian,Male,Graham,MacKay,No,Disapprove,Approve,Asian,Oppose,Neither,No,No,No,Yes,Better,Clinton,Independent,Postgrad,15 to 30K,Liberal,18 to 64,State,Complete,North,18 to 29,25 to 29,Independent/Other,25 to 29,0.638,Experience,Unfavorable
1.0,0.0,G,10.0,5.0,5.0,First call,1.0,25-29,White,Female,Graham,MacKay,No,Approve,Disapprove,White,Oppose,Neither,No,No,No,Yes,Better,Clinton,Democrat,College grad,75 to 100K,Liberal,18 to 64,State,Complete,North,18 to 29,25 to 29,Democrat,25 to 29,0.62,My view of govt.,Unfavorable
1.0,0.0,G,10.0,5.0,6.0,First call,1.0,30-39,White,Male,Crist,Bush,No,Disapprove,Disapprove,White,,Oppose Clinton,Yes,Yes,Yes,No,Worse,Dole,Republican,Some college,15 to 30K,Conservative,18 to 64,State,Complete,North,30 to 44,30 to 39,Republican,30 to 39,0.953,My view of govt.,Favorable
1.0,0.0,G,10.0,5.0,7.0,First call,1.0,40-44,White,Male,Graham,MacKay,No,Approve,Disapprove,White,Oppose,Neither,No,No,No,Yes,Better,Clinton,Independent,Postgrad,30 to 50K,Liberal,18 to 64,State,Complete,North,30 to 44,40 to 49,Independent/Other,40 to 49,0.8820000000000001,My view of govt.,Favorable
1.0,0.0,G,10.0,5.0,8.0,First call,1.0,45-49,Black,Female,Graham,MacKay,No,Approve,Disapprove,Black,Support,Neither,No,No,No,No,Better,Clinton,Democrat,Postgrad,50 to 75K,Conservative,18 to 64,State,Complete,North,45 to 59,40 to 49,Democrat,40 to 49,0.672,My party,Favorable
1.0,0.0,G,10.0,5.0,9.0,First call,1.0,45-49,White,Male,Graham,Bush,No,Approve,Approve,White,Oppose,Neither,No,No,No,No,Better,Perot,Democrat,College grad,Under 15K,Moderate,18 to 64,State,Complete,North,45 to 59,40 to 49,Democrat,40 to 49,1.073,Get things done,Favorable
1.0,0.0,G,10.0,5.0,10.0,First call,1.0,50-59,White,Female,Graham,MacKay,No,Approve,Approve,White,Oppose,Neither,No,No,No,No,Better,Clinton,Democrat,Some college,50 to 75K,Moderate,18 to 64,State,Complete,North,45 to 59,50 to 59,Democrat,50 to 64,0.8580000000000001,Experience,Favorable
1.0,0.0,G,10.0,5.0,11.0,First call,1.0,18-24,White,Female,Crist,Bush,No,Disapprove,Disapprove,White,Support,Neither,No,No,No,Yes,Same,Other,Independent,College grad,15 to 30K,Moderate,18 to 64,State,Complete,North,18 to 29,18 to 24,Independent/Other,18 to 24,0.6669999999999999,Bring change,Unfavorable
1.0,0.0,G,10.0,5.0,12.0,First call,1.0,30-39,White,Male,Graham,MacKay,No,Approve,Disapprove,White,Oppose,Neither,No,No,No,No,Better,Clinton,Democrat,College grad,50 to 75K,Moderate,18 to 64,State,Complete,North,30 to 44,30 to 39,Democrat,30 to 39,0.8820000000000001,My party,Unfavorable
1.0,0.0,G,10.0,5.0,13.0,First call,1.0,30-39,White,Female,Graham,MacKay,No,Approve,Disapprove,White,Oppose,Neither,No,No,No,Yes,Same,Clinton,Democrat,Postgrad,30 to 50K,Moderate,18 to 64,State,Complete,North,30 to 44,30 to 39,Democrat,30 to 39,0.8580000000000001,My view of govt.,Unfavorable
1.0,0.0,G,10.0,5.0,14.0,First call,1.0,40-44,White,Female,Graham,Bush,No,Disapprove,Approve,White,Oppose,Oppose Clinton,Yes,Yes,Yes,,Same,Dole,Republican,Some college,,Moderate,18 to 64,State,Complete,North,30 to 44,40 to 49,Republican,40 to 49,1.045,Honest/Trust,Unfavorable
1.0,0.0,G,10.0,5.0,15.0,Second call,1.0,30-39,Black,Female,Graham,MacKay,No,Approve,Approve,Black,Oppose,Support Clinton,Yes,No,No,No,Better,Clinton,Democrat,Some college,15 to 30K,Moderate,18 to 64,State,Complete,North,30 to 44,30 to 39,Democrat,30 to 39,0.672,Experience,Favorable
1.0,0.0,G,10.0,5.0,16.0,Second call,1.0,65 and over,White,Female,Graham,MacKay,No,Approve,Disapprove,White,Oppose,Neither,No,No,No,No,Better,Clinton,Democrat,Some college,100K or more,Liberal,65 and over,State,Complete,North,60 and over,60 and over,Democrat,65 and over,0.902,My view of govt.,Favorable
1.0,0.0,G,10.0,5.0,17.0,Second call,1.0,50-59,White,Female,Graham,Bush,No,Disapprove,Disapprove,White,Support,Neither,No,Yes,Yes,Yes,Better,Dole,Republican,Postgrad,50 to 75K,Conservative,18 to 64,State,Complete,North,45 to 59,50 to 59,Republican,50 to 64,1.045,Honest/Trust,Unfavorable
1.0,0.0,G,10.0,5.0,18.0,Second call,1.0,60-64,White,Male,Graham,MacKay,No,Approve,Disapprove,White,Oppose,Support Clinton,No,No,No,No,Same,Did not vote,Democrat,Postgrad,100K or more,Conservative,18 to 64,State,Complete,North,60 and over,60 and over,Democrat,50 to 64,0.926,Bring change,Favorable
1.0,0.0,G,10.0,5.0,19.0,Second call,1.0,65 and over,White,Female,Graham,MacKay,No,Approve,Approve,White,Oppose,,,No,No,No,Same,Clinton,Democrat,HS grad,30 to 50K,Moderate,65 and over,State,Complete,North,60 and over,60 and over,Democrat,65 and over,0.902,Experience,Favorable
1.0,0.0,G,10.0,5.0,20.0,Second call,1.0,65 and over,White,Female,Graham,MacKay,No,Approve,Disapprove,White,Oppose,Neither,No,No,No,No,Worse,Clinton,Democrat,,15 to 30K,Moderate,65 and over,State,Complete,North,60 and over,60 and over,Democrat,65 and over,0.902,Get things done,Favorable
1.0,0.0,G,10.0,5.0,21.0,Second call,1.0,65 and over,White,Female,Graham,MacKay,,Approve,Disapprove,White,Oppose,Support Clinton,,No,No,No,,Clinton,,HS grad,15 to 30K,,65 and over,State,Complete,North,60 and over,60 and over,,65 and over,0.902,My party,Favorable
1.0,0.0,G,10.0,5.0,22.0,Second call,1.0,40-44,Black,Female,Graham,MacKay,No,Approve,Disapprove,Black,Oppose,Neither,No,No,No,No,Same,Clinton,Democrat,Some college,Under 15K,Moderate,18 to 64,State,Complete,North,30 to 44,40 to 49,Democrat,40 to 49,0.672,Experience,Unfavorable
1.0,0.0,G,10.0,5.0,23.0,Second call,1.0,25-29,White,Female,Graham,MacKay,No,Approve,Approve,White,Oppose,Neither,No,No,No,No,Better,Clinton,Democrat,Some college,Under 15K,Moderate,18 to 64,State,Complete,North,18 to 29,25 to 29,Democrat,25 to 29,0.62,Bring change,Unfavorable
1.0,0.0,G,10.0,5.0,24.0,Second call,1.0,25-29,White,Male,Graham,Bush,No,Disapprove,Approve,White,Support,Neither,No,Yes,Yes,Yes,Same,Perot,Republican,Some college,15 to 30K,Moderate,18 to 64,State,Complete,North,18 to 29,25 to 29,Republican,25 to 29,0.776,My party,Unfavorable
1.0,0.0,G,10.0,5.0,25.0,Second call,1.0,18-24,White,Male,Graham,Bush,No,Approve,Disapprove,White,Support,Neither,No,No,Yes,Yes,Same,Perot,Independent,Some college,Under 15K,Moderate,18 to 64,State,Complete,North,18 to 29,18 to 24,Independent/Other,18 to 24,0.776,Bring change,Unfavorable
1.0,0.0,G,10.0,5.0,26.0,Second call,1.0,50-59,White,Female,Graham,MacKay,No,Approve,Approve,White,Oppose,Neither,No,No,No,No,Same,Clinton,Independent,College grad,50 to 75K,Conservative,18 to 64,State,Complete,North,45 to 59,50 to 59,Independent/Other,50 to 64,0.8580000000000001,Experience,Favorable
1.0,0.0,G,10.0,5.0,27.0,Second call,1.0,30-39,White,Female,Graham,Bush,No,Disapprove,Disapprove,White,,Neither,No,Yes,Yes,Yes,Better,Did not vote,Independent,College grad,30 to 50K,Moderate,18 to 64,State,Complete,North,30 to 44,30 to 39,Independent/Other,30 to 39,1.045,Bring change,Unfavorable
1.0,0.0,G,10.0,5.0,28.0,Third call,1.0,30-39,White,Male,Graham,MacKay,No,Disapprove,Disapprove,White,Oppose,Neither,No,No,Yes,Yes,Same,Dole,Independent,College grad,30 to 50K,Moderate,18 to 64,State,Complete,North,30 to 44,30 to 39,Independent/Other,30 to 39,0.8820000000000001,Experience,Unfavorable
1.0,0.0,G,10.0,5.0,29.0,Third call,1.0,30-39,White,Male,Graham,MacKay,No,Approve,Disapprove,White,Oppose,Support Clinton,No,No,No,Yes,Better,Clinton,Democrat,College grad,50 to 75K,Moderate,18 to 64,State,Complete,North,30 to 44,30 to 39,Democrat,30 to 39,0.8820000000000001,Honest/Trust,Favorable
1.0,0.0,G,10.0,5.0,30.0,Third call,1.0,30-39,Hispanic,Female,Graham,Bush,Yes,Approve,Disapprove,Hispanic,Support,Oppose Clinton,No,No,No,No,Same,Clinton,Republican,College grad,30 to 50K,Moderate,18 to 64,State,Complete,North,30 to 44,30 to 39,Republican,30 to 39,0.8150000000000001,My view of govt.,Unfavorable
1.0,0.0,G,10.0,5.0,31.0,Third call,1.0,18-24,White,Male,Crist,Bush,No,Disapprove,Approve,White,Oppose,Oppose Clinton,No,Yes,Yes,Yes,Better,Dole,Republican,College grad,15 to 30K,Moderate,18 to 64,State,Complete,North,18 to 29,18 to 24,Republican,18 to 24,0.688,Bring change,Unfavorable
1.0,0.0,G,10.0,5.0,32.0,Third call,1.0,45-49,White,Female,Graham,MacKay,No,Approve,Approve,White,Oppose,Neither,Yes,No,No,Yes,Same,Clinton,Democrat,HS grad,Under 15K,Liberal,18 to 64,State,Complete,North,45 to 59,40 to 49,Democrat,40 to 49,0.8580000000000001,Experience,Favorable
1.0,0.0,G,10.0,5.0,33.0,Third call,1.0,18-24,White,Female,Graham,MacKay,No,Approve,Disapprove,White,Oppose,Support Clinton,No,No,No,No,Same,Clinton,Independent,College grad,30 to 50K,Moderate,18 to 64,State,Complete,North,18 to 29,18 to 24,Independent/Other,18 to 24,0.62,,
1.0,0.0,G,10.0,5.0,34.0,Third call,1.0,40-44,White,Male,Crist,Bush,No,Disapprove,Approve,White,Support,Oppose Clinton,No,Yes,Yes,No,Same,Dole,Independent,Postgrad,30 to 50K,Moderate,18 to 64,State,Complete,North,30 to 44,40 to 49,Independent/Other,40 to 49,0.953,Bring change,Unfavorable
1.0,0.0,G,10.0,5.0,35.0,Third call,1.0,25-29,White,Female,Graham,MacKay,No,Approve,Approve,White,Oppose,Neither,No,No,No,No,Same,Clinton,Democrat,College grad,30 to 50K,Liberal,18 to 64,State,Complete,North,18 to 29,25 to 29,Democrat,25 to 29,0.62,Experience,Favorable
1.0,0.0,G,10.0,5.0,36.0,Third call,1.0,40-44,White,Male,Crist,MacKay,No,Approve,Approve,White,Support,Neither,Yes,No,No,Yes,Better,Dole,Republican,Some college,15 to 30K,Conservative,18 to 64,State,Complete,North,30 to 44,40 to 49,Republican,40 to 49,0.781,Honest/Trust,Unfavorable
1.0,0.0,G,10.0,5.0,37.0,Third call,1.0,25-29,White,Male,Crist,Bush,No,Disapprove,Approve,White,Oppose,Oppose Clinton,No,Yes,Yes,No,Same,Dole,Republican,College grad,15 to 30K,Moderate,18 to 64,State,Complete,North,18 to 29,25 to 29,Republican,25 to 29,0.688,Bring change,Unfavorable
1.0,0.0,G,10.0,5.0,38.0,Third call,1.0,30-39,White,Male,Graham,Bush,No,Approve,Disapprove,White,Oppose,Support Clinton,No,No,No,No,Better,Clinton,Independent,College grad,15 to 30K,Moderate,18 to 64,State,Complete,North,30 to 44,30 to 39,Independent/Other,30 to 39,1.073,My view of govt.,Favorable
1.0,0.0,G,10.0,5.0,39.0,Third call,1.0,25-29,White,Male,Crist,MacKay,No,Disapprove,Approve,White,Support,Neither,Yes,Yes,Yes,Yes,Same,Dole,Republican,Postgrad,15 to 30K,Conservative,18 to 64,State,Complete,North,18 to 29,25 to 29,Republican,25 to 29,0.5640000000000001,My view of govt.,Unfavorable
1.0,0.0,G,10.0,5.0,40.0,Third call,1.0,50-59,White,Female,Graham,MacKay,No,Approve,Disapprove,White,Oppose,Neither,No,No,No,Yes,Better,Clinton,Democrat,Postgrad,30 to 50K,Moderate,18 to 64,State,Complete,North,45 to 59,50 to 59,Democrat,50 to 64,0.8580000000000001,Get things done,Unfavorable
1.0,0.0,G,10.0,5.0,41.0,Third call,1.0,45-49,White,Female,Graham,MacKay,No,Approve,Disapprove,White,Oppose,Support Clinton,No,No,No,No,Better,Clinton,Democrat,College grad,30 to 50K,Moderate,18 to 64,State,Complete,North,45 to 59,40 to 49,Democrat,40 to 49,0.8580000000000001,Cares about me,Unfavorable
1.0,0.0,G,10.0,5.0,42.0,Third call,1.0,18-24,Black,Female,Graham,MacKay,,Disapprove,Disapprove,Black,Oppose,Neither,No,Yes,Yes,Yes,Same,Perot,Independent,Some college,15 to 30K,Liberal,18 to 64,State,Complete,North,18 to 29,18 to 24,Independent/Other,18 to 24,0.484,My view of govt.,Unfavorable
1.0,0.0,G,10.0,5.0,43.0,Third call,1.0,25-29,White,Male,Graham,Bush,No,Disapprove,Disapprove,White,Support,Oppose Clinton,No,Yes,Yes,Yes,Same,Dole,Republican,Postgrad,Under 15K,Moderate,18 to 64,State,Complete,North,18 to 29,25 to 29,Republican,25 to 29,0.776,My view of govt.,Unfavorable
1.0,0.0,G,10.0,5.0,44.0,Third call,1.0,30-39,White,Male,Graham,MacKay,No,Approve,Disapprove,White,Oppose,Support Clinton,No,No,No,No,Better,Clinton,Democrat,Some college,15 to 30K,Liberal,18 to 64,State,Complete,North,30 to 44,30 to 39,Democrat,30 to 39,0.8820000000000001,Honest/Trust,Favorable
1.0,0.0,G,10.0,5.0,45.0,Third call,1.0,40-44,White,Female,Graham,MacKay,No,Approve,Disapprove,White,Oppose,Neither,No,No,No,No,Better,Clinton,Democrat,Postgrad,50 to 75K,Moderate,18 to 64,State,Complete,North,30 to 44,40 to 49,Democrat,40 to 49,0.8580000000000001,Experience,Favorable
1.0,0.0,G,10.0,5.0,46.0,Third call,1.0,25-29,White,Female,Graham,MacKay,No,Disapprove,Disapprove,White,Oppose,Neither,Yes,Yes,Yes,,Better,Dole,Republican,Postgrad,15 to 30K,Conservative,18 to 64,State,Complete,North,18 to 29,25 to 29,Republican,25 to 29,0.62,,Unfavorable
1.0,0.0,G,10.0,5.0,47.0,Third call,1.0,25-29,White,Male,Graham,MacKay,No,Disapprove,Approve,White,Oppose,Neither,Yes,Yes,Yes,,Better,Dole,Republican,College grad,15 to 30K,Conservative,18 to 64,State,Complete,North,18 to 29,25 to 29,Republican,25 to 29,0.638,Get things done,Unfavorable
