V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33
1.0,0.0,G,28.0,1.0,11.0,First call,1.0,45-49,White,Male,Johans,Disapprove,Disapprove,Neither,No,No,,,,Worse,Independent,100K or more,For,Liberal,18 to 64,State,CD 3,45 to 59,40 to 49,Independent/Other,40 to 49,2.019
1.0,0.0,G,28.0,1.0,12.0,First call,1.0,,White,Male,Johans,Disapprove,Approve,,Yes,No,,,,,,,For,,,State,CD 3,,,,,2.019
1.0,0.0,G,28.0,1.0,13.0,First call,1.0,50-59,White,Male,Johans,Disapprove,Approve,Oppose Clinton,,No,Yes,Yes,No,Worse,Independent,Under 15K,For,Conservative,18 to 64,State,CD 3,45 to 59,50 to 59,Independent/Other,50 to 64,2.019
1.0,0.0,G,28.0,1.0,14.0,First call,1.0,65 and over,White,Male,Johans,Disapprove,Approve,,Yes,No,Yes,Yes,No,Same,Republican,Under 15K,For,Conservative,65 and over,State,CD 3,60 and over,60 and over,Republican,65 and over,2.3049999999999997
1.0,0.0,G,28.0,1.0,15.0,First call,1.0,65 and over,White,Female,Johans,Disapprove,Approve,Oppose Clinton,Yes,No,Yes,Yes,No,Same,Republican,15 to 30K,Against,Conservative,65 and over,State,CD 3,60 and over,60 and over,Republican,65 and over,1.7349999999999999
1.0,0.0,G,28.0,1.0,16.0,First call,1.0,50-59,White,Male,Hoppner,Disapprove,Approve,Neither,No,No,Yes,Yes,Yes,Better,Republican,75 to 100K,For,Conservative,18 to 64,State,CD 3,45 to 59,50 to 59,Republican,50 to 64,1.828
1.0,0.0,G,28.0,1.0,17.0,First call,1.0,60-64,White,Female,Hoppner,Approve,Disapprove,Neither,Yes,Yes,No,No,Yes,Same,Republican,15 to 30K,For,Moderate,18 to 64,State,CD 3,60 and over,60 and over,Republican,50 to 64,2.086
1.0,0.0,G,28.0,1.0,18.0,First call,1.0,40-44,White,Female,Johans,Disapprove,Disapprove,Oppose Clinton,No,Yes,Yes,Yes,Yes,Worse,Republican,15 to 30K,Against,Moderate,18 to 64,State,CD 3,30 to 44,40 to 49,Republican,40 to 49,1.521
1.0,0.0,G,28.0,1.0,19.0,First call,1.0,50-59,White,Male,Johans,,Disapprove,Neither,No,No,No,,Yes,Worse,Republican,75 to 100K,Against,Conservative,18 to 64,State,CD 3,45 to 59,50 to 59,Republican,50 to 64,1.5230000000000001
1.0,0.0,G,28.0,1.0,20.0,First call,1.0,25-29,White,Male,Johans,Disapprove,Approve,Oppose Clinton,No,No,Yes,Yes,No,Worse,Republican,15 to 30K,Against,Conservative,18 to 64,State,CD 3,18 to 29,25 to 29,Republican,25 to 29,1.4060000000000001
1.0,0.0,G,28.0,1.0,21.0,Second call,1.0,40-44,White,Male,Hoppner,Disapprove,Approve,Neither,,Yes,,Yes,Yes,Worse,Independent,75 to 100K,Against,Conservative,18 to 64,State,CD 3,30 to 44,40 to 49,Independent/Other,40 to 49,1.379
1.0,0.0,G,28.0,1.0,22.0,Second call,1.0,50-59,White,Male,Hoppner,Disapprove,Disapprove,Neither,No,No,Yes,Yes,,Worse,Republican,,Against,Conservative,18 to 64,State,CD 3,45 to 59,50 to 59,Republican,50 to 64,1.379
1.0,0.0,G,28.0,1.0,23.0,Second call,1.0,50-59,White,Female,Hoppner,,,Neither,,Yes,No,,,,Independent,,Against,Moderate,18 to 64,State,CD 3,45 to 59,50 to 59,Independent/Other,50 to 64,1.376
1.0,0.0,G,28.0,1.0,24.0,Second call,1.0,25-29,White,Female,Johans,Disapprove,Approve,Neither,No,Yes,Yes,Yes,No,Worse,Independent,15 to 30K,Against,Moderate,18 to 64,State,CD 3,18 to 29,25 to 29,Independent/Other,25 to 29,1.403
1.0,0.0,G,28.0,1.0,25.0,Second call,1.0,40-44,White,Female,,Disapprove,,Oppose Clinton,Yes,,Yes,Yes,,Same,Something else,,Against,Conservative,18 to 64,State,CD 3,30 to 44,40 to 49,Independent/Other,40 to 49,1.455
1.0,0.0,G,28.0,1.0,26.0,Second call,1.0,60-64,White,Female,Johans,Disapprove,Disapprove,Neither,No,Yes,No,Yes,Yes,Worse,Republican,30 to 50K,For,Conservative,18 to 64,State,CD 3,60 and over,60 and over,Republican,50 to 64,2.302
1.0,0.0,G,28.0,1.0,27.0,Second call,1.0,50-59,White,Female,Hoppner,Approve,Disapprove,Support Clinton,No,Yes,No,No,Yes,Same,Democrat,30 to 50K,Against,Moderate,18 to 64,State,CD 3,45 to 59,50 to 59,Democrat,50 to 64,1.376
1.0,0.0,G,28.0,1.0,28.0,Second call,1.0,30-39,White,Male,Hoppner,Disapprove,Disapprove,Neither,No,Yes,No,No,Yes,Same,Republican,30 to 50K,Against,Moderate,18 to 64,State,CD 3,30 to 44,30 to 39,Republican,30 to 39,1.379
1.0,0.0,G,28.0,1.0,29.0,Second call,1.0,65 and over,,Female,Hoppner,Disapprove,Approve,Oppose Clinton,No,,,Yes,,Same,Republican,15 to 30K,Against,Conservative,65 and over,State,CD 3,60 and over,60 and over,Republican,65 and over,1.572
1.0,0.0,G,28.0,1.0,30.0,Second call,1.0,65 and over,White,Male,Johans,Disapprove,Approve,Oppose Clinton,Yes,No,No,Yes,Yes,Same,Republican,50 to 75K,Against,Conservative,65 and over,State,CD 3,60 and over,60 and over,Republican,65 and over,1.738
1.0,0.0,G,28.0,1.0,31.0,Second call,1.0,65 and over,White,Female,Johans,Disapprove,Approve,Oppose Clinton,No,No,Yes,Yes,Yes,Same,Republican,50 to 75K,Against,Conservative,65 and over,State,CD 3,60 and over,60 and over,Republican,65 and over,1.7349999999999999
1.0,0.0,G,28.0,1.0,32.0,Second call,1.0,65 and over,White,Male,Johans,Disapprove,Approve,Neither,No,Yes,Yes,No,Yes,Same,Republican,15 to 30K,Against,Moderate,65 and over,State,CD 3,60 and over,60 and over,Republican,65 and over,1.738
1.0,0.0,G,28.0,1.0,33.0,Third call,1.0,30-39,White,Female,Johans,Approve,Disapprove,Neither,No,Yes,No,No,No,Same,Republican,50 to 75K,Against,Moderate,18 to 64,State,CD 3,30 to 44,30 to 39,Republican,30 to 39,1.521
1.0,0.0,G,28.0,1.0,34.0,Third call,1.0,50-59,White,Female,Johans,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Yes,Yes,Same,Republican,30 to 50K,,Conservative,18 to 64,State,CD 3,45 to 59,50 to 59,Republican,50 to 64,1.678
1.0,0.0,G,28.0,1.0,35.0,Third call,1.0,18-24,White,Male,Johans,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Yes,Yes,Worse,Republican,15 to 30K,Against,Liberal,18 to 64,State,CD 3,18 to 29,18 to 24,Republican,18 to 24,1.4060000000000001
1.0,0.0,G,28.0,1.0,36.0,Third call,1.0,65 and over,White,,Johans,Disapprove,Approve,Oppose Clinton,Yes,No,Yes,Yes,Yes,Worse,Republican,15 to 30K,Against,Conservative,65 and over,State,CD 3,60 and over,60 and over,Republican,65 and over,1.738
1.0,0.0,G,28.0,1.0,37.0,Third call,1.0,40-44,White,Female,Hoppner,Approve,Approve,Neither,No,Yes,Yes,Yes,No,Worse,Democrat,15 to 30K,Against,Moderate,18 to 64,State,CD 3,30 to 44,40 to 49,Democrat,40 to 49,1.376
1.0,0.0,G,28.0,1.0,38.0,Third call,1.0,30-39,White,Male,Hoppner,Disapprove,Disapprove,Neither,Yes,Yes,No,Yes,No,Worse,Republican,50 to 75K,Against,Conservative,18 to 64,State,CD 3,30 to 44,30 to 39,Republican,30 to 39,1.379
1.0,0.0,G,28.0,1.0,39.0,Third call,1.0,40-44,White,Male,Hoppner,Approve,Approve,Neither,No,No,No,Yes,Yes,Worse,Democrat,15 to 30K,Against,Conservative,18 to 64,State,CD 3,30 to 44,40 to 49,Democrat,40 to 49,1.379
1.0,0.0,G,28.0,1.0,40.0,Third call,1.0,40-44,White,Female,Hoppner,Disapprove,Approve,Oppose Clinton,No,Yes,,Yes,,Better,Democrat,30 to 50K,Against,Moderate,18 to 64,State,CD 3,30 to 44,40 to 49,Democrat,40 to 49,1.376
1.0,0.0,G,28.0,1.0,41.0,Third call,1.0,40-44,White,Female,Hoppner,Approve,Approve,Neither,No,Yes,No,No,Yes,Better,Democrat,50 to 75K,For,Moderate,18 to 64,State,CD 3,30 to 44,40 to 49,Democrat,40 to 49,1.8250000000000002
1.0,0.0,G,28.0,1.0,42.0,Third call,1.0,30-39,White,Male,Hoppner,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Yes,,Worse,Republican,,Against,,18 to 64,State,CD 3,30 to 44,30 to 39,Republican,30 to 39,1.379
1.0,0.0,G,28.0,1.0,43.0,Third call,1.0,18-24,White,Female,Johans,Disapprove,Disapprove,Oppose Clinton,No,Yes,Yes,Yes,Yes,Better,Republican,75 to 100K,Against,Moderate,18 to 64,State,CD 3,18 to 29,18 to 24,Republican,18 to 24,1.403
1.0,0.0,G,28.0,1.0,44.0,Third call,1.0,65 and over,White,Female,Hoppner,Approve,Disapprove,Neither,No,No,No,No,Yes,Worse,Republican,,Against,Moderate,65 and over,State,CD 3,60 and over,60 and over,Republican,65 and over,1.572
1.0,0.0,G,28.0,1.0,45.0,Third call,1.0,45-49,White,Male,Johans,Disapprove,Disapprove,Neither,No,Yes,No,No,,Same,Independent,30 to 50K,Against,Conservative,18 to 64,State,CD 3,45 to 59,40 to 49,Independent/Other,40 to 49,1.5230000000000001
1.0,0.0,G,28.0,1.0,46.0,Third call,1.0,30-39,White,Female,Hoppner,Disapprove,Approve,Neither,No,Yes,Yes,Yes,Yes,Same,Independent,15 to 30K,Against,Liberal,18 to 64,State,CD 3,30 to 44,30 to 39,Independent/Other,30 to 39,1.376
1.0,0.0,G,28.0,1.0,47.0,Third call,1.0,30-39,White,Male,Hoppner,Approve,Disapprove,Neither,No,Yes,No,No,Yes,Worse,Republican,15 to 30K,Against,Conservative,18 to 64,State,CD 3,30 to 44,30 to 39,Republican,30 to 39,1.379
1.0,0.0,G,28.0,1.0,48.0,Third call,1.0,30-39,White,Male,Johans,Disapprove,Approve,Neither,Yes,Yes,No,Yes,Yes,Worse,Republican,30 to 50K,For,Moderate,18 to 64,State,CD 3,30 to 44,30 to 39,Republican,30 to 39,2.019
1.0,0.0,G,28.0,1.0,49.0,Third call,1.0,50-59,White,Female,Hoppner,Disapprove,Disapprove,Oppose Clinton,No,No,Yes,Yes,Yes,Same,Democrat,15 to 30K,Against,Moderate,18 to 64,State,CD 3,45 to 59,50 to 59,Democrat,50 to 64,1.376
1.0,0.0,G,28.0,1.0,50.0,Third call,1.0,40-44,White,Female,Hoppner,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,Yes,Worse,Independent,15 to 30K,Against,Moderate,18 to 64,State,CD 3,30 to 44,40 to 49,Independent/Other,40 to 49,1.376
1.0,0.0,G,28.0,1.0,51.0,Third call,1.0,50-59,White,Male,Johans,Disapprove,Disapprove,Neither,No,No,Yes,Yes,Yes,Worse,Independent,30 to 50K,For,Moderate,18 to 64,State,CD 3,45 to 59,50 to 59,Independent/Other,50 to 64,2.019
1.0,0.0,G,28.0,1.0,52.0,Third call,1.0,18-24,White,Male,Johans,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Yes,Yes,Same,Republican,15 to 30K,Against,Moderate,18 to 64,State,CD 3,18 to 29,18 to 24,Republican,18 to 24,1.4060000000000001
1.0,0.0,G,28.0,1.0,53.0,Third call,1.0,45-49,White,Female,Johans,Disapprove,Disapprove,Oppose Clinton,No,No,Yes,Yes,No,Same,Democrat,30 to 50K,Against,Conservative,18 to 64,State,CD 3,45 to 59,40 to 49,Democrat,40 to 49,1.521
1.0,0.0,G,28.0,1.0,54.0,Third call,1.0,45-49,White,Male,Johans,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Yes,Yes,Worse,Republican,15 to 30K,Against,Moderate,18 to 64,State,CD 3,45 to 59,40 to 49,Republican,40 to 49,1.5230000000000001
1.0,0.0,G,28.0,1.0,55.0,Third call,1.0,60-64,White,Male,Johans,Disapprove,Disapprove,Neither,,No,No,,,Same,Republican,,Against,,18 to 64,State,CD 3,60 and over,60 and over,Republican,50 to 64,1.738
1.0,0.0,G,28.0,1.0,56.0,Third call,1.0,60-64,White,Male,Johans,Disapprove,Disapprove,Neither,No,No,No,No,No,Same,Republican,30 to 50K,Against,Conservative,18 to 64,State,CD 3,60 and over,60 and over,Republican,50 to 64,1.738
1.0,0.0,G,28.0,1.0,57.0,Third call,1.0,40-44,White,Male,Hoppner,Disapprove,Approve,Oppose Clinton,Yes,No,Yes,Yes,Yes,Same,Republican,30 to 50K,Against,Conservative,18 to 64,State,CD 3,30 to 44,40 to 49,Republican,40 to 49,1.379
1.0,0.0,G,28.0,1.0,58.0,Third call,1.0,40-44,White,Female,Hoppner,Disapprove,Approve,Oppose Clinton,Yes,,Yes,Yes,,Same,Republican,30 to 50K,Against,Conservative,18 to 64,State,CD 3,30 to 44,40 to 49,Republican,40 to 49,1.376
1.0,0.0,G,28.0,1.0,59.0,Third call,1.0,40-44,White,Male,Johans,Disapprove,Disapprove,Neither,Yes,No,,Yes,Yes,Worse,Republican,Under 15K,Against,Liberal,18 to 64,State,CD 3,30 to 44,40 to 49,Republican,40 to 49,1.5230000000000001
1.0,0.0,G,28.0,1.0,60.0,Third call,1.0,18-24,White,Female,Hoppner,,,Neither,No,Yes,,,,Worse,Democrat,15 to 30K,Against,Moderate,18 to 64,State,CD 3,18 to 29,18 to 24,Democrat,18 to 24,1.27
1.0,0.0,G,28.0,2.0,1.0,First call,1.0,65 and over,White,Female,Johans,Disapprove,Approve,Oppose Clinton,No,No,Yes,No,Yes,Same,Democrat,15 to 30K,For,Moderate,65 and over,State,CD 3,60 and over,60 and over,Democrat,65 and over,1.68
1.0,0.0,G,28.0,2.0,2.0,First call,1.0,50-59,White,Female,Johans,Disapprove,Approve,Oppose Clinton,No,No,Yes,No,Yes,Same,Democrat,15 to 30K,Against,Moderate,18 to 64,State,CD 3,45 to 59,50 to 59,Democrat,50 to 64,1.109
1.0,0.0,G,28.0,2.0,3.0,First call,1.0,65 and over,White,Female,Johans,Disapprove,Disapprove,Oppose Clinton,No,No,No,No,Yes,Same,Republican,50 to 75K,Against,Moderate,65 and over,State,CD 3,60 and over,60 and over,Republican,65 and over,1.266
1.0,0.0,G,28.0,2.0,4.0,First call,1.0,40-44,White,Male,Hoppner,Approve,Approve,Support Clinton,No,No,No,No,Yes,Same,Democrat,100K or more,Against,Moderate,18 to 64,State,CD 3,30 to 44,40 to 49,Democrat,40 to 49,1.005
1.0,0.0,G,28.0,2.0,5.0,First call,1.0,50-59,White,Male,Johans,Approve,Approve,Neither,No,Yes,No,Yes,No,Same,Republican,100K or more,Against,Conservative,18 to 64,State,CD 3,45 to 59,50 to 59,Republican,50 to 64,1.111
1.0,0.0,G,28.0,2.0,6.0,First call,1.0,65 and over,White,Female,Hoppner,Approve,Disapprove,Neither,No,No,No,No,No,Better,Democrat,,For,Moderate,65 and over,State,CD 3,60 and over,60 and over,Democrat,65 and over,1.522
1.0,0.0,G,28.0,2.0,7.0,First call,1.0,50-59,White,Female,Johans,Disapprove,Approve,Neither,No,Yes,Yes,Yes,Yes,Same,Republican,75 to 100K,Against,Moderate,18 to 64,State,CD 3,45 to 59,50 to 59,Republican,50 to 64,1.109
1.0,0.0,G,28.0,2.0,8.0,First call,1.0,65 and over,White,Female,Johans,Disapprove,Disapprove,Neither,No,No,No,Yes,Yes,Same,Republican,15 to 30K,For,Conservative,65 and over,State,CD 3,60 and over,60 and over,Republican,65 and over,1.68
1.0,0.0,G,28.0,2.0,9.0,First call,1.0,65 and over,White,Male,Johans,Disapprove,,Oppose Clinton,,No,No,No,No,Worse,Democrat,,For,Moderate,65 and over,State,CD 3,60 and over,60 and over,Democrat,65 and over,1.682
1.0,0.0,G,28.0,2.0,10.0,First call,1.0,65 and over,White,Female,Hoppner,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,Yes,Same,Republican,30 to 50K,For,Moderate,65 and over,State,CD 3,60 and over,60 and over,Republican,65 and over,1.522
1.0,0.0,G,28.0,2.0,11.0,First call,1.0,65 and over,White,Female,Johans,Disapprove,Approve,Oppose Clinton,No,Yes,,Yes,Yes,Worse,Republican,30 to 50K,Against,Moderate,65 and over,State,CD 3,60 and over,60 and over,Republican,65 and over,1.266
1.0,0.0,G,28.0,2.0,12.0,First call,1.0,30-39,White,Male,Hoppner,Approve,Approve,Neither,No,Yes,No,No,Yes,Better,Democrat,15 to 30K,Against,Moderate,18 to 64,State,CD 3,30 to 44,30 to 39,Democrat,30 to 39,1.005
1.0,0.0,G,28.0,2.0,13.0,First call,1.0,25-29,White,Female,Johans,Disapprove,Approve,Neither,Yes,No,,Yes,,Same,Republican,15 to 30K,Against,Conservative,18 to 64,State,CD 3,18 to 29,25 to 29,Republican,25 to 29,1.023
1.0,0.0,G,28.0,2.0,14.0,First call,1.0,60-64,White,Female,Johans,Disapprove,Disapprove,Oppose Clinton,No,Yes,,Yes,,Same,Republican,50 to 75K,For,Conservative,18 to 64,State,CD 3,60 and over,60 and over,Republican,50 to 64,1.68
1.0,0.0,G,28.0,2.0,15.0,First call,1.0,30-39,White,Male,Johans,Disapprove,Approve,Oppose Clinton,No,No,Yes,Yes,Yes,Same,Democrat,75 to 100K,For,Conservative,18 to 64,State,CD 3,30 to 44,30 to 39,Democrat,30 to 39,1.4729999999999999
1.0,0.0,G,28.0,2.0,16.0,First call,1.0,65 and over,White,Male,Johans,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,No,Yes,Better,Republican,15 to 30K,For,Conservative,65 and over,State,CD 3,60 and over,60 and over,Republican,65 and over,1.682
1.0,0.0,G,28.0,2.0,17.0,First call,1.0,65 and over,White,Female,Johans,Disapprove,Approve,Neither,No,Yes,No,No,Yes,Better,Independent,30 to 50K,Against,Conservative,65 and over,State,CD 3,60 and over,60 and over,Independent/Other,65 and over,1.266
1.0,0.0,G,28.0,2.0,18.0,First call,1.0,65 and over,White,Female,Johans,Approve,Disapprove,Neither,No,Yes,No,Yes,Yes,Worse,Independent,15 to 30K,For,Moderate,65 and over,State,CD 3,60 and over,60 and over,Independent/Other,65 and over,1.68
1.0,0.0,G,28.0,2.0,19.0,First call,1.0,40-44,White,Male,Johans,Disapprove,Disapprove,Oppose Clinton,Yes,No,No,Yes,Yes,Same,Republican,15 to 30K,For,Conservative,18 to 64,State,CD 3,30 to 44,40 to 49,Republican,40 to 49,1.4729999999999999
1.0,0.0,G,28.0,2.0,20.0,Second call,1.0,25-29,White,Male,Johans,Disapprove,Disapprove,Oppose Clinton,No,No,Yes,Yes,Yes,Better,Republican,50 to 75K,Against,Moderate,18 to 64,State,CD 3,18 to 29,25 to 29,Republican,25 to 29,1.025
1.0,0.0,G,28.0,2.0,21.0,Second call,1.0,65 and over,White,,Hoppner,Approve,Disapprove,Neither,,,,,,Worse,Democrat,15 to 30K,For,Moderate,65 and over,State,CD 3,60 and over,60 and over,Democrat,65 and over,1.522
1.0,0.0,G,28.0,2.0,22.0,Second call,1.0,30-39,White,Male,Hoppner,Approve,Disapprove,Neither,No,Yes,No,No,No,Better,Democrat,50 to 75K,Against,Liberal,18 to 64,State,CD 3,30 to 44,30 to 39,Democrat,30 to 39,1.005
1.0,0.0,G,28.0,2.0,23.0,Second call,1.0,65 and over,White,Male,Hoppner,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,Yes,Worse,Independent,50 to 75K,Against,Moderate,65 and over,State,CD 3,60 and over,60 and over,Independent/Other,65 and over,1.149
1.0,0.0,G,28.0,2.0,24.0,Second call,1.0,65 and over,White,,,Approve,Approve,Oppose Clinton,No,No,No,No,No,Same,Republican,,Against,Conservative,65 and over,State,CD 3,60 and over,60 and over,Republican,65 and over,1.216
1.0,0.0,G,28.0,2.0,25.0,Second call,1.0,50-59,White,Male,Johans,Approve,Disapprove,Neither,No,No,No,No,Yes,Same,Independent,30 to 50K,For,Moderate,18 to 64,State,CD 3,45 to 59,50 to 59,Independent/Other,50 to 64,1.4729999999999999
1.0,0.0,G,28.0,2.0,26.0,Second call,1.0,65 and over,White,Male,Hoppner,Disapprove,Disapprove,Neither,No,No,Yes,,,Same,Democrat,15 to 30K,Against,Conservative,65 and over,State,CD 3,60 and over,60 and over,Democrat,65 and over,1.149
1.0,0.0,G,28.0,2.0,27.0,Second call,1.0,65 and over,White,Female,Hoppner,Approve,,Support Clinton,No,Yes,No,No,No,Same,Democrat,Under 15K,Against,Liberal,65 and over,State,CD 3,60 and over,60 and over,Democrat,65 and over,1.147
1.0,0.0,G,28.0,2.0,28.0,Second call,1.0,30-39,White,Male,Johans,Disapprove,Disapprove,Oppose Clinton,No,No,Yes,Yes,No,Same,Republican,50 to 75K,For,Moderate,18 to 64,State,CD 3,30 to 44,30 to 39,Republican,30 to 39,1.4729999999999999
1.0,0.0,G,28.0,2.0,29.0,Third call,1.0,30-39,White,Female,Hoppner,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,Yes,Worse,Republican,30 to 50K,Against,Moderate,18 to 64,State,CD 3,30 to 44,30 to 39,Republican,30 to 39,1.004
1.0,0.0,G,28.0,2.0,30.0,Third call,1.0,65 and over,White,Male,Hoppner,Approve,Approve,Oppose Clinton,,No,Yes,Yes,Yes,Same,Republican,,Against,Moderate,65 and over,State,CD 3,60 and over,60 and over,Republican,65 and over,1.149
1.0,0.0,G,28.0,2.0,31.0,Third call,1.0,50-59,White,Male,Hoppner,Approve,Disapprove,Support Clinton,No,Yes,No,No,No,Better,Independent,50 to 75K,Against,Moderate,18 to 64,State,CD 3,45 to 59,50 to 59,Independent/Other,50 to 64,1.005
1.0,0.0,G,28.0,2.0,32.0,Third call,1.0,50-59,White,Male,Johans,Approve,Disapprove,Neither,No,Yes,No,No,,Better,Democrat,30 to 50K,Against,Moderate,18 to 64,State,CD 3,45 to 59,50 to 59,Democrat,50 to 64,1.111
1.0,0.0,G,28.0,2.0,33.0,Third call,1.0,50-59,White,Female,Johans,Disapprove,Disapprove,Neither,Yes,No,Yes,Yes,Yes,Same,Republican,,For,Conservative,18 to 64,State,CD 3,45 to 59,50 to 59,Republican,50 to 64,1.471
1.0,0.0,G,28.0,2.0,34.0,Third call,1.0,30-39,White,Male,Johans,Disapprove,Disapprove,Neither,Yes,No,No,No,Yes,Better,Republican,15 to 30K,Against,Conservative,18 to 64,State,CD 3,30 to 44,30 to 39,Republican,30 to 39,1.111
1.0,0.0,G,28.0,2.0,35.0,Third call,1.0,50-59,White,Female,Hoppner,,,Neither,No,Yes,,Yes,Yes,Worse,Independent,50 to 75K,Against,Moderate,18 to 64,State,CD 3,45 to 59,50 to 59,Independent/Other,50 to 64,1.004
1.0,0.0,G,28.0,2.0,36.0,Third call,1.0,40-44,Black,Male,Hoppner,Approve,Disapprove,Neither,Yes,Yes,No,No,Yes,Better,Democrat,15 to 30K,Against,Liberal,18 to 64,State,CD 3,30 to 44,40 to 49,Democrat,40 to 49,0.8280000000000001
1.0,0.0,G,28.0,2.0,37.0,Third call,1.0,25-29,White,Female,Hoppner,Approve,Disapprove,Neither,No,Yes,No,No,No,Better,Republican,15 to 30K,Against,Moderate,18 to 64,State,CD 3,18 to 29,25 to 29,Republican,25 to 29,0.928
1.0,0.0,G,28.0,2.0,38.0,Third call,1.0,30-39,White,Male,Hoppner,Disapprove,Approve,Neither,Yes,Yes,Yes,Yes,No,Better,Republican,50 to 75K,Against,Moderate,18 to 64,State,CD 3,30 to 44,30 to 39,Republican,30 to 39,1.005
1.0,0.0,G,28.0,2.0,39.0,Third call,1.0,45-49,White,Female,Hoppner,Approve,Approve,Neither,No,No,No,Yes,Yes,Same,Democrat,30 to 50K,Against,Conservative,18 to 64,State,CD 3,45 to 59,40 to 49,Democrat,40 to 49,1.004
1.0,0.0,G,28.0,2.0,40.0,Third call,1.0,30-39,White,Female,Hoppner,Approve,Approve,Neither,No,Yes,No,No,Yes,Same,Independent,15 to 30K,Against,Moderate,18 to 64,State,CD 3,30 to 44,30 to 39,Independent/Other,30 to 39,1.004
1.0,0.0,G,28.0,2.0,41.0,Third call,1.0,40-44,White,Male,Johans,Disapprove,Disapprove,Oppose Clinton,Yes,No,Yes,Yes,No,Same,Republican,30 to 50K,Against,Conservative,18 to 64,State,CD 3,30 to 44,40 to 49,Republican,40 to 49,1.111
1.0,0.0,G,28.0,2.0,42.0,Third call,1.0,30-39,White,Female,Hoppner,Approve,Disapprove,Neither,No,Yes,No,No,No,Better,Democrat,50 to 75K,For,Liberal,18 to 64,State,CD 3,30 to 44,30 to 39,Democrat,30 to 39,1.333
