State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Senator Vote,Clinton Approval,Congress Approval,Reason for Cong Vote,Religious Right,Ashcroft good Pres?,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,1996 vote,Party ID,Education,Income,Ideology,Age (65 and over),Senate importance,State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight (3 implied dec places),Clinton as person
26.0,6.0,15.0,Second call,50-59,White,Female,Bond,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Yes,No,Same,Dole,Republican,Postgrad,50 to 75K,Conservative,18 to 64,Moral Values,State,Complete,North/Southeast,45 to 59,50 to 59,Republican,50 to 64,0.6,Unfavorable
26.0,6.0,16.0,Second call,50-59,White,Female,Bond,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Yes,No,Better,Dole,Independent,College grad,,Moderate,18 to 64,Moral Values,State,Complete,North/Southeast,45 to 59,50 to 59,Independent/Other,50 to 64,0.6,Unfavorable
26.0,6.0,17.0,Second call,65 and over,White,Male,Bond,Disapprove,Approve,Oppose Clinton,No,Yes,No,Yes,Yes,Same,Dole,Independent,Postgrad,30 to 50K,Moderate,65 and over,,State,Complete,North/Southeast,60 and over,60 and over,Independent/Other,65 and over,0.869,Unfavorable
26.0,6.0,18.0,Second call,40-44,White,Male,Nixon,Approve,Disapprove,Neither,No,No,No,No,Yes,Same,Clinton,Democrat,College grad,15 to 30K,Moderate,18 to 64,Issues,State,Complete,North/Southeast,30 to 44,40 to 49,Democrat,40 to 49,0.6829999999999999,Unfavorable
26.0,6.0,19.0,Second call,30-39,White,Male,Nixon,Disapprove,Disapprove,Neither,No,No,No,No,Yes,Same,Clinton,Democrat,Postgrad,75 to 100K,Moderate,18 to 64,Issues,State,Complete,North/Southeast,30 to 44,30 to 39,Democrat,30 to 39,0.6829999999999999,Unfavorable
26.0,6.0,20.0,Second call,30-39,White,Female,Bond,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Yes,No,Better,Dole,Republican,College grad,50 to 75K,Conservative,18 to 64,Moral Values,State,Complete,North/Southeast,30 to 44,30 to 39,Republican,30 to 39,0.6,Unfavorable
26.0,6.0,21.0,Second call,50-59,White,Male,Bond,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Yes,,Same,Dole,Democrat,College grad,30 to 50K,Conservative,18 to 64,,State,Complete,North/Southeast,45 to 59,50 to 59,Democrat,50 to 64,0.6689999999999999,Unfavorable
26.0,6.0,22.0,Second call,50-59,White,Male,Nixon,,Disapprove,Support Clinton,No,No,No,No,No,Better,Clinton,Democrat,College grad,50 to 75K,Moderate,18 to 64,Moral Values,State,Complete,North/Southeast,45 to 59,50 to 59,Democrat,50 to 64,0.6829999999999999,Favorable
26.0,6.0,23.0,Second call,65 and over,White,Male,Bond,,Approve,,No,Yes,,,,,,,,,,65 and over,Issues,State,Not complete,North/Southeast,60 and over,60 and over,,65 and over,0.869,Unfavorable
26.0,6.0,24.0,Third call,60-64,White,Male,Nixon,Disapprove,Approve,Oppose Clinton,No,No,Yes,Yes,Yes,Same,Dole,Independent,HS grad,50 to 75K,Moderate,18 to 64,,State,Complete,North/Southeast,60 and over,60 and over,Independent/Other,50 to 64,0.887,Unfavorable
26.0,14.0,1.0,First call,50-59,White,Male,Nixon,Approve,Disapprove,Neither,No,,No,No,No,Same,Perot,Independent,HS grad,Under 15K,Liberal,18 to 64,,National,Complete,Southwest,45 to 59,50 to 59,Independent/Other,50 to 64,1.011,Favorable
26.0,14.0,2.0,First call,30-39,White,Male,Bond,Disapprove,Approve,Oppose Clinton,Yes,,Yes,Yes,No,Better,Dole,Republican,Some college,30 to 50K,Conservative,18 to 64,,National,Complete,Southwest,30 to 44,30 to 39,Republican,30 to 39,0.8300000000000001,Unfavorable
26.0,14.0,3.0,First call,45-49,White,Male,Bond,Disapprove,Approve,Oppose Clinton,No,,Yes,Yes,Yes,Worse,Dole,Independent,Some college,100K or more,Conservative,18 to 64,,National,Complete,Southwest,45 to 59,40 to 49,Independent/Other,40 to 49,0.8300000000000001,Unfavorable
26.0,14.0,4.0,First call,60-64,White,Male,,,,,,,,,,,,,,,,18 to 64,,National,Not complete,Southwest,60 and over,60 and over,,50 to 64,1.298,
26.0,14.0,5.0,First call,40-44,White,Female,Bond,Disapprove,Disapprove,Oppose Clinton,,,Yes,Yes,No,,Dole,Republican,,,,18 to 64,,National,Complete,Southwest,30 to 44,40 to 49,Republican,40 to 49,0.723,Unfavorable
26.0,14.0,6.0,First call,40-44,White,Male,Nixon,Approve,,Oppose Clinton,,,,,,,,Democrat,,,,18 to 64,,National,Complete,Southwest,30 to 44,40 to 49,Democrat,40 to 49,1.011,Unfavorable
26.0,14.0,7.0,First call,50-59,White,Male,Bond,Disapprove,,,,,,,,,,Republican,,,,18 to 64,,National,Complete,Southwest,45 to 59,50 to 59,Republican,50 to 64,0.8300000000000001,
26.0,14.0,8.0,First call,30-39,White,Male,Bond,Disapprove,,,,,,,,Same,,Republican,,100K or more,Conservative,18 to 64,,National,Complete,Southwest,30 to 44,30 to 39,Republican,30 to 39,0.8300000000000001,
26.0,14.0,9.0,First call,40-44,White,Male,Bond,Approve,,,,,,,,Better,,Something else,,15 to 30K,Moderate,18 to 64,,National,Complete,Southwest,30 to 44,40 to 49,Independent/Other,40 to 49,0.8300000000000001,
26.0,14.0,10.0,First call,60-64,White,Male,Bond,Disapprove,,,,,,,,Same,,Something else,,50 to 75K,Moderate,18 to 64,,National,Complete,Southwest,60 and over,60 and over,Independent/Other,50 to 64,1.202,
26.0,14.0,11.0,First call,40-44,White,Male,Bond,Disapprove,,,,,,,,Same,,Something else,,15 to 30K,Moderate,18 to 64,,National,Complete,Southwest,30 to 44,40 to 49,Independent/Other,40 to 49,0.8300000000000001,
26.0,14.0,12.0,First call,65 and over,White,Male,Bond,Disapprove,,,,,,,,Same,,Independent,,50 to 75K,Conservative,65 and over,,National,Complete,Southwest,60 and over,60 and over,Independent/Other,65 and over,1.202,
26.0,14.0,13.0,Second call,65 and over,White,Male,Nixon,Approve,Disapprove,Support Clinton,Yes,,No,No,No,,Clinton,Democrat,HS grad,Under 15K,Conservative,65 and over,,National,Complete,Southwest,60 and over,60 and over,Democrat,65 and over,1.466,Favorable
26.0,14.0,14.0,Second call,50-59,White,Female,Bond,Disapprove,Approve,Oppose Clinton,No,,Yes,Yes,No,Same,Dole,Republican,College grad,75 to 100K,Conservative,18 to 64,,National,Complete,Southwest,45 to 59,50 to 59,Republican,50 to 64,0.723,Unfavorable
26.0,14.0,15.0,Second call,50-59,White,Male,,Approve,Disapprove,Neither,No,,No,Yes,Yes,Same,Clinton,Something else,College grad,75 to 100K,Liberal,18 to 64,,National,Complete,Southwest,45 to 59,50 to 59,Independent/Other,50 to 64,0.897,Unfavorable
26.0,14.0,16.0,Second call,65 and over,White,Male,Bond,Disapprove,Approve,Oppose Clinton,No,,Yes,Yes,Yes,Better,Dole,Independent,College grad,50 to 75K,Moderate,65 and over,,National,Complete,Southwest,60 and over,60 and over,Independent/Other,65 and over,1.202,Unfavorable
26.0,14.0,17.0,Second call,30-39,White,Male,Bond,Disapprove,Approve,Oppose Clinton,No,,Yes,Yes,No,Same,Dole,Republican,Postgrad,30 to 50K,Conservative,18 to 64,,National,Complete,Southwest,30 to 44,30 to 39,Republican,30 to 39,0.8300000000000001,Unfavorable
26.0,14.0,18.0,Second call,18-24,White,Female,Bond,Disapprove,Approve,Oppose Clinton,No,,Yes,Yes,Yes,Same,Perot,Republican,Some college,15 to 30K,Moderate,18 to 64,,National,Complete,Southwest,18 to 29,18 to 24,Republican,18 to 24,0.998,Unfavorable
26.0,14.0,19.0,Second call,60-64,White,Female,Bond,Disapprove,Approve,Neither,No,,Yes,Yes,No,Same,Dole,Republican,HS grad,15 to 30K,Conservative,18 to 64,,National,Complete,Southwest,60 and over,60 and over,Republican,50 to 64,1.047,Unfavorable
26.0,14.0,20.0,Second call,65 and over,White,Male,Bond,Disapprove,Disapprove,Oppose Clinton,No,,No,Yes,Yes,Same,Dole,Independent,Postgrad,50 to 75K,Conservative,65 and over,,National,Complete,Southwest,60 and over,60 and over,Independent/Other,65 and over,1.202,Unfavorable
26.0,14.0,21.0,Second call,30-39,White,Male,Bond,Approve,Approve,Neither,No,,,No,No,Same,Perot,Republican,HS grad,30 to 50K,Moderate,18 to 64,,National,Complete,Southwest,30 to 44,30 to 39,Republican,30 to 39,0.8300000000000001,Unfavorable
26.0,14.0,22.0,Second call,30-39,White,Female,Bond,Disapprove,Approve,Oppose Clinton,Yes,,Yes,Yes,Yes,Better,Dole,Republican,Some college,15 to 30K,Conservative,18 to 64,,National,Complete,Southwest,30 to 44,30 to 39,Republican,30 to 39,0.723,Unfavorable
26.0,14.0,23.0,Second call,60-64,White,Female,Nixon,Approve,Disapprove,Neither,No,,No,No,Yes,Better,Dole,Democrat,HS grad,15 to 30K,Moderate,18 to 64,,National,Complete,Southwest,60 and over,60 and over,Democrat,50 to 64,1.2770000000000001,Unfavorable
26.0,14.0,24.0,Second call,40-44,White,Male,Bond,Disapprove,Approve,Oppose Clinton,Yes,,Yes,Yes,Yes,Better,Dole,Independent,Postgrad,50 to 75K,Moderate,18 to 64,,National,Complete,Southwest,30 to 44,40 to 49,Independent/Other,40 to 49,0.8300000000000001,Unfavorable
26.0,14.0,25.0,Second call,65 and over,White,Female,Bond,Disapprove,,,,,,,,,,Republican,,,Conservative,65 and over,,National,Complete,Southwest,60 and over,60 and over,Republican,65 and over,1.047,
26.0,14.0,26.0,Second call,60-64,White,Male,Nixon,Approve,,,,,,,,Better,,Democrat,,50 to 75K,Moderate,18 to 64,,National,Complete,Southwest,60 and over,60 and over,Democrat,50 to 64,1.466,
26.0,14.0,27.0,Second call,30-39,White,Female,Bond,Disapprove,,,,,,,,Same,,Republican,,30 to 50K,Conservative,18 to 64,,National,Complete,Southwest,30 to 44,30 to 39,Republican,30 to 39,0.723,
26.0,14.0,28.0,Second call,30-39,White,Female,Bond,Disapprove,,,,,,,,Same,,Republican,,30 to 50K,Conservative,18 to 64,,National,Complete,Southwest,30 to 44,30 to 39,Republican,30 to 39,0.723,
26.0,14.0,29.0,Second call,65 and over,White,Female,Nixon,Approve,,,,,,,,Worse,,Independent,,15 to 30K,Moderate,65 and over,,National,Complete,Southwest,60 and over,60 and over,Independent/Other,65 and over,1.2770000000000001,
26.0,14.0,30.0,Second call,65 and over,White,Male,Bond,Disapprove,,,,,,,,Same,,Republican,,15 to 30K,Moderate,65 and over,,National,Complete,Southwest,60 and over,60 and over,Republican,65 and over,1.202,
26.0,14.0,31.0,Second call,65 and over,White,Female,Bond,Disapprove,,,,,,,,Same,,Independent,,75 to 100K,Moderate,65 and over,,National,Complete,Southwest,60 and over,60 and over,Independent/Other,65 and over,1.047,
26.0,14.0,32.0,Second call,25-29,White,Female,Bond,Disapprove,,,,,,,,Better,,Republican,,50 to 75K,Moderate,18 to 64,,National,Complete,Southwest,18 to 29,25 to 29,Republican,25 to 29,0.998,
26.0,14.0,33.0,Second call,30-39,White,,Bond,Disapprove,,,,,,,,Better,,Republican,,50 to 75K,Conservative,18 to 64,,National,Complete,Southwest,30 to 44,30 to 39,Republican,30 to 39,0.723,
26.0,14.0,34.0,Second call,65 and over,White,Male,Nixon,Approve,,,,,,,,Better,,Independent,,50 to 75K,Moderate,65 and over,,National,Complete,Southwest,60 and over,60 and over,Independent/Other,65 and over,1.466,
26.0,14.0,35.0,Second call,30-39,White,Male,Bond,Disapprove,,,,,,,,Better,,Republican,,50 to 75K,Conservative,18 to 64,,National,Complete,Southwest,30 to 44,30 to 39,Republican,30 to 39,0.8300000000000001,
26.0,14.0,36.0,Second call,50-59,White,Male,Other,Approve,,,,,,,,Better,,Democrat,,30 to 50K,Liberal,18 to 64,,National,Complete,Southwest,45 to 59,50 to 59,Democrat,50 to 64,1.204,
26.0,14.0,37.0,Third call,30-39,White,Female,Bond,Disapprove,Disapprove,Neither,No,,No,Yes,No,Same,Did not vote,Independent,HS grad,30 to 50K,Liberal,18 to 64,,National,Complete,Southwest,30 to 44,30 to 39,Independent/Other,30 to 39,0.723,Unfavorable
26.0,14.0,38.0,Third call,50-59,White,Female,Bond,Approve,Approve,Neither,No,,No,No,Yes,Better,Dole,Republican,College grad,100K or more,Moderate,18 to 64,,National,Complete,Southwest,45 to 59,50 to 59,Republican,50 to 64,0.723,Unfavorable
26.0,14.0,39.0,Third call,50-59,White,Male,Bond,Disapprove,Disapprove,Neither,No,,No,Yes,Yes,Better,Dole,Independent,Postgrad,100K or more,Conservative,18 to 64,,National,Complete,Southwest,45 to 59,50 to 59,Independent/Other,50 to 64,0.8300000000000001,Unfavorable
26.0,14.0,40.0,Third call,45-49,White,Female,Nixon,Approve,Disapprove,Support Clinton,No,,No,No,No,Better,Clinton,Democrat,Some college,30 to 50K,Moderate,18 to 64,,National,Complete,Southwest,45 to 59,40 to 49,Democrat,40 to 49,0.881,Unfavorable
26.0,14.0,41.0,Third call,60-64,White,Male,Bond,Approve,Approve,,,,,,,,,,,,,18 to 64,,National,Not complete,Southwest,60 and over,60 and over,,50 to 64,1.202,
26.0,14.0,42.0,Third call,50-59,White,Female,Bond,Approve,Approve,Neither,No,,No,No,Yes,Worse,Dole,Republican,HS grad,30 to 50K,Moderate,18 to 64,,National,Complete,Southwest,45 to 59,50 to 59,Republican,50 to 64,0.723,Unfavorable
26.0,14.0,43.0,Third call,50-59,White,Male,Bond,Disapprove,Disapprove,Neither,No,,Yes,Yes,No,Same,Dole,Independent,Postgrad,75 to 100K,Conservative,18 to 64,,National,Complete,Southwest,45 to 59,50 to 59,Independent/Other,50 to 64,0.8300000000000001,Unfavorable
26.0,14.0,44.0,Third call,45-49,White,Female,Bond,,,Neither,No,,No,Yes,Yes,Same,Dole,Republican,College grad,30 to 50K,Conservative,18 to 64,,National,Complete,Southwest,45 to 59,40 to 49,Republican,40 to 49,0.723,Unfavorable
26.0,14.0,45.0,Third call,65 and over,White,Male,Nixon,Approve,Disapprove,Support Clinton,No,,No,No,No,Same,Clinton,Independent,College grad,75 to 100K,Moderate,65 and over,,National,Complete,Southwest,60 and over,60 and over,Independent/Other,65 and over,1.466,Favorable
26.0,14.0,46.0,Third call,40-44,White,Male,Nixon,Approve,Disapprove,Neither,No,,No,No,Yes,Worse,Clinton,Independent,College grad,30 to 50K,Moderate,18 to 64,,National,Complete,Southwest,30 to 44,40 to 49,Independent/Other,40 to 49,1.011,Favorable
26.0,14.0,47.0,Third call,40-44,White,Male,Bond,Approve,Approve,Neither,No,,No,No,No,Same,Clinton,Independent,HS grad,50 to 75K,Conservative,18 to 64,,National,Complete,Southwest,30 to 44,40 to 49,Independent/Other,40 to 49,0.8300000000000001,Unfavorable
26.0,14.0,48.0,Third call,25-29,White,Female,Bond,Approve,Approve,Neither,No,,No,No,No,Better,Clinton,Republican,College grad,30 to 50K,Liberal,18 to 64,,National,Complete,Southwest,18 to 29,25 to 29,Republican,25 to 29,0.998,Unfavorable
26.0,14.0,49.0,Third call,40-44,White,Male,Bond,Disapprove,,,,,,,,Same,,Republican,,50 to 75K,Conservative,18 to 64,,National,Complete,Southwest,30 to 44,40 to 49,Republican,40 to 49,0.8300000000000001,
26.0,14.0,50.0,Third call,50-59,White,Female,Nixon,Disapprove,,,,,,,,Same,,Republican,,75 to 100K,Moderate,18 to 64,,National,Complete,Southwest,45 to 59,50 to 59,Republican,50 to 64,0.881,
26.0,14.0,51.0,Third call,40-44,White,Female,Bond,Disapprove,,,,,,,,Same,,Republican,,100K or more,Moderate,18 to 64,,National,Complete,Southwest,30 to 44,40 to 49,Republican,40 to 49,0.723,
26.0,14.0,52.0,Third call,40-44,,Female,Bond,Approve,,,,,,,,Better,,Independent,,,Moderate,18 to 64,,National,Complete,Southwest,30 to 44,40 to 49,Independent/Other,40 to 49,0.723,
26.0,14.0,53.0,Third call,40-44,White,Female,Bond,Disapprove,,,,,,,,Same,,Republican,,15 to 30K,Conservative,18 to 64,,National,Complete,Southwest,30 to 44,40 to 49,Republican,40 to 49,0.723,
26.0,14.0,54.0,Third call,30-39,White,Female,Bond,Disapprove,,,,,,,,,,,,,,18 to 64,,National,Not complete,Southwest,30 to 44,30 to 39,,30 to 39,0.723,
26.0,14.0,55.0,Third call,45-49,White,Male,Bond,Disapprove,,,,,,,,Same,,Independent,,15 to 30K,Conservative,18 to 64,,National,Complete,Southwest,45 to 59,40 to 49,Independent/Other,40 to 49,0.8300000000000001,
26.0,14.0,56.0,Third call,40-44,White,Female,Bond,Approve,,,,,,,,Same,,Democrat,,50 to 75K,Moderate,18 to 64,,National,Complete,Southwest,30 to 44,40 to 49,Democrat,40 to 49,0.723,
26.0,14.0,57.0,Third call,45-49,White,Male,Bond,Disapprove,,,,,,,,Better,,Independent,,50 to 75K,Conservative,18 to 64,,National,Complete,Southwest,45 to 59,40 to 49,Independent/Other,40 to 49,0.8300000000000001,
26.0,14.0,58.0,Third call,60-64,White,Female,Nixon,Approve,,,,,,,,Same,,Democrat,,75 to 100K,Moderate,18 to 64,,National,Complete,Southwest,60 and over,60 and over,Democrat,50 to 64,1.2770000000000001,
26.0,14.0,59.0,Third call,65 and over,White,Male,Nixon,Approve,,,,,,,,,,,,,,65 and over,,National,Complete,Southwest,60 and over,60 and over,,65 and over,1.466,
26.0,14.0,60.0,Third call,25-29,White,Male,,Disapprove,,,,,,,,Better,,Independent,,30 to 50K,Moderate,18 to 64,,National,Complete,Southwest,18 to 29,25 to 29,Independent/Other,25 to 29,1.237,
26.0,15.0,1.0,First call,30-39,White,Male,Nixon,Disapprove,Approve,Neither,No,No,No,Yes,No,Same,Clinton,Democrat,Some college,75 to 100K,Moderate,18 to 64,Issues,State,Complete,North/Southeast,30 to 44,30 to 39,Democrat,30 to 39,0.728,Unfavorable
26.0,15.0,2.0,First call,50-59,White,Male,Nixon,Approve,Disapprove,Support Clinton,No,No,No,No,No,Better,Clinton,Independent,Postgrad,75 to 100K,Moderate,18 to 64,Issues,State,Complete,North/Southeast,45 to 59,50 to 59,Independent/Other,50 to 64,0.728,Favorable
26.0,15.0,3.0,First call,50-59,White,Male,Bond,Disapprove,Approve,Neither,No,Yes,Yes,Yes,No,Better,Dole,Republican,College grad,50 to 75K,Conservative,18 to 64,Issues,State,Complete,North/Southeast,45 to 59,50 to 59,Republican,50 to 64,0.712,Unfavorable
26.0,15.0,4.0,First call,30-39,White,Male,Bond,Disapprove,Approve,,Yes,Yes,,,,,,,,,,18 to 64,,State,Not complete,North/Southeast,30 to 44,30 to 39,,30 to 39,0.712,Unfavorable
26.0,15.0,5.0,First call,50-59,White,Female,Bond,Disapprove,Disapprove,,Yes,Yes,,,,,,,,,,18 to 64,Moral Values,State,Not complete,North/Southeast,45 to 59,50 to 59,,50 to 64,0.638,Unfavorable
26.0,15.0,6.0,First call,65 and over,White,Male,Other,Disapprove,Disapprove,Neither,No,No,No,No,No,Better,Perot,Independent,Postgrad,30 to 50K,Moderate,65 and over,Issues,State,Complete,North/Southeast,60 and over,60 and over,Independent/Other,65 and over,1.263,Unfavorable
26.0,15.0,7.0,Second call,30-39,White,Male,Bond,Disapprove,Disapprove,,,,,,,,,,,,,18 to 64,Issues,State,Not complete,North/Southeast,30 to 44,30 to 39,,30 to 39,0.712,Unfavorable
26.0,15.0,8.0,Second call,65 and over,White,Male,Nixon,Disapprove,Disapprove,,No,No,,,,,,,,,,65 and over,Issues,State,Not complete,North/Southeast,60 and over,60 and over,,65 and over,0.945,Unfavorable
26.0,15.0,9.0,Second call,60-64,White,Female,Nixon,Approve,Disapprove,Support Clinton,No,No,No,No,No,Better,Clinton,Democrat,Some college,15 to 30K,Liberal,18 to 64,Issues,State,Complete,North/Southeast,60 and over,60 and over,Democrat,50 to 64,0.847,Favorable
26.0,15.0,10.0,Second call,60-64,White,Male,Nixon,Approve,Disapprove,Support Clinton,No,No,No,No,No,Better,Clinton,Democrat,HS grad,15 to 30K,Liberal,18 to 64,Issues,State,Complete,North/Southeast,60 and over,60 and over,Democrat,50 to 64,0.945,Favorable
26.0,15.0,11.0,Second call,40-44,White,Male,Nixon,Approve,Approve,,No,No,,,,,,,,,,18 to 64,Issues,State,Not complete,North/Southeast,30 to 44,40 to 49,,40 to 49,0.728,Unfavorable
26.0,15.0,12.0,Second call,25-29,White,Female,Bond,Disapprove,Disapprove,Neither,No,,Yes,Yes,Yes,Better,Perot,Something else,College grad,50 to 75K,Moderate,18 to 64,Issues,State,Complete,North/Southeast,18 to 29,25 to 29,Independent/Other,25 to 29,0.691,Unfavorable
26.0,15.0,13.0,Second call,60-64,White,Male,Nixon,Approve,Disapprove,,No,No,,,,,,,,,,18 to 64,Issues,State,Not complete,North/Southeast,60 and over,60 and over,,50 to 64,0.945,Unfavorable
26.0,15.0,14.0,Third call,30-39,White,Female,Bond,Approve,Approve,Neither,No,Yes,No,No,No,Better,Dole,Republican,Postgrad,50 to 75K,Liberal,18 to 64,Issues,State,Complete,North/Southeast,30 to 44,30 to 39,Republican,30 to 39,0.638,Unfavorable
26.0,15.0,15.0,Third call,50-59,White,Female,Bond,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Yes,No,Better,Dole,Republican,College grad,15 to 30K,Conservative,18 to 64,Moral Values,State,Complete,North/Southeast,45 to 59,50 to 59,Republican,50 to 64,0.638,Unfavorable
26.0,15.0,16.0,Third call,30-39,White,Female,Bond,Disapprove,Disapprove,Neither,Yes,Yes,Yes,No,No,Same,Dole,Republican,Postgrad,15 to 30K,Conservative,18 to 64,Issues,State,Complete,North/Southeast,30 to 44,30 to 39,Republican,30 to 39,0.638,Unfavorable
26.0,15.0,17.0,Third call,40-44,White,Female,Bond,Disapprove,Disapprove,Oppose Clinton,Yes,No,Yes,Yes,,Better,Dole,Republican,College grad,75 to 100K,Conservative,18 to 64,Issues,State,Complete,North/Southeast,30 to 44,40 to 49,Republican,40 to 49,0.638,Unfavorable
26.0,15.0,18.0,Third call,30-39,White,Female,Bond,Disapprove,Approve,Neither,Yes,Yes,Yes,Yes,Yes,Same,Dole,Republican,College grad,75 to 100K,Conservative,18 to 64,,State,Complete,North/Southeast,30 to 44,30 to 39,Republican,30 to 39,0.638,Unfavorable
26.0,15.0,19.0,Third call,40-44,White,Male,Bond,Disapprove,Approve,Neither,No,No,Yes,Yes,Yes,Better,Perot,Independent,College grad,100K or more,Moderate,18 to 64,Issues,State,Complete,North/Southeast,30 to 44,40 to 49,Independent/Other,40 to 49,0.712,Unfavorable
26.0,15.0,20.0,Third call,50-59,White,Male,Other,Disapprove,Disapprove,Neither,No,No,Yes,Yes,No,Worse,Perot,Independent,College grad,30 to 50K,Moderate,18 to 64,Moral Values,State,Complete,North/Southeast,45 to 59,50 to 59,Independent/Other,50 to 64,0.9720000000000001,Unfavorable
26.0,15.0,21.0,Third call,25-29,White,Male,Nixon,Approve,Disapprove,Neither,No,No,No,No,No,Better,Clinton,Democrat,Some college,30 to 50K,Moderate,18 to 64,Issues,State,Complete,North/Southeast,18 to 29,25 to 29,Democrat,25 to 29,0.787,Favorable
