State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Senator Vote,Governor Race,Clinton Approval,Congress Approval,Reason for Cong Vote,Religious Right,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Finanacial Situation,1996 vote,Party ID,Education,Income,Ideology,Age (65 and over),Lottery to fund educ,State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight 3 decimal pl
1.0,8.0,37.0,Third call,50-59,White,Female,Sudith,Siegelman,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,Postgrad,75 to 100K,Moderate,18 to 64,Favor,State,Complete,North,45 to 59,50 to 59,Democrat,50 to 64,1.506
1.0,8.0,38.0,Third call,40-44,White,Female,Shelby,James,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Yes,Better,Dole,Republican,Some college,100K or more,Conservative,18 to 64,Oppose,State,Complete,North,30 to 44,40 to 49,Republican,40 to 49,1.9289999999999998
1.0,8.0,39.0,Third call,30-39,White,Female,Sudith,Siegelman,Approve,Approve,Neither,,No,No,Yes,Better,Clinton,Democrat,HS grad,50 to 75K,Liberal,18 to 64,Favor,State,Complete,North,30 to 44,30 to 39,Democrat,30 to 39,1.506
1.0,8.0,40.0,Third call,40-44,White,Male,Sudith,Siegelman,Approve,Disapprove,Support Clinton,Yes,No,No,No,Same,Clinton,Democrat,Some college,30 to 50K,Conservative,18 to 64,Favor,State,Complete,North,30 to 44,40 to 49,Democrat,40 to 49,1.478
1.0,8.0,41.0,Third call,60-64,White,Male,,Siegelman,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,Some college,50 to 75K,Moderate,18 to 64,Favor,State,Complete,North,60 and over,65 and over,Democrat,50 to 64,1.278
1.0,10.0,1.0,First call,50-59,White,Male,Shelby,James,Disapprove,Approve,Neither,Yes,Yes,Yes,,Worse,Dole,Independent,College grad,30 to 50K,Conservative,18 to 64,Oppose,State,Complete,Black Belt,45 to 59,50 to 59,Independent/Other,50 to 64,0.194
1.0,10.0,2.0,First call,40-44,White,Female,Sudith,Siegelman,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Democrat,Some college,30 to 50K,Moderate,18 to 64,Favor,State,Complete,Black Belt,30 to 44,40 to 49,Democrat,40 to 49,0.433
1.0,10.0,3.0,First call,40-44,Black,Female,Sudith,Siegelman,Approve,Disapprove,Neither,No,No,No,No,Worse,Clinton,Democrat,College grad,50 to 75K,Moderate,18 to 64,Favor,State,Complete,Black Belt,30 to 44,40 to 49,Democrat,40 to 49,0.8510000000000001
1.0,10.0,4.0,First call,25-29,Black,Female,Sudith,Siegelman,Disapprove,Approve,Neither,Yes,No,No,No,Same,Clinton,Democrat,Some college,Under 15K,Liberal,18 to 64,Favor,State,Complete,Black Belt,18 to 29,25 to 29,Democrat,25 to 29,0.748
1.0,10.0,5.0,First call,30-39,Black,Male,Sudith,Siegelman,Approve,Disapprove,Support Clinton,Yes,No,No,No,Better,Clinton,Democrat,Some college,50 to 75K,Moderate,18 to 64,Favor,State,Complete,Black Belt,30 to 44,30 to 39,Democrat,30 to 39,0.8440000000000001
1.0,10.0,6.0,First call,65 and over,White,Female,Shelby,Siegelman,Approve,Disapprove,Support Clinton,Yes,No,No,No,Better,Clinton,Democrat,HS grad,50 to 75K,Moderate,65 and over,Favor,State,Complete,Black Belt,60 and over,65 and over,Democrat,65 and over,0.455
1.0,10.0,7.0,First call,65 and over,Black,Female,Sudith,Siegelman,Approve,Approve,Neither,No,No,No,No,Same,Clinton,Democrat,Some college,Under 15K,,65 and over,Oppose,State,Complete,Black Belt,60 and over,65 and over,Democrat,65 and over,1.208
1.0,10.0,8.0,First call,40-44,Black,Male,Shelby,Siegelman,Approve,Approve,Neither,Yes,No,No,Yes,Better,Clinton,Democrat,Some college,Under 15K,Liberal,18 to 64,Favor,State,Complete,Black Belt,30 to 44,40 to 49,Democrat,40 to 49,0.623
1.0,10.0,9.0,First call,60-64,Black,Female,Sudith,Siegelman,Approve,Approve,,,No,No,No,Same,,Democrat,No HS,Under 15K,,18 to 64,Favor,State,Complete,Black Belt,60 and over,65 and over,Democrat,50 to 64,1.208
1.0,10.0,10.0,First call,30-39,Black,Male,Shelby,Siegelman,Approve,Approve,Support Clinton,Yes,No,No,No,Same,Clinton,Democrat,HS grad,15 to 30K,Conservative,18 to 64,Favor,State,Complete,Black Belt,30 to 44,30 to 39,Democrat,30 to 39,0.623
1.0,10.0,11.0,First call,50-59,Black,Male,Shelby,Siegelman,Approve,Approve,Support Clinton,No,No,No,No,Same,Clinton,Democrat,Some college,15 to 30K,Moderate,18 to 64,Favor,State,Complete,Black Belt,45 to 59,50 to 59,Democrat,50 to 64,0.623
1.0,10.0,12.0,First call,25-29,White,Male,Sudith,Siegelman,Disapprove,Disapprove,Neither,No,Yes,Yes,,Same,Other,Democrat,HS grad,,Moderate,18 to 64,Favor,State,Complete,Black Belt,18 to 29,25 to 29,Democrat,25 to 29,0.38099999999999995
1.0,10.0,13.0,First call,18-24,Black,Female,Sudith,Siegelman,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Democrat,HS grad,15 to 30K,Moderate,18 to 64,Favor,State,Complete,Black Belt,18 to 29,18 to 24,Democrat,18 to 24,0.748
1.0,10.0,14.0,Second call,45-49,Black,,Other,Siegelman,Approve,Disapprove,Neither,No,No,No,Yes,Better,Clinton,Democrat,,,,18 to 64,Oppose,State,Complete,Black Belt,45 to 59,40 to 49,Democrat,40 to 49,0.694
1.0,10.0,15.0,Second call,40-44,Black,Female,Sudith,Siegelman,Approve,Approve,Support Clinton,Yes,No,No,Yes,Better,Clinton,Democrat,No HS,Under 15K,Moderate,18 to 64,Favor,State,Complete,Black Belt,30 to 44,40 to 49,Democrat,40 to 49,0.8510000000000001
1.0,10.0,16.0,Second call,30-39,Black,Male,Sudith,Siegelman,Approve,Disapprove,Support Clinton,No,No,No,Yes,Same,Clinton,Democrat,Postgrad,50 to 75K,Moderate,18 to 64,Favor,State,Complete,Black Belt,30 to 44,30 to 39,Democrat,30 to 39,0.8440000000000001
1.0,10.0,17.0,Second call,45-49,Black,Female,Sudith,Siegelman,Approve,Disapprove,Support Clinton,No,No,No,No,Same,Clinton,Democrat,,Under 15K,Moderate,18 to 64,Oppose,State,Complete,Black Belt,45 to 59,40 to 49,Democrat,40 to 49,0.8510000000000001
1.0,10.0,18.0,Second call,40-44,Black,Female,Sudith,Siegelman,Approve,Approve,Support Clinton,Yes,No,Yes,No,Better,Clinton,Democrat,HS grad,Under 15K,Liberal,18 to 64,Favor,State,Complete,Black Belt,30 to 44,40 to 49,Democrat,40 to 49,0.8510000000000001
1.0,10.0,19.0,Second call,65 and over,Black,Female,Shelby,James,Disapprove,Approve,Support Clinton,Yes,Yes,No,,Worse,Clinton,Democrat,No HS,Under 15K,,65 and over,Oppose,State,Complete,Black Belt,60 and over,65 and over,Democrat,65 and over,0.544
1.0,10.0,20.0,Second call,40-44,Black,Male,Sudith,Siegelman,Approve,Approve,Support Clinton,No,No,No,No,Same,Clinton,Democrat,HS grad,15 to 30K,Liberal,18 to 64,Favor,State,Complete,Black Belt,30 to 44,40 to 49,Democrat,40 to 49,0.8440000000000001
1.0,10.0,21.0,Third call,40-44,White,Female,Shelby,James,Disapprove,Disapprove,Oppose Clinton,No,Yes,Yes,Yes,Same,Dole,Republican,College grad,30 to 50K,,18 to 64,Oppose,State,Complete,Black Belt,30 to 44,40 to 49,Republican,40 to 49,0.19599999999999998
1.0,10.0,22.0,Third call,18-24,Black,Female,Sudith,Siegelman,Approve,Disapprove,Support Clinton,Yes,No,No,No,Better,Clinton,Democrat,HS grad,15 to 30K,Conservative,18 to 64,Oppose,State,Complete,Black Belt,18 to 29,18 to 24,Democrat,18 to 24,0.748
1.0,10.0,23.0,Third call,30-39,Black,Female,Sudith,Siegelman,Approve,Approve,Neither,No,No,No,Yes,Same,Clinton,Democrat,Some college,50 to 75K,Moderate,18 to 64,,State,Complete,Black Belt,30 to 44,30 to 39,Democrat,30 to 39,0.8510000000000001
1.0,10.0,24.0,Third call,18-24,Black,Male,Sudith,Siegelman,Approve,Disapprove,Support Clinton,No,No,No,No,Worse,Clinton,Democrat,HS grad,30 to 50K,Moderate,18 to 64,Favor,State,Complete,Black Belt,18 to 29,18 to 24,Democrat,18 to 24,0.744
1.0,10.0,25.0,Third call,30-39,White,Female,Shelby,Siegelman,Approve,Approve,Neither,Yes,No,No,No,Better,Clinton,Republican,Some college,50 to 75K,Moderate,18 to 64,Favor,State,Complete,Black Belt,30 to 44,30 to 39,Republican,30 to 39,0.32
1.0,10.0,26.0,Third call,18-24,Black,Female,Shelby,Siegelman,Approve,Disapprove,Neither,No,No,No,No,Same,Clinton,Democrat,College grad,Under 15K,Liberal,18 to 64,Favor,State,Complete,Black Belt,18 to 29,18 to 24,Democrat,18 to 24,0.552
1.0,10.0,27.0,Third call,30-39,Black,Female,,Siegelman,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,No HS,Under 15K,Moderate,18 to 64,Favor,State,Complete,Black Belt,30 to 44,30 to 39,Democrat,30 to 39,0.699
1.0,10.0,28.0,Third call,45-49,White,Female,Sudith,Siegelman,Approve,Approve,Support Clinton,Yes,No,No,,Better,Clinton,Independent,,Under 15K,Moderate,18 to 64,Favor,State,Complete,Black Belt,45 to 59,40 to 49,Independent/Other,40 to 49,0.433
1.0,10.0,29.0,Third call,40-44,Black,Female,Shelby,Siegelman,Approve,Approve,Support Clinton,Yes,No,No,No,Worse,Clinton,Independent,HS grad,Under 15K,Conservative,18 to 64,Favor,State,Complete,Black Belt,30 to 44,40 to 49,Independent/Other,40 to 49,0.628
1.0,10.0,30.0,Third call,60-64,Black,Male,Sudith,Siegelman,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,Postgrad,50 to 75K,Liberal,18 to 64,Favor,State,Complete,Black Belt,60 and over,65 and over,Democrat,50 to 64,1.201
1.0,10.0,31.0,Third call,18-24,Black,Male,Sudith,James,Approve,Approve,Support Clinton,Yes,No,No,No,Better,Clinton,Democrat,Some college,50 to 75K,Liberal,18 to 64,Favor,State,Complete,Black Belt,18 to 29,18 to 24,Democrat,18 to 24,0.455
1.0,10.0,32.0,Third call,50-59,Black,Female,Sudith,Siegelman,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Democrat,Postgrad,75 to 100K,Liberal,18 to 64,Favor,State,Complete,Black Belt,45 to 59,50 to 59,Democrat,50 to 64,0.8510000000000001
1.0,11.0,1.0,First call,25-29,White,Female,Shelby,James,,Disapprove,Neither,Yes,No,No,Yes,Same,Perot,Republican,Some college,50 to 75K,Conservative,18 to 64,Favor,State,Complete,Black Belt,18 to 29,25 to 29,Republican,25 to 29,0.51
1.0,11.0,2.0,First call,65 and over,White,Male,Shelby,James,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Yes,Same,Dole,,No HS,,Moderate,65 and over,Oppose,State,Complete,Black Belt,60 and over,65 and over,,65 and over,0.8210000000000001
1.0,11.0,3.0,First call,60-64,White,Female,Shelby,James,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Yes,Same,Dole,Something else,No HS,,Moderate,18 to 64,Oppose,State,Complete,Black Belt,60 and over,65 and over,Independent/Other,50 to 64,0.8250000000000001
1.0,11.0,4.0,First call,30-39,White,Female,Shelby,James,Disapprove,Disapprove,Oppose Clinton,Yes,No,Yes,No,Same,Dole,Independent,HS grad,15 to 30K,Conservative,18 to 64,Oppose,State,Complete,Black Belt,30 to 44,30 to 39,Independent/Other,30 to 39,0.583
1.0,11.0,5.0,First call,40-44,White,Male,Shelby,James,Disapprove,Approve,Neither,Yes,No,No,No,Worse,Dole,Independent,HS grad,50 to 75K,Conservative,18 to 64,Oppose,State,Complete,Black Belt,30 to 44,40 to 49,Independent/Other,40 to 49,0.578
1.0,11.0,6.0,First call,50-59,White,Male,Shelby,Siegelman,Disapprove,Approve,,No,,,,,,,,,,18 to 64,Oppose,State,Not complete,Black Belt,45 to 59,50 to 59,,50 to 64,0.9460000000000001
1.0,11.0,7.0,First call,65 and over,White,Male,Shelby,James,Disapprove,Approve,Neither,No,Yes,Yes,,Same,Dole,Republican,HS grad,15 to 30K,Conservative,65 and over,Oppose,State,Complete,Black Belt,60 and over,65 and over,Republican,65 and over,0.8210000000000001
1.0,11.0,8.0,First call,65 and over,White,Female,Shelby,James,Disapprove,Disapprove,Neither,Yes,,Yes,Yes,Same,Dole,Republican,No HS,,Conservative,65 and over,Oppose,State,Complete,Black Belt,60 and over,65 and over,Republican,65 and over,0.8250000000000001
1.0,11.0,9.0,First call,25-29,White,Female,Shelby,James,Disapprove,Approve,Neither,Yes,Yes,Yes,Yes,Better,Dole,Democrat,College grad,30 to 50K,Moderate,18 to 64,Oppose,State,Complete,Black Belt,18 to 29,25 to 29,Democrat,25 to 29,0.51
1.0,11.0,10.0,First call,50-59,White,Male,Shelby,James,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Yes,Same,Dole,Independent,No HS,50 to 75K,Moderate,18 to 64,Oppose,State,Complete,Black Belt,45 to 59,50 to 59,Independent/Other,50 to 64,0.578
1.0,11.0,11.0,First call,30-39,White,Male,Shelby,James,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Yes,Worse,Dole,Republican,,Under 15K,Conservative,18 to 64,Oppose,State,Complete,Black Belt,30 to 44,30 to 39,Republican,30 to 39,0.578
1.0,11.0,12.0,First call,50-59,White,Female,Shelby,James,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Yes,Same,Dole,Independent,No HS,50 to 75K,Moderate,18 to 64,Oppose,State,Complete,Black Belt,45 to 59,50 to 59,Independent/Other,50 to 64,0.583
1.0,11.0,13.0,First call,40-44,White,Female,Shelby,James,Approve,Approve,Neither,Yes,No,No,Yes,Better,Dole,Republican,College grad,50 to 75K,Conservative,18 to 64,Oppose,State,Complete,Black Belt,30 to 44,40 to 49,Republican,40 to 49,0.583
1.0,11.0,14.0,Second call,50-59,White,Female,Shelby,James,Disapprove,Disapprove,Neither,Yes,Yes,Yes,,Same,Clinton,Independent,HS grad,,,18 to 64,Oppose,State,Complete,Black Belt,45 to 59,50 to 59,Independent/Other,50 to 64,0.583
1.0,11.0,15.0,Second call,30-39,White,Male,Shelby,James,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,No,Same,Dole,Republican,College grad,50 to 75K,Conservative,18 to 64,Oppose,State,Complete,Black Belt,30 to 44,30 to 39,Republican,30 to 39,0.578
1.0,11.0,16.0,Second call,60-64,White,Female,Shelby,James,Approve,Disapprove,Neither,Yes,No,No,No,Worse,Did not vote,Democrat,No HS,Under 15K,Conservative,18 to 64,Oppose,State,Complete,Black Belt,60 and over,65 and over,Democrat,50 to 64,0.8250000000000001
1.0,11.0,17.0,Second call,30-39,White,Female,Shelby,James,Disapprove,Approve,Neither,Yes,Yes,Yes,Yes,Better,Dole,Republican,HS grad,50 to 75K,Conservative,18 to 64,Oppose,State,Complete,Black Belt,30 to 44,30 to 39,Republican,30 to 39,0.583
1.0,11.0,18.0,Second call,45-49,White,Male,Shelby,James,Disapprove,Disapprove,Neither,No,Yes,Yes,,Same,Dole,Something else,HS grad,50 to 75K,Conservative,18 to 64,Favor,State,Complete,Black Belt,45 to 59,40 to 49,Independent/Other,40 to 49,0.578
1.0,11.0,19.0,Second call,65 and over,White,Male,Shelby,James,Disapprove,Approve,Oppose Clinton,No,Yes,,,Same,Dole,Republican,HS grad,15 to 30K,Conservative,65 and over,Favor,State,Complete,Black Belt,60 and over,65 and over,Republican,65 and over,0.8210000000000001
1.0,11.0,20.0,Second call,65 and over,White,Male,Shelby,James,Disapprove,Approve,Neither,Yes,Yes,Yes,Yes,Same,Dole,Democrat,HS grad,,Conservative,65 and over,Oppose,State,Complete,Black Belt,60 and over,65 and over,Democrat,65 and over,0.8210000000000001
1.0,11.0,21.0,Second call,60-64,White,Female,Shelby,James,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Yes,Same,Dole,Republican,,15 to 30K,Conservative,18 to 64,Oppose,State,Complete,Black Belt,60 and over,65 and over,Republican,50 to 64,0.8250000000000001
1.0,11.0,22.0,Second call,50-59,White,Female,Shelby,James,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,,Better,,Something else,No HS,,Conservative,18 to 64,Oppose,State,Complete,Black Belt,45 to 59,50 to 59,Independent/Other,50 to 64,0.583
1.0,11.0,23.0,Second call,50-59,White,Male,Shelby,,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Yes,Better,Dole,Republican,,50 to 75K,Conservative,18 to 64,Oppose,State,Complete,Black Belt,45 to 59,50 to 59,Republican,50 to 64,0.769
1.0,11.0,24.0,Third call,50-59,White,Female,,James,Disapprove,,,No,No,,Yes,Same,,Republican,Postgrad,100K or more,Conservative,18 to 64,Oppose,State,Complete,Black Belt,45 to 59,50 to 59,Republican,50 to 64,0.646
1.0,11.0,25.0,Third call,30-39,White,Male,Shelby,,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Yes,Same,Dole,Independent,HS grad,30 to 50K,Conservative,18 to 64,Oppose,State,Complete,Black Belt,30 to 44,30 to 39,Independent/Other,30 to 39,0.769
1.0,11.0,26.0,Third call,50-59,White,Male,Shelby,Siegelman,Disapprove,Disapprove,Neither,No,Yes,,,Better,Clinton,Democrat,HS grad,50 to 75K,Conservative,18 to 64,Oppose,State,Complete,Black Belt,45 to 59,50 to 59,Democrat,50 to 64,0.9460000000000001
1.0,11.0,27.0,Third call,65 and over,White,Male,Shelby,James,Disapprove,Disapprove,,,,,,,Dole,,,,,65 and over,Oppose,State,Complete,Black Belt,60 and over,65 and over,,65 and over,0.8210000000000001
1.0,11.0,28.0,Third call,30-39,White,Female,Sudith,Siegelman,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Yes,Better,Clinton,Democrat,Some college,50 to 75K,Conservative,18 to 64,Favor,State,Complete,Black Belt,30 to 44,30 to 39,Democrat,30 to 39,1.292
