State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Governor Vote,Clinton Approval,Congress Approval,Reason for Cong Vote,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,1996 vote,Party ID,Income,Ideology,Age (65 and over),State or national poll,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight (3 implied dec places)
20.0,1.0,15.0,Second call,25-29,White,Male,Longley,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,No,Worse,Dole,Republican,Under 15K,Conservative,18 to 64,State,Cd #2,18 to 29,25 to 29,Republican,25 to 29,0.6629999999999999
20.0,1.0,16.0,Second call,50-59,,Male,Longley,Disapprove,Disapprove,Oppose Clinton,Yes,No,Yes,Better,Other,Democrat,50 to 75K,Liberal,18 to 64,State,Cd #2,45 to 59,50 to 59,Democrat,50 to 64,0.6779999999999999
20.0,1.0,17.0,Second call,65 and over,,,Connelly,Approve,Disapprove,Support Clinton,Yes,No,No,Same,Clinton,Something else,Under 15K,Moderate,65 and over,State,Cd #2,60 and over,60 and over,Independent/Other,65 and over,0.893
20.0,1.0,18.0,Second call,50-59,White,Male,Connelly,Approve,Disapprove,Neither,Yes,No,Yes,Same,Clinton,Democrat,30 to 50K,Moderate,18 to 64,State,Cd #2,45 to 59,50 to 59,Democrat,50 to 64,0.74
20.0,1.0,19.0,Third call,50-59,White,Female,Longley,Approve,Disapprove,Neither,No,No,No,Same,Did not vote,Independent,15 to 30K,Moderate,18 to 64,State,Cd #2,45 to 59,50 to 59,Independent/Other,50 to 64,0.628
20.0,1.0,20.0,Third call,45-49,White,Female,Longley,Disapprove,Disapprove,Neither,Yes,Yes,No,Same,Dole,Republican,,Conservative,18 to 64,State,Cd #2,45 to 59,40 to 49,Republican,40 to 49,0.628
20.0,1.0,21.0,Third call,30-39,White,Female,Longley,Disapprove,Approve,Neither,No,Yes,Yes,Same,Dole,Independent,15 to 30K,Moderate,18 to 64,State,Cd #2,30 to 44,30 to 39,Independent/Other,30 to 39,0.628
20.0,1.0,22.0,Third call,40-44,White,Male,Connelly,Disapprove,Approve,Neither,Yes,Yes,Yes,Better,Clinton,Democrat,75 to 100K,Moderate,18 to 64,State,Cd #2,30 to 44,40 to 49,Democrat,40 to 49,0.74
20.0,1.0,23.0,Third call,60-64,White,Male,Connelly,Approve,Disapprove,Neither,No,No,Yes,Same,Clinton,Democrat,15 to 30K,Moderate,18 to 64,State,Cd #2,60 and over,60 and over,Democrat,50 to 64,0.963
20.0,1.0,24.0,Third call,30-39,White,Female,King,Approve,Disapprove,Oppose Clinton,Yes,Yes,No,Same,Perot,Independent,75 to 100K,Liberal,18 to 64,State,Cd #2,30 to 44,30 to 39,Independent/Other,30 to 39,0.501
20.0,1.0,25.0,Third call,50-59,White,Male,King,Approve,Disapprove,Neither,No,No,Yes,Same,Clinton,Independent,50 to 75K,Moderate,18 to 64,State,Cd #2,45 to 59,50 to 59,Independent/Other,50 to 64,0.541
20.0,1.0,26.0,Third call,50-59,White,Female,King,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Better,Dole,Something else,,Moderate,18 to 64,State,Cd #2,45 to 59,50 to 59,Independent/Other,50 to 64,0.501
20.0,1.0,27.0,Third call,50-59,White,Female,Longley,Approve,Disapprove,Support Clinton,No,No,No,Better,Clinton,Democrat,50 to 75K,Moderate,18 to 64,State,Cd #2,45 to 59,50 to 59,Democrat,50 to 64,0.628
20.0,1.0,28.0,Third call,45-49,White,Male,King,Approve,Disapprove,Neither,No,No,No,Better,Clinton,Independent,15 to 30K,Conservative,18 to 64,State,Cd #2,45 to 59,40 to 49,Independent/Other,40 to 49,0.541
20.0,1.0,29.0,Third call,40-44,White,Male,King,Approve,Disapprove,Support Clinton,No,No,No,Better,Clinton,Republican,75 to 100K,Moderate,18 to 64,State,Cd #2,30 to 44,40 to 49,Republican,40 to 49,0.541
20.0,1.0,30.0,Third call,18-24,White,Female,King,Approve,Approve,Neither,No,No,No,Same,Did not vote,Independent,50 to 75K,Moderate,18 to 64,State,Cd #2,18 to 29,18 to 24,Independent/Other,18 to 24,0.489
20.0,1.0,31.0,Third call,18-24,White,Female,King,Approve,Approve,Neither,Yes,Yes,Yes,Same,Did not vote,Independent,15 to 30K,Moderate,18 to 64,State,Cd #2,18 to 29,18 to 24,Independent/Other,18 to 24,0.489
20.0,1.0,32.0,Third call,25-29,White,Male,King,Disapprove,Approve,Neither,No,Yes,Yes,Same,Dole,Republican,50 to 75K,Conservative,18 to 64,State,Cd #2,18 to 29,25 to 29,Republican,25 to 29,0.528
20.0,1.0,33.0,Third call,50-59,White,Female,King,,,Neither,No,Yes,Yes,Same,Clinton,Independent,15 to 30K,Moderate,18 to 64,State,Cd #2,45 to 59,50 to 59,Independent/Other,50 to 64,0.501
20.0,1.0,34.0,Third call,40-44,White,Male,King,Approve,Disapprove,Neither,No,No,Yes,Better,Clinton,Democrat,75 to 100K,Moderate,18 to 64,State,Cd #2,30 to 44,40 to 49,Democrat,40 to 49,0.541
20.0,4.0,1.0,First call,45-49,White,Female,King,Approve,Disapprove,Support Clinton,No,No,No,Same,Clinton,Independent,30 to 50K,Liberal,18 to 64,State,Cd #2,45 to 59,40 to 49,Independent/Other,40 to 49,0.767
20.0,4.0,2.0,First call,30-39,White,Female,Other,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Same,Perot,Something else,30 to 50K,Conservative,18 to 64,State,Cd #2,30 to 44,30 to 39,Independent/Other,30 to 39,0.8160000000000001
20.0,4.0,3.0,First call,50-59,White,Male,Longley,Disapprove,Approve,Neither,Yes,Yes,No,Better,Dole,Republican,75 to 100K,Conservative,18 to 64,State,Cd #2,45 to 59,50 to 59,Republican,50 to 64,1.037
20.0,4.0,4.0,First call,40-44,White,Male,King,Approve,Disapprove,Neither,No,No,No,Same,Clinton,Independent,30 to 50K,Moderate,18 to 64,State,Cd #2,30 to 44,40 to 49,Independent/Other,40 to 49,0.827
20.0,4.0,5.0,First call,30-39,White,Male,King,Approve,Disapprove,Support Clinton,No,No,Yes,Worse,Clinton,Independent,15 to 30K,Moderate,18 to 64,State,Cd #2,30 to 44,30 to 39,Independent/Other,30 to 39,0.827
20.0,4.0,6.0,First call,30-39,White,Male,King,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Same,Perot,Independent,15 to 30K,Conservative,18 to 64,State,Cd #2,30 to 44,30 to 39,Independent/Other,30 to 39,0.827
20.0,4.0,7.0,First call,30-39,White,Male,King,Disapprove,Approve,Oppose Clinton,Yes,Yes,No,Worse,Dole,Republican,50 to 75K,Moderate,18 to 64,State,Cd #2,30 to 44,30 to 39,Republican,30 to 39,0.827
20.0,4.0,8.0,First call,30-39,White,Female,King,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Same,Clinton,Democrat,50 to 75K,Liberal,18 to 64,State,Cd #2,30 to 44,30 to 39,Democrat,30 to 39,0.767
20.0,4.0,9.0,First call,50-59,White,Female,Longley,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Better,Perot,Republican,,Conservative,18 to 64,State,Cd #2,45 to 59,50 to 59,Republican,50 to 64,0.961
20.0,4.0,10.0,Second call,65 and over,White,Male,King,Approve,Disapprove,Neither,No,No,Yes,Worse,Other,Independent,15 to 30K,Moderate,65 and over,State,Cd #2,60 and over,60 and over,Independent/Other,65 and over,1.076
20.0,4.0,11.0,Second call,25-29,White,Female,Other,Disapprove,Disapprove,Neither,No,Yes,No,Same,Other,Independent,,Conservative,18 to 64,State,Cd #2,18 to 29,25 to 29,Independent/Other,25 to 29,0.798
20.0,4.0,12.0,Second call,40-44,White,Female,King,Disapprove,Approve,Oppose Clinton,No,No,Yes,Same,Dole,Republican,75 to 100K,Moderate,18 to 64,State,Cd #2,30 to 44,40 to 49,Republican,40 to 49,0.767
20.0,4.0,13.0,Second call,50-59,White,Female,King,Approve,Disapprove,Neither,No,No,Yes,Worse,Perot,Independent,30 to 50K,Liberal,18 to 64,State,Cd #2,45 to 59,50 to 59,Independent/Other,50 to 64,0.767
20.0,4.0,14.0,Second call,65 and over,White,Male,King,,Disapprove,Neither,No,Yes,No,Same,Dole,Republican,Under 15K,Conservative,65 and over,State,Cd #2,60 and over,60 and over,Republican,65 and over,1.076
20.0,4.0,15.0,Second call,50-59,White,Female,Other,Approve,Disapprove,Neither,No,No,No,Same,Clinton,Democrat,30 to 50K,Moderate,18 to 64,State,Cd #2,45 to 59,50 to 59,Democrat,50 to 64,0.8160000000000001
20.0,4.0,16.0,Second call,30-39,White,Female,Other,Approve,Disapprove,Neither,No,No,No,Better,Clinton,Democrat,50 to 75K,Moderate,18 to 64,State,Cd #2,30 to 44,30 to 39,Democrat,30 to 39,0.8160000000000001
20.0,4.0,17.0,Second call,65 and over,White,Female,Longley,Disapprove,Disapprove,Oppose Clinton,,Yes,Yes,Same,Perot,Independent,75 to 100K,Moderate,65 and over,State,Cd #2,60 and over,60 and over,Independent/Other,65 and over,1.25
20.0,4.0,18.0,Second call,50-59,White,Male,King,Disapprove,Disapprove,Neither,No,No,No,Better,Dole,Republican,50 to 75K,Moderate,18 to 64,State,Cd #2,45 to 59,50 to 59,Republican,50 to 64,0.827
20.0,4.0,19.0,Second call,30-39,White,Male,King,Approve,Disapprove,Support Clinton,No,No,No,Same,Clinton,Republican,50 to 75K,Moderate,18 to 64,State,Cd #2,30 to 44,30 to 39,Republican,30 to 39,0.827
20.0,4.0,20.0,Second call,50-59,White,Female,King,Approve,Approve,Support Clinton,No,No,No,Better,Clinton,Democrat,30 to 50K,Liberal,18 to 64,State,Cd #2,45 to 59,50 to 59,Democrat,50 to 64,0.767
20.0,4.0,21.0,Second call,65 and over,White,Female,King,Approve,,Support Clinton,No,No,,Same,Clinton,Independent,,Moderate,65 and over,State,Cd #2,60 and over,60 and over,Independent/Other,65 and over,0.997
20.0,4.0,22.0,Second call,65 and over,White,Female,King,Approve,Approve,Neither,No,No,No,Same,Clinton,Independent,15 to 30K,Conservative,65 and over,State,Cd #2,60 and over,60 and over,Independent/Other,65 and over,0.997
20.0,4.0,23.0,Second call,40-44,White,Male,Longley,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Same,Dole,Republican,15 to 30K,Conservative,18 to 64,State,Cd #2,30 to 44,40 to 49,Republican,40 to 49,1.037
20.0,4.0,24.0,Second call,50-59,White,Male,Longley,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Better,Perot,Republican,50 to 75K,Moderate,18 to 64,State,Cd #2,45 to 59,50 to 59,Republican,50 to 64,1.037
20.0,4.0,25.0,Second call,18-24,White,Male,King,Approve,Approve,Neither,No,No,Yes,Better,Perot,Independent,50 to 75K,Moderate,18 to 64,State,Cd #2,18 to 29,18 to 24,Independent/Other,18 to 24,0.808
20.0,4.0,26.0,Second call,18-24,White,Female,King,Approve,Approve,Support Clinton,No,No,No,Better,Did not vote,Independent,Under 15K,Conservative,18 to 64,State,Cd #2,18 to 29,18 to 24,Independent/Other,18 to 24,0.7489999999999999
20.0,4.0,27.0,Second call,65 and over,White,Female,Longley,Approve,Disapprove,Support Clinton,No,No,No,Same,Clinton,Democrat,Under 15K,Moderate,65 and over,State,Cd #2,60 and over,60 and over,Democrat,65 and over,1.25
20.0,4.0,28.0,Third call,30-39,White,Female,King,Approve,Approve,Neither,No,Yes,No,Better,Clinton,Independent,50 to 75K,Moderate,18 to 64,State,Cd #2,30 to 44,30 to 39,Independent/Other,30 to 39,0.767
20.0,4.0,29.0,Third call,30-39,White,Male,Other,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Same,Perot,Independent,30 to 50K,Conservative,18 to 64,State,Cd #2,30 to 44,30 to 39,Independent/Other,30 to 39,0.881
20.0,4.0,30.0,Third call,30-39,White,Male,King,Approve,Disapprove,Neither,No,No,No,Better,Clinton,Democrat,50 to 75K,Moderate,18 to 64,State,Cd #2,30 to 44,30 to 39,Democrat,30 to 39,0.827
20.0,4.0,31.0,Third call,50-59,White,Female,Other,Approve,Disapprove,Neither,No,Yes,No,Better,Clinton,Democrat,Under 15K,Moderate,18 to 64,State,Cd #2,45 to 59,50 to 59,Democrat,50 to 64,0.8160000000000001
20.0,4.0,32.0,Third call,45-49,White,Male,Other,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Better,Dole,Republican,30 to 50K,Moderate,18 to 64,State,Cd #2,45 to 59,40 to 49,Republican,40 to 49,0.881
20.0,4.0,33.0,Third call,50-59,White,Female,King,Approve,Disapprove,Neither,No,No,No,Better,Clinton,Democrat,75 to 100K,Moderate,18 to 64,State,Cd #2,45 to 59,50 to 59,Democrat,50 to 64,0.767
20.0,4.0,34.0,Third call,65 and over,White,Male,Longley,Disapprove,Approve,Neither,Yes,Yes,No,Same,Dole,Republican,100K or more,Conservative,65 and over,State,Cd #2,60 and over,60 and over,Republican,65 and over,1.349
20.0,4.0,35.0,Third call,40-44,White,Male,King,Approve,Disapprove,Neither,No,No,Yes,Better,Clinton,Independent,15 to 30K,Liberal,18 to 64,State,Cd #2,30 to 44,40 to 49,Independent/Other,40 to 49,0.827
20.0,4.0,36.0,Third call,30-39,White,Female,Other,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Worse,Other,Independent,30 to 50K,Conservative,18 to 64,State,Cd #2,30 to 44,30 to 39,Independent/Other,30 to 39,0.8160000000000001
20.0,4.0,37.0,Third call,50-59,White,Male,King,Disapprove,Approve,Neither,No,Yes,No,Same,Clinton,Democrat,15 to 30K,Liberal,18 to 64,State,Cd #2,45 to 59,50 to 59,Democrat,50 to 64,0.827
20.0,4.0,38.0,Third call,40-44,White,Male,King,Disapprove,Approve,Neither,No,No,Yes,Same,Dole,Republican,,Conservative,18 to 64,State,Cd #2,30 to 44,40 to 49,Republican,40 to 49,0.827
20.0,4.0,39.0,Third call,50-59,White,Male,King,Approve,Approve,Neither,No,No,Yes,Same,Dole,Independent,100K or more,Moderate,18 to 64,State,Cd #2,45 to 59,50 to 59,Independent/Other,50 to 64,0.827
20.0,4.0,40.0,Third call,50-59,White,Female,Other,Disapprove,Approve,Neither,No,No,No,Same,Perot,Republican,75 to 100K,Moderate,18 to 64,State,Cd #2,45 to 59,50 to 59,Republican,50 to 64,0.8160000000000001
20.0,4.0,41.0,Third call,40-44,White,Male,Connelly,Approve,Disapprove,Support Clinton,No,No,Yes,Same,Clinton,Independent,75 to 100K,Moderate,18 to 64,State,Cd #2,30 to 44,40 to 49,Independent/Other,40 to 49,1.133
20.0,4.0,42.0,Third call,40-44,White,Male,Longley,Disapprove,,Neither,Yes,No,No,Better,Perot,Republican,100K or more,,18 to 64,State,Cd #2,30 to 44,40 to 49,Republican,40 to 49,1.037
20.0,4.0,43.0,Third call,18-24,White,Male,King,Disapprove,Disapprove,Neither,Yes,Yes,No,Better,Perot,Independent,15 to 30K,Moderate,18 to 64,State,Cd #2,18 to 29,18 to 24,Independent/Other,18 to 24,0.808
20.0,4.0,44.0,Third call,40-44,White,Male,King,Approve,Approve,Neither,No,No,No,Same,Clinton,Democrat,30 to 50K,Conservative,18 to 64,State,Cd #2,30 to 44,40 to 49,Democrat,40 to 49,0.827
20.0,5.0,1.0,First call,65 and over,White,,Connelly,Approve,Disapprove,Support Clinton,No,No,No,Same,Clinton,Democrat,,,65 and over,State,Cd #2,60 and over,60 and over,Democrat,65 and over,0.827
20.0,5.0,2.0,First call,45-49,White,Male,King,Approve,Disapprove,Neither,No,No,Yes,Better,Clinton,Democrat,50 to 75K,Moderate,18 to 64,State,Cd #2,45 to 59,40 to 49,Democrat,40 to 49,0.464
20.0,5.0,3.0,First call,65 and over,White,Male,King,Approve,Disapprove,Neither,No,No,No,Same,Clinton,Democrat,15 to 30K,Conservative,65 and over,State,Cd #2,60 and over,60 and over,Democrat,65 and over,0.604
20.0,5.0,4.0,First call,65 and over,White,Female,Other,Disapprove,Disapprove,Neither,Yes,Yes,,Same,Clinton,,30 to 50K,Moderate,65 and over,State,Cd #2,60 and over,60 and over,,65 and over,0.596
20.0,5.0,5.0,First call,65 and over,White,,Longley,Approve,Approve,Support Clinton,Yes,Yes,No,Better,Clinton,Democrat,Under 15K,Moderate,65 and over,State,Cd #2,60 and over,60 and over,Democrat,65 and over,0.702
20.0,5.0,6.0,First call,25-29,White,Male,King,Approve,Disapprove,Neither,No,Yes,No,Same,Clinton,Independent,15 to 30K,Moderate,18 to 64,State,Cd #2,18 to 29,25 to 29,Independent/Other,25 to 29,0.454
20.0,5.0,7.0,First call,18-24,White,Female,King,Approve,Disapprove,Neither,Yes,No,,Same,Clinton,Independent,15 to 30K,Moderate,18 to 64,State,Cd #2,18 to 29,18 to 24,Independent/Other,18 to 24,0.42000000000000004
20.0,5.0,8.0,First call,65 and over,White,Female,King,Approve,Approve,Support Clinton,No,No,Yes,Better,Clinton,Democrat,Under 15K,,65 and over,State,Cd #2,60 and over,60 and over,Democrat,65 and over,0.5599999999999999
20.0,5.0,9.0,First call,50-59,White,Male,King,Approve,Approve,Support Clinton,No,No,No,Same,Clinton,Democrat,Under 15K,Moderate,18 to 64,State,Cd #2,45 to 59,50 to 59,Democrat,50 to 64,0.464
20.0,5.0,10.0,First call,65 and over,White,Female,Other,,,Neither,No,Yes,,Same,Clinton,Something else,Under 15K,Liberal,65 and over,State,Cd #2,60 and over,60 and over,Independent/Other,65 and over,0.596
20.0,5.0,11.0,Second call,65 and over,White,Male,Other,Approve,Disapprove,Support Clinton,No,No,No,Same,Clinton,Something else,Under 15K,Moderate,65 and over,State,Cd #2,60 and over,60 and over,Independent/Other,65 and over,0.6429999999999999
20.0,5.0,12.0,Second call,25-29,White,Male,Connelly,Approve,Approve,Support Clinton,No,No,No,Same,Clinton,Democrat,Under 15K,Liberal,18 to 64,State,Cd #2,18 to 29,25 to 29,Democrat,25 to 29,0.622
20.0,5.0,13.0,Second call,50-59,White,Female,Longley,Disapprove,Approve,Oppose Clinton,Yes,Yes,No,Same,Perot,Independent,15 to 30K,Liberal,18 to 64,State,Cd #2,45 to 59,50 to 59,Independent/Other,50 to 64,0.54
20.0,5.0,14.0,Second call,50-59,Other,Female,Other,,Disapprove,Neither,No,No,No,Worse,Perot,Independent,Under 15K,Moderate,18 to 64,State,Cd #2,45 to 59,50 to 59,Independent/Other,50 to 64,0.458
20.0,5.0,15.0,Second call,30-39,White,Male,Longley,Approve,Disapprove,Neither,No,No,No,Better,Perot,Democrat,15 to 30K,Moderate,18 to 64,State,Cd #2,30 to 44,30 to 39,Democrat,30 to 39,0.583
20.0,5.0,16.0,Second call,,White,,King,Approve,Disapprove,Support Clinton,No,No,Yes,Better,Did not vote,Democrat,,Moderate,,State,Cd #2,,,Democrat,,0.464
20.0,5.0,17.0,Second call,50-59,White,Female,King,Approve,Disapprove,Support Clinton,No,No,No,Better,Clinton,Democrat,Under 15K,Conservative,18 to 64,State,Cd #2,45 to 59,50 to 59,Democrat,50 to 64,0.43000000000000005
20.0,5.0,18.0,Second call,60-64,White,Male,King,Approve,Disapprove,Support Clinton,No,No,No,Same,Clinton,Independent,15 to 30K,Moderate,18 to 64,State,Cd #2,60 and over,60 and over,Independent/Other,50 to 64,0.604
20.0,5.0,19.0,Second call,30-39,White,Female,King,Approve,Disapprove,Neither,No,No,No,Better,Clinton,Democrat,30 to 50K,Liberal,18 to 64,State,Cd #2,30 to 44,30 to 39,Democrat,30 to 39,0.43000000000000005
20.0,5.0,20.0,Second call,18-24,White,Male,King,Approve,Disapprove,Neither,No,No,Yes,Better,Clinton,Independent,Under 15K,Liberal,18 to 64,State,Cd #2,18 to 29,18 to 24,Independent/Other,18 to 24,0.454
20.0,5.0,21.0,Second call,30-39,White,Male,Other,Approve,Approve,Neither,No,No,No,Better,Clinton,Democrat,30 to 50K,Liberal,18 to 64,State,Cd #2,30 to 44,30 to 39,Democrat,30 to 39,0.495
20.0,5.0,22.0,Second call,65 and over,White,Female,King,Approve,Approve,Support Clinton,No,No,Yes,Same,Clinton,Democrat,Under 15K,,65 and over,State,Cd #2,60 and over,60 and over,Democrat,65 and over,0.5599999999999999
20.0,5.0,23.0,Second call,65 and over,White,Female,King,Approve,Approve,,Yes,,Yes,Same,Clinton,Independent,Under 15K,Conservative,65 and over,State,Cd #2,60 and over,60 and over,Independent/Other,65 and over,0.5599999999999999
20.0,5.0,24.0,Third call,45-49,White,Female,King,Approve,Disapprove,Neither,No,No,Yes,Better,Clinton,Independent,15 to 30K,Moderate,18 to 64,State,Cd #2,45 to 59,40 to 49,Independent/Other,40 to 49,0.43000000000000005
20.0,5.0,25.0,Third call,50-59,White,Male,King,Approve,Disapprove,Support Clinton,No,No,No,Better,Clinton,Democrat,30 to 50K,Moderate,18 to 64,State,Cd #2,45 to 59,50 to 59,Democrat,50 to 64,0.464
20.0,5.0,26.0,Third call,65 and over,White,Female,Longley,Approve,,Support Clinton,No,No,No,Same,,Independent,,,65 and over,State,Cd #2,60 and over,60 and over,Independent/Other,65 and over,0.702
20.0,5.0,27.0,Third call,50-59,White,Male,Longley,Approve,Approve,Support Clinton,No,No,,Worse,Clinton,Republican,15 to 30K,Moderate,18 to 64,State,Cd #2,45 to 59,50 to 59,Republican,50 to 64,0.583
20.0,5.0,28.0,Third call,45-49,White,Female,King,Approve,Disapprove,Neither,No,No,Yes,Better,Clinton,Independent,50 to 75K,Moderate,18 to 64,State,Cd #2,45 to 59,40 to 49,Independent/Other,40 to 49,0.43000000000000005
20.0,5.0,29.0,Third call,65 and over,White,Male,King,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Worse,Perot,Democrat,75 to 100K,Conservative,65 and over,State,Cd #2,60 and over,60 and over,Democrat,65 and over,0.604
20.0,5.0,30.0,Third call,65 and over,White,Female,King,Approve,Disapprove,Neither,No,No,No,Better,Perot,Democrat,Under 15K,Liberal,65 and over,State,Cd #2,60 and over,60 and over,Democrat,65 and over,0.5599999999999999
20.0,5.0,31.0,Third call,40-44,White,Female,King,Approve,Disapprove,Neither,No,No,No,Same,Clinton,Democrat,30 to 50K,Moderate,18 to 64,State,Cd #2,30 to 44,40 to 49,Democrat,40 to 49,0.43000000000000005
20.0,5.0,32.0,Third call,45-49,White,Male,King,Approve,Disapprove,Neither,No,No,No,Worse,Clinton,Something else,15 to 30K,Liberal,18 to 64,State,Cd #2,45 to 59,40 to 49,Independent/Other,40 to 49,0.464
20.0,5.0,33.0,Third call,65 and over,White,Female,King,Approve,Disapprove,Neither,No,No,Yes,Same,Perot,Democrat,15 to 30K,Conservative,65 and over,State,Cd #2,60 and over,60 and over,Democrat,65 and over,0.5599999999999999
20.0,5.0,34.0,Third call,30-39,White,Female,King,Approve,Approve,Support Clinton,No,No,No,Same,Clinton,Democrat,Under 15K,Moderate,18 to 64,State,Cd #2,30 to 44,30 to 39,Democrat,30 to 39,0.43000000000000005
20.0,5.0,35.0,Third call,50-59,White,Female,King,Approve,Disapprove,Neither,No,No,No,Same,Clinton,Democrat,Under 15K,Moderate,18 to 64,State,Cd #2,45 to 59,50 to 59,Democrat,50 to 64,0.43000000000000005
20.0,5.0,36.0,Third call,30-39,White,Male,King,Approve,Disapprove,Support Clinton,No,No,No,Better,Clinton,Democrat,30 to 50K,Liberal,18 to 64,State,Cd #2,30 to 44,30 to 39,Democrat,30 to 39,0.464
20.0,5.0,37.0,Third call,30-39,White,Male,King,Approve,Disapprove,Neither,No,No,No,Same,Clinton,Republican,50 to 75K,Liberal,18 to 64,State,Cd #2,30 to 44,30 to 39,Republican,30 to 39,0.464
20.0,5.0,38.0,Third call,40-44,White,Male,King,Approve,Disapprove,Neither,No,No,Yes,Worse,Clinton,Republican,15 to 30K,Conservative,18 to 64,State,Cd #2,30 to 44,40 to 49,Republican,40 to 49,0.464
20.0,5.0,39.0,Third call,30-39,White,Male,King,Approve,Disapprove,Support Clinton,No,No,No,Same,Clinton,Independent,15 to 30K,Liberal,18 to 64,State,Cd #2,30 to 44,30 to 39,Independent/Other,30 to 39,0.464
20.0,5.0,40.0,Third call,30-39,White,Female,King,Approve,Approve,Support Clinton,No,Yes,No,Worse,Clinton,Democrat,30 to 50K,Liberal,18 to 64,State,Cd #2,30 to 44,30 to 39,Democrat,30 to 39,0.43000000000000005
