V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38
1.0,0.0,G,38.0,1.0,15.0,Second call,1.0,65 and over,White,Female,Lim,Sizemore,Disapprove,Disapprove,Oppose Clinton,No,Yes,Yes,Yes,Same,Perot,Republican,Some college,15 to 30K,Moderate,65 and over,Pro-growth,State,Complete,East/West,60 and over,60 and over,Republican,65 and over,0.552,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,16.0,Second call,1.0,65 and over,White,Male,Lim,Sizemore,Disapprove,Disapprove,Oppose Clinton,No,Yes,Yes,Yes,Same,Perot,Republican,Some college,15 to 30K,Moderate,65 and over,Pro-growth,State,Complete,East/West,60 and over,60 and over,Republican,65 and over,0.5820000000000001,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,17.0,Second call,1.0,40-44,White,Female,Lim,Sizemore,Disapprove,Disapprove,Neither,No,Yes,Yes,No,Same,Perot,Independent,College grad,30 to 50K,Conservative,18 to 64,,State,Complete,East/West,30 to 44,40 to 49,Independent/Other,40 to 49,0.598,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,18.0,Second call,1.0,50-59,White,Male,Wyden,Kitzhaber,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,Same,Dole,Democrat,College grad,Under 15K,Moderate,18 to 64,,State,Complete,East/West,45 to 59,50 to 59,Democrat,50 to 64,0.6829999999999999,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,19.0,Second call,1.0,65 and over,White,Female,Wyden,,Approve,Disapprove,Neither,No,No,No,Yes,Better,Clinton,Republican,HS grad,,Liberal,65 and over,Pro-growth,State,Complete,East/West,60 and over,60 and over,Republican,65 and over,0.579,Favorable,Exit poll
1.0,0.0,G,38.0,1.0,20.0,Second call,1.0,65 and over,White,Male,Wyden,Kitzhaber,,Disapprove,Neither,Yes,No,No,No,Same,Clinton,Democrat,No HS,,Moderate,65 and over,Pro-environment,State,Complete,East/West,60 and over,60 and over,Democrat,65 and over,0.631,Favorable,Exit poll
1.0,0.0,G,38.0,1.0,21.0,Second call,1.0,45-49,White,Female,Wyden,Sizemore,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Yes,Better,Dole,Democrat,HS grad,30 to 50K,Moderate,18 to 64,Pro-growth,State,Complete,East/West,45 to 59,40 to 49,Democrat,40 to 49,0.646,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,22.0,Second call,1.0,60-64,White,Male,Lim,Kitzhaber,Disapprove,,Oppose Clinton,No,No,Yes,,Same,Dole,Independent,HS grad,15 to 30K,Moderate,18 to 64,Pro-growth,State,Complete,East/West,60 and over,60 and over,Independent/Other,50 to 64,0.5840000000000001,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,23.0,Second call,1.0,60-64,White,Female,Wyden,Kitzhaber,Approve,Approve,Neither,No,No,No,No,Same,Clinton,Democrat,HS grad,15 to 30K,Moderate,18 to 64,Pro-growth,State,Complete,East/West,60 and over,60 and over,Democrat,50 to 64,0.599,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,24.0,Second call,1.0,40-44,White,Male,Lim,Sizemore,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Yes,Worse,Dole,Republican,Some college,30 to 50K,Conservative,18 to 64,Pro-growth,State,Complete,East/West,30 to 44,40 to 49,Republican,40 to 49,0.628,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,25.0,Second call,1.0,40-44,White,Male,Lim,Sizemore,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Yes,Same,Dole,Republican,College grad,50 to 75K,Moderate,18 to 64,Pro-growth,State,Complete,East/West,30 to 44,40 to 49,Republican,40 to 49,0.628,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,26.0,Second call,1.0,50-59,White,Male,Lim,Sizemore,Disapprove,Disapprove,Neither,No,,Yes,,Worse,Dole,Republican,HS grad,15 to 30K,Conservative,18 to 64,Pro-growth,State,Complete,East/West,45 to 59,50 to 59,Republican,50 to 64,0.628,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,27.0,Second call,1.0,30-39,White,Male,Wyden,Kitzhaber,Disapprove,Approve,Neither,No,No,No,Yes,Better,Dole,Republican,College grad,50 to 75K,Conservative,18 to 64,Pro-environment,State,Complete,East/West,30 to 44,30 to 39,Republican,30 to 39,0.6829999999999999,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,28.0,Second call,1.0,65 and over,White,Female,Lim,Sizemore,Disapprove,Approve,Neither,Yes,Yes,Yes,Yes,Same,Dole,Republican,Some college,15 to 30K,Conservative,65 and over,Pro-growth,State,Complete,East/West,60 and over,60 and over,Republican,65 and over,0.552,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,29.0,Second call,1.0,65 and over,White,Female,Lim,Sizemore,Disapprove,Disapprove,Neither,No,No,,Yes,Same,Dole,Republican,Some college,15 to 30K,Moderate,65 and over,Pro-growth,State,Complete,East/West,60 and over,60 and over,Republican,65 and over,0.552,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,30.0,Second call,1.0,65 and over,White,Male,Wyden,Kitzhaber,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Democrat,HS grad,30 to 50K,Moderate,65 and over,Pro-environment,State,Complete,East/West,60 and over,60 and over,Democrat,65 and over,0.631,Favorable,Exit poll
1.0,0.0,G,38.0,1.0,31.0,Second call,1.0,65 and over,White,Male,Lim,Sizemore,Disapprove,Approve,Neither,Yes,Yes,Yes,,Same,Dole,Republican,,100K or more,Conservative,65 and over,Pro-environment,State,Complete,East/West,60 and over,60 and over,Republican,65 and over,0.5820000000000001,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,32.0,Second call,1.0,40-44,White,Male,Wyden,Kitzhaber,Approve,Disapprove,Neither,No,No,No,Yes,Same,Clinton,Independent,College grad,15 to 30K,Moderate,18 to 64,Pro-growth,State,Complete,East/West,30 to 44,40 to 49,Independent/Other,40 to 49,0.6829999999999999,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,33.0,Second call,1.0,40-44,White,Female,Wyden,Kitzhaber,Approve,Disapprove,Neither,No,No,No,,Better,Clinton,Something else,Some college,15 to 30K,Liberal,18 to 64,Pro-growth,State,Complete,East/West,30 to 44,40 to 49,Independent/Other,40 to 49,0.65,,Exit poll
1.0,0.0,G,38.0,1.0,34.0,Second call,1.0,50-59,White,Male,Wyden,Kitzhaber,Disapprove,Disapprove,Neither,No,Yes,Yes,No,Same,Did not vote,Independent,Some college,30 to 50K,Conservative,18 to 64,Pro-growth,State,Complete,East/West,45 to 59,50 to 59,Independent/Other,50 to 64,0.6829999999999999,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,35.0,Second call,1.0,40-44,White,Male,Lim,Kitzhaber,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Yes,Worse,Dole,Independent,Some college,30 to 50K,Conservative,18 to 64,Pro-growth,State,Complete,East/West,30 to 44,40 to 49,Independent/Other,40 to 49,0.632,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,36.0,Second call,1.0,40-44,White,Female,Lim,Sizemore,Disapprove,Approve,Neither,No,Yes,Yes,Yes,Better,Dole,Republican,Some college,15 to 30K,Moderate,18 to 64,Pro-growth,State,Complete,East/West,30 to 44,40 to 49,Republican,40 to 49,0.598,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,37.0,Second call,1.0,50-59,White,Male,Wyden,Kitzhaber,Disapprove,Disapprove,Neither,No,No,Yes,Yes,Same,Clinton,Republican,College grad,75 to 100K,Moderate,18 to 64,Pro-growth,State,Complete,East/West,45 to 59,50 to 59,Republican,50 to 64,0.6829999999999999,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,38.0,Second call,1.0,60-64,White,Female,Wyden,Kitzhaber,Disapprove,Approve,Neither,No,Yes,Yes,Yes,Same,Dole,Republican,Some college,100K or more,Moderate,18 to 64,Pro-environment,State,Complete,East/West,60 and over,60 and over,Republican,50 to 64,0.599,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,39.0,Second call,1.0,60-64,White,Female,Wyden,Kitzhaber,Disapprove,,Neither,No,Yes,Yes,Yes,Same,Dole,Republican,College grad,30 to 50K,Moderate,18 to 64,,State,Complete,East/West,60 and over,60 and over,Republican,50 to 64,0.599,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,40.0,Second call,1.0,50-59,White,Male,Lim,Sizemore,Disapprove,Disapprove,Oppose Clinton,No,Yes,Yes,,Worse,Dole,Republican,College grad,30 to 50K,Conservative,18 to 64,,State,Complete,East/West,45 to 59,50 to 59,Republican,50 to 64,0.628,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,41.0,Second call,1.0,60-64,White,Male,Lim,Sizemore,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,No,Worse,Clinton,Independent,HS grad,Under 15K,Moderate,18 to 64,Pro-growth,State,Complete,East/West,60 and over,60 and over,Independent/Other,50 to 64,0.5820000000000001,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,42.0,Second call,1.0,50-59,White,Male,Lim,Sizemore,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,No,Worse,Dole,Republican,Some college,30 to 50K,Conservative,18 to 64,Pro-growth,State,Complete,East/West,45 to 59,50 to 59,Republican,50 to 64,0.628,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,43.0,Third call,1.0,50-59,White,Female,Wyden,Sizemore,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,Same,Dole,Republican,College grad,30 to 50K,Moderate,18 to 64,Pro-growth,State,Complete,East/West,45 to 59,50 to 59,Republican,50 to 64,0.646,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,44.0,Third call,1.0,40-44,White,Female,Wyden,Kitzhaber,Disapprove,Approve,Neither,No,Yes,Yes,Yes,Better,Perot,Democrat,College grad,100K or more,Liberal,18 to 64,Pro-environment,State,Complete,East/West,30 to 44,40 to 49,Democrat,40 to 49,0.65,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,45.0,Third call,1.0,60-64,,Male,Lim,Sizemore,Disapprove,,Neither,No,Yes,Yes,Yes,Same,Dole,Republican,HS grad,30 to 50K,Moderate,18 to 64,,State,Complete,East/West,60 and over,60 and over,Republican,50 to 64,0.5820000000000001,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,46.0,Third call,1.0,45-49,White,Female,Lim,Kitzhaber,Disapprove,Approve,Neither,,,,,Better,Dole,Republican,Postgrad,30 to 50K,Conservative,18 to 64,Pro-environment,State,Complete,East/West,45 to 59,40 to 49,Republican,40 to 49,0.6,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,47.0,Third call,1.0,30-39,White,Female,Lim,Sizemore,Disapprove,Disapprove,Neither,Yes,Yes,Yes,No,Same,Other,Independent,College grad,50 to 75K,Conservative,18 to 64,,State,Complete,East/West,30 to 44,30 to 39,Independent/Other,30 to 39,0.598,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,48.0,Third call,1.0,50-59,Hispanic,,Wyden,Kitzhaber,Approve,Approve,Neither,No,No,No,Yes,Same,Clinton,Independent,Some college,75 to 100K,Moderate,18 to 64,,State,Complete,East/West,45 to 59,50 to 59,Independent/Other,50 to 64,0.448,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,49.0,Third call,1.0,50-59,White,Male,Wyden,Kitzhaber,Approve,Disapprove,Neither,No,No,No,Yes,Better,Dole,Democrat,College grad,50 to 75K,Moderate,18 to 64,Pro-growth,State,Complete,East/West,45 to 59,50 to 59,Democrat,50 to 64,0.6829999999999999,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,50.0,Third call,1.0,50-59,White,Male,Lim,Sizemore,Disapprove,Disapprove,Oppose Clinton,No,Yes,Yes,No,Same,Perot,Independent,HS grad,30 to 50K,Conservative,18 to 64,Pro-growth,State,Complete,East/West,45 to 59,50 to 59,Independent/Other,50 to 64,0.628,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,51.0,Third call,1.0,50-59,White,Female,Wyden,Sizemore,Disapprove,Disapprove,Oppose Clinton,No,Yes,Yes,Yes,Better,Dole,Republican,HS grad,50 to 75K,Moderate,18 to 64,Pro-growth,State,Complete,East/West,45 to 59,50 to 59,Republican,50 to 64,0.646,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,52.0,Third call,1.0,18-24,White,Male,Lim,Sizemore,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,Same,Did not vote,Republican,Some college,50 to 75K,Moderate,18 to 64,Pro-environment,State,Complete,East/West,18 to 29,18 to 24,Republican,18 to 24,0.925,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,53.0,Third call,1.0,18-24,White,Female,Lim,Sizemore,Disapprove,Disapprove,Oppose Clinton,No,Yes,Yes,,Same,Did not vote,Something else,,30 to 50K,Conservative,18 to 64,Pro-environment,State,Complete,East/West,18 to 29,18 to 24,Independent/Other,18 to 24,0.878,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,54.0,Third call,1.0,45-49,White,Female,Wyden,Sizemore,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Yes,Same,Perot,Democrat,Some college,30 to 50K,Conservative,18 to 64,Pro-growth,State,Complete,East/West,45 to 59,40 to 49,Democrat,40 to 49,0.646,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,55.0,Third call,1.0,50-59,White,Male,Wyden,Kitzhaber,Disapprove,Approve,Neither,Yes,Yes,Yes,Yes,Better,Dole,Republican,Some college,30 to 50K,Conservative,18 to 64,,State,Complete,East/West,45 to 59,50 to 59,Republican,50 to 64,0.6829999999999999,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,56.0,Third call,1.0,50-59,White,Female,Wyden,Kitzhaber,Disapprove,Approve,Neither,Yes,Yes,Yes,Yes,Better,Dole,Republican,,30 to 50K,Conservative,18 to 64,Pro-growth,State,Complete,East/West,45 to 59,50 to 59,Republican,50 to 64,0.65,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,57.0,Third call,1.0,50-59,White,Male,Wyden,Sizemore,Approve,Disapprove,Neither,No,No,No,Yes,Better,Clinton,Something else,Postgrad,75 to 100K,Moderate,18 to 64,Pro-environment,State,Complete,East/West,45 to 59,50 to 59,Independent/Other,50 to 64,0.6799999999999999,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,58.0,Third call,1.0,30-39,White,Female,Wyden,Sizemore,Disapprove,Disapprove,Neither,Yes,,Yes,,Same,Perot,Independent,,15 to 30K,Moderate,18 to 64,,State,Complete,East/West,30 to 44,30 to 39,Independent/Other,30 to 39,0.646,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,59.0,Third call,1.0,30-39,White,Female,Wyden,Kitzhaber,Approve,Disapprove,Neither,No,,Yes,,Same,Clinton,Democrat,College grad,,Moderate,18 to 64,,State,Complete,East/West,30 to 44,30 to 39,Democrat,30 to 39,0.65,,Exit poll
1.0,0.0,G,38.0,1.0,60.0,Third call,1.0,30-39,White,Female,,Sizemore,Disapprove,,Oppose Clinton,No,Yes,Yes,No,Same,Dole,Republican,College grad,75 to 100K,Conservative,18 to 64,,State,Complete,East/West,30 to 44,30 to 39,Republican,30 to 39,0.697,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,61.0,Third call,1.0,45-49,White,Male,Lim,Sizemore,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,Worse,Dole,Republican,Some college,50 to 75K,Conservative,18 to 64,Pro-growth,State,Complete,East/West,45 to 59,40 to 49,Republican,40 to 49,0.628,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,62.0,Third call,1.0,50-59,White,Female,Lim,Sizemore,Disapprove,Disapprove,Neither,No,Yes,Yes,,Worse,Dole,Independent,Some college,15 to 30K,Conservative,18 to 64,Pro-growth,State,Complete,East/West,45 to 59,50 to 59,Independent/Other,50 to 64,0.598,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,63.0,Third call,1.0,50-59,White,Male,Lim,Sizemore,Disapprove,Approve,,No,,,,,,,,,,18 to 64,Pro-growth,State,Not complete,East/West,45 to 59,50 to 59,,50 to 64,0.628,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,64.0,Third call,1.0,45-49,White,Female,Lim,Sizemore,Disapprove,Disapprove,Neither,No,No,No,Yes,Worse,Dole,Republican,HS grad,50 to 75K,Conservative,18 to 64,,State,Complete,East/West,45 to 59,40 to 49,Republican,40 to 49,0.598,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,65.0,Third call,1.0,25-29,White,Male,Lim,Sizemore,Disapprove,Disapprove,,No,Yes,Yes,Yes,Same,Dole,Republican,HS grad,15 to 30K,Conservative,18 to 64,Pro-growth,State,Complete,East/West,18 to 29,25 to 29,Republican,25 to 29,0.925,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,66.0,Third call,1.0,50-59,White,Male,Lim,Sizemore,Disapprove,Disapprove,,No,,,,,,,,,,18 to 64,Pro-environment,State,Not complete,East/West,45 to 59,50 to 59,,50 to 64,0.628,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,67.0,Third call,1.0,40-44,White,Female,Wyden,Kitzhaber,Disapprove,Disapprove,Neither,No,No,No,Yes,Same,Clinton,Democrat,HS grad,15 to 30K,Moderate,18 to 64,Pro-environment,State,Complete,East/West,30 to 44,40 to 49,Democrat,40 to 49,0.65,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,68.0,Third call,1.0,30-39,White,Female,Lim,Sizemore,Disapprove,Approve,Neither,No,Yes,Yes,Yes,Same,Dole,Republican,No HS,50 to 75K,Conservative,18 to 64,Pro-growth,State,Complete,East/West,30 to 44,30 to 39,Republican,30 to 39,0.598,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,69.0,Third call,1.0,50-59,White,Female,Lim,Sizemore,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Yes,Better,Dole,Republican,Some college,100K or more,Conservative,18 to 64,Pro-growth,State,Complete,East/West,45 to 59,50 to 59,Republican,50 to 64,0.598,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,70.0,Third call,1.0,40-44,White,Female,Wyden,Kitzhaber,Disapprove,Approve,Neither,Yes,No,No,No,Worse,Clinton,Democrat,,30 to 50K,Conservative,18 to 64,Pro-environment,State,Complete,East/West,30 to 44,40 to 49,Democrat,40 to 49,0.65,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,71.0,Third call,1.0,50-59,White,Female,Wyden,Kitzhaber,Approve,Disapprove,Neither,No,No,No,Yes,Better,Clinton,Democrat,Postgrad,30 to 50K,Liberal,18 to 64,Pro-environment,State,Complete,East/West,45 to 59,50 to 59,Democrat,50 to 64,0.65,Favorable,Exit poll
1.0,0.0,G,38.0,1.0,72.0,Third call,1.0,40-44,White,Male,Lim,Kitzhaber,Approve,Disapprove,Neither,No,No,No,Yes,Same,Dole,Republican,College grad,30 to 50K,Moderate,18 to 64,Pro-growth,State,Complete,East/West,30 to 44,40 to 49,Republican,40 to 49,0.632,Unfavorable,Exit poll
1.0,0.0,G,38.0,1.0,73.0,Third call,1.0,50-59,White,Female,Lim,Sizemore,Disapprove,Approve,,Yes,Yes,Yes,No,Same,Dole,Republican,HS grad,30 to 50K,Conservative,18 to 64,Pro-growth,State,Complete,East/West,45 to 59,50 to 59,Republican,50 to 64,0.598,Unfavorable,Exit poll
1.0,0.0,G,38.0,2.0,1.0,First call,1.0,50-59,White,Male,Wyden,Kitzhaber,Approve,Disapprove,Neither,No,No,No,Yes,Better,Clinton,Democrat,Postgrad,100K or more,Moderate,18 to 64,Pro-environment,State,Complete,NW Pacific Coast,45 to 59,50 to 59,Democrat,50 to 64,0.443,Unfavorable,Exit poll
1.0,0.0,G,38.0,2.0,2.0,First call,1.0,65 and over,White,Male,Wyden,Kitzhaber,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,Postgrad,75 to 100K,Liberal,65 and over,Pro-environment,State,Complete,NW Pacific Coast,60 and over,60 and over,Democrat,65 and over,0.44,Favorable,Exit poll
1.0,0.0,G,38.0,2.0,3.0,First call,1.0,40-44,White,Female,Lim,Sizemore,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,No,Same,Dole,Independent,Postgrad,75 to 100K,Conservative,18 to 64,Pro-growth,State,Complete,NW Pacific Coast,30 to 44,40 to 49,Independent/Other,40 to 49,0.42900000000000005,Unfavorable,Exit poll
1.0,0.0,G,38.0,2.0,4.0,First call,1.0,50-59,White,Female,Wyden,Kitzhaber,Approve,Disapprove,Neither,No,No,No,Yes,Same,Clinton,Democrat,Postgrad,50 to 75K,Moderate,18 to 64,Pro-environment,State,Complete,NW Pacific Coast,45 to 59,50 to 59,Democrat,50 to 64,0.40499999999999997,Favorable,Exit poll
1.0,0.0,G,38.0,2.0,5.0,First call,1.0,18-24,White,Female,Wyden,Kitzhaber,Approve,Approve,Neither,No,No,No,Yes,Same,Clinton,Democrat,Postgrad,75 to 100K,Liberal,18 to 64,Pro-environment,State,Complete,NW Pacific Coast,18 to 29,18 to 24,Democrat,18 to 24,0.361,Favorable,Exit poll
1.0,0.0,G,38.0,2.0,6.0,First call,1.0,40-44,White,Male,Wyden,Kitzhaber,Approve,Approve,Neither,No,No,Yes,Yes,Better,Dole,Republican,College grad,75 to 100K,Moderate,18 to 64,Pro-environment,State,Complete,NW Pacific Coast,30 to 44,40 to 49,Republican,40 to 49,0.443,Unfavorable,Exit poll
1.0,0.0,G,38.0,2.0,7.0,First call,1.0,45-49,White,Male,Wyden,Kitzhaber,Approve,Disapprove,,No,,,,,,,,,,18 to 64,Pro-environment,State,Not complete,NW Pacific Coast,45 to 59,40 to 49,,40 to 49,0.443,Unfavorable,Exit poll
1.0,0.0,G,38.0,2.0,8.0,First call,1.0,60-64,White,Male,Wyden,Kitzhaber,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,Postgrad,100K or more,Liberal,18 to 64,Pro-growth,State,Complete,NW Pacific Coast,60 and over,60 and over,Democrat,50 to 64,0.44,Favorable,Exit poll
1.0,0.0,G,38.0,2.0,9.0,First call,1.0,50-59,White,Male,Wyden,Kitzhaber,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,Postgrad,75 to 100K,Moderate,18 to 64,Pro-environment,State,Complete,NW Pacific Coast,45 to 59,50 to 59,Democrat,50 to 64,0.443,Unfavorable,Exit poll
