V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32
1.0,0.0,G,13.0,12.0,62.0,Third call,1.0,60-64,White,,Crapo,Kempthorne,Disapprove,Disapprove,Neither,No,Yes,Yes,Worse,Dole,Republican,15 to 30K,Conservative,18 to 64,State,Ada County,60 and over,60 and over,Republican,50 to 64,1.708
1.0,0.0,G,13.0,12.0,63.0,Third call,1.0,50-59,White,Female,Mauk,Huntley,Approve,Disapprove,Neither,No,No,Yes,Better,Clinton,Democrat,75 to 100K,Moderate,18 to 64,State,Ada County,45 to 59,50 to 59,Democrat,50 to 64,1.1219999999999999
1.0,0.0,G,13.0,12.0,64.0,Third call,1.0,25-29,White,Female,Crapo,Kempthorne,Disapprove,,Neither,Yes,Yes,,Better,Did not vote,Republican,50 to 75K,Conservative,18 to 64,State,Ada County,18 to 29,25 to 29,Republican,25 to 29,1.5699999999999998
1.0,0.0,G,13.0,12.0,65.0,Third call,1.0,45-49,White,Female,Crapo,Kempthorne,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Same,Clinton,Democrat,50 to 75K,Moderate,18 to 64,State,Ada County,45 to 59,40 to 49,Democrat,40 to 49,1.412
1.0,0.0,G,13.0,12.0,66.0,Third call,1.0,45-49,White,Female,Crapo,Kempthorne,Disapprove,Disapprove,Neither,Yes,Yes,No,Better,Dole,Republican,50 to 75K,Moderate,18 to 64,State,Ada County,45 to 59,40 to 49,Republican,40 to 49,1.412
1.0,0.0,G,13.0,12.0,67.0,Third call,1.0,50-59,White,Male,Crapo,Huntley,Approve,Approve,Neither,No,No,Yes,Better,Clinton,Democrat,75 to 100K,Conservative,18 to 64,State,Ada County,45 to 59,50 to 59,Democrat,50 to 64,1.293
1.0,0.0,G,13.0,12.0,68.0,Third call,1.0,50-59,White,Male,Crapo,Huntley,Disapprove,Approve,Oppose Clinton,Yes,Yes,No,Same,Dole,Republican,50 to 75K,Conservative,18 to 64,State,Ada County,45 to 59,50 to 59,Republican,50 to 64,1.293
1.0,0.0,G,13.0,12.0,69.0,Third call,1.0,30-39,White,Male,Mauk,Huntley,Disapprove,Approve,Neither,Yes,Yes,Yes,Same,Perot,Republican,30 to 50K,Moderate,18 to 64,State,Ada County,30 to 44,30 to 39,Republican,30 to 39,1.176
1.0,0.0,G,13.0,15.0,1.0,First call,1.0,45-49,White,Male,Crapo,Kempthorne,Disapprove,Approve,Neither,Yes,,No,Worse,Dole,Independent,50 to 75K,Conservative,18 to 64,State,Ada County,45 to 59,40 to 49,Independent/Other,40 to 49,1.6189999999999998
1.0,0.0,G,13.0,15.0,2.0,First call,1.0,50-59,White,,Crapo,Kempthorne,Disapprove,Approve,Neither,Yes,Yes,Yes,Worse,Dole,Independent,50 to 75K,Conservative,18 to 64,State,Ada County,45 to 59,50 to 59,Independent/Other,50 to 64,1.6189999999999998
1.0,0.0,G,13.0,15.0,3.0,First call,1.0,50-59,White,Female,Crapo,Kempthorne,Disapprove,Approve,Neither,Yes,Yes,Yes,Better,Dole,Independent,,Moderate,18 to 64,State,Ada County,45 to 59,50 to 59,Independent/Other,50 to 64,1.55
1.0,0.0,G,13.0,15.0,4.0,First call,1.0,50-59,White,Female,Crapo,Kempthorne,Disapprove,Approve,Neither,Yes,Yes,No,Same,Dole,Republican,100K or more,Conservative,18 to 64,State,Ada County,45 to 59,50 to 59,Republican,50 to 64,1.55
1.0,0.0,G,13.0,15.0,5.0,First call,1.0,45-49,White,Male,Mauk,Huntley,Disapprove,Disapprove,Neither,Yes,Yes,No,Worse,Perot,Democrat,Under 15K,Liberal,18 to 64,State,Ada County,45 to 59,40 to 49,Democrat,40 to 49,1.288
1.0,0.0,G,13.0,15.0,6.0,First call,1.0,45-49,White,Female,Mauk,Huntley,Approve,Disapprove,Neither,No,No,,Better,Clinton,Democrat,50 to 75K,Liberal,18 to 64,State,Ada County,45 to 59,40 to 49,Democrat,40 to 49,1.232
1.0,0.0,G,13.0,15.0,7.0,First call,1.0,30-39,White,Male,Crapo,Huntley,Approve,Disapprove,Neither,Yes,Yes,Yes,Better,Clinton,Democrat,100K or more,Moderate,18 to 64,State,Ada County,30 to 44,30 to 39,Democrat,30 to 39,1.419
1.0,0.0,G,13.0,15.0,8.0,First call,1.0,45-49,White,Male,Mauk,Huntley,Approve,Disapprove,Neither,No,No,Yes,Better,Clinton,Democrat,50 to 75K,Liberal,18 to 64,State,Ada County,45 to 59,40 to 49,Democrat,40 to 49,1.288
1.0,0.0,G,13.0,15.0,9.0,First call,1.0,50-59,White,Female,Mauk,Huntley,Approve,Disapprove,Neither,No,No,No,Better,Clinton,Democrat,100K or more,Moderate,18 to 64,State,Ada County,45 to 59,50 to 59,Democrat,50 to 64,1.232
1.0,0.0,G,13.0,15.0,10.0,First call,1.0,40-44,Black,Male,Mauk,Kempthorne,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Same,Other,Something else,75 to 100K,Conservative,18 to 64,State,Ada County,30 to 44,40 to 49,Independent/Other,40 to 49,1.407
1.0,0.0,G,13.0,15.0,11.0,First call,1.0,65 and over,White,Male,Crapo,Kempthorne,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Same,Dole,Republican,30 to 50K,Moderate,65 and over,State,Ada County,60 and over,60 and over,Republican,65 and over,1.96
1.0,0.0,G,13.0,15.0,12.0,First call,1.0,45-49,White,Male,Mauk,Huntley,Disapprove,Approve,Neither,No,No,Yes,Better,Dole,Independent,100K or more,Liberal,18 to 64,State,Ada County,45 to 59,40 to 49,Independent/Other,40 to 49,1.288
1.0,0.0,G,13.0,15.0,13.0,Second call,1.0,40-44,White,Female,Crapo,Kempthorne,Approve,Approve,Neither,No,No,Yes,Worse,Clinton,Independent,75 to 100K,Moderate,18 to 64,State,Ada County,30 to 44,40 to 49,Independent/Other,40 to 49,1.55
1.0,0.0,G,13.0,15.0,14.0,Second call,1.0,50-59,White,Male,Crapo,Kempthorne,Disapprove,Approve,Neither,No,Yes,No,Same,Dole,Republican,100K or more,Moderate,18 to 64,State,Ada County,45 to 59,50 to 59,Republican,50 to 64,1.6189999999999998
1.0,0.0,G,13.0,15.0,15.0,Second call,1.0,50-59,White,Male,Crapo,Kempthorne,Disapprove,Approve,Neither,No,Yes,Yes,Same,Dole,Republican,100K or more,Conservative,18 to 64,State,Ada County,45 to 59,50 to 59,Republican,50 to 64,1.6189999999999998
1.0,0.0,G,13.0,15.0,16.0,Second call,1.0,45-49,White,Female,Mauk,Huntley,Approve,Disapprove,Neither,No,No,Yes,Better,Clinton,Independent,75 to 100K,Moderate,18 to 64,State,Ada County,45 to 59,40 to 49,Independent/Other,40 to 49,1.232
1.0,0.0,G,13.0,15.0,17.0,Second call,1.0,30-39,Other,Female,Mauk,Other,Approve,Approve,Neither,No,Yes,No,Better,Clinton,Democrat,50 to 75K,Moderate,18 to 64,State,Ada County,30 to 44,30 to 39,Democrat,30 to 39,1.984
1.0,0.0,G,13.0,15.0,18.0,Second call,1.0,60-64,White,Female,Crapo,Kempthorne,Approve,Approve,Neither,No,No,No,Same,Clinton,Republican,50 to 75K,Conservative,18 to 64,State,Ada County,60 and over,60 and over,Republican,50 to 64,1.876
1.0,0.0,G,13.0,15.0,19.0,Second call,1.0,50-59,White,Male,Mauk,Huntley,Disapprove,Disapprove,Neither,No,Yes,Yes,Better,Other,Something else,75 to 100K,Liberal,18 to 64,State,Ada County,45 to 59,50 to 59,Independent/Other,50 to 64,1.288
1.0,0.0,G,13.0,15.0,20.0,Second call,1.0,45-49,White,Male,Crapo,Kempthorne,Disapprove,Disapprove,Neither,No,Yes,Yes,Same,Dole,Republican,75 to 100K,Moderate,18 to 64,State,Ada County,45 to 59,40 to 49,Republican,40 to 49,1.6189999999999998
1.0,0.0,G,13.0,15.0,21.0,Second call,1.0,45-49,White,Female,Mauk,Huntley,Approve,Disapprove,Support Clinton,No,No,Yes,Better,Dole,Independent,100K or more,Conservative,18 to 64,State,Ada County,45 to 59,40 to 49,Independent/Other,40 to 49,1.232
1.0,0.0,G,13.0,15.0,22.0,Second call,1.0,60-64,White,Male,Crapo,Kempthorne,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Better,Dole,Republican,100K or more,Conservative,18 to 64,State,Ada County,60 and over,60 and over,Republican,50 to 64,1.96
1.0,0.0,G,13.0,15.0,23.0,Second call,1.0,40-44,White,Male,Mauk,Huntley,Approve,Disapprove,Support Clinton,No,No,No,Better,Clinton,Democrat,75 to 100K,Moderate,18 to 64,State,Ada County,30 to 44,40 to 49,Democrat,40 to 49,1.288
1.0,0.0,G,13.0,15.0,24.0,Second call,1.0,45-49,White,Male,Mauk,Huntley,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Better,Perot,Independent,50 to 75K,Conservative,18 to 64,State,Ada County,45 to 59,40 to 49,Independent/Other,40 to 49,1.288
1.0,0.0,G,13.0,15.0,25.0,Second call,1.0,45-49,White,Female,Mauk,Huntley,Approve,Disapprove,Neither,No,No,No,Same,Clinton,Democrat,75 to 100K,Moderate,18 to 64,State,Ada County,45 to 59,40 to 49,Democrat,40 to 49,1.232
1.0,0.0,G,13.0,15.0,26.0,Second call,1.0,50-59,White,Female,Mauk,Huntley,Approve,Disapprove,Neither,No,No,Yes,Same,Clinton,Democrat,100K or more,Moderate,18 to 64,State,Ada County,45 to 59,50 to 59,Democrat,50 to 64,1.232
1.0,0.0,G,13.0,15.0,27.0,Second call,1.0,40-44,White,Male,Crapo,Kempthorne,Disapprove,Approve,Neither,Yes,Yes,No,Better,Dole,Republican,100K or more,Moderate,18 to 64,State,Ada County,30 to 44,40 to 49,Republican,40 to 49,1.6189999999999998
1.0,0.0,G,13.0,15.0,28.0,Second call,1.0,50-59,White,Female,Crapo,Kempthorne,Disapprove,Disapprove,Neither,Yes,Yes,No,Better,Dole,Republican,100K or more,Conservative,18 to 64,State,Ada County,45 to 59,50 to 59,Republican,50 to 64,1.55
1.0,0.0,G,13.0,15.0,29.0,Second call,1.0,60-64,White,Male,Crapo,Kempthorne,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,Same,Dole,Republican,75 to 100K,Conservative,18 to 64,State,Ada County,60 and over,60 and over,Republican,50 to 64,1.96
1.0,0.0,G,13.0,15.0,30.0,Third call,1.0,18-24,White,Female,Crapo,Huntley,,Approve,Neither,No,,,Worse,Dole,Independent,Under 15K,Moderate,18 to 64,State,Ada County,18 to 29,18 to 24,Independent/Other,18 to 24,1.5070000000000001
1.0,0.0,G,13.0,15.0,31.0,Third call,1.0,40-44,White,Female,Mauk,Kempthorne,Approve,Disapprove,Neither,No,No,Yes,Better,Clinton,Independent,100K or more,Moderate,18 to 64,State,Ada County,30 to 44,40 to 49,Independent/Other,40 to 49,1.407
1.0,0.0,G,13.0,15.0,32.0,Third call,1.0,50-59,White,Male,Mauk,Huntley,Disapprove,Disapprove,Neither,Yes,No,No,Same,Clinton,Democrat,100K or more,Moderate,18 to 64,State,Ada County,45 to 59,50 to 59,Democrat,50 to 64,1.288
