State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Senator Vote,Clinton Approval,Congress Approval,Reason for Cong Vote,Religious Right,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,1996 vote,Party ID,Income,Ideology,Age (65 and over),State or national poll,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight (3 implied dec places)
19.0,9.0,24.0,Second call,30-39,White,Male,Breaux,Disapprove,,,,,,,Worse,,Democrat,Under 15K,Conservative,18 to 64,National,Protestant North,30 to 44,30 to 39,Democrat,30 to 39,0.27399999999999997
19.0,9.0,25.0,Second call,30-39,Black,Female,Breaux,Approve,,,,,,,Better,,Democrat,30 to 50K,Conservative,18 to 64,National,Protestant North,30 to 44,30 to 39,Democrat,30 to 39,0.41800000000000004
19.0,9.0,26.0,Second call,65 and over,White,Female,Breaux,Approve,,,,,,,Better,,Democrat,Under 15K,Moderate,65 and over,National,Protestant North,60 and over,60 and over,Democrat,65 and over,0.321
19.0,9.0,27.0,Second call,50-59,White,Male,Donelon,Disapprove,,,,,,,Same,,Republican,30 to 50K,Conservative,18 to 64,National,Protestant North,45 to 59,50 to 59,Republican,50 to 64,0.279
19.0,9.0,28.0,Second call,65 and over,White,Female,Breaux,Disapprove,,,,,,,Better,,Republican,50 to 75K,Conservative,65 and over,National,Protestant North,60 and over,60 and over,Republican,65 and over,0.321
19.0,9.0,29.0,Second call,30-39,White,Male,Donelon,Disapprove,,,,,,,Same,,Republican,50 to 75K,Conservative,18 to 64,National,Protestant North,30 to 44,30 to 39,Republican,30 to 39,0.279
19.0,9.0,30.0,Second call,25-29,White,Female,Breaux,Approve,,,,,,,Better,,Democrat,30 to 50K,Moderate,18 to 64,National,Protestant North,18 to 29,25 to 29,Democrat,25 to 29,0.38399999999999995
19.0,9.0,31.0,Third call,65 and over,White,Female,Breaux,Approve,Approve,Neither,No,No,Yes,Yes,Same,Dole,Republican,50 to 75K,Conservative,65 and over,National,Protestant North,60 and over,60 and over,Republican,65 and over,0.321
19.0,9.0,32.0,Third call,65 and over,White,Female,Breaux,Approve,Disapprove,Support Clinton,No,No,No,Yes,Same,Perot,Independent,,Moderate,65 and over,National,Protestant North,60 and over,60 and over,Independent/Other,65 and over,0.321
19.0,9.0,33.0,Third call,18-24,Black,Female,Breaux,Disapprove,Approve,Neither,No,No,No,No,Better,Clinton,Democrat,15 to 30K,Conservative,18 to 64,National,Protestant North,18 to 29,18 to 24,Democrat,18 to 24,0.5389999999999999
19.0,9.0,34.0,Third call,30-39,White,Female,Breaux,Approve,Disapprove,Neither,No,No,Yes,No,Same,Clinton,Independent,30 to 50K,Moderate,18 to 64,National,Protestant North,30 to 44,30 to 39,Independent/Other,30 to 39,0.298
19.0,9.0,35.0,Third call,30-39,White,Male,Breaux,Approve,Disapprove,,No,No,No,No,Better,Clinton,Democrat,50 to 75K,Liberal,18 to 64,National,Protestant North,30 to 44,30 to 39,Democrat,30 to 39,0.27399999999999997
19.0,9.0,36.0,Third call,65 and over,White,Male,Donelon,Disapprove,Approve,Oppose Clinton,No,,,,Better,Dole,Republican,30 to 50K,Conservative,65 and over,National,Protestant North,60 and over,60 and over,Republican,65 and over,0.301
19.0,9.0,37.0,Third call,50-59,White,Female,Breaux,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,50 to 75K,Moderate,18 to 64,National,Protestant North,45 to 59,50 to 59,Democrat,50 to 64,0.298
19.0,9.0,38.0,Third call,40-44,Black,Female,Breaux,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Democrat,Under 15K,Conservative,18 to 64,National,Protestant North,30 to 44,40 to 49,Democrat,40 to 49,0.41800000000000004
19.0,9.0,39.0,Third call,25-29,White,Male,Breaux,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Something else,15 to 30K,Conservative,18 to 64,National,Protestant North,18 to 29,25 to 29,Independent/Other,25 to 29,0.355
19.0,9.0,40.0,Third call,25-29,White,Female,Breaux,Approve,Approve,Support Clinton,No,No,No,No,Better,Clinton,Democrat,30 to 50K,Liberal,18 to 64,National,Protestant North,18 to 29,25 to 29,Democrat,25 to 29,0.38399999999999995
19.0,9.0,41.0,Third call,50-59,White,Female,Donelon,Disapprove,Disapprove,Neither,No,Yes,No,Yes,Same,Dole,Republican,Under 15K,Conservative,18 to 64,National,Protestant North,45 to 59,50 to 59,Republican,50 to 64,0.302
19.0,9.0,42.0,Third call,18-24,Black,Female,Breaux,Approve,Approve,Support Clinton,Yes,No,No,No,Same,Clinton,Independent,30 to 50K,Conservative,18 to 64,National,Protestant North,18 to 29,18 to 24,Independent/Other,18 to 24,0.5389999999999999
19.0,9.0,43.0,Third call,45-49,White,Male,Breaux,Approve,Disapprove,Neither,Yes,No,No,No,Same,Clinton,Democrat,50 to 75K,Liberal,18 to 64,National,Protestant North,45 to 59,40 to 49,Democrat,40 to 49,0.27399999999999997
19.0,9.0,44.0,Third call,25-29,White,Female,Breaux,Disapprove,Disapprove,Neither,Yes,No,Yes,Yes,Better,Dole,Democrat,15 to 30K,Moderate,18 to 64,National,Protestant North,18 to 29,25 to 29,Democrat,25 to 29,0.38399999999999995
19.0,9.0,45.0,Third call,45-49,White,Male,Breaux,Approve,Approve,Support Clinton,No,Yes,Yes,Yes,Better,Clinton,Democrat,100K or more,Moderate,18 to 64,National,Protestant North,45 to 59,40 to 49,Democrat,40 to 49,0.27399999999999997
19.0,9.0,46.0,Third call,45-49,White,Male,Donelon,Disapprove,,,,,,,Better,,Republican,50 to 75K,Conservative,18 to 64,National,Protestant North,45 to 59,40 to 49,Republican,40 to 49,0.279
19.0,9.0,47.0,Third call,50-59,White,Male,Donelon,Disapprove,,,,,,,Better,,Republican,75 to 100K,Conservative,18 to 64,National,Protestant North,45 to 59,50 to 59,Republican,50 to 64,0.279
19.0,9.0,48.0,Third call,30-39,White,Male,Breaux,Disapprove,,,,,,,Better,,Republican,15 to 30K,Conservative,18 to 64,National,Protestant North,30 to 44,30 to 39,Republican,30 to 39,0.27399999999999997
19.0,9.0,49.0,Third call,30-39,Black,Male,Breaux,Approve,,,,,,,Better,,Democrat,Under 15K,,18 to 64,National,Protestant North,30 to 44,30 to 39,Democrat,30 to 39,0.386
19.0,9.0,50.0,Third call,60-64,White,Male,Breaux,Disapprove,,,,,,,Worse,,Republican,50 to 75K,Conservative,18 to 64,National,Protestant North,60 and over,60 and over,Republican,50 to 64,0.297
19.0,9.0,51.0,Third call,45-49,Black,Male,Breaux,Approve,,,,,,,,,,,,18 to 64,National,Protestant North,45 to 59,40 to 49,,40 to 49,0.386
19.0,9.0,52.0,Third call,40-44,White,Male,Donelon,Approve,,,,,,,Same,,Republican,15 to 30K,Moderate,18 to 64,National,Protestant North,30 to 44,40 to 49,Republican,40 to 49,0.279
19.0,9.0,53.0,Third call,25-29,White,Male,Donelon,Disapprove,,,,,,,Better,,Republican,30 to 50K,Moderate,18 to 64,National,Protestant North,18 to 29,25 to 29,Republican,25 to 29,0.359
19.0,9.0,54.0,Third call,45-49,White,Female,Donelon,Disapprove,,,,,,,Same,,Republican,100K or more,Conservative,18 to 64,National,Protestant North,45 to 59,40 to 49,Republican,40 to 49,0.302
19.0,9.0,55.0,Third call,18-24,White,Male,Donelon,Disapprove,,,,,,,Better,,Republican,100K or more,Conservative,18 to 64,National,Protestant North,18 to 29,18 to 24,Republican,18 to 24,0.359
19.0,9.0,56.0,Third call,25-29,White,Female,Breaux,Approve,,,,,,,Better,,Republican,15 to 30K,Liberal,18 to 64,National,Protestant North,18 to 29,25 to 29,Republican,25 to 29,0.38399999999999995
19.0,9.0,57.0,Third call,40-44,White,Male,Other,Disapprove,,,,,,,Same,,Republican,15 to 30K,Moderate,18 to 64,National,Protestant North,30 to 44,40 to 49,Republican,40 to 49,1.208
19.0,9.0,58.0,Third call,18-24,Black,Female,Breaux,Approve,,,,,,,Better,,Democrat,30 to 50K,Liberal,18 to 64,National,Protestant North,18 to 29,18 to 24,Democrat,18 to 24,0.5389999999999999
19.0,9.0,59.0,Third call,25-29,White,Male,Breaux,Disapprove,,,,,,,Same,,Independent,30 to 50K,Moderate,18 to 64,National,Protestant North,18 to 29,25 to 29,Independent/Other,25 to 29,0.355
19.0,9.0,60.0,Third call,25-29,White,Female,Breaux,Approve,,,,,,,Better,,Democrat,75 to 100K,Liberal,18 to 64,National,Protestant North,18 to 29,25 to 29,Democrat,25 to 29,0.38399999999999995
19.0,9.0,61.0,Third call,50-59,White,Female,Breaux,Approve,,,,,,,Same,,Republican,30 to 50K,Liberal,18 to 64,National,Protestant North,45 to 59,50 to 59,Republican,50 to 64,0.298
19.0,9.0,62.0,Third call,25-29,White,Male,Donelon,Disapprove,,,,,,,Worse,,Republican,,Moderate,18 to 64,National,Protestant North,18 to 29,25 to 29,Republican,25 to 29,0.359
19.0,9.0,63.0,Third call,25-29,White,Female,Donelon,Disapprove,,,,,,,Better,,Republican,30 to 50K,Moderate,18 to 64,National,Protestant North,18 to 29,25 to 29,Republican,25 to 29,0.38899999999999996
19.0,13.0,1.0,First call,50-59,White,Male,Donelon,Approve,Approve,Oppose Clinton,Yes,Yes,Yes,,Better,Dole,Republican,75 to 100K,Conservative,18 to 64,State,Protestant North,45 to 59,50 to 59,Republican,50 to 64,0.684
19.0,13.0,2.0,First call,65 and over,White,Male,Breaux,Approve,Disapprove,Support Clinton,No,No,Yes,No,Better,Clinton,Democrat,Under 15K,Conservative,65 and over,State,Protestant North,60 and over,60 and over,Democrat,65 and over,0.728
19.0,13.0,3.0,First call,60-64,White,Female,Breaux,Approve,Disapprove,Neither,Yes,No,No,No,Same,Clinton,Democrat,15 to 30K,Conservative,18 to 64,State,Protestant North,60 and over,60 and over,Democrat,50 to 64,0.788
19.0,13.0,4.0,First call,30-39,White,Female,Breaux,Approve,Disapprove,Neither,No,No,No,No,Same,Clinton,Independent,Under 15K,Liberal,18 to 64,State,Protestant North,30 to 44,30 to 39,Independent/Other,30 to 39,0.73
19.0,13.0,5.0,First call,50-59,White,Male,Breaux,Approve,Disapprove,Support Clinton,Yes,No,No,No,Better,Clinton,Democrat,30 to 50K,Moderate,18 to 64,State,Protestant North,45 to 59,50 to 59,Democrat,50 to 64,0.6749999999999999
19.0,13.0,6.0,First call,18-24,White,Male,Breaux,Approve,Approve,Neither,Yes,Yes,Yes,No,Better,Clinton,Democrat,15 to 30K,Liberal,18 to 64,State,Protestant North,18 to 29,18 to 24,Democrat,18 to 24,0.87
19.0,13.0,7.0,Second call,60-64,White,Male,Breaux,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Yes,Same,Dole,Independent,30 to 50K,Conservative,18 to 64,State,Protestant North,60 and over,60 and over,Independent/Other,50 to 64,0.728
19.0,13.0,8.0,Second call,50-59,White,Male,Breaux,,Approve,Neither,No,No,No,No,Worse,Dole,Democrat,30 to 50K,Moderate,18 to 64,State,Protestant North,45 to 59,50 to 59,Democrat,50 to 64,0.6749999999999999
19.0,13.0,9.0,Second call,65 and over,Hispanic,Female,Breaux,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,15 to 30K,Moderate,65 and over,State,Protestant North,60 and over,60 and over,Democrat,65 and over,1.106
19.0,13.0,10.0,Second call,60-64,White,Female,Donelon,,Disapprove,Neither,No,No,No,No,Same,Dole,Republican,,Conservative,18 to 64,State,Protestant North,60 and over,60 and over,Republican,50 to 64,0.8
19.0,13.0,11.0,Second call,65 and over,Black,Female,Breaux,Approve,Approve,Support Clinton,Yes,No,No,No,Same,Clinton,Democrat,Under 15K,,65 and over,State,Protestant North,60 and over,60 and over,Democrat,65 and over,1.106
19.0,13.0,12.0,Second call,45-49,White,Male,Breaux,Approve,Approve,Support Clinton,No,No,No,No,Worse,Clinton,Independent,100K or more,Conservative,18 to 64,State,Protestant North,45 to 59,40 to 49,Independent/Other,40 to 49,0.6749999999999999
19.0,13.0,13.0,Second call,45-49,White,Male,Breaux,Approve,Disapprove,Neither,No,No,No,No,Same,Clinton,Independent,75 to 100K,Conservative,18 to 64,State,Protestant North,45 to 59,40 to 49,Independent/Other,40 to 49,0.6749999999999999
19.0,13.0,14.0,Second call,60-64,White,Female,Breaux,Approve,Disapprove,Neither,No,No,No,Yes,Better,Clinton,Democrat,30 to 50K,Moderate,18 to 64,State,Protestant North,60 and over,60 and over,Democrat,50 to 64,0.788
19.0,13.0,15.0,Third call,60-64,White,Female,Breaux,Approve,Disapprove,Neither,No,No,No,No,Same,Clinton,Democrat,15 to 30K,Moderate,18 to 64,State,Protestant North,60 and over,60 and over,Democrat,50 to 64,0.788
19.0,13.0,16.0,Third call,45-49,White,Male,Donelon,Disapprove,Approve,Neither,No,Yes,Yes,No,Worse,Dole,Republican,50 to 75K,Conservative,18 to 64,State,Protestant North,45 to 59,40 to 49,Republican,40 to 49,0.684
19.0,13.0,17.0,Third call,18-24,White,Male,Breaux,Disapprove,Disapprove,Neither,No,No,No,No,Better,Dole,Democrat,Under 15K,Moderate,18 to 64,State,Protestant North,18 to 29,18 to 24,Democrat,18 to 24,0.87
19.0,13.0,18.0,Third call,30-39,White,Male,Breaux,Approve,Approve,Neither,No,No,No,No,Same,Clinton,Independent,15 to 30K,Moderate,18 to 64,State,Protestant North,30 to 44,30 to 39,Independent/Other,30 to 39,0.6749999999999999
19.0,13.0,19.0,Third call,30-39,Black,Female,Breaux,Approve,Approve,Support Clinton,Yes,No,No,No,Same,Clinton,Republican,Under 15K,Moderate,18 to 64,State,Protestant North,30 to 44,30 to 39,Republican,30 to 39,1.025
19.0,13.0,20.0,Third call,50-59,White,Female,Breaux,Disapprove,Approve,Neither,,,,Yes,Better,Dole,Republican,50 to 75K,Conservative,18 to 64,State,Protestant North,45 to 59,50 to 59,Republican,50 to 64,0.73
19.0,13.0,21.0,Third call,40-44,White,Female,Donelon,Disapprove,Disapprove,Neither,,No,Yes,No,Same,Dole,Independent,15 to 30K,Conservative,18 to 64,State,Protestant North,30 to 44,40 to 49,Independent/Other,40 to 49,0.741
19.0,13.0,22.0,Third call,50-59,Black,Male,Breaux,Approve,Approve,Support Clinton,Yes,No,No,No,Better,Clinton,Democrat,15 to 30K,Moderate,18 to 64,State,Protestant North,45 to 59,50 to 59,Democrat,50 to 64,0.947
19.0,13.0,23.0,Third call,40-44,White,Male,Donelon,Disapprove,Disapprove,Oppose Clinton,No,,Yes,Yes,Same,Dole,Republican,15 to 30K,Conservative,18 to 64,State,Protestant North,30 to 44,40 to 49,Republican,40 to 49,0.684
19.0,13.0,24.0,Third call,30-39,White,Male,Donelon,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,No,,Did not vote,Republican,30 to 50K,Conservative,18 to 64,State,Protestant North,30 to 44,30 to 39,Republican,30 to 39,0.684
19.0,13.0,25.0,Third call,30-39,White,Female,Donelon,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Yes,Better,Dole,Republican,75 to 100K,Conservative,18 to 64,State,Protestant North,30 to 44,30 to 39,Republican,30 to 39,0.741
19.0,14.0,1.0,Second call,30-39,Black,Male,Breaux,Approve,Approve,Neither,No,No,No,Yes,Better,Clinton,Democrat,,Moderate,18 to 64,National,Cajun County,30 to 44,30 to 39,Democrat,30 to 39,0.41800000000000004
19.0,14.0,2.0,Second call,60-64,White,Female,Breaux,Approve,Disapprove,Neither,No,No,No,Yes,Same,Clinton,Democrat,50 to 75K,Liberal,18 to 64,National,Cajun County,60 and over,60 and over,Democrat,50 to 64,0.47800000000000004
19.0,14.0,3.0,Second call,50-59,White,Male,Donelon,Disapprove,Approve,Oppose Clinton,No,Yes,No,No,Same,Dole,Republican,50 to 75K,Conservative,18 to 64,National,Cajun County,45 to 59,50 to 59,Republican,50 to 64,0.33999999999999997
19.0,14.0,4.0,Second call,25-29,White,Female,Donelon,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,,Same,Dole,Republican,,Conservative,18 to 64,National,Cajun County,18 to 29,25 to 29,Republican,25 to 29,0.453
19.0,14.0,5.0,Second call,30-39,White,Male,Breaux,Disapprove,Disapprove,Neither,Yes,No,Yes,,Same,Dole,,50 to 75K,Conservative,18 to 64,National,Cajun County,30 to 44,30 to 39,,30 to 39,0.39199999999999996
19.0,14.0,6.0,Second call,60-64,White,Male,Breaux,Approve,Approve,Neither,Yes,No,No,No,Same,Clinton,Democrat,50 to 75K,Moderate,18 to 64,National,Cajun County,60 and over,60 and over,Democrat,50 to 64,0.41900000000000004
19.0,14.0,7.0,Second call,25-29,White,Male,Donelon,Disapprove,Approve,Neither,No,Yes,Yes,Yes,Better,Dole,Republican,15 to 30K,Conservative,18 to 64,National,Cajun County,18 to 29,25 to 29,Republican,25 to 29,0.39699999999999996
19.0,14.0,8.0,Second call,30-39,White,Male,Donelon,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Yes,Better,Dole,Independent,50 to 75K,Moderate,18 to 64,National,Cajun County,30 to 44,30 to 39,Independent/Other,30 to 39,0.33999999999999997
19.0,14.0,9.0,Second call,30-39,White,Female,Donelon,Disapprove,Approve,Oppose Clinton,Yes,Yes,No,No,Same,Dole,Republican,30 to 50K,Conservative,18 to 64,National,Cajun County,30 to 44,30 to 39,Republican,30 to 39,0.387
19.0,14.0,10.0,Second call,40-44,Black,Male,Donelon,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,No,Better,Clinton,Democrat,50 to 75K,Moderate,18 to 64,National,Cajun County,30 to 44,40 to 49,Democrat,40 to 49,0.361
19.0,14.0,11.0,Second call,60-64,White,Male,Donelon,Disapprove,Disapprove,Oppose Clinton,No,Yes,Yes,No,Same,Dole,Democrat,75 to 100K,Conservative,18 to 64,National,Cajun County,60 and over,60 and over,Democrat,50 to 64,0.363
19.0,14.0,12.0,Second call,50-59,White,Female,Donelon,Disapprove,Approve,Neither,No,No,Yes,Yes,Worse,Dole,Republican,30 to 50K,Moderate,18 to 64,National,Cajun County,45 to 59,50 to 59,Republican,50 to 64,0.387
19.0,14.0,13.0,Second call,25-29,Black,Male,Breaux,Approve,,Neither,Yes,No,No,No,Worse,Clinton,Democrat,15 to 30K,Conservative,18 to 64,National,Cajun County,18 to 29,25 to 29,Democrat,25 to 29,0.489
19.0,14.0,14.0,Second call,65 and over,White,Male,Breaux,Disapprove,Approve,Neither,Yes,Yes,Yes,Yes,Same,Perot,Democrat,,Conservative,65 and over,National,Cajun County,60 and over,60 and over,Democrat,65 and over,0.41900000000000004
19.0,14.0,15.0,Second call,65 and over,White,Male,Breaux,Approve,,,,,,,Better,,Democrat,15 to 30K,Moderate,65 and over,National,Cajun County,60 and over,60 and over,Democrat,65 and over,0.41900000000000004
19.0,14.0,16.0,Second call,30-39,White,Male,Donelon,Disapprove,,,,,,,Same,,Something else,30 to 50K,Moderate,18 to 64,National,Cajun County,30 to 44,30 to 39,Independent/Other,30 to 39,0.33999999999999997
19.0,14.0,17.0,Second call,40-44,White,Female,Donelon,Disapprove,,,,,,,Worse,,Republican,30 to 50K,Conservative,18 to 64,National,Cajun County,30 to 44,40 to 49,Republican,40 to 49,0.387
19.0,14.0,18.0,Second call,65 and over,White,Male,Breaux,Approve,,,,,,,Same,,Democrat,15 to 30K,Conservative,65 and over,National,Cajun County,60 and over,60 and over,Democrat,65 and over,0.41900000000000004
19.0,14.0,19.0,Second call,50-59,White,Female,Breaux,Approve,,,,,,,Better,,Democrat,50 to 75K,Moderate,18 to 64,National,Cajun County,45 to 59,50 to 59,Democrat,50 to 64,0.447
19.0,14.0,20.0,Second call,60-64,White,Female,Breaux,Approve,,,,,,,Better,,Independent,50 to 75K,Moderate,18 to 64,National,Cajun County,60 and over,60 and over,Independent/Other,50 to 64,0.47800000000000004
19.0,14.0,21.0,Second call,40-44,White,Male,Donelon,Disapprove,,,,,,,Worse,,Republican,30 to 50K,Conservative,18 to 64,National,Cajun County,30 to 44,40 to 49,Republican,40 to 49,0.33999999999999997
19.0,14.0,22.0,Second call,30-39,White,Male,Donelon,Disapprove,,,,,,,Better,,Republican,50 to 75K,Conservative,18 to 64,National,Cajun County,30 to 44,30 to 39,Republican,30 to 39,0.33999999999999997
19.0,14.0,23.0,Second call,45-49,White,Female,Donelon,Disapprove,,,,,,,Worse,,Republican,30 to 50K,Moderate,18 to 64,National,Cajun County,45 to 59,40 to 49,Republican,40 to 49,0.387
19.0,14.0,24.0,Second call,30-39,White,Male,Donelon,Disapprove,,,,,,,Better,,Republican,50 to 75K,Moderate,18 to 64,National,Cajun County,30 to 44,30 to 39,Republican,30 to 39,0.33999999999999997
19.0,14.0,25.0,Second call,40-44,White,Male,Donelon,Disapprove,,,,,,,Better,,Republican,100K or more,Conservative,18 to 64,National,Cajun County,30 to 44,40 to 49,Republican,40 to 49,0.33999999999999997
19.0,14.0,26.0,Second call,50-59,Black,Male,Breaux,Approve,,,,,,,Same,,Democrat,30 to 50K,Liberal,18 to 64,National,Cajun County,45 to 59,50 to 59,Democrat,50 to 64,0.41800000000000004
19.0,14.0,27.0,Second call,40-44,Black,Male,Breaux,Approve,,,,,,,Same,,Democrat,30 to 50K,Moderate,18 to 64,National,Cajun County,30 to 44,40 to 49,Democrat,40 to 49,0.41800000000000004
19.0,14.0,28.0,Second call,65 and over,White,,Breaux,Approve,,,,,,,Better,,Democrat,15 to 30K,Liberal,65 and over,National,Cajun County,60 and over,60 and over,Democrat,65 and over,0.41900000000000004
19.0,14.0,29.0,Third call,30-39,White,Male,Donelon,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,Yes,Same,Dole,Republican,30 to 50K,Conservative,18 to 64,National,Cajun County,30 to 44,30 to 39,Republican,30 to 39,0.33999999999999997
19.0,14.0,30.0,Third call,50-59,White,Male,Breaux,Approve,Disapprove,Neither,Yes,No,No,No,Better,Clinton,Democrat,30 to 50K,Moderate,18 to 64,National,Cajun County,45 to 59,50 to 59,Democrat,50 to 64,0.39199999999999996
19.0,14.0,31.0,Third call,45-49,White,Female,Breaux,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Independent,50 to 75K,Liberal,18 to 64,National,Cajun County,45 to 59,40 to 49,Independent/Other,40 to 49,0.447
