State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Senator Vote,Governor Vote,Clinton Approval,Congress Approval,Who attacked unfairly?,Who had more ads?,Reason for Cong Vote,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,1996 vote,How to improve Gov tax plan,Party ID,Education,Religion,Income,Ideology,Age (65 and over),State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight 3 implied dec,Senate issues,Future of state economy,Clinton as person,Union memeber in HH
50.0,1.0,45.0,Second call,50-59,White,Male,Neumann,Thompson,Approve,Approve,Both,About the same,Neither,No,No,No,Better,Dole,One factor,Republican,College grad,Protestant,75 to 100K,Moderate,18 to 64,State,Complete,Northwest,45 to 59,50 to 59,Republican,50 to 64,0.7589999999999999,Social Security,Same,Unfavorable,No
50.0,1.0,46.0,Second call,18-24,White,Male,Neumann,Thompson,Disapprove,Approve,Neither,About the same,Oppose Clinton,Yes,Yes,Yes,Better,Dole,One factor,Republican,HS grad,Something else,50 to 75K,Conservative,18 to 64,State,Complete,Northwest,18 to 29,18 to 24,Republican,18 to 24,0.7529999999999999,Abortion,Better,Unfavorable,No
50.0,1.0,47.0,Second call,30-39,White,Male,Feingold,Garvey,Approve,Disapprove,Neumann,About the same,Neither,No,No,No,Better,Clinton,Not a factor,Independent,Postgrad,Something else,100K or more,Moderate,18 to 64,State,Complete,Northwest,30 to 44,30 to 39,Independent/Other,30 to 39,0.7609999999999999,,Same,Favorable,Yes
50.0,1.0,48.0,Second call,45-49,White,Female,Neumann,Thompson,Disapprove,Approve,Both,About the same,Neither,Yes,Yes,Yes,Worse,Dole,One factor,Republican,Some college,,30 to 50K,Conservative,18 to 64,State,Complete,Northwest,45 to 59,40 to 49,Republican,40 to 49,0.741,Abortion,Same,Unfavorable,No
50.0,1.0,49.0,Second call,65 and over,White,Male,Feingold,Garvey,Approve,Disapprove,Neumann,Neumann,Neither,No,No,No,Same,Clinton,One factor,Independent,No HS,None,15 to 30K,Moderate,65 and over,State,Complete,Northwest,60 and over,60 and over,Independent/Other,65 and over,0.699,Eonomy/jobs,Worse,Unfavorable,No
50.0,1.0,50.0,Second call,65 and over,White,Male,Feingold,Garvey,Approve,Disapprove,Both,,,No,No,,Same,,Not a factor,Independent,Postgrad,Protestant,30 to 50K,Moderate,65 and over,State,Complete,Northwest,60 and over,60 and over,Independent/Other,65 and over,0.699,,Same,,
50.0,1.0,51.0,Second call,65 and over,White,Female,Feingold,Garvey,Approve,Disapprove,Neither,About the same,Neither,No,No,No,Same,Clinton,One factor,Democrat,HS grad,Something else,Under 15K,Moderate,65 and over,State,Complete,Northwest,60 and over,60 and over,Democrat,65 and over,0.6859999999999999,Social Security,Same,Favorable,No
50.0,1.0,52.0,Second call,65 and over,White,Female,Feingold,Garvey,Approve,Disapprove,Both,About the same,Support Clinton,No,No,No,Better,Clinton,One factor,Democrat,HS grad,Protestant,30 to 50K,Liberal,65 and over,State,Complete,Northwest,60 and over,60 and over,Democrat,65 and over,0.6859999999999999,Social Security,Better,Favorable,No
50.0,1.0,53.0,Second call,65 and over,White,Male,,Garvey,Approve,Disapprove,Neither,Feingold,Support Clinton,No,No,No,Better,Clinton,One factor,Democrat,No HS,Catholic,Under 15K,,65 and over,State,Complete,Northwest,60 and over,60 and over,Democrat,65 and over,0.6609999999999999,,Same,Favorable,No
50.0,1.0,54.0,Third call,65 and over,White,Female,Neumann,Garvey,Approve,Disapprove,Both,About the same,Neither,No,No,Yes,Same,Perot,Not a factor,Independent,HS grad,Protestant,15 to 30K,,65 and over,State,Complete,Northwest,60 and over,60 and over,Independent/Other,65 and over,0.607,Social Security,Same,Unfavorable,No
50.0,3.0,1.0,First call,65 and over,White,Male,Feingold,Thompson,Disapprove,Disapprove,,,,,,,,,,,,,,,65 and over,National,Not complete,Fox River/SW,60 and over,60 and over,,65 and over,0.378,,,,No
50.0,3.0,2.0,First call,45-49,White,Female,Feingold,Garvey,Approve,Disapprove,,,Support Clinton,No,No,No,Worse,Clinton,,Democrat,College grad,Protestant,50 to 75K,Moderate,18 to 64,National,Complete,Fox River/SW,45 to 59,40 to 49,Democrat,40 to 49,0.269,,,Favorable,No
50.0,3.0,3.0,First call,40-44,White,Male,Neumann,Thompson,Disapprove,Approve,,,Oppose Clinton,Yes,Yes,No,Worse,Dole,,Republican,College grad,Protestant,75 to 100K,Conservative,18 to 64,National,Complete,Fox River/SW,30 to 44,40 to 49,Republican,40 to 49,0.304,,,Unfavorable,Yes
50.0,3.0,4.0,First call,18-24,White,Female,Feingold,Garvey,Approve,Disapprove,,,Neither,No,No,No,Same,Clinton,,Democrat,HS grad,None,15 to 30K,Moderate,18 to 64,National,Complete,Fox River/SW,18 to 29,18 to 24,Democrat,18 to 24,0.31,,,Unfavorable,Yes
50.0,3.0,5.0,First call,65 and over,White,Male,Neumann,Thompson,Disapprove,Disapprove,,,,,,,,,,,,,,,65 and over,National,Not complete,Fox River/SW,60 and over,60 and over,,65 and over,0.40700000000000003,,,,Yes
50.0,3.0,6.0,First call,60-64,White,Female,Feingold,Garvey,Approve,Disapprove,,,,,,,,,,,,,,,18 to 64,National,Not complete,Fox River/SW,60 and over,60 and over,,50 to 64,0.355,,,,No
50.0,3.0,7.0,First call,65 and over,White,Female,Neumann,Thompson,Disapprove,Approve,,,Oppose Clinton,Yes,Yes,Yes,Same,Dole,,Republican,HS grad,Protestant,15 to 30K,Moderate,65 and over,National,Complete,Fox River/SW,60 and over,60 and over,Republican,65 and over,0.42600000000000005,,,Unfavorable,No
50.0,3.0,8.0,First call,45-49,White,Male,Feingold,Garvey,Approve,Approve,,,Neither,No,No,No,Same,Clinton,,Democrat,Some college,Catholic,15 to 30K,Conservative,18 to 64,National,Complete,Fox River/SW,45 to 59,40 to 49,Democrat,40 to 49,0.254,,,Favorable,Yes
50.0,3.0,9.0,First call,25-29,White,Male,Feingold,Garvey,Approve,,,,,,,,Better,,,Independent,,,30 to 50K,Moderate,18 to 64,National,Complete,Fox River/SW,18 to 29,25 to 29,Independent/Other,25 to 29,0.295,,,,
50.0,3.0,10.0,First call,50-59,White,Male,Neumann,Thompson,Approve,,,,,,,,Better,,,Independent,,,75 to 100K,Moderate,18 to 64,National,Complete,Fox River/SW,45 to 59,50 to 59,Independent/Other,50 to 64,0.304,,,,
50.0,3.0,11.0,First call,30-39,White,Female,Neumann,Garvey,Approve,,,,,,,,Worse,,,Democrat,,,15 to 30K,Moderate,18 to 64,National,Complete,Fox River/SW,30 to 44,30 to 39,Democrat,30 to 39,0.28600000000000003,,,,
50.0,3.0,12.0,First call,30-39,White,Female,Feingold,Garvey,Approve,,,,,,,,Better,,,Democrat,,,75 to 100K,Liberal,18 to 64,National,Complete,Fox River/SW,30 to 44,30 to 39,Democrat,30 to 39,0.269,,,,
50.0,3.0,13.0,First call,30-39,White,Female,Neumann,Thompson,Disapprove,,,,,,,,Better,,,Republican,,,30 to 50K,Moderate,18 to 64,National,Complete,Fox River/SW,30 to 44,30 to 39,Republican,30 to 39,0.32,,,,
50.0,3.0,14.0,First call,30-39,White,Male,Feingold,Garvey,Approve,,,,,,,,Better,,,Democrat,,,75 to 100K,Moderate,18 to 64,National,Complete,Fox River/SW,30 to 44,30 to 39,Democrat,30 to 39,0.254,,,,
50.0,3.0,15.0,First call,65 and over,White,Female,Feingold,Garvey,Approve,,,,,,,,Same,,,Democrat,,,15 to 30K,Moderate,65 and over,National,Complete,Fox River/SW,60 and over,60 and over,Democrat,65 and over,0.355,,,,
50.0,3.0,16.0,First call,65 and over,White,Male,Feingold,Garvey,Approve,,,,,,,,,,,,,,,,65 and over,National,Not complete,Fox River/SW,60 and over,60 and over,,65 and over,0.33499999999999996,,,,
50.0,3.0,17.0,Second call,45-49,White,Female,Feingold,Garvey,Approve,Disapprove,,,Neither,No,No,No,Worse,Clinton,,Independent,College grad,Catholic,15 to 30K,Moderate,18 to 64,National,Complete,Fox River/SW,45 to 59,40 to 49,Independent/Other,40 to 49,0.269,,,Unfavorable,No
50.0,3.0,18.0,Second call,65 and over,White,Male,Neumann,Thompson,Disapprove,Disapprove,,,Oppose Clinton,Yes,Yes,Yes,Same,Dole,,Republican,College grad,Protestant,30 to 50K,Conservative,65 and over,National,Complete,Fox River/SW,60 and over,60 and over,Republican,65 and over,0.40700000000000003,,,Unfavorable,No
50.0,3.0,19.0,Second call,18-24,White,Female,Feingold,Garvey,Disapprove,Disapprove,,,Neither,No,No,No,Same,Did not vote,,Independent,HS grad,Other Christian,15 to 30K,Liberal,18 to 64,National,Complete,Fox River/SW,18 to 29,18 to 24,Independent/Other,18 to 24,0.31,,,Favorable,No
50.0,3.0,20.0,Second call,60-64,White,Female,Feingold,Garvey,Approve,Disapprove,,,Neither,No,No,No,Same,Clinton,,Democrat,College grad,Protestant,15 to 30K,Moderate,18 to 64,National,Complete,Fox River/SW,60 and over,60 and over,Democrat,50 to 64,0.355,,,Unfavorable,No
50.0,3.0,21.0,Second call,25-29,White,Female,Feingold,Garvey,Approve,,,,,,,,Same,,,Democrat,,,30 to 50K,Liberal,18 to 64,National,Complete,Fox River/SW,18 to 29,25 to 29,Democrat,25 to 29,0.31,,,,
50.0,3.0,22.0,Second call,25-29,White,Female,Neumann,Thompson,Disapprove,,,,,,,,Worse,,,Republican,,,15 to 30K,Conservative,18 to 64,National,Complete,Fox River/SW,18 to 29,25 to 29,Republican,25 to 29,0.376,,,,
50.0,3.0,23.0,Second call,45-49,White,Male,Feingold,Garvey,Approve,,,,,,,,Same,,,Independent,,,75 to 100K,Liberal,18 to 64,National,Complete,Fox River/SW,45 to 59,40 to 49,Independent/Other,40 to 49,0.254,,,,
50.0,3.0,24.0,Second call,50-59,White,Female,Feingold,Garvey,Approve,,,,,,,,Same,,,Democrat,,,,Liberal,18 to 64,National,Complete,Fox River/SW,45 to 59,50 to 59,Democrat,50 to 64,0.269,,,,
50.0,3.0,25.0,Second call,18-24,White,Male,Neumann,Thompson,Disapprove,,,,,,,,Better,,,Independent,,,Under 15K,Conservative,18 to 64,National,Complete,Fox River/SW,18 to 29,18 to 24,Independent/Other,18 to 24,0.356,,,,
50.0,3.0,26.0,Third call,18-24,White,Male,Feingold,Garvey,Approve,Disapprove,,,Support Clinton,No,No,Yes,Better,Clinton,,Independent,HS grad,None,50 to 75K,Liberal,18 to 64,National,Complete,Fox River/SW,18 to 29,18 to 24,Independent/Other,18 to 24,0.295,,,Favorable,Yes
50.0,3.0,27.0,Third call,45-49,White,Male,Feingold,Garvey,Approve,Disapprove,,,Support Clinton,No,No,No,Same,Clinton,,Independent,Some college,Something else,30 to 50K,Moderate,18 to 64,National,Complete,Fox River/SW,45 to 59,40 to 49,Independent/Other,40 to 49,0.254,,,Favorable,Yes
50.0,3.0,28.0,Third call,30-39,White,Male,Feingold,Thompson,Approve,Disapprove,,,Neither,,No,No,Better,Clinton,,Independent,Some college,Catholic,,Conservative,18 to 64,National,Complete,Fox River/SW,30 to 44,30 to 39,Independent/Other,30 to 39,0.285,,,Favorable,No
50.0,3.0,29.0,Third call,45-49,White,Female,Feingold,Garvey,Approve,Disapprove,,,Neither,No,Yes,Yes,Same,Dole,,Democrat,Postgrad,Catholic,30 to 50K,Moderate,18 to 64,National,Complete,Fox River/SW,45 to 59,40 to 49,Democrat,40 to 49,0.269,,,Unfavorable,No
50.0,3.0,30.0,Third call,30-39,White,Male,Neumann,Thompson,Approve,Disapprove,,,Oppose Clinton,Yes,Yes,Yes,Better,Dole,,Republican,College grad,Catholic,100K or more,Moderate,18 to 64,National,Complete,Fox River/SW,30 to 44,30 to 39,Republican,30 to 39,0.304,,,Unfavorable,No
50.0,3.0,31.0,Third call,40-44,White,Male,Feingold,Garvey,Approve,Disapprove,,,Neither,No,No,Yes,Better,Dole,,Democrat,Some college,Catholic,50 to 75K,Moderate,18 to 64,National,Complete,Fox River/SW,30 to 44,40 to 49,Democrat,40 to 49,0.254,,,Favorable,No
50.0,3.0,32.0,Third call,40-44,White,Male,Feingold,Garvey,Approve,Approve,,,Neither,No,Yes,No,Better,Perot,,Democrat,HS grad,Catholic,50 to 75K,Liberal,18 to 64,National,Complete,Fox River/SW,30 to 44,40 to 49,Democrat,40 to 49,0.254,,,Favorable,Yes
50.0,3.0,33.0,Third call,25-29,White,Male,Neumann,Garvey,Disapprove,Approve,,,Neither,Yes,Yes,No,Better,Dole,,Republican,College grad,Catholic,50 to 75K,Moderate,18 to 64,National,Complete,Fox River/SW,18 to 29,25 to 29,Republican,25 to 29,0.317,,,Unfavorable,No
50.0,3.0,34.0,Third call,50-59,White,Female,Neumann,Thompson,Disapprove,Approve,,,Neither,No,Yes,Yes,Same,Dole,,Republican,HS grad,Catholic,,Conservative,18 to 64,National,Complete,Fox River/SW,45 to 59,50 to 59,Republican,50 to 64,0.32,,,Unfavorable,No
50.0,3.0,35.0,Third call,30-39,White,Female,Neumann,Thompson,Disapprove,,,,Oppose Clinton,No,Yes,,Same,Dole,,Republican,College grad,Catholic,30 to 50K,Conservative,18 to 64,National,Complete,Fox River/SW,30 to 44,30 to 39,Republican,30 to 39,0.32,,,Favorable,Yes
50.0,3.0,36.0,Third call,30-39,White,Male,Neumann,Thompson,Disapprove,Disapprove,,,Oppose Clinton,Yes,Yes,Yes,Same,Dole,,Republican,College grad,Other Christian,15 to 30K,Conservative,18 to 64,National,Complete,Fox River/SW,30 to 44,30 to 39,Republican,30 to 39,0.304,,,Unfavorable,No
50.0,3.0,37.0,Third call,60-64,White,Female,Neumann,Thompson,Approve,Approve,,,Neither,No,No,Yes,Better,Dole,,Independent,HS grad,Catholic,15 to 30K,Moderate,18 to 64,National,Complete,Fox River/SW,60 and over,60 and over,Independent/Other,50 to 64,0.42600000000000005,,,Unfavorable,No
