State ID Number,Precint Number,Sequence Number Within Precinct,Call Number,Age,Race,Sex,Senator Vote,Governor Vote,Clinton Approval,Congress Approval,Reason for Cong Vote,Religious Right,Cong impeach Clin?,Should Clin resign?,Cong censure Clin?,Financial Situation,1996 vote,Party ID,Education,Income,Ideology,Age (65 and over),Which is more important,State or national poll,Backside,Geocode,Age (4 categories),Age (ABC categories),Party ID,Age (6 categories),Weight (3 implied dec places),Clinton as person
16.0,5.0,29.0,Third call,45-49,White,Male,Grassley,Lightfoot,Disapprove,Approve,Neither,No,Yes,Yes,No,Worse,Dole,Republican,Some college,50 to 75K,Moderate,18 to 64,Cut taxes,State,Complete,Central,45 to 59,40 to 49,Republican,40 to 49,0.785,Unfavorable
16.0,5.0,30.0,Third call,65 and over,White,Male,Grassley,Lightfoot,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Yes,Same,Dole,Republican,No HS,50 to 75K,Moderate,65 and over,Cut taxes,State,Complete,Central,60 and over,60 and over,Republican,65 and over,0.8820000000000001,Unfavorable
16.0,5.0,31.0,Third call,65 and over,White,,Grassley,Vilsack,Disapprove,Disapprove,Neither,No,No,Yes,Yes,Same,Perot,Democrat,HS grad,15 to 30K,Moderate,65 and over,Spend on educ,State,Complete,Central,60 and over,60 and over,Democrat,65 and over,0.898,Favorable
16.0,5.0,32.0,Third call,50-59,White,Male,Grassley,Lightfoot,Disapprove,Approve,Oppose Clinton,Yes,Yes,Yes,No,Worse,Dole,Independent,Some college,15 to 30K,Conservative,18 to 64,Cut taxes,State,Complete,Central,45 to 59,50 to 59,Independent/Other,50 to 64,0.785,Unfavorable
16.0,5.0,33.0,Third call,30-39,White,Male,Grassley,Lightfoot,Disapprove,Disapprove,Neither,No,No,No,Yes,Same,Dole,Republican,College grad,30 to 50K,Conservative,18 to 64,Cut taxes,State,Complete,Central,30 to 44,30 to 39,Republican,30 to 39,0.785,Unfavorable
16.0,5.0,34.0,Third call,30-39,White,Male,Grassley,Vilsack,Disapprove,Disapprove,Neither,No,No,No,Yes,Same,Clinton,Independent,College grad,30 to 50K,Moderate,18 to 64,Spend on educ,State,Complete,Central,30 to 44,30 to 39,Independent/Other,30 to 39,0.8,Unfavorable
16.0,5.0,35.0,Third call,65 and over,White,Female,Grassley,Lightfoot,Approve,,Neither,No,No,No,Yes,Worse,Dole,Independent,HS grad,15 to 30K,Moderate,65 and over,Spend on educ,State,Complete,Central,60 and over,60 and over,Independent/Other,65 and over,0.8720000000000001,
16.0,5.0,36.0,Third call,65 and over,White,Male,Grassley,,,Disapprove,,,,,,,,,,,,65 and over,,State,Not complete,Central,60 and over,60 and over,,65 and over,0.891,Unfavorable
16.0,5.0,37.0,Third call,50-59,White,Female,Osterberg,Lightfoot,Approve,Approve,Neither,No,No,No,No,Better,Clinton,Democrat,HS grad,Under 15K,,18 to 64,Spend on educ,State,Complete,Central,45 to 59,50 to 59,Democrat,50 to 64,0.7840000000000001,Favorable
16.0,5.0,38.0,Third call,45-49,White,Male,Grassley,Lightfoot,Approve,Disapprove,Neither,,No,No,,Same,Clinton,Something else,Some college,,,18 to 64,,State,Complete,Central,45 to 59,40 to 49,Independent/Other,40 to 49,0.785,
16.0,7.0,1.0,First call,60-64,White,Male,Grassley,Lightfoot,Disapprove,Approve,Neither,Yes,Yes,Yes,No,Same,Dole,Republican,HS grad,30 to 50K,Moderate,18 to 64,Cut taxes,State,Complete,East,60 and over,60 and over,Republican,50 to 64,1.341,Unfavorable
16.0,7.0,2.0,First call,30-39,White,Male,Grassley,Vilsack,Approve,Approve,Neither,No,No,No,Yes,Better,Clinton,Democrat,College grad,75 to 100K,Moderate,18 to 64,Cut taxes,State,Complete,East,30 to 44,30 to 39,Democrat,30 to 39,1.197,Unfavorable
16.0,7.0,3.0,First call,50-59,White,Male,Grassley,Lightfoot,Approve,Approve,Oppose Clinton,Yes,No,Yes,Yes,Worse,Dole,Republican,College grad,50 to 75K,Liberal,18 to 64,Cut taxes,State,Complete,East,45 to 59,50 to 59,Republican,50 to 64,1.176,Unfavorable
16.0,7.0,4.0,First call,45-49,White,Female,Osterberg,Vilsack,Approve,,Support Clinton,No,No,No,No,Better,Clinton,Democrat,Some college,50 to 75K,Moderate,18 to 64,Cut taxes,State,Complete,East,45 to 59,40 to 49,Democrat,40 to 49,1.184,Favorable
16.0,7.0,5.0,First call,30-39,White,Male,Grassley,Vilsack,Approve,Approve,Neither,No,No,No,No,Worse,Dole,Republican,College grad,75 to 100K,Moderate,18 to 64,Cut taxes,State,Complete,East,30 to 44,30 to 39,Republican,30 to 39,1.197,Favorable
16.0,7.0,6.0,First call,30-39,White,Female,Grassley,Vilsack,Approve,Disapprove,Neither,No,No,No,Yes,Better,Clinton,Independent,College grad,75 to 100K,Moderate,18 to 64,Spend on educ,State,Complete,East,30 to 44,30 to 39,Independent/Other,30 to 39,1.13,Unfavorable
16.0,7.0,7.0,First call,50-59,White,Female,Osterberg,Lightfoot,Approve,Approve,Neither,No,No,No,No,Better,Clinton,Democrat,HS grad,,Moderate,18 to 64,Cut taxes,State,Complete,East,45 to 59,50 to 59,Democrat,50 to 64,1.163,Favorable
16.0,7.0,8.0,First call,50-59,White,Female,Osterberg,Vilsack,Approve,Disapprove,Support Clinton,No,No,No,Yes,Better,Clinton,Independent,Some college,30 to 50K,Moderate,18 to 64,Spend on educ,State,Complete,East,45 to 59,50 to 59,Independent/Other,50 to 64,1.184,
16.0,7.0,9.0,First call,30-39,White,Female,Osterberg,Vilsack,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,College grad,75 to 100K,Moderate,18 to 64,Spend on educ,State,Complete,East,30 to 44,30 to 39,Democrat,30 to 39,1.184,Unfavorable
16.0,7.0,10.0,First call,25-29,White,Female,Grassley,Vilsack,Approve,Approve,Neither,No,No,No,No,Same,Clinton,Democrat,Postgrad,75 to 100K,Moderate,18 to 64,Spend on educ,State,Complete,East,18 to 29,25 to 29,Democrat,25 to 29,1.343,Unfavorable
16.0,7.0,11.0,First call,65 and over,,Male,Grassley,Lightfoot,,Disapprove,Oppose Clinton,No,No,No,Yes,Same,Dole,Republican,HS grad,30 to 50K,Conservative,65 and over,,State,Complete,East,60 and over,60 and over,Republican,65 and over,1.341,Unfavorable
16.0,7.0,12.0,First call,30-39,White,Male,Osterberg,Vilsack,Approve,Disapprove,Neither,No,No,No,No,Same,Perot,Something else,College grad,50 to 75K,Moderate,18 to 64,Cut taxes,State,Complete,East,30 to 44,30 to 39,Independent/Other,30 to 39,1.2530000000000001,Unfavorable
16.0,7.0,13.0,First call,65 and over,White,Female,Osterberg,Vilsack,,Disapprove,Neither,No,,Yes,,Same,Clinton,Democrat,HS grad,15 to 30K,,65 and over,Spend on educ,State,Complete,East,60 and over,60 and over,Democrat,65 and over,1.349,Unfavorable
16.0,7.0,14.0,First call,60-64,White,,Osterberg,Vilsack,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,HS grad,75 to 100K,Liberal,18 to 64,Cut taxes,State,Complete,East,60 and over,60 and over,Democrat,50 to 64,1.349,Favorable
16.0,7.0,15.0,Second call,65 and over,White,Male,Osterberg,Vilsack,Approve,Disapprove,,No,,,,,,,,,,65 and over,Cut taxes,State,Not complete,East,60 and over,60 and over,,65 and over,1.429,Favorable
16.0,7.0,16.0,Second call,45-49,White,Male,Osterberg,Vilsack,Approve,Disapprove,Support Clinton,No,No,No,Yes,Better,Clinton,Democrat,College grad,75 to 100K,Moderate,18 to 64,,State,Complete,East,45 to 59,40 to 49,Democrat,40 to 49,1.2530000000000001,Unfavorable
16.0,7.0,17.0,Second call,65 and over,White,Female,Grassley,Vilsack,Approve,Approve,Neither,No,No,No,No,Better,Other,Something else,HS grad,Under 15K,Moderate,65 and over,Cut taxes,State,Complete,East,60 and over,60 and over,Independent/Other,65 and over,1.288,Favorable
16.0,7.0,18.0,Second call,30-39,White,Male,Grassley,Lightfoot,Disapprove,,Neither,No,No,No,No,Same,Did not vote,Republican,HS grad,30 to 50K,Moderate,18 to 64,,State,Complete,East,30 to 44,30 to 39,Republican,30 to 39,1.176,Unfavorable
16.0,7.0,19.0,Second call,30-39,White,Female,Grassley,Vilsack,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Independent,HS grad,50 to 75K,Moderate,18 to 64,Spend on educ,State,Complete,East,30 to 44,30 to 39,Independent/Other,30 to 39,1.13,Favorable
16.0,7.0,20.0,Second call,30-39,White,Female,Grassley,Other,Approve,,Oppose Clinton,No,No,No,No,Same,Clinton,Democrat,HS grad,Under 15K,Moderate,18 to 64,Spend on educ,State,Complete,East,30 to 44,30 to 39,Democrat,30 to 39,1.246,Favorable
16.0,7.0,21.0,Second call,30-39,White,Male,Osterberg,Vilsack,Approve,Disapprove,Support Clinton,No,No,No,No,Better,Clinton,Independent,Some college,50 to 75K,Moderate,18 to 64,Cut taxes,State,Complete,East,30 to 44,30 to 39,Independent/Other,30 to 39,1.2530000000000001,Favorable
16.0,7.0,22.0,Second call,45-49,White,Male,Grassley,Vilsack,Approve,Approve,Neither,No,No,No,No,Same,Clinton,Democrat,Some college,30 to 50K,Moderate,18 to 64,Cut taxes,State,Complete,East,45 to 59,40 to 49,Democrat,40 to 49,1.197,Favorable
16.0,7.0,23.0,Second call,50-59,White,Male,Grassley,Lightfoot,Disapprove,Disapprove,Oppose Clinton,Yes,Yes,Yes,No,Same,Dole,Republican,Some college,75 to 100K,Conservative,18 to 64,Cut taxes,State,Complete,East,45 to 59,50 to 59,Republican,50 to 64,1.176,Unfavorable
16.0,7.0,24.0,Third call,30-39,White,Male,,Lightfoot,Approve,Disapprove,Neither,No,No,No,No,Same,Perot,Democrat,Some college,50 to 75K,Moderate,18 to 64,Spend on educ,State,Complete,East,30 to 44,30 to 39,Democrat,30 to 39,1.2,Unfavorable
16.0,7.0,25.0,Third call,40-44,White,Male,Grassley,Lightfoot,Approve,Approve,Neither,No,No,No,No,Better,Clinton,Independent,Some college,75 to 100K,Moderate,18 to 64,Spend on educ,State,Complete,East,30 to 44,40 to 49,Independent/Other,40 to 49,1.176,Favorable
16.0,7.0,26.0,Third call,40-44,White,Female,Grassley,Lightfoot,Approve,Approve,Neither,No,No,Yes,No,Same,Clinton,Republican,Postgrad,75 to 100K,Conservative,18 to 64,Spend on educ,State,Complete,East,30 to 44,40 to 49,Republican,40 to 49,1.111,Unfavorable
16.0,7.0,27.0,Third call,60-64,White,Male,Osterberg,Vilsack,Approve,Approve,Support Clinton,,No,No,No,Better,Clinton,Democrat,No HS,30 to 50K,Moderate,18 to 64,Spend on educ,State,Complete,East,60 and over,60 and over,Democrat,50 to 64,1.429,Favorable
16.0,7.0,28.0,Third call,45-49,White,Male,Osterberg,Vilsack,Approve,Approve,Neither,No,No,Yes,No,Better,Dole,Republican,College grad,30 to 50K,Moderate,18 to 64,Spend on educ,State,Complete,East,45 to 59,40 to 49,Republican,40 to 49,1.2530000000000001,Unfavorable
16.0,7.0,29.0,Third call,18-24,White,Female,Osterberg,Vilsack,Approve,Approve,Support Clinton,No,No,No,No,Better,Clinton,Democrat,Some college,50 to 75K,Moderate,18 to 64,Spend on educ,State,Complete,East,18 to 29,18 to 24,Democrat,18 to 24,1.408,Favorable
16.0,7.0,30.0,Third call,50-59,White,Female,Grassley,Lightfoot,Approve,,Neither,,,Yes,,Same,Dole,Republican,Some college,50 to 75K,Conservative,18 to 64,Spend on educ,State,Complete,East,45 to 59,50 to 59,Republican,50 to 64,1.111,Unfavorable
16.0,7.0,31.0,Third call,65 and over,White,Male,Grassley,Vilsack,Approve,Approve,Support Clinton,No,No,No,No,Same,Clinton,Independent,HS grad,,Moderate,65 and over,Cut taxes,State,Complete,East,60 and over,60 and over,Independent/Other,65 and over,1.3639999999999999,Favorable
16.0,7.0,32.0,Third call,25-29,White,Female,Osterberg,Lightfoot,Approve,Approve,Neither,No,No,No,Yes,Better,Clinton,Democrat,HS grad,50 to 75K,Moderate,18 to 64,Spend on educ,State,Complete,East,18 to 29,25 to 29,Democrat,25 to 29,1.384,Unfavorable
16.0,7.0,33.0,Third call,30-39,White,Male,Grassley,Lightfoot,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,Better,Dole,Independent,Postgrad,100K or more,Moderate,18 to 64,Cut taxes,State,Complete,East,30 to 44,30 to 39,Independent/Other,30 to 39,1.176,Unfavorable
16.0,7.0,34.0,Third call,30-39,White,Female,Osterberg,Vilsack,Approve,Approve,Neither,No,No,No,Yes,Better,Clinton,Independent,Some college,50 to 75K,Moderate,18 to 64,Cut taxes,State,Complete,East,30 to 44,30 to 39,Independent/Other,30 to 39,1.184,Favorable
16.0,7.0,35.0,Third call,45-49,White,Male,Grassley,Lightfoot,Disapprove,Disapprove,Neither,No,No,No,No,Better,Clinton,Independent,Some college,50 to 75K,Conservative,18 to 64,Cut taxes,State,Complete,East,45 to 59,40 to 49,Independent/Other,40 to 49,1.176,Unfavorable
16.0,7.0,36.0,Third call,60-64,White,Female,Grassley,Lightfoot,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Yes,Worse,Dole,Republican,HS grad,,Moderate,18 to 64,Spend on educ,State,Complete,East,60 and over,60 and over,Republican,50 to 64,1.266,Unfavorable
16.0,7.0,37.0,Third call,40-44,White,Male,Grassley,Lightfoot,Disapprove,Disapprove,Neither,No,Yes,Yes,No,Better,Dole,Republican,Some college,75 to 100K,Conservative,18 to 64,Spend on educ,State,Complete,East,30 to 44,40 to 49,Republican,40 to 49,1.176,Unfavorable
16.0,7.0,38.0,Third call,30-39,White,Female,Grassley,Lightfoot,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,Yes,Same,Dole,Republican,College grad,75 to 100K,Moderate,18 to 64,Spend on educ,State,Complete,East,30 to 44,30 to 39,Republican,30 to 39,1.111,Unfavorable
16.0,7.0,39.0,Third call,30-39,White,Female,Grassley,Lightfoot,Disapprove,Approve,Neither,Yes,Yes,Yes,Yes,Better,Dole,Republican,College grad,50 to 75K,Moderate,18 to 64,Spend on educ,State,Complete,East,30 to 44,30 to 39,Republican,30 to 39,1.111,Unfavorable
16.0,7.0,40.0,Third call,50-59,White,Male,Grassley,Lightfoot,Disapprove,Disapprove,Neither,No,No,Yes,Yes,Better,Dole,Independent,Some college,75 to 100K,Moderate,18 to 64,Spend on educ,State,Complete,East,45 to 59,50 to 59,Independent/Other,50 to 64,1.176,Unfavorable
16.0,7.0,41.0,Third call,40-44,White,Female,Osterberg,Vilsack,Approve,Disapprove,Neither,No,No,No,Yes,Better,Clinton,Independent,Some college,75 to 100K,Moderate,18 to 64,Spend on educ,State,Complete,East,30 to 44,40 to 49,Independent/Other,40 to 49,1.184,Unfavorable
16.0,7.0,42.0,Third call,30-39,White,Female,Grassley,Vilsack,Approve,Disapprove,Neither,No,No,Yes,No,Better,Clinton,Independent,College grad,30 to 50K,Liberal,18 to 64,Spend on educ,State,Complete,East,30 to 44,30 to 39,Independent/Other,30 to 39,1.13,Unfavorable
16.0,7.0,43.0,Third call,30-39,White,Female,Osterberg,Vilsack,Disapprove,Disapprove,Neither,No,No,Yes,No,Better,Dole,Independent,HS grad,,Moderate,18 to 64,Spend on educ,State,Complete,East,30 to 44,30 to 39,Independent/Other,30 to 39,1.184,Unfavorable
16.0,7.0,44.0,Third call,30-39,Other,Male,Osterberg,Vilsack,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,,50 to 75K,Liberal,18 to 64,Spend on educ,State,Complete,East,30 to 44,30 to 39,Democrat,30 to 39,1.2530000000000001,Favorable
16.0,7.0,45.0,Third call,30-39,White,Female,Osterberg,Vilsack,Approve,Disapprove,Neither,No,No,No,Yes,Same,Clinton,Democrat,College grad,50 to 75K,Moderate,18 to 64,Spend on educ,State,Complete,East,30 to 44,30 to 39,Democrat,30 to 39,1.184,Favorable
16.0,7.0,46.0,Third call,40-44,White,Male,Grassley,Lightfoot,Disapprove,Approve,Neither,No,No,Yes,Yes,Same,Dole,Republican,Some college,50 to 75K,Moderate,18 to 64,Spend on educ,State,Complete,East,30 to 44,40 to 49,Republican,40 to 49,1.176,Unfavorable
16.0,7.0,47.0,Third call,50-59,White,Male,Osterberg,Lightfoot,Disapprove,Approve,Neither,Yes,No,Yes,No,Same,Dole,Republican,HS grad,50 to 75K,Conservative,18 to 64,Spend on educ,State,Complete,East,45 to 59,50 to 59,Republican,50 to 64,1.231,Unfavorable
16.0,7.0,48.0,Third call,40-44,White,Female,Osterberg,Vilsack,Approve,Approve,Neither,No,No,No,No,Same,Clinton,Democrat,College grad,75 to 100K,Moderate,18 to 64,Spend on educ,State,Complete,East,30 to 44,40 to 49,Democrat,40 to 49,1.184,Unfavorable
16.0,7.0,49.0,Third call,30-39,White,Male,Grassley,Vilsack,Approve,Disapprove,Neither,No,No,No,No,Better,Clinton,Democrat,Some college,30 to 50K,Liberal,18 to 64,Spend on educ,State,Complete,East,30 to 44,30 to 39,Democrat,30 to 39,1.197,Favorable
16.0,7.0,50.0,Third call,65 and over,White,Female,Grassley,Lightfoot,Disapprove,Disapprove,Oppose Clinton,No,Yes,Yes,,Worse,Dole,Republican,HS grad,15 to 30K,Conservative,65 and over,Cut taxes,State,Complete,East,60 and over,60 and over,Republican,65 and over,1.266,Unfavorable
16.0,7.0,51.0,Third call,30-39,White,Male,Grassley,Lightfoot,Disapprove,Approve,Oppose Clinton,No,Yes,Yes,,Better,Dole,Republican,Some college,100K or more,Conservative,18 to 64,Cut taxes,State,Complete,East,30 to 44,30 to 39,Republican,30 to 39,1.176,Unfavorable
16.0,7.0,52.0,Third call,25-29,White,Male,Grassley,Lightfoot,Disapprove,Approve,Neither,No,No,Yes,,Better,Dole,Republican,College grad,75 to 100K,Moderate,18 to 64,Cut taxes,State,Complete,East,18 to 29,25 to 29,Republican,25 to 29,1.399,Unfavorable
16.0,7.0,53.0,Third call,25-29,White,Female,Grassley,Lightfoot,Disapprove,Disapprove,Neither,Yes,Yes,Yes,Yes,Worse,Dole,Republican,College grad,15 to 30K,Conservative,18 to 64,Spend on educ,State,Complete,East,18 to 29,25 to 29,Republican,25 to 29,1.321,Unfavorable
16.0,7.0,54.0,Third call,40-44,White,Male,Grassley,Vilsack,Approve,Approve,Neither,,No,No,Yes,Same,Dole,Republican,Some college,75 to 100K,Moderate,18 to 64,Spend on educ,State,Complete,East,30 to 44,40 to 49,Republican,40 to 49,1.197,Unfavorable
16.0,7.0,55.0,Third call,30-39,White,Male,Grassley,Lightfoot,Disapprove,Disapprove,Neither,No,Yes,Yes,Yes,Same,Other,Republican,Some college,50 to 75K,Conservative,18 to 64,Cut taxes,State,Complete,East,30 to 44,30 to 39,Republican,30 to 39,1.176,Unfavorable
16.0,30.0,1.0,First call,,White,Female,Grassley,Vilsack,Approve,Disapprove,Neither,No,No,No,No,Same,Clinton,Democrat,Some college,30 to 50K,Moderate,,,State,Complete,West,,,Democrat,,0.752,Unfavorable
16.0,30.0,2.0,First call,50-59,White,Female,Osterberg,Vilsack,Approve,Disapprove,,No,,,,,,,,,,18 to 64,Spend on educ,State,Not complete,West,45 to 59,50 to 59,,50 to 64,0.877,Unfavorable
16.0,30.0,3.0,First call,30-39,White,Male,Grassley,Lightfoot,Disapprove,Disapprove,Neither,No,No,No,Yes,Better,Dole,Republican,Postgrad,100K or more,Moderate,18 to 64,Spend on educ,State,Complete,West,30 to 44,30 to 39,Republican,30 to 39,0.758,Unfavorable
