ID,SENNJ18,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,CALL,CDNUM,CONTROLSEN,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,ETHHUGIN,ETHMENENDEZ,ETHNJ18,FAVHUGIN,FAVMENENDEZ,FAVSENNJ18,FTVOTER18,GEOCODE,HEALTHCARE18,IMPEACH18,INC100K,INC30K,INC50K,INCOME3,INCOME18GEN,INCWHITE,ISSUE18,LATINO,NEC,NEC2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACE2B,RACEAI,REGION,RUSSIA18,SEN,SEX,SEXBYRACE,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,TAXCUTS18,TELEPOLL,TRUMP2,TRUMP4,TRUMPIMM,VERSION,WEIGHT,WHNCLINC,ZIPCODE
32802.0,Bob Menendez,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 1,8.0,The Democratic Party,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,Bob Hugin does not,Bob Menendez does not,Neither does,Unfavorable,Unfavorable,Neither,No,1.0,Major changes,Yes,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and white",Health care,No,Good,Excellent or good,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,Democratic Men,White Democrat,Liberal,46.0,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,White,East,Justified,The Democratic candidate,Male,White men,"Cities 50,000-500,000","Cities over 50,000",English,New Jersey,Other,No impact,Election day exit poll,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1,0.832818269729614,No,7302.0
30869.0,Bob Menendez,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 1,2.0,,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,,,Yes,5.0,,,,,,,,,,No,,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate,38.0,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire,White,White,White,East,,The Democratic candidate,Male,White men,Suburbs,Suburbs,English,New Jersey,White suburban men,,Election day exit poll,Strongly or somewhat disapprove,Strongly disapprove,,Version 1,1.19845592975616,,8312.0
30858.0,Bob Menendez,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,Latino 60+,Latino 45-64,Complete,Call 1,3.0,The Democratic Party,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Bob Hugin does not,Bob Menendez does not,Neither does,Unfavorable,Unfavorable,Neither,No,5.0,Major changes,Yes,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and non white",Health care,Yes,Not so good,Not so good or poor,45+,18-64,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent men,Independent,Independent Men,All others,Conservative,87.0,Moderate/Liberal Republicans,Conservative Independents,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,East,Politically motivated,The Democratic candidate,Male,Latino men,Suburbs,Suburbs,English,New Jersey,Other,Hurt,Election day exit poll,Strongly or somewhat disapprove,Somewhat disapprove,Too tough,Version 1,1.421670794487,No,8753.0
30856.0,Bob Menendez,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,Latino 30-44,All others,Complete,Call 1,11.0,The Democratic Party,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,Bob Hugin does,Bob Menendez does,Both do,Unfavorable,Favorable,Only Bob Menendez,Yes,1.0,Minor changes,No,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and non white",The economy,Yes,Good,Excellent or good,18-44,18-64,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent women,Independent,Independent Women,All others,Liberal,31.0,Moderate/Liberal Republicans,Liberal Independents,Other,American Indian,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,East,Politically motivated,The Democratic candidate,Female,Latino women,Suburbs,Suburbs,English,New Jersey,Other,No impact,Election day exit poll,Strongly or somewhat approve,Somewhat approve,Too tough,Version 1,0.301095992326736,No,7003.0
61495.0,Bob Menendez,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 3,1.0,The Republican Party,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,Bob Hugin does not,Bob Menendez does not,Neither does,Unfavorable,Unfavorable,Neither,No,5.0,Major changes,No,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Health care,No,Good,Excellent or good,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Conservative,39.0,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,White,White,White,East,Justified,The Democratic candidate,Male,White men,Suburbs,Suburbs,English,New Jersey,White suburban men,Hurt,Election day exit poll,Strongly or somewhat disapprove,Somewhat disapprove,About right,Version 1,1.62144041061401,No,8080.0
61750.0,Bob Menendez,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,Latino 30-44,Latino 30-44,Complete,Call 3,8.0,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,,1.0,,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and non white",,Yes,Not so good,Not so good or poor,18-44,18-64,Democrat,Non-black Democrat,Latino Democrat,Democratic men,Democrat,Democratic Men,Non-White Democrats,Conservative,108.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Other,Hispanic/Latino,National questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,East,,The Democratic candidate,Male,Latino men,Suburbs,Suburbs,English,New Jersey,Other,Hurt,Election day exit poll,,,,Version 4,1.33154475688934,No,7202.0
42437.0,Bob Menendez,45-65,30-59,45-49,45+,18-49,45-59,40-49,Black 45-59,Black 45-59,Black 45-64,Complete,Call 2,12.0,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,,4.0,,,,,,,,,Health care,No,,,45+,18-64,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,,50.0,,,Black,Black,National questionnaire,Black,Non-white,Black,East,,The Democratic candidate,Female,Black women,"Cities 50,000-500,000","Cities over 50,000",English,New Jersey,Other,,Election day exit poll,Omit,Omit,,Version 3,0.776816487312317,,8618.0
63148.0,Bob Menendez,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,Complete,Call 3,8.0,The Democratic Party,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Bob Hugin does not,Bob Menendez does not,Neither does,Unfavorable,Unfavorable,Neither,No,1.0,Major changes,Yes,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000",$200.000 or more,"Over $50,000 and white",Health care,No,Excellent,Excellent or good,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate,46.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,White,White,East,Politically motivated,The Democratic candidate,Male,White men,"Cities 50,000-500,000","Cities over 50,000",English,New Jersey,Other,No impact,Election day exit poll,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1,0.832818269729614,No,7302.0
61742.0,Bob Menendez,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,Latino 45-59,Latino 45-64,Complete,Call 3,9.0,The Democratic Party,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,Bob Hugin does not,Bob Menendez does,Only Bob Menendez does,Unfavorable,Favorable,Only Bob Menendez,Yes,2.0,Major changes,Yes,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and non white",Immigration,Yes,Excellent,Excellent or good,45+,18-64,Democrat,Non-black Democrat,Latino Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Conservative,3.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Other,Hispanic/Latino,State questionnaire,Hispanic/Latino,Non-white,Hispanic/Latino,East,Justified,The Democratic candidate,Female,Latino women,Suburbs,Suburbs,English,New Jersey,Other,Hurt,Election day exit poll,Strongly or somewhat disapprove,Somewhat disapprove,Not tough enough,Version 1,6.42335081100464,No,7010.0
30842.0,Bob Menendez,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,Call 1,7.0,The Democratic Party,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,Bob Hugin does not,Bob Menendez does,Only Bob Menendez does,Unfavorable,Favorable,Only Bob Menendez,No,3.0,Minor changes,Yes,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and non white",Health care,No,Not so good,Not so good or poor,45+,18-64,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Moderate,114.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,State questionnaire,Black,Non-white,Black,East,Politically motivated,The Democratic candidate,Female,Black women,Suburbs,Suburbs,English,New Jersey,Other,Hurt,Election day exit poll,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1,0.455619245767593,No,8886.0
44357.0,Bob Menendez,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 2,4.0,The Democratic Party,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,Omit,Omit,Omit,Unfavorable,Favorable,Only Bob Menendez,No,4.0,Major changes,No,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Health care,No,Good,Excellent or good,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,Democratic Men,White Democrat,Liberal,65.0,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,White,East,Justified,The Democratic candidate,Male,White men,Suburbs,Suburbs,English,New Jersey,White suburban men,No impact,Election day exit poll,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1,0.608314514160156,No,7739.0
30837.0,Bob Menendez,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 1,2.0,,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,,,,5.0,Major changes,Yes,,,,,,,Health care,No,,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Liberal,96.0,Moderate/Liberal Republicans,Liberal Independents,White,White,National questionnaire,White,White,White,East,Justified,The Democratic candidate,Female,White women,Suburbs,Suburbs,English,New Jersey,White suburban women,,Election day exit poll,,,Too tough,Version 2,1.16553616523743,,8318.0
30835.0,Bob Menendez,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 1,3.0,The Democratic Party,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,Bob Hugin does not,Bob Menendez does,Only Bob Menendez does,Unfavorable,Favorable,Only Bob Menendez,No,5.0,Major changes,Yes,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Health care,No,Not so good,Not so good or poor,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Liberal,87.0,Liberal Democrats,Liberal Democrats,White,White,State questionnaire,White,White,White,East,Justified,The Democratic candidate,Female,White women,Suburbs,Suburbs,English,New Jersey,White suburban women,Hurt,Election day exit poll,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1,0.397260874509811,No,8753.0
30833.0,Bob Menendez,45-65,30-59,45-49,45+,18-49,45-59,40-49,Black 45-59,Black 45-59,Black 45-64,Complete,Call 1,8.0,,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,,1.0,,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and non white",,No,Good,Excellent or good,45+,18-64,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Moderate,108.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,National questionnaire,Black,Non-white,Black,East,,The Democratic candidate,Female,Black women,Suburbs,Suburbs,English,New Jersey,Other,No impact,Election day exit poll,,,,Version 4,0.801483750343323,No,7202.0
32762.0,Bob Menendez,45-65,30-59,50-59,45+,50+,45-59,50-64,Black 45-59,Black 45-59,Black 45-64,Complete,Call 1,8.0,The Democratic Party,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Bob Hugin does not,Bob Menendez does,Only Bob Menendez does,Unfavorable,Favorable,Only Bob Menendez,No,1.0,Major changes,Yes,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and non white",Health care,No,Not so good,Not so good or poor,45+,18-64,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Moderate,46.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,State questionnaire,Black,Non-white,Black,East,Justified,The Democratic candidate,Female,Black women,"Cities 50,000-500,000","Cities over 50,000",English,New Jersey,Other,No impact,Election day exit poll,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1,1.0635073184967,No,7302.0
61726.0,Bob Menendez,18-29,18-29,18-24,18-44,18-49,18-29,18-24,Black 18-29,Black 18-29,Black 18-29,Complete,Call 3,12.0,,Associate's degree (AA or AS),No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,,4.0,Major changes,No,,,,,,,Health care,No,,,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Liberal,50.0,Liberal Democrats,Liberal Democrats,Black,Black,National questionnaire,Black,Non-white,Black,East,Politically motivated,The Democratic candidate,Female,Black women,"Cities 50,000-500,000","Cities over 50,000",English,New Jersey,Other,,Election day exit poll,,,Too tough,Version 2,0.690193474292755,,8618.0
30829.0,Bob Menendez,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 1,1.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,,,5.0,Major changes,Yes,,,,,,,The economy,No,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Liberal,42.0,Liberal Democrats,Liberal Democrats,White,White,National questionnaire,White,White,White,East,Justified,The Democratic candidate,Female,White women,Suburbs,Suburbs,English,New Jersey,White suburban women,,Election day exit poll,,,Too tough,Version 2,0.402629256248474,,8080.0
67759.0,Bob Menendez,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Black 18-29,Black 18-29,Black 18-29,Complete,Call 3,8.0,The Democratic Party,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Bob Hugin does not,Bob Menendez does not,Neither does,Unfavorable,Unfavorable,Neither,No,1.0,Major changes,Yes,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and non white",Health care,No,Poor,Not so good or poor,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democratic women,Democrat,Democratic Women,Non-White Democrats,Moderate,35.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,State questionnaire,Black,Non-white,Black,East,Justified,The Democratic candidate,Female,Black women,"Cities 50,000-500,000","Cities over 50,000",English,New Jersey,Other,Hurt,Election day exit poll,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1,0.862028002738953,No,7104.0
30827.0,Bob Menendez,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,Call 1,5.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,,,,,,,3.0,Major changes,Yes,,,,,,,Health care,No,,,45+,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,Democratic Men,White Democrat,Moderate,102.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,National questionnaire,White,White,White,East,Justified,The Democratic candidate,Male,White men,Suburbs,Suburbs,English,New Jersey,White suburban men,,Election day exit poll,,,Too tough,Version 2,0.829844892024994,,7860.0
30826.0,Bob Menendez,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Black 30-44,Black 30-44,Black 30-44,Complete,Call 1,8.0,The Democratic Party,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,Omit,Omit,Omit,Unfavorable,Unfavorable,Neither,No,1.0,Major changes,Yes,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and non white",The economy,No,Good,Excellent or good,18-44,18-64,Democrat,Black Democrat,Black Democrat,Democratic men,Democrat,Democratic Men,Non-White Democrats,Moderate,35.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,Black,Black,State questionnaire,Black,Non-white,Black,East,Justified,The Democratic candidate,Male,Black men,"Cities 50,000-500,000","Cities over 50,000",English,New Jersey,Other,Hurt,Election day exit poll,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1,1.22921085357666,No,7104.0
42411.0,Bob Menendez,45-65,30-59,45-49,45+,18-49,45-59,40-49,Black 45-59,Black 45-59,Black 45-64,Not complete,Call 2,12.0,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,,4.0,,,,,,,,,,,,,45+,18-64,,,,,,,,,50.0,,,Black,Black,National questionnaire,Black,Non-white,Black,East,,The Democratic candidate,Female,Black women,"Cities 50,000-500,000","Cities over 50,000",,New Jersey,Other,,Election day exit poll,,,,Version 2,0.776816487312317,,8618.0
43292.0,Bob Menendez,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,Call 2,9.0,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White women college graduates,,,,,,,,2.0,,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",,No,Not so good,Not so good or poor,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Liberal,7.0,Liberal Democrats,Liberal Democrats,White,White,National questionnaire,White,White,White,East,,The Democratic candidate,Female,White women,Suburbs,Suburbs,English,New Jersey,White suburban women,No impact,Election day exit poll,,,,Version 4,1.00281381607056,No,7605.0
