ID,SENFL18,GOVFL18,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,BACKSIDE,BRNAGAIN,CALL,CDNUM,CLIMATECHANGE,CONTROLHOUSE,CONTROLSEN,CUBAN,CUBANPR4,DESANTISLIB,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,FAVDEM2,FAVNELSON,FAVPARTY,FAVREP2,FAVSCOTT,FAVSENFL18,FINSIT2,FLENVIRO18,FORTRUMPS,FTVOTER18,GEOCODE,GILLUMLIB,GOV,GUN16,GUNOWNER12,HEALTHCARE18,HEALTHPRE18,HURRICANEFL18,IMPEACH18,INC100K,INC30K,INC50K,INCOME3,INCOME18GEN,INCWHITE,ISSUE18,KAVFL18,KAVFL18A,KAVFL18B,LATINO,MARRIED,NEC,NEC2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,PUERTORICAN,QRACE3,QRACEAI,QTYPE,RACE,RACE18,RACE18B,RACE2B,RACEAI,RACEFACTOR,REGION,RUSSIA18,SEN,SEX,SEXBYRACE,SEXUALHARASS,SEXUALHARASSB,SEXWED,SIZEPLAC,SIZEPLC3,SPANISHQ,STANUM,SUBURBWHITE,TAXCUTS18,TELEPOLL,TIME18SEN,TIME18SENMONTH,TIME18SENWEEK,TRADE18,TRUMP2,TRUMP4,TRUMPIMM,VERSION,VOTE2016,WEIGHT,WHNCLINC,WHTEVANG,WOMEN,WOMEN2,WORK,ZIPCODE
12575.0,Other,Other,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,8.0,,,,No,No,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,,,,,,,,,,2.0,,Other,,,Minor changes,,,,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and white",Gun policy,,,,No,Yes,Excellent,Excellent or good,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,No,White,White,State questionnaire,White,,,White,White,,South,Justified,Other,Male,White men,,,Married men,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Other,No impact,Telephone survey,In the last month,In the last month,Before that,,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1,Other,0.173479631543159,No,,,,No,32907.0
12576.0,Bill Nelson,Andrew Gillum,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,19.0,,,,No,No,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,,,,,,,,,,,4.0,,The Democratic candidate,,,Major changes,,,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Health care,,,,No,Yes,Good,Excellent or good,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,No,White,White,State questionnaire,White,,,White,White,,South,Justified,The Democratic candidate,Female,White women,,,Married women,"Cities 10,000-50,000",Small Cities/Rural,English,Florida,Other,Hurt,Telephone survey,In the last month,In the last month,Before that,,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1,Hillary Clinton,1.01693320274353,No,,,,No,34105.0
12577.0,Bill Nelson,Andrew Gillum,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,3.0,,,,No,No,,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,,,,,,,1.0,,The Democratic candidate,,,Minor changes,,,,,,,,,,Health care,,,,No,Yes,Good,Excellent or good,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,,,,,No,White,White,State questionnaire,White,,,White,White,,South,Politically motivated,The Democratic candidate,Female,White women,,,Married women,"Cities over 500,000","Cities over 50,000",English,Florida,Other,No impact,Telephone survey,In the last month,In the last month,Before that,,Strongly or somewhat approve,Somewhat approve,About right,Version 1,Hillary Clinton,1.20817184448242,,,,,No,32234.0
12578.0,Bill Nelson,Andrew Gillum,45-65,60+,60-64,45+,50+,60+,50-64,Non-Black 60+,All others,All others,Complete,,,5.0,,,,No,No,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,,,,,2.0,,The Democratic candidate,,,Minor changes,,,,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and non white",Health care,,,,No,Yes,Good,Excellent or good,45+,18-64,Independent/Something else,Non-black non-Democrat,All Other,Independent men,Independent,Independent Men,All others,Moderate,,Moderate/Liberal Republicans,Moderate Independents,No,Other,Other,State questionnaire,Other,,,Non-white,Other,,South,Justified,The Democratic candidate,Male,All other races,,,Married men,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Other,No impact,Telephone survey,Before that,Before that,Before that,,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1,Hillary Clinton,4.31222724914551,No,,,,Yes,32818.0
12579.0,Bill Nelson,Andrew Gillum,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,20.0,,,,No,No,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,,,,,,,,,,,5.0,,The Democratic candidate,,,Major changes,,,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Health care,,,,No,Yes,Good,Excellent or good,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,No,White,White,State questionnaire,White,,,White,White,,South,Justified,The Democratic candidate,Female,White women,,,Married women,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Other,No impact,Telephone survey,Before that,Before that,Before that,,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1,Hillary Clinton,0.438205927610397,No,,,,No,33321.0
12580.0,Bill Nelson,Andrew Gillum,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,5.0,,,,No,No,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White women non college graduates,,,,,,,,,,,2.0,,The Democratic candidate,,,Minor changes,,,,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and white",Gun policy,,,,No,Yes,Good,Excellent or good,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Independent,Independent Women,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,No,White,White,State questionnaire,White,,,White,White,,South,Justified,The Democratic candidate,Female,White women,,,Married women,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Other,No impact,Telephone survey,In the last month,In the last month,Before that,,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1,Hillary Clinton,1.39127242565155,No,,,,No,32819.0
12581.0,Rick Scott,Ron DeSantis,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,Complete,,,17.0,,,,No,No,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,,,,,,,,,,,4.0,,The Republican candidate,,,Major changes,,,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Immigration,,,,No,Yes,Good,Excellent or good,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,Independent Men,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,No,White,White,State questionnaire,White,,,White,White,,South,Politically motivated,The Republican candidate,Male,White men,,,Married men,Suburbs,Suburbs,English,Florida,White suburban men,Helped,Telephone survey,In the last month,In the last month,Before that,,Strongly or somewhat approve,Strongly approve,About right,Version 1,Donald Trump,0.802834272384644,No,,,,Yes,33917.0
12582.0,Rick Scott,Ron DeSantis,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,8.0,,,,No,No,,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,,,,,,,2.0,,The Republican candidate,,,Major changes,,,,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and white",Gun policy,,,,No,No,Good,Excellent or good,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,,Independent/Something else,Conservative Republicans,No,White,White,State questionnaire,White,,,White,White,,South,Politically motivated,The Republican candidate,Female,White women,,,Non married women,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Other,No impact,Telephone survey,In the last month,In the last month,Before that,,Strongly or somewhat approve,Strongly approve,About right,Version 1,Donald Trump,0.838149547576904,Yes,,,,No,32904.0
12583.0,Rick Scott,Ron DeSantis,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,7.0,,,,No,No,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,,,,,,,,,,,2.0,,The Republican candidate,,,Major changes,,,,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and white",Immigration,,,,No,Yes,Excellent,Excellent or good,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Liberal,,Conservative Republicans,Mod./Liberal Republicans,No,White,White,State questionnaire,White,,,White,White,,South,Politically motivated,The Republican candidate,Male,White men,,,Married men,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Other,Helped,Telephone survey,Omit,Omit,Omit,,Strongly or somewhat approve,Strongly approve,About right,Version 1,Donald Trump,1.40659642219543,No,,,,No,32826.0
12584.0,Rick Scott,Ron DeSantis,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,11.0,,,,No,No,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,,,,,,,,,,,4.0,,The Republican candidate,,,Major changes,,,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Immigration,,,,No,Yes,Excellent,Excellent or good,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,No,White,White,State questionnaire,White,,,White,White,,South,Politically motivated,The Republican candidate,Male,White men,,,Married men,Suburbs,Suburbs,English,Florida,White suburban men,No impact,Telephone survey,Before that,Before that,Before that,,Strongly or somewhat approve,Strongly approve,Not tough enough,Version 1,Donald Trump,0.72158944606781,No,,,,No,34609.0
12585.0,Rick Scott,Ron DeSantis,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,,5.0,,,,No,No,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,,,,,,,,,,,4.0,,The Republican candidate,,,Minor changes,,,,,,,,,,Immigration,,,,No,Yes,Excellent,Excellent or good,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican women,Republican,Republican Women,White Republican,Conservative,,Independent/Something else,Conservative Republicans,No,White,White,State questionnaire,White,,,White,White,,South,Politically motivated,The Republican candidate,Female,White women,,,Married women,Suburbs,Suburbs,English,Florida,White suburban women,Helped,Telephone survey,Before that,Before that,Before that,,Strongly or somewhat approve,Strongly approve,Not tough enough,Version 1,Donald Trump,2.90150165557861,,,,,No,32784.0
12586.0,Rick Scott,Ron DeSantis,45-65,30-59,45-49,45+,18-49,45-59,40-49,Non-Black 45-59,White 45-59,White 45-64,Complete,,,24.0,,,,No,No,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,,,,,,,,,,5.0,,The Republican candidate,,,Major changes,,,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Immigration,,,,No,No,Good,Excellent or good,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,,Independent/Something else,Conservative Republicans,No,White,White,State questionnaire,White,,,White,White,,South,Politically motivated,The Republican candidate,Male,White men,,,Non married men,Suburbs,Suburbs,English,Florida,White suburban men,Helped,Telephone survey,Before that,Before that,Before that,,Strongly or somewhat approve,Somewhat approve,About right,Version 1,Donald Trump,1.74853909015656,No,,,,Yes,33139.0
12587.0,Bill Nelson,Ron DeSantis,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,Complete,,,6.0,,,,No,No,,Never attended college,No college degree,High school graduate or less,White no college degree,White women non college graduates,,,,,,,,,,,2.0,,The Republican candidate,,,Major changes,,,,,,,,,,Health care,,,,No,No,Not so good,Not so good or poor,45+,65+,Democrat,Non-black Democrat,White Democrat,Democratic women,Democrat,Democratic Women,White Democrat,Moderate,,Moderate/Conservative Democrats,Mod/Conserv. Democrats,No,White,White,State questionnaire,White,,,White,White,,South,Politically motivated,The Democratic candidate,Female,White women,,,Non married women,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Other,No impact,Telephone survey,Omit,Omit,Omit,,Strongly or somewhat disapprove,Somewhat disapprove,Not tough enough,Version 1,Hillary Clinton,0.317047953605652,,,,,No,32117.0
12588.0,Bill Nelson,Andrew Gillum,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,All others,All others,Complete,,,12.0,,,,No,No,,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,,,,,,,3.0,,The Democratic candidate,,,Major changes,,,,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999","Over $50,000 and non white",Health care,,,,No,Yes,Not so good,Not so good or poor,45+,65+,Independent/Something else,Non-black non-Democrat,All Other,Independent men,Independent,Independent Men,All others,Liberal,,Moderate/Liberal Republicans,Liberal Independents,No,Other,Other,State questionnaire,Other,,,Non-white,Other,,South,Justified,The Democratic candidate,Male,All other races,,,Married men,Suburbs,Suburbs,English,Florida,Other,Hurt,Telephone survey,In the last month,In the last month,Before that,,Strongly or somewhat disapprove,Strongly disapprove,Omit,Version 1,Hillary Clinton,0.402591496706009,No,,,,No,34689.0
12589.0,Bill Nelson,Andrew Gillum,65+,60+,65 or over,45+,50+,60+,65+,Black 60+,Black 60+,Black 65+,Complete,,,24.0,,,,No,No,,Never attended college,No college degree,High school graduate or less,Non white no college degree,Non-whites,,,,,,,,,,,5.0,,The Democratic candidate,,,Major changes,,,,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and non white",Health care,,,,No,Yes,Not so good,Not so good or poor,45+,65+,Independent/Something else,Black non-Democrat,Black Independent,Independent men,Independent,Independent Men,All others,Moderate,,Moderate/Liberal Republicans,Moderate Independents,No,Black,Black,State questionnaire,Black,,,Non-white,Black,,South,Politically motivated,The Democratic candidate,Male,Black men,,,Married men,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Other,Hurt,Telephone survey,Before that,Before that,Before that,,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1,Hillary Clinton,3.41717433929443,No,,,,No,33169.0
12590.0,Rick Scott,Ron DeSantis,45-65,30-59,50-59,45+,50+,45-59,50-64,,,,Complete,,,2.0,,,,,,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,,,,,,,,,,,,,1.0,,The Republican candidate,,,Minor changes,,,,,,,,,,The economy,,,,,Yes,Excellent,Excellent or good,45+,18-64,Republican,,,Republican women,Republican,Republican Women,,Conservative,,Independent/Something else,Conservative Republicans,,,,State questionnaire,,,,,,,South,Politically motivated,The Republican candidate,Female,,,,Married women,"Cities 50,000-500,000","Cities over 50,000",,Florida,Other,Helped,Telephone survey,Before that,Before that,Before that,,Strongly or somewhat approve,Strongly approve,About right,Version 1,Donald Trump,3.60982489585876,,,,,Yes,32309.0
12591.0,Bill Nelson,Andrew Gillum,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,Complete,,,14.0,,,,No,No,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,,,,,,,,,,,3.0,,The Democratic candidate,,,Major changes,,,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Health care,,,,No,No,Not so good,Not so good or poor,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,No,White,White,State questionnaire,White,,,White,White,,South,Justified,The Democratic candidate,Male,White men,,,Non married men,"Cities 50,000-500,000","Cities over 50,000",English,Florida,Other,No impact,Telephone survey,Before that,Before that,Before that,,Strongly or somewhat disapprove,Strongly disapprove,About right,Version 1,Hillary Clinton,5.45989465713501,No,,,,Yes,33635.0
