ID,GOVGA18,ABRAMSLIB,AGE,AGE3,AGE8,AGE45,AGE49,AGE60,AGE65,AGEBLACK,AGEBYRACE,AGEBYRACE08,ATTEND16,ATTEND16B,BACKSIDE,BORNINGA14,BRNAGAIN,CALL,CDNUM,CONTROLHOUSE,EDUC18,EDUCCOLL,EDUCHS,EDUCWHITE,EDUCWHITEBYSEX,ELECTSECURITY18,FAVABRAMS,FAVDEM2,FAVGOVGA18,FAVKEMP,FAVPARTY,FAVREP2,FINSIT2,FORTRUMPG,FTVOTER18,GEOCODE,GOV,GUN16,GUNOWNER12,HEALTHCARE18,HEALTHPRE18,IMPEACH18,INC100K,INC30K,INC50K,INCOME3,INCOME18GEN,INCWHITE,ISSUE18,KAVANAUGH18,KEMPLIB,LATINO,MARRIED,MOVETOGA14,MOVETOGA10YR,NEC,NEC2,OVER45,OVER65,PARTY,PARTYBLACK,PARTYBYRACE,PARTYGENDER,PARTYID,PARTYSEX,PARTYWHITE,PHIL3,PRECINCT,PTYIDEO,PTYIDEO7,QRACE3,QRACEAI,QTYPE,RACE,RACE18,RACE18B,RACE2B,RACEAI,RACEFACTOR,REGION,RUSSIA18,SEX,SEXBYRACE,SEXUALHARASS,SEXUALHARASSB,SEXWED,SIZEPLAC,SIZEPLC3,STANUM,SUBURBWHITE,TAXCUTS18,TELEPOLL,TIME18GOV,TIME18GOVMONTH,TIME18GOVWEEK,TRADE18,TRUMP2,TRUMP4,TRUMPIMM,VERSION,VETVOTER,VOTE2016,VOTEISS18,WEIGHT,WHNCLINC,WHTEVANG,WOMEN,WOMEN2,ZIPCODE
9755.0,Ted Metz,,45-65,30-59,45-49,45+,18-49,45-59,40-49,,,,,,Complete,,No,,4.0,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,,,,,,,,,,,,,2.0,Other,,,Major changes,,,"$100,000 or more","$30,000 or more","$50,000 or more","$100,000","$100,000-$199,999",,Gun policy,,,No,Yes,,,Good,Excellent or good,45+,18-64,Independent/Something else,,,Independent men,Independent,Independent Men,,Moderate,,Moderate/Liberal Republicans,Moderate Independents,,,State questionnaire,,,,,,,South,Politically motivated,Male,,,,Married men,Suburbs,Suburbs, Georgia,,No impact,Telephone survey,Before that,Before that,Before that,,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1,,Omit,Should be able to vote will be prevented from voting,0.0436185039579868,No,All others,,,30294.0
9798.0,Ted Metz,,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,White 18-29,White 18-29,,,Complete,,No,,3.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,,,,,,,,,,4.0,Other,,,Major changes,,,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and white",Health care,,,No,Yes,,,Good,Excellent or good,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Conservative,,Moderate/Liberal Republicans,Conservative Independents,White,White,State questionnaire,White,,,White,White,,South,Politically motivated,Male,White men,,,Married men,Suburbs,Suburbs, Georgia,White suburban men,No impact,Telephone survey,In the last week,In the last month,In the last week,,Strongly or somewhat approve,Somewhat approve,Omit,Version 1,,Didn't vote,Shouldn't be able to vote will cast ballots,2.58976697921753,No,All others,,,30276.0
9817.0,Ted Metz,,45-65,60+,60-64,45+,50+,60+,50-64,,,,,,Complete,,Yes,,5.0,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,,,,,,,,,,,,,3.0,Other,,,Major changes,,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999",,Gun policy,,,No,No,,,Poor,Not so good or poor,45+,18-64,Independent/Something else,,,Independent women,Something else,Independent Women,,Liberal,,Moderate/Liberal Republicans,Liberal Independents,,,State questionnaire,,,,,,,South,Justified,Female,,,,Non married women,Suburbs,Suburbs, Georgia,,Hurt,Telephone survey,In the last month,In the last month,Before that,,Strongly or somewhat disapprove,Strongly disapprove,Too tough,Version 1,,Hillary Clinton,Should be able to vote will be prevented from voting,0.0102593433111906,No,All others,,,30297.0
9899.0,Ted Metz,,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,Latino 30-44,Black 30-44,,,Complete,,Yes,,8.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,,,,,5.0,Other,,,Minor changes,,,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and non white",Health care,,,Yes,No,,,Poor,Not so good or poor,18-44,18-64,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent men,Something else,Independent Men,All others,Liberal,,Moderate/Liberal Republicans,Liberal Independents,Other,Black,State questionnaire,Hispanic/Latino,,,Non-white,Hispanic/Latino,,South,Politically motivated,Male,Latino men,,,Non married men,Rural,Small Cities/Rural, Georgia,Other,No impact,Telephone survey,Before that,Before that,Before that,,Strongly or somewhat approve,Somewhat approve,Not tough enough,Version 1,,Omit,Shouldn't be able to vote will cast ballots,0.251195877790451,No,All others,,,31750.0
9937.0,Ted Metz,,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,,,Complete,,,,10.0,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,,Unfavorable,Unfavorable,Neither,Unfavorable,Neither party,Unfavorable,About the same,Donald Trump was not a factor,No,2.0,Other,,,,,No,,,,,,,,,,No,Yes,,,,,45+,65+,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,Somewhat important,Important,White,White,,South,,Male,White men,Very serious,Serious,Married men,Suburbs,Suburbs, Georgia,White suburban men,,Telephone survey,,,,No impact,Strongly or somewhat approve,Somewhat approve,,Version 2,,,,0.440997749567032,,,Somewhat important,Important,30252.0
9956.0,Ted Metz,,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,,,Complete,,,,10.0,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,White college degree,White men college graduates,,Unfavorable,Unfavorable,Neither,Unfavorable,Neither party,Unfavorable,About the same,Donald Trump was not a factor,No,4.0,Other,,,,,No,,,,,,,,,,No,Yes,,,,,18-44,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Something else,Independent Men,White Independent,Moderate,,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,Not too important,Not important,White,White,,South,,Male,White men,Not too serious,Not serious,Married men,Suburbs,Suburbs, Georgia,White suburban men,,Telephone survey,,,,No impact,Strongly or somewhat approve,Somewhat approve,,Version 2,,,,1.21730840206146,,,Not at all important,Not important,30809.0
10015.0,Ted Metz,,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,Latino 60+,All others,,,Complete,,,,10.0,,"An advanced degree after a bachelor's degree (such as JD, MA, MBA, MD, PhD)",College graduate,More than high school graduate,Non white college degree,Non-whites,,Unfavorable,Unfavorable,Neither,Unfavorable,Neither party,Unfavorable,About the same,Donald Trump was not a factor,No,4.0,Other,,,,,No,,,,,,,,,,Yes,No,,,,,45+,65+,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent men,Independent,Independent Men,All others,Moderate,,Moderate/Liberal Republicans,Moderate Independents,Other,Other,State questionnaire,Hispanic/Latino,Somewhat important,Important,Non-white,Hispanic/Latino,,South,,Male,Latino men,Somewhat serious,Serious,Non married men,Rural,Small Cities/Rural, Georgia,Other,,Telephone survey,,,,Helped,Strongly or somewhat approve,Strongly approve,,Version 2,,,,0.25262251496315,,,Somewhat important,Important,31087.0
27908.0,Ted Metz,,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,,,Complete,,,,4.0,,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,,,Unfavorable,,,Only Republican Party,Favorable,Better,,,1.0,Other,,,,,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",,,,,,,,Excellent,Excellent or good,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,National questionnaire,White,,,White,,,South,,Male,White men,,,,Suburbs,Suburbs, Georgia,White suburban men,Helped,Telephone survey,,,,No impact,,,,Version 4,,,,0.592621624469757,No,,,,30052.0
28118.0,Ted Metz,,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,,,Complete,,,,4.0,The Republican Party,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White men non college graduates,,,,,,,,,,No,1.0,Other,,,,,,,,,,,,,Support,,,,,,,,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Moderate,,Conservative Republicans,Mod./Liberal Republicans,White,White,National questionnaire,White,,,White,,,South,,Male,White men,,,,Suburbs,Suburbs, Georgia,White suburban men,,Telephone survey,,,,,Strongly or somewhat approve,Somewhat approve,,Version 1,No,Donald Trump,Should be able to vote will be prevented from voting,3.78498411178589,,,,,30052.0
28397.0,Ted Metz,,65+,60+,65 or over,45+,50+,60+,65+,Non-Black 60+,White 60+,White 65+,A few times a year,A few times a year or less,Complete,,Yes,,10.0,,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,,,,,,,1.0,Other,Oppose,Yes,,Omit,,,,,,,,Health care,,,,Yes,,,,,45+,65+,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Conservative,,Independent/Something else,Conservative Republicans,White,White,National questionnaire,White,,,White,,,South,,Male,White men,Very serious,Serious,Married men,Suburbs,Suburbs, Georgia,White suburban men,,Telephone survey,,,,,Strongly or somewhat approve,Strongly approve,,Version 3,,,,2.3169903755188,,White Born-again/Evangelical Christians,Very important,Important,30655.0
33359.0,Ted Metz,,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,,,Complete,,,Call 1,7.0,,Attended college but received no degree,No college degree,More than high school graduate,White no college degree,White women non college graduates,,,,,,,,,,,2.0,Other,,,Major changes,,Yes,,,,,,,Health care,,,No,,,,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent women,Something else,Independent Women,White Independent,Conservative,113.0,Moderate/Liberal Republicans,Conservative Independents,White,White,National questionnaire,White,Very important,Important,White,White,No group is favored,South,Politically motivated,Female,White women,,,,Suburbs,Suburbs, Georgia,White suburban women,,Election day exit poll,,,,,,,Not tough enough,Version 2,,,,0.70327353477478,,,,,30071.0
33372.0,Ted Metz,,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,,,Complete,,No,Call 1,3.0,,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,,,,,,,4.0,Other,,,Major changes,,,"Under $100,000","$30,000 or more","$50,000 or more","$50,000 to $99,999","$50,000-$99,999","Over $50,000 and white",Immigration,,,No,Yes,,,Good,Excellent or good,45+,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,White Republican,Moderate,13.0,Conservative Republicans,Mod./Liberal Republicans,White,White,State questionnaire,White,,,White,White,,South,Politically motivated,Male,White men,,,Married men,Suburbs,Suburbs, Georgia,White suburban men,No impact,Election day exit poll,Before that,Before that,Before that,,Strongly or somewhat approve,Somewhat approve,Not tough enough,Version 1,,Donald Trump,Shouldn't be able to vote will cast ballots,0.331819981336594,No,All others,,,30117.0
33409.0,Ted Metz,,30-44,30-59,30-39,18-44,18-49,30-44,30-39,Non-Black 30-44,White 30-44,White 30-44,,,Not complete,Moved to Georgia,,Call 1,7.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,Yes,,,,,,,,,,2.0,Other,,Yes,,The Republican Party,,,,,,,,,,,,,10+ years but not born here,More than 10 years,,,18-44,18-64,,,,,,,,,83.0,,,White,White,State questionnaire,White,,,White,White,,South,,Male,White men,,,,Suburbs,Suburbs, Georgia,White suburban men,,Election day exit poll,,,,,,,,Version 3,,,,0.228335574269295,,,,,30041.0
33449.0,Ted Metz,,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,,,Complete,,,Call 1,7.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,Unfavorable,Unfavorable,Neither,Unfavorable,Neither party,Unfavorable,About the same,Donald Trump was not a factor,No,2.0,Other,,,,,No,,,,,,,,,,No,Yes,,,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate,83.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,Somewhat important,Important,White,White,,South,,Male,White men,Not too serious,Not serious,Married men,Suburbs,Suburbs, Georgia,White suburban men,,Election day exit poll,,,,No impact,Strongly or somewhat disapprove,Somewhat disapprove,,Version 2,,,,0.228335574269295,,,Somewhat important,Important,30041.0
33496.0,Ted Metz,,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,,,Complete,,,Call 1,11.0,The Republican Party,Associate's degree (AA or AS),No college degree,More than high school graduate,White no college degree,White men non college graduates,,,,,,,,,,No,2.0,Other,,,,,,,,,,,,,Support,,No,,,,,,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate,43.0,Moderate/Liberal Republicans,Moderate Independents,White,White,National questionnaire,White,,,White,White,,South,,Male,White men,,,,Suburbs,Suburbs, Georgia,White suburban men,,Election day exit poll,,,,,Strongly or somewhat approve,Strongly approve,,Version 1,Yes,Donald Trump,Shouldn't be able to vote will cast ballots,0.462679982185364,,,,,30152.0
33890.0,Ted Metz,,45-65,30-59,50-59,45+,50+,45-59,50-64,Non-Black 45-59,White 45-59,White 45-64,,,Complete,,Yes,Call 1,5.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,White college degree,White men college graduates,,,,,,,,,,,3.0,Other,,,Minor changes,,,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and white",Health care,,,No,No,,,Good,Excellent or good,45+,18-64,Independent/Something else,Non-black non-Democrat,White Independent,Independent men,Independent,Independent Men,White Independent,Moderate,94.0,Moderate/Liberal Republicans,Moderate Independents,White,White,State questionnaire,White,,,White,White,,South,Justified,Male,White men,,,Non married men,"Cities 50,000-500,000","Cities over 50,000", Georgia,Other,No impact,Election day exit poll,In the last few days,In the last month,In the last week,,Strongly or somewhat approve,Somewhat approve,About right,Version 1,,Donald Trump,Omit,0.265607357025146,No,White Born-again/Evangelical Christians,,,30344.0
34169.0,Ted Metz,,18-29,18-29,25-29,18-44,18-49,18-29,25-29,Non-Black 18-29,Latino 18-29,All others,,,Complete,,Yes,Call 1,4.0,,Attended college but received no degree,No college degree,More than high school graduate,Non white no college degree,Non-whites,,,,,,,,,,,2.0,Other,,,No changes at all,,,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and non white",Gun policy,,,Yes,Yes,,,Poor,Not so good or poor,18-44,18-64,Independent/Something else,Non-black non-Democrat,Latino Independent,Independent women,Independent,Independent Women,All others,Moderate,146.0,Moderate/Liberal Republicans,Moderate Independents,Other,Asian,State questionnaire,Hispanic/Latino,,,Non-white,Hispanic/Latino,,South,Politically motivated,Female,Latino women,,,Married women,Suburbs,Suburbs, Georgia,Other,Hurt,Election day exit poll,In the last week,In the last month,In the last week,,Strongly or somewhat approve,Somewhat approve,Not tough enough,Version 1,,Donald Trump,Shouldn't be able to vote will cast ballots,0.385872185230255,No,All others,,,30013.0
34267.0,Ted Metz,,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,All others,All others,,,Complete,,No,Call 1,4.0,,Bachelor's degree (BA or BS),College graduate,More than high school graduate,Non white college degree,Non-whites,,,,,,,,,,,2.0,Other,,,Major changes,,,"Under $100,000","$30,000 or more","Under $50,000","Under $50,000","$30,000-$49,999","Under $50,000 and non white",The economy,,,No,Yes,,,Not so good,Not so good or poor,18-44,18-64,Republican,Non-black non-Democrat,All Republicans,Republican men,Republican,Republican Men,All others,Moderate,146.0,Conservative Republicans,Mod./Liberal Republicans,Other,Asian,State questionnaire,Asian,,,Non-white,Asian,,South,Politically motivated,Male,All other races,,,Married men,Suburbs,Suburbs, Georgia,Other,Hurt,Election day exit poll,In the last few days,In the last month,In the last week,,Strongly or somewhat disapprove,Somewhat disapprove,About right,Version 1,,Other,Should be able to vote will be prevented from voting,0.385872185230255,No,All others,,,30013.0
34326.0,Ted Metz,,30-44,30-59,40-44,18-44,18-49,30-44,40-49,Non-Black 30-44,White 30-44,White 30-44,,,Complete,,No,Call 1,4.0,,Never attended college,No college degree,High school graduate or less,White no college degree,White men non college graduates,,,,,,,,,,,2.0,Other,,,Minor changes,,,"Under $100,000","Under $30,000","Under $50,000","Under $50,000","Under $30,000","Under $50,000 and white",Immigration,,,No,Yes,,,Good,Excellent or good,18-44,18-64,Democrat,Non-black Democrat,White Democrat,Democratic men,Democrat,Democratic Men,White Democrat,Conservative,146.0,Moderate/Conservative Democrats,Mod/Conserv. Democrats,White,White,State questionnaire,White,,,White,White,,South,Politically motivated,Male,White men,,,Married men,Suburbs,Suburbs, Georgia,White suburban men,Hurt,Election day exit poll,In the last week,In the last month,In the last week,,Strongly or somewhat approve,Somewhat approve,Too tough,Version 1,,Didn't vote,Should be able to vote will be prevented from voting,0.385872185230255,Yes,All others,,,30013.0
